countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AL,Albania,106078,Albanien,1003300,De Paris Hotel,FourStar,Nr. 7 Brigada Viii Street Tirane ,,"Hotel de Paris is a charming boutique hotel that offers stylish rooms and a large courtyard garden perfect for enjoying a relaxing meal outdoors. A private bar with an open fireplace is suitable for a night cap.

Rooms and suites at De Paris are luxuriously furnished and offer air-conditioning, a minibar and a work desk. Every room has a flat-screen TV with satellite channels. Private bathroom provides a hairdryer, a bathrobe and free toiletries.

The hotel is situated in the elegant area of the city full of bars and restaurants, and just a few steps away from the main institutions such as Parliament, Palace of Congress, Opera House, Art Gallery and Main Boulevard.

Ironing, laundry and dry cleaning services are available. The reception is open 24 hours a day and breakfast buffet is served each day.

The nearest bus stop is only 50 metres from the property, while the Main Bus Station can be reached in 300 metres. Tirana Airport is 15 km away.",42268822,Private parking Parking onsite Television in common areas Airport transportation (surcharge) Area shuttle (surcharge) Private check-in/check-out Concierge services Designated smoking areas Air conditioning Non-smoking throughout Free WiFi Free WiFi Luggage storage Fax/photocopying Heating Car hire Currency exchange Internet access Ironing service Breakfast service Family rooms Dry cleaning/laundry service Laundry facilities Airport shuttle Non-smoking rooms Terrace Garden Free newspapers in lobby 24-hour front desk Bar/lounge Meeting rooms Room service Pets allowed Restaurant Free self parking,41.32213|19.81665,00355 4226 5009,1000,https://www.booking.com/hotel/al/de-paris.html
AL,Albania,106078,Albanien,1003301,Hotel Green,FourStar,Rruga Kavajes. Kombinat Km 2. Vaqarr VaqarrTirana ,,"Located in a suburb of Tirana, Hotel Green is just a couple of steps from the national road Tirana-Durres. Surrounded by a garden, the hotel offers an on-site bar and restaurant serving traditional and international dishes.

All rooms are air-conditioned and feature free Wi-Fi, satellite TV and a private bathroom with shower. Guests can park their car for free on site.

Breakfast is served at the hotel restaurant each day. The front desk is open 24 hours a day and room service is available.

The centre of Tirana is 7.4 km away. The famous Blloku Area, an upmarket part of town known as a shopping destination and entertainment site, can be reached in 3 km. Boutiques, shops, restaurants, trendy bars, pubs, and cafes can be found in abundance.

Main Bus Station is 2 km away, while the Train Station can be reached in 2.3 km. Tirana Airport is 18 km  away.",35548520058,airport pick up wifi available in all areas Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Packed lunches express check-in/check-out lift internet services Business centre Airport shuttle Non-smoking rooms 24-hour front desk Bar meeting/banquet facilities Room service Pets allowed Restaurant,41.30413|19.74703,+35548520057,1041,https://www.booking.com/hotel/al/hotel-green.html
AL,Albania,106078,Albanien,1003302,Theranda Hotel,ThreeStar,Rr. Andon Zako Cajupi Villa 6 & 7 Villa 6 & 7TiranëShqipëri ,,"Set in Tirana, 1.2 km from Skanderbeg Square, Theranda Boutique Hotel offers accommodation with a garden, free private parking and a bar. This 3-star hotel offers a concierge service. The accommodation features a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.

Guests at the hotel can enjoy a continental breakfast.

Theranda Boutique Hotel offers a sun terrace.

Popular points of interest near the accommodation include Former Residence of Enver Hoxha, Pyramid of Tirana and Rinia Park. The nearest airport is Tirana International Mother Teresa Airport, 15 km from Theranda Boutique Hotel.",00355 (0)42273689,face masks for guests available all plates  cutlery  glasses and other tableware have been sanitized invoice provided hand sanitizer in guest accommodation and key areas food can be delivered to guest accommodation linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Security alarm Shuttle service airport drop off airport pick up Fruits Wine/champagne wifi available in all areas Private parking Daily housekeeping airport shuttle (additional charge) shuttle service (additional charge) Private check-in/check-out concierge service Sun terrace Air conditioning Free WiFi wifi Currency exchange express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms dry cleaning Laundry Business centre Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar meeting/banquet facilities Room service Parking,41.3216|19.81199,00355 (0)42273766,1019,https://www.booking.com/hotel/al/theranda.html
AL,Albania,106078,Albanien,1003303,Seven Hotel,ThreeStar,"KAVAJA STREET, CLOSE TURKISH AMBASSY TIRANA ",Skanderbeg Square: within 500 metre ,"This hotel enjoys an enviable setting in Tirana. The hotel is situated within easy access of a number of the city's most prominent attractions, including the National Bank of Albania, National Museum of History, Skanderbeg Square, the Ministry of Economy, Trade and Energy and the Palace of Culture. Guests are afforded an insight into the rich culture and history of the area. This charming hotel is draped in traditional style, beautifully coupling it with contemporary convenience. The guest rooms are beautifully appointed, featuring muted tones and a peaceful ambience. Those travelling for work purposes will appreciate the excellent business facilities that the hotel has to offer.",,À la carte dinner Breakfast buffet Breakfast Conference room Air conditioning in Restaurant Restaurant Bar Currency exchange facilities Air conditioning in public areas Visa MasterCard Hotel,41.328027|19.815052,,1001,http://www.hotelseven-tirana.com/
AL,Albania,106078,Albanien,1003325,Viktoria,ThreeStar,Rruga E Elbasanit Km 4 Sauk SaukTirana ,,"Located in a new residential area at the edge of Tirana, the eco-friendly Hotel Viktoria Tirana offers air-conditioned rooms with LCD TV and free Wi-Fi. Free private parking is guarded every night, and a public bus leading to the city centre frequently stops by the hotel.

A restaurant serving Albanian and international dishes and a lounge bar can be found on site. A large garden is also at guests disposal. Hotel Viktoria Tirana is equipped with solar panels for heating water and features various other energy-saving systems.

The biggest shopping centre in Albania is in the immediate vicinity. Numerous restaurants, clubs, wellness centres and a gaming centre with bowling alleys and pool tables are within a 1 km radius and can easily be reached by bus.

Front desk can arrange car rental, as well as airport shuttle service. The centre of Tirana is 5 km away and the Central Bus Station is 6 km away. Please inform Hotel Viktoria Tirana in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+355695406986,internet services Ironing service Family rooms Laundry Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar Room service Restaurant Fire extinguishers CCTV outside property CCTV in common areas 24-hour security wifi available in all areas Daily housekeeping shared lounge/TV area airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Car hire Currency exchange Safety Deposit Box express check-in/check-out,41.29125|19.85349,355 69 5406986,1000,https://www.booking.com/hotel/al/viktoria-sauk-tirana.html
AL,Albania,106078,Albanien,1015185,Bel Conti Hotel,FourStar,Shkembi i Kavajes L13 Durres ,,"Just steps away from a private sandy beach, Bel Conti Hotel in Durrës offers elegantly decorated rooms with a balcony. The hotels modern interiors house an elegant restaurant and a bar. Free Wi-Fi in public areas and free private parking are provided.

All rooms come with carpeted floors, a TV and a minibar. The private bathroom comes with shower and a hairdryer. All rooms have a flat-screen TV with cable channels.

Hotel Bel Conti front desk operates 24 hours a day and offers room service with possibilities for breakfast in the room. Dry cleaning and ironing services, as well as currency exchange, are available at the hotel.

Guests can rent jet-skis 500 metres from the hotel. A swimming pool and an entertainment centre are within an 8 km radius.

The centre of Durrës is at a distance of 12 km, and Mother Theresa Airport is 25 km away. Bel Conti charges for airport shuttle service, which is available upon request. Please inform Bel Conti Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Swimming pool #1 is closed from Tue 10 May 2022 until Tue 31 May 2022",00355 522 61 245,24-hour security Shuttle service Beach Swimming pool Outdoor fireplace Sun umbrellas sun loungers or beach chairs coffee house on site airport drop off airport pick up Fruits Wine/champagne Pool Bar Wheelchair accessible secured parking Private parking parking on site Daily housekeeping Beachfront Swimming pool Fire extinguishers Key card access Key access Terrace Garden 24-hour front desk Bar meeting/banquet facilities Room service Restaurant Parking airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) outdoor pool (seasonal) Sun terrace Private beach area Air conditioning Non-smoking throughout Free WiFi Outdoor pool wifi Luggage storage Fax/photocopying Heating Packed lunches Currency exchange Safety Deposit Box lift internet services Free parking Family rooms Facilities for disabled guests Airport shuttle Non-smoking rooms,41.27547|19.51618,(355) 52262245,2001,https://www.booking.com/hotel/al/bel-conti.html
AL,Albania,106078,Albanien,1016188,Pik Loti Hotel,ThreeStar,Rruga Petro Nini Luarasi Tirana ,,"Offering free Wi-Fi and free secured parking in the centre of Tirana, the family-run Hotel Pik Loti is within only 300 metres from the historic Tabak Bridge and the Pyramid.

All rooms feature air conditioning, a TV with cable channels and a small fridge. Each room also features a private bathroom with a shower, a bidet and a hairdryer.

Pik Loti has a lounge bar where guests can relax by sampling snacks and a wide selection of local and international drinks. Breakfast can also be served there or in the room.

Guests can find a fitness centre just a short walk away. The popular Blloku neighbourhood is 400 metres from the property and features numerous entertainment options, bars, restaurants and clubs. Shopping streets are located all around the area. The biggest shopping centre in Tirana can be reached in 15 minutes.

Tiranas Old Castle is 300 metres away, while the Skanderbeg Square is at a distance of 500 metres. A bus stop is in front of the property. Tirana Train Station and Bus Station, with frequent links to Durrës and the coast, is within 1 km. Tirana Airport is 18 km from the Pik Loti Hotel. Please inform Hotel Pik Loti in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",+35542235155,linens  towels and laundry washed in accordance with local authority guidelines wifi available in all areas Private parking parking on site designated smoking area Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Heating Currency exchange express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms Laundry Non-smoking rooms Bar Parking staff follow all safety protocols as directed by local authorities guest accommodation sealed after cleaning,41.32545|19.82793,(355) 44538491,1010,https://www.booking.com/hotel/al/pik-loti.html
AL,Albania,106078,Albanien,1016189,Hotel Parlamenti,ThreeStar,Rruga Jeronim De Rada 75 1001 Tirana ,,"Hotel Parlamenti is located in the historic centre of Tirana, next to the Albanian Parliament. The Skenderbeg Square and the main promenade can be reached in 5 minutes. The hotel features a bar and dining area where breakfast and lunch are served.

All rooms feature air-conditioning, a TV and a private bathroom with shower, hairdryer and free toiletries. Rooms also feature a balcony. Free Wi-Fi is provided.

There is a Chinese restaurant right next to the hotel, as well as a grocery store. A restaurant serving traditional local specialties is located just 100 metres away.

A spacious park with a promenade can be found just a few hundred metres from Parlamenti Hotel. Tennis and football courts can be reached in 5 km. Tabak Bridge can be reached in 2 minutes on foot, while the National Museum is a 5-minute walk away.

The Main Bus Station is 900 metres from the hotel, while the Train Station is 1.4 km away. Tirana Airport can be reached in 15 km.",0038118526210,Private parking parking on site Private check-in/check-out Entertainment staff designated smoking area Air conditioning Free WiFi wifi Heating express check-in/check-out internet services Free parking Ironing service breakfast in the room Facilities for disabled guests dry cleaning Laundry 24-hour front desk Bar Room service Pets allowed Restaurant Parking,41.32737|19.82521,(355) 42265024,1001,https://www.booking.com/hotel/al/parlamenti.html
AL,Albania,106078,Albanien,1017483,Victoria,ThreeStar,Dibra Street 331 331 Tirana ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ministry of Justice - 1.8 km / 1.1 mi <br /> Palace of Culture - 1.8 km / 1.1 mi <br /> Statue of the Unknown Partisan - 1.8 km / 1.1 mi <br /> Skanderbeg Square - 1.8 km / 1.1 mi <br /> Clock Tower - 1.8 km / 1.1 mi <br /> Sheshi Skënderbej - 1.8 km / 1.1 mi <br /> National Museum of History - 1.9 km / 1.2 mi <br /> National Arts Gallery - 1.9 km / 1.2 mi <br /> Et Hem Bey Mosque - 1.9 km / 1.2 mi <br /> Municipality of Tirana - 1.9 km / 1.2 mi <br /> Toptani Shopping Center - 2 km / 1.2 mi <br /> BunkArt 2 - 2 km / 1.2 mi <br /> Tirana Parliament - 2.1 km / 1.3 mi <br /> National Art Gallery - 2.1 km / 1.3 mi <br /> National Bank of Albania - 2.1 km / 1.3 mi <br /> </p><p>The preferred airport for Hotel Victoria is Nene Tereza Intl. Airport (TIA) - 18.3 km / 11.4 mi </p>,"<p>HeadLine : Near Ministry of Justice</p><p>Location : With a stay at Hotel Victoria in Tirana, you ll be within a 5-minute drive of Ministry of Justice and National Museum of History.  This hotel is 1.7 mi (2.7 km) from Ministry of Defense and 1.8 mi (2.9 km) from Skanderbeg Square.</p><p>Rooms : Make yourself at home in one of the 19 air-conditioned rooms featuring fireplaces and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Need to unwind? Take a break with a tasty beverage at one of the 3 bars/lounges. A complimentary full breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6 AM - 10 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",355-69-4557854,Concierge services Terrace Free self parking Laundry facilities Snack bar/deli Designated smoking areas (fines apply) Coffee/tea in common areas Safe-deposit box at front desk Playground on site Conference center Front desk (limited hours) Business center Multilingual staff Free breakfast Luggage storage Couples/private dining Accessible bathroom (in select rooms) Tours/ticket assistance Roll-in shower (in select rooms) Wheelchair accessible parking In-room accessibility (in select rooms) Braille or raised signage Designated smoking areas Number of bars/lounges - 3 Free WiFi Television in common areas Free wired Internet Meeting rooms Express check-in Reception hall Newspapers in lobby (surcharge) Free full breakfast Shopping on site Dry cleaning/laundry service,41.34106|19.83108,355-69-4557854,1012,http://hotelvictoria.al/en/home-2/
AL,Albania,106078,Albanien,1032158,MonarC Hotel,FourStar,Intersection. Rr. George W. Bush Road And Blvd. Zhan D Ark Tirana ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tirana Parliament - 0.1 km / 0.1 mi <br /> Tanners  Bridge - 0.1 km / 0.1 mi <br /> Toptani Shopping Center - 0.2 km / 0.2 mi <br /> Fortress of Justinian - 0.4 km / 0.3 mi <br /> Statue of the Unknown Partisan - 0.5 km / 0.3 mi <br /> Clock Tower - 0.5 km / 0.3 mi <br /> Pyramid - 0.5 km / 0.3 mi <br /> BunkArt 2 - 0.6 km / 0.3 mi <br /> National Art Gallery - 0.6 km / 0.4 mi <br /> Ministry of Defense - 0.7 km / 0.4 mi <br /> Regency Casino - 0.7 km / 0.4 mi <br /> Et Hem Bey Mosque - 0.7 km / 0.4 mi <br /> Sheshi Skënderbej - 0.7 km / 0.4 mi <br /> Enver Hoxha Pyramid - 0.7 km / 0.5 mi <br /> Ministry of Economy  Trade and Energy - 0.8 km / 0.5 mi <br /> </p><p>The preferred airport for MonarC Hotel is Nene Tereza Intl. Airport (TIA) - 18.4 km / 11.4 mi </p>,"<p>HeadLine : Near Tirana Parliament</p><p>Location : With a stay at MonarC Hotel, you ll be centrally located in Tirana, steps from Tanners  Bridge and within a 5-minute walk of Toptani Shopping Center.  This 4-star hotel is 0.3 mi (0.6 km) from Statue of the Unknown Partisan and 0.4 mi (0.6 km) from Clock Tower.</p><p>Rooms : Make yourself at home in one of the 12 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Bathrooms have rainfall showerheads and designer toiletries. Conveniences include phones, as well as laptop-compatible safes and desks.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",355-42-274511,Concierge services ATM/banking Terrace Computer station elevator Laundry facilities Number of coffee shops/cafes - 1 Snack bar/deli Safe-deposit box at front desk Daily 24-hour front desk Business center Visual alarms in hallways Express check-out Free breakfast Luggage storage Wheelchair accessible  no Designer stores on site Airport transportation (surcharge) Art gallery on site Rooftop terrace Free Buffet Breakfast Shopping mall on site Tours/ticket assistance Wedding services Free newspapers in lobby Stair-free path to entrance Designated smoking areas Number of bars/lounges - 1 Free WiFi Television in common areas Free wired Internet Number of meeting rooms - 2 Express check-in Reception hall Shopping on site Dry cleaning/laundry service,41.32547|19.82503,355 4 2274511,1001,http://www.monarc.al/
