countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AD,Andorra,151415,Andorra,1001758,Aparthotel Ona Dorada El Tarter,ThreeStar,Carretera De Ransol S N AD100 El Tarter ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>GrandValira - 0.5 km / 0.3 mi <br /> El Tarter Snow Park - 0.5 km / 0.3 mi <br /> Tibetan Bridge - 4.6 km / 2.8 mi <br /> Bosc - 4.9 km / 3 mi <br /> Soldeu Ski Resort - 1.2 km / 0.7 mi <br /> TSD4 Tarter - 1.2 km / 0.8 mi <br /> TC10 Tarter - 1.2 km / 0.8 mi <br /> Grandvalira Ski Area - 1.2 km / 0.8 mi <br /> Sorteny Valley Nature Park - 3.9 km / 2.4 mi <br /> Sant Joan de Caselles - 4.1 km / 2.5 mi <br /> Motorcycle Museum - 5.2 km / 3.2 mi <br /> TC8 Canillo Ski Lift - 5.3 km / 3.3 mi <br /> Palau de Gel - 5.3 km / 3.3 mi <br /> Estany Primer de Juclar - 5.7 km / 3.5 mi <br /> Pla de les Pedres Soldeu Ski Lift - 7.4 km / 4.6 mi <br /> </p><p>The nearest airports are:<br />Blagnac Airport (TLS) - 179.6 km / 111.6 mi<br /> La Seu d Urgell (LEU) - 42.6 km / 26.4 mi<br /> </p><p>The preferred airport for Ona Dorada el Tarter is Blagnac Airport (TLS). </p>,"<p>HeadLine : Near GrandValira</p><p>Location : When you stay at Ona Dorada el Tarter in Ransol, you ll be near ski lifts, within a 5-minute drive of El Tarter Snow Park and Bosc.  This apartment is 3.2 mi (5.2 km) from Motorcycle Museum and 9.9 mi (15.9 km) from Caldea Spa.</p><p>Rooms : Make yourself at home in one of the 43 guestrooms, featuring kitchens. 25-inch flat-screen televisions with satellite programming provide entertainment, while wireless Internet access (surcharge) keeps you connected. Bathrooms have deep soaking bathtubs and complimentary toiletries. Conveniences include separate sitting areas and microwaves, and you can also request cribs/infant beds (surcharge).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open during the following times:<ul><li>Monday - Saturday: 9:00 AM - 6:30 PM</li></ul> <ul><li>Tuesday - Friday: 9:00 AM - 6:00 PM</li></ul>To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  During high season, check-in hours are 4-8 PM. Guests planning to arrive after 7 PM during the low season or 8 PM during the high season must contact the hotel in advance to arrange key retrieval.</p>",376-85 28 84,Snowshoeing Nearby Covered parking Off-street parking Garage Wheelchair accessible  no Parking (limited spaces) Snowmobiling Nearby Multilingual staff Ski equipment rental shops nearby Handrails in stairways Ski lessons available nearby WiFi (surcharge) Downhill skiing nearby Cross-country skiing nearby Well-lit path to entrance Change of towels (on request) Upper floors accessible by stairs only Smoke-free property Snowboarding Nearby Tours/ticket assistance Self parking (surcharge) Ski passes available,42.58137|1.63798,376-85 28 80,AD 500,http://www.onahotels.com/en/aparthotel-club-dorada-el-tarter-andorra
AD,Andorra,151415,Andorra,1001759,Hotel Barcelona,TwoStar,Carretera Os de Civis AD600 Sant Julià de LòriaAixovall ,,"Offering rooms with private balcony and spectacular mountain views, this hotel is located in the small town of Aixovall, 2 km outside Sant Julià de Lòria. Andorra La Vella and Caldea Spa are 10 minutes drive.

Hotel Barcelona is set on the edge of the CG-1 motorway, offering free onsite parking and a private parking area for motorcycles. Free Wi-Fi is offered in public areas.

Each heated room at the Barcelona comes with a cable TV, a phone and a safe, as well as a private bathroom with bath and free toiletries. They include reading lamps, music channels and a desk.

The Barcelona hotel features a restaurant and a tour desk. Tickets to Caldea Spa or Naturlandia Park can be booked. Please inform Hotel Barcelona in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+376841877,Parking Restaurant Pets allowed Bar Terrace Skiing Family rooms Free parking internet services lift Safety Deposit Box Packed lunches Tour desk Heating Fax/photocopying Luggage storage wifi Ski storage Free WiFi Snack Bar Sun terrace vending machine (snacks) Daily housekeeping parking on site Private parking wifi available in all areas coffee house on site Key access CCTV in common areas Fire extinguishers,42.47637|1.49018,753683054,AD600,https://www.booking.com/hotel/ad/barcelona.html
AD,Andorra,151415,Andorra,1001788,Hort De Popaire,ThreeStar,Marrades Del Piol S N Soldeu ,,"The Hort De Popaire aparthotel is situated just minutes from central Soldeu and the ski lift station. It offers free ski lockers and mountain views.

The apartments are spacious and built with stone walls and wooden beams. All enjoy great views of the mountains. Bed linen and towels are provided....",00376853221,NO Connecting rooms Hotel MasterCard Visa Visa Electrón YES Disability-friendly bathroom Hairdryer Tea and coffee making facilities Ironing set Safe NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage Wi-fi Lift access Bar Restaurant,42.57755926|1.6653004289,+376358906,AD100,
AD,Andorra,151415,Andorra,1011398,Alberg la Comella,OneStar,"Carretera De La Comella I De La Plana, S/N ANDORRA LA VELLA ",Vall del Madriu: within 1000 metre  Centro deportivo Serradells: within 2000 metre  Mirador vistas panorámicas Andorra la vella: within 1000 metre ,"Surrounded by nature and close to some of the best mountain routes of the area, this youth hostel is a great option for a fun packed holiday. The country's largest sports centre, which includes an Olympic swimming pool, a gym and a bowling alley, is just a 5-minute stroll away and if that is not enough, the venue itself also features a beach football field and a small basketball court. Its highlight is the indoor climbing wall, a favourite place for many climbers during the harsh winter months. Those guests looking for some vibrant nightlife can visit Andorra la Vella city centre, roughly 3.5km away, where they can find a variety of shops, restaurants and bars. The hostel itself provides barbeque facilities and guests can use the large terrace to have a nice picnic or they can simply visit the onsite eatery and satisfy their hunger with any of the delicious offerings.",,Massage Spa treatments Breakfast Breakfast buffet Continental Breakfast Buffet lunch Buffet dinner Special dietary options Aqua fit Table tennis Squash Aerobics Fitness Handball Basketball Volleyball Beach volleyball Billiards Bocce Bowling alley Mini golf Tennis Paddle tennis Hostel MasterCard Visa Mobile phone coverage Laundry service Lift access Garden Bicycle storage Sun terrace Gym Non-smoking area Highchairs Poolside snack bar Conference room Sun loungers Children playground TV lounge Game room Sauna Steam bath Hot tub,42.5002|1.52858,,AD500,www.alberglacomella.ad
AD,Andorra,151415,Andorra,1024270,Anyós Park - The Mountain & Wellness Resort,FourStar,Carretera d'Anyós La Massana AD400Pirineus ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>La Massana Ski Lift - 2.2 km / 1.4 mi <br /> Casa Rull - 2.2 km / 1.4 mi <br /> La Farga Rossell - 2.7 km / 1.7 mi <br /> Sola Irrigation Canal Trail - 3.5 km / 2.2 mi <br /> Saint Andrew Church - 3.6 km / 2.2 mi <br /> Caldea Spa - 3.7 km / 2.3 mi <br /> Pyrenees Andorra Shopping Centre - 4.1 km / 2.5 mi <br /> La Nou Lake Trail - 4.2 km / 2.6 mi <br /> Sant Pere Martir Church - 4.2 km / 2.6 mi <br /> Andorra Massage - 4.2 km / 2.6 mi <br /> Perfume Museum - 4.3 km / 2.6 mi <br /> Església de Santa Coloma - 4.3 km / 2.6 mi <br /> Illa Carlemany Shopping Center - 4.3 km / 2.7 mi <br /> Sant Esteve Church - 4.3 km / 2.7 mi <br /> Church of Saint Stephen - 4.3 km / 2.7 mi <br /> </p><p>The nearest airports are:<br />Barcelona El Prat Airport (BCN) - 205 km / 127.4 mi<br /> Blagnac Airport (TLS) - 195.4 km / 121.4 mi<br /> La Seu d Urgell (LEU) - 31.2 km / 19.4 mi<br /> </p><p></p>,"<p>HeadLine : Near Vallnord Ski Area, Sector Arinsal</p><p>Location : When you stay at Hotel Anyóspark Mountain & Wellness Resort in Anyos, you ll be near ski lifts, within a 5-minute drive of Casa Rull and La Massana Ski Lift.  This 4-star hotel is 2.3 mi (3.7 km) from Caldea Spa and 2.9 mi (4.7 km) from Pyrenees Andorra Shopping Centre.</p><p>Rooms : Make yourself at home in one of the 56 guestrooms featuring microwaves and minibars. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite at Toc, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar. Buffet breakfasts are available daily from 7:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards and debit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 9:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",376-863333,Dry cleaning/laundry service Babysitting or childcare (surcharge) Ziplining nearby Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing nearby Designated smoking areas Number of spa tubs - 2 Number of poolside bars - 1 Ski storage Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Snowboarding Nearby Roll-in shower (in select rooms) Tours/ticket assistance Sledding nearby Fitness classes on site Rooftop terrace Airport transportation (surcharge) Wheelchair-accessible lounge Free ski shuttle Wheelchair-accessible on-site restaurant Snowmobiling Nearby Multilingual staff Ski equipment rental shops nearby Indoor tennis courts - 1 Ski lessons available nearby Electric car charging station Breakfast available (surcharge) Turkish bath/Hammam Segway rental/tour nearby Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Snowshoeing Nearby Covered parking Mountain biking nearby Wheelchair accessible (may have limitations) Wheelchair accessible Meeting rooms Wheelchair-accessible spa Wheelchair-accessible registration desk Television in common areas Wheelchair-accessible fitness center Health club Spa treatment room(s) Well-lit path to entrance Garden Free newspapers in lobby Full-service spa Tennis lessons on site Ski passes available Concierge services Pilates classes on site Yoga classes/instruction on site Rock climbing nearby Luggage storage Business center 24-hour front desk Playground on site Racquetball/squash on site Spa services on site Outdoor seasonal pool Safe-deposit box at front desk Designated smoking areas (fines apply) Snack bar/deli Hiking/biking trails nearby Children's pool Sauna Steam room Hot springs nearby Self parking (surcharge) Hair salon Terrace ATM/banking Pool sun loungers,42.53231|1.52372,+376737173,AD400,http://www.anyospark.com/
AD,Andorra,151415,Andorra,1029299,Sport Hotel Village,FourStar,s/n Carretera General AD100 SoldeuPrincipado de AndorraPirineos ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Soldeu Ski Resort - 0.1 km / 0.1 mi <br /> Grandvalira Ski Area - 0.3 km / 0.2 mi <br /> Incles Valley - 0.3 km / 0.2 mi <br /> TC10 Tarter - 2.6 km / 1.6 mi <br /> TSD4 Tarter - 2.6 km / 1.6 mi <br /> Pla de les Pedres Soldeu Ski Lift - 3.5 km / 2.2 mi <br /> Estany Primer de Juclar - 4.1 km / 2.6 mi <br /> GrandValira - 2.3 km / 1.4 mi <br /> El Tarter Snow Park - 2.3 km / 1.4 mi <br /> TSD Coma Blanca Ski Lift - 6.5 km / 4 mi <br /> Sant Joan de Caselles - 6.6 km / 4.1 mi <br /> Bony d Envalira Via Ferrata - 6.8 km / 4.2 mi <br /> Sorteny Valley Nature Park - 7.7 km / 4.8 mi <br /> Motorcycle Museum - 7.7 km / 4.8 mi <br /> Palau de Gel - 7.8 km / 4.8 mi <br /> </p><p>The nearest airports are:<br />Barcelona El Prat Airport (BCN) - 201.5 km / 125.2 mi<br /> La Seu d Urgell (LEU) - 45.1 km / 28 mi<br /> </p><p>The preferred airport for Sport Hotel Village is Barcelona El Prat Airport (BCN). </p>,"<p>HeadLine : Near Soldeu Ski Resort</p><p>Location : Located in Soldeu, Sport Hotel Village is next to a golf course, within a 5-minute walk of Soldeu Ski Resort and Grandvalira Ski Area.  This 4-star hotel is 11.4 mi (18.4 km) from Caldea Spa and 11.9 mi (19.2 km) from Pyrenees Andorra Shopping Centre.</p><p>Rooms : Make yourself at home in one of the 148 guestrooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Satisfy your appetite at BUFFET & SHOW COOKING, one of the hotel s 3 restaurants. Relax with your favorite drink at the bar/lounge or the poolside bar.</p><p>Renovations : The property is closed between March 22 and November 30.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Please note: Swim caps, swim suits, and flip flops are mandatory in the spa. Guests may bring their own or purchase items at the property.</li><li>Guests booked in half board rate plans receive breakfast and dinner only (drinks not included).</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  The credit card used to book the reservation must be presented by the cardholder at check-in along with matching photo identification. Any other arrangements must be coordinated with the property prior to arrival. Guests must contact this property in advance to reserve spa access for a maximum of 2 hours per day. Additional fees are required for guests booked in Duplex, Standard Double and Standard Double, Mountain View room types.</p>",376-870-533,Wheelchair-accessible registration desk Wheelchair-accessible public washroom Hiking/biking trails on site Well-lit path to entrance Free newspapers in lobby Ski passes available Supervised childcare/activities (surcharge) Luggage storage Business center Dry cleaning/laundry service Ski lift privileges Babysitting or childcare (surcharge) Ziplining nearby Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Cross-country skiing nearby Number of poolside bars - 1 Ski storage Tours/ticket assistance Ski equipment rentals on site Airport transportation (surcharge) Wheelchair-accessible on-site restaurant Horse riding nearby Ski lessons available nearby Mountain climbing nearby Ski-in/ski-out access Wheelchair-accessible meeting spaces/business center Segway rental/tour nearby Laundry facilities elevator Children's club (free) Fitness facilities Snowboarding on site Snowmobiling on site Snowshoeing on site Bicycle rentals on site Covered parking Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Reception hall Wheelchair-accessible spa 24-hour front desk Spa services on site Outdoor seasonal pool Safe-deposit box at front desk Smoke-free property Self parking (surcharge) Valet parking (surcharge) Terrace Mountain biking on site,42.57623|1.66913,376-870-550,AD100,http://www.hotelvillage.sporthotels.ad
AD,Andorra,151415,Andorra,1029300,Apartamentos Turisticos Poblado,ThreeStar,"CARRETERA GENERAL D'ARINSAL, CASA POBLADO ARINSAL ",Arinsal: within 1000 metre  Telecabina d'Arinsal: within 100 metre ,"Providing ski-to-door access and free WiFi, Apartaments Turístics Pobladó provides accommodation in Arinsal. Arinsal (Ski Station Pal-Arinsal) is 1.1 km from Apartaments Turístics Pobladó, while Telecabina d'Arinsal is 70 m from the property. A ski equipment rental service is available at this property and skiing can be enjoyed nearby. Each unit comes with a sofa, a seating area, a flat-screen TV, a well-fitted kitchen, and a private bathroom with free toiletries. Some units have a terrace and/or a balcony with river views.",00376.837311,Aparthotel MasterCard Visa Visa Electrón Bathroom Shower Bathtub Hairdryer Towel menu TV Kitchen Kitchen utensils  plates & cups Cooker Microwave Central heating Safe Balcony Smoke detector Housekeeping Late Check-out Transfer service Airport shuttle Launderette Bicycle hire service Hotel safe Lift access Supermarket Terrace Luggage room Towels and bed linen Café Bar Restaurant Non-smoking area Smoking area Sauna Massage Breakfast Deposit on arrival Early Check-in Identification card at arrival Cycling / mountain biking,34.686226|32.61192,+376737878,AD 400,https://aparthotel-poblado.com/es/
AD,Andorra,151415,Andorra,1029301,Apartaments Turistics Sant Roma,ThreeStar,"GENERAL DE ARINSAL 53,53 ARINSAL ",,"Situated in Arinsal, just a few minutes from the centre, with bars, restaurants, shops and nightlife.",,Aparthotel Bathroom Hairdryer Direct dial telephone Kitchenette Minibar Fridge Central heating Safe Balcony Bar Restaurant,42.5723|1.484,,AD 400,
AD,Andorra,151415,Andorra,1029303,La Pubilla,TwoStar,"FITER I ROSELL, 49 ESCALDES ",,"Situated in Escaldes, just a few minutes from the resort centre, with bars, restaurants, shops and nightlife.",,Hotel,42.508188|1.527195,,AD 700,
AD,Andorra,151415,Andorra,1029321,Novotel Andorra,FourStar,Crer. Prat De La Creu S N Andorra la Vella ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Església de Santa Coloma - 0.3 km / 0.2 mi <br /> Andorra Massage - 0.4 km / 0.2 mi <br /> Pyrenees Andorra Shopping Centre - 0.4 km / 0.2 mi <br /> Sola Irrigation Canal Trail - 0.5 km / 0.3 mi <br /> Saint Andrew Church - 0.5 km / 0.3 mi <br /> La Nou Lake Trail - 0.6 km / 0.4 mi <br /> Church of Saint Stephen - 0.6 km / 0.4 mi <br /> Sant Esteve Church - 0.6 km / 0.4 mi <br /> Església de Sant Esteve - 0.7 km / 0.4 mi <br /> Illa Carlemany Shopping Center - 0.7 km / 0.4 mi <br /> Placa del Poble - 0.7 km / 0.4 mi <br /> Fountain Circuit 1 Trail - 0.7 km / 0.5 mi <br /> Casa de la Vall - 0.8 km / 0.5 mi <br /> Perfume Museum - 0.8 km / 0.5 mi <br /> Prat Primer via La Palomera Forest Path Trail - 1.1 km / 0.7 mi <br /> </p><p>The nearest airports are:<br />Barcelona El Prat Airport (BCN) - 200.5 km / 124.6 mi<br /> La Seu d Urgell (LEU) - 26.8 km / 16.7 mi<br /> </p><p>The preferred airport for Novotel Andorra is Barcelona El Prat Airport (BCN). </p>,"<p>HeadLine : Near Pyrenees Andorra Shopping Centre</p><p>Location : With a stay at Novotel Andorra, you ll be centrally located in Andorra la Vella, within a 10-minute walk of Pyrenees Andorra Shopping Centre and Placa del Poble.  This 4-star hotel is 0.7 mi (1.2 km) from Perfume Museum and 10.2 mi (16.4 km) from Vallnord Ski Area.</p><p>Rooms : Make yourself at home in one of the 102 guestrooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Partially open bathrooms have deep soaking bathtubs and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at La Brasserie or snacks in the hotel s coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7:30 AM to 11:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Guests have access to a spa and additional amenities at a nearby hotel.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 16 and up. COVID-19 vaccination record requirement applies to all guests aged 16 and up; guests must have received complete vaccination at least 14 days prior to check-in. For more details, please contact the property using the information on the booking confirmation.</p>",376-8-73653,Laundry facilities elevator Fitness facilities Snowshoeing Nearby Covered parking Wheelchair accessible Vending machine Meeting rooms Arcade/game room Health club Free use of nearby fitness center Free newspapers in lobby Full-service spa Luggage storage Business center 24-hour front desk Playground on site Spa services on site Safe-deposit box at front desk Snack bar/deli Sauna Conference space Self parking (surcharge) Computer station Terrace Pool sun loungers Conference space size (feet) - 4326 Concierge services Dry cleaning/laundry service Conference space size (meters) - 402 Swimming pool Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing nearby Designated smoking areas Ski storage Number of indoor pools - 1 In-room accessibility (in select rooms) Snowboarding Nearby Tours/ticket assistance Accessible bathroom (in select rooms) Snowmobiling Nearby Multilingual staff Ski lessons available nearby Breakfast available (surcharge) Number of coffee shops/cafes - 1,42.507518|1.527558,376-8-73603,AD500,http://www.novotel.com/gb/hotel-1113-novotel-andorra/index.shtml
