countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AR,Argentina,102144,Aimogasta,1436195,Hotel del Centro,ThreeStar,25 de Mayo 555 F5310ACK AimogastaLa Rioja ,,"Featuring a garden with an outdoor swimming pool, Hotel del Centro offers comfortable rooms in Aimogasta. Free WiFi access is available in this hotel. A daily breakfast is provided.

With a simple style, each room at Hotel del Centro is equipped with air conditioning, heating, a work desk and a cable TV. Bathrooms include hairdryers, and some rooms also offer a minibar.

Other facilities available at Hotel del Centro include a restaurant, a bar and a 24-hour front desk. Laundry and ironing services can be requested for a surcharge.

Hotel del Centro offers free parking.",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Packed lunches Tour desk Heating Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning Non-smoking rooms Laundry Family rooms Ironing service Free parking internet services lift Safety Deposit Box Currency exchange outdoor pool (seasonal) concierge service shared lounge/TV area Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Kid meals Shallow end Fence around pool CCTV in common areas Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available,-28.55134|-66.81531,+543827420955,5310,https://www.booking.com/hotel/ar/del-centro-la-rioja.html
AR,Argentina,102144,Aimogasta,1886640,Hosteria Anillaco,TwoStar,Los Terebintos Avenue Castro Barros5301 Anillaco ,,"Hosteria Anillaco in Anillaco features 2-star accommodation with a shared lounge, a terrace and a restaurant. With free WiFi, this 2-star hotel offers room service and a 24-hour front desk. Each room is equipped with a balcony.

Guest rooms in the hotel are equipped with a flat-screen TV with cable channels. Hosteria Anillaco provides certain rooms that include mountain views, and each room has a private bathroom with a bidet. All units feature a wardrobe.

Guests at the accommodation can enjoy a continental breakfast.

The nearest airport is La Rioja Airport, 101 km from Hosteria Anillaco.",,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Terrace Laundry Family rooms Ironing service Free parking internet services Packed lunches Heating wifi Free WiFi Non-smoking throughout designated smoking area Sun terrace Private check-in/check-out Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site Public Bath board games/puzzles Indoor play area kids' outdoor play equipment Kid meals secured parking Parking garage Accessible parking Wine/champagne coffee house on site Sun umbrellas Picnic area 24-hour security Fire extinguishers,-28.80414|-66.94652,,5301,https://www.booking.com/hotel/ar/hosteria-anillaco.html
AR,Argentina,105151,Allen,5294607,SanPier Alquileres Temporarios,All,Av. Roca 374  ,,"SanPier - Alquileres Temporarios is a self-catering accommodation in Allen. The property is 200 metres from San Martin Square and 300 metres from Santa Catalina church. Free WiFi access is available in some rooms.

Apartments at SanPier are styled in cream-coloured hues and feature modern décor. All of them are fitted with balconies overlooking the city, full kitchen facilities and comfortable living rooms. Each accommodation includes a flat-screen TV and a private bathroom, completed with free toiletries, a hairdryer and a bidet.

Guests staying  at SanPier - Alquileres Temporarios can unwind in the terrace. Housekeeping services are offered.

The apartment is 600 metres from Bus Terminal and 28 km from Aeropuerto Internacional Presidente Perón Airport. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform SanPier - Alquileres Temporarios in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property can only accept bookings from essential workers/permitted travellers, during dates where such guidelines exist. Reasonable evidence must be provided on arrival. If it isnt provided, your booking will be cancelled on arrival.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
A damage deposit of USD 25 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.",,property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Parking meeting/banquet facilities 24-hour front desk Terrace Non-smoking rooms dry cleaning Facilities for disabled guests mobile app for room service Family rooms screens or physical barriers placed between staff and guests in appropriate areas internet services invoice provided lift Soundproof rooms Heating wifi Free WiFi Non-smoking throughout Air conditioning concierge service Daily housekeeping Private parking Parking garage Wheelchair accessible Key access Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed,-38.98045|-67.83043,,8328,https://www.booking.com/hotel/ar/sanpier-alquileres-tempotarios.html
AR,Argentina,109401,Almafuerte,1385190,Howard Johnson Hotel Piedras Moras,ThreeStar,Ruta Prov N6 Km 1 7 AlmafuerteCórdoba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Piedras Moras Dam - 1.2 km / 0.7 mi <br /> Almafuerte Square - 2.9 km / 1.8 mi <br /> San Pedro Church - 3 km / 1.9 mi <br /> San Martin Square - 15.2 km / 9.4 mi <br /> Villa Rumipal Square - 36.5 km / 22.7 mi <br /> La Cascada Nature Reserve - 47.9 km / 29.8 mi <br /> Santa Rosa Church - 48.7 km / 30.3 mi <br /> </p><p>The preferred airport for Howard Johnson by Wyndham Piedras Moras is Cordoba (COR-Ingeniero Aeronautico Ambrosio L.V. Taravella Intl.) - 115.6 km / 71.8 mi </p>,"<p>HeadLine : Near Piedras Moras Dam</p><p>Location : Located in Almafuerte, Howard Johnson by Wyndham Piedras Moras is in the suburbs, a 2-minute drive from Piedras Moras Dam and 5 minutes from Almafuerte Square.  This golf hotel is 2.9 mi (4.6 km) from San Pedro Church and 9.4 mi (15.2 km) from San Martin Square.</p><p>Rooms : Make yourself at home in one of the 43 guestrooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and bidets. Conveniences include phones and safes, and housekeeping is provided daily.</p><p>Dining : Enjoy Argentinean cuisine at Ciboulette, a restaurant which features a bar/lounge, or stay in and take advantage of the room service. A complimentary buffet breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",54-3571-500333,Wheelchair accessible (may have limitations) Meeting rooms Conference space size (meters) - 336 Swimming pool Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Number of indoor pools - 1 Garden In-room accessibility (in select rooms) Full-service spa Tours/ticket assistance Free Buffet Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Multilingual staff Business center 24-hour front desk Playground on site Daily Spa services on site Safe-deposit box at front desk Coffee/tea in common areas Laundry facilities Sauna elevator Fitness facilities Conference space Hair salon Terrace Golf course on site Pool sun loungers Conference space size (feet) - 3617 Concierge services,-32.17487|-64.22723,54-9351-3290044,5854,https://www.wyndhamhotels.com/hojo/almafuerte-argentina/howard-johnson-piedras-moras/overview
AR,Argentina,109401,Almafuerte,1862438,Hotel de la Plaza,All,Tucuman 553 Tucuman 5935854 Almafuerte ,,"Set in Almafuerte, Hotel de la Plaza provides air-conditioned rooms with free WiFi. All rooms boast a TV with cable channels and a private bathroom. Guests can enjoy garden views.

At the hotel, each room is equipped with a wardrobe.

Santa Rosa de Calamuchita is 44 km from Hotel de la Plaza, while Villa Rumipal is 32 km from the property.",,Free self parking Family rooms Internet access Free WiFi Free WiFi Air conditioning Parking onsite Private parking,-32.19304|-64.25386,,5854,https://www.booking.com/hotel/ar/de-la-plaza-almafuerte.html
AR,Argentina,109401,Almafuerte,5791495,La Francisca,All,Tucuman 1612  ,,"Boasting a swimming pool, a garden, a restaurant and views of the garden, La Francisca is situated in Almafuerte and features accommodation with free WiFi.

The apartment provides guests with a patio, mountain views, a seating area, a flat-screen TV, a fully equipped kitchen with a fridge and an oven, and a private bathroom with bidet and free toiletries. For added convenience, the property can provide towels and bed linen for an extra charge.

If you would like to discover the area, diving and fishing are possible in the surroundings and La Francisca can arrange a bicycle rental service.

Embalse Rio Tercero is 24 km from the accommodation. The nearest airport is Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport, 115 km from La Francisca. Managed by a private host",,Free WiFi Air conditioning outdoor pool (seasonal) parking on site Private parking secured parking Swimming pool Swimming pool bicycle rental Parking Restaurant Golf course (within 3 km) Garden Fishing Family rooms Free parking internet services express check-in/check-out Canoeing Packed lunches Tour desk Diving wifi Outdoor pool,-32.18268|-64.25326,,5854,https://www.booking.com/hotel/ar/la-francisca.html
AR,Argentina,109177,Alta Gracia,1161736,Aldea Altos de Garay,OneStar,Los Espinillos y Las Glicinas Potrero de GarayCórdoba ,City centre : 3000mts Nearest Bus / Metro Stop : 80000mts,"HotelDescription#The hotel is located in Potrero de Garay, in an extraordinary location. Nearby are attractions such as The Reatres, Villa General Belgrano, Villa City of America and Alta Gracia, Cordoba.

The 5-room city hotel offers peace and contact with nature and has a range of services including a maid service, linens, dishes, towels for the swimming pool and solarium, a park and a playground. Further facilities available to guests include a restaurant, WLAN Internet access and a bike hire service. Those arriving by car may leave their vehicles in the hotel car park.

The hotel offers comfortable, clean and fully equipped guest rooms featuring a terrace with excellent views of the Sierras Grandes and the lake. In addition to a private bathroom with a shower and bathtub, accommodation units come with such amenities as a television, Internet access and a kitchenette with an oven and microwave. Other standard features of accommodation units include a double bed and individually regulated heating.

There is an outdoor swimming pool in the hotel grounds with parasols laid out for use by the water's edge. Furthermore, guests can enjoy recreational activities outside the hotel, such as lake and river fishing and a range of water sports.

Breakfast is served each morning at the hotel.",,Year of construction : 2005 Double rooms : 5 NO Connecting rooms Hotel Bathroom Shower Bathtub Internet access TV Kitchenette Fridge Cooker Microwave Individually adjustable heating Balcony NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage Mobile phone coverage Wi-fi Bicycle hire service Garden Non-smoking area Parasols Breakfast  ,-31.822075|-64.548279,,,
AR,Argentina,109177,Alta Gracia,1163650,Solares Hotel & Spa,ThreeStar,Bv. Pellegrini 797 Alta GraciaCórdoba ,,"Featuring a seasonal outdoor swimming pool, a spa, a restaurant, and a fitness centre, Solares Hotel & Spa offers free Wi-Fi and buffet breakfast in Alta Gracia.

Providing a tranquil environment, the rooms in Solares Hotel & Spa feature private bathrooms and cable TVs. Room service is available and laundry services can be arranged upon request.

Guests at Solares Hotel & Spa can arrange bicycle rentals and tours at the hotel. Free tickets to the Che museum and Manuel de Falla, located 300 metres away, are provided.

Drinks and snacks can be ordered at the on-site bar and Leyendas Sports Bar restaurant offers regional and international dishes.

Solares Hotel & Spa  is 500 metres from the shopping centre and 200 metres from Alta Gracia golf club. Ingeniero Ambrosio Tavarella International Airport is 50 km from the property. Free private parking is possible on site. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This accommodation is registered as a provider of the Pre Trip Program (Programa Previaje) of the Argentinian Ministry of Tourism and Sports(CUIT: 30715948253)

Please note that all gust must provide their DNI, and if they were under age, must have an authorization of their parents.
Please note the based on local tax laws, all Argentinian citizens and resident foreigners must pay an additional fee (VAT) of 21%. Only foreigners who pay with a foreign credit card, debit card or via bank transfer are exempt from this 21% additional fee (VAT) in accommodation and breakfast when presenting a foreign passport or a foreign ID along with a supporting document handed by the national migrations authority, if applicable.",54354715571571,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Golf course (within 3 km) Garden Non-smoking rooms Business centre Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking breakfast takeaway containers internet services Safety Deposit Box Currency exchange Spa and wellness centre children's playground Hot tub/jacuzzi Tour desk Luggage storage wifi Free WiFi Air conditioning Snack Bar Sun terrace concierge service parking on site Private parking wifi available in all areas board games/puzzles Kid meals Wine/champagne use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay,-31.65204|-64.44325,03547429086/42,5186,https://www.booking.com/hotel/ar/solares-del-alto.html
AR,Argentina,109177,Alta Gracia,1274006,Howard Johnson Sierras Hotel and Casino,FourStar,198 Av Velez Sarfiel Alta Gracia Cordoba X5186jdd Alta Gracia X5186JDD ,,"Situated in Alta Gracia, 35 km from City Hall, Howard Johnson Sierras Hotel y Casino Alta Gracia features accommodation with a seasonal outdoor swimming pool, free private parking, a fitness centre and a garden. Featuring a restaurant, the property also has a bar, as well as an indoor pool and a sauna. The hotel has a hot tub, room service and free WiFi throughout the property.

At the hotel the rooms include air conditioning, a desk, a flat-screen TV, a private bathroom, bed linen, towels and a terrace with a mountain view. All rooms have a safety deposit box.

Guests at Howard Johnson Sierras Hotel y Casino Alta Gracia can enjoy a continental breakfast.

You can play table tennis at this 4-star hotel.

The reception at the accommodation can provide tips on the area.

Uruguay Bridge is 35 km from Howard Johnson Sierras Hotel y Casino Alta Gracia, while Cuckoo Clock is 36 km from the property. The nearest airport is Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport, 54 km from the hotel. Please note the based on local tax laws, all Argentinian citizens and resident foreigners must pay an additional fee (VAT) of 21%. Only foreigners who pay with a foreign credit card, debit card or via bank transfer are exempt from this 21% additional fee (VAT) in accommodation and breakfast when presenting a foreign passport or a foreign ID along with a supporting document handed by the national migrations authority, if applicable.",54-000-0000,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Sauna Fitness centre Garden Non-smoking rooms Facilities for disabled guests Family rooms Casino Free parking internet services lift Spa and wellness centre Massage Table tennis Hot tub/jacuzzi Tour desk Heating Luggage storage wifi Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning outdoor pool (seasonal) indoor pool (all year) Daily housekeeping parking on site Private parking wifi available in all areas Public Bath Accessible parking Heated pool sun loungers or beach chairs Fence around pool Spa Facilities Spa lounge/relaxation area Spa/wellness packages Fitness Swimming pool Swimming pool guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests,-31.65469|-64.43786,54-3547-431200,5186,https://www.booking.com/hotel/ar/howard-johnson-sierras-y-casino-alta-gracia.html
AR,Argentina,109177,Alta Gracia,1342319,San Miguel Plaza Hotel All Inclusive,ThreeStar,Ruta 56 Kilometro 5 5000 Valle de ParavachascaCórdoba 5000 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Museo Histórico Nacional del Virrey Liniers - 29.1 km / 18.1 mi <br /> Museo Casa de Ernesto Che Guevara - 29.1 km / 18.1 mi <br /> Estancia Alta Gracia - 29.1 km / 18.1 mi <br /> Museo Estancia Jesuitica y casa del Virrey Liniers - 29.4 km / 18.3 mi <br /> Manuel de Falla Museum - 30.5 km / 19 mi <br /> Alta Gracia Golf Club - 30.5 km / 19 mi <br /> Museum of Che Guevara - 31 km / 19.3 mi <br /> Piedras Moras Dam - 44.5 km / 27.7 mi <br /> Almafuerte Square - 48.1 km / 29.9 mi <br /> San Pedro Church - 48.2 km / 29.9 mi <br /> Cervecera Square - 48.7 km / 30.3 mi <br /> House of Culture and the Bicentennial - 48.8 km / 30.3 mi <br /> Villa General Belgrano City Hall - 48.9 km / 30.4 mi <br /> Quaras Water and Adventure Park - 50.1 km / 31.1 mi <br /> </p><p>The preferred airport for San Miguel Plaza Hotel is Cordoba (COR-Ingeniero Aeronautico Ambrosio L.V. Taravella Intl.) - 74.8 km / 46.5 mi </p>,"<p>HeadLine : In Alta Gracia</p><p>Location : With a stay at San Miguel Plaza Hotel in Alta Gracia, you ll be 18.1 mi (29.1 km) from Museo Histórico Nacional del Virrey Liniers and 18.1 mi (29.1 km) from Museo Casa de Ernesto Che Guevara.  This golf hotel is 18.1 mi (29.1 km) from Estancia Alta Gracia and 18.3 mi (29.4 km) from Museo Estancia Jesuitica y casa del Virrey Liniers.</p><p>Rooms : Make yourself at home in one of the 74 guestrooms featuring minibars and flat-screen televisions. Complimentary wired Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as laptop-compatible safes and desks.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7:30 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",54-3547-497276,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Number of meeting rooms - 1 Television in common areas Free WiFi Number of bars/lounges - 1 Health club Spa treatment room(s) Designated smoking areas Number of indoor pools - 1 Garden Tours/ticket assistance Free Buffet Breakfast Luggage storage Free breakfast 24-hour front desk Conference center Daily Spa services on site Outdoor seasonal pool Safe-deposit box at front desk Coffee/tea in common areas Terrace Golf course on site Concierge services 24-hour business center,-31.86638|-64.370554,+543547497276,5189,http://www.sanmiguelplazahotel.com.ar/
