countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AZ,Azerbaijan,110755,Baku,1002050,Hilton Baku,FiveStar,1B Azadlig Ave Baku AZ1000 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baku City Circuit - 0.1 km / 0.1 mi <br /> Park Bulvar Mall - 0.2 km / 0.1 mi <br /> Government House - 0.2 km / 0.2 mi <br /> D?nizk?nari Milli Park - 0.3 km / 0.2 mi <br /> Nizami Street - 0.5 km / 0.3 mi <br /> Azerbaijan State Academic Opera and Ballet Theatre - 0.7 km / 0.4 mi <br /> 28 Mall - 0.8 km / 0.5 mi <br /> Caspian Sea - 1 km / 0.6 mi <br /> Port Baku Mall - 1.3 km / 0.8 mi <br /> Heydar Aliyev Palace - 1.4 km / 0.9 mi <br /> Nizami Museum - 1.6 km / 1 mi <br /> Fountain Square - 1.6 km / 1 mi <br /> Maiden s Tower - 1.6 km / 1 mi <br /> Sabir Park - 1.7 km / 1.1 mi <br /> Palace of the Shirvan Shahs - 2 km / 1.2 mi <br /> </p><p>The preferred airport for Hilton Baku is Baku (GYD-Heydar Aliyev Intl.) - 24.6 km / 15.3 mi </p>,"<p>HeadLine : Near Park Bulvar Mall</p><p>Location : With a stay at Hilton Baku, you ll be centrally located in Baku, steps from Baku City Circuit and within a 10-minute walk of 28 Mall.  This 5-star hotel is 1.8 mi (2.9 km) from Maiden s Tower and 1.9 mi (3 km) from Fountain Square.</p><p>Rooms : Make yourself at home in one of the 309 guestrooms featuring minibars and LCD televisions. Your Select Comfort bed comes with down comforters. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and designer toiletries.</p><p>Dining : Grab a bite at Cilantro, one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Need to unwind? Take a break with a tasty beverage at one of the 2 bars/lounges. Buffet breakfasts are available daily from 6 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.  Due to COVID-19, guests age 18 and older must provide proof of COVID-19 vaccination or?proof of COVID-19 recovery within 6?months before check-in?to access the property s public areas, including the restaurant, bar, pool, and spa facilities.</p>",994-124-645001,Gift shops or newsstand Dry cleaning/laundry service Proposal/romance packages available Parking (limited spaces) Number of meeting rooms - 18 Conference space size (meters) - 2000 Swimming pool Limo or Town Car service available Free WiFi Number of bars/lounges - 2 Designated smoking areas Number of spa tubs - 5 Number of indoor pools - 1 In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Rooftop terrace Airport transportation (surcharge) Wheelchair-accessible lounge Multilingual staff Conference center Wheelchairs available on site Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Turkish bath/Hammam Segway rental/tour nearby Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Wheelchair accessible (may have limitations) Ballroom Wheelchair-accessible concierge desk Express check-in Wheelchair-accessible path to elevator Wheelchair-accessible spa Wheelchair-accessible registration desk Wheelchair-accessible public washroom Arcade/game room Spa treatment room(s) Well-lit path to entrance Garden Stair-free path to entrance Free newspapers in lobby Full-service spa Boat tours nearby Couples/private dining Luggage storage Express check-out Grocery/convenience store Porter/bellhop Business center 24-hour front desk Scooter/moped rentals nearby Safe-deposit box at front desk Sauna Steam room Free self parking Conference space Hair salon Computer station Terrace ATM/banking Conference space size (feet) - 21528 Concierge services 24-hour business center,40.37269|49.851173,994-124-645000,AZ1000,http://www3.hilton.com/en/hotels/azerbaijan
AZ,Azerbaijan,110755,Baku,1002051,High Park Hotel,ThreeStar,10ABABEK AVENUE BAKU ,,"This lovely hotel can be found in Baku. With a total of 10 rooms, this is a nice place to stay. Those who dislike animals may enjoy their stay, as this hotel does not allow pets.",,Hotel,40.383592|49.892904,,1000,http://www.highpark.az/
AZ,Azerbaijan,110755,Baku,1002052,Iron Hotel,FourStar,"Faig Rustamov, 20A BAKU ",,"Iron Hotel is located 20 minutes drive from UNESCO listed Shirvanshah's Palace in Baku's Old Town. All the modern and comfortable rooms are decorated in neutral colours. The stylish restaurant with traditional ornaments serves international cuisine and national specialities. The Hotel is 5 minutes' walk from Azadlyg Prospekti Metro Station, offering access to the city centre and Baku Train Station. Heydar Aliev International Airport is 25 minutes drive away.",,Hotel American Express MasterCard Visa Bathroom Kitchen Terrace Room service Laundry service Bar Restaurant Non-smoking area Air conditioning in Restaurant Sauna Steam bath Massage,40.42321777|49.83491516,,AZ1130,www.iron.az
AZ,Azerbaijan,110755,Baku,1002053,Consul Hotel,ThreeStar,Hasan Aliyev Street Inqlab 92C InqlabBaku AZ1110 ,,"This hotel in Baku city centre offers air-conditioned rooms with refrigerators, extra-long beds and free Wi-Fi. It stands beside the Atatürk Park, a 2-minute walk from Ganjilik Metro Station.

Consul Hotels individually furnished rooms also include satellite TV, bathrobes and slippers.

Guests can enjoy European cuisine and Azerbaijan specialities in the Restaurant Consul. Breakfast is provided here each morning.

The 24-hour reception staff can assist you with laundry, faxing and photocopying. A shuttle service to local attractions is available on request.

Ganjlik Park and Ganjlik Shopping Centre can be reached within a 2-minute walk of the hotel. Baku Zoo and the Tofig Bahramov Stadium are a 7-minute walk from the Consul Hotel.",00994 124 651 598,Heating mobile app for room service guest accommodation is disinfected between stays dry cleaning Fax/photocopying shuttle service (additional charge) 24-hour security all plates  cutlery  glasses and other tableware have been sanitized Fire extinguishers guest accommodation sealed after cleaning Ironing service Smoke alarms thermometers for guests provided by property staff follow all safety protocols as directed by local authorities Parking hand sanitizer in guest accommodation and key areas internet services delivered food is securely covered physical distancing rules followed Bridal suite Security alarm Family rooms designated smoking area wifi contactless check-in/check-out Free WiFi Restaurant Laundry express check-in/check-out lift physical distancing in dining areas Bar cashless payment available Soundproof rooms Free parking linens  towels and laundry washed in accordance with local authority guidelines CCTV in common areas guests have the option to cancel any cleaning services for their accommodation during their stay 24-hour front desk breakfast takeaway containers access to health care professionals  Air conditioning Non-smoking rooms food can be delivered to guest accommodation shared stationery such as printed menus  magazines  pens  and paper removed VIP room facilities Special diet menus (on request) use of cleaning chemicals that are effective against coronavirus CCTV outside property On-site parking screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies meeting/banquet facilities Room service first aid kit available face masks for guests available process in place to check health of guests,40.40304|49.85327,994-12-4651282,AZ1110,https://www.booking.com/hotel/az/consul.html
AZ,Azerbaijan,110755,Baku,1002054,Altstadt Hotel,ThreeStar,Mammadyarov Street 3 2A Icheri Sheher 1001 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baku City Circuit - 0.1 km / 0.1 mi <br /> Palace of the Shirvan Shahs - 0.2 km / 0.2 mi <br /> Sabir Park - 0.3 km / 0.2 mi <br /> Maiden s Tower - 0.3 km / 0.2 mi <br /> Philarmonia Garden - 0.4 km / 0.2 mi <br /> Nizami Museum - 0.6 km / 0.4 mi <br /> D?nizk?nari Milli Park - 0.7 km / 0.4 mi <br /> Fountain Square - 0.7 km / 0.4 mi <br /> Azerbaijan State Philharmonic Hall - 0.8 km / 0.5 mi <br /> Caspian Sea - 1 km / 0.6 mi <br /> Azerbaijan Carpet Museum - 1 km / 0.7 mi <br /> Park Bulvar Mall - 1.4 km / 0.9 mi <br /> Flame Towers - 1.6 km / 1 mi <br /> Azerbaijan State Academic Opera and Ballet Theatre - 1.6 km / 1 mi <br /> Heydar Aliyev Palace - 1.7 km / 1.1 mi <br /> </p><p>The nearest major airport is Baku (GYD-Heydar Aliyev Intl.) - 26.3 km / 16.4 mi</p>,"<p>HeadLine : In Baku (Baku Old Town)</p><p>Location : With a stay at Altstadt Hotel in Baku (Baku Old Town), you ll be steps from Baku City Circuit and 3 minutes by foot from Palace of the Shirvan Shahs.  This hotel is 0.2 mi (0.4 km) from Nizami Museum and 0.3 mi (0.4 km) from Sabir Park.</p><p>Rooms : Make yourself at home in one of the 8 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks, housekeeping is provided daily, and irons/ironing boards can be requested.</p><p>Dining : A complimentary buffet breakfast is served daily from 8 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",994-12-4926402,Laundry facilities Free breakfast Daily Tours/ticket assistance Coffee/tea in common areas Dry cleaning/laundry service Free WiFi Free Buffet Breakfast Shared refrigerator 24-hour front desk,40.366948|49.835018,+994124926402,AZ1001,
AZ,Azerbaijan,110755,Baku,1002058,Old East Hotel,ThreeStar,Old City Ilyas Efendiyev Street Old City1095 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baku City Circuit - 0.1 km / 0.1 mi <br /> Flarmoniya Park - 0.1 km / 0.1 mi <br /> Palace of the Shirvan Shahs - 0.4 km / 0.2 mi <br /> Maiden s Tower - 0.5 km / 0.3 mi <br /> Azerbaijan State Philharmonic Hall - 0.5 km / 0.3 mi <br /> Sabir Park - 0.7 km / 0.4 mi <br /> Nizami Museum - 0.8 km / 0.5 mi <br /> Azerbaijan Carpet Museum - 0.9 km / 0.6 mi <br /> Fountain Square - 1 km / 0.6 mi <br /> Park Bulvar Mall - 1.7 km / 1.1 mi <br /> Azerbaijan State Academic Opera and Ballet Theatre - 1.9 km / 1.2 mi <br /> Heydar Aliyev Palace - 2 km / 1.2 mi <br /> Baku State University - 2.1 km / 1.3 mi <br /> Government House - 2.2 km / 1.3 mi <br /> Baku State Circus - 2.6 km / 1.6 mi <br /> </p><p>The nearest major airport is Baku (GYD-Heydar Aliyev Intl.) - 27 km / 16.8 mi</p>,"<p>HeadLine : Near Fountain Square</p><p>Location : With a stay at Old East Hotel in Baku (Baku Old Town), you ll be within a 15-minute walk of Fountain Square and Baku City Circuit.  This hotel is 0.4 mi (0.7 km) from Maiden s Tower and 0.6 mi (1 km) from Azerbaijan State Philharmonic Hall.</p><p>Rooms : Make yourself at home in one of the 10 air-conditioned rooms featuring refrigerators. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Bathrooms have showers and complimentary toiletries. Housekeeping is provided daily, and both irons/ironing boards and rollaway/extra beds (surcharge) are available on request.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Buffet breakfasts are available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",994-12-4970510,Luggage storage Free parking nearby Breakfast available (surcharge) 24-hour front desk Laundry facilities Tours/ticket assistance Restaurant Accessible bathroom Dry cleaning/laundry service Free WiFi In-room accessibility Airport transportation (surcharge) Free wired Internet Smoke-free property Free newspapers in lobby,40.36523|49.83291,994-50-5987070,AZ1095,
AZ,Azerbaijan,110755,Baku,1014664,Lake Palace Hotel Baku,FourStar,Zahid Khalilov Street 63A AZ1141 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baku Mall - 0.7 km / 0.4 mi <br /> Baku State University - 1.2 km / 0.8 mi <br /> Nizami Street - 3.3 km / 2 mi <br /> Baku City Circuit - 3.3 km / 2.1 mi <br /> Philarmonia Garden - 3.7 km / 2.3 mi <br /> Azerbaijan State Philharmonic Hall - 3.7 km / 2.3 mi <br /> Palace of the Shirvan Shahs - 3.8 km / 2.3 mi <br /> Fountain Square - 3.8 km / 2.4 mi <br /> Flame Towers - 3.8 km / 2.4 mi <br /> Sabir Park - 3.9 km / 2.4 mi <br /> Nizami Museum - 3.9 km / 2.4 mi <br /> Central Botanical Garden - 4 km / 2.5 mi <br /> Upland Park - 4.2 km / 2.6 mi <br /> Heydar Aliyev Palace - 4.2 km / 2.6 mi <br /> Maiden s Tower - 4.3 km / 2.7 mi <br /> </p><p>The preferred airport for Lake Palace Hotel is Baku (GYD-Heydar Aliyev Intl.) - 28.6 km / 17.8 mi </p>,"<p>HeadLine : In Baku (Yasamal)</p><p>Location : Located in Baku (Yasamal), Lake Palace Hotel is within a 5-minute drive of Flame Towers and Upland Park.  This 4-star hotel is 2.8 mi (4.5 km) from Baku City Circuit and 3.1 mi (5.1 km) from Fountain Square.</p><p>Rooms : Make yourself at home in one of the 25 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and bidets. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Grab a bite to eat at one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar. To-go breakfasts are available daily from 8:00 AM to 11:00 AM for a fee.</p><p>Renovations : This property is closed from July 4 2023 to December 31 2023 (dates subject to change).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival. At check-in, guests must provide a record of full COVID-19 vaccination.</p>",994-12-5655525,elevator Free self parking Fitness facilities Terrace ATM/banking Concierge services Dry cleaning/laundry service Distance from property (meters) - 10 secured parking Proposal/romance packages available Free parking nearby Reception hall Nightclub Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of indoor pools - 1 Garden Free newspapers in lobby Full-service spa Tours/ticket assistance Airport transportation - pickup (surcharge) 24-hour health club Private picnics Couples/private dining No accessible airport shuttle Wheelchair accessible  no Luggage storage Distance from property (ft) - 33 Business center 24-hour front desk Breakfast available (surcharge) Spa services on site Turkish bath/Hammam Safe-deposit box at front desk Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Sauna Steam room,40.385896|49.810528,994-55-2233972,AZ1141,http://www.lakepalacehotel.az/en.html
AZ,Azerbaijan,110755,Baku,1020248,Swan Hotel,ThreeStar,Rostropovich Street 17 1001 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baku City Circuit - 0.1 km / 0.1 mi <br /> Flarmoniya Park - 0.6 km / 0.4 mi <br /> Palace of the Shirvan Shahs - 0.8 km / 0.5 mi <br /> Sabir Park - 0.8 km / 0.5 mi <br /> Azerbaijan State Philharmonic Hall - 0.8 km / 0.5 mi <br /> Fountain Square - 0.9 km / 0.6 mi <br /> Nizami Museum - 1 km / 0.6 mi <br /> Flame Towers - 1.1 km / 0.7 mi <br /> Maiden s Tower - 1.3 km / 0.8 mi <br /> D?nizk?nari Milli Park - 1.4 km / 0.9 mi <br /> Caspian Sea - 1.5 km / 0.9 mi <br /> Azerbaijan Carpet Museum - 1.5 km / 1 mi <br /> Baku State University - 1.6 km / 1 mi <br /> Azerbaijan State Academic Opera and Ballet Theatre - 1.7 km / 1 mi <br /> Heydar Aliyev Palace - 1.8 km / 1.1 mi <br /> </p><p>The preferred airport for Swan Hotel is Baku (GYD-Heydar Aliyev Intl.) - 27.7 km / 17.2 mi </p>,"<p>HeadLine : Near Sabir Park</p><p>Location : With a stay at Swan Hotel, you ll be centrally located in Baku, steps from Baku City Circuit and 11 minutes by foot from Fountain Square.  This family-friendly hotel is 0.6 mi (0.9 km) from Flarmoniya Park and 0.7 mi (1.1 km) from Azerbaijan State Philharmonic Hall.</p><p>Rooms : Make yourself at home in one of the 6 air-conditioned rooms featuring fireplaces and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/café. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Continental breakfasts are available daily from 8:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</p><p>Special Instructions : Front desk staff will greet guests on arrival.  24-hour airport shuttle service is available on request. Fees may apply. Contact the property in advance to make arrangements.</p>",994-12-4920508,Library Express check-in Bar/lounge Coffee/tea in common areas Designated smoking areas (fines apply) 24-hour front desk Business center Grocery/convenience store Restaurant Express check-out Tours/ticket assistance Coffee shop or café Free self parking Dry cleaning/laundry service Free WiFi Free valet parking Babysitting or childcare (free) Free wired Internet Supervised childcare/activities (surcharge) Safe-deposit box at front desk Terrace Luggage storage Airport transportation - pickup (surcharge) Breakfast available (surcharge) Concierge services Shared microwave Designated smoking areas Reception hall Laundry facilities One meeting room Wheelchair accessible parking In-room accessibility Multilingual staff Fireplace in lobby Free newspapers in lobby,40.369624|49.827626,+994 12 4920508,AZ1001,http://swanbaku.com/
AZ,Azerbaijan,110755,Baku,1032390,Anatolia,FourStar,108 Yusif Vazirov street Narimanov district1117 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ganjlik Mall - 1.7 km / 1 mi <br /> Tofik Bakhramov Stadium - 2 km / 1.2 mi <br /> Baku Congress Centre - 2.9 km / 1.8 mi <br /> Metro Park - 3.3 km / 2 mi <br /> Haydar Aliyev Cultural Center - 3.5 km / 2.2 mi <br /> 28 Mall - 3.7 km / 2.3 mi <br /> Baku Entertainment Centre - 4.3 km / 2.7 mi <br /> Heydar Aliyev Palace - 4.3 km / 2.7 mi <br /> Baku Mall - 4.4 km / 2.7 mi <br /> Azerbaijan State Academic Opera and Ballet Theatre - 4.5 km / 2.8 mi <br /> Baku City Circuit - 4.5 km / 2.8 mi <br /> Nizami Street - 4.6 km / 2.8 mi <br /> Government House - 4.8 km / 3 mi <br /> Park Bulvar Mall - 4.8 km / 3 mi <br /> D?nizk?nari Milli Park - 4.9 km / 3.1 mi <br /> </p><p>The preferred airport for Anatolia Hotel is Baku (GYD-Heydar Aliyev Intl.) - 25.1 km / 15.6 mi </p>,"<p>HeadLine : Near Ganjlik Mall</p><p>Location : When you stay at Anatolia Hotel in Baku, you ll be in the business district, within a 5-minute drive of Tofik Bakhramov Stadium and Heydar Aliyev Palace.  This 4-star hotel is 2.5 mi (4 km) from Haydar Aliyev Cultural Center and 2.7 mi (4.4 km) from Azerbaijan State Academic Opera and Ballet Theatre.</p><p>Rooms : Make yourself at home in one of the 50 guestrooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Grab a bite to eat at Teras Restaurant, a restaurant which features a bar/lounge, or stay in and take advantage of the 24-hour room service. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",994-12-5643426,Free WiFi Number of bars/lounges - 1 Designated smoking areas Free newspapers in lobby Tours/ticket assistance Free shopping center shuttle Airport transportation (surcharge) Luggage storage Express check-out Multilingual staff 24-hour front desk Breakfast available (surcharge) Gift shops or newsstand Dry cleaning/laundry service Free long-term parking Free parking nearby Express check-in Meeting rooms Conference space size (meters) - 200 Coffee/tea in common areas Laundry facilities elevator Free self parking Conference space Conference space size (feet) - 2153 Concierge services 24-hour business center,40.405893|49.847135,994-12-5641475,AZ 11117,http://www.hotelanatolia.az/
AZ,Azerbaijan,110755,Baku,1032393,Pullman Baku,FiveStar,1C M. Mushfig Street 1006 Baku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Central Botanical Garden - 0.8 km / 0.5 mi <br /> Flame Towers - 2.7 km / 1.7 mi <br /> Upland Park - 2.8 km / 1.7 mi <br /> Baku State University - 2.9 km / 1.8 mi <br /> Baku City Circuit - 3.2 km / 2 mi <br /> D?nizk?nari Milli Park - 3.3 km / 2.1 mi <br /> Palace of the Shirvan Shahs - 3.4 km / 2.1 mi <br /> Azerbaijan Carpet Museum - 3.4 km / 2.1 mi <br /> Sabir Park - 3.6 km / 2.2 mi <br /> Azerbaijan State Philharmonic Hall - 3.6 km / 2.2 mi <br /> Nizami Museum - 3.7 km / 2.3 mi <br /> Flarmoniya Park - 3.8 km / 2.4 mi <br /> Fountain Square - 3.9 km / 2.4 mi <br /> Caspian Sea - 4 km / 2.5 mi <br /> Maiden s Tower - 4.2 km / 2.6 mi <br /> </p><p>The preferred airport for Pullman Baku is Baku (GYD-Heydar Aliyev Intl.) - 30.8 km / 19.2 mi </p>,"<p>HeadLine : Near Central Botanical Garden</p><p>Location : A stay at Pullman Baku places you in the heart of Baku, within a 5-minute drive of Central Botanical Garden and Flame Towers.  This 5-star hotel is 2.5 mi (4.1 km) from Upland Park and 2.6 mi (4.2 km) from Azerbaijan State Philharmonic Hall.</p><p>Rooms : Make yourself at home in one of the 280 individually decorated guestrooms, featuring minibars and flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and bidets.</p><p>Dining : Satisfy your appetite for dinner at Peppermill, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Relax with a refreshing drink from the poolside bar or one of the 4 bars/lounges. Buffet breakfasts are available daily from 6 AM to 10:30 AM for a fee.</p><p>Renovations : Due to COVID-19, this propertys food and beverage options may be limited.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation Guests must contact this property in advance to reserve cribs/infant beds, rollaway/extra beds, sofa beds, and onsite parking This property accepts credit cards and cash Noise-free guestrooms cannot be guaranteed Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : Front desk staff will greet guests on arrival.  Due to COVID-19, this property s food and beverage options may be limited pursuant to local regulations.</p>",994-12-538 90 91,Sauna Health club Smoke-free property Picnic area Outdoor seasonal pool Waterslide Children's pool elevator Safe-deposit box at front desk Fitness facilities Spa services on site Indoor pool Trampoline 24-hour front desk Proposal/romance packages available Poolside bar Business center Turkish bath/Hammam Porter/bellhop Restaurant Express check-out Free self parking Dry cleaning/laundry service Number of meeting rooms - 6 Terrace Luggage storage Hair salon ATM/banking Concierge services Conference center Wheelchair accessible (may have limitations) Outdoor tennis court Airport transportation (surcharge) Tennis on site Barbecue grill(s) Number of bars/lounges - 4 Full-service spa Free water park access Spa treatment room(s) Tours/ticket assistance Steam room Free WiFi Breakfast available (surcharge) Ballroom Banquet hall Laundry facilities Spa tub Wheelchair accessible path of travel Accessible bathroom Roll-in shower Wheelchair accessible parking Arcade/game room In-room accessibility Garden Multilingual staff Free newspapers in lobby,40.354272|49.804864,994-12-538 90 90,AZ1006,http://www.pullmanhotels.com/gb/hotel-A8J3-pullman-baku/index.shtml
