countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BS,Bahamas,100111,Abaco Island,1006427,Sea Spray Resort & Marina,ThreeStar,White Sound Elbow Cay Elbow CayAbacoBahamas ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tilloo National Park - 1.2 km / 0.8 mi <br /> Tahiti Beach - 1.4 km / 0.9 mi <br /> Wyannie Malone Museum - 4 km / 2.5 mi <br /> Hope Town Lighthouse - 4.3 km / 2.7 mi <br /> </p>,"<p>HeadLine : Near Tahiti Beach</p><p>Location : With a stay at this villa in Hope Town, you ll be near the beach, within a 5-minute drive of Tahiti Beach and Tilloo National Park.  This villa is 2.5 mi (4 km) from Wyannie Malone Museum and 2.7 mi (4.3 km) from Hope Town Lighthouse.</p><p>Rooms : Make yourself comfortable in this air-conditioned villa, featuring a kitchen with a refrigerator and a stovetop. There s a private patio. Wireless Internet access (surcharge) keeps you connected, and satellite programming is available for your entertainment. Conveniences include a phone, as well as a separate sitting area and a microwave.</p><p>Dining : Enjoy a satisfying meal at The Boat House Restaurant serving guests of this villa. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>",1-242-366-0383,Barbecue grill(s) Bar/lounge Elevator/lift Breakfast available (surcharge) Gift shops or newsstand Front desk (limited hours) Marina on site Tours/ticket assistance Restaurant Free self parking WiFi (surcharge) Outdoor pool Smoke-free property,26.508805|-76.975339,1-242-366-0065,99999,http://www.seasprayresort.com
BS,Bahamas,100111,Abaco Island,1251117,The Sandpiper Inn & Cottages,ThreeStar,#9 10 Bay Street Schooner Bay VillageSouth Abaco ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lucayan Archipelago - 0.1 km / 0.1 mi <br /> Casuarina Point - 19.9 km / 12.4 mi <br /> Serenity Bay Beach - 34.4 km / 21.4 mi <br /> Castaway Family Beach - 34.4 km / 21.4 mi <br /> Teen Beach - 34.4 km / 21.4 mi <br /> Boat Beach - 34.4 km / 21.4 mi <br /> Sports Beach - 34.4 km / 21.4 mi <br /> Sandy Point Beach - 34.9 km / 21.7 mi <br /> Abaco National Park - 36.2 km / 22.5 mi <br /> Snake Cay - 39.8 km / 24.7 mi <br /> Bridges Cay - 44.6 km / 27.7 mi <br /> Tahiti Beach - 47.3 km / 29.4 mi <br /> Garbanzo Beach - 47.8 km / 29.7 mi <br /> Marsh Harbour - 48 km / 29.8 mi <br /> Abaco Marina - 49.3 km / 30.6 mi <br /> </p><p>The preferred airport for The Sandpiper Inn & Cottages is Marsh Harbour (MHH) - 45.4 km / 28.2 mi </p>,"<p>HeadLine : In Crossing Rocks (Schooner Bay Village)</p><p>Location : With a stay at The Sandpiper Inn & Cottages in Crossing Rocks, you ll be 21.7 mi (34.9 km) from Sandy Point Beach and 22.5 mi (36.2 km) from Abaco National Park.  This inn is 29.8 mi (48 km) from Marsh Harbour.</p><p>Rooms : Make yourself at home in one of the 7 guestrooms. Rooms have private balconies or patios. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and bathrobes.</p><p>Dining : For lunch or dinner, stop by The Sandpiper Restaurant, a bar/lounge that specializes in local and international cuisine. You can also grab snacks at the coffee shop/cafe. Mingle with other guests at the complimentary reception, held daily. Cooked-to-order breakfasts are available daily from 8:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 4 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. The host will greet guests on arrival.</p>",1-242-6992056,Babysitting or childcare (surcharge) Reception hall Free reception Free wired Internet Television in common areas Free WiFi Number of bars/lounges - 1 Marina on site Number of outdoor pools - 1 Picnic area In-room accessibility (in select rooms) Free newspapers in lobby Wedding services Tours/ticket assistance Beach towels Boat tours nearby Fishing on site Airport transportation (surcharge) Cave exploring/spelunking nearby Outdoor tennis courts - 1 Bicycle rentals on site Breakfast available (surcharge) Snorkeling nearby Smoke-free property Rowing or canoeing on site Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Ecotours on site Free self parking Free beach cabanas Kayaking on site Motor boating on site Beach sun loungers Terrace Wheelchair accessible path of travel Basketball on site,26.16044|-77.179012,+12426992056,,http://www.sandpiperabaco.com
BS,Bahamas,100111,Abaco Island,1261322,Hope Town Harbour Lodge an Ascend Hotel Collection Hope Town,ThreeStar,Hope Town Harbour Lodge Up Along Street Hope Town Abaco Bahamas Elbow CayHope TownAbaco Islands ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Wyannie Malone Museum - 0.3 km / 0.2 mi <br /> Hope Town Lighthouse - 0.7 km / 0.4 mi <br /> Tilloo National Park - 5.3 km / 3.3 mi <br /> Tahiti Beach - 5.5 km / 3.4 mi <br /> </p>,"<p>HeadLine : Near Wyannie Malone Museum</p><p>Location : With a stay at Hope Town Harbour Lodge an Ascend Hotel Collection, you ll be centrally located in Hope Town, just a 4-minute walk from Wyannie Malone Museum and 8 minutes by foot from Hope Town Lighthouse.  This beach resort is 3.4 mi (5.5 km) from Tahiti Beach and 3.3 mi (5.3 km) from Tilloo National Park.</p><p>Rooms : Make yourself at home in one of the 25 air-conditioned rooms featuring kitchenettes. Rooms have private furnished balconies. 32-inch LED televisions and iPod docking stations are provided, while wireless Internet access (surcharge) keeps you connected. Conveniences include refrigerators and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy a satisfying meal at The Reef serving guests of Hope Town Harbour Lodge an Ascend Hotel Collection. Quench your thirst with your favorite drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 8:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",1-242-3660286,Express check-in Bar/lounge Designated smoking areas (fines apply) Front desk (limited hours) Conference space Express check-out Tours/ticket assistance Free self parking Pool sun loungers WiFi (surcharge) Babysitting or childcare (surcharge) Outdoor pool Smoke-free property On private beach Safe-deposit box at front desk Conference space size (meters) - 46 Breakfast available (surcharge) Conference space size (feet) - 500 Gift shops or newsstand Shopping on site Laundry facilities One meeting room Wedding services Garden,26.535464|-76.958127,1-242-3660095,0000,http://www.hopetownlodge.com/
BS,Bahamas,100111,Abaco Island,1508600,Oceanfrontier Vacation Club,FourStar,Great Guana Cay ABACO ,,"Oceanfrontier Vacation Club is the perfect size getaway. A family-friendly island atmosphere on a beach-rimmed jewel in the Atlantic, it is situated on five miles of soft sand with unparalleled snorkeling, a distinct lack of crowds, and an endless view of the sea. Oceanfrontier is the escape you have dreamed of. The island pace will lull you into a state of relaxation, but take some time to explore and enjoy the varied amenities available. It is truly better in the Bahamas; one visit to Guana Cay and we know you will come back.",,Resort Laundry service Windsurfing,26.666944|-77.101389,,,http://oceanfrontier.com/gallery/our-resort/
BS,Bahamas,100111,Abaco Island,1531339,Hope Town Inn & Marina,ThreeStar,Hope Town Marina Abaco ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hope Town Lighthouse - 0.1 km / 0.1 mi <br /> Wyannie Malone Museum - 0.4 km / 0.2 mi <br /> Tilloo National Park - 5.6 km / 3.5 mi <br /> Tahiti Beach - 5.8 km / 3.6 mi <br /> </p>,"<p>HeadLine : Near Hope Town Lighthouse</p><p>Location : When you a stay at Hope Town Inn & Marina in Hope Town, you ll be near the beach, within a 5-minute walk of Hope Town Lighthouse and Wyannie Malone Museum.  This inn is 3.6 mi (5.8 km) from Tahiti Beach and 3.5 mi (5.6 km) from Tilloo National Park.</p><p>Rooms : Make yourself at home in one of the 18 air-conditioned rooms featuring microwaves. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the inn s room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Breakfast is available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",1-242-3660245,Free area shuttle Barbecue grill(s) Picnic area Bar/lounge Luggage storage Number of outdoor pools - 2 Breakfast available (surcharge) Concierge services Front desk (limited hours) Poolside bar Swim-up bar Laundry facilities Tours/ticket assistance Restaurant Free self parking Free WiFi Wedding services Computer station Smoke-free property Free newspapers in lobby,26.537904|-76.962512,1-242-3660003,00000,http://www.hopetownmarina.com/
BS,Bahamas,100111,Abaco Island,1823409,Big Bamboo,FourStar,Dorros Cove North Hope Town ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tahiti Beach - 0.2 km / 0.1 mi <br /> Tilloo Cay - 0.5 km / 0.3 mi <br /> Tilloo National Park - 0.5 km / 0.3 mi <br /> Wyannie Malone Museum - 5.2 km / 3.2 mi <br /> Hope Town Lighthouse - 5.6 km / 3.5 mi <br /> </p>,"<p><b>Property Location</b> <br />With a stay at this villa in Hope Town, you'll be on the waterfront, just a 2-minute walk from Tahiti Beach and 6 minutes by foot from Tilloo Cay.  This 4-star villa is 0.4 mi (0.6 km) from Tilloo National Park and 3.2 mi (5.2 km) from Wyannie Malone Museum.</p><p><b>Rooms</b> <br />Make yourself comfortable in this air-conditioned villa, featuring a kitchen with a full-sized refrigerator/freezer and an oven. A flat-screen television with cable programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a separate sitting area and a microwave, and housekeeping is provided on a limited basis.</p><p><b>Amenities</b> <br />Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",,Barbecue grill(s) Free WiFi Free self parking Garden Smoke-free property Terrace Total number of rooms - 1,26.50268|-76.9818,,,
BS,Bahamas,100896,Andros,1109575,Nathan's Lodge,ThreeStar,Kemps Bay Kemps BayAndros ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lucayan Archipelago - 0.1 km / 0.1 mi <br /> Long Bay Cays - 5.7 km / 3.5 mi <br /> Buttonwood Cay - 16.3 km / 10.1 mi <br /> High Point Cay - 18.4 km / 11.4 mi <br /> Barge-Driggs Hill Port - 19.3 km / 12 mi <br /> </p>,"<p>HeadLine : By the ocean</p><p>Location : Located in Kemps Bay, Nathan s Lodge is by the ocean, a 1-minute drive from Lucayan Archipelago and 7 minutes from Long Bay Cays.  This holiday park is 10.1 mi (16.3 km) from Buttonwood Cay and 11.4 mi (18.4 km) from High Point Cay.</p><p>Rooms : Make yourself at home in one of the 9 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and complimentary toiletries. Conveniences include desks and complimentary bottled water, as well as phones with free local calls.</p><p>Dining : Grab a bite to eat at the holiday park s beachfront restaurant, which features bar/lounge, or stay in and take advantage of the room service (during limited hours). Cooked-to-order breakfasts are available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Minimum Spring Break check-in age is 18 years old</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and debit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1,Terrace Scuba diving on site Free long-term parking Wheelchair accessible  no Express check-out Express check-in Grocery/convenience store 24-hour front desk Sailing nearby Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Barbecue grill(s) Smoke-free property Ecotours nearby In-room accessibility (in select rooms) Laundry facilities Free self parking Snorkeling on site Beach towels Kayaking on site,24.054459|-77.541955,242-3691707,9750,http://nathanslodge.com
BS,Bahamas,100896,Andros,1175931,Small Hope Bay Lodge All Inclusive,ThreeStar,Fresh Creek Andros Queens Highway Fresh CreekAndros Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lucayan Archipelago - 0.1 km / 0.1 mi <br /> Androsia Batik Works Factory - 3.9 km / 2.4 mi <br /> Fresh Creek Harbour - 4.8 km / 3 mi <br /> Fresh Creek - 7.4 km / 4.6 mi <br /> Andros Barrier Reef - 7.7 km / 4.8 mi <br /> Somerset Beach - 8.4 km / 5.2 mi <br /> Blue Holes - 11.2 km / 7 mi <br /> Morgan s Bluff - 11.2 km / 7 mi <br /> Kamalame Cay Marina - 16.7 km / 10.4 mi <br /> Forfar Field Station - 22.4 km / 13.9 mi <br /> Tongue of the Ocean - 26.7 km / 16.6 mi <br /> Behring Point Boat Ramp - 36.1 km / 22.4 mi <br /> Behring Dock - 37.9 km / 23.5 mi <br /> </p>,"<p>HeadLine : On the waterfront</p><p>Location : Located in Andros Town, Small Hope Bay Lodge  is on the waterfront, a 1-minute drive from Lucayan Archipelago and 5 minutes from Androsia Batik Works Factory.  This beach hotel is 3 mi (4.8 km) from Fresh Creek Harbour and 4.6 mi (7.4 km) from Fresh Creek.</p><p>Rooms : Make yourself at home in one of the 21 air-conditioned guestrooms. Rooms have private patios. Conveniences include safes and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Small Hope Restaurant, a beachfront restaurant which features an ocean view. You can also stay in and take advantage of the room service (during limited hours). Relax with a refreshing drink from the beach bar or one of the 2 bars/lounges. A complimentary cooked-to-order breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 6:00 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1-242-368-2015,Number of bars/lounges - 2 Arcade/game room Number of beach bars - 1 Garden Picnic area Wedding services Accessible bathroom (in select rooms) Fireplace in lobby Beach towels Sailing on site Fishing on site Windsurfing on site Free bicycles on site Scuba diving on site Free Cooked-to-Order Breakfast On private beach Free breakfast Multilingual staff Front desk (limited hours) Library Playground on site Smoke-free property Coffee/tea in common areas Hiking/biking trails nearby Laundry facilities Ecotours on site Fitness facilities Snorkeling on site Kayaking on site Beach sun loungers Wheelchair accessible path of travel Gift shops or newsstand Dry cleaning/laundry service Shopping on site Babysitting or childcare (surcharge) Free WiFi,24.747221|-77.810943,1-242-3682014,PO BOX 233,http://www.smallhope.com/
BS,Bahamas,100896,Andros,1255676,Tiamo Resort,FourStar,South Andros Island AndrosSouth Andros Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lucayan Archipelago - 0.1 km / 0.1 mi <br /> Buttonwood Cay - 0.1 km / 0.1 mi <br /> Long Bay Cays - 15 km / 9.3 mi <br /> High Point Cay - 38.7 km / 24 mi <br /> </p>,"<p>HeadLine : Near Buttonwood Cay</p><p>Location : When you a stay at Tiamo Resort in Driggs Hill, you ll be by the ocean, just steps from Lucayan Archipelago and Buttonwood Cay.  This 4-star hotel is 9.3 mi (15 km) from Long Bay Cays and 24 mi (38.7 km) from High Point Cay.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms featuring minibars. Your Select Comfort bed comes with Egyptian cotton sheets. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and designer toiletries.</p><p>Dining : Enjoy Caribbean cuisine at Front house, a restaurant where you can take in the garden view and dine alfresco. Or stay in and take advantage of the room service (during limited hours). Relax with a refreshing drink at one of the 2 bars/lounges.</p><p>Renovations : The property is closed during September and October.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 7:30 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",1-786-3692335,Library Personal motorized watercraft on site Front desk (limited hours) Business center Express check-out Luggage storage Golf driving range on site Boat tours on site Fishing on site Water skiing on site Beach towels Wedding services Full-service spa Internet access in public areas - high speed Garden Health club Arcade/game room Meeting rooms Express check-in Snorkeling on site Fitness facilities Laundry facilities Ecotours nearby Multilingual staff On private beach Airport transportation (surcharge) Scuba diving on site Tours/ticket assistance Number of indoor pools - 1 Number of outdoor pools - 1 Designated smoking areas Number of bars/lounges - 2 Free WiFi Conference space size (meters) - 700 Pool umbrellas Babysitting or childcare (surcharge) Dry cleaning/laundry service Gift shops or newsstand Concierge services Conference space size (feet) - 7532 Pool sun loungers Terrace Beach sun loungers Computer station Conference space Snack bar/deli Rowing or canoeing on site Safe-deposit box at front desk Spa services on site,24.18397|-77.623882,1-786-3742442,800,https://www.ivhtravel.com/hotel-tiamo-resort-h67180.html
BS,Bahamas,100896,Andros,1357001,Emerald Palms Resort Hotel,FiveStar,P.O. Box 800 The BluffDriggs HillSouth Andros ,,HotelDescription#Further information about this hotel will be available shortly,+12423692711,NO Disability-friendly bathroom NO Large pets allowed (over 5 kg) NO Car park NO Small pets allowed (under 5 kg) NO Wheelchair-accessible NO Connecting rooms NO Smoking rooms NO Garage,24.188760771992|-77.59048640728,+12423692712|+12423692713,,http://www.emerald-palms.com/
