countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BY,Belarus,110368,Babrujsk,1379732,Amaks Premier Hotel,All,Sovetskaya street 97/26 Bobruisk ,,"Offering a 24-hour front desk and a luggage storage, Amaks Premier Hotel is a self-catering accommodation, located a 12-minute walk from Spartak Stadium.

The rooms feature a working area and cable TV.

Guests are welcome to eat out in the cafés and restaurants nearby.

Bobruysk Train Station is 2.3 km away, and Minsk National Airport is 149 km from Amaks Premier Hotel. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",375-225-720613,thermometers for guests provided by property delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized invoice provided physical distancing rules followed cashless payment available first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Live sport events (broadcast) Walking tours parking on site Daily housekeeping airport shuttle (additional charge) vending machine (drinks) shuttle service (additional charge) Private check-in/check-out concierge service designated smoking area Free WiFi wifi Luggage storage Fax/photocopying Heating Car hire Hiking Safety Deposit Box express check-in/check-out lift internet services Free parking Ironing service Family rooms Barber/beauty shop Facilities for disabled guests Laundry Airport shuttle Non-smoking rooms 24-hour front desk Bar meeting/banquet facilities Pets allowed Parking,53.14271|29.22479,375-225-706473,213809,https://www.booking.com/hotel/by/amaks-primier-bobruisk.html
BY,Belarus,110368,Babrujsk,1431528,Turist Hotel,All,Voykova Street 20 Bobruysk 213827 ,,"Turist Hotel is located on Berezina River bank, and offers various treatments. It features a spa-center, gym and billiards lounge. Bobruysk town centre is within a 10-minute walk.

The hotels restaurant offers Belorussian and European dishes. A buffet breakfast is served every morning.

All bright rooms come with a TV and fridge. Guests can use a private bathroom, and free toiletries are provided.

Turist Hotel offers a sauna, massage services and mud treatment. It is possible to play bowling or billiards, and to sing karaoke. For the youngest guests there is an on-site childrens playground.

Bobruysk Central Station is 5 km from the hotel, and the distance to Minsk is 145 km. A shuttle service is provided at surcharge.",+375225492001,invoice provided first aid kit available hand sanitizer in guest accommodation and key areas Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm 24-hour security Live music/performance Tour or class about local culture Walking tours wifi available in all areas Private parking parking on site Daily housekeeping Evening entertainment Beachfront ski equipment hire on site Private check-in/check-out nightclub/dj designated smoking area Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Heating Tour desk Bowling Packed lunches Hot tub/jacuzzi Billiards Spa and wellness centre Safety Deposit Box express check-in/check-out lift internet services Ironing service Family rooms Barber/beauty shop Skiing Facilities for disabled guests Laundry Business centre Non-smoking rooms Sauna 24-hour front desk Bar meeting/banquet facilities Pets allowed Restaurant Parking,53.15498|29.24662,+375225493191,213830,https://www.booking.com/hotel/by/turist.html
BY,Belarus,110368,Babrujsk,1433784,Cherry Orhard Hotel,All,Derevnya Shchatkovo Babruysk 220141 ,,"Located at the banks of the Berezina River, 10 km from Babruysk, Cherry Orhard Hotel offers a private beach, free aqua zone with sauna, indoor pool, hot tub  and qym. Free WiFi and free parking are available on site.

The rooms feature a fridge and cable TV. Some rooms come with a balcony and seating area.

Guests can dine in the hotels restaurant or use on-site barbecue facilities. There is also a bar on site. An array of activities can be enjoyed on site include table tennis, billiards, cycling, fishing and hiking.

Babruysk Train Station is 15.5 km away, and Minsk National Airport is 132 km from Cherry Orhard Hotel.",,Fire extinguishers wifi Themed dinner nights Non-smoking rooms Smoke alarms Free parking Bike tours nightclub/dj Karaoke Family rooms books  dvds  music for children Billiards Pool Bar board games/puzzles Ski-to-door access Snack Bar grocery deliveries vending machine (drinks) kids' outdoor play equipment Skiing Mini-market on site Pool with view Room service Children television networks Cooking class Shallow end shared lounge/TV area CCTV outside property Indoor play area Ski equipment hire (on site) shuttle service (additional charge) Kid meals Heating Walking tours indoor pool (all year) airport shuttle (additional charge) Swimming pool Cycling Special diet menus (on request) 24-hour front desk Indoor pool CCTV in common areas Pool cover Heated pool pool/beach towels Daily housekeeping Sauna Parking Snorkelling Private check-in/check-out Bicycle rental (additional charge) Happy hour Free WiFi Laundry Garden Ironing service Sun terrace Pets allowed Evening entertainment breakfast in the room BBQ facilities Private parking Live music/performance meeting/banquet facilities designated smoking area internet services Airport shuttle Hiking Games room Table tennis Restaurant Horse riding express check-in/check-out Bar Fishing Ski storage Terrace Fax/photocopying Packed lunches Bridal suite Live sport events (broadcast) On-site parking children's playground Plunge pool,53.23469|29.17584,,220141,https://www.booking.com/hotel/by/cherry-orchard.html
BY,Belarus,110368,Babrujsk,1564767,Yubulieynaya,All,50 Let Vlksm 26 213810 Bobruisk ,,"Yubileinaya is situated in Bobruisk and features a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and an ATM, along with free WiFi. The rooms include a TV with cable channels.

The private bathroom is equipped with free toiletries. All units feature a wardrobe.

Guests at Yubileinaya will be able to enjoy activities in and around Bobruisk, like hiking.",,hand sanitizer in guest accommodation and key areas cashless payment available thermometers for guests provided by property CCTV outside property CCTV in common areas Smoke alarms Security alarm Children television networks wifi available in all areas parking on site Daily housekeeping Special diet menus (on request) Private check-in/check-out nightclub/dj concierge service ATM/cash machine on site Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Table tennis Billiards Safety Deposit Box lift internet services Free parking Bridal suite Ironing service Family rooms Barber/beauty shop Non-smoking rooms Newspapers 24-hour front desk meeting/banquet facilities Pets allowed Restaurant Parking staff follow all safety protocols as directed by local authorities use of cleaning chemicals that are effective against coronavirus Fire extinguishers,53.16794|29.19147,,213810,https://www.booking.com/hotel/by/yubulieynaya.html
BY,Belarus,110368,Babrujsk,1718523,Timyan,ThreeStar,Ulitsa Gorelika 309 Bobruysk ,,"Located in Bobruisk, ?????? features a restaurant, bar, garden, and free WiFi. Featuring room service, this property also provides guests with a childrens playground. The hotel has family rooms.

At the hotel, all rooms have a wardrobe. Each room is equipped with a desk and a flat-screen TV, and certain rooms at ?????? have a patio. At the accommodation every room has bed linen and towels.

Continental and à la carte breakfast options are available daily at ??????.

The hotel offers a terrace. Guests at ?????? will be able to enjoy activities in and around Bobruisk, like hiking.

Asipovichy is 38 km from the accommodation.",,Restaurant Room service meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Family rooms Free parking internet services express check-in/check-out children's playground Hiking Heating wifi Free WiFi Parking Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms 24-hour security Live sport events (broadcast) Live music/performance kids' outdoor play equipment Private parking parking on site Daily housekeeping shuttle service (additional charge) Private check-in/check-out designated smoking area Air conditioning,53.13941|29.15341,+375444809994,213825,https://www.booking.com/hotel/by/timyan.html
BY,Belarus,110368,Babrujsk,5419586,Apart on Engelsa street,All,Ulitsa Enghiel'sa D.90  ,,"Nasutkibobr Apartment on Engelsa 90 is located in Bobruisk. This apartment provides room service and free WiFi.

The apartment features 1 bedroom, a flat-screen TV with cable channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a shower.

Guests at the apartment can enjoy hiking nearby, or make the most of the garden. This property will not accommodate hen, stag or similar parties.
Please inform Nasutkibobr Apartment on Engelsa 90 in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the check-in and key-collection take place at: ????? ????????????? ?.118 4 ???????, 213811 ?. ????????.",,kids' outdoor play equipment invoice provided Non-smoking throughout Children television networks Heating breakfast in the room Free parking Free WiFi shuttle service (additional charge) Parking Car hire Chapel/shrine Hiking Tennis Court Airport shuttle Garden internet services airport shuttle (additional charge) wifi available in all areas Room service wifi,53.13633|29.21703,,213819,https://www.booking.com/hotel/by/apart-on-engelsa-street.html
BY,Belarus,110368,Babrujsk,5626286,Paulmarie Apartments On Gor'kogo,All,34 Vulica Horkaha  ,,"PaulMarie Apartments on Gorkogo is located in Bobruisk. This apartment provides a tour desk and free WiFi.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a balcony with city views.

Guests at the apartment can enjoy a à la carte breakfast.

A car rental service is available at PaulMarie Apartments on Gorkogo.

Asipovichy is 42 km from the accommodation. This property will not accommodate hen, stag or similar parties.",,Parking Non-smoking rooms Airport shuttle Family rooms breakfast in the room Free parking internet services Car hire Tour desk wifi Free WiFi Non-smoking throughout designated smoking area Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping grocery deliveries parking on site wifi available in all areas Walking tours Bike tours Tour or class about local culture invoice provided,53.14672|29.22408,,213827,https://www.booking.com/hotel/by/paulmarie-apartments-on-gor-kogo.html
BY,Belarus,101666,Baranovichi,1435693,Venin Hotel,All,Smolenskaya str 12A 225409 Baranovichy ,,"Venin Hotel is a hotel located in the centre of Baranavichy. You can relax with a drink from the bar. It offers free WiFi access throughout and a 24-hour reception. is available.

Each room features a flat-screen TV, air conditioning and a sofa. An electric kettle is also provided and the private bathroom is fitted with a bathtub or a shower.

Breakfast is included in the rate and served each morning in the communal lounge.

The property also offers free private parking on site.",,Smoke alarms Parking secured parking Fire extinguishers meeting/banquet facilities breakfast options Non-smoking throughout Airport shuttle On-site parking Private parking designated smoking area Safety Deposit Box Free parking Soundproof rooms express check-in/check-out Fruits Heating Family rooms Chocolate or cookies Security alarm Free WiFi Fax/photocopying Restaurant Bottle of water Bridal suite Private check-in/check-out Luggage storage airport shuttle (additional charge) Non-smoking rooms Street parking on-site coffee house Daily housekeeping CCTV in common areas Air conditioning CCTV outside property Massage chair Bar internet services 24-hour front desk wifi Ironing service wifi available in all areas 24-hour security Wine/champagne,53.12776|26.02446,+375163410784|+375163411120,225409,https://www.booking.com/hotel/by/venin-baranowitschi.html
BY,Belarus,101666,Baranovichi,1565651,Horizont,ThreeStar,Sovetskaya 82 225409 Baranavichy ,,"Hotel Gorizont in Baranavichy provides accommodation with a bar and a casino. Among the facilities of this property are a restaurant, a 24-hour front desk and an ATM, along with free WiFi. The tour desk is available to assist guests in planning their days out.

At the hotel, all rooms are equipped with a desk, a TV, a private bathroom, bed linen and towels. The units feature a wardrobe.

Guests at Hotel Gorizont will be able to enjoy activities in and around Baranavichy, like hiking.

Nyasvizh is 45 km from the accommodation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Laundry Barber/beauty shop Casino Ironing service internet services lift Safety Deposit Box Billiards Hiking Tour desk Heating wifi Free WiFi Non-smoking throughout designated smoking area ATM/cash machine on site nightclub/dj Private check-in/check-out shuttle service (additional charge) Daily housekeeping parking on site,53.13229|26.01606,00375163421012,225409,https://www.booking.com/hotel/by/gorizont.html
BY,Belarus,101666,Baranovichi,1716047,Lazar Hotel,All,Borisovskaya Street 4 225320 Baranavichy ,,"Lazar Hotel is offering accommodation in Baranavichy. Among the facilities of this property are a restaurant, a 24-hour front desk and free WiFi. Secured parking is available free of charge.

At the hotel, all rooms are fitted with a wardrobe, a flat-screen TV and a private bathroom.

Breakfast is served every morning in Pirosmani restaurant.",,Free WiFi Allergy-free room wifi Fax/photocopying Heating lift internet services Free parking Family rooms Facilities for disabled guests Non-smoking rooms 24-hour front desk meeting/banquet facilities Room service Restaurant Parking Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Private parking parking on site grocery deliveries Daily housekeeping Private check-in/check-out designated smoking area Non-smoking throughout,53.1327|26.03633,+375447216216|+375163618001,225320,https://www.booking.com/hotel/by/lazar.html
