countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BE,Belgium,100107,(De) Panne,1045478,Hotel Donny,FourStar,Donnylaan 17 8660 De Panne ,,"A 5-minute walk from the beach, Hotel Donny offers individually decorated accommodation with free Wi-Fi. All guests of Hotel Donny can use the 28 degrees-swimming pool, sauna and fitness free of charge.

The elegant rooms and suites all feature a flat-screen TV, a seating area and a minibar. The classic bathrooms are fitted with a bath or shower, a bathrobe and free toiletries are provided.

A freshly prepared breakfast is served daily in the breakfast area. It includes fresh rolls, fresh fruit, juice, coffee, tea and a variety of sweet and savoury spreads. The hotels restaurant, also named Donny, is open for lunch and dinner. They serve French dishes from the a la carte menu.

Hotel Donny also accommodates a wellness centre where guests can enjoy massages and a manicure or pedicure.

De Panne Esplanade Tram Stop is a 2-minute walk from Donny, from here it is a 10-minute tram ride to amusement park Plopsaland. Koksijde is a 7-minute drive, Oostend is a 35 minutes drive and Dunkerque is 25 minutes by car. Restaurant Donny is closed on Sunday.

Pets are allowed on request. Charges my apply. Please note that pets are not allowed in the wellness and the dining areas.",32-58-420978,meeting/banquet facilities Bar Sauna Fitness centre Garden Terrace Non-smoking rooms Business centre Facilities for disabled guests Barber/beauty shop Family rooms breakfast in the room Free parking internet services lift Safety Deposit Box Spa and wellness centre Massage Billiards Hot tub/jacuzzi Packed lunches hammam Heating Fax/photocopying Luggage storage wifi Indoor pool Free WiFi Parking Restaurant Pets allowed Room service CCTV outside property Fire extinguishers Swimming pool Back massage Neck massage Foot massage Full body massage Fitness fitness/spa locker rooms Swimming pool Security alarm Smoke alarms CCTV in common areas Wine/champagne Beauty Services Facial treatments Waxing services Manicure Pedicure Body Treatments Spa Facilities Spa/wellness packages Non-smoking throughout Air conditioning designated smoking area Sun terrace indoor pool (all year) concierge service Private check-in/check-out Special diet menus (on request) vending machine (drinks) vending machine (snacks) Daily housekeeping parking on site Private parking wifi available in all areas Kid meals Kid-friendly buffet electric vehicle charging station Public transport tickets Wheelchair accessible Toilet with grab rails Heated pool,51.09729|2.58413,(32) 58421000,8660,https://www.booking.com/hotel/be/donny.html
BE,Belgium,100107,(De) Panne,1048678,ibis de Panne,ThreeStar,Zeelaan 2 8660 De Panne ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>De Panne Beach - 0.9 km / 0.5 mi <br /> Flemish Visitors  and Nature Education Centre - 1 km / 0.6 mi <br /> Plopsaland De Panne - 2.1 km / 1.3 mi <br /> Cobergher Bike Route - 2.6 km / 1.6 mi <br /> Paul Delvaux Museum - 2.6 km / 1.6 mi <br /> Plage de Bray-Dunes - 3.6 km / 2.3 mi <br /> Ten Duinen Abbey Museum - 3.9 km / 2.4 mi <br /> Koksijde Beach - 3.9 km / 2.4 mi <br /> O.L.V. ter Duinenkerk Koksijde-Bad - 4.4 km / 2.7 mi <br /> Koksijde Town Hall - 4.7 km / 2.9 mi <br /> Cabour Dunes - 4.9 km / 3.1 mi <br /> Hoge Blekker - 5.4 km / 3.4 mi <br /> Schipgatduinen - 5.6 km / 3.5 mi <br /> St. Charles Mill - 6.9 km / 4.3 mi <br /> Spanish Pavilion - 7.1 km / 4.4 mi <br /> </p><p>The nearest airports are:<br />Brussels Airport (BRU) - 152.7 km / 94.9 mi<br /> Ostende (OST-Ostend-Bruges Intl.) - 38 km / 23.6 mi<br /> </p><p>The preferred airport for Hotel ibis De Panne is Brussels Airport (BRU). </p>,"<p>HeadLine : Near Flemish Visitors  and Nature Education Centre</p><p>Location : A stay at Hotel ibis De Panne places you in the heart of De Panne, within a 15-minute walk of De Panne Beach and Flemish Visitors  and Nature Education Centre.  This hotel is 1.5 mi (2.3 km) from Plopsaland De Panne and 12.1 mi (19.4 km) from Malo-les-Bains Beach.</p><p>Rooms : Make yourself at home in one of the 79 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as desks and irons/ironing boards.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Hotel ibis De Panne. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 6:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Special cancellation policies or charges may apply for group reservations (more than 8 rooms for the same property / stay dates)</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",58-4-29081,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Vending machine Wheelchair-accessible concierge desk Food and water bowls Express check-in Number of meeting rooms - 1 Conference space size (meters) - 14 Wheelchair-accessible registration desk In-room accessibility (in select rooms) Free WiFi Tours/ticket assistance Number of bars/lounges - 1 Accessible bathroom (in select rooms) Wheelchair-accessible lounge Luggage storage Express check-out Business center 24-hour front desk Breakfast available (surcharge) Library Safe-deposit box at front desk Smoke-free property Snack bar/deli Laundry facilities elevator Conference space Self parking (surcharge) Conference space size (feet) - 151 Bicycle rentals on site,51.09546|2.58883,58-4-29080,8660,http://www.accorhotels.com
BE,Belgium,100107,(De) Panne,1053871,Hotel Maxim,ThreeStar,Toeristenlaan 7 8660 De Panne ,,"Hotel Maxim is situated in the heart of De Panne in a quiet neighbourhood and has a seventies look&feel. The beach is only 300 metres away and you can easily walk to the city centre. Free Wifi is featured throughout the entire property.

The hotel offers renovated rooms with a private bathroom with a bath. Some rooms have a balcony or terrace to sit outside.

Breakfast is served in buffet style with several rolls and bread kinds. Start the day with cereals, yoghurt, fruit salad, and several tasty spreads. Boiled eggs are available.

The hotel bar is worth a visit when you feel like having a drink. During the summer, there is a possibility to enjoy your drink in the garden.

A variety of restaurants are situated around the hotel that can provide a tasty evening dinner. Restaurant Cajou, near the hotel, offers excellent fish, crayfish and grill specialities.

By car or by tram, you can reach Plopsaland in 8 minutes. Theres a lift in the building that allows you to go to the private parking space.",+3258421454,guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered designated smoking area Private check-in/check-out Beachfront parking on site Private parking Parking garage Outdoor furniture Picnic area Beach Key access Smoke alarms Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines Parking Pets allowed Bar Garden Terrace Non-smoking rooms Family rooms internet services lift Windsurfing Soundproof rooms Canoeing Hiking Cycling Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout,51.10234|2.59331,+3258421457,8660,https://www.booking.com/hotel/be/maxim.html
BE,Belgium,100107,(De) Panne,1153947,Hotel Cajou,ThreeStar,Nieuwpoortlaan 42 8660 De Panne ,,"Hotel Cajou is centrally located in De Panne, but in quiet surroundings. Enjoy the summer terrace on a sunny day and walk to the beach which is only 50 metres away.

The hotel rooms of Hotel Cajou are equipped with a private bathroom. Some rooms have a refrigerator for your convenience.

In the morning, you can start your day with a nice breakfast. Return in the evening for dinner in Restaurant Cajou. Taste the fish and grill dishes or choose from the varied menu, which is changed regularly. There are also various holiday menus.

Hotel Cajou  is located in the shopping area of De Panne and close to a number of bars, cafés and restaurants. The theme park Plopsaland is 2 km away. Parking is possible at the hotel. Please note that extra beds must be requested in advance and are subject to availability.

Please note that an extra child cannot be added to any of the double rooms without explicit permission from the hotel.",+3258420123,contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property Parking Restaurant Pets allowed meeting/banquet facilities Bar Terrace Non-smoking rooms babysitting/child services Family rooms breakfast in the room internet services lift Safety Deposit Box Windsurfing Soundproof rooms Canoeing Hiking Packed lunches Cycling Heating Fax/photocopying wifi Free WiFi Non-smoking throughout designated smoking area Private check-in/check-out Special diet menus (on request) Beachfront parking on site Private parking Outdoor furniture Beach Key access Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available,51.10367|2.59308,+3258411303,8660,https://www.booking.com/hotel/be/cajoueuropedepanne.html
BE,Belgium,100107,(De) Panne,1156270,Duinendaele,All,Duinhoekstraat 127 8660 De Panne ,,"Featuring a seasonal outdoor swimming pool, a garden, and a terrace, Duinendaele 280 offers accommodation in De Panne with free WiFi and garden views. Set 2.8 km from De Panne Beach, the property provides a tennis court and free private parking.

The holiday home features 2 bedrooms, a flat-screen TV with cable channels, an equipped kitchen with a fridge and a dishwasher, a washing machine, and 1 bathroom with a shower. For added convenience, the property can provide towels and bed linen for an extra charge.

Plopsaland is 2.5 km from the holiday home, while Dunkerque Train Station is 22 km away. The nearest airport is Ostend - Bruges International Airport, 34 km from Duinendaele 280. This property will not accommodate hen, stag or similar parties.
Bed linens and towels are not included in the room rate. Guests can rent them at the property for an additional charge of EUR 10 per person or bring their own.
A damage deposit of EUR 200 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Managed by a private host",+3258420584,Parking Tennis Court Garden Terrace Non-smoking rooms Free parking internet services Heating Horse riding wifi Outdoor pool Free WiFi Non-smoking throughout outdoor pool (seasonal) Water park parking on site Private parking board games/puzzles Indoor play area sun loungers or beach chairs Outdoor furniture Swimming pool Beach Smoke alarms Fire extinguishers Swimming pool first aid kit available physical distancing rules followed,51.0807|2.58168,+3258413898,8660,http://www.duinendaele.be/
BE,Belgium,100107,(De) Panne,1162234,Holiday Suites De Panne,ThreeStar,Kerkstraat 2 8660 De Panne 8660 De Panne ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>De Panne Beach - 0.9 km / 0.6 mi <br /> Flemish Visitors' and Nature Education Centre - 1 km / 0.6 mi <br /> Plopsaland De Panne - 2 km / 1.3 mi <br /> Paul Delvaux Museum - 2.6 km / 1.6 mi <br /> Ten Duinen Abbey Museum - 3.9 km / 2.4 mi <br /> St. Walburga's Church - 6 km / 3.7 mi <br /> Spanish Pavilion - 6 km / 3.8 mi <br /> Veurne Belfry - 6.1 km / 3.8 mi <br /> Veurne Town Hall - 6.1 km / 3.8 mi <br /> St. Nicholas Church - 6.4 km / 4 mi <br /> National Fisheries Museum - 7.5 km / 4.7 mi <br /> Bakery Museum - 7.6 km / 4.7 mi <br /> Koksijde Golf ter Hille - 8.5 km / 5.3 mi <br /> St. Charles Mill - 8.7 km / 5.4 mi <br /> Nieuwpoort City Hall - 12.8 km / 7.9 mi <br /> </p><p>The nearest airports are:<br />Ostende (OST-Ostend-Bruges Intl.) - 40.3 km / 25.1 mi<br /> Brussels (BRU-Brussels - National) - 152.7 km / 94.9 mi<br /> </p><p>The preferred airport for Holiday Suites De Panne is Brussels (BRU-Brussels - National). </p>,"<p><b>Property Location</b> <br />With a stay at Holiday Suites De Panne in De Panne, you'll be near the beach, within a 5-minute drive of Plopsaland De Panne and De Panne Beach.  This apartment is 0.8 mi (1.3 km) from Flemish Visitors' and Nature Education Centre and 1.7 mi (2.7 km) from Paul Delvaux Museum.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 2 guestrooms, featuring kitchens with refrigerators and stovetops. Flat-screen televisions are provided for your entertainment. Conveniences include microwaves and coffee/tea makers, and housekeeping is provided on a limited basis.</p>",,Elevator/lift Smoke-free property Total number of rooms - 2,51.0954|2.58872,+3225129240,8660,
BE,Belgium,100107,(De) Panne,1266360,De Panne Parkhotel,TwoStar,Albert Dumontlaan 30 8660 De Panne ,,"The Parkhotel is a charming place to stay with its cottage style art deco villas and pretty garden. Enjoy the tranquillity at only 250 meters from the sea.

The bright hotel rooms are comfortable and equipped with free Wi-Fi, a flat-screen TV and a private bathroom with shower.

Breakfast is served each morning and provides you with a large selection of organic and regional products. Enjoy your breakfast in the garden when weather is sunny.

For lunch and dinner, Parkhotel offers three courses each. The quality ingredients make the meals fresh and full of flavour. Guests need a reservation for the restaurant.

If you want to relax, you can sit in the bar or on the veranda with its beautiful garden view. Enjoy the Belgian beers or the fine selection of wines and tea. For children, there is a playground for hours of fun.

Cycling trips can be made with bikes rented at the hotel. Make a tour through the dunes and discover the different sea views. Please inform Parkhotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.",+3258420779,Parking Restaurant Room service meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms internet services lift children's playground BBQ facilities Packed lunches Cycling Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Sun terrace Special diet menus (on request) parking on site Private parking CCTV outside property Kid meals electric vehicle charging station Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Fire extinguishers Visual aids: Braille linens  towels and laundry washed in accordance with local authority guidelines Walking tours guest accommodation is disinfected between stays Security alarm guest accommodation sealed after cleaning Smoke alarms physical distancing in dining areas CCTV in common areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,51.09959|2.58851,+3258414141,8660,https://www.booking.com/hotel/be/parkhotel-de-panne.html
BE,Belgium,100107,(De) Panne,1281459,Ambassador hotel,ThreeStar,Duinkerkelaan 43 8660 De Panne ,,"The Ambassador Hotel is a stylish hotel in De Panne. Start off your day with an extensive breakfast buffet and stroll down to the beach, just 50 metres away.

The hotel rooms are modern in style and have a private bathroom with a bath or shower. The homey and cosy atmosphere in each room will make you feel at ease and peaceful.

In the morning, a healthy breakfast buffet is served. Enjoy the crispy breads and ripe fruits, together with fresh juices and tasty spreads. In the elegant hotel lounge, you can sit and relax whenever you like.



If you feel tense or just want to warm up, visit the sauna (charges applicable). You can also read a book on one of the 2 terraces to get some time for yourself.

From the Ambassador Hotel, you can go for a walk through the dunes or explore De Panne with its lively centre and excellent shops. Alternatively, you can also get more active and go swimming, horse riding or cycling. The Plopsaland Theme Park is 5 minutes drive from the hotel. Guests are kindly requested to note that an extra bed can only be placed in the Deluxe Room.

Please note that the restaurant is open from 18:30 until 20:30 and that a reservation is required. The restaurant is closed on Wednesdays, therefore half-board is not possible on that day.

The snack bar is open from 18:30 until 21:00 and that no reservation is required. The snack bar is closed on Wednesdays.

Please note that guests cannot bring their own extra beds (baby cots/futon matresses).",+3258421884,Parking Restaurant Bar 24-hour front desk Tennis Court Sauna Garden Terrace Non-smoking rooms Fishing Family rooms Casino internet services lift Safety Deposit Box children's playground Windsurfing Hot tub/jacuzzi Packed lunches Cycling Bowling Heating Fax/photocopying Horse riding Luggage storage wifi Mini golf Free WiFi Non-smoking throughout Snack Bar Special diet menus (on request) parking on site Private parking wifi available in all areas board games/puzzles Indoor play area Wine/champagne use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property,51.10114|2.58646,58411612,8660,https://www.booking.com/hotel/be/ambassador-de-panne.html
BE,Belgium,100107,(De) Panne,1316556,Hotel Aan Zee,TwoStar,Markt 6 8660 De Panne ,,"Aan Zee is a new and modern hotel, centrally located on the cosy market square of De Panne. Guests can benefit from the proximity to the beach and free WiFi.

The hotel rooms are contemporary in style and comfortable. Each room comes with a private bathroom.

Hotel Aan Zee has a lovely patio where you can have a drink or read a book. Restaurant t Zonneke prepares delicious meals for you during your stay.

From Aan Zee, you can easily walk to the shopping street and the beach. Families can visit the theme park Plopsaland. - Please contact the hotel if you would like to book one of the rooms equipped for disabled persons.

- Please note that check in is from 15:00 - 18:00. In July and August, check in is from 15:00 - 20:00. If you arrive outside reception opening hours, you can use the check-in machine. Please contact Hotel Aan Zee in advance for the password.

- Please note that the hotel is closed on Monday (September) and Monday and Tuesday (starting from Ocotober). Guests can still check in by using an entry code. Please contact the hotel directly for more information.",,Parking Restaurant Pets allowed Garden Terrace Non-smoking rooms Facilities for disabled guests Family rooms internet services lift Windsurfing Packed lunches Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning Snack Bar Sun terrace Special diet menus (on request) water sport facilities on site Daily housekeeping Private parking wifi available in all areas Indoor play area kids' outdoor play equipment Kid meals Kid-friendly buffet Parking garage Wheelchair accessible Toilet with grab rails Lower bathroom sink Wine/champagne Fruits Pet basket Pet bowls coffee house on site Sun umbrellas Outdoor furniture Beach Bike tours Live music/performance Key access Security alarm Smoke alarms CCTV outside property Fire extinguishers bicycle rental contactless check-in/check-out cashless payment available,51.09844|2.59278,+3258414640,8660,https://www.booking.com/hotel/be/aan-zee.html
BE,Belgium,100107,(De) Panne,1320142,Hotel Anvers,TwoStar,Zeelaan 29 8660 De Panne ,,"Hotel Anvers is quietly located in De Panne, a 10-minute walk from the beach.

This family hotel offers compact rooms with box-spring beds and free Wi-FI. Each room has a small, private bathroom.

The theme park Plopsaland is a 5-minute drive away from The Anvers Hotel.

we are a economy hotel in this area.  If you guys looking for a fair price and clean room we are your choice. If you guys looking for luxury enjoyment they are plenty 3 stars and 4 stars hotel in the De Panne. Please check before you booked!  Enjoy your holidays . A damage deposit of EUR 100 is required on arrival. This will be collected by credit card. You should be reimbursed on check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that the guest need to provide EU vaccinate certificate from 2021 Nov 01.",+3258414096,Room service meeting/banquet facilities Bar Terrace Non-smoking rooms Family rooms internet services Safety Deposit Box Tour desk Fax/photocopying wifi Free WiFi wifi available in all areas,51.09696|2.5895,+3258412309,8660,https://www.booking.com/hotel/be/anvers.html
