countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BA,Bosnia Herzegovina,144093,Banja Luka,1004543,Hotel Merriot,ThreeStar,Kozarska 85 Banja Luka ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Banja Luka Castle - 1.9 km / 1.2 mi <br /> Park Petar Kocic - 2.3 km / 1.4 mi <br /> Orthodox Sanctuary of Christ the Savior - 2.5 km / 1.6 mi <br /> Grand Trade Banja Luka - 2.9 km / 1.8 mi <br /> Hram Svete Petke u Kuljanima - 15.6 km / 9.7 mi <br /> </p><p>The preferred airport for Merriot Hotel is Banja Luka (BNX-Banja Luka Intl.) - 27.2 km / 16.9 mi </p>,"<p><b>Property Location</b> <br />A stay at Merriot Hotel places you in the heart of Banja Luka, a 4-minute drive from Banja Luka Castle and 6 minutes from Park Petar Kocic.  This hotel is 1.6 mi (2.5 km) from Orthodox Sanctuary of Christ the Savior and 2.6 mi (4.1 km) from Grand Trade Banja Luka.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 27 air-conditioned guestrooms. Rooms have private balconies. Satellite television is provided for your entertainment.</p><p><b>Amenities</b> <br />Make use of convenient amenities, which include a hair salon and shopping on site.</p><p><b>Dining</b> <br />At Merriot Hotel, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. A complimentary breakfast is included.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a 24-hour front desk and multilingual staff.</p>",,24-hour front desk Bar/lounge Free breakfast Hair salon Multilingual staff Number of floors - 3 Restaurant Shopping on site Total number of rooms - 27,44.75415|17.17303,,,
BA,Bosnia Herzegovina,144093,Banja Luka,1004725,Hotel Villa Viktorija,FourStar,Cara Duana 53 78252 TrnLaktaiBanja Luka ,,"This elegant villa is located in Trn, just off the E661 expressway and 10 km away from Banja Lukas centre. It offers a stylish restaurant and luxuriously decorated rooms with cable TV.

Free Wi-Fi, air conditioning and soundproofed windows are standard room facilities at Hotel Villa Viktorija. Each room is fitted with a minibar, and some also include a kitchenette. Room service is available from 07:00 to 23:00.

The restaurant at Viktorija Villa serves a good range of international food, including pizzas and pasta, fish specialities, steaks, schnitzels and several salads. The menu also offers plenty of traditional local food.

Free private parking is available on site. The distance to Banja Luka International Airport is 15 km. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",00387 51 507 421,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Airport shuttle Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services Safety Deposit Box Soundproof rooms Packed lunches Car hire Heating Fax/photocopying Luggage storage wifi Free WiFi Air conditioning shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Accessible parking Wine/champagne Fruits airport pick up airport drop off Shuttle service Security alarm Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available,44.84766|17.23044,+38751507420,78252,https://www.booking.com/hotel/ba/vila-viktorija.html
BA,Bosnia Herzegovina,144093,Banja Luka,1004728,Hotel St. Georgije,FourStar,Krajikih brigada 2 78000 Banja Luka ,,"Hotel St.Georgije is centrally located in historic Banja Luka, 1 km away from the citys theatre. Massage services are available to guests and the hotel has a terrace and a garden.

Rooms at Hotel St.Georgije have air conditioning, stylish, modern décor and hard wood floors.  A mini bar and TV with satellite channels are provided. All rooms have a private bathroom with a shower.

A la carte breakfast is served daily. The hotel also has dry cleaning, laundry and ironing facilities, and a 24-hour front desk. There is Wi-Fi available free of charge throughout the hotel. A coffee bar is located on site.

Banja Lukas mediaeval castle, which is located on the left bank of the Vrbas River, is a 5-minute drive from the hotel. The tree-lined Vrbas River can be reached on foot in 5 minutes. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",(387) 751219991,Parking Bar 24-hour front desk Garden Terrace Non-smoking rooms Laundry dry cleaning Family rooms Fruits Ironing service coffee house on site Free parking Outdoor furniture Shuttle service Key card access CCTV in common areas CCTV outside property Fire extinguishers internet services Safety Deposit Box Valet parking Massage Soundproof rooms Heating Fax/photocopying Luggage storage wifi Free WiFi Air conditioning designated smoking area shuttle service (additional charge) Lockers Daily housekeeping parking on site Private parking wifi available in all areas kids' outdoor play equipment secured parking Accessible parking Wine/champagne,44.7738|17.18175,(387) 751219992,78000,https://www.booking.com/hotel/ba/st-georgije.html
BA,Bosnia Herzegovina,144093,Banja Luka,1042028,Hotel etojevi,ThreeStar,Ivana Gorana Kovaci A Bb  ,,PROPERTY TYPE VACATION HOTEL- BUSINESS HOTEL- BED AND BREAKFAST HOTEL YEAR BUILT 2007 YEAR REMODELED 2012 RATINGS STARS 3 STARS ADDITIONAL HOTEL DESCRIPTION THE HOTEL HAS 17 ROOMS ALL WITH LUXURIOUS FURNITURE INTERNET CONNECTION SATELLITE TV SHOWER AND AIR CONDITIONING. WITHIN THE HOTEL THERE IS A CAFE AND A RESTAURANT WITH A WIDE RANGE OF DRINKS AND A WIDE SELECTION OF NATIONAL AND INTERNATIONAL DISHES. THERE IS A CONFERENCE ROOM WITH A CAPACITY UP TO 26 SEATS WITH THE POSSIBILITY OF USING PLASMA TV AND INTERNET CONNECTION. HOTEL IS PROVIDING PARKING VIDEO SURVEILLANCE AND SECURITY GUARDThe Cetojevic Hotel is a Tourist hotel. Located in Banja Luka area. Shopping is accessible by bus/taxi and the nightlife/restaurants are easily accessible by taxi or bus from the hotel.,38751345702,Bar Car Parking - Onsite Free Foreign Currency Exchange Restaurant Multilingual staff Night Club Safety Deposit Box,44.7900799|17.2002152,+38721345700,78000,
BA,Bosnia Herzegovina,144093,Banja Luka,1042029,Damjan Hotel,TwoStar,Vase Pelagica 25 78000 Banja Luka ,,"Set in Banja Luka, Hotel Damjan features a bar and free WiFi. This 2-star hotel has air-conditioned rooms with a private bathroom. The accommodation offers a 24-hour front desk and room service for guests.

At the hotel, all rooms are equipped with a desk. Each room is equipped with a flat-screen TV, and some units at Hotel Damjan have a terrace. All guest rooms include a wardrobe.

Slatina is 14 km from the accommodation.",,Free self parking Pets allowed Room service Bar/lounge 24-hour front desk Laundry facilities Breakfast service Internet access Safe-deposit box at front desk Fax/photocopying Free WiFi Free WiFi Area shuttle (surcharge) Daily housekeeping Parking onsite Private parking,44.77302|17.19626,,78000,https://www.booking.com/hotel/ba/damjan.html
BA,Bosnia Herzegovina,111765,Bihac,1044296,Ada S Hotel,ThreeStar,Ul.Husrefa Redzica 1  ,,"Facilities and services include a 24 hrs reception, breakfast area and coffee bar.The rooms are equipped with TV, telephone and minibar.Address: ul.Husrefa Redzica 1, 77000 Bihac, Bosnia and Herzegovina.",00387 3731 1618,,44.817981|15.869726,00387 3731 1570,77000,
BA,Bosnia Herzegovina,111765,Bihac,1044297,Hotel Kostelski Buk,FourStar,Kostela bb 77000 Bihac ,,"Hotel Kostelski Buk is located in Kostela, 8 km from Bihac. This elegantly furnished hotel is surrounded by untouched nature and set right next to Una waterfalls. There are a bar and restaurant on site, while free Wi-Fi is provided.

Rooms are modernly furnished and air-conditioned. They offer a flat-screen TV, a minibar and a wardrobe. Private bathroom provides a shower and hairdryer. Some rooms also have a balcony.

The restaurant serves traditional Bosnian specialties, as well as international dishes. There is also a souvenir shop on site. Laundry and ironing services are available and there is a safety deposit box at the reception.

National Park Una can be reached in 60 km. Rafting on Una River can be organised next to the hotel, while the Una regatta takes place every summer and passes by the hotel. Plitvice Lakes, in Croatia, can be reached in 57 km.

Main Bus Station can be found in Bihac, 8 km away. Guests can also visit Bihacs Captain Tower or enjoy local delicacies at one of many local restaurants and grills. Zagreb International Airport is located 150 km away.",00387 37 30 2039,Free WiFi Non-smoking throughout Air conditioning designated smoking area Private beach area Snack Bar Sun terrace Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press Lockers shared lounge/TV area Beachfront Daily housekeeping parking on site Private parking wifi available in all areas Indoor play area kids' outdoor play equipment Baby safety gates Kid meals Kid-friendly buffet secured parking Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Sauna Fitness centre Garden Terrace Non-smoking rooms Fishing Business centre babysitting/child services Laundry dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking children's playground Karaoke Hot tub/jacuzzi Soundproof rooms Canoeing BBQ facilities Packed lunches Car hire Tour desk hammam Heating Fax/photocopying Luggage storage wifi Street parking electric vehicle charging station Accessible parking Wheelchair accessible Toilet with grab rails Emergency cord in bathroom Wine/champagne Fruits Auditory guidance Strollers coffee house on site Outdoor furniture Picnic area Spa Facilities Steam room Spa lounge/relaxation area Spa/wellness packages Massage chair Fitness Beach Shuttle service Walking tours Bike tours Tour or class about local culture Live music/performance Live sport events (broadcast) 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers,44.8816|15.90056,387 37 302340,77 000,https://www.booking.com/hotel/ba/kostelski-buk.html
BA,Bosnia Herzegovina,111950,Bijeljina,1046736,Drina Hotel,FourStar,Kneza Milosa 1 76300 Bijeljina ,,"Located in the center of Bijeljina just 100 metres from the Main Bus Station, Drina Hotel offers air-conditioned rooms, a business centre with several conference halls and an on-site restaurant serving local and international cuisine. Free Wi-Fi is available throughout the property.

Each room comes with cable TV and a minibar, while the bathrooms are fitted with a shower and hairdryer. Free private parking is available on site.

Sauna in the hotels spa centre may be used free of charge.

Tuzla Airport is at a distance of 68 km from the Hotel Drina.",+387(0)55204216,Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Spa and wellness centre Massage children's playground Hot tub/jacuzzi Soundproof rooms Parking Packed lunches Restaurant hammam Heating Fax/photocopying Luggage storage wifi Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Sauna Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Facilities for disabled guests Free WiFi Non-smoking throughout Air conditioning designated smoking area Back massage Neck massage Sun terrace shuttle service (additional charge) Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas kids' outdoor play equipment Kid meals Kid-friendly buffet Wheelchair accessible Wine/champagne Fruits airport pick up airport drop off Pet basket Pet bowls coffee house on site Outdoor furniture Beauty Services Facial treatments hair treatments hair cut hair colouring hair styling Body Treatments Body scrub Body wrap Spa Facilities Steam room Spa lounge/relaxation area Spa/wellness packages Foot massage Couples massage Head massage Hand massage Full body massage fitness/spa locker rooms Shuttle service Themed dinner nights Live music/performance Live sport events (broadcast) 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas hand sanitizer in guest accommodation and key areas CCTV outside property Fire extinguishers first aid kit available contactless check-in/check-out cashless payment available use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,44.7571|19.221,+38755416900,76300,https://www.booking.com/hotel/ba/drina.html
BA,Bosnia Herzegovina,111950,Bijeljina,1046737,Etno Selo Stanisici & Hotel Pirg,All,Pavlovica Put 32 76300 Bijeljina ,,"Featuring ponds, mills, traditional restaurants and a brook, the Ethno Village Stanisici is made up of old original buildings transported to this place from all over Bosnia. The resort includes bungalows, Hotel Pirg, Hotel Ras and Wellness and Spa Center Leonida.

All accommodations, either in small wooden huts or in the Hotel Pirg resembling a medieval castle, are equipped with lots of authentic furniture and have modern bathrooms. They are all air-conditioned and come equipped with a flat-screen satellite TV and free Wi-Fi.

The Ethno Village Stanisici is located on the edge of the city of Bijeljina in the plains of Semberija in the Republika Srpska.

A spa area with an outdoor pool, a hot tub, a sauna and a fitness area offers relaxation after a day of exploring the village and the area.

Traditional Bosnian specialities and international cuisine are served by waiters dressed in ancient costumes in the restaurants of the Ethno Village.

An on-site museum offers an impression about how life was like in Bosnia more than hundred years ago. Children can have fun on the playground or enjoy train rides around the lake. Children under the age of 12 can stay in the spa area until 6 pm.",+38755350590,designated smoking area Sun terrace Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry Barber/beauty shop Family rooms Games room breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Solarium Safety Deposit Box Valet parking Spa and wellness centre Massage children's playground Darts Hot tub/jacuzzi Soundproof rooms Chapel/shrine Packed lunches hammam Heating Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Air conditioning Facial treatments Waxing services Manicure Pedicure Body Treatments Body scrub Body wrap Light therapy Spa Facilities Steam room Spa lounge/relaxation area Foot bath Spa/wellness packages Massage chair Fitness fitness classes Personal trainer fitness/spa locker rooms Swimming pool Shuttle service Tour or class about local culture Live music/performance Live sport events (broadcast) Archery Key card access CCTV outside property Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered face masks for guests available secured parking electric vehicle charging station Accessible parking Wine/champagne Fruits tennis equipment coffee house on site sun loungers or beach chairs Sun umbrellas Beauty Services outdoor pool (seasonal) Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) kids' club minimarket on site Evening entertainment Daily housekeeping parking on site Private parking wifi available in all areas Indoor play area kids' outdoor play equipment Kid meals,44.78505|19.27872,055 350-306,76300,http://www.etno-selo.com/en/hotel-pirg/
BA,Bosnia Herzegovina,111950,Bijeljina,1046738,Sico Hotel,ThreeStar,Patrijarha Pavla 3 76300 Bijeljina ,,"Featuring a bar and free WiFi, Hotel ICO is set in Bijeljina. All rooms feature a TV with cable channels and a private bathroom. The property has a restaurant.

At the hotel, the rooms are equipped with a desk. Each room is fitted with air conditioning, and selected rooms include a terrace. At Hotel ICO rooms include a seating area.

A continental breakfast is served every morning at the property.

The 24-hour front desk can offer helpful tips for getting around the area.

Banja Koviljaca is 36 km from the accommodation.",,Free self parking Restaurant Room service Meeting rooms Bar/lounge 24-hour front desk Free newspapers in lobby Non-smoking rooms Laundry facilities Family rooms Breakfast service Ironing service Internet access Elevator/lift Express check-in Safe-deposit box at front desk Soundproof rooms Heating Fax/photocopying Luggage storage Free WiFi Free WiFi Air conditioning ATM/banking Private check-in/check-out Daily housekeeping Parking onsite Private parking,44.7565|19.2181,+38755210952,76300,https://www.booking.com/hotel/ba/sico.html
BA,Bosnia Herzegovina,108061,Bileca,1437250,Hotel Dijamant,ThreeStar,Peka Pavlovica bb 89230 Bileca ,,"Hotel Dijamant is located in Bileca. With a garden, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Private parking can be arranged at an extra charge.

At the hotel, each room has a desk and a flat-screen TV. Guest rooms include a wardrobe.

A continental breakfast is available daily at Hotel Dijamant.

Languages spoken at the reception include English and Croatian.

Trebinje is 32 km from the accommodation.",,Parking meeting/banquet facilities 24-hour front desk Garden Bridal suite Free parking internet services Heating wifi Free WiFi Air conditioning Private parking wifi available in all areas,42.87239|18.4371,+38759373551,89230,https://www.booking.com/hotel/ba/dijamant.html
