countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BR,Brazil,104695,Abelardo Luz,1436268,Quedas Park Hotel,ThreeStar,Av. Fermino Martins Neto 2395 Fairro Vila Ceres Bairro SC 89830-000 ,,"<p>HeadLine : In Abelardo Luz</p><p>Location : Quedas Park Hotel is located in Abelardo Luz.</p><p>Rooms : Make yourself at home in one of the 39 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : At Quedas Park Hotel, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Luggage storage Free breakfast Meeting rooms 24-hour front desk Television in common areas Free WiFi Playground on site Number of bars/lounges - 1 Arcade/game room Daily Barbecue grill(s) Number of outdoor pools - 1 Garden Smoke-free property In-room accessibility (in select rooms) Laundry facilities Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free self parking Volleyball on site Free Buffet Breakfast,-26.551453|-52.321371,55-46999810033,89830-000,http://www.quedasparkhotel.com.br/
BR,Brazil,101609,Abre-Campo,1436644,Memorial Hotel Abre Campo,ThreeStar,"Rodovia BR 262  KM 96, s/n Minas Gerais 35365-000 ","                            
                        ","Offering a restaurant, Memorial Hotel Abre Campo is located in Abre Campo, on the banks of Santana River. Free WiFi access is available. Daily continental breakfast is served free of charge.

With contemporary d?cor, each room here provides guests with air conditioning, a flat-screen TV, cable channels and a minibar. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries. Extras include a safety deposit box and bed linen.

At Memorial Hotel Abre Campo guests will find a 24-hour front desk and a snack bar. The property offers free public parking.

The property is located 1 km from the city centre.",,Free self parking Restaurant 24-hour front desk Non-smoking rooms Facilities for disabled guests Internet access Elevator/lift Free WiFi Free WiFi Designated smoking areas Snack bar/deli Vending machine - Snacks & Drink Shared kitchen Television in common areas Mini-market on site Parking onsite,-20.30706|-42.46655,+553138721754,35365-000,https://www.booking.com/hotel/br/vision-express-abre-campo.html
BR,Brazil,101609,Abre-Campo,1892089,Hotel Sao Jorge,All,Rua Professora Yolanda Brandão 29 CentroAbre CampoMinas Gerais 35365-000 ,,"Situated in Abre Campo, HOTEL SÃO JORGE has a fitness centre, garden and free WiFi throughout the property. The accommodation features room service and a 24-hour front desk for guests.

At the hotel, the rooms have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms have a wardrobe.

Guests at HOTEL SÃO JORGE can enjoy an American breakfast.

The nearest airport is Vale do Aço Regional Airport, 160 km from the accommodation.",,guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered 24-hour security Fire extinguishers face masks for guests available use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized wifi Free WiFi Air conditioning designated smoking area Private check-in/check-out Special diet menus (on request) Lockers Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Accessible parking Wheelchair accessible Toilet with grab rails Emergency cord in bathroom Fruits coffee house on site Outdoor furniture Fitness Parking Pets allowed Room service meeting/banquet facilities 24-hour front desk Fitness centre Garden Non-smoking rooms Business centre Laundry Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services Heating Fax/photocopying,-20.30013|-42.47471,+553138721425,35365-000,https://www.booking.com/hotel/br/sao-jorge-abre-campo.html
BR,Brazil,101611,Acailandia,1432637,Hotel Golden Lis,ThreeStar,Rod. Br 010 Km 1415 65926-000 Acailandia (Maranhao) ,,"Silver Lis Hotel is just 1 km from Açailândia Town Centre and 3 minutes drive from Parque de Exposições Egídio Quintal Filho Exhibition Centre.

At the property rooms are featured with air conditioning, flat-screen TV and minibar. There is also a private bathroom fitted with a toilet and hot shower. Bath towels and bed linens are provided and laundry service is available at a charge.

Guests at Silver Lis Hotel can enjoy a buffet breakfast. It includes a variety of fresh fruits, breads and cold meats, as well as a selection of hot and cold drinks.

Imperatriz Maranhão International Airport is 73 km from Silver Lis Hotel. Vale do Rio Doce is 10 km away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay hand sanitizer in guest accommodation and key areas contactless check-in/check-out Parking 24-hour front desk Laundry Family rooms Free parking internet services express check-in/check-out wifi Free WiFi Air conditioning Private check-in/check-out minimarket on site parking on site Private parking wifi available in all areas Fruits coffee house on site linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed,-4.95416|-47.50305,,65926-000,https://www.booking.com/hotel/br/golden-lis-hoteis-ltda-epp.html
BR,Brazil,101611,Acailandia,1433597,Hotel Lara's,ThreeStar,"Rua Duque de Caxias, nº 1272 - Centro, Açailândia 65930-000  ",,"Offering a restaurant and a la carte restaurant, Laras Hotel is located in Acailandia. Free Wi-Fi access is available.

Guestrooms feature a flat-screen tv and air conditioning. Featuring a shower, private bathrooms also come with a bath towels and a hairdryer. Room facilities include a minibar, satellite channels and cable channels.

At Laras Hotel there is a 24-hour front desk for assistance. Other facilities offered include meeting rooms, a shared lounge and an ironing service. The property offers free parking.",,Daily housekeeping Business centre 24-hour front desk Parking wifi internet services meeting/banquet facilities On-site parking wifi available in all areas shared lounge/TV area Private check-in/check-out Ironing service Non-smoking throughout Free parking Facilities for disabled guests Private parking Free WiFi Air conditioning VIP room facilities Family rooms Laundry,-4.95122|-47.49812,+559935921000,65930-000,http://www.hotellaras.com.br/
BR,Brazil,101611,Acailandia,1540808,Vera Cruz Business Hotel,FourStar,BR 222 300 Bairro Jardim AmericaAcailândiaMaranhao 65930-000 ,,"Vera Cruz Business Hotel in Acailandia has 4-star accommodation with a garden and a shared lounge. Featuring a fitness centre, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features room service, a 24-hour front desk and luggage storage for guests.

At the hotel, every room is equipped with a wardrobe. Every room has a desk and a flat-screen TV, and some rooms at Vera Cruz Business Hotel have a balcony. At the accommodation rooms come with bed linen and towels.

A continental breakfast is available each morning at Vera Cruz Business Hotel.

The hotel offers a sun terrace.

The nearest airport is Imperatriz Airport, 72 km from Vera Cruz Business Hotel.",,shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers Accessible parking Parking garage wifi available in all areas Private parking parking on site Daily housekeeping shared lounge/TV area Sun terrace Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Hot tub/jacuzzi lift internet services Free parking Ironing service Family rooms Facilities for disabled guests Laundry Business centre Non-smoking rooms Garden Fitness centre 24-hour front desk meeting/banquet facilities Room service Pets allowed Parking guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies first aid kit available hand sanitizer in guest accommodation and key areas,-4.94952|-47.48089,+559935384257,65930-000,https://www.booking.com/hotel/br/vera-cruz-business.html
BR,Brazil,101611,Acailandia,1585468,Genova Palace Hotel,All,Rodovia 222 QD 28 LT 01Vila São Francisco ,,"Gênova Palace Hotel is offering accommodation in Acailandia. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout the property. Guests can enjoy pool views.

At the hotel, the rooms are equipped with a balcony with a city view. All guest rooms at Gênova Palace Hotel feature air conditioning and a desk.

Guests at the accommodation can enjoy a buffet breakfast.

The nearest airport is Imperatriz Airport, 72 km from Gênova Palace Hotel.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities 24-hour front desk Non-smoking rooms Business centre Laundry Family rooms Ironing service Free parking internet services Packed lunches wifi Allergy-free room Outdoor pool Free WiFi Air conditioning designated smoking area shuttle service (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas Wine/champagne Sun umbrellas Outdoor furniture Swimming pool Shuttle service 24-hour security Key card access CCTV in common areas Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,-4.94774|-47.47794,+559935381572,65930-000,https://www.booking.com/hotel/br/genova-palace.html
BR,Brazil,101611,Acailandia,1717926,Vip Palace Hotel,All,Rua Sao Francisco 928 AcailandiaMaranhao 65930-000 ,,"Vip Palace Hotel provides rooms in Acailandia. All rooms feature a flat-screen TV with satellite channels and a private bathroom. Certain units at the property include a balcony with a city view.

At the hotel, each room is equipped with a desk. All units at Vip Palace Hotel have air conditioning and a wardrobe.

A buffet breakfast is available daily at the property. Guests can dine in the on-site restaurant, which specialises in Brazilian cuisine.

The 24-hour front desk can offer helpful tips for getting around the area.",,Free self parking Restaurant Pets allowed Meeting rooms 24-hour front desk Laundry facilities Family rooms Ironing service Internet access Elevator/lift Free WiFi Free WiFi Air conditioning Daily housekeeping Parking onsite Private parking,-4.95021|-47.50011,,65930-000,https://www.booking.com/hotel/br/vip-palace-acailandia.html
BR,Brazil,106068,Acaraú,1430684,Hotel Acarau Riviera,ThreeStar,Rua Prefeito Raimundo Rocha 477 Centro 62580-000 Acarau (Ceara) ,,"Acarau Riveira features a snack bar that serves regional specialities, plus room service and 24-hour surveillance. It features free Wi-Fi and air-conditioned apartments. Acarau Bus Station is 2 minutes by car.

The apartments feature a living area with an LCD cable TV and dining table. Their kitchen includes a refrigerator. Laundry services are arranged.

This hotel is 250 km from Fortalezas Pinto Martins international airport, and within a 50-minute drive from Jijoca de Jericoacoara town. Parking is free. The property will offer a complimentary bottle of campaign and a box of chocolate for reservations from December 31st until January 4th 2015.",+55(0)8636611690,Accessible parking Wheelchair accessible Fruits coffee house on site Outdoor furniture Fire extinguishers Parking Room service meeting/banquet facilities 24-hour front desk Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms Ironing service Free parking internet services BBQ facilities wifi Free WiFi Air conditioning Snack Bar Sun terrace concierge service Daily housekeeping parking on site Private parking secured parking,-2.88838|-40.11592,(88) 3661-1690,62.580-000,https://www.booking.com/hotel/br/acarau-riveira.html
BR,Brazil,106068,Acaraú,1543389,Castelo Encantado,All,Rua Santo Antonio 1550 AcaraúCeará 62580-000 ,,"With its castle-like structure, Castelo Encantado is surrounded by tropical trees and offers comfortable rooms, as well as a restaurant with a pizza oven and buffet breakfast. Wi-Fi and parking are free.

The guest house is pet-friendly and offers air-conditioned rooms with rustic, yet tasteful décor. They are air-conditioned and come with a flat-screen TV, minibar and private bathroom with a hot shower.

The property is set 800 metres from Acarau town centre and 3 km from Lagoa Azul lagoon. Arpoeiras Beach is 9 km away. The property is 45 km from Jericoacoara and 255 km from Fortaleza. A deposit via bank transfer is required to secure your reservation. Castelo Encantado will contact you after booking to provide bank transfer instructions.",,Free self parking Restaurant Pets allowed Room service Bar/lounge 24-hour front desk Garden Terrace Non-smoking rooms Internet access Free WiFi Outdoor pool Free WiFi Air conditioning Parking onsite Private parking,-2.87838|-40.12185,(88) 9925-5917,62580-000,https://www.booking.com/hotel/br/castelo-encanado.html
BR,Brazil,106068,Acaraú,6030139,Dunamar,All,Barrinha De Baixo S N Praia  ,,"Featuring accommodation with a patio, DunAmar is situated in Acaraú. Located on the beachfront, this property has a restaurant, a bar, a garden and free WiFi.

This apartment with garden views features parquet floors, 1 bedroom and 1 bathroom with a shower and a hairdryer. A flat-screen TV with satellite channels is provided.

A à la carte breakfast is available daily at the apartment.

Jericoacoara is 23 km from DunAmar, while Caiçara is 15 km away. The nearest airport is Ariston Pessoa Regional Airport, 15 km from the accommodation. This property will not accommodate hen, stag or similar parties.
Please inform DunAmar in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,Daily housekeeping Restaurant Special diet menus (on request) breakfast in the room wifi Garden Non-smoking rooms Family rooms Room service internet services Bar Beachfront Free WiFi wifi available in all areas,-2.80952|-40.3533,,62598 000,https://www.booking.com/hotel/br/dunamar.html
