countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1048431,D'Anggerek Serviced Apartment,ThreeStar,Kampong Anggerek Desa Mukim Berakas D'anggerek Serviced Apartment Mukim BerakasBandar Seri Begawan BB4313 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hassanal Bolkiah National Stadium - 1.3 km / 0.8 mi <br /> Twelve Roofs House - 1.5 km / 1 mi <br /> Taman Peranginan Tasek - 1.5 km / 1 mi <br /> Times Square Shopping Center - 1.7 km / 1 mi <br /> International Convention Centre - 2.1 km / 1.3 mi <br /> Royal Brunei Golf Club - 3.1 km / 2 mi <br /> Our Lady of the Assumption Church - 3.5 km / 2.2 mi <br /> Taman Jubli Perak Sultan Haji Hassanal Bolkiah - 5.5 km / 3.4 mi <br /> Tasek Lama Recreational Park - 6.3 km / 3.9 mi <br /> The Mall - 6.6 km / 4.1 mi <br /> Jame Asr Hassanil Bolkiah Mosque - 6.8 km / 4.2 mi <br /> Royal Regalia Museum - 7 km / 4.3 mi <br /> Sultan Omar Ali Saifuddien Mosque - 7.2 km / 4.5 mi <br /> Gadong Night Market - 7.3 km / 4.5 mi <br /> Hua Ho Department Store - 7.3 km / 4.6 mi <br /> </p><p>The nearest airports are:<br />Bandar Seri Begawan (BWN-Brunei Intl.) - 3.5 km / 2.2 mi<br /> Limbang (LMN) - 81.9 km / 50.9 mi<br /> </p><p>The preferred airport for D Anggerek Serviced Apartment is Brussels Airport (BRU). </p>,"<p>HeadLine : Near Hassanal Bolkiah National Stadium</p><p>Location : When you stay at D Anggerek Serviced Apartment in Bandar Seri Begawan, you ll be near the airport, within a 5-minute drive of Hassanal Bolkiah National Stadium and Twelve Roofs House.  This hotel is 1 mi (1.5 km) from Taman Peranginan Tasek and 1.2 mi (2 km) from Times Square Shopping Center.</p><p>Rooms : Make yourself at home in one of the 42 air-conditioned rooms featuring LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",673-00673-2333399,Dry cleaning/laundry service Smoke-free property Laundry facilities Luggage storage elevator Free self parking 24-hour front desk Area shuttle (surcharge) Concierge services Free WiFi,4.934866|114.947237,673-00673-2333398,BB4313,http://www.danggerek.com
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1048432,Grand City Hotel,ThreeStar,Lot 25115 Blk G Unit 1 12 Kg Pengkalan Jalan Batu Bersurat Bandar Seri Begawan BS8674 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Mall - 1.7 km / 1 mi <br /> Jame Asr Hassanil Bolkiah Mosque - 3.4 km / 2.1 mi <br /> Taman Jubli Perak Sultan Haji Hassanal Bolkiah - 4.4 km / 2.7 mi <br /> Royal Regalia Museum - 5.5 km / 3.4 mi <br /> Sultan Omar Ali Saifuddien Mosque - 5.8 km / 3.6 mi <br /> Hassanal Bolkiah National Stadium - 6.3 km / 3.9 mi <br /> Crown of Gold Jubilee Park - 6.3 km / 3.9 mi <br /> Eco-Corridor Bandar Seri Begawan - 6.4 km / 3.9 mi <br /> Times Square Shopping Center - 6.5 km / 4 mi <br /> Royal Brunei Golf Club - 6.6 km / 4.1 mi <br /> International Convention Centre - 6.7 km / 4.2 mi <br /> Brunei Museum - 10.3 km / 6.4 mi <br /> Malay Technology Museum - 11.6 km / 7.2 mi <br /> Empire Golf and Country Club - 13.8 km / 8.6 mi <br /> Jerudong Park - 17 km / 10.5 mi <br /> </p><p>The nearest airports are:<br />Bandar Seri Begawan (BWN-Brunei Intl.) - 6.3 km / 3.9 mi<br /> Limbang (LMN) - 42.5 km / 26.4 mi<br /> </p><p>The preferred airport for Grand City Hotel is Brasilia (BSB-Brasilia Intl. - President Juscelino Kubitschek). </p>,"<p>HeadLine : Near The Mall</p><p>Location : Located in Bandar Seri Begawan, Grand City Hotel is a 4-minute drive from The Mall and 5 minutes from Jame Asr Hassanil Bolkiah Mosque.  This hotel is 3.6 mi (5.8 km) from Sultan Omar Ali Saifuddien Mosque and 10.5 mi (17 km) from Jerudong Park.</p><p>Rooms : Make yourself at home in one of the 78 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms with separate bathtubs and showers feature deep soaking bathtubs and complimentary toiletries. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : You can enjoy a meal at GK serving the guests of Grand City Hotel, or stop in at the grocery/convenience store. Cooked-to-order breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts Visa, Mastercard, and cash</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",673-2-452110,Safe-deposit box at front desk Luggage storage elevator ATM/banking Breakfast available (surcharge) Free airport transportation Shopping on site Wheelchair accessible (may have limitations) 24-hour front desk Laundry facilities Grocery/convenience store Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Smoke-free property Free newspapers in lobby,4.917261|114.91375,673-8-743216,BE3719,
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1048442,Kiulap Plaza Hotel,ThreeStar,Simpang 88 Kiulap Commercial Area BANDAR SERI BEGAWAN ,,"Located between the city of Bandar Seri Begaan and the Gadong area, this hotel is ideal for families that require the convenience and peace of mind during their stay and assures its guest rooms are sufficient to satisfy the needs of the discerning traveller. All of them provide a space to unwind and rest at the end of the day, be it a tough working day or an exciting day full of sightseeing and entertainment. Guests can stretch in the spacious living areas and watch a moving on the flat-screen TV. There is a business centre and a well-equipped conference rooms for those who need a place where to host their meetings. While the onsite restaurant provides delicious meals at a little less formal environment.",,Hotel MasterCard Visa Bathroom Shower Hairdryer TV Mini fridge Ironing set Carpeted floors Individually adjustable air conditioning Safe Airport shuttle Laundry service 24-hour security Hotel safe Lift access Shop Gym Newspapers Towels and bed linen Restaurant Conference room Hairdressing salon Breakfast Breakfast buffet Continental Breakfast Non-smoking establishment Fitness,4.902556|114.926894,,BE1518,http://www.kiulap-plaza-hotel.com
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1050919,Radisson Hotel Brunei Darussalam,FourStar,P O Box 2203 Jalan Tasek PO Box 2203 P.O. Box 2203Tasek LamaBandar Seri Begawan BS8674 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royal Regalia Museum - 0.4 km / 0.2 mi <br /> Sultan Omar Ali Saifuddien Mosque - 0.8 km / 0.5 mi <br /> Yayasan Sultan Haji Hassanai Bolkiah Shopping Complex - 0.9 km / 0.6 mi <br /> Taman Jubli Perak Sultan Haji Hassanal Bolkiah - 1 km / 0.6 mi <br /> Tasek Lama Recreational Park - 1.1 km / 0.7 mi <br /> Eco-Corridor Bandar Seri Begawan - 1.3 km / 0.8 mi <br /> Crown of Gold Jubilee Park - 1.4 km / 0.8 mi <br /> Hua Ho Department Store - 2.4 km / 1.5 mi <br /> Kampong Ayer - Venice of East - 2.4 km / 1.5 mi <br /> Jame Asr Hassanil Bolkiah Mosque - 2.8 km / 1.7 mi <br /> Our Lady of the Assumption Church - 3.3 km / 2 mi <br /> Istana Nurul Iman - 3.9 km / 2.4 mi <br /> The Mall - 4.4 km / 2.7 mi <br /> Brunei Museum - 5.1 km / 3.2 mi <br /> Gadong Night Market - 5.4 km / 3.3 mi <br /> </p><p>The nearest airports are:<br />Bandar Seri Begawan (BWN-Brunei Intl.) - 9.4 km / 5.9 mi<br /> Limbang (LMN) - 77.5 km / 48.2 mi<br /> </p><p>The preferred airport for Radisson Hotel Brunei Darussalam is Bandar Seri Begawan (BWN-Brunei Intl.). </p>,"<p>HeadLine : Near Yayasan Sultan Haji Hassanai Bolkiah Shopping Complex</p><p>Location : With a stay at Radisson Hotel Brunei Darussalam, you ll be centrally located in Bandar Seri Begawan, just a 5-minute walk from Royal Regalia Museum and 10 minutes by foot from Sultan Omar Ali Saifuddien Mosque.  This 4-star hotel is 0.6 mi (1 km) from Crown of Gold Jubilee Park and 0.7 mi (1.1 km) from Yayasan Sultan Haji Hassanai Bolkiah Shopping Complex.</p><p>Rooms : Make yourself at home in one of the 142 guestrooms featuring minibars. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Tasek Brasserie, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the poolside bar. Buffet breakfasts are available daily from 6:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",673-2-221 579,Gift shops or newsstand Dry cleaning/laundry service Comprehensive recycling policy Proposal/romance packages available Vegetarian breakfast available Biodegradable/compostable stirrers No single-use plastic straws Number of meeting rooms - 5 Conference space size (meters) - 40 No single-use plastic stirrers Reusable cups only Free wired Internet Reusable tableware only Limo or Town Car service available Biodegradable/compostable straws Free WiFi Number of poolside bars - 1 Braille or raised signage Number of outdoor pools - 1 Assistive listening devices available In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Airport transportation (surcharge) Vegetable garden Energy-saving features in guest rooms Recycling LED light bulbs Wheelchair-accessible lounge Vegan menu options available Wheelchair-accessible on-site restaurant Vegetarian menu options available Multilingual staff Handrails in stairways Wheelchairs available on site Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Laundry facilities elevator Fitness facilities Double-glazing on all windows Guest education on local ecosystems and culture Annual carbon offsets Organic food Banquet hall Wheelchair accessible (may have limitations) Ballroom Wheelchair-accessible concierge desk Locally-owned & organized tours & activities Express check-in Wheelchair-accessible van parking Valet for wheelchair-equipped vehicle Change of bed sheets (on request) Wheelchair-accessible registration desk Health club Spa treatment room(s) Well-lit path to entrance Change of towels (on request) Garden Free newspapers in lobby Full-service spa Wedding services Area shuttle (surcharge) Water-efficient toilets only Couples/private dining Luggage storage Water-efficient showers only Express check-out Porter/bellhop Business center 24-hour front desk Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Hiking/biking trails nearby Children's pool Sauna Conference space Computer station Wheelchair accessible path of travel Conference space size (feet) - 430 Concierge services 24-hour business center,4.894492|114.94235,6732244272,BS8674,http://www.radisson.com/brunei
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1050928,Mulia Hotel,ThreeStar,Lot 31954 Simpang Kg. Anggerek Desa Jalan Barakas 9 Anggerek Desa Jalan Berakas Kg Anggerek DesaJalan BerakasBandar Seri Begawan BB 3713 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hassanal Bolkiah National Stadium - 0.5 km / 0.3 mi <br /> International Convention Centre - 1.3 km / 0.8 mi <br /> Times Square Shopping Center - 1.3 km / 0.8 mi <br /> Twelve Roofs House - 2 km / 1.2 mi <br /> Taman Peranginan Tasek - 2 km / 1.2 mi <br /> Our Lady of the Assumption Church - 2.9 km / 1.8 mi <br /> Royal Brunei Golf Club - 3.4 km / 2.1 mi <br /> Taman Jubli Perak Sultan Haji Hassanal Bolkiah - 4.8 km / 3 mi <br /> Tasek Lama Recreational Park - 5.8 km / 3.6 mi <br /> The Mall - 6 km / 3.7 mi <br /> Jame Asr Hassanil Bolkiah Mosque - 6.2 km / 3.8 mi <br /> Royal Regalia Museum - 6.6 km / 4.1 mi <br /> Gadong Night Market - 6.7 km / 4.1 mi <br /> Hua Ho Department Store - 6.7 km / 4.2 mi <br /> Kampong Ayer - Venice of East - 6.8 km / 4.2 mi <br /> </p><p>The nearest airports are:<br />Bandar Seri Begawan (BWN-Brunei Intl.) - 2.7 km / 1.7 mi<br /> Limbang (LMN) - 81.3 km / 50.5 mi<br /> </p><p>The preferred airport for Mulia Hotel is Bastia (BIA-Poretta). </p>,"<p>HeadLine : Near Hassanal Bolkiah National Stadium</p><p>Location : Located in Bandar Seri Begawan, Mulia Hotel is in the business district, within a 5-minute drive of Hassanal Bolkiah National Stadium and International Convention Centre.  This hotel is 0.8 mi (1.4 km) from Times Square Shopping Center and 1 mi (1.6 km) from Twelve Roofs House.</p><p>Rooms : Make yourself at home in one of the 145 air-conditioned rooms featuring minibars. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature rainfall showerheads and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Grab a bite at Goldiana Cafe and Lounge, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 2:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",673-2-335444,Concierge services Fitness facilities Free self parking elevator Laundry facilities Number of coffee shops/cafes - 1 Smoke-free property Safe-deposit box at front desk Breakfast available (surcharge) Wheelchairs available on site 24-hour front desk Handrails in stairways Business center Express check-out Wheelchair-accessible on-site restaurant Luggage storage No accessible airport shuttle Free airport transportation 24-hour fitness facilities Accessible bathroom (in select rooms) Tours/ticket assistance Free newspapers in lobby Wheelchair accessible parking In-room accessibility (in select rooms) Number of outdoor pools - 1 Wheelchair-accessible public washroom Free WiFi Wheelchair-accessible registration desk Wheelchair-accessible path to elevator Meeting rooms Ballroom Wheelchair accessible (may have limitations) Dry cleaning/laundry service,4.932619|114.945043,673-2-335544,BB3713,http://www.orchidgardenbrunei.com
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1064455,LeGallery Suites Hotel,TwoStar,"Km 2.5 Jalan Tutong Po Box 344 Seri Complex Ba 1779 The Crown Princess Complex Bandar Seri Begawan Brunei Darussalam Crowne Princess Complex, Seri ComplexBandar Seri Begawan BA1779Darussalam ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kampong Ayer - Venice of East - 0.4 km / 0.3 mi <br /> Royal Regalia Museum - 2 km / 1.3 mi <br /> Taman Jubli Perak Sultan Haji Hassanal Bolkiah - 2.1 km / 1.3 mi <br /> Crown of Gold Jubilee Park - 2.1 km / 1.3 mi <br /> Eco-Corridor Bandar Seri Begawan - 2.2 km / 1.4 mi <br /> Sultan Omar Ali Saifuddien Mosque - 2.3 km / 1.4 mi <br /> Istana Nurul Iman - 2.4 km / 1.5 mi <br /> Yayasan Sultan Haji Hassanai Bolkiah Shopping Complex - 2.4 km / 1.5 mi <br /> Jame Asr Hassanil Bolkiah Mosque - 2.9 km / 1.8 mi <br /> Tasek Lama Recreational Park - 3 km / 1.9 mi <br /> Hua Ho Department Store - 3.2 km / 2 mi <br /> The Mall - 4.1 km / 2.6 mi <br /> Our Lady of the Assumption Church - 4.3 km / 2.7 mi <br /> Gadong Night Market - 4.7 km / 2.9 mi <br /> Hassanal Bolkiah National Stadium - 6.8 km / 4.2 mi <br /> </p><p>The nearest airports are:<br />Bandar Seri Begawan (BWN-Brunei Intl.) - 7.9 km / 4.9 mi<br /> Limbang (LMN) - 74.7 km / 46.4 mi<br /> </p><p></p>,"<p>HeadLine : Near Kampong Ayer - Venice of East</p><p>Location : A stay at LeGallery Suites Hotel places you in the heart of Bandar Seri Begawan, within a 5-minute drive of Kampong Ayer - Venice of East and Sultan Omar Ali Saifuddien Mosque.  This hotel is 1.8 mi (2.9 km) from Istana Nurul Iman and 2 mi (3.2 km) from Tasek Lama Recreational Park.</p><p>Rooms : Make yourself at home in one of the 49 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature bidets and hair dryers. Conveniences include phones and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy local cuisine at My town Eating House, one of the hotel s many dining establishments, which include 2 restaurants and a coffee shop/cafe. Local cuisine breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",673-222-1132,Free airport transportation - pickup ATM/banking Concierge services Airport transportation (surcharge) Distance from property (meters) - 0 Wheelchair accessible  no Luggage storage Free parking nearby Grocery/convenience store 24-hour front desk Breakfast available (surcharge) Free WiFi Designated smoking areas Upper floors accessible by stairs only Safe-deposit box at front desk Wheelchair accessible parking Designated smoking areas (fines apply) Number of coffee shops/cafes - 1 Tours/ticket assistance Free self parking,4.886326|114.93147,6732221228,BA1779,http://legallerysuiteshotel.com/
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1064459,Palm Garden Hotel,ThreeStar,"LOT 45238, SIMPANG 88 KAMPUNG KIULAP ",Royal Regalia Museum: within 3000 metre  Tasek Lama Recreational Park: within 3400 metre  Jame Asr Hassanil Bolkiah: within 1300 metre  Agro Technology Park: within 7900 metre  Sultan Omar Ali Saifuddin Mosque: within 4800 metre ,"This hotel is just right behind the Hua Ho Department Store in Kiulap and within 15 minutes' drive from Brunei International Airport. The hotel is offering a lavish and impeccable standard of customer service and attention to detail. Palm Garden Hotel truly understands the meaning of comfort. Guest will experience impeccable service from the friendly staffs in the hotel which is ready the very best it can be. 

The air-conditioned rooms at Palm Garden have a flat-screen TV, safety deposit box and tea/coffee making facilities. The private bathroom is fitted with a shower. Guests can visit the salon for beauty treatments, or make travel arrangements at the tour desk. 
Guests also enjoy free access to Fitness Zone, a fully equipped gym and exercise studio located next to the hotel. The Twelve Bistro serves western and oriental dishes, with vegetarian options. Room service is also available.",,Non-smoking establishment Fitness Identification card at arrival Early departure Early Check-in Deposit on arrival À la carte dinner Set menu lunch Breakfast buffet Beauty salon Hairdressing salon Spa treatments Massage Air conditioning in Restaurant Non-smoking area Restaurant Luggage room Newspapers Gym Lift access Currency exchange facilities Hotel safe Smoke detector Air conditioning in public areas Multilingual staff Laundry service Room service Transfer service Late Check-out Smoke detector Desk Safe Individually adjustable air conditioning Carpeted floors Ironing set Mini fridge Minibar TV Direct dial telephone Bathrobes Toiletries Hairdryer Shower Bathroom Visa MasterCard Diners Club JCB EC American Express Hotel,4.8972758|114.93818699999997,,B1518,www.palmgarden-hotel.com
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1064503,Abdul Razak Apartments,ThreeStar,"Jalan Laksamana Abdul Razak, Km 2 Jln Tutong Bandar Seri Begawan ",,"Stop at Abdul Razak Hotel Apartment to discover the wonders of Bandar Seri Begawan. The hotel offers a wide range of amenities and perks to ensure you have a great time. All the necessary facilities, including free Wi-Fi in all rooms, 24-hour security, convenience store, daily housekeeping, taxi service, are at hand. Television LCD/plasma screen, carpeting, linens, mirror, towels can be found in selected guestrooms. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Bandar Seri Begawan, Abdul Razak Hotel Apartment will make you feel instantly at home.",,Hotel Lift access Breakfast Non-smoking establishment,4.885511|114.93142,,00000,
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1064504,Mangrove Paradise Resort,ThreeStar,Simpang 912 Kg Sungai Belukut Jalan Kota Batu  ,,"The 3-star Mangrove Paradise Resort offers comfort and convenience whether you're on business or holiday in Bandar Seri Begawan. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. Free Wi-Fi in all rooms, convenience store, daily housekeeping, facilities for disabled guests, luggage storage are there for guest's enjoyment. All rooms are designed and decorated to make guests feel right at home, and some rooms come with television LCD/plasma screen, internet access  wireless (complimentary), air conditioning, desk, balcony/terrace. The hotel offers various recreational opportunities. A welcoming atmosphere and excellent service are what you can expect during your stay at Mangrove Paradise Resort.",,airport transfer car park - on site free Facilities for disabled guests free Wi-Fi in all rooms Luggage storage Restaurant Room service Wi-Fi in public areas,4.91233|115.00351,+673 278 6868,BD2117,
BN,Brunei Darussalam,110772,Bandar Seri Begawan,1094566,Terrace Hotel,ThreeStar,Gpo Box 49 Jalan Tasek Lama Bandar Seri Begawan GPO Box 49Bandar Seri Begawan BS8670 ,,"Terrace Hotel features a fitness centre with floor-to-ceiling windows and a landscaped outdoor pool. It is a 10-minute walk from Yayasan Shopping Complex. Free Wi-Fi access is available in its lobby and restaurant.

Hotel Terrace is well-situated a 10-minute walk from Royal Regalia Museum and Sultan Omar Ali Saifuddin Mosque. Providing free parking, it is 9 km from Brunei International Airport.

Air-conditioned rooms offer the comfort of carpeted floors and classic light wood furnishings. Fitted with cable channels, they have a safe, fridge and an attached bathroom with a bathtub.

For leisure, guests can explore Bruneis attractions with help from the tour desk or have a game of billiards at the lounge area. Business and laundry services are available at Terrace Hotel.

Offering a spread of Western and Asian dishes, Cempaka Café provides a casual dining environment with views of tropical greenery from floor-to-ceiling windows. Please note that non-Muslim guests are allowed to bring 2 bottles of liquor and 12 cans of beer.",6732227302,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Fitness centre Non-smoking rooms Business centre Laundry dry cleaning Free parking internet services lift Currency exchange Billiards Hiking Car hire Tour desk Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning outdoor pool (all year) concierge service Private check-in/check-out Trouser press Daily housekeeping parking on site Private parking wifi available in all areas secured parking Parking garage Pool with view Fence around pool Fitness Swimming pool Walking tours Tour or class about local culture 24-hour security Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property,4.89528|114.9417,6732243554,BS8760,https://www.booking.com/hotel/bn/terrace.html
