countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CM,Cameroon,149597,Bafut,1476543,Saddle Hill Ranch,FourStar,Aba'angoh Bafut ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Muncipal Stadium - 17.6 km / 10.9 mi <br /> Bamenda Main Market - 17.6 km / 10.9 mi <br /> Bamenda Congress Hall - 17.7 km / 11 mi <br /> </p><p>The preferred airport for Saddle Hill Ranch is Douala (DLA-Douala Intl.) - 309.7 km / 192.5 mi </p>,"<p>HeadLine : In Bafut</p><p>Location : With a stay at Saddle Hill Ranch in Bafut, you ll be 10.9 mi (17.6 km) from Bamenda Muncipal Stadium and 10.9 mi (17.6 km) from Bamenda Main Market.  This 4.5-star hotel is 11 mi (17.7 km) from Bamenda Congress Hall.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and bathrobes. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Grab a bite at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Relax with a refreshing drink from the poolside bar or one of the 3 bars/lounges. A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",+237(0)633091989,Free self parking Tennis on site Terrace Wheelchair accessible path of travel Golf course on site Concierge services Dry cleaning/laundry service Number of meeting rooms - 1 Swimming pool Free WiFi Golfing on site Number of bars/lounges - 3 Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Horse riding/rental on site Garden Picnic area Internet access in public areas - high speed Tours/ticket assistance Area shuttle (surcharge) Free bicycles on site Miniature golf on site Airport transportation (surcharge) Free breakfast Outdoor tennis courts - 1 Porter/bellhop Business center Indoor tennis courts - 1 24-hour front desk Conference center Playground on site Barbecue grill(s) Spa services on site Safe-deposit box at front desk Smoke-free property Steam room,6.051806|10.158408,237-67-3479954,N A,http://www.saddlehillranch.com/
CM,Cameroon,149600,Bamenda,1444663,Mawa Hotel,TwoStar,Mile 6 Nkwen P.O. Box 176Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Main Market - 1 km / 0.6 mi <br /> Bamenda Congress Hall - 1.3 km / 0.8 mi <br /> Bamenda Muncipal Stadium - 1.5 km / 0.9 mi <br /> </p><p>The preferred airport for Mawa Hotel is Douala (DLA-Douala Intl.) - 298.9 km / 185.7 mi </p>,"<p>HeadLine : Near Bamenda Main Market</p><p>Location : A stay at Mawa Hotel places you in the heart of Bamenda, within a 5-minute drive of Bamenda Main Market and Bamenda Congress Hall.  This hotel is 1.1 mi (1.7 km) from Bamenda Muncipal Stadium.</p><p>Rooms : Stay in one of 42 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with bathtubs or showers are provided. Conveniences include phones, as well as desks and blackout drapes/curtains.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the poolside bar. English breakfasts are available daily from 6 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",237-33202842,Coffee/tea in common areas Wheelchair accessible parking Snack bar/deli Number of coffee shops/cafes - 1 Tours/ticket assistance Free self parking Multilingual staff 24-hour front desk Breakfast available (surcharge) Television in common areas Free WiFi Number of poolside bars - 1 Number of outdoor pools - 1,5.95218|10.158139,237-33202841,BP 176,
CM,Cameroon,149600,Bamenda,1444691,Ayaba Hotel,ThreeStar,Nord Ouest Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Main Market - 1 km / 0.6 mi <br /> Bamenda Congress Hall - 1.3 km / 0.8 mi <br /> Bamenda Muncipal Stadium - 1.5 km / 0.9 mi <br /> </p><p>The preferred airport for Ayaba Hotel is Douala (DLA-Douala Intl.) - 298.9 km / 185.7 mi </p>,"<p>HeadLine : Near Bamenda Main Market</p><p>Location : A stay at Ayaba Hotel places you in the heart of Bamenda, within a 5-minute drive of Bamenda Main Market and Bamenda Congress Hall.  This hotel is 1.1 mi (1.7 km) from Bamenda Muncipal Stadium.</p><p>Rooms : Stay in one of 60 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have bathtubs and bidets. Conveniences include phones, as well as desks and blackout drapes/curtains.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the poolside bar. English breakfasts are available daily from 6 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : </p>",237-33-362271,Free RV  bus  truck parking Outdoor tennis courts - 1 Porter/bellhop Multilingual staff Breakfast available (surcharge) Television in common areas Free WiFi Number of poolside bars - 1 Number of outdoor pools - 1 Coffee/tea in common areas Wheelchair accessible parking Tours/ticket assistance elevator Tennis on site,5.95218|10.158158,237-33-361356,Nord Ouest,
CM,Cameroon,149600,Bamenda,1474610,Azam Hotel,ThreeStar,PO Box 386 Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Muncipal Stadium - 0.4 km / 0.2 mi <br /> Bamenda Congress Hall - 0.6 km / 0.4 mi <br /> Bamenda Main Market - 0.9 km / 0.6 mi <br /> </p><p>The preferred airport for Azam Hotel is Douala (DLA-Douala Intl.) - 301.3 km / 187.2 mi </p>,"<p>HeadLine : Near Bamenda Muncipal Stadium</p><p>Location : With a stay at Azam Hotel in Bamenda, you ll be a 5-minute walk from Bamenda Muncipal Stadium and 7 minutes by foot from Bamenda Congress Hall.  This hotel is 1.1 mi (1.8 km) from Bamenda Main Market.</p><p>Rooms : Make yourself at home in one of the 72 air-conditioned rooms featuring flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Bathrooms have bidets and hair dryers. Conveniences include desks and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at the hotel s restaurant, which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). English breakfasts are available daily from 6 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : </p>",237-33-363816,Nightclub Multilingual staff Meeting rooms Free wired Internet Breakfast available (surcharge) Television in common areas Free WiFi Number of bars/lounges - 1 Safe-deposit box at front desk Coffee/tea in common areas Free use of nearby fitness center Wheelchair accessible parking Snack bar/deli Number of coffee shops/cafes - 1 Wedding services Tours/ticket assistance RV  bus  truck parking Volleyball on site Shopping center shuttle (surcharge),5.959007|10.147866,237-33-363631,BP:386 MANKO,http://www.azamhotel.com
CM,Cameroon,149600,Bamenda,1534764,Zwinkels Mountain Lodge,All,Aboh Village Belo MountainsBeloBamenda ,,"Offering a restaurant, Zwinkels Mountain Lodge is located in Bamenda.

The accommodation will provide you with a seating area. Private bathroom also comes with slippers. You can enjoy mountain view and garden view from the room.

At Zwinkels Mountain Lodge you will find a terrace and a bar. Other facilities offered at the property include a tour desk, luggage storage and a childrens playground.

An array of activities can be enjoyed on site or in the surroundings, including horse riding and hiking. The property offers free parking. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Free self parking Restaurant Room service Bar/lounge Terrace Non-smoking rooms Laundry facilities Express check-in Children s playground Library Hiking Car hire Tour desk Horse riding Luggage storage Non-smoking throughout Private check-in/check-out Area shuttle (surcharge) Special diet menus (on request) Daily housekeeping Parking onsite Private parking,6.13616|10.25683,+237699315989,,https://www.booking.com/hotel/cm/zwinkels-trekkers-camp.html
CM,Cameroon,149600,Bamenda,1534791,Zwinkels Guest House Bamenda,All,Mill 3 Nkwen Behind The Full Gospel Mission Mile 3 NkwenBamenda ,,"Offering a restaurant, Zwinkels Guest House is located in Bamenda. An array of activities can be enjoyed on site or in the surroundings, including horse riding and hiking. Free WiFi access is available.

Featuring a bath or shower, private bathroom also comes with free toiletries and slippers.

At Zwinkels Guest House you will find a garden and a terrace. Other facilities offered at the property include a shared lounge and a tour desk. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Managed by a private host",,Parking Restaurant Room service Bar Garden Terrace Non-smoking rooms Airport shuttle Laundry dry cleaning Family rooms breakfast in the room Ironing service internet services express check-in/check-out Currency exchange Hiking Packed lunches Car hire Tour desk Fax/photocopying Horse riding Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area Private check-in/check-out Special diet menus (on request) Trouser press airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas invoice provided,5.97959|10.18158,+237699315989,99999,https://www.booking.com/hotel/cm/zwinkels-guest-house-yaounde.html
CM,Cameroon,149600,Bamenda,1673247,Kangle Plaza Hotel Ngen Junction,ThreeStar,Ngen Junction Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Main Market - 1 km / 0.6 mi <br /> Bamenda Congress Hall - 1.3 km / 0.8 mi <br /> Bamenda Muncipal Stadium - 1.5 km / 0.9 mi <br /> </p>,"<p>HeadLine : Near Bamenda Main Market</p><p>Location : A stay at Kangle Plaza Hotel  Ngen Junction places you in the heart of Bamenda, within a 5-minute drive of Bamenda Main Market and Bamenda Congress Hall.  This hotel is 1 mi (1.7 km) from Bamenda Muncipal Stadium.</p><p>Rooms : Stay in one of 18 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with bathtubs are provided. Conveniences include portable fans and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Continental breakfasts are available daily from 6 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",237-650-503842,Number of stairs to reach property - 6 Wheelchair accessible  no Luggage storage Multilingual staff Number of meeting rooms - 1 Cobblestone flooring in public areas 24-hour front desk Breakfast available (surcharge) Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Upper floors accessible by stairs only Free self parking,5.951657|10.158036,237-650-503842,,
CM,Cameroon,149600,Bamenda,1673252,Kangle Plaza Hotel,TwoStar,Foncha Street 00100 Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Muncipal Stadium - 4.3 km / 2.7 mi <br /> Bamenda Main Market - 4.3 km / 2.7 mi <br /> Bamenda Congress Hall - 4.5 km / 2.8 mi <br /> </p>,"<p>HeadLine : In the city center</p><p>Location : A stay at Kangle Plaza Hotel places you in the heart of Bamenda, within a 5-minute drive of Bamenda Main Market and Bamenda Muncipal Stadium.  This hotel is 2.7 mi (4.3 km) from Bamenda Congress Hall.</p><p>Rooms : Make yourself at home in one of the 17 guestrooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include phones and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Continental breakfasts are available daily from 6 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",237-675-356734,Number of stairs to reach property - 3 Wheelchair accessible  no Luggage storage Porter/bellhop Multilingual staff Number of meeting rooms - 1 24-hour front desk Breakfast available (surcharge) Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Upper floors accessible by stairs only Free self parking,5.970164|10.174528,237-675-356734,00100,
CM,Cameroon,149600,Bamenda,1675470,Centre Climatique De Bandjoun,ThreeStar,N4 233446750 Bafoussam Road #4 Face Résidence Fotso Victor1191 Bamenda ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bamenda Muncipal Stadium - 6 km / 3.7 mi <br /> Bamenda Main Market - 6 km / 3.7 mi <br /> Bamenda Congress Hall - 6.1 km / 3.8 mi <br /> </p>,"<p>HeadLine : Near Bamenda Main Market</p><p>Location : With a stay at Centre Climatique De Bandjoun, you ll be centrally located in Bamenda, within a 10-minute drive of Bamenda Main Market and Bamenda Muncipal Stadium.  This hotel is 3.8 mi (6.1 km) from Bamenda Congress Hall.</p><p>Rooms : Make yourself at home in one of the 45 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with bathtubs or showers are provided. Conveniences include desks and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : At Centre Climatique De Bandjoun, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Continental breakfasts are available daily from 6 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",237-233 44 67 50,Multilingual staff Meeting rooms Number of meeting rooms - 1 24-hour front desk Breakfast available (surcharge) Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Free self parking,5.949261|10.163453,237-699 93 03 58,1191,
CM,Cameroon,149612,Bonaberi,1371508,Hotel Royal Palace,ThreeStar,Rue IMP/Ancienne Route BonaberiDouala ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>La Nouvelle Liberte - 5 km / 3.1 mi <br /> Eko Market - 7 km / 4.3 mi <br /> Stade de la Reunification - 7.2 km / 4.5 mi <br /> Cathedral of Saints Peter and Paul - 8.4 km / 5.2 mi <br /> Espace Doual art - 8.6 km / 5.3 mi <br /> Port of Douala - 9.4 km / 5.8 mi <br /> Douala Grand Mall - 12 km / 7.5 mi <br /> Japoma Sports Complex - 21.9 km / 13.6 mi <br /> </p><p>The preferred airport for Hotel Royal Palace is Douala (DLA-Douala Intl.) - 13.6 km / 8.4 mi </p>,"<p>HeadLine : Connected to a shopping center</p><p>Location : Located in Bonaberi, Hotel Royal Palace is connected to a shopping center, within a 10-minute drive of La Nouvelle Liberte and Eko Market.  This hotel is 4.5 mi (7.2 km) from Stade de la Reunification and 5.2 mi (8.4 km) from Cathedral of Saints Peter and Paul.</p><p>Rooms : Stay in one of 71 guestrooms featuring flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms have deep soaking bathtubs and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. English breakfasts are available daily from 6 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",237-33-393431,Dry cleaning/laundry service RV  bus  truck parking (surcharge) Beach umbrellas Free parking nearby Pool umbrellas Number of meeting rooms - 2 Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Picnic area Wheelchair accessible parking Wedding services Tours/ticket assistance Beach towels Shopping center shuttle (surcharge) Free airport transportation Luggage storage Porter/bellhop Multilingual staff 24-hour front desk Breakfast available (surcharge) Playground on site Barbecue grill(s) Outdoor seasonal pool Safe-deposit box at front desk Coffee/tea in common areas Designated smoking areas (fines apply) Snack bar/deli Laundry facilities Children's pool elevator Free self parking Conference space Hair salon Beach sun loungers Terrace,4.079397|9.670469,237-33-393426,BP : 12741,https://www.hotelscombined.com/Hotel/Hotel_Royal_Palace_Douala.htm
