countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CO,Colombia,104975,Acacías,1125058,San Sebastian,ThreeStar,Vereda Cola De Pato 507001 Acacias ,,"<p><b>Property Location</b> <br />With a stay at Hotel San Sebastian in Acacias, you''ll be within the region of Iglesia Principal and Parque Nuevo Milenio.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 8 air-conditioned rooms featuring minibars. Satellite television is provided for your entertainment.</p><p><b>Rec, Spa, Premium Amenities</b> <br />Enjoy recreation amenities such as an outdoor pool or take in the view from a garden. This guesthouse also features tour/ticket assistance and barbecue grills.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",,Free self parking Beach umbrellas Garden,3.98614797583182|-73.7644761800765,,507001,
CO,Colombia,104975,Acacías,1125059,Hotel Iraqúa,All,Carrera 23 No. 9 74 Carrera 23 9-74AcacíasMeta ,,"Located just 1 km from the river in Acacias, this bright hotel offers an outdoor swimming pool and an on-site restaurant. Hotel Iraqua also features laundry services.

Each modern room at the property comes with tiled floors and a flat-screen TV with cable channels. They also have a private bathroom with a shower and toilet.

Local cuisine is served at the propertys on-site restaurant, while guests can find other dining options within 2 km of Hotel Iraqua.

Los Ocarros Biological Park can be reached in a 20-minute drive, and Vanguardia Airport in neighbouring Villavicencio is a 30-minute drive away.",,sun loungers or beach chairs Steam room kids' pool Swimming pool Swimming pool Room service meeting/banquet facilities 24-hour front desk Garden Non-smoking rooms Business centre Laundry Family rooms breakfast in the room Ironing service Free parking internet services Packed lunches Tour desk Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning outdoor pool (all year) Trouser press shared lounge/TV area Daily housekeeping parking on site Parking garage Parking,3.98365|-73.76659,+575786567136,507001,https://www.booking.com/hotel/co/iraqua.html
CO,Colombia,104975,Acacías,1432481,Las Pampas Hotel Campestre,FourStar,Antigua Via Guamal Km 2.7 Acacias ,,"Located just outside Acacías, Hotel Campestre Las Pampas offers tropical gardens, 5 outdoor swimming pools and a spa. The air-conditioned rooms feature free Wi-Fi, satellite TV and en suite bathrooms.

The hotels swimming pools include 1 natural pool, while the spa offers a sauna and Turkish bath. There is also a communal lounge and a poolside games area with a pool table, ping pong and chess.

A free daily breakfast is served at the Hotel Campestre Las Pampas. The on-site restaurant serves national and international cuisine.

Acacías Bus Station and the riverfront boulevard are within 4 km, while the business district is 5 km away and Villavicencio La Vanguardia Airport is 32 km away. Free parking is available at the hotel. Please inform Hotel TPR Campestre Las Pampas-Acacias in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are currently in effect at this property.",,designated smoking area Ticket service nightclub/dj Family rooms Themed dinner nights Billiards Massage Bike tours Entertainment staff Outdoor pool Shallow end express check-in/check-out On-site parking Table tennis Special diet menus (on request) kids' club Business centre breakfast in the room Non-smoking rooms Facilities for disabled guests Tour or class about local culture Packed lunches Free WiFi Evening entertainment Indoor play area Open-air bath Currency exchange Plunge pool Air conditioning water slide grocery deliveries Bingo Car hire Karaoke kids' outdoor play equipment Pub crawls Indoor pool internet services Bridal suite dry cleaning indoor pool (all year) Tour desk Sun terrace meeting/banquet facilities shared lounge/TV area Trouser press Games room Ironing service Hot tub/jacuzzi Safety Deposit Box airport shuttle (additional charge) Airport shuttle Terrace books  dvds  music for children Allergy-free room Snack Bar Garden board games/puzzles Parking vending machine (drinks) 24-hour security children's playground babysitting/child services Restaurant pool/beach towels Public Bath shuttle service (additional charge) shops (on site) Room service Cycling Live music/performance wifi Daily housekeeping Private check-in/check-out Kid meals VIP room facilities 24-hour front desk Live sport events (broadcast) Bar Valet parking Soundproof rooms Fire extinguishers Luggage storage Walking tours concierge service Fax/photocopying outdoor pool (all year) Children television networks Pets allowed Newspapers Free parking Laundry Swimming pool,3.97341|-73.76994,00573203415398,507001,https://www.booking.com/hotel/co/campestre-las-pampas.html
CO,Colombia,104975,Acacías,1434650,Palma Real Hotel Boutique,All,Carrea 15 No 13-11 507001 Acacías ,,"Palma Real Hotel Boutique is located in Acacías. The hotel boasts free WiFi access throughout and an on-site snack bar.

Simply furnished, each room here will provide you with a TV and air conditioning. The private bathroom also comes with a shower. Extras include linens, towels and a fan.

At Palma Real Hotel Boutique you will find a 24-hour front desk, a tour desk and shops, found on the premises. Free parking is also provided.

El Dorado International Airport is 144 km away.",,Free self parking Room service 24-hour front desk Free newspapers in lobby Laundry facilities Family rooms Internet access Express check-in Tour desk Free WiFi Free WiFi Non-smoking throughout Air conditioning Private check-in/check-out Trouser press Daily housekeeping,3.98559|-73.7586,,507001,https://www.booking.com/hotel/co/palma-real-boutique.html
CO,Colombia,104975,Acacías,1437289,Hotel La Mansión de Acacías,All,Carrera 23 #14-37 Acacías ,,"Hotel La Mansion De Acacias features a bar, garden and terrace in Acacías. Among the facilities at this property are a 24-hour front desk and room service, along with free WiFi throughout the property. Private parking can be arranged at an extra charge.

At the hotel, every room comes with a desk, a flat-screen TV and a private bathroom. All units at Hotel La Mansion De Acacias include air conditioning and a wardrobe.

Villavicencio is 30 km from the accommodation, while La Palmera is 36 km away. The nearest airport is La Vanguardia Airport, 33 km from Hotel La Mansion De Acacias.",,Laundry Terrace Private check-in/check-out 24-hour front desk CCTV outside property Free WiFi Facilities for disabled guests On-site parking internet services Public Bath Bar Free parking Tour desk Non-smoking rooms designated smoking area Room service Daily housekeeping Pets allowed Fax/photocopying Private parking Fire extinguishers wifi available in all areas wifi 24-hour security Parking Sun terrace Family rooms grocery deliveries Ironing service Garden Security alarm Trouser press Air conditioning meeting/banquet facilities Luggage storage CCTV in common areas,3.98756|-73.76617,,507001,https://www.booking.com/hotel/co/la-mansion-de-acacias-acacias.html
CO,Colombia,104975,Acacías,1660278,Bella Mar Verde,TwoStar,Vereda San Pablo. Km 22 Via Antigua Villavicencio Vereda San PabloAcacias 507007Meta ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Plaza los Libertadores - 25.2 km / 15.7 mi <br /> Llanabastos Market - 25.3 km / 15.7 mi <br /> Cathedral of Our Lady of Carmen - 25.3 km / 15.7 mi <br /> Macal Stadium - 25.5 km / 15.8 mi <br /> Iglesia Principal - 30.6 km / 19 mi <br /> Castilla La Nueva Cultural House - 30.6 km / 19 mi <br /> Viva Villavicencio Shopping Center - 32.3 km / 20.1 mi <br /> Founders Park - 32.6 km / 20.2 mi <br /> Primavera Urbana Shopping Mall - 33.8 km / 21 mi <br /> Parque de la Vida - 36.1 km / 22.4 mi <br /> Balneario Caño Cacayal - 36.6 km / 22.7 mi <br /> Parque Nuevo Milenio - 37.5 km / 23.3 mi <br /> Bioparque Los Ocarros - 40.8 km / 25.4 mi <br /> Parque Las Malocas - 41 km / 25.5 mi <br /> </p><p>The preferred airport for Bella Mar Verde is Villavicencio (VVC-La Vanguardia) - 28.1 km / 17.4 mi </p>,"<p>HeadLine : On the riverwalk</p><p>Location : With a stay at Bella Mar Verde in Acacias, you ll be on the riverwalk, and 15.7 mi (25.2 km) from Plaza los Libertadores and 15.7 mi (25.3 km) from Llanabastos Market.  This guesthouse is 15.7 mi (25.3 km) from Cathedral of Our Lady of Carmen and 15.8 mi (25.5 km) from Macal Stadium.</p><p>Rooms : Make yourself at home in one of the 4 individually decorated guestrooms, featuring kitchens with full-sized refrigerators/freezers and stovetops. Rooms have private balconies or patios. 32-inch flat-screen televisions are provided, with cable programming available. Conveniences include separate sitting areas, and housekeeping is provided once per stay.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in.</p>",011-57-3123500892,Pool umbrellas Barbecue grill(s) Picnic area Lazy river Terrace Meeting rooms Number of outdoor pools - 1 Garden Designated smoking areas Access to nearby outdoor pool Children's pool,4.022427|-73.782839,011-57-3123500892,507007,
CO,Colombia,104975,Acacías,1695867,New Western,ThreeStar,Via Acacias Guamal Finca El Palmar Vereda Centro507057 Acacias ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Iglesia Principal - 21.7 km / 13.5 mi <br /> Parque Nuevo Milenio - 21.8 km / 13.6 mi <br /> Castilla La Nueva Cultural House - 21.9 km / 13.6 mi <br /> Llanabastos Market - 38.4 km / 23.8 mi <br /> Plaza los Libertadores - 40.4 km / 25.1 mi <br /> Cathedral of Our Lady of Carmen - 40.5 km / 25.2 mi <br /> Macal Stadium - 40.7 km / 25.3 mi <br /> Parque de la Vida - 41.6 km / 25.9 mi <br /> Bioparque Los Ocarros - 45.4 km / 28.2 mi <br /> </p><p>The nearest airports are:<br />Villavicencio (VVC-La Vanguardia) - 44.5 km / 27.7 mi<br /> Bogota (BOG-El Dorado Intl.) - 155.5 km / 96.6 mi<br /> </p><p></p>,"<p><b>Property Location</b> <br />With a stay at New Western in Acacias, you'll be 13.5 mi (21.7 km) from Iglesia Principal and 13.6 mi (21.8 km) from Parque Nuevo Milenio.  This guesthouse is 13.6 mi (21.9 km) from Castilla La Nueva Cultural House and 23.8 mi (38.4 km) from Llanabastos Market.</p><p><b>Rooms</b> <br />Stay in one of 10 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include complimentary bottled water and portable fans, and housekeeping is provided on a limited basis.</p><p><b>Amenities</b> <br />Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden. Additional features at this guesthouse include complimentary wireless Internet access, babysitting/childcare (surcharge), and a television in a common area.</p><p><b>Dining</b> <br />Take advantage of the guesthouse's room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Full breakfasts are available daily from 8 AM to 11 AM for a fee.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a 24-hour front desk, luggage storage, and laundry facilities. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.</p>",,24-hour front desk Accessible bathroom Airport transportation (surcharge) Babysitting or childcare Babysitting or childcare (surcharge) Bar/lounge Barbecue grill(s) Breakfast available (surcharge) Designated smoking areas Free WiFi Free self parking Garden In-room accessibility Laundry facilities Library Luggage storage One meeting room Outdoor pool Picnic area Safe-deposit box at front desk Television in common areas Terrace Total number of rooms - 10 Tours/ticket assistance,3.97198|-73.76724,,507057,
CO,Colombia,104975,Acacías,5607530,La Morena Hospedaje,All,Vereda El Centro Klm 1 Via Gualmal Lote 8  ,,"La Morena Hospedaje has garden views, free WiFi and free private parking, situated in Acacías.

Each unit has a balcony, a kitchen with a fridge, a dining area and a flat-screen TV, while the private bathroom includes a shower.

Guests can also relax in the shared lounge area.

The nearest airport is La Vanguardia Airport, 35 km from the apartment. This property will not accommodate hen, stag or similar parties.
Please inform La Morena Hospedaje in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",,Parking Pets allowed 24-hour front desk Family rooms Free parking internet services wifi Free WiFi Shared kitchen shared lounge/TV area parking on site Private parking kids' outdoor play equipment Baby safety gates secured parking Accessible parking Picnic area Walking tours Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered,3.96397|-73.76513,,507001,https://www.booking.com/hotel/co/la-morena-hospedaje-acacias.html
CO,Colombia,151410,Acandi,1129011,Hotel Nautilos Capurgana,All,Playa La Caleta 110911 Capurganá ,,"Offering an outdoor swimming pool and a spa and wellness centre, Hotel Nautilos Capurgana is located in Capurganá.

Each room here will provide you with air conditioning and a balcony. Private bathroom also comes with a shower. Extras include bed linen.

At Hotel Nautilos Capurgana you will find a restaurant. Other facilities offered at the property include entertainment staff, meeting facilities and a shared lounge. An array of activities can be enjoyed on site or in the surroundings, including hiking and snorkelling.",,CCTV outside property Bar Air conditioning Spa Facilities Steam room Plunge pool Fishing Water sport facilities (on site) CCTV in common areas Back massage Kid-friendly buffet Full body massage Hand massage Snorkelling board games/puzzles Daily housekeeping Table tennis Tour desk on-site coffee house Billiards Spa lounge/relaxation area airport shuttle (additional charge) Couples massage Swimming pool Luggage storage Spa and wellness centre airport pick up Pool with view Neck massage Evening entertainment Shuttle service Massage Entertainment staff outdoor pool (all year) Wine/champagne 24-hour security kids' pool Bike tours Kid meals Games room Foot massage Children television networks Outdoor pool sun loungers or beach chairs Themed dinner nights Beachfront Indoor play area Walking tours shuttle service (additional charge) Airport shuttle Facilities for disabled guests Beach Non-smoking throughout Karaoke Shallow end breakfast options Public Bath Bicycle rental (additional charge) airport drop off Sun terrace meeting/banquet facilities Fire extinguishers Key access Trouser press Bingo Garden pool/beach towels Head massage Special diet menus (on request) Hiking Restaurant Family rooms Snack Bar Fruits Swimming pool express check-in/check-out Laundry Safety Deposit Box shared lounge/TV area,8.63364|-77.34788,,110911,https://www.booking.com/hotel/co/nautilos-capurganan.html
CO,Colombia,151410,Acandi,1430702,Hotel Doña Triny,ThreeStar,Corregimiento de Sapzurro  ,,"Located in the countryside, only 3 km from La Miel And Cabo Tiburon Capes, Hotel Doña Triny offers rooms with air conditioning and TV sets in Sapzurro. There is a restaurant, and half board is provided. The Panamanian border is a few kilometers away.

Bright and spacious, rooms at Doña Triny are decorated with exposed-brick walls. All of them have private bathrooms.

An American breakfast is served daily. Regional dishes can be enjoyed at the propertys restaurant.

Hotel Doña Triny is a few steps from the Catolica de Sapzurro church and 4 km from Narcisa Navas de Capurganá Airport.",,Restaurant Room service Non-smoking rooms Family rooms Tour desk,8.6571|-77.366,+573127518626,278017,https://www.booking.com/hotel/co/doa-a-triny.html
