countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CZ,Czech Republic,103168,enov u Nového Jicína,1243498,Hotel McLimon,ThreeStar,Malostranská 31 742 42 SenovNový Jicín ,,"Located in enov u Nového Jicína, Hotel McLimon features air-conditioned rooms with flat-screen TV. A wellness centre is offered on site, and free Wi-Fi is available throughout the property.

All units are equipped with wooden furniture and decorated in different colour themes. They include a seating area and a minibar. A private bathroom comes with a bath tub or a shower.

The wellness centre offers sauna, steam bath and hot tub facilities as well as massage treatments. Czech and international cuisine is served in the restaurant. Guests can also relax on a terrace with barbecue facilities, and a childrens playground is featured.

Heipark Toovice Ski Resort is 15 km from McLimon Hotel. The local bus and train stations in Nový Jicín are 2 km away. The centre of town can be reached within a 15-minute walk. Ostrava Monov Airport is a 20-minute drive away. Free parking is available on site. Please inform Hotel McLimon in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",(420) 556703015,staff follow all safety protocols as directed by local authorities delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized physical distancing rules followed cashless payment available Fruits Wine/champagne Accessible parking Parking garage secured parking Kid meals Baby safety gates kids' outdoor play equipment wifi available in all areas parking on site grocery deliveries Daily housekeeping Spa Facilities Pet bowls Lockers airport shuttle (additional charge) Special diet menus (on request) Sun terrace designated smoking area Air conditioning food can be delivered to guest accommodation physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Key access Live sport events (broadcast) Themed dinner nights fitness/spa locker rooms Full body massage Hand massage Head massage Couples massage Foot massage Neck massage Back massage Spa/wellness packages Spa lounge/relaxation area Steam room first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed Free WiFi wifi Luggage storage Fax/photocopying Heating hammam Tour desk Cycling Packed lunches BBQ facilities Hiking Hot tub/jacuzzi children's playground Massage Spa and wellness centre Currency exchange Safety Deposit Box internet services Free parking Ironing service breakfast in the room Family rooms Skiing Facilities for disabled guests dry cleaning Laundry Airport shuttle Non-smoking rooms Terrace Garden Sauna Tennis Court Bar meeting/banquet facilities Room service Pets allowed Restaurant Non-smoking throughout Parking,49.60792|18.00324,(420) 556712761,74242,https://www.booking.com/hotel/cz/mc-limon.html
CZ,Czech Republic,106900,lapanice,1433770,Univerzitní centrum lapanice,All,Nádraní 58 66451 lapanice ,,"Providing a fitness centre, Univerzitní centrum lapanice is situated 10 km from the centre of Brno and features a terrace. Free wired internet is available in the hotel rooms.

All rooms include a seating area, a TV, and a bathroom fitted with a shower. Towels and linen are provided.

Guests at Univerzitní centrum lapanice can make use of meeting facilities and a business centre.

A trolleybus stop is 200 metres away. A supermarket and a restaurant are within 100 metres.  Tennis court and a swimming pool can be reached within 1 km. BVV Trade Fairs can be reached within 12.5 km. Please note that the Reception is open until 18.00 on Saturdays and Sundays.",+420544228337,Free self parking Meeting rooms Fitness facilities Terrace Business center Internet access Hiking Cycling Heating Non-smoking throughout Parking onsite Private parking,49.16341|16.72686,549 492 410,664 51,https://www.booking.com/hotel/cz/univeritni-centrum-slapanice.html
CZ,Czech Republic,100019,Abertamy,1369905,Hotel Plesivec,ThreeStar,Pleivecká 445 362 35 Abertamy ,,"Enjoying a unique location on the Plesivec Hill and featuring its own watchtower, this hotel offers en-suite rooms, free Wi-Fi, a restaurant with a terrace and lots of leisure facilities. The hotel is right next to the Pleivec Ski Resort and provides ski-to-door access.

Buffet breakfast is served in the charming restaurant with a terrace providing panoramic views of the Ore Mountains. You can enjoy traditional, home-made Czech specialties in the Plesivec Restaurant, as well as locally brewed beer.

On-site leisure facilities include a high ropes course, a bungee trampoline, an archery range, a giant swing and many more attractions. For younger ones, there is a childrens playground and ropes centre, too.

The Pleivec Ski Resort offers 8 different ski slopes and 4 chair lifts as well as ski and snowboard equipment hire. Ski service and ski school are also available. Please inform Hotel Plesivec in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Guests under the age of 18 can only check in with a parent or official guardian.",(420) 7247,Parking Restaurant Pets allowed Bar Terrace Non-smoking rooms Skiing Family rooms Free parking internet services Hiking Cycling Heating Luggage storage wifi Ski storage Free WiFi Non-smoking throughout designated smoking area Sun terrace Ski-to-door access Special diet menus (on request) parking on site wifi available in all areas Kid meals Kid-friendly buffet Street parking Key access Smoke alarms CCTV outside property Fire extinguishers linens  towels and laundry washed in accordance with local authority guidelines staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available,50.35592|12.83956,(420) 725948674,36235,http://www.facebook.com/plesivecAreal/
CZ,Czech Republic,100019,Abertamy,1370630,Sport Hotel Abertamy,ThreeStar,Perninská 280 362 25 Abertamy ,,"Sport Hotel Abertamy is located in the centre of Abertamy, 300 metres from the Pleivec Ski Area, and features a restaurant, a sauna and a hot tub. Free WiFi is available in all areas.

The rooms provide mountain views, satellite TV and a bathroom with bath tub and free toiletries.

Breakfast is served every morning and the restaurant on site offers Czech cuisine and a fireplace.

Guests can use the ski storage room at Sport Hotel Abertamy and there is a games room and playground for children.

A bus stop is 120 metres away and the Klínovec Ski Area is 13 km away. Please inform Penzion Sport Abertamy in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Free self parking Restaurant Pets allowed Tennis on site Sauna Garden Terrace Non-smoking rooms Skiing Family rooms Arcade/game room Internet access Children s playground Hiking BBQ facilities Cycling Heating Luggage storage Free WiFi Ski storage Free WiFi Designated smoking areas Terrace Private check-in/check-out Ski equipment hire (on site) Television in common areas Kids  club Parking onsite Private parking,50.36739|12.81377,+420724889929,362 25,https://www.booking.com/hotel/cz/sport-abertamy.html
CZ,Czech Republic,100019,Abertamy,1429617,Penzion Villa Rosse,ThreeStar,Praská 95 36235 Abertamy ,,"Situated in the Kruné Mountains, just 500 metres from the ski slopes and 3 km from Bozi Dar, Penzion Villa Rosse offers cosy en-suite rooms with free WiFi and a garden. Free on-site parking is provided.

Guests can use bikes and skiing equipment. The property also offers a bike storage.

A continental reakfast is served daily at the Penzion Villa Rosse.

A rope climbing centre is located 1 km from the property. Popular local attractions include the water park and mines at Jáchymov, 12 km away, and the famous spa town of Karlovy Vary, 27 km from the house. Ostrov can be reached within 17 km. Please inform Penzion Villa Rosse in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties.
Please note that the prepayment set up in Policies is requested only for bookings from 1 October till 31 March due to heating costs.

Dogs are allowed on request.

Please note that the property does not reheat water at night during summer.",,Parking meeting/banquet facilities Garden Terrace Non-smoking rooms Skiing Family rooms Free parking internet services express check-in/check-out Soundproof rooms Hiking Cycling Tour desk Heating Luggage storage wifi Ski storage Free WiFi Non-smoking throughout Private check-in/check-out ski equipment hire on site Ski-to-door access shared lounge/TV area parking on site wifi available in all areas board games/puzzles Kid meals Bike tours Fire extinguishers cashless payment available,50.36869|12.82089,606 540 300,36235,https://www.booking.com/hotel/cz/penzion-villa-rosse.html
CZ,Czech Republic,100019,Abertamy,1574733,Pension Abertham Vanessa,ThreeStar,Palackého 261 362 35 Abertamy ,,"Featuring a pizzeria, Pension Abertham offers apartments and suites with free WiFi, satellite TV and a fully equipped kitchen. It is located in Abertamy in the Ore Mountains, right next to the Pleivec Ski Area and 25 km north of Karlovy Vary.

The property has a infra sauna and a fitness centre, as well as a barbecue area. There is a ski and bicycle storage room, and there are numerous cycling routes in the vicinity.

Breakfast and a half-board featuring traditional Czech cuisine are offered.

Pension Abertham is 13 km away from Klinovec, the largest ski resort in the Ore Mountains, and 100 metres from the Poma Ski Lift. A bus stop with connections to the Pernink Ski Area is 400 metres away. Please note that the check-in and key-collection take place at: Jáchymovská 240, 36235 Abertamy.
Please inform Pension Abertham - Vanessa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Heating Luggage storage Free WiFi Ski storage Free WiFi Non-smoking throughout Terrace Ski-to-door access Parking onsite Kids  outdoor play equipment Street parking Free self parking Restaurant Pets allowed Bar/lounge Sauna Fitness facilities Garden Terrace Non-smoking rooms Skiing Family rooms Internet access Children s playground Hiking Cycling,50.36809|12.81906,,36235,https://www.booking.com/hotel/cz/pension-abertham.html
CZ,Czech Republic,100019,Abertamy,1597081,Penzion Trampská bouda Hanna Hodová,All,Pleivecká 366 362 35 Abertamy ,,"Located in Abertamy, Penzion Trampska Bouda provides free WiFi, and guests can enjoy a garden, a restaurant and a bar.

Each unit comes with a fully equipped kitchen with a dining table, a flat-screen TV with satellite channels and a private bathroom with shower, free toiletries and a hairdryer. A fridge, a microwave and stovetop are also provided, as well as a coffee machine and a kettle.

A continental breakfast is available daily at the apartment.

Skiing is possible within the area and Penzion Trampska Bouda offers ski-to-door access.

Fichtelberg is 13 km from the accommodation, while Mill Colonnade is 27 km away. The nearest airport is Karlovy Vary International Airport, 36 km from Penzion Trampska Bouda.",,Parking Restaurant Pets allowed Bar Sauna Garden Skiing Family rooms Free parking internet services Table tennis BBQ facilities Heating wifi Ski storage Free WiFi Non-smoking throughout Ski-to-door access parking on site Private parking invoice provided,50.36363|12.84189,,362 35,https://www.booking.com/hotel/cz/penzion-trampska-bouda.html
CZ,Czech Republic,100019,Abertamy,1857374,Hotel Orion,All,Pleivecká 500 362 35 Artamy ,,"Set in Abertamy, 15 km from Fichtelberg, Hotel Orion offers accommodation with a terrace, free private parking, a restaurant and ski-to-door access. Among the facilities at this property are room service and a concierge service, along with free WiFi throughout the property. The guest house provides an indoor pool, sauna and a kids club.

All guest rooms come with a fridge, dishwasher, a coffee machine, a shower, free toiletries and a desk. The units feature a private bathroom, a hairdryer and bed linen.

Guests at the guest house can enjoy a continental breakfast.

Hotel Orion offers a hot tub. Guests at the accommodation will be able to enjoy activities in and around Abertamy, like hiking, skiing and cycling.

Mill Colonnade is 29 km from Hotel Orion, while Market Colonnade is 29 km from the property. The nearest airport is Karlovy Vary International, 37 km from the guest house, and the property offers a paid airport shuttle service.",,Parking Restaurant Pets allowed Room service Sauna Terrace Non-smoking rooms Airport shuttle Business centre Facilities for disabled guests Skiing Family rooms Games room breakfast in the room Free parking internet services lift express check-in/check-out Safety Deposit Box children's playground Hot tub/jacuzzi Hiking Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Ski storage Indoor pool Free WiFi Non-smoking throughout Sun terrace indoor pool (all year) concierge service Private check-in/check-out Ski-to-door access airport shuttle (additional charge) Lockers kids' club Daily housekeeping parking on site Private parking wifi available in all areas Swimming pool toys invoice provided bicycle rental Swimming pool Fire extinguishers Smoke alarms Key card access Swimming pool Outdoor fireplace Outdoor furniture sun loungers or beach chairs Pet bowls Heated pool Pool with view Lower bathroom sink Toilet with grab rails Wheelchair accessible Accessible parking electric vehicle charging station secured parking kids' outdoor play equipment Indoor play area board games/puzzles,50.3563|12.84127,+420359888889,362 35,https://www.booking.com/hotel/cz/horska-chata-orion.html
CZ,Czech Republic,100019,Abertamy,1946083,Apartmány Michaela,All,Dlouhá 39 362 35 Abertamy ,,"Located 14 km from Fichtelberg, Apartmány Michaela provides accommodation with free WiFi and free private parking.

A fridge, a dishwasher and oven are also provided in the kitchen, as well as a coffee machine.

Guests at the aparthotel can enjoy hiking and skiing nearby, or make the most of the garden.

Mill Colonnade is 25 km from Apartmány Michaela, while Market Colonnade is 25 km away. The nearest airport is Karlovy Vary International Airport, 30 km from the accommodation. Please inform Apartmány Michaela in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,guests have the option to cancel any cleaning services for their accommodation during their stay invoice provided physical distancing rules followed cashless payment available contactless check-in/check-out process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers Key access Outdoor fireplace Outdoor furniture Baby safety gates wifi available in all areas Private parking parking on site Private check-in/check-out Non-smoking throughout Free WiFi Ski storage wifi Heating Tour desk Hiking internet services Free parking Family rooms Skiing Non-smoking rooms Garden Pets allowed Parking,50.36938|12.81989,,362 35,http://www.apartmanymichaela.cz
CZ,Czech Republic,100019,Abertamy,5556145,Chataplesivka,All,Generala Svobody 281  ,,"Offering barbecue facilities and garden view, Chata Pleivka is situated in Abertamy, 14 km from Fichtelberg and 25 km from Mill Colonnade. This chalet features free private parking, a shared kitchen and free WiFi.

The chalet with a terrace and mountain views has 5 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a fridge and a dishwasher, and 4 bathrooms with a shower. Towels and bed linen are available in the chalet.

The chalet offers a childrens playground. After a day of hiking, skiing or cycling, guests can relax in the garden or in the shared lounge area.

Market Colonnade is 25 km from Chata Pleivka, while Hot Spring is 25 km from the property. The nearest airport is Karlovy Vary International Airport, 30 km from the accommodation. Please inform Chata Pleivka in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",,Fire extinguishers Outdoor fireplace Outdoor furniture wifi available in all areas Private parking parking on site shared lounge/TV area Shared kitchen Non-smoking throughout Free WiFi Ski storage wifi Heating Cycling BBQ facilities Hiking children's playground internet services Free parking Family rooms Skiing Non-smoking rooms Terrace Garden Pets allowed Parking,50.36719|12.81479,,362 35,https://www.booking.com/hotel/cz/chataplesivka.html
