countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
DO,Dominican Republic,101477,Azua,1437537,Monte Mar,TwoStar,Carretera Sanchez 71000 Azua de Compostela ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Parque 19 de Marzo - 4.3 km / 2.6 mi <br /> Playa de Monte Rio - 7.5 km / 4.6 mi <br /> Las Charcas Park - 9.5 km / 5.9 mi <br /> Palmar de Ocoa Park - 34.9 km / 21.7 mi <br /> </p>,"<p>HeadLine : In Azua</p><p>Location : Located in Azua, Monte Mar is a 4-minute drive from Parque 19 de Marzo and 9 minutes from Las Charcas Park.  This hotel is 4.6 mi (7.5 km) from Playa de Monte Rio and 21.7 mi (34.9 km) from Palmar de Ocoa Park.</p><p>Rooms : Make yourself at home in one of the 33 guestrooms. Complimentary wireless Internet access is available to keep you connected.</p><p>Dining : At Monte Mar, enjoy a satisfying meal at the restaurant. Mingle with other guests at the complimentary reception, held daily. A complimentary continental breakfast is served daily from 7:30 AM to 10:00 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",1-809-6697631,Barbecue grill(s) Picnic area Number of meeting rooms - 12 Terrace Free reception Coffee/tea in common areas Designated smoking areas 24-hour front desk Free breakfast Restaurant - 1 24-hour fitness facilities Free self parking Free WiFi Outdoor pool Garden,18.439879|-70.70406,1-809-6697631,71000,
DO,Dominican Republic,105191,Baní,1432367,Hotel Caribani,All,Calle Sanchez 12 94000 Bani ,,"Hotel Caribani, is located in the heart of the city of Bani, commercial zone.
We have 23 spacious and comfortable rooms, parking spaces, Wi-Fi and complimentary continental breakfast.

Our rooms have air conditioning. refrigerators, modern TV with local cable and solar hot water, among other accessories to make you feel at home.

Next to our hotel, you will find everything you need, from banks, restaurants, shops, commercial offices, for cars, everything is easy from here. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Hotel Caribani in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.",,Parking Pets allowed Room service meeting/banquet facilities 24-hour front desk Terrace Non-smoking rooms Airport shuttle Laundry Family rooms Ironing service Free parking internet services express check-in/check-out Currency exchange Tour desk wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar Sun terrace concierge service Private check-in/check-out shuttle service (additional charge) Trouser press vending machine (drinks) airport shuttle (additional charge) Daily housekeeping grocery deliveries Private parking wifi available in all areas secured parking airport pick up airport drop off Outdoor furniture Shuttle service 24-hour security Key access CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available,18.27973|-70.33321,+18095223871|+18095223872,94000,https://www.booking.com/hotel/do/caribani.html
DO,Dominican Republic,105191,Baní,1432368,Hotel Salinas,OneStar,Calle Principal Salinas  ,,"Hotel Salinas features a swimming pool, sun terrace and sea views. It is located on Salinas Beach in Bahia de las Calderas Bay. A gym and free Wi-Fi throughout are available.

The rooms offer modern décor, air conditioning, cable TV and a balcony with sea views. The bathrooms come with shower.

The on-site restaurant serves local food and there is bar service as well. Other options can be reached within 10 minutes drive.

Activities such as boat rides, fishing and tours can be arranged on site.

Hotel Salinas is 5 minutes drive from Las Dunas de Bani dunes and 90 minutes drive from Santo Domingo City Centre. Las Americas International Airport is 2 hours drive away.",,On-site parking Parking Private parking internet services Private beach area Beachfront Free WiFi Restaurant Swimming pool Free parking outdoor pool (all year) wifi available in all areas Air conditioning Sun terrace wifi Fitness centre Tour desk Fishing Bar,18.21208|-70.54481,,81800,https://www.booking.com/hotel/do/salinas.html
DO,Dominican Republic,105191,Baní,1434014,Sava Salinas,All,Frente A Las Dunas De Bani Salinas 10143 10143 Baní ,,"Offering an outdoor pool and a restaurant, Sava Salinas is located in Las Salinas, 7 minutes drive from Playa Salinas Beach and facing Las Calderas Bay. Free WiFi access is available.

Each well-appointed villa here will provide you with a flat-screen TV with satellite channels, air conditioning and a balcony. There is a full kitchen with a dining table and a seating area. Featuring a shower, the private bathroom also comes with a bath. Views of the city and the pool area can be enjoyed from these accommodations.

At Sava Salinas you will find a sauna, a garden and barbecue facilities. An array of activities can be enjoyed on site or in the surroundings, including fishing, diving and windsurfing. The property offers free parking.

Las Americas International Airport can be reached in 2 hours by car. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment is also possible via PayPal.

If you book without a credit card, 30% pre-payment before arrival by bank transfer is required. The property will contact you after you book to provide instructions.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry dry cleaning Facilities for disabled guests Skiing Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Currency exchange Karaoke Windsurfing Tour or class about local culture Hot tub/jacuzzi 24-hour security Canoeing CCTV in common areas Hiking CCTV outside property BBQ facilities Swimming pool Cycling bicycle rental Tour desk Heating Fax/photocopying Diving Snorkelling wifi Allergy-free room Outdoor pool Free WiFi Air conditioning designated smoking area ATM/cash machine on site Snack Bar outdoor pool (all year) concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) water sport facilities on site airport shuttle (additional charge) Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas board games/puzzles secured parking Parking garage Pool with view Shallow end Wine/champagne Fruits coffee house on site Sun umbrellas Outdoor furniture Picnic area Outdoor fireplace Swimming pool Shuttle service Bike tours Themed dinner nights,18.21348|-70.52877,+18093231965,94307,https://www.booking.com/hotel/do/sava-salinas.html
DO,Dominican Republic,105191,Baní,1467618,Dpravia Hotel,All,Calle Maximo Gomez 32 Centro De La Cuidad Bani Provincia Peravia Centro De la Cuidad Baní94000 BaniPeravia ,,"Offering a restaurant and free WiFi access, Dpravia Hotel SRL is located in Baní, Dominican Republic. Marcos A. Cabral Park is 6 minutes walk from the property.

A flat-screen cable TV and a patio with a garden view are featured in all Dpravia rooms. A dining area and minibar are also included. The private bathroom is equipped with a bath, shower, and free toiletries.

A bar is available for guests to enjoy at Hotel Dpravia. A 24-hour front desk, tour desk, and concierge service are offered for convenience as well as grocery deliveries, meeting facilities, and free parking.

Our Lady of Regla Hospital is 1.3 km from the Dominican Republic hotel, and Our Lady of Regla Cathedral is 400 metres away.",,vending machine (drinks) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas secured parking Accessible parking Fruits coffee house on site Outdoor furniture Picnic area 24-hour security Key access Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Currency exchange Car hire Tour desk wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar Sun terrace concierge service Private check-in/check-out Special diet menus (on request) Trouser press first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed Key card access Security alarm CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available screens or physical barriers placed between staff and guests in appropriate areas,18.28082|-70.32924,,94000,https://www.booking.com/hotel/do/dpravia.html
DO,Dominican Republic,105191,Baní,1842536,El Almendro Villa,FourStar,Avenida Fabio Herrera 27 94000 BaniPeravia ,Distances are calculated in a straight line from the property's location to the point of interest or attraction  and may not reflect actual travel distance. <br /><br /> Distances are displayed to the nearest 0.1 mile and kilometer. <p>Palenque Beach - 17.2 km / 10.7 mi <br />Bani Sand Dunes - 22.3 km / 13.9 mi <br />Salinas Marina - 23.2 km / 14.4 mi <br />Salinas Beach - 23.4 km / 14.6 mi <br />Palmar de Ocoa Park - 27.7 km / 17.2 mi <br />Las Charcas Park - 38.2 km / 23.7 mi <br />Santo Domingo Country Club - 41.6 km / 25.9 mi <br />Plaza de la Bandera - 43.8 km / 27.2 mi <br />Playa de Monte Rio - 44.3 km / 27.6 mi <br />Jardin Botanico Nacional - 47.7 km / 29.6 mi <br />Acropolis Center - 48.1 km / 29.9 mi <br />Blue Mall - 48.1 km / 29.9 mi <br />Parque 19 de Marzo - 49.1 km / 30.5 mi <br />Convention Center Ministry of Foreign Affairs - 49.2 km / 30.6 mi <br /></p><p>The preferred airport for El Almendro Villa is Santo Domingo (SDQ-Las Americas Intl.) - 72 km / 44.7 mi. </p>,"<p><b>Property Location</b> <br />With a stay at El Almendro Villa in Bani, you'll be by the sea and within the region of Palenque Beach.</p><p><b>Rooms</b> <br />Treat yourself to a stay in one of the 4 individually decorated guestrooms, featuring private pools. Rooms have private patios. Kitchens are outfitted with full-sized refrigerators/freezers, ovens, and stovetops. Complimentary wireless Internet access is available to keep you connected.</p><p><b>Amenities</b> <br />Take in the views from a terrace and a garden and make use of amenities such as a picnic area.</p><p><b>Dining</b> <br />Continental breakfasts are available daily from 8:30 AM to 10 AM for a fee.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",,24-hour pool access Barbecue grill(s) Breakfast available (surcharge) Children's pool Designated smoking areas Free self parking Front desk (limited hours) Garden Number of outdoor pools - 2 Picnic area Pool sun loungers Pool umbrellas Terrace Total number of rooms - 4,18.24331|-70.32806,,94000,
DO,Dominican Republic,105191,Baní,5335567,Hotel Don Pérez,All,Calle Mella #46  ,,"Situated in Baní, Hotel Don Pérez is 34 km from San Cristobal Panamerican Stadium. The accommodation features a 24-hour front desk, airport transfers, a shared lounge and free WiFi throughout the property.

The rooms are fitted with air conditioning, a flat-screen TV with satellite channels, a fridge, a kettle, a shower, free toiletries and a wardrobe. Featuring a private bathroom, rooms at the hotel also boast a city view. Guest rooms will provide guests with a minibar.

At Hotel Don Pérez guests are welcome to take advantage of a hot tub.

The nearest airport is La Isabela International Airport, 66 km from the accommodation.",,Parking Room service 24-hour front desk Non-smoking rooms Airport shuttle Family rooms Free parking internet services Hot tub/jacuzzi Heating wifi Free WiFi Non-smoking throughout Air conditioning shuttle service (additional charge) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping grocery deliveries Private parking wifi available in all areas Public Bath Parking garage Wine/champagne Outdoor furniture Shuttle service 24-hour security CCTV in common areas CCTV outside property Fire extinguishers,18.27551|-70.33259,1-8095224949,94000,https://www.booking.com/hotel/do/don-perez.html
DO,Dominican Republic,144099,Barahona,1019570,Rancho Don Cesar,ThreeStar,Carretera Paraiso-Barahona Barahona ,,"Located on the banks of a river, Rancho Don Cesar offers a terrace with hammocks, tropical gardens and air-conditioned rooms with free Wi-Fi. Los Patos Beach is a 5-minute drive away.

Each bright room at the Rancho Don Cesar offers tiled floors, a fan and a desk. All rooms have a private bathroom with a shower and toilet.

The on-site restaurant serves local cuisine and fresh seafood. The Don Cesar also offers a bar, a terrace and a communal lounge area with cable TV.

Staff at the Rancho Don Cesar can help arrange horse riding trips and excursions in the surrounding area. San Rafael Beach is a 6-minute drive away, while Santo Domingo is 3 hours away. Free parking is available. Payment is possible via PayPal or bank transfer. Please contact the property directly for more information, using the contact details found on your booking confirmation.",,shared lounge/TV area Diving Snorkelling Family rooms Hiking Barber/beauty shop pool/beach towels designated smoking area Airport shuttle shuttle service (additional charge) Karaoke internet services Room service Car hire Entertainment staff Windsurfing wifi available in all areas breakfast in the room Allergy-free room Tour desk nightclub/dj babysitting/child services Terrace 24-hour front desk children's playground Bicycle rental (additional charge) Plunge pool Outdoor pool Parking Trouser press Kid meals Free WiFi express check-in/check-out meeting/banquet facilities outdoor pool (all year) wifi On-site parking Garden Air conditioning Cycling Pets allowed Restaurant Currency exchange Daily housekeeping Swimming pool Sun terrace Non-smoking rooms Free parking Bar Special diet menus (on request) Massage Hot spring bath airport shuttle (additional charge),17.99778|-71.16732,+18099097456,81000,https://www.booking.com/hotel/do/rancho-don-cesar.html
DO,Dominican Republic,144099,Barahona,1080565,Hotel Costa Larimar,ThreeStar,Av Enriquillo 6 Barahona ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Barahona Central Park - 1.2 km / 0.7 mi <br /> Playa Quemaito - 11 km / 6.9 mi <br /> Playa Baoruco - 16.7 km / 10.4 mi <br /> Rincon Lagoon - 19.5 km / 12.1 mi <br /> Sendero de la Virgen - 20.7 km / 12.8 mi <br /> San Rafael Beach - 24.6 km / 15.3 mi <br /> Old Central Park - 32.2 km / 20 mi <br /> Bahoruco & La Ciénaga - 35.6 km / 22.1 mi <br /> Los Patos Beach - 35.9 km / 22.3 mi <br /> </p>,"<p>HeadLine : Near Barahona Central Park</p><p>Location : When you stay at Hotel Costa Larimar in Barahona, you ll be 14 minutes by foot from Barahona Central Park.  This beach hotel is 6.9 mi (11 km) from Playa Quemaito and 10.4 mi (16.7 km) from Playa Baoruco.</p><p>Rooms : Make yourself at home in one of the 108 air-conditioned guestrooms. Cable television is provided for your entertainment. Bathrooms have shower/tub combinations and hair dryers. Conveniences include phones, as well as complimentary bottled water and day beds.</p><p>Dining : Enjoy a meal at SN or snacks in the hotel s coffee shop/cafe. Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-809-5241111,Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Express check-in Meeting rooms Conference space size (meters) - 0 Wheelchair-accessible registration desk Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden Wedding services Billiards or pool table 24-hour front desk Conference center Number of coffee shops/cafes - 1 Laundry facilities Children's pool elevator Conference space Terrace Conference space size (feet) - 0,18.199567|-71.08841,1-809-5241111,81000,http://www.hotelcostalarimar.com
DO,Dominican Republic,144099,Barahona,1144633,Casa Bonita Tropical Lodge,FourStar,Km 17 Carretera De La Costa BahorucoBarahona ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Playa Baoruco - 0.5 km / 0.3 mi <br /> Sendero de la Virgen - 4.5 km / 2.8 mi <br /> Playa Quemaito - 5.6 km / 3.5 mi <br /> San Rafael Beach - 8.3 km / 5.1 mi <br /> Old Central Park - 15.8 km / 9.8 mi <br /> Barahona Central Park - 16.9 km / 10.5 mi <br /> Bahoruco & La Ciénaga - 19.3 km / 12 mi <br /> Los Patos Beach - 19.6 km / 12.2 mi <br /> Rincon Lagoon - 34.1 km / 21.2 mi <br /> Oviedo Lagoon - 49.9 km / 31 mi <br /> </p><p>The preferred airport for Casa Bonita Tropical Lodge is Las Americas Intl. Airport (SDQ) - 229.6 km / 142.7 mi </p>,"<p>HeadLine : Near Playa Baoruco</p><p>Location : A stay at Casa Bonita Tropical Lodge places you in the heart of La Ciénaga, a 8-minute drive from San Rafael Beach and 14 minutes from Sendero de la Virgen.  This 4-star hotel is 12.2 mi (19.6 km) from Los Patos Beach.</p><p>Rooms : Make yourself at home in one of the 6 individually decorated guestrooms, featuring minibars and espresso makers. Your pillowtop bed comes with down comforters and premium bedding. 40-inch plasma televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms feature showers with rainfall showerheads and complimentary toiletries.</p><p>Dining : Enjoy international cuisine at Las Canas, a fine-dining restaurant where you can enjoy drinks at the bar/lounge, take in the garden view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. A complimentary cooked-to-order breakfast is served daily from 7:30 AM to 10 AM.</p><p>Renovations : This property is closed from August 21 2022 to August 20 2023 (dates subject to change).   The following facilities are closed on Sunday, Monday, Tuesday, Friday, and Saturday: <ul><li>Dining venue(s)</li><li>Full-service spa</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 11:00 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 11:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",18095657310,Mountain biking nearby Proposal/romance packages available Babysitting or childcare (surcharge) Free reception Swimming nearby Free WiFi Number of bars/lounges - 1 No elevator (single level property) Number of outdoor pools - 1 Hiking/biking trails on site Well-lit path to entrance Garden Picnic area Full-service spa Wedding services Tours/ticket assistance Beach towels Shopping center shuttle (surcharge) Area shuttle (surcharge) Free Cooked-to-Order Breakfast Beach shuttle (surcharge) Airport transportation (surcharge) Couples/private dining Wheelchair accessible  no Luggage storage Free breakfast Outdoor tennis courts - 1 Multilingual staff Front desk (limited hours) Daily Barbecue grill(s) Spa services on site Safe-deposit box at front desk Smoke-free property Ecotours nearby Laundry facilities Free self parking Ziplining on site Tennis on site Terrace Bicycle rentals on site Concierge services,18.079462|-71.090999,1-800-9615133,0000,http://www.casabonitadr.com
