countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
EC,Ecuador,105074,Alausi,1440125,Hostería La Eterna Primavera,FourStar,Barrio Turístico Cantón Alausí060254 Huigra ,,"An outdoor swimming pool surrounded by gardens and hammocks can be enjoyed in Huigra, 500 metres from the train station and 200 metres from Panama Cascade. Wi-Fi is free. Nariz del Diablo station is a 40-minute drive away. Hostería La Eterna Primavera also offers outdoor activities.

Guests staying at Hostería La Eterna Primavera can book rooms with private bathrooms.

Regional and international dishes can be enjoyed at the restaurant.

La Eterna Primavera offers 24-hour front desk assistance. Private parking is free. Please inform Hostería La Eterna Primavera in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Please note that the propertys restaurant and room service are available daily from 08:00 until 21:00.",,Outdoor pool Free WiFi designated smoking area Snack Bar outdoor pool (all year) Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) shared lounge/TV area Evening entertainment Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Indoor play area Kid meals secured parking Pool with view Shallow end Wine/champagne Fruits coffee house on site Outdoor furniture Picnic area Outdoor fireplace Swimming pool Shuttle service Walking tours Parking 24-hour security Key access Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning Restaurant Room service meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Laundry Family rooms Games room Free parking internet services Billiards Karaoke Hiking Tour desk Luggage storage wifi physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,-2.27826|-78.97215,03 2938057,060254,http://www.hosteriaeternaprimavera.com/
EC,Ecuador,105074,Alausi,1656103,Hotel Noris,ThreeStar,Av. 5 De Junio Y 9 De Octubre De Junio Y 9 De Octubre060202 Alausí ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Monument to Saint Peter - 0.2 km / 0.1 mi <br /> Alausi Main Square - 0.5 km / 0.3 mi <br /> Nariz del Diablo - 32.8 km / 20.4 mi <br /> Huigra Park - 33.9 km / 21.1 mi <br /> Guamote Market - 45.6 km / 28.3 mi <br /> Church of Guamote - 45.8 km / 28.5 mi <br /> </p>,"<p>HeadLine : Near Monument to Saint Peter</p><p>Location : With a stay at Hotel Noris Alausí in Alausi, you ll be a 2-minute walk from Monument to Saint Peter and 6 minutes by foot from Alausi Main Square.  This hotel is 20.4 mi (32.8 km) from Nariz del Diablo and 21.1 mi (33.9 km) from Huigra Park.</p><p>Rooms : Stay in one of 18 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",593-3-2931111,Dry cleaning/laundry service Free breakfast 24-hour front desk Free WiFi Number of bars/lounges - 1 Daily Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Tours/ticket assistance Free self parking Terrace Free Buffet Breakfast Concierge services Rooftop terrace,-2.203808|-78.847408,593-3-2931111,060202,
EC,Ecuador,105074,Alausi,1656315,Hostal Gampala,TwoStar,Avenida 5 de Junio 122 Y Pedro de loza060201 Alausí ,,"Located in Alausí, Hostal Gampala features an on-site restaurant, free WiFi access and free private parking.

Each room here will provide you with a cable TV, bed linen and a washer and dryer. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries.

At Hostal Gampala you will find a 24-hour front desk, a terrace and a bar. Other facilities offered at the property include a tour desk. Please inform Hostal Gampala in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Free self parking Restaurant Bar/lounge 24-hour front desk Terrace Laundry facilities Internet access Shoeshine Tour desk Luggage storage Free WiFi Free WiFi Non-smoking throughout Designated smoking areas Area shuttle (surcharge) Trouser press Daily housekeeping Private parking,-2.20327|-78.84749,+59332930138,060201,https://www.booking.com/hotel/ec/gampala.html
EC,Ecuador,105074,Alausi,1734795,Killa Wasi Hostel,All,La Quinta de La Falilia Rivadeneira barrio Mullenquiz 060250 Alausí ,,"Killa Wasi Hostel is set in Alausí and features barbecue facilities. The accommodation offers a 24-hour front desk, and organising tours for guests.

At the hostel, rooms are equipped with a wardrobe. All units will provide guests with a fridge.

You can play darts at Killa Wasi Hostel, and bike hire is available.",,Free self parking 24-hour front desk Garden Non-smoking rooms Airport shuttle Internet access Darts Bicycle rental (additional charge) Library Hiking BBQ facilities Packed lunches Tour desk Luggage storage Free WiFi Free WiFi Non-smoking throughout Designated smoking areas Special diet menus (on request) Shared kitchen Lockers Adult only Grocery/convenience store Parking onsite Private parking Games Children's books,-2.20802|-78.85268,,060250,https://www.booking.com/hotel/ec/killa-wasi-hostel.html
EC,Ecuador,105074,Alausi,1873187,La posada de Carlitos,All,Eloy Alfaro 167 Diagonal A La Estación Del Tren060250 Alausí ,,"Featuring free WiFi and a restaurant, La posada de Carlitos offers accommodation in Alausí. Guests can enjoy the on-site gallery and bar. Continental breakfast is available for a surcharge.

Some rooms at La Posada de Carlitos offer a private batrhoom with a shower, other bathrooms are shared. Free toiletries are included. Daily maid service is provided.

Guests at La Posada de Carlitos have access to a shared lounge and kitchen as well as a tour desk. Parking is available for a surcharge.

There is a 24-hour front desk at the property and a souvenir store. Guayaquil airport is 200 km away. Please note that guests must be 7 years old or older.",,Free self parking Restaurant Bar/lounge 24-hour front desk Laundry facilities Family rooms Internet access Massage Gift shops or newsstand Tour desk Free WiFi Free WiFi Non-smoking throughout Snack bar/deli Shared kitchen Television in common areas Daily housekeeping Street parking,-2.20127|-78.84784,,060250,https://www.booking.com/hotel/ec/la-posada-de-carlitos.html
EC,Ecuador,105074,Alausi,1886004,Hotel El Molino,FourStar,Sucre N141 y Bolivar Alausi ,,"Set in Alausí, within 400 metres of Alausí and 700 metres of Mirador, Hotel El Molino Alausí offers accommodation with a garden and free WiFi throughout the property as well as free private parking for guests who drive. All rooms boast a flat-screen TV with cable channels and a private bathroom. The accommodation features evening entertainment and a 24-hour front desk.

At the hotel the rooms are equipped with bed linen and towels.

A buffet breakfast is available every morning at Hotel El Molino Alausí.

Lookout house is less than 1 km from the accommodation, while Zulas valley is 7.7 km from the property.",,Non-smoking rooms Laundry Facilities for disabled guests Games room Ironing service Free parking internet services Safety Deposit Box BBQ facilities Tour desk wifi Free WiFi designated smoking area Evening entertainment Daily housekeeping parking on site Private parking wifi available in all areas Public Bath kids' outdoor play equipment secured parking Parking garage Accessible parking Wheelchair accessible Wine/champagne Outdoor furniture 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Parking Pets allowed meeting/banquet facilities 24-hour front desk Garden,-2.2013|-78.84581,+59332930739|+593960460746,060202,https://www.booking.com/hotel/ec/el-molino-alausi.html
EC,Ecuador,105074,Alausi,1886187,Hosteria Rincon de Isabel,All,Av. Capitan Ponton Barrio Buha. A 600 Metros Del Estadio 060201 Alausi ,,"Hosteria Rincón de Isabel is located in Alausí. Free WiFi access and free private parking are available.

Each room has a rustic décor features a private bathroom with a shower and free toiletries.

At Hosteria Rincón de Isabel you will find a peaceful garden and a bar. Other facilities offered at the property include meeting facilities, an ironing service and laundry facilities.

The propertys on-site restaurant is specialized in traditional Ecuadorian meals and is available for large groups.


Mariscal Lamar Airport, in Cuenca, is a 2-hour drive away.",,Free self parking Meeting rooms Bar/lounge Garden Non-smoking rooms Laundry facilities Facilities for disabled guests Ironing service Internet access Tour desk Free WiFi Free WiFi Non-smoking throughout Designated smoking areas Private check-in/check-out Area shuttle (surcharge) Special diet menus (on request) Shared kitchen Television in common areas Daily housekeeping Parking onsite Private parking Children television networks,-2.19306|-78.85023,,060201,https://www.booking.com/hotel/ec/hosteria-rincon-de-santa-isabel.html
EC,Ecuador,105074,Alausi,5643733,Hostal Ventura,All,Antonio Mora Y 9 De Octubre  ,,"Hostal Ventura Alausí is set in Alausí and features a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi throughout the property. There is free private parking and the property offers paid airport shuttle service.

The units in the guest house are fitted with a flat-screen TV with cable channels. With a private bathroom equipped with a shower and free toiletries, rooms at Hostal Ventura Alausí also provide guests with a city view.

Guests at the accommodation can enjoy a continental breakfast.

Guests at Hostal Ventura Alausí will be able to enjoy activities in and around Alausí, like cycling. Please inform Hostal Ventura Alausí in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are currently in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.",,wifi available in all areas Airport shuttle Fire extinguishers Luggage storage breakfast in the room Ticket service Daily housekeeping Happy hour shuttle service (additional charge) Bar Non-smoking rooms Tour or class about local culture Tour desk 24-hour security meeting/banquet facilities Smoke alarms Restaurant Cycling Private check-in/check-out CCTV outside property Room service 24-hour front desk Kid-friendly buffet grocery deliveries Special diet menus (on request) Laundry Fax/photocopying Themed dinner nights internet services Children television networks Live sport events (broadcast) Private parking Walking tours Non-smoking throughout Free parking Free WiFi Hiking Family rooms CCTV in common areas wifi Parking Bike tours Kid meals airport shuttle (additional charge) Packed lunches Evening entertainment concierge service designated smoking area,-2.20176|-78.84668,,060250,https://www.booking.com/hotel/ec/hostal-ventura.html
EC,Ecuador,101119,Ambato,1261449,Hotel Emperador,FourStar,Avenida Cevallos 1014 Ambato ,,"Boasting a panoramic terrace with city views, spa facilities and an on-site gym, Emperador has rooms with chic décor and city views in Ambato. Guests can also enjoy an indoor swimming pool.

Hotel Emperador has suites and rooms with air conditioning, flat screen TV and comfortable seating areas. Suites also feature hot tubs, kitchenettes and DVD players.

An American breakfast with tropical fruits can be enjoyed daily and guests can enjoy regional dishes at the restaurant.

Museo del Colegio Bolivar is 300 metres away. The main bus station is 1 km away. Car rental can be arranged and there is free private parking.

Quito City is 136 km from Emperador and shuttles to Latacunga Airport, 45 km away, are possible for a fee. Sauna is closed from Sat 06 Feb 2021 until Wed 31 Mar 2021
Spa/wellness centre is closed from Sat 06 Feb 2021 until Wed 31 Mar 2021
Hot tub/jacuzzi is closed from Sat 06 Feb 2021 until Wed 31 Mar 2021",593-032424460 Extensión: 144,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Sauna Fitness centre Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift Solarium Valet parking Spa and wellness centre Massage Hot tub/jacuzzi Soundproof rooms Packed lunches Car hire Tour desk hammam Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Sun terrace concierge service shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Kid meals secured parking Parking garage Accessible parking Wheelchair accessible Toilet with grab rails Wine/champagne Fruits airport pick up airport drop off coffee house on site Spa Facilities Spa lounge/relaxation area Fitness fitness/spa locker rooms Shuttle service 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,-1.24119|-78.62649,+59332424460,180150,https://www.booking.com/hotel/ec/hotel-casino-emperador.html
EC,Ecuador,101119,Ambato,1397932,Hotel Versailles,ThreeStar,Av. Bolivariana Km 5 1 2 Via Banos Diagonal Universidad Uniandes Via BanosDiagonal Universidad Uniandes180166 Ambato ,,"Located 5 km from central Ambato, Hotel Versailles offers a hot tub, a restaurant and functional rooms with mountain views. Free Wi-Fi and free parking are provided.

Each room at Hotel Versailles has functional décor, a desk and satellite TV. The private bathrooms come with a shower. American breakfast is included in the rate.

At Hotel Versailles you will find a bar, meeting facilities and a 24-hour front desk with information about the area. Airport transfers can be arranged at an extra cost.

Cotopaxi International Airport is located 50 km from Hotel Versailles. The Cotopaxi Volcano is around an hours drive away, while Quito is a 2-hour drive away.",,Trouser press Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Karaoke Packed lunches Tour desk Fax/photocopying Luggage storage wifi Free WiFi designated smoking area Snack Bar Sun terrace concierge service Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Kid meals secured parking Parking garage Wheelchair accessible Toilet with grab rails Lower bathroom sink Emergency cord in bathroom Wine/champagne Fruits airport pick up airport drop off coffee house on site Picnic area Shuttle service 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,-1.2951|-78.60334,,180150,https://www.booking.com/hotel/ec/versailles.html
EC,Ecuador,101119,Ambato,1398191,Hotel Boutique Mary Carmen,ThreeStar,Avenida Cevallos Y Martinez Ambato ,,"Offering a spa and wellness centre and a restaurant, Hotel Mary Carmen is located in the Tungurahua Province in Ambato, 2 hours away from Quito. Free Wi-Fi access is available.

Rooms here will provide you with a TV. Featuring a shower, the private bathrooms also come with a hairdryer and towels. Extras include linen.

The restaurant at Hotel Mary Carmen is specialized in typical cuisine of the region.

At Hotel Mary Carmen you will find a fitness centre along with other facilities, such as a tour desk, shops on site and an ironing service. The property offers free parking.",01159332420912,linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas Facilities for disabled guests Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Spa and wellness centre Massage Karaoke Hot tub/jacuzzi Soundproof rooms Packed lunches Car hire Tour desk hammam Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning use of cleaning chemicals that are effective against coronavirus dry cleaning Fire extinguishers Laundry CCTV outside property babysitting/child services CCTV in common areas Business centre Smoke alarms Airport shuttle Non-smoking rooms Fitness centre Sauna 24-hour front desk Bar Security alarm meeting/banquet facilities Key card access Room service 24-hour security Restaurant Live sport events (broadcast) Parking Themed dinner nights Shuttle service fitness/spa locker rooms Fitness Massage chair Spa/wellness packages Foot bath Spa lounge/relaxation area Steam room Spa Facilities Body scrub Body Treatments hair styling hair colouring hair cut designated smoking area Snack Bar concierge service nightclub/dj Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Evening entertainment Daily housekeeping parking on site wifi available in all areas Kid meals secured parking Parking garage Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Emergency cord in bathroom Wine/champagne Fruits airport pick up airport drop off Visual aids: Braille coffee house on site Sun umbrellas Outdoor furniture Beauty Services Facial treatments Waxing services Make up services hair treatments Manicure Pedicure food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,-1.24197|-78.62696,+59332420908,180150,https://www.booking.com/hotel/ec/boutique-mary-carmen.html
EC,Ecuador,101119,Ambato,1398842,Hotel Ambato,All,Guayaquil 01 08 Y Rocafuerte Rocafuerte180150 Ambato ,,"Offering a terrace and a garden, Hotel Ambato offers accommodations 500 metres from Montalvo park and 800 meters from Cevallos Park, the commercial area and city centre. Free WiFi access is available.

Rooms here offer mountain views and include cable TV, a work desk. All come with a wardrobe and a private bathroom with shower and hairdryer.

The hotel surroundings offer the Museum of the Casa del Portal, only a 5-minute drive away. In addition, free private parking is available.

This property is located  a 15-minutes drive from La Familia Park. Baños Hot Springs can be reached after a 45 minutes drive, while Quitos International Airport is just a 2 hours away by car. Please inform Hotel Ambato in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.",59332421790,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Soundproof rooms Packed lunches Tour desk Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area Sun terrace concierge service Private check-in/check-out Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas Kid meals secured parking Wheelchair accessible Toilet with grab rails airport pick up airport drop off coffee house on site Outdoor furniture Happy hour 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,-1.24285|-78.63161,59332421791,180150,https://www.booking.com/hotel/ec/ambato.html
EC,Ecuador,101119,Ambato,1399405,Roka Plaza Hotel Boutique,FiveStar,Calle Bolivar Entre Calles Quito Y Guayaquil Entre Calles QuitoGuayaquil180101 Ambato ,,"Offering a restaurant, Roka Plaza Hotel Boutique is a modified colonial house located in Ambato. Free WiFi access is available.

Each room here has a private bathroom with a shower or a bath and free toiletries. Extras include cleaning products.

At Roka Plaza Hotel Boutique you will find a 24-hour front desk and a sushi bar. The property offers free parking.

Cotopaxi International Airport can be reached after a 45-minute drive.",,24-hour security Key access Security alarm Smoke alarms CCTV in common areas Fire extinguishers invoice provided Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Non-smoking rooms Laundry Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Packed lunches Tour desk Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout concierge service Daily housekeeping wifi available in all areas secured parking Parking garage Accessible parking Wine/champagne Fruits coffee house on site Themed dinner nights,-1.2432|-78.63081,+59332423845,180101,https://www.booking.com/hotel/ec/roka-plaza-boutique.html
