countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
EE,Estonia,106076,Alatskivi,1431239,Alatskivi Castle,All,Alatskivi Loss 60201 AlatskiviTartu county ,,"Alatskivi Castle is a 16th century manor thats reconstruction was finished in the 19th century for Neo-Gothic style. If offers classically furnished castle rooms, with one located on the tower. Every room features free Wi-Fi.

Every room in the castle is spacious and decorated with wood. They all feature a private bathroom with a shower.

Alatskivi Castle features a green garden and free parking. At extra charge, massage treatment is provided. Buffet breakfast is served in the hotel restaurant.

Alatskivi Castle is surrounded by lakes, with the closest one, Alatskivi Lake, 200 metres from the castle. Peipsi Lake lies 3 km from the hotel.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities Garden Terrace Non-smoking rooms Airport shuttle Fishing breakfast in the room Ironing service Free parking internet services Hiking BBQ facilities Tour desk Heating Fax/photocopying wifi Mini golf Free WiFi Non-smoking throughout Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press airport shuttle (additional charge) Beachfront Daily housekeeping parking on site Wine/champagne airport pick up airport drop off Pet basket Pet bowls Picnic area Beach Shuttle service temporary art galleries Movie nights Themed dinner nights Tour or class about local culture 24-hour security Key access Security alarm Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered,58.60372|27.13011,+3727453816|+3725286598,60201,https://www.booking.com/hotel/ee/alatskivi-castle.html
EE,Estonia,101582,Audru,1435403,Villa Andropoff,All,Valgeranna kula 88301 AudruParnu county ,,"Villa Andropoff is located in Pärnu region, in a green area right by Parnu Bay, just 100 metres from the beach. Free WiFi access and secured territory with free parking is available on site. Villa Andropoff is located 10 km from Pärnu city and 1,1 km from the White Beach Golf Club.

Featuring a shower, the private bathrooms also come with free toiletries. Extras include an outdoor seating area, bed linen and a fan. Apartments come with a kitchenette.

Villa Andropoff features a 24-hour front desk, a seasonal restaurant, barbecue facilities and a terrace. Other facilities offered at the property include a shared lounge and a games room. An array of activities can be enjoyed on site or in the surroundings, including skiing, golfing and cycling. Massages are available at an extra charge. Please inform Villa Andropoff in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property may host on-site functions and some rooms may be affected by noise.
This property will not accommodate hen, stag or similar parties.
You are advised to bring your own vehicle as this property is not serviced by public transport.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Please note that the restaurant is closed from October to April. Meals can be ordered in advance in this period.",+3724442004,face masks for guests available breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized invoice provided screens or physical barriers placed between staff and guests in appropriate areas physical distancing rules followed cashless payment available first aid kit available hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers wifi available in all areas parking on site Daily housekeeping Beachfront water sport facilities on site Ski-to-door access Private beach area Non-smoking throughout Free WiFi Ski storage wifi Heating Cycling BBQ facilities Hiking Darts Billiards internet services Free parking Family rooms Skiing Non-smoking rooms Terrace Garden CCTV outside property CCTV in common areas Smoke alarms Security alarm Key access Beach Wine/champagne secured parking Golf course (within 3 km) Sauna 24-hour front desk Bar meeting/banquet facilities Parking,58.38754|24.39326,+3724443453,88326,https://www.booking.com/hotel/ee/villa-andropoff-parnumaa.html
EE,Estonia,101582,Audru,5926036,Erlendi Kodumajutus,All,Erlendi Kinnistu Papsaare Kula Parnumaa  ,,"Boasting garden views, Erlendi Kodumajutus features accommodation with a garden and a balcony, around 4.2 km from Lydia Koidula Memorial Museum. This property offers access to a terrace, darts, free private parking and free WiFi.

This holiday home features 2 bedrooms, a kitchen with a fridge and a dishwasher, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are available in the holiday home.

A childrens playground and barbecue facilities are available for guests at the holiday home to use.

Parnu Tallinn Gate is 5.7 km from Erlendi Kodumajutus, while Pärnu Museum is 6 km from the property. The nearest airport is Lennart Meri Tallinn, 138 km from the accommodation, and the property offers a paid airport shuttle service. Please inform Erlendi Kodumajutus in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Managed by a private host",,Parking Sauna Golf course (within 3 km) Garden Terrace Airport shuttle Free parking internet services children's playground Darts BBQ facilities Horse riding wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace shuttle service (additional charge) airport shuttle (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Badminton equipment Outdoor furniture Picnic area Shuttle service,58.39402|24.43088,,88317,https://www.booking.com/hotel/ee/erlendi-kodumajutus.html
EE,Estonia,116083,deutsch: Werro,1114772,Kubija Hotel And Naturespa,ThreeStar,Manniku 43 A 65603 Vöru ,,"Situated among the tranquil pine forests and lakes of Southern Estonia, the cosy and comfortable Hotel Kubija offers relaxing holidays and natural health treatments.

Guests can enjoy a wide range of classic and natural health and beauty treatments and wellness procedures, with a choice of 5 saunas and four spa baths available in the spa.

The restaurant serves traditional Estonian delicacies as well as international cuisine. In summer you can dine on the restaurants open-air terrace and enjoy the homemade bread and exquisite chocolate truffles, which are the chefs speciality.

Each room is comfortably equipped with many amenities, including free internet access and beautiful views of the forest or the lake.

In the forest near the hotel you will find both a walking track and an illuminated route for skiing or cycling.

Guests can play mini golf and then relax in the sauna. There is a special play room for children and a playground. Staff will help to organise excursions and hikes through the beautiful natural landscape around Hotel Kubija. Renovation work is done from FebruaryJuly 2023. The Clay rooms, the heating system, and the ventilation are under renovation. The property apologises for any inconvenience caused.",+3727866000,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Sauna Garden Terrace Non-smoking rooms Fishing Business centre Facilities for disabled guests Skiing Family rooms Games room Free parking internet services lift Safety Deposit Box Spa and wellness centre Massage Manicure Pedicure Body Treatments Body scrub Body wrap children's playground Hot tub/jacuzzi Hiking Car hire Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Mini golf Ski storage Allergy-free room Indoor pool Free WiFi Non-smoking throughout designated smoking area Private beach area indoor pool (all year) Ski-to-door access Beachfront Daily housekeeping parking on site wifi available in all areas board games/puzzles Indoor play area Kid meals secured parking Accessible parking Wheelchair accessible Toilet with grab rails coffee house on site sun loungers or beach chairs Outdoor furniture Picnic area Beauty Services Facial treatments Waxing services cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available Spa Facilities Steam room Foot bath Spa/wellness packages Swimming pool Beach Live music/performance 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available,57.81464|27.00762,+3725045745+3727866001,65603,https://www.booking.com/hotel/ee/hotelkubijavoru.html
EE,Estonia,116083,deutsch: Werro,1347224,Rogosi Manor,All,Ruusmäe  ,,"Surrounded by the lakes, hills and forests of the Haanja Nature Reserve, this 400-year-old manor in Southern Estonia was turned into a modern guesthouse with an integrated training and wellness centre.

Rogosi Manor offers traditional Estonian dishes, which you can enjoy in the ambience of the historic manor atmosphere.

The rooms at Rogosi Manor are simply furnished, but with attention to detail, as evidenced by the racks from the manors small carpentry. The rooms have no TVs or radios to let you enjoy a quiet, undisturbed stay.

The original natural landscape of Southern Estonia and the big distance to larger cities make a stay in this historical building from the 17th century something very special.

The surrounding landscape, close to the Latvian and Russian borders, is lightly populated and offers many cultural and natural sights. A unique attraction is the Suur munamägi, at 318 metres the highest mountain in the Baltics. The lakes are ideal for swimming and fishing. There are many hiking and cycling trails in the surrounding area. Cross-country skiing is available in the nearby Haanja ski centre. This property will not accommodate hen, stag or similar parties.
Please inform Rogosi Külaliskorter in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Parking Pets allowed Non-smoking rooms Fishing Skiing Family rooms Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus Free parking linens  towels and laundry washed in accordance with local authority guidelines staff follow all safety protocols as directed by local authorities internet services Valet parking children's playground Hiking Cycling Heating Horse riding wifi Free WiFi Non-smoking throughout Private check-in/check-out Beachfront parking on site wifi available in all areas board games/puzzles Street parking Outdoor furniture Beach invoice provided physical distancing rules followed cashless payment available contactless check-in/check-out first aid kit available hand sanitizer in guest accommodation and key areas Movie nights Tour or class about local culture Key access,57.63894|27.08758,,65102,https://www.booking.com/hotel/ee/rogosi-manor-training-and-wellness-center.html
EE,Estonia,116083,deutsch: Werro,1358453,Hotel Tamula,All,Vee 4 Võru 65609 ,,"Opened in 2000, this comfortable hotel offers spacious rooms and is located next to Lake Tamula and close to the city centre. Adrenaline Arena (motorsports) in Sõmerpalu is 13km away from the property.

The hotel provides cosy and modern rooms that are fully equipped with all facilities. Rooms also benefit from views of the surrounding area and the Lake.

The hotels facilities include conference and meeting facilities for up to 40 people. There is also a tennis court and sauna. The hotel also provides free parking and free internet access. Please inform Hotell Tamula in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.",+3727830431,BBQ facilities Packed lunches Car hire Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Parking Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Garden Terrace Non-smoking rooms Fishing Business centre Laundry dry cleaning Facilities for disabled guests Skiing Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Valet parking Massage children's playground Hot tub/jacuzzi Canoeing Hiking Kid-friendly buffet Non-smoking throughout designated smoking area Private beach area Snack Bar Sun terrace nightclub/dj Private check-in/check-out shuttle service (additional charge) water sport facilities on site Beachfront Daily housekeeping grocery deliveries parking on site wifi available in all areas board games/puzzles Kid meals staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available Street parking guest accommodation sealed after cleaning Wheelchair accessible physical distancing in dining areas Wine/champagne food can be delivered to guest accommodation Fruits tennis equipment coffee house on site Outdoor furniture Picnic area Beauty Services Waxing services Body Treatments Body scrub Body wrap Spa Facilities Spa/wellness packages Back massage Neck massage Foot massage Head massage Hand massage Full body massage Beach Shuttle service Pub crawls Stand-up comedy Live music/performance Live sport events (broadcast) 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays,57.84321|26.99294,+3727830430,65609,https://www.booking.com/hotel/ee/tamula.html
EE,Estonia,116083,deutsch: Werro,1395305,Ränduri Guesthouse,All,Juri Tn. 36  ,,"Ränduri is located on Võrus main street, Jüri. It offers uniquely decorated rooms with a LED TV and free Wi-Fi. Free private parking is available on-site.

The rooms of the Ränduri are warmly decorated, with decor inspired by different countries. Each room offers a private bathroom.

There is a pub on the ground floor, which serves breakfast.

The Kagu-Keskus shopping centre and Tamula beach promenade are both is within a 5 minute walk. Võru Central Park is 500 meters from the Ränduri. The shuttle bus station is within 1 km.",,Garden Terrace Non-smoking rooms Family rooms breakfast in the room Free parking internet services express check-in/check-out children's playground Packed lunches Heating wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning Special diet menus (on request) Daily housekeeping parking on site Private parking wifi available in all areas kids' outdoor play equipment Kid meals Wine/champagne Fruits coffee house on site Outdoor furniture Live sport events (broadcast) 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Parking Restaurant Room service meeting/banquet facilities Bar,57.8442|27.00179,786 8050,65609,https://www.booking.com/hotel/ee/ra-nduri-ka1-4lalistemaja.html
EE,Estonia,116083,deutsch: Werro,1436266,Georgi Hotell,FourStar,Juri 38a 65610 Voru ,,"Offering a restaurant, Georgi Hotell is located in a historic building in the centre of Võru, on the main street of the city. It provides free WiFi access throughout. It enjoys a location within 550 metres from Lake Tamula.

Each classically designed room here features furniture made by local artisans from natural, Estonian wood. It will provide you with air conditioning and a seating area where you can enjoy watching cable channels on an LCD TV. Featuring a shower, private bathroom also comes with a hairdryer. You can enjoy city view from the room. Extras include a desk.

At Georgi Hotell you will find a 24-hour front desk, beauty salon with massage, facial and body services and a restaurant. Other facilities offered at the property include luggage storage, ski storage and a childrens playground. A free private parking is also provided, for guests convenience. Bar is closed from Tue 17 Mar 2020 until Wed 01 Apr 2020
Sauna is closed from Tue 17 Mar 2020 until Wed 01 Apr 2020
Spa/wellness centre is closed from Tue 17 Mar 2020 until Wed 01 Apr 2020
Hot tub/jacuzzi is closed from Tue 17 Mar 2020 until Wed 01 Apr 2020",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Sauna Terrace Non-smoking rooms Skiing Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Spa and wellness centre Massage children's playground Hot tub/jacuzzi Heating Fax/photocopying wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning designated smoking area Private check-in/check-out Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Kid meals Street parking Wine/champagne Fruits Outdoor furniture Beauty Services Facial treatments Make up services Manicure Pedicure Body Treatments Body scrub Body wrap Spa Facilities Steam room Spa lounge/relaxation area Spa/wellness packages Back massage Neck massage Foot massage Head massage Hand massage Full body massage Pub crawls Live sport events (broadcast) Key access Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers invoice provided,57.84393|27.00244,+3723322221,65610,https://www.booking.com/hotel/ee/georgi-hotell.html
EE,Estonia,116083,deutsch: Werro,1570024,Guesthouse Mõisa Ait,All,Jüri 20c 65609 VõruVõru County ,,"Located in Võru, Guesthouse Mõisa Ait offers rooms with free Wi-Fi and a 32 LCD TV with satellite channels. Free private parking is available on site.

The rooms of the Mõisa Ait feature a simple interior décor, and each one includes a private bathroom with a shower. All are heated and have a wooden parquet floor.

The ground floor is occupied by a pub, which serves international cuisine, and offers daily specials on workdays. In the summer a patio for 30 people is available.

The Kagu-Keskus shopping centre and the Tamula Beach promenade both are within a 5 minute walk. Võru Central Park is 50 meters from the Mõisa Ait, and the shuttle bus station is within 500 metres. Please inform Guesthouse Mõisa Ait in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
If you expect to arrive outside reception opening hours, please inform Guesthouse Mõisa Ait in advance.",,Darts Heating wifi Free WiFi Non-smoking throughout Sun terrace Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar Terrace Non-smoking rooms Family rooms breakfast in the room Free parking internet services express check-in/check-out Fire extinguishers Smoke alarms Security alarm Live sport events (broadcast) Outdoor furniture Kid meals kids' outdoor play equipment board games/puzzles wifi available in all areas Private parking parking on site,57.84651|26.997,5668 9049,65608,https://www.booking.com/hotel/ee/moisa-ait-apartments-voru12345.html
EE,Estonia,116083,deutsch: Werro,1604013,Kagu Hostel,ThreeStar,Räpina mnt 7 65606 Võru ,,"Kagu Hostel offers accommodation only 2 km from the beach of Tamula Lake. Guests are welcome to use free Wi-Fi in all areas and the private parking on site.

All rooms at the Kagu are bright and simply furnished. They all have an access to shared bathroom facilities with a shower and some of them feature a TV.

Kagu Hostel provides a common kitchenette equipped with a microwave, a refrigerator and an electric kettle.

The Kagu is located only a 5-minute drive from the picturesque Kreutzwaldi Park. Mount Munamegi is 17 km away. Please inform Kagu Hostel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please let Kagu Hostel know your expected arrival time in advance.",,Parking onsite Television in common areas Shared kitchen Vending machine - Snacks & Drink Non-smoking throughout Free WiFi Free WiFi Heating Internet access Family rooms Non-smoking rooms Free self parking,57.84363|27.01558,5822 9857,65608,https://www.booking.com/hotel/ee/kagu-hostel.html
