countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
GP,Guadeloupe,110727,Basse Terre,1474002,Saint Georges Hotel,ThreeStar,Rue Gratien Parize Saint Claude Saint-Claude97120 Basse-Terre ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Fort Louis Delgres - 4 km / 2.5 mi &lt;br /&gt;Cathedral Basilica of Our Lady of Guadeloupe - 4 km / 2.5 mi &lt;br /&gt;Guadeloupe National Park - 7.3 km / 4.5 mi &lt;br /&gt;Plage de la Malendure - 18.6 km / 11.5 mi &lt;br /&gt;Tour Modele Lookout - 21.5 km / 13.3 mi &lt;br /&gt;Plage des Caraibes - 22.9 km / 14.2 mi &lt;br /&gt;Destreland - 28.7 km / 17.8 mi &lt;br /&gt;Memorial ACTe - 29.6 km / 18.4 mi &lt;br /&gt;Musee Saint-John Perse - 29.9 km / 18.6 mi &lt;br /&gt;Schoelcher Museum - 29.9 km / 18.6 mi &lt;br /&gt;Place de la Victoire - 30.1 km / 18.7 mi &lt;br /&gt;Plage de la Datcha - 30.2 km / 18.8 mi &lt;br /&gt;Cathedral of Saint Peter and Saint Paul - 30.3 km / 18.8 mi &lt;br /&gt;Sofaia Waterfall - 31.4 km / 19.5 mi &lt;br /&gt;Deshaies Botanical Garden - 33.5 km / 20.8 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Hotel Saint Georges is Pointe-a-Pitre (PTP-Pointe-a-Pitre Intl.) - 33.6 km / 20.8 mi. &lt;/p&gt;,"<p><b>Property Location</b> <br />With a stay at Hotel Saint Georges in Basse-Terre (Basse-Terre), you''ll be close to Fort Louis Delgres and Cathedral Basilica of Our Lady of Guadeloupe.  This hotel is within the region of Guadeloupe National Park and Plage de la Malendure.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 39 air-conditioned rooms featuring flat-screen televisions. Rooms have private furnished balconies or patios. Satellite television is provided for your entertainment. Bathrooms have bathtubs and complimentary toiletries.</p><p><b>Amenities</b> <br />Be sure to enjoy recreational amenities including an outdoor pool and a 24-hour fitness center. This hotel also features complimentary wireless Internet access and tour/ticket assistance.</p><p><b>Dining</b> <br />A complimentary continental breakfast is served daily.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include dry cleaning/laundry services, a 24-hour front desk, and luggage storage. Guests may use a roundtrip airport shuttle for a surcharge, and free self parking is available onsite.</p>",+590(0)590803050,MasterCard TV Channels 24 Hour Front Desk Tour desk Breakfast included Toiletries Dry cleaning / laundry service Writing Desk Pets Not Allowed Luggage storage Airport shuttle (surcharge) Flat screen TV (LCD  LED or Plasma TV) 24 Hour fitness facilities Garden Bathtub Furnished balcony / patio Meeting rooms Private bathrooms Air Condition in rooms Safety Deposit Box Outdoor Swimming Pool Free Wireless Internet access Free self parking American Express Visa,16.021129608|-61.703559875,+590 590 801010,97120,http://www.hotelstgeorges.com
GP,Guadeloupe,110727,Basse Terre,1474777,Paradis Tropical,All,910 route de saint louis Baillif97123 Basse Terre ,,"Featuring an extensive garden, a sun terrace with swimming pool, sea views and free Wi-Fi throughout, Paradis Tropical apparthotel is located 10 minutes drive from Saint Claude City Centre.

The apartments offer wooden décor, a TV and a kitchen with microwave, fridge and kitchenware. The bathrooms have shower and the balconies offer sea views.

Paradis Tropical apparthotel offers bar service and a common kitchen. Guests can also arrange nearby activities such as hiking, diving and visits to hot springs.

This property is 4 minutes drive from Baillif Airport and 20 minutes drive from Grand Anse. Pointe à Pitre International Airport is a 1-hour drive away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Paradis Tropical apparthotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
A damage deposit of EUR 200 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.",,Parking Bar Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms breakfast in the room Free parking internet services express check-in/check-out Massage Windsurfing Hiking BBQ facilities Packed lunches Car hire Tour desk Diving Snorkelling Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar Sun terrace outdoor pool (all year) Private check-in/check-out Daily housekeeping parking on site Open-air bath board games/puzzles kids' outdoor play equipment Accessible parking Wheelchair accessible Higher level toilet Pool with view Plunge pool Shallow end Wine/champagne Fruits Badminton equipment sun loungers or beach chairs Sun umbrellas Outdoor furniture Fence around pool Picnic area Beauty Services hair styling Foot massage Full body massage Swimming pool Walking tours Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,16.0157|-61.73129,+590690333141,97123,https://www.booking.com/hotel/gp/paradis-tropical.html
GP,Guadeloupe,110727,Basse Terre,5445769,Villa Jeanisette,All,24 Lot Tolbiac 1 Chemin La Regrettée  ,,"Situated in Trois-Rivières, this 3-bedroom villa features a terrace and a garden. The property is 31 km from Le Gosier and features views of the mountain. Guests at Villa Jeanisette can enjoy an outdoor pool.

The kitchen features a dishwasher and an oven and there is a private bathroom. Towels and bed linen are provided in this self-catering accommodation.

Sainte-Anne is 40 km from Villa Jeanisette, while Terre-de-Haut is 14 km away. The nearest airport is Guadeloupe - Pôle Caraïbes Airport, 35 km from Villa Jeanisette. Please inform Villa Jeanisette in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties.
A damage deposit of EUR 1000 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Managed by a private host",,Swimming pool Movie nights Walking tours Live sport events (broadcast) Key access Smoke alarms Fire extinguishers Swimming pool Sun terrace outdoor pool (all year) Shared kitchen shared lounge/TV area parking on site Private parking wifi available in all areas secured parking Street parking Salt-water pool Shallow end coffee house on site sun loungers or beach chairs Outdoor furniture Picnic area Parking Pets allowed 24-hour front desk Garden Terrace Non-smoking rooms Free parking internet services express check-in/check-out Solarium BBQ facilities wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area,15.97472|-61.65087,,97114,https://www.booking.com/hotel/gp/villa-jeanisette.html
GP,Guadeloupe,110727,Basse Terre,5518315,Studio in Trois Rivieres With Furnished Garden and Wifi,All,Studio Launa Chemin de la Regrettee  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Parc des Roches Gravees - 2.3 km / 1.4 mi <br /> Plage de Grande Anse - 3.6 km / 2.3 mi <br /> Plage de Grand Baie - 2.2 km / 1.4 mi <br /> Guadeloupe National Park - 5.8 km / 3.6 mi <br /> Plage de Salée-Bananier - 7.2 km / 4.5 mi <br /> Fort Louis Delgres - 12 km / 7.4 mi <br /> Plage de Rivière-Sens - 12.8 km / 8 mi <br /> Cathedral Basilica of Our Lady of Guadeloupe - 13.6 km / 8.5 mi <br /> Anse Rodrigue - 15.4 km / 9.6 mi <br /> Plage de Grande Anse - 15.4 km / 9.6 mi <br /> Tour Modele Lookout - 17 km / 10.6 mi <br /> La Grande Soufrière - 17.4 km / 10.8 mi <br /> Carbet Falls - 18 km / 11.2 mi <br /> Plage des Sources - 18.1 km / 11.2 mi <br /> Plage de Roseau - 20.6 km / 12.8 mi <br /> </p><p>The nearest airports are:<br />De-France (FDF-Martinique Aime Cesaire Intl. Airport (FDF) - 283.6 km / 176.2 mi<br /> A-Pitre (PTP-Pointe-a-Pitre Intl. Airport (PTP) - 50.3 km / 31.3 mi<br /> </p><p>The preferred airport for this apartment is de-France (FDF-Martinique Aime Cesaire Intl. Airport (FDF). </p>,"<p>HeadLine : Near Parc des Roches Gravees</p><p>Location : When you stay at this apartment in Trois-Rivières, you ll be near the beach, within a 5-minute drive of Parc des Roches Gravees and Plage de Grand Baie.  This apartment is 3.6 mi (5.8 km) from Guadeloupe National Park and 8.5 mi (13.6 km) from Cathedral Basilica of Our Lady of Guadeloupe.</p><p>Rooms : Make yourself comfortable in this apartment, featuring a kitchen with a refrigerator and a stovetop. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include a microwave and an iron/ironing board.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host; the provision of housing is linked to their trade, business, or profession, within the meaning of article 155 of the French Tax Code</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit or debit cards, Visa, and Mastercard</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests will receive an email with special check-in instructions.</p>",,Barbecue grill(s) Terrace Free self parking Free WiFi Smoke-free property Garden Internet access,15.975603|-61.651613,33175435488,97114,
GP,Guadeloupe,110727,Basse Terre,5560122,Maison Petit Paradis,All,9 Allée Martha Cite Petit Paradis  ,,"Maison Petit Paradis is a holiday home situated in Basse-Terre, 69 km from Le Gosier. Guests benefit from terrace and a barbecue. Free private parking is available on site. The beach is a 12 minute drive away.

There is a seating area and a kitchen complete with an oven, a microwave and a toaster. A flat-screen TV is provided. The holiday home features free WiFi throughout the property.

Sainte-Anne is 81 km from Maison Petit Paradis, while Terre-de-Haut is 20 km away. Guests can enjoy various activities in the surroundings, including horse riding and snorkelling. Guadeloupe - Pôle Caraïbes Airport is 62 km from the property. Please inform Maison Petit Paradis in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties.
A damage deposit of EUR 500 is required on arrival. You should be reimbursed on check-out.
Managed by a private host",,parking on site Private parking wifi available in all areas board games/puzzles secured parking Parking garage use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays hand sanitizer in guest accommodation and key areas first aid kit available Parking Garden Terrace Non-smoking rooms Fishing Free parking internet services Canoeing Hiking BBQ facilities Cycling Fax/photocopying Diving Horse riding Snorkelling wifi Free WiFi Non-smoking throughout Air conditioning,15.99547|-61.71585,,97100,https://www.booking.com/hotel/gp/maison-petit-paradis.html
GP,Guadeloupe,110727,Basse Terre,5601766,Studio Studio Launa,All,Studio Launa Chemin De La Regrettee  ,,"Studio Launa is situated in Trois-Rivières. This apartment has a garden and free private parking.

The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with garden views.

The nearest airport is Pointe-à-Pitre Le Raizet Airport, 47 km from the apartment. This property will not accommodate hen, stag or similar parties.
Managed by a private host",,invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay Parking Garden Terrace Non-smoking rooms Free parking internet services Hiking Bowling Horse riding wifi Free WiFi Non-smoking throughout Air conditioning parking on site Private parking wifi available in all areas linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays,15.97559|-61.65218,,97114,https://www.booking.com/hotel/gp/studio-launa-trois-rivieres.html
GP,Guadeloupe,110727,Basse Terre,5727767,Villa Telyna,All,213 Chemin De L'étang  ,,"Boasting a garden, a shared lounge, and a terrace, villa telyna offers accommodation in Trois-Rivières with free WiFi and sea views. The holiday home, set in a building dating from 2017, features free private parking.

The air-conditioned holiday home consists of 1 bedroom, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a shower. Towels and bed linen are offered in the holiday home.

The nearest airport is Pointe-à-Pitre Le Raizet Airport, 45 km from the holiday home. Managed by a private host",,physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers wifi BBQ facilities Soundproof rooms express check-in/check-out internet services Free parking Family rooms Non-smoking rooms Terrace Garden Parking cashless payment available contactless check-in/check-out process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Outdoor furniture wifi available in all areas Private parking parking on site shared lounge/TV area Sun terrace Air conditioning Non-smoking throughout Free WiFi,15.97635|-61.64827,,97114,https://www.booking.com/hotel/gp/villa-telyna.html
GP,Guadeloupe,110727,Basse Terre,5813134,Gîtes de la coulisse,All,Chemin De La Coulisse  ,,"Gîtes de la coulisse features garden views, free WiFi and free private parking, located in Trois-Rivières.

All units come with a terrace with sea views, a kitchen with a fridge and a dishwasher, and a private bathroom with shower. An oven, a microwave and stovetop are also featured, as well as a coffee machine and a kettle.

The holiday home has a barbecue and a garden.

The nearest airport is Pointe-à-Pitre Le Raizet Airport, 46 km from Gîtes de la coulisse.",,Parking Pets allowed Garden Terrace Free parking internet services BBQ facilities wifi Free WiFi Air conditioning parking on site Private parking wifi available in all areas invoice provided,15.97294|-61.63413,,97114,https://www.booking.com/hotel/gp/gites-de-la-coulisse.html
GP,Guadeloupe,110727,Basse Terre,6080507,Gites Chez Marie Christine,All,23 Chemin De La Regrettee  ,,"Offering sea views, Gites Chez Marie Christine in Trois-Rivières offers accommodation, an outdoor swimming pool, a garden, a terrace, a restaurant and barbecue facilities. The holiday home features both WiFi and private parking free of charge.

Accommodation is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower and a hairdryer. A fridge, an oven and microwave are also featured, as well as a coffee machine and a kettle.

A vegetarian, vegan or gluten-free breakfast can be enjoyed at the property.

A car rental service is available at Gites Chez Marie Christine, while cycling can be enjoyed nearby.

The nearest airport is Pointe-à-Pitre Le Raizet, 47 km from the accommodation, and the property offers a paid airport shuttle service. This property will not accommodate hen, stag or similar parties.
Please inform Gites Chez Marie Christine in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
A damage deposit of EUR 400 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
You can pay for your stay with holiday checks.",,staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available parking on site Private parking Open-air bath kids' outdoor play equipment Kid meals secured parking Parking garage Pool with view Plunge pool Shallow end Fruits airport pick up airport drop off Outdoor furniture Picnic area Swimming pool Shuttle service Tour or class about local culture Cooking class Live music/performance 24-hour security Key access Smoke alarms Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning food can be delivered to guest accommodation Parking Restaurant Pets allowed Garden Terrace Non-smoking rooms Airport shuttle Family rooms breakfast in the room Free parking internet services express check-in/check-out Hiking BBQ facilities Packed lunches Car hire Cycling Tour desk Fax/photocopying Horse riding wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (all year) shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered,15.97866|-61.65358,,97114,https://www.booking.com/hotel/gp/gites-chez-marie-christine.html
GP,Guadeloupe,112514,Bouillante,1469199,Harmonie Tropical,All,1 Imp. Rue Camille Turlet Desmarais 97125 Bouillante ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Source Chaude Du Curé - 1.9 km / 1.2 mi <br /> Guadeloupe National Park - 3.7 km / 2.3 mi <br /> Plage de la Malendure - 4.6 km / 2.9 mi <br /> Réserve Cousteau - 6 km / 3.8 mi <br /> Plage de Petite Anse - 7.2 km / 4.5 mi <br /> Plage de la Voûte - 9.8 km / 6.1 mi <br /> Caribbean Cove Beach - 11.4 km / 7.1 mi <br /> Guadeloupe Zoo - 12.1 km / 7.5 mi <br /> Plage de l Étang - 12.5 km / 7.7 mi <br /> Plage Marigot - 14.4 km / 8.9 mi <br /> Plage de Simaho - 14.5 km / 9 mi <br /> Plage de Rocroy - 15.7 km / 9.8 mi <br /> Centre Spa et Massage du Parc aux Orchidees - 17.8 km / 11.1 mi <br /> L Habitation la Griveliere - 18.9 km / 11.8 mi <br /> Petite Anse - 19.2 km / 11.9 mi <br /> </p><p>The preferred airport for Harmonie Tropicale is a-Pitre (PTP-Pointe-a-Pitre Intl. Airport (PTP) - 46.5 km / 28.9 mi </p>,"<p>HeadLine : Near Source Chaude Du Curé</p><p>Location : Located in Bouillante, Harmonie Tropicale is a 3-minute drive from Source Chaude Du Curé and 6 minutes from Réserve Cousteau.  This guesthouse is 1.7 mi (2.8 km) from Guadeloupe National Park and 2.9 mi (4.7 km) from Plage de la Malendure.</p><p>Rooms : Make yourself at home in one of the 3 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Conveniences include coffee/tea makers and irons/ironing boards, and housekeeping is provided daily.</p><p>Dining : Enjoy a satisfying meal at Harmonie Creole serving guests of Harmonie Tropicale. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7:30 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 5 PM - 10 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Airport transportation (surcharge) Luggage storage Free parking nearby Express check-in Front desk (limited hours) Shared microwave Breakfast available (surcharge) Scuba diving nearby Free WiFi Shared refrigerator Number of bars/lounges - 1 Garden Smoke-free property Laundry facilities Tours/ticket assistance Terrace Concierge services,16.140244|-61.766989,+590 590 460128,97125,http://www.harmonietropical.com/
