countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
ID,Indonesia,100110,Ababi,1026153,Pondok Batur Indah Homestay,ThreeStar,Desa Ababi Tirtagangga Karangasem TirtaganggaKarangasemBali ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Water Palace of Tirtagangga - 1.4 km / 0.8 mi <br /> Puri Agung Karangasem - 7.1 km / 4.4 mi <br /> Taman Ujung Water Palace - 9.7 km / 6 mi <br /> Lempuyang Temple - 10.2 km / 6.4 mi <br /> Soekasada Ujung Park - 10.6 km / 6.6 mi <br /> Pantai Jasri - 10.6 km / 6.6 mi <br /> Tanah Aron - 11.1 km / 6.9 mi <br /> Pasir Putih Beach - 13.7 km / 8.5 mi <br /> Lempuyang Luhur Temple - 14.1 km / 8.8 mi <br /> Jagasatru Waterfall - 14.6 km / 9.1 mi <br /> Amed Beach - 15.3 km / 9.5 mi <br /> Amed - 15.3 km / 9.5 mi <br /> Yeh Poh Waterfall - 15.9 km / 9.9 mi <br /> Jemeluk Beach - 17.1 km / 10.6 mi <br /> Pura Candidasa - 17.9 km / 11.1 mi <br /> </p><p>The preferred airport for Pondok Batur Indah is Ngurah Rai Intl. Airport (DPS) - 82.4 km / 51.2 mi </p>,"<p>HeadLine : Near Water Palace of Tirtagangga</p><p>Location : Located in Karangasem, Pondok Batur Indah is a 4-minute drive from Water Palace of Tirtagangga and 9 minutes from Puri Agung Karangasem.  This guesthouse is 8.8 mi (14.1 km) from Lempuyang Luhur Temple and 9.5 mi (15.3 km) from Amed Beach.</p><p>Rooms : Make yourself at home in one of the 5 guestrooms. Bathrooms have showers and complimentary toiletries. Conveniences include separate sitting areas and portable fans, and housekeeping is provided daily.</p><p>Dining : Enjoy local cuisine at Batur Indah, a restaurant where you can take in the garden view, or stay in and take advantage of the room service (during limited hours). A complimentary cooked-to-order breakfast is served daily from 7 AM to noon.</p><p>Renovations : In accordance with local regulations, all visitors must remain within the property during Seclusion Day (Nyepi)/Hindu New Year for a 24-hour period (starting at 6 AM). Seclusion Day typically falls in March or April (dates subject to change each year). Check-in and check-out will not be possible on that date. Ngurah Rai Airport (Bali International Airport) is also closed on Seclusion Day.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : If you are planning to arrive after noon please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",+6236322342,Dry cleaning/laundry service Airport transportation (surcharge) Uncovered parking Wheelchair accessible  no Free breakfast 24-hour front desk Scuba diving nearby Free WiFi Daily Well-lit path to entrance Snorkeling nearby Garden Smoke-free property Hiking/biking trails nearby Rafting nearby Tours/ticket assistance Free self parking Boat tours nearby Terrace ATM/banking Access to nearby outdoor pool Free Cooked-to-Order Breakfast,-8.416068|115.581053,62-0363-22342,80852,http://www.pondokbaturindah.com/
ID,Indonesia,100110,Ababi,1026321,Tirta Ayu Hotel & Restaurant,ThreeStar,Tirtagangga The Water Palace TirtaganggaThe Water PalaceKarangasem ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Water Palace of Tirtagangga - 0.1 km / 0.1 mi <br /> Puri Agung Karangasem - 7.1 km / 4.4 mi <br /> Lempuyang Temple - 9.5 km / 5.9 mi <br /> Soekasada Ujung Park - 10.3 km / 6.4 mi <br /> Pantai Jasri - 10.3 km / 6.4 mi <br /> Taman Ujung Water Palace - 11.3 km / 7.1 mi <br /> Tanah Aron - 12.4 km / 7.7 mi <br /> Pasir Putih Beach - 13.4 km / 8.3 mi <br /> Lempuyang Luhur Temple - 13.4 km / 8.3 mi <br /> Amed - 14.5 km / 9 mi <br /> Amed Beach - 14.6 km / 9.1 mi <br /> Jagasatru Waterfall - 15.9 km / 9.9 mi <br /> Jemeluk Beach - 16.3 km / 10.2 mi <br /> Yeh Poh Waterfall - 17.2 km / 10.7 mi <br /> Jemeluk Viewpoint - 17.3 km / 10.8 mi <br /> </p><p>The preferred airport for Tirta Ayu Hotel & Restaurant is Ngurah Rai Intl. Airport (DPS) - 82.4 km / 51.2 mi </p>,"<p>HeadLine : Near Water Palace of Tirtagangga</p><p>Location : Located in Karangasem, Tirta Ayu Hotel & Restaurant is on a lake, a 1-minute drive from Water Palace of Tirtagangga and 11 minutes from Taman Ujung Water Palace.  This spa hotel is 8.3 mi (13.4 km) from Lempuyang Luhur Temple and 23.4 mi (37.7 km) from Mount Agung.</p><p>Rooms : Make yourself at home in one of the 5 air-conditioned rooms featuring minibars. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy Asian cuisine at Tirta Ayu Restaurant, a restaurant where you can take in the garden view and dine alfresco. Or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary breakfast is included.</p><p>Renovations : In accordance with local regulations, all visitors must remain within the property during Seclusion Day (Nyepi)/Hindu New Year for a 24-hour period (starting at 6 AM). Seclusion Day typically falls in March or April (dates subject to change each year). Check-in and check-out will not be possible on that date. Ngurah Rai Airport (Bali International Airport) is also closed on Seclusion Day.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : </p>",62-363-22503,Free parking nearby Pool umbrellas Natural pool Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Number of outdoor pools - 1 Garden Picnic area Full-service spa Wedding services Tours/ticket assistance Airport transportation (surcharge) Free breakfast Front desk (limited hours) Barbecue grill(s) Spa services on site Snorkeling nearby Safe-deposit box at front desk Smoke-free property Coffee/tea in common areas Rafting nearby Free self parking Terrace Concierge services,-8.411944|115.58741,+6236322503,80852,http://www.hoteltirtagangga.com
ID,Indonesia,100110,Ababi,1623963,Pondok Alam Bukit,OneStar,Tirtagangga Desa AbabiKarangasem 80852 ,,"Pondok Alam Bukit is situated in Tirtagangga and features a garden. There is a terrace and guests can make use of free WiFi and free private parking.

At the guest house, rooms are fitted with a desk, bed linen and a balcony with a mountain view. The rooms have a wardrobe.

Guests at Pondok Alam Bukit can enjoy a continental breakfast.

Bike hire and car hire are available at this guest house and the area is popular for cycling.

Speaking English and Indonesian at the reception, staff are always on hand to help.

The nearest airport is Ngurah Rai International, 80 km from the accommodation, and the property offers a paid airport shuttle service.",,Parking Room service 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry breakfast in the room Ironing service Free parking internet services Massage Canoeing Hiking Car hire Cycling Diving Horse riding Snorkelling wifi Free WiFi Non-smoking throughout Sun terrace Parking garage Fruits airport pick up airport drop off sun loungers or beach chairs fitness classes Beach Shuttle service Walking tours shuttle service (additional charge) airport shuttle (additional charge) minimarket on site Daily housekeeping parking on site Private parking Baby safety gates secured parking Bike tours Tour or class about local culture 24-hour security bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,-8.41095|115.58584,,80852,https://www.booking.com/hotel/id/pondok-alam-bukit.html
ID,Indonesia,100110,Ababi,1818307,Pandan House,All,Pikat-tirta Gangga-amlapura Bali-karangasemCandidasa 56849Bali ,,"Situated a few steps from Tirta Gangga Water Palace, Pandan House offers accommodation with a terrace. Complimentary WiFi is offered.

The bed and breakfast offers a continental or vegetarian breakfast.

Guests can also relax in the garden.

Ngurah Rai International Airport is 82 km from the property.",,Free self parking Garden Non-smoking rooms Airport shuttle Fishing Internet access Massage Diving Luggage storage Free WiFi Free WiFi Airport transportation (surcharge) Daily housekeeping Parking onsite Private parking,-8.41206|115.58738,,56849,https://www.booking.com/hotel/id/pandan-house.html
ID,Indonesia,100110,Ababi,5313587,Villa Gangga,ThreeStar,Tanah Lengis Ababi  ,,"We would be pleased to assist our guest with ideas of program,interesting itinerary, advice in approaching the real Bali. We will do our best during theirs stay. Nestled within tropical gardens on a hill and a 200-metre walk from Tirta Gangga Water Palace, Villa Gangga boasts an outdoor pool. Hiking trips, water sports activities and an airport shuttle can be arranged. Free Wi-Fi is accessible in common areas.

Villa Gangga is a 15-minute drive from Amlapura Town and a 20-minute drive from White Sand Beach (Pantai Pasir Putih). A 35-minute drive from the property leads to Amed Beach, known for its diving spots. It takes 2 hours by car to reach Ngurah Rai Interational Airport from the villa.

All rooms uniquely combine colourful interiors with Balinese décor. A private terrace with garden and pool views is attached to each room, which also has a seating area. En suite bathrooms provide shower facilities.

Guests can lounge in the shared semi open living areas. Villa Gangga offers the convenience of daily maid service and free on-site private parking. Staff are available 24 hours daily to assist with airport pick-up, car rental and sightseeing arrangements.

Breakfast will be served on the poolside terrace or in guests room as requested. Special diet menus are available upon request. Other meals during stay can be ordered upon check-in. Please note that the property requires a deposit payment. Staff will contact guests directly for payment instructions.",,Tour or class about local culture Family rooms Snorkelling Canoeing Archery Ticket service Water park Lockers Shoeshine Sun terrace Luggage storage Cycling board games/puzzles On-site parking Packed lunches Private check-in/check-out Fishing express check-in/check-out Indoor pool Room service Laundry Restaurant Private parking Free WiFi books  dvds  music for children shared lounge/TV area Parking breakfast in the room babysitting/child services Themed dinner nights Daily housekeeping Safety Deposit Box Snack Bar internet services Free parking Pool with view Airport shuttle Non-smoking rooms wifi Chapel/shrine Terrace 24-hour front desk airport shuttle (additional charge) pool/beach towels Diving Indoor play area Bar Fire extinguishers Hiking Bike tours gift shop Bicycle rental (additional charge) Special diet menus (on request) Cooking class Car hire Swimming pool concierge service Walking tours indoor pool (all year) Currency exchange shuttle service (additional charge) Garden Tour desk Ironing service Kid meals,-8.41209|115.584,0812-3625-271,80852,https://www.booking.com/hotel/id/villa-gangga.html
ID,Indonesia,100110,Ababi,5538048,Dau Homestay,OneStar,Tirtagangga Karangasem  ,,"Set amidst tropical landscapes, Dau Homestay features a private balcony with scenic views of the rice paddy fields. It is a 15-minute walk from Tirta Gangga Water Palace. Water sports activities and pampering in-room massages can be arranged.

Dau Homestay is a 30-minute drive from Candidasa Beach and a 45-minute drive from Amed Beach, known for its snorkelling and diving spots. Ngurah Rai International Airport can be reached by a 2.5-hour car ride from the property.

The homestay is fitted with mosquito nets and a fan. Guests can prepare meals in the well equipped kitchen and relax in the seating area. Bath and shower facilities are available in the private semi open bathroom.

Area shuttles, bicycle and car rental can be offered for those guests who wish to explore the area, while cycling and hiking trips can be arranged for the adventurous ones. Other on-site conveniences include airport transfers, laundry service and free parking spaces.

Breakfast is served daily in the homestay. For other meals, guests can take a 5-minute stroll to nearby restaurants that serve Indonesian and Balinese delights. Please inform Dau Homestay in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
The property requires a deposit to secure the booking. Staff will contact guests directly through e-mail or phone with payment instructions.
Managed by a private host",,Parking Pets allowed Garden Terrace Airport shuttle breakfast in the room Ironing service Free parking internet services express check-in/check-out Massage Karaoke Hiking Car hire Cycling Snorkelling wifi Indoor pool Free WiFi Sun terrace indoor pool (all year) concierge service Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Shared kitchen minimarket on site Daily housekeeping parking on site Private parking Public Bath secured parking Pool with view Pet basket Pet bowls Fence around pool Swimming pool Shuttle service Walking tours Bike tours Themed dinner nights Swimming pool bicycle rental,-8.41091|115.58767,,80852,https://www.booking.com/hotel/id/dau-home-stay.html
ID,Indonesia,100110,Ababi,5546145,Pandan Guest House,OneStar,Pikat Village Tirtagangga  ,,"Boasting a large garden, Pandan Homestay features Balinese-style accommodation with a childrens playground. A seating area and a private terrace or balcony are available in each fan-cooled bungalow. Staff can arrange day trips upon request.

Pandan Home Stay is a 30-minute drive from Candidasa area and a 45-minute drive from Amed Beach. Ngurah Rai International Airport is 2.5 hours drive away.

Guests can enjoy meals in the dining area and watch TV or DVD in the living area. The private terrace or balcony offers views of the greenery, while all private bathrooms come with shower facilities.

For guests travel needs, Pandan Home Stay offers shuttle service, bicycle and car rental services. Other on-site conveniences include luggage storage facilities, laundry and airport shuttle services.

Breakfast and other meals may be delivered to guests rooms upon request. Please note that the property requires a deposit payment. Staff will contact guests directly for payment instructions.",,Luggage storage Parking Room service 24-hour front desk Garden Terrace Airport shuttle Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking Massage children's playground Hiking Car hire Cycling staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available physical distancing rules followed thermometers for guests provided by property face masks for guests available Air conditioning Sun terrace Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Shuttle service Walking tours Bike tours Themed dinner nights Tour or class about local culture Cooking class Aerobics 24-hour security bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning Shared kitchen parking on site Private parking secured parking electric vehicle charging station Fruits Sun umbrellas Foot bath,-8.41354|115.58179,,80811,https://www.booking.com/hotel/id/pandan-home-stay.html
ID,Indonesia,109435,Ambon,1175480,The Natsepa Resort & Conference Center,FourStar,Jalan Raya Natsepa 36 Suli Salahutu97582 AmbonCentral Maluku ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tulehu Harbour - 9.2 km / 5.7 mi <br /> World Peace Gong - 17.8 km / 11.1 mi <br /> Maranatha Cathedral - 18 km / 11.2 mi <br /> Maranatha Church of Ambon - 18 km / 11.2 mi <br /> Francis Xavier Cathedral - 18.1 km / 11.2 mi <br /> Commonwealth War Cemetery - 18.2 km / 11.3 mi <br /> Martha Christina Tiahahu Statue - 18.2 km / 11.3 mi <br /> Masjid Raya al-Fatah - 18.3 km / 11.4 mi <br /> Al Fatah Mosque - 18.4 km / 11.4 mi <br /> Masjid Jami - 18.5 km / 11.5 mi <br /> Pantai Liang - 20.6 km / 12.8 mi <br /> Pantai Hunimua-Liang - 20.6 km / 12.8 mi <br /> Museum Siwalima - 24.1 km / 15 mi <br /> Pintu Kota Beach - 32.6 km / 20.2 mi <br /> </p><p>The preferred airport for The Natsepa Resort & Conference Center is Ambon (AMQ-Pattimura) - 27.4 km / 17 mi </p>,"<p>HeadLine : Near the bay</p><p>Location : With a stay at The Natsepa Resort & Conference Center in Salahutu, you ll be 11.1 mi (17.8 km) from World Peace Gong and 11.2 mi (18 km) from Maranatha Cathedral.  This 4-star resort is 11.2 mi (18 km) from Maranatha Church of Ambon and 11.2 mi (18.1 km) from Francis Xavier Cathedral.</p><p>Rooms : Make yourself at home in one of the 95 air-conditioned guestrooms. Rooms have private balconies. Complimentary wired and wireless Internet access is available. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at Moluccas Restaurant, or stay in and take advantage of the resort s 24-hour room service. Relax with your favorite drink at the bar/lounge or the poolside bar.</p><p>Renovations : The property is closed between May 1 and September 30.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a security system</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",62-911-362555,24-hour business center Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Meeting rooms Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 2 Garden In-room accessibility (in select rooms) Free newspapers in lobby Wedding services Airport transportation (surcharge) Luggage storage Porter/bellhop Business center 24-hour front desk Conference center Wheelchairs available on site Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Children's pool elevator Free self parking Fitness facilities Free valet parking Terrace ATM/banking Concierge services,-3.622292|128.285722,+62911362555,97582,http://thenatsepa.com
ID,Indonesia,109435,Ambon,1175678,Swiss Belhotel Ambon,FourStar,Jl. Benteng Kapaha Ambon 97124 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Maranatha Cathedral - 0.3 km / 0.2 mi <br /> Maranatha Church of Ambon - 0.4 km / 0.2 mi <br /> Francis Xavier Cathedral - 0.4 km / 0.3 mi <br /> World Peace Gong - 0.7 km / 0.4 mi <br /> Al Fatah Mosque - 1.2 km / 0.7 mi <br /> Masjid Jami - 1.2 km / 0.7 mi <br /> Commonwealth War Cemetery - 1.2 km / 0.8 mi <br /> Martha Christina Tiahahu Statue - 1.2 km / 0.8 mi <br /> Masjid Raya al-Fatah - 1.2 km / 0.8 mi <br /> Museum Siwalima - 6.4 km / 4 mi <br /> Pintu Kota Beach - 14.6 km / 9.1 mi <br /> Tulehu Harbour - 26.5 km / 16.5 mi <br /> Pantai Liang - 38 km / 23.6 mi <br /> Pantai Hunimua-Liang - 38 km / 23.6 mi <br /> </p><p>The preferred airport for Swiss-Belhotel Ambon - CHSE Certified is Ambon (AMQ-Pattimura) - 20.2 km / 12.6 mi </p>,"<p>HeadLine : Near Maranatha Cathedral</p><p>Location : A stay at Swiss-Belhotel Ambon - CHSE Certified places you in the heart of Ambon, within a 5-minute walk of Maranatha Cathedral and Maranatha Church of Ambon.  This 4-star hotel is 0.3 mi (0.4 km) from Francis Xavier Cathedral and 0.7 mi (1.1 km) from Al Fatah Mosque.</p><p>Rooms : Make yourself at home in one of the 111 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones, as well as safes and coffee/tea makers.</p><p>Dining : Satisfy your appetite for lunch or dinner at Swiss-Cafe, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.  This is a CHSE certified property. CHSE (Clean, Health, Safety, and Environment) is a health and safety certification issued by the Indonesian Ministry of Tourism and Creative Economy. When traveling to Indonesia, guests will be required to book a minimum number of nights at a CHSE certified accommodation, check government regulations for more details.</p>",62-911-322 777,Dry cleaning/laundry service Wheelchair accessible Number of meeting rooms - 5 Free WiFi Number of bars/lounges - 1 In-room accessibility (in select rooms) Internet access in public areas - high speed Free newspapers in lobby Wedding services Tours/ticket assistance Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Multilingual staff Business center 24-hour front desk Safe-deposit box at front desk Laundry facilities elevator Free self parking Conference space Terrace ATM/banking,-3.694486|128.185087,62-911-322888,97124,http://www.swiss-belhotel.com
ID,Indonesia,109435,Ambon,1198521,Amaris Hotel Ambon,TwoStar,Jl Diponegoro 82 Ambon 97127 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Al Fatah Mosque - 0.8 km / 0.5 mi <br /> Masjid Jami - 0.8 km / 0.5 mi <br /> Francis Xavier Cathedral - 0.8 km / 0.5 mi <br /> Masjid Raya al-Fatah - 0.8 km / 0.5 mi <br /> Commonwealth War Cemetery - 1 km / 0.6 mi <br /> Martha Christina Tiahahu Statue - 1 km / 0.6 mi <br /> Maranatha Cathedral - 1 km / 0.6 mi <br /> World Peace Gong - 1.1 km / 0.7 mi <br /> Maranatha Church of Ambon - 1.1 km / 0.7 mi <br /> Museum Siwalima - 6.1 km / 3.8 mi <br /> Pintu Kota Beach - 14.3 km / 8.9 mi <br /> Tulehu Harbour - 26.9 km / 16.7 mi <br /> Pantai Liang - 38.4 km / 23.8 mi <br /> Pantai Hunimua-Liang - 38.4 km / 23.9 mi <br /> </p><p>The preferred airport for Amaris Hotel Ambon - CHSE Certified is Ambon (AMQ-Pattimura) - 20.6 km / 12.8 mi </p>,"<p>HeadLine : Near Francis Xavier Cathedral</p><p>Location : A stay at Amaris Hotel Ambon - CHSE Certified places you in the heart of Ambon, within a 10-minute walk of Al Fatah Mosque and Masjid Jami.  This hotel is 0.5 mi (0.8 km) from Masjid Raya al-Fatah and 0.6 mi (1 km) from Francis Xavier Cathedral.</p><p>Rooms : Make yourself at home in one of the 78 air-conditioned rooms featuring LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and toothbrushes and toothpaste. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.  This is a CHSE certified property. CHSE (Clean, Health, Safety, and Environment) is a health and safety certification issued by the Indonesian Ministry of Tourism and Creative Economy. When traveling to Indonesia, guests will be required to book a minimum number of nights at a CHSE certified accommodation, check government regulations for more details.</p>",62-911-342555,Dry cleaning/laundry service Wheelchair accessible  no Luggage storage Meeting rooms 24-hour front desk Free WiFi Safe-deposit box at front desk Smoke-free property Laundry facilities Free newspapers in lobby Tours/ticket assistance elevator Free self parking Concierge services,-3.700727|128.182288,+62 911 348777,97127,http://www.amarishotel.com
