countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
IE,Ireland(Republic of),100546,Abbeyfeale,1025419,Fitzgerald's Farmhouse,All,Abbeyfeale Hill Abbeyfeale Abbeyfeale ,,"Fitzgeralds Farmhouse Accommodation has garden views, free WiFi and free private parking, situated in Abbeyfeale, 38 km from Kerry County Museum.

A continental, Full English/Irish or vegetarian breakfast can be enjoyed at the property.

Guests can relax in the garden at the property.

Siamsa Tire Theatre is 39 km from the bed and breakfast, while St Marys Cathedral is 47 km from the property. The nearest airport is Kerry Airport, 29 km from Fitzgeralds Farmhouse Accommodation. Please inform Fitzgeralds Farmhouse Accommodation in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",3536831558,Parking Garden Family rooms breakfast in the room Free parking internet services Packed lunches Horse riding wifi Free WiFi Non-smoking throughout Special diet menus (on request) parking on site Private parking Accessible parking Outdoor furniture use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,52.37238|-9.3025,35306831217,V94 YY47,https://www.booking.com/hotel/ie/fitzgerald-39-s-farmhouse-accommodation.html
IE,Ireland(Republic of),100546,Abbeyfeale,1352022,Leens Hotel,ThreeStar,Main Street The SquareAbbeyfealeLimerick ,,"Leens Hotel is located in the Square, Abbeyfeale in the heart of West Limerick. It has been recently refurbished to the highest standard and is under the personal supervision of Maurice and Olive Sheehan.

There is a carvery lunch served on Sunday and a wide selection of bar food available throughout the day.

There is a very warm atmosphere in the Oak Bar and a very intimate restaurant offering the best in local produce. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
If you are due to arrive after 20:00 please contact the hotel in advance.

You must show a valid credit card upon check-in.

The property does not have any wheelchair accessible rooms.

Please note the hotel does not have a lift or ground floor rooms, however a complimentary porter service is available 24 hours to assist guests with luggage.

There is a small car park at the rear of the hotel; space is limited and on a first come first served basis.

Please note, when booking 3 rooms or more, different policies will apply.",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Non-smoking rooms Laundry dry cleaning Family rooms breakfast in the room Free parking internet services Safety Deposit Box Packed lunches Heating Fax/photocopying Luggage storage wifi Free WiFi Special diet menus (on request) parking on site Private parking,52.38503|-9.30087,+353 68 31121,,https://www.booking.com/hotel/ie/leens.html
IE,Ireland(Republic of),100546,Abbeyfeale,1371847,Park Lodge,FourStar,Killarney Rd Abbeyfeale AbbeyfealeCounty Limerick ,,"On the outskirts of Abbeyfeale town, Park Lodge offers high-quality accommodation in south-west Ireland. The property has views of the Feale Valley, with private parking and garden.

All rooms at Park Lodge have en suite bathrooms, TV and hairdryer. There are tea and coffee facilities in the dining room and these can be made available in the rooms if required.

There is an extensive breakfast menu, and guests have use of a luxurious sitting room and a spacious garden.  Among other services, babysitting, cots and a laundry service are available.

The centre of Abbeyfeale is a 3-minute walk, and the town has many pubs and restaurants to visit. Golf, fishing and pony trekking are all available in the area, and coastal resorts Ballybunion and Tralee are both just over 30 minutes drive.",003536831312,Free self parking 24-hour front desk Garden Non-smoking rooms Internet access Soundproof rooms Heating Luggage storage Free WiFi Free WiFi Non-smoking throughout Designated smoking areas Lockers Daily housekeeping Parking onsite Private parking,52.37235|-9.31246,003536831312,,https://www.booking.com/hotel/ie/park-lodge.html
IE,Ireland(Republic of),100434,Abbeyleix,1352705,Sandymount House B&B,FourStar,Oldtown AbbeyleixCounty Laois ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Abbeyleix Heritage House - 2.5 km / 1.5 mi &lt;br /&gt;Abbeyleix Golf Club - 3.2 km / 2 mi &lt;br /&gt;Heywood Gardens - 6 km / 3.7 mi &lt;br /&gt;Irish Fly Fishing and Game Shooting Museum - 8.5 km / 5.3 mi &lt;br /&gt;Aghaboe Abbey - 9.1 km / 5.7 mi &lt;br /&gt;Portlaoise Golf Club - 13.9 km / 8.7 mi &lt;br /&gt;O&apos;Moore Park - 14.1 km / 8.8 mi &lt;br /&gt;Donaghmore Workhouse Museum - 16 km / 9.9 mi &lt;br /&gt;Castlecomer Golf Club - 17 km / 10.6 mi &lt;br /&gt;Rock of Dunamase - 17.8 km / 11.1 mi &lt;br /&gt;Stradbally Narrow Gauge Steam Train - 18.9 km / 11.7 mi &lt;br /&gt;Stradbally Steam Museum - 19.6 km / 12.2 mi &lt;br /&gt;The Heath Golf Club - 20.2 km / 12.6 mi &lt;br /&gt;Ballaghmore Castle - 22.7 km / 14.1 mi &lt;br /&gt;Mountmellick Museum - 23.3 km / 14.4 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Sandymount House B&amp;B is Dublin (DUB) - 95.2 km / 59.2 mi. &lt;/p&gt;,"<p><b>Property Location</b> <br />With a stay at Sandymount House B&B in Abbeyleix, you''ll be close to Abbeyleix Heritage House and Abbeyleix Golf Club. This 4-star bed & breakfast is within the vicinity of Heywood Gardens and Irish Fly Fishing and Game Shooting Museum.</p><p><b>Rooms</b> <br />Stay in one of 4 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Cribs/infant beds (complimentary) and rollaway/extra beds are available on request.</p><p><b>Rec, Spa, Premium Amenities</b> <br />Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and babysitting/childcare.</p><p><b>Dining</b> <br />A complimentary breakfast is included.</p>",,Visa American Express Garden,52.9087564637504|-7.3809939622879,+353578731063,,http://www.sandymounthouse.com/
IE,Ireland(Republic of),100434,Abbeyleix,1352878,The Abbeyleix Manor Hotel,ThreeStar,Cork Road AbbeyleixCountry LaoisR32 VE24 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abbeyleix Heritage House - 1.2 km / 0.8 mi <br /> Abbeyleix Golf Club - 2 km / 1.2 mi <br /> Waterford Castle Golf Club - 5.9 km / 3.6 mi <br /> Heywood Gardens - 7 km / 4.3 mi <br /> Irish Fly Fishing and Game Shooting Museum - 8.7 km / 5.4 mi <br /> Portlaoise Golf Club - 14.2 km / 8.8 mi <br /> Aghaboe Abbey - 14.3 km / 8.9 mi <br /> O Moore Park - 14.4 km / 8.9 mi <br /> Sky Venue - 15.6 km / 9.7 mi <br /> The Dunamaise Arts Centre - 15.6 km / 9.7 mi <br /> Rathdowney Golf Club - 18.3 km / 11.3 mi <br /> Castlecomer Golf Club - 18.8 km / 11.7 mi <br /> Donaghmore Agricultural Museum - 19.4 km / 12 mi <br /> Rock of Dunamase - 20.5 km / 12.8 mi <br /> Donaghmore Workhouse Museum - 20.6 km / 12.8 mi <br /> </p><p>The preferred airport for Abbeyleix Manor Hotel is Dublin Airport (DUB) - 109.4 km / 68 mi </p>,"<p>HeadLine : Near Abbeyleix Heritage House</p><p>Location : When you stay at Abbeyleix Manor Hotel in Abbeyleix, you ll be in the historical district, within a 5-minute drive of Abbeyleix Heritage House and Abbeyleix Golf Club.  This hotel is 3.6 mi (5.9 km) from Waterford Castle Golf Club and 4.3 mi (7 km) from Heywood Gardens.</p><p>Rooms : Make yourself at home in one of the 44 individually furnished guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers and irons/ironing boards, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at Manor Bar, a bistro which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). Full breakfasts are served on weekdays from 7:00 AM to 10:00 AM and on weekends from 8:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",353-057-8730220,Dry cleaning/laundry service Mountain biking nearby Banquet hall Wheelchair accessible (may have limitations) Wheelchair accessible Ballroom Meeting rooms Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Well-lit path to entrance Garden Picnic area In-room accessibility (in select rooms) Bicycle rentals nearby Free newspapers in lobby Wedding services Accessible bathroom (in select rooms) Fireplace in lobby Wheelchair-accessible lounge Luggage storage Wheelchair-accessible on-site restaurant Golf lessons available nearby Business center 24-hour front desk Conference center Breakfast available (surcharge) Barbecue grill(s) Golfing nearby Ecotours nearby Coffee/tea in common areas Number of coffee shops/cafes - 1 Hiking/biking trails nearby Free self parking Conference space Terrace,52.907229|-7.352932,353-057-8730111,R32 VE24,http://www.abbeyleixmanorhotel.com/
IE,Ireland(Republic of),100448,Achill Island,1010797,Baile Slievemore,ThreeStar,Keel Achill Island ,,"Situated on the picturesque Achill Island, at the foothills of Slievemore Mountain, Slievemore Holiday Homes offer far-reaching views of Keel Bay and of the stunning Irish countryside. Dugort is 5 minutes drive away and Golden Strand Beach is 2 km from the property.

These detached cottages feature a lounge with a fireplace, a fully equipped kitchen, and private parking. There are 2 double bedrooms, one of which has an en suite bathroom, and a single room. Bed linen and duvets are provided.

Keel, with its variety of pubs, restaurants, and shops is only 10 minutes drive from Slievemore Holiday Homes.  Ballycroy National Park, where guests can enjoy a nature trail with stunning views of the surrounding landscape, is 40 km away. Please note that the full amount of the reservation is due before arrival. West Coast Holidays will send a confirmation with detailed payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you.
Please inform Slievemore Holiday Homes in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
A damage deposit of EUR 150 is required on arrival. You should be reimbursed on check-out.
The total payment of the reservation is required 4 weeks before arrival. 

Electricity usage is charged EUR 5 per day from June to September and EUR 7 per day from October to May.",,Parking Pets allowed Tennis Court Garden Free parking Heating parking on site Private parking invoice provided,54.01368|-10.0155,,,https://www.booking.com/hotel/ie/baile-slievemore-holiday-homes.html
IE,Ireland(Republic of),100448,Achill Island,1010803,Bleanaskill Lodge,All,Atlantic Drive Achill Island ,,"Surrounded by the sea and swimming fish at high tide, the elegant and unique rooms at Bleanaskill Lodge boast stunning, panoramic views. The lodge is home to the tranquil, 3-acre retreat of Achill Secret Garden.

Individual touches such as private garden entrance, a four-poster bed, or a wall packed with old books can be found in each room at Bleanaskill. You can relax in the super king-size bed, or enjoy the views from a comfy chair overlooking the window.

Surrounding the lodge, the Secret Garden has been tended since 1875, and features a number of trees planted from that time. The garden is divided into separate sections, with a pretty water lily pond, a herb and vegetable garden, and 3 different flower borders throughout. Guests benefit from free entrance to the garden.

The village of Achill Sound is 3.2 km away, with its shops, pubs, and modern amenities. You can cycle or walk through the scenic, surrounding landscape.

An extensive breakfast menu can be chosen from, and guests can make use of special offers at a local restaurant for evening meals.

The spectacular Greenway ends in Achill just 4 km from the B&B at the Atlantic Drive on the way to Cloughmore. Bicycles can be stored in the garage during the night. All children are welcome.

All children under 3 years stay free of charge when using existing beds.

All older children or adults are charged EUR 20 per person per night for extra beds.

The maximum number of extra beds in a room is 1.

There is no capacity for cots in the room.

If you wish to eat at the restaurant you must make a reservation 24 hours prior to the date you wish to eat.",,Heating Horse riding Luggage storage Free WiFi Free WiFi Non-smoking throughout Terrace Special diet menus (on request) Parking onsite Free self parking Garden Terrace Internet access Windsurfing Hiking Packed lunches Cycling,53.91201|-9.95705,+353874149895,,https://www.booking.com/hotel/ie/bleanaskill-lodge.html
IE,Ireland(Republic of),100448,Achill Island,1010804,West Coast House,ThreeStar,School Road Sn DooaghAchill IslandCounty Mayo ,,"Nestled in a peaceful location on Achill Island, Achill Cliff House overlooks Croaghaun Mountain, the Atlantic Ocean, and Dooagh village, offering spacious, modern rooms with stunning views. Free parking and free Wi-Fi are provided, and Keel is a 5-minute drive away.

The mountains, the sea, the cliffs and the surrounding countryside can be seen from every room at Achill Cliff House.  Rooms all include an en suite bathroom, a TV, and tea/coffee facilities.

The 672-metre high mountain of Slievemore is located to the north of Keel, with a deserted village and megalithic tombs on its slopes, and 	Keel Lake at its foot. The beach is just 3 km away, and Achill Golf Club can be reached in a 5-minute drive. This property will not accommodate hen, stag or similar parties.",003539843317,wifi Mini golf Free WiFi Non-smoking throughout Special diet menus (on request) Beachfront Adult only Daily housekeeping parking on site Private parking wifi available in all areas Outdoor furniture Parking Golf course (within 3 km) Garden Non-smoking rooms Free parking internet services Windsurfing Canoeing Hiking Packed lunches Cycling Heating Horse riding invoice provided all plates  cutlery  glasses and other tableware have been sanitized Beach Walking tours Tour or class about local culture Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas physical distancing rules followed,53.97631|-10.1138,0035309843317,F28FA27,https://www.booking.com/hotel/ie/achill-west-coast-house.html
IE,Ireland(Republic of),100448,Achill Island,1064115,Ferndale,FiveStar,Ferndale CrumpaunKeelAchill Island ,,"Ferndale Luxury Boutique Bed & Breakfast offers adult-only accommodation. With stunning, themed rooms ranging from Venetian to ancient Chinese, fantastic views are offered at this Achill Island bed and breakfast. Guests can enjoy late check-out.

Luxurious décor and furnishings fill each room, with individual themes such as classical Roman, medieval, Mayan, or Arabian. Rooms enjoy either sea, lake or courtyard views, along with super king-size beds. The Minisuites boast 50-inch plasma TVs or an in-room bathtub.

Cooked breakfasts are served in the dining room with beautiful sea views.

Keels centre is just a 10-minute walk away, and free parking is available. Achill Island can be reached by taxi or bus, and West Knock Airport is less than 2 hours drive away. Please inform Ferndale Luxury Boutique Bed & Breakfast in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Please note, this property offers adult-only accommodation.",,Parking Room service Golf course (within 3 km) Garden Terrace Non-smoking rooms Free parking internet services Windsurfing Canoeing Hiking Cycling Heating Diving Horse riding Snorkelling wifi Free WiFi Non-smoking throughout Private check-in/check-out Special diet menus (on request) shared lounge/TV area Adult only Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles sun loungers or beach chairs Outdoor furniture Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property,53.98153|-10.08768,+3539843908,,https://www.booking.com/hotel/ie/ferndale-guesthouse.html
IE,Ireland(Republic of),100448,Achill Island,1117175,Countrywide Inns - Achill Cliff House,ThreeStar,Keel Achill IslandCo. Mayo ,,"Achill Cliff House Hotel & Restaurant is a purpose built small cosy family hotel. We had a property update this season with great results. Achill Cliff House Hotel overlooks Tramore Beach and the Atlantic Ocean, and has a restaurant serving local produce, free parking, and a relaxing sauna for guests.

The family-run hotel is in the heart of Keel village, close to local amenities including a post office and childrens playground. There is free Wi-Fi at the hotel.

Achill Cliff House has views of the sea, cliffs, and mountains, and is an ideal base for walking, photography, surfing or simply relaxing. There is a bar next door to the hotel and another 3 minutes walk away.",+3539843007,breakfast in the room Private parking Bar Golf course (within 3 km) Windsurfing Library Free parking Restaurant internet services Fishing Laundry Special diet menus (on request) On-site parking shared lounge/TV area Cycling Diving CCTV in common areas Heating Facilities for disabled guests Free WiFi Parking Fire extinguishers Non-smoking rooms Luggage storage wifi Room service Canoeing Sauna Snorkelling Newspapers Non-smoking throughout Beachfront Safety Deposit Box Tennis Court Walking tours Daily housekeeping Adult only Horse riding Hiking Packed lunches CCTV outside property wifi available in all areas Trouser press Smoke alarms Tour or class about local culture,53.97681|-10.08163,+3539843400,F28 PX08,https://www.booking.com/hotel/ie/achill-cliff-house.html
