countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
IT,Italy,104972,Aager,1420179,Albergo MeublÈ Vecchio Scarpone,ThreeStar,Via Roma 48 28861 Baceno ,,"Boasting a 100m² terrace, Albergo Meublè Vecchio Scarpone is in Baceno, 18 km from Devero ski slopes and a 20-minute drive from Domodossola.

The rooms have air conditioning, a TV, and a private bathroom with hairdryer. They have large windows and rustic furnishings.

A sweet buffet breakfast is available daily and includes homemade pastries, cakes and jams.

A bus to/from Domodossola Train Station stops a few minutes walk from the property, while the Devero Park and the Swiss border are a 25-minute drive away. In the park you can hike and reach the Del Toce waterfall.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar Terrace Non-smoking rooms Airport shuttle Skiing Barber/beauty shop Family rooms Free parking internet services lift Safety Deposit Box Hiking Packed lunches Cycling Heating Fax/photocopying Luggage storage wifi Ski storage Ski school Free WiFi Air conditioning Snack Bar ski equipment hire on site Special diet menus (on request) airport shuttle (additional charge) minimarket on site parking on site Private parking wifi available in all areas board games/puzzles,46.26104|8.3193,0324 62551,28861,https://www.booking.com/hotel/it/albergo-meubla-vecchio-scarpone.html
IT,Italy,104972,Aager,1565955,Albergo Del Ponte,OneStar,Localita Piedilago 28866 PremiaVerbano Cusio Ossola ,,"The family-run Albergo Del Ponte is set in the town of Piedilago, a 10-minute drive from Baceno, 700 metres above the sea level. It offers free parking, free bike rental and free Wi-Fi in public areas.

Rooms are simply furnished and come with parquet floors. Facilities include an LCD TV and a private bathroom.

The on-site bar-restaurant is the ideal place for a classic cocktail and traditional Italian cuisine.

Hotel Del Ponte is a 40-minute drive from the Swiss border and a 20-minute drive from Domodossola. Please let the property know your expected arrival time in advance. You can use the Special Requests box when booking or contact the property.

Please note, cash payments over EUR 1,000.00 are not permitted under current Italian law.",+39(0)032462271,physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available Restaurant Room service Bar Terrace Fishing Facilities for disabled guests Skiing Family rooms breakfast in the room internet services lift Safety Deposit Box Soundproof rooms Hiking Packed lunches Cycling Heating Fax/photocopying Luggage storage wifi Ski storage Allergy-free room Free WiFi Non-smoking throughout Snack Bar Sun terrace Private check-in/check-out shuttle service (free) shuttle service (additional charge) Special diet menus (on request) Daily housekeeping wifi available in all areas Kid meals Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Wine/champagne Fruits sun loungers or beach chairs Sun umbrellas Outdoor furniture Spa/wellness packages Shuttle service Themed dinner nights Key access Smoke alarms CCTV in common areas Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests cashless payment available,46.27984|8.35281,0324 62017,28866,https://www.booking.com/hotel/it/albergo-del-ponte.html
IT,Italy,104972,Aager,1572032,Bar Meuble Isotta,OneStar,Via Roma 60 28861 BacenoVerbano Cusio Ossola ,,"Offering a terrace and views of the mountains, Bar Meuble Isotta is situated in Baceno, 6.6 km from Terme di Premia. Guests can enjoy the on-site bar. Free private parking is available on site.

All rooms have a TV, free WiFi and a wardrobe.

You will find a shared lounge at the property.

You can play table tennis at the hotel. Alpe Devero is 12 km from Bar Meuble Isotta, while Cascata del Toce is 26 km from the property. Milan Malpensa Airport is 109 km away.",+39032462480,Free self parking Pets allowed Bar/lounge Terrace Family rooms Arcade/game room Internet access Billiards or pool table Table tennis Heating Fax/photocopying Luggage storage Free WiFi Free WiFi Snack bar/deli Television in common areas Parking onsite Private parking,46.26221|8.31949,+39032462480,28861,https://www.booking.com/hotel/it/bar-meuble-isotta.html
IT,Italy,104972,Aager,1933562,Albergo Valentini,All,Via Roma 55 28861 Baceno ,,"Albergo Valentini is situated in Baceno and has a terrace and a bar. The hotel features family rooms.

At the hotel rooms are equipped with a private bathroom.

An Italian breakfast is available each morning at Albergo Valentini.

The nearest airport is Milan Malpensa Airport, 106 km from the accommodation.",,Parking Pets allowed Bar Terrace Barber/beauty shop Family rooms Free parking lift Packed lunches minimarket on site parking on site Private parking Key access Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays cashless payment available invoice provided,46.26123|8.31916,,28861,https://www.booking.com/hotel/it/albergo-valentini.html
IT,Italy,104972,Aager,1945618,Affittacamere Ca' Fattorini,All,Via Roma 79/81 28861 Baceno ,,"Set in quiet Baceno, Affittacamere Ca Fattorini is 5 minutes drive from the hot springs of Terme di Premia. It offers peaceful rooms and suites with free Wi-Fi and balconies with mountain views.

Near the Swiss border, Ca Fattorini has excellent bus links to Domodossola, 20 minutes drive away.

The rooms and suites include a flat-screen TV with satellite channels and an en suite bathroom with free toiletries.

The pizzeria next door is open at weekends. This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
If you expect to arrive outside reception opening hours, please inform the property in advance.",,minimarket on site wifi available in all areas Shuttle service use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas invoice provided Parking Restaurant Pets allowed Bar Airport shuttle babysitting/child services Skiing Barber/beauty shop Family rooms Free parking internet services Packed lunches Heating Luggage storage wifi Ski storage Free WiFi Non-smoking throughout shuttle service (additional charge) airport shuttle (additional charge),46.2614|8.31903,,28861,http://www.cafattorini.com
IT,Italy,104972,Aager,5349759,Appartamenti La Piana,All,Alpe Devero loc. Ai Ponti  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ossola Valley - 0.1 km / 0.1 mi <br /> Piedmont Alps - 0.1 km / 0.1 mi <br /> Alpe Veglia and Alpe Devero Natural Park - 0.3 km / 0.2 mi <br /> San Gaudenzio Church - 10.6 km / 6.6 mi <br /> Orridi di Uriezzo - 17.7 km / 11 mi <br /> Premia Thermal Pool - 19 km / 11.8 mi <br /> Ponte - Sagersboden Ski Lift - 33 km / 20.5 mi <br /> Toce Waterfall - 38.6 km / 24 mi <br /> San Domenico Ski - 50.2 km / 31.2 mi <br /> </p>,"<p>HeadLine : In Alpe Devero</p><p>Location : With a stay at this apartment in Alpe Devero, you ll be just steps from Ossola Valley and Piedmont Alps.  This apartment is 0.2 mi (0.3 km) from Alpe Veglia and Alpe Devero Natural Park and 6.6 mi (10.6 km) from San Gaudenzio Church.</p><p>Rooms : Make yourself comfortable in this apartment, featuring a kitchenette with a refrigerator and a stovetop. An LCD television with satellite programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a microwave and a coffee/tea maker.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>No onsite parking is available</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts Visa and Mastercard</li>  </ul></p><p>Special Instructions : The front desk is open daily from 9 AM - 6 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Front desk (limited hours) Laundry facilities Smoke-free property Luggage storage Free WiFi,46.3139|8.25995,39-3487057301,28861,
IT,Italy,104972,Aager,5396743,Casa Morena,OneStar,Piazza Municipio 14 \N  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ossola Valley - 0.1 km / 0.1 mi <br /> Piedmont Alps - 0.1 km / 0.1 mi <br /> Orridi di Uriezzo - 2 km / 1.3 mi <br /> Premia Thermal Pool - 3.8 km / 2.4 mi <br /> San Gaudenzio Church - 4.1 km / 2.5 mi <br /> Alpe Veglia and Alpe Devero Natural Park - 14 km / 8.7 mi <br /> Ponte - Sagersboden Ski Lift - 17.8 km / 11 mi <br /> Santi Gervasio e Protasio Church - 21.2 km / 13.2 mi <br /> Domodossola Market - 21.4 km / 13.3 mi <br /> Silva Palace - 21.6 km / 13.4 mi <br /> Sempioniano Museum - 21.6 km / 13.4 mi <br /> Toce Waterfall - 23.4 km / 14.5 mi <br /> Sacred Mount Calvary of Domodossola - 25.1 km / 15.6 mi <br /> Rossetti Valentini Art Gallery - 31 km / 19.3 mi <br /> Alpe Lusentino Ski Area - 31.5 km / 19.5 mi <br /> </p><p>The nearest airports are:<br />Malpensa International Airport (MXP) - 110.7 km / 68.8 mi<br /> Linate Airport (LIN) - 155.1 km / 96.3 mi<br /> Turin International Airport (TRN) - 199.6 km / 124 mi<br /> Bergamo Orio al Serio Airport (BGY) - 190.4 km / 118.3 mi<br /> Parma Airport (PMF) - 276.5 km / 171.8 mi<br /> </p><p></p>,"<p>HeadLine : Near Orridi di Uriezzo</p><p>Location : When you a stay at this apartment in Premia, you ll be in the mountains, just steps from Ossola Valley and Piedmont Alps.  This apartment is 13.3 mi (21.4 km) from Domodossola Market and 8.7 mi (14 km) from Alpe Veglia and Alpe Devero Natural Park.</p><p>Rooms : Make yourself comfortable in this apartment, featuring a kitchen with a refrigerator and an oven. There s a private balcony or patio. A flat-screen television with cable programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a microwave and a coffee/tea maker, and you can also request a refrigerator.</p><p>Dining : At this apartment, enjoy a satisfying meal at the restaurant.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",011-39-243986,Terrace Free self parking Free WiFi Free parking nearby Smoke-free property Garden Food and water bowls 24-hour front desk,46.26844|8.3398,39-0349-6180371,28866,
IT,Italy,104972,Aager,5401429,Casa Vacanze La Meridiana,All,Località Cadarese  ,,"Casa Vacanze La Meridiana is located in a historic 17th-century building in Cadarese, 500 metres from the thermal baths of Premia and a 30-minute drive from Domodossola. Free WiFi is available throughout.

Apartments are furnished in modern Alpine style and come with partially visible stone walls and beamed or arched ceilings. They include a TV with a DVD player, a fully equipped kitchen, and a washing machine.

Guests have access to a garden with barbecue facilities and bicycle rental. Free parking is possible on site. Discounted rates are offered at thermal baths nearby.

The centre of Premia is 4 km from the La Meridiana, and the village of Croveo can be reached in 12 minutes by car. Please inform Casa Vacanze La Meridiana in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.",,Head massage Hand massage Full body massage Shuttle service Key access staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas invoice provided Parking Pets allowed Fitness centre Garden Non-smoking rooms Airport shuttle Fishing babysitting/child services Skiing Family rooms Free parking internet services Spa and wellness centre Massage children's playground Canoeing Hiking Chapel/shrine BBQ facilities Car hire hammam Heating wifi Ski storage Ski school Free WiFi Non-smoking throughout Sun terrace shuttle service (additional charge) ski equipment hire on site Hot spring bath airport shuttle (additional charge) grocery deliveries Private parking wifi available in all areas Open-air bath Public Bath kids' outdoor play equipment Street parking electric vehicle charging station Strollers Outdoor furniture Picnic area Spa/wellness packages Back massage Neck massage Foot massage Couples massage,46.29787|8.36116,,28866,https://www.booking.com/hotel/it/casa-vacanze-la-meridiana.html
IT,Italy,104972,Aager,5595957,Le Samantine,All,Borgo Uresso 25  ,,"Offering free WiFi and mountain views, Le samantine is an accommodation set in Baceno. Boasting a balcony, the apartment is in an area where guests can engage in activities such as hiking and skiing.

The apartment is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with city views.

Ski storage space is available on site.

The nearest airport is Milan Malpensa Airport, 106 km from the apartment. Please inform Le samantine in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Managed by a private host",,Parking Pets allowed Terrace Fishing Skiing Family rooms Free parking internet services Hiking Heating wifi Ski storage Free WiFi Non-smoking throughout Street parking invoice provided,46.26445|8.31242,,28861,https://www.booking.com/hotel/it/le-samantine.html
IT,Italy,104972,Aager,6101240,B&B Il Pino,All,"Località Motto Funivia, 25  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ossola Valley - 0.1 km / 0.1 mi <br /> San Gaudenzio Church - 1.8 km / 1.1 mi <br /> Orridi di Uriezzo - 1.8 km / 1.1 mi <br /> Foro Boario La Miniera - 5 km / 3.1 mi <br /> Premia Thermal Pool - 6.6 km / 4.1 mi <br /> Alpe Veglia and Alpe Devero Natural Park - 10.3 km / 6.4 mi <br /> L Officina del Cioccolato - 18 km / 11.2 mi <br /> Santi Gervasio e Protasio Church - 18.3 km / 11.3 mi <br /> Domodossola Market - 18.5 km / 11.5 mi <br /> Silva Palace - 18.7 km / 11.6 mi <br /> Sempioniano Museum - 18.7 km / 11.6 mi <br /> Mellerio Rosmini College - 18.9 km / 11.7 mi <br /> Ponte - Sagersboden Ski Lift - 20.6 km / 12.8 mi <br /> Sacred Mount Calvary of Domodossola - 22.2 km / 13.8 mi <br /> Toce Waterfall - 26.2 km / 16.3 mi <br /> </p><p>The nearest airports are:<br />Milan Malpensa Airport (MXP) - 107.7 km / 66.9 mi<br /> Bergamo Orio al Serio Airport (BGY) - 187.7 km / 116.6 mi<br /> Linate Airport (LIN) - 152.2 km / 94.6 mi<br /> Turin International Airport (TRN) - 196.9 km / 122.3 mi<br /> Parma Airport (PMF) - 273.8 km / 170.1 mi<br /> </p><p></p>,"<p>HeadLine : Near Orridi di Uriezzo</p><p>Location : With a stay at B&B Il Pino in Baceno, you ll be steps from Ossola Valley and a 2-minute drive from San Gaudenzio Church.  This bed & breakfast is 11.5 mi (18.5 km) from Domodossola Market and 3.1 mi (5 km) from Foro Boario La Miniera.</p><p>Rooms : Make yourself at home in one of the 3 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature separate bathtubs and showers, bidets, and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : A complimentary buffet breakfast is served daily from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Luggage storage Free breakfast 24-hour front desk Free WiFi Daily Garden Picnic area Smoke-free property Laundry facilities Tours/ticket assistance Terrace Free Buffet Breakfast,46.262159|8.319263,39-342-7865309,28861,
