countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
JP,Japan,100643,Abashiri,1045956,Hokuten no Oka Lake Abashiri Tsuruga Resort,FourStar,159 Yobito Shari Abashiri 099-2421Hokkaido ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abashiri Quasi-National Park - 1 km / 0.6 mi <br /> Lake Abashiri - 1.1 km / 0.7 mi <br /> Abashiri Lake View Ski Resort - 3.2 km / 2 mi <br /> Tokyo University of Agriculture - 3.9 km / 2.4 mi <br /> Abashiri Prison Museum - 6.5 km / 4.1 mi <br /> Museum of Northern Peoples - 7 km / 4.4 mi <br /> Okhotsk Ryuhyo Museum - 7.8 km / 4.8 mi <br /> Yokoyama Fruit Farm - 9 km / 5.6 mi <br /> Road Station Ryuhyokaido Abashiri - 10.1 km / 6.3 mi <br /> Ryuhyo Glass Museum - 10.3 km / 6.4 mi <br /> Abashiri Historical Museum - 10.4 km / 6.4 mi <br /> Abashiri Port - 11.5 km / 7.1 mi <br /> Lake Notoro - 13.3 km / 8.3 mi <br /> Memanbetsu Golf Corse - 13.7 km / 8.5 mi <br /> Tofutsuko Lake - 15.4 km / 9.6 mi <br /> </p><p>The preferred airport for HOKUTEN NO OKA Lake Abashiri Tsuruga Resort is Memanbetsu Airport (MMB) - 12.9 km / 8 mi </p>,"<p>HeadLine : Near Tokyo University of Agriculture</p><p>Location : When you stay at HOKUTEN NO OKA Lake Abashiri Tsuruga Resort in Abashiri, you ll be in a regional park, within a 15-minute walk of Abashiri Quasi-National Park and Lake Abashiri.  This 4-star resort is 2 mi (3.2 km) from Abashiri Lake View Ski Resort and 2.5 mi (4 km) from Tokyo University of Agriculture.</p><p>Rooms : Make yourself at home in one of the 80 individually decorated guestrooms, featuring refrigerators and LCD televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Satisfy your appetite at COTA, one of the resort s 2 restaurants. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Guests traveling with a service animal must contact the property prior to arrival.</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport and train station. To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 7:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Please contact the property in advance if arriving after 7:30 PM in order to arrange dinner service.</p>",81-152-483220,Gift shops or newsstand Shopping on site Books Hot springs on site Free train station drop-off Karaoke Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Bicycle rentals nearby Free newspapers in lobby Fireplace in lobby Boat tours nearby Free Buffet Breakfast Free airport transportation Luggage storage Free breakfast Multilingual staff 24-hour front desk Electric car charging station Library Free train station pickup Daily Golfing nearby Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Laundry facilities elevator Free self parking Computer station Concierge services,43.968839|144.210328,81-152-483211,099-2421,http://www.hokutennooka.com/
JP,Japan,100643,Abashiri,1379459,Abashiri Central Hotel,ThreeStar,Minami 2 jonishi 3-chome 7-banchi Hokkai michiAbashiri-shi 093-0012 ,,"Featuring a Japanese restaurant, Central Hotel is 100 metres from the Abashiri River and a 2-minute walk from Abashiri Bus Terminal. Rooms have free broadband internet and a private bathroom.

Classical wallpaper and elegant wooden furniture decorate the rooms at Tabist Abashiri Central Hotel. Each room has a fridge and a flat-screen TV with video-on-demand movies.

JR Abashiri Train Station is a 15-minute walk from the hotel, and Okhotsk Ryu-Hyo Museum is a 20-minute bus ride away.

Grand Glacier Restaurant is open all day and serves Japanese and Western favourites made from fresh local ingredients.",+81152435177,Parking meeting/banquet facilities 24-hour front desk Non-smoking rooms Facilities for disabled guests internet services lift Heating Fax/photocopying wifi Free WiFi vending machine (drinks) Daily housekeeping parking on site Private parking electric vehicle charging station,44.02139|144.26436,+81152445151,093-0012,https://www.booking.com/hotel/jp/abashiri-central.html
JP,Japan,100643,Abashiri,1381121,Hotel Abashirikoso,ThreeStar,78 Yobito Abashiri City 099-2421Hokkaido ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lake Abashiri - 0.1 km / 0.1 mi <br /> Abashiri Lake View Ski Resort - 0.9 km / 0.5 mi <br /> Abashiri Quasi-National Park - 1.9 km / 1.2 mi <br /> Tokyo University of Agriculture - 2.4 km / 1.5 mi <br /> Abashiri Prison Museum - 4.2 km / 2.6 mi <br /> Museum of Northern Peoples - 4.9 km / 3 mi <br /> Okhotsk Ryuhyo Museum - 6.1 km / 3.8 mi <br /> Road Station Ryuhyokaido Abashiri - 7.8 km / 4.8 mi <br /> Ryuhyo Glass Museum - 8 km / 5 mi <br /> Abashiri Historical Museum - 8.1 km / 5 mi <br /> Abashiri Port - 9.2 km / 5.7 mi <br /> Yokoyama Fruit Farm - 10.4 km / 6.4 mi <br /> Lake Notoro - 11 km / 6.9 mi <br /> Memanbetsu Golf Corse - 15 km / 9.4 mi <br /> Cape Notoro - 18.3 km / 11.4 mi <br /> </p><p>The nearest major airport is Memanbetsu Airport (MMB) - 14 km / 8.7 mi</p>,"<p>HeadLine : Near Abashiri Lake View Ski Resort</p><p>Location : With a stay at Hotel Abashirikoso in Abashiri, you ll be a 1-minute walk from Lake Abashiri and 10 minutes by foot from Abashiri Lake View Ski Resort.  This hotel is 1.2 mi (1.9 km) from Abashiri Quasi-National Park and 1.5 mi (2.4 km) from Tokyo University of Agriculture.</p><p>Rooms : Make yourself at home in one of the 153 guestrooms featuring refrigerators. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 7:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Guests with Half Board plans must check in by 8 PM to receive dinner.</p>",81-152-482828,Gift shops or newsstand Dry cleaning/laundry service Wheelchair accessible (may have limitations) Luggage storage Hot springs on site Wheelchair-accessible on-site restaurant 24-hour front desk Karaoke Wheelchair-accessible registration desk Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Arcade/game room Designated smoking areas In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities elevator Free self parking Wheelchair accessible path of travel,43.982895|144.218554,+81 152 482311,099-2421,http://www.abashirikoso.com/
JP,Japan,100643,Abashiri,1381817,Italian Course Dinner Pension Waninoie,TwoStar,63-12 Yobito Abashiri 099-2412Hokkaido ,,"Ideally located in the prime touristic area of Yobito, Italian Course Dinner Pension Waninoie promises a relaxing and wonderful visit. The property features a wide range of facilities to make your stay a pleasant experience. Facilities like free Wi-Fi in all rooms, Wi-Fi in public areas, car park, restaurant, smoking area are readily available for you to enjoy. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as television LCD/plasma screen, complimentary tea, towels, air conditioning, heating. The hotel offers various recreational opportunities. Italian Course Dinner Pension Waninoie combines warm hospitality with a lovely ambiance to make your stay in Abashiri unforgettable.",,car park - on site free designated smoking area free Wi-Fi in all rooms Restaurant Wi-Fi in public areas,43.98236084|144.22384644,0152-48-2838,099 2421,
JP,Japan,100643,Abashiri,1382145,Hotel Route Inn Abashiri Ekimae,ThreeStar,Shin-Machi 1-2-13 Abashiri 093-0046Hokkaido ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Road Station Ryuhyokaido Abashiri - 1.7 km / 1 mi <br /> Abashiri Historical Museum - 1.8 km / 1.1 mi <br /> Ryuhyo Glass Museum - 2 km / 1.2 mi <br /> Abashiri Quasi-National Park - 2.4 km / 1.5 mi <br /> Abashiri Port - 3 km / 1.9 mi <br /> Lake Abashiri - 3.8 km / 2.4 mi <br /> Museum of Northern Peoples - 3.9 km / 2.4 mi <br /> Abashiri Prison Museum - 4.2 km / 2.6 mi <br /> Okhotsk Ryuhyo Museum - 4.3 km / 2.7 mi <br /> Abashiri Lake View Ski Resort - 5.6 km / 3.5 mi <br /> Tokyo University of Agriculture - 7.9 km / 4.9 mi <br /> Lake Notoro - 9.1 km / 5.6 mi <br /> Cape Notoro - 12.3 km / 7.6 mi <br /> Tofutsuko Lake - 14.1 km / 8.7 mi <br /> Yokoyama Fruit Farm - 16.3 km / 10.1 mi <br /> </p><p>The nearest airports are:<br />New Chitose Intl. Airport (CTS) - 323.5 km / 201 mi<br /> Memanbetsu Airport (MMB) - 19.9 km / 12.4 mi<br /> </p><p>The preferred airport for Hotel Route Inn Abashiri Ekimae is New Chitose Intl. Airport (CTS). </p>,"<p>HeadLine : Near Abashiri Historical Museum</p><p>Location : Located in Abashiri, Hotel Route Inn Abashiri Ekimae is on a river, within a 5-minute drive of Road Station Ryuhyokaido Abashiri and Ryuhyo Glass Museum.  This hotel is 1.2 mi (1.9 km) from Abashiri Historical Museum and 1.9 mi (3.1 km) from Abashiri Port.</p><p>Rooms : Make yourself at home in one of the 105 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature shower/tub combinations, complimentary toiletries, and hair dryers. Conveniences include phones, as well as desks and coffee/tea makers.</p><p>Dining : At Hotel Route Inn Abashiri Ekimae, enjoy a satisfying meal at the restaurant.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",81-152-44-5512,Dry cleaning/laundry service Vending machine Wheelchair accessible  no Parking (limited spaces) Luggage storage 24-hour front desk Free wired Internet Free WiFi Designated smoking areas Coffee/tea in common areas Laundry facilities elevator Free self parking,44.020879|144.25432,81-152-44-5511,093-0046,https://www.route-inn.co.jp/
JP,Japan,100643,Abashiri,1382289,Abashiri Hokkai Hotel,ThreeStar,1-1 Shin-machi Abashiri-shi Hokkaido Abashiri ,,This comfortable hotel is situated in Abashiri.,+81152445841,Hotel,44.021271|144.258982,0081152-43-2725,093-0046,http://hokkai63.sakura.ne.jp/
JP,Japan,100643,Abashiri,1385160,Abashiri Royal Hotel,ThreeStar,Kita 6 Jo Nishi 7 Chome Abashiri-shi 093-0076 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Road Station Ryuhyokaido Abashiri - 2 km / 1.2 mi <br /> Abashiri Historical Museum - 2.2 km / 1.3 mi <br /> Ryuhyo Glass Museum - 2.2 km / 1.4 mi <br /> Abashiri Quasi-National Park - 2.7 km / 1.7 mi <br /> Abashiri Port - 3.3 km / 2 mi <br /> Lake Abashiri - 3.9 km / 2.4 mi <br /> Museum of Northern Peoples - 4.2 km / 2.6 mi <br /> Abashiri Prison Museum - 4.5 km / 2.8 mi <br /> Okhotsk Ryuhyo Museum - 4.5 km / 2.8 mi <br /> Abashiri Lake View Ski Resort - 5.9 km / 3.7 mi <br /> Tokyo University of Agriculture - 8.2 km / 5.1 mi <br /> Lake Notoro - 9.4 km / 5.8 mi <br /> Cape Notoro - 11.9 km / 7.4 mi <br /> Tofutsuko Lake - 14.4 km / 9 mi <br /> Yokoyama Fruit Farm - 16.6 km / 10.3 mi <br /> </p><p>The nearest major airport is Memanbetsu Airport (MMB) - 20.2 km / 12.5 mi</p>,"<p>HeadLine : Near Abashiri Historical Museum</p><p>Location : Located in Abashiri, Abashiri Royal Hotel is within a 5-minute drive of Road Station Ryuhyokaido Abashiri and Ryuhyo Glass Museum.  This hotel is 1.4 mi (2.3 km) from Abashiri Historical Museum and 2.1 mi (3.4 km) from Abashiri Port.</p><p>Rooms : Make yourself at home in one of the 56 guestrooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and bidets. Conveniences include desks and electric kettles, and housekeeping is provided daily.</p><p>Dining : At Abashiri Royal Hotel, enjoy a satisfying meal at the restaurant.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",81-11-2111852,Well-lit path to entrance Laundry facilities Wheelchair accessible  no elevator Free self parking 24-hour front desk Wheelchairs available on site Free WiFi,44.023045|144.255584,+81 11 2111851,093 0076,http://abashiri-royal.jp/
JP,Japan,100643,Abashiri,1385626,Tento No Sato Hotel Honjin Abashiriko,ThreeStar,34 Omogari Abashiri-shi 093-0045Hokkaido ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abashiri Quasi-National Park - 1.3 km / 0.8 mi <br /> Okhotsk Ryuhyo Museum - 1.9 km / 1.2 mi <br /> Abashiri Prison Museum - 2.1 km / 1.3 mi <br /> Lake Abashiri - 2.4 km / 1.5 mi <br /> Museum of Northern Peoples - 2.8 km / 1.8 mi <br /> Abashiri Lake View Ski Resort - 3.6 km / 2.2 mi <br /> Abashiri Historical Museum - 3.9 km / 2.4 mi <br /> Road Station Ryuhyokaido Abashiri - 4.2 km / 2.6 mi <br /> Ryuhyo Glass Museum - 4.5 km / 2.8 mi <br /> Abashiri Port - 5.5 km / 3.4 mi <br /> Tokyo University of Agriculture - 6.2 km / 3.8 mi <br /> Lake Notoro - 7.6 km / 4.7 mi <br /> Cape Notoro - 14.6 km / 9.1 mi <br /> Yokoyama Fruit Farm - 15.1 km / 9.4 mi <br /> Tofutsuko Lake - 16.5 km / 10.2 mi <br /> </p><p>The nearest major airport is Memanbetsu Airport (MMB) - 19.4 km / 12 mi</p>,"<p>HeadLine : Near Okhotsk Ryuhyo Museum</p><p>Location : With a stay at Tento No Sato Hotel Honjin Abashiriko in Abashiri, you ll be within a 5-minute drive of Abashiri Quasi-National Park and Lake Abashiri.  This hotel is 1.3 mi (2.1 km) from Okhotsk Ryuhyo Museum and 1.3 mi (2.2 km) from Abashiri Prison Museum.</p><p>Rooms : Make yourself at home in one of the 105 guestrooms featuring refrigerators and DVD players. Complimentary wireless Internet access keeps you connected, and flat-screen televisions are provided for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : At Tento No Sato Hotel Honjin Abashiriko, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 10 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",81-152-448111,Luggage storage Number of meeting rooms - 1 Front desk (limited hours) Karaoke Breakfast available (surcharge) Free WiFi Library Playground on site Number of bars/lounges - 1 Laundry facilities Free newspapers in lobby Free self parking,44.00978|144.233421,81-152-445577,093 0045,http://www.yuaiso.com/
JP,Japan,100643,Abashiri,1403522,Hotel Sun Abashiri,ThreeStar,2-3-8 Shin-machi Abashiri 093-0046Hokkaido ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Road Station Ryuhyokaido Abashiri - 1.9 km / 1.2 mi <br /> Abashiri Historical Museum - 2 km / 1.2 mi <br /> Ryuhyo Glass Museum - 2.2 km / 1.3 mi <br /> Abashiri Quasi-National Park - 2.2 km / 1.4 mi <br /> Abashiri Port - 3.2 km / 2 mi <br /> Lake Abashiri - 3.5 km / 2.2 mi <br /> Okhotsk Ryuhyo Museum - 3.7 km / 2.3 mi <br /> Museum of Northern Peoples - 3.8 km / 2.3 mi <br /> Abashiri Prison Museum - 4 km / 2.5 mi <br /> Abashiri Lake View Ski Resort - 5.8 km / 3.6 mi <br /> Tokyo University of Agriculture - 8.1 km / 5 mi <br /> Lake Notoro - 8.9 km / 5.5 mi <br /> Cape Notoro - 12.2 km / 7.6 mi <br /> Tofutsuko Lake - 14.1 km / 8.8 mi <br /> Yokoyama Fruit Farm - 16.1 km / 10 mi <br /> </p><p>The nearest major airport is Memanbetsu Airport (MMB) - 19.9 km / 12.4 mi</p>,"<p>HeadLine : Near Abashiri Historical Museum</p><p>Location : Located in Abashiri, Hotel Sun Abashiri is within a 5-minute drive of Road Station Ryuhyokaido Abashiri and Ryuhyo Glass Museum.  This hotel is 1.3 mi (2.1 km) from Abashiri Historical Museum and 2 mi (3.3 km) from Abashiri Port.</p><p>Rooms : Make yourself at home in one of the 35 guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include portable fans, and housekeeping is provided daily.</p><p>Dining : At Hotel Sun Abashiri, enjoy a satisfying meal at the restaurant.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",81-152-433108,Dry cleaning/laundry service Laundry facilities Luggage storage Free self parking 24-hour front desk Free WiFi,44.02031|144.252023,81-152-433155,093-0046,http://primenet2010.biz/sunabashiri/
JP,Japan,100643,Abashiri,1403535,Abashiri Green Hotel,TwoStar,1 2 9 Shin Machi Abashiri 093 0046 Abashiri  ,,"Abashiri Green Hotel is conveniently located in the popular Abashiri area. Both business travelers and tourists can enjoy the hotel''s facilities and services. All the necessary facilities, including elevator, Wi-Fi in public areas, free Wi-Fi in all rooms, car park, are at hand. Guestrooms are fitted with all the amenities you need for a good night''s sleep. In some of the rooms, guests can find internet access  LAN (complimentary), television, refrigerator, hair dryer, air conditioning. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Abashiri, Abashiri Green Hotel will make you feel instantly at home.",,Air Conditioned Restaurant WiFi everywhere Vending Machines Wireless Internet Access Car Parking Elevator / Lift,44.020905|144.25502,+81(0)152438080,093 0046,
