countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
KE,Kenya,100014,Aberdares,1077740,The Ark,FiveStar,Aberdare National Park MweigaNyeri ,,"Quirky and iconic, Noah Ark is set in the heart of the Aberdare National Park, in Nyeri. The lodge overlooks a watering hole and salt lick, attracting a variety of wildlife, and features four viewing areas, including a ground-level bunker.

The rooms at Noah Ark are modelled after cabins, and each comes with a private bathroom with a shower and free toiletries. Free WiFi is available in the public areas.

Breakfast and dinner are served in the on-site restaurant, as either a buffet or set-menu offering, while lunch is served at The Arks sister property. Lunch can be organised at Noah Ark by prior arrangement. Guests can also enjoy a drink from the bar.

Guests at the lodge can also make use of the Library or browse through the gift shop. Please inform The Ark Lodge in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
The park entrance fees need to be purchased from the KWS office in Nairobi or you by credit card charged up on entry at the gate.

The Arks is sister property of Aberdare Country Club, you are expected to arrive for lunch at Aberdare Country Club and then lodge vehicle will transfer you to The Ark for dinner and overnight.

Only bag pack are allowed, excess luggage shall be stored overnight at the reception of Aberdare Country club.",25420556126,Shuttle service Parking Restaurant Bar Terrace Non-smoking rooms Fishing Laundry Free parking internet services express check-in/check-out Currency exchange Hiking Packed lunches Luggage storage wifi Free WiFi Private check-in/check-out shuttle service (additional charge) shared lounge/TV area Daily housekeeping Private parking,-0.35026|36.74111,254-737-799990,00100,https://www.booking.com/hotel/ke/the-ark.html
KE,Kenya,100014,Aberdares,1120126,Thomson's Falls Lodge,ThreeStar,Nyahururu Road P.O. Box 20300-38Nyahururu 20300Aberdare National Park ,,"Offering garden views, Thomsons Falls Lodge in Nyahururu offers accommodation, a garden, a shared lounge, a terrace and a bar. Both WiFi and private parking are available at the lodge free of charge.

There is a seating and a dining area in all units.

A continental, Full English/Irish or American breakfast is available every morning at the property. At Thomsons Falls Lodge you will find a restaurant serving African, American and Chinese cuisine. Vegetarian, dairy-free and kosher options can also be requested.

A childrens playground is available on site and hiking can be enjoyed within close proximity of the accommodation.

Thomsons Falls is 500 metres from Thomsons Falls Lodge. The nearest airport is Nanyuki Airport, 101 km from the lodge. Please inform Thomsons Falls Lodge in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property can only accept bookings from essential workers/permitted travellers, during dates where such guidelines exist. Reasonable evidence must be provided on arrival. If it isnt provided, your booking will be cancelled on arrival.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Business centre Laundry dry cleaning Facilities for disabled guests Karaoke Family rooms Darts Ironing service Soundproof rooms Free parking Hiking internet services BBQ facilities Packed lunches Car hire Tour desk Heating Fax/photocopying Horse riding Luggage storage wifi Free WiFi express check-in/check-out Safety Deposit Box children's playground Table tennis shared lounge/TV area kids' club Evening entertainment grocery deliveries parking on site Private parking wifi available in all areas board games/puzzles Indoor play area kids' outdoor play equipment Kid meals Kid-friendly buffet secured parking Street parking Accessible parking Toilet with grab rails Lower bathroom sink Wine/champagne Fruits coffee house on site Outdoor furniture Picnic area Shuttle service game drives temporary art galleries Walking tours Bike tours Themed dinner nights Happy hour Live music/performance Live sport events (broadcast) 24-hour security food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property Key access CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas designated smoking area Snack Bar Sun terrace concierge service Entertainment staff nightclub/dj Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press Lockers,0.04532|36.36875,+254652022006,20300,https://www.booking.com/hotel/ke/thomsons-falls-lodge.html
KE,Kenya,100014,Aberdares,1855659,Maverick Camp Rondavels And Homestay,TwoStar,I.Ng'ang'a Road 20 Wanjohi Wanjohi ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Shamata Kenya Wildlife Service Office - 19.2 km / 11.9 mi <br /> Mutubio Gate - 42.4 km / 26.4 mi <br /> Gilgil Stadium - 42.7 km / 26.5 mi <br /> Lake Ol Bolossat - 43 km / 26.7 mi <br /> Kariandusi Museum - 51.4 km / 31.9 mi <br /> </p><p>The preferred airport for Maverick Camp Rondavels and Homestay is Jomo Kenyatta Intl. Airport (NBO) - 166.6 km / 103.5 mi </p>,"<p>HeadLine : In the mountains</p><p>Location : With a stay at Maverick Camp Rondavels and Homestay in Aberdare National Park, you ll be 11.9 mi (19.2 km) from Shamata Kenya Wildlife Service Office and 26.4 mi (42.4 km) from Mutubio Gate.  This lodge is 26.7 mi (43 km) from Lake Ol Bolossat.</p><p>Rooms : Make yourself at home in one of the 5 guestrooms, featuring kitchens. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at the lodge s restaurant, which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). A complimentary local cuisine breakfast is served daily from 7:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property for check-in instructions.</p>",254-72-0759927,Airport transportation (surcharge) Free breakfast Free breakfast (local cuisine) Television in common areas Number of bars/lounges - 1 Designated smoking areas Daily Garden Safe-deposit box at front desk Picnic area In-room accessibility (in select rooms) Coffee/tea in common areas Wheelchair accessible parking Snack bar/deli Tours/ticket assistance Free self parking Terrace,-0.29312|36.523879,254-72-0759927,20305,http://maverick-camp-rondavels-homestay.business.s
KE,Kenya,100014,Aberdares,1940540,Lake Olbolosat Resort,ThreeStar,P.O Box 144 Ol Joro Orok ,,"Lake Olbolosat Resort Park Lodge has a restaurant, bar, a shared lounge and garden in Oljoro Orok. Boasting room service, this property also provides guests with a sun terrace. There is a childrens playground and guests can make use of free WiFi and free private parking.

At the hotel, rooms are equipped with a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms at Lake Olbolosat Resort Park Lodge are fitted with a seating area.

Guests at the accommodation can enjoy a buffet breakfast.

The nearest airport is Nanyuki Airport, 75 km from Lake Olbolosat Resort Park Lodge.",,24-hour security Security alarm Smoke alarms CCTV in common areas Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available Parking Restaurant Room service meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Business centre babysitting/child services Laundry dry cleaning Family rooms Ironing service Free parking internet services children's playground BBQ facilities Packed lunches Heating Fax/photocopying Luggage storage wifi Free WiFi designated smoking area Snack Bar Sun terrace concierge service Private check-in/check-out Special diet menus (on request) Trouser press Lockers shared lounge/TV area Daily housekeeping parking on site Private parking Kid meals Kid-friendly buffet game drives Walking tours Themed dinner nights Happy hour face masks for guests available delivered food is securely covered guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized physical distancing rules followed cashless payment available,-0.0733|36.36335,,20302,http://lakeolbolosatresort.com/
KE,Kenya,100014,Aberdares,6091607,Falls Hippo Point Hotel,ThreeStar,Nyeri - Nyahururu Rd  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Thomson Falls - 0.4 km / 0.3 mi <br /> Nyahururu Catholic Church - 0.6 km / 0.4 mi <br /> Nyahururu Golf Club - 0.9 km / 0.6 mi <br /> Lake Ol Bolossat - 24 km / 14.9 mi <br /> Shamata Kenya Wildlife Service Office - 47.6 km / 29.6 mi <br /> </p>,"<p>HeadLine : Near Thomson Falls</p><p>Location : A stay at Falls Hippo Point Hotel places you in the heart of Nyahururu, within a 10-minute walk of Thomson Falls and Nyahururu Catholic Church.  This hotel is 0.6 mi (0.9 km) from Nyahururu Golf Club and 14.9 mi (24 km) from Lake Ol Bolossat.</p><p>Rooms : Stay in one of 14 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and slippers. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). A complimentary continental breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 6:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Free continental breakfast Free self parking Designated smoking areas (fines apply) Garden Daily Designated smoking areas Free WiFi 24-hour front desk Free breakfast Luggage storage Dry cleaning/laundry service,0.042796|36.367478,254-720234621,,
KE,Kenya,100014,Aberdares,6103662,Namelok Retreat Centre,TwoStar,Nyahururu - Rumuruti Road  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nyahururu Catholic Church - 0.7 km / 0.4 mi <br /> Nyahururu Golf Club - 1.6 km / 1 mi <br /> Thomson Falls - 1.7 km / 1 mi <br /> Lake Ol Bolossat - 22.8 km / 14.1 mi <br /> Shamata Kenya Wildlife Service Office - 48.8 km / 30.3 mi <br /> </p>,"<p>HeadLine : Near Nyahururu Catholic Church</p><p>Location : Located in Nyahururu, Namelok Retreat Centre is in the suburbs, within a 5-minute drive of Nyahururu Catholic Church and Nyahururu Golf Club.  This guesthouse is 1.1 mi (1.7 km) from Thomson Falls and 14.1 mi (22.8 km) from Lake Ol Bolossat.</p><p>Rooms : Make yourself at home in one of the 5 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature bathtubs or showers with rainfall showerheads. Conveniences include desks, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.  Meals are available by reservation only and cannot be requested after check-in.</p>",,Dry cleaning/laundry service Wheelchair accessible  no Luggage storage Free breakfast 24-hour front desk Free WiFi No elevator (single level property) Designated smoking areas Daily Garden Designated smoking areas (fines apply) Free self parking Free continental breakfast,0.034866|36.364297,254-720389285,,
KE,Kenya,100014,Aberdares,6110681,Spanish Lodge Hotel,ThreeStar,KOINANGE ROAD  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nyahururu Catholic Church - 0.8 km / 0.5 mi <br /> Nyahururu Golf Club - 1.6 km / 1 mi <br /> Thomson Falls - 1.8 km / 1.1 mi <br /> Lake Ol Bolossat - 22.7 km / 14.1 mi <br /> Shamata Kenya Wildlife Service Office - 48.9 km / 30.4 mi <br /> </p>,"<p>HeadLine : Near Nyahururu Catholic Church</p><p>Location : With a stay at Spanish Lodge Hotel in Nyahururu, you ll be within a 5-minute drive of Nyahururu Catholic Church and Nyahururu Golf Club.  This hotel is 1.1 mi (1.8 km) from Thomson Falls and 14.1 mi (22.7 km) from Lake Ol Bolossat.</p><p>Rooms : Stay in one of 15 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy a satisfying meal at Restaurant serving guests of Spanish Lodge Hotel. A complimentary continental breakfast is served daily from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Wheelchair accessible  no Luggage storage Free breakfast Multilingual staff 24-hour front desk Free WiFi Designated smoking areas Daily Designated smoking areas (fines apply) Free self parking Free continental breakfast,0.0342|36.364192,254-721570051,,
KE,Kenya,109551,Amboseli,1075857,Ol Tukai Lodge Amboseli,FourStar,Center Of Park 200 M From Road C103 Amboseli National Park ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amboseli Elephant Research Camp - 3.7 km / 2.3 mi <br /> Amboseli National Park - 5.7 km / 3.6 mi <br /> Kimana Gate - 17.1 km / 10.6 mi <br /> Kimana Reserve - 36.9 km / 22.9 mi <br /> Kilimanjaro National Park - 41.9 km / 26 mi <br /> Loitokitok Hospital - 49.8 km / 30.9 mi <br /> </p><p>The nearest airports are:<br />Jomo Kenyatta Intl. Airport (NBO) - 216.2 km / 134.3 mi<br /> Amboseli (ASV) - 3.9 km / 2.4 mi<br /> </p><p>The preferred airport for Ol Tukai Lodge Amboseli is Jomo Kenyatta Intl. Airport (NBO). </p>,"<p>HeadLine : Near Amboseli Elephant Research Camp</p><p>Location : Located in Amboseli, Ol Tukai Lodge Amboseli is in a national park, within a 15-minute drive of Amboseli Elephant Research Camp and Amboseli National Park.  This 4-star lodge is 26 mi (41.9 km) from Kilimanjaro National Park and 10.6 mi (17.1 km) from Kimana Gate.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The lodge also offers room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Relax with your favorite drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 6:30 AM to 8 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",254-20-4448493,Snack bar/deli Children's pool Free self parking Hair salon Terrace Pool sun loungers Concierge services Gift shops or newsstand Dry cleaning/laundry service Babysitting or childcare (surcharge) Airport transportation Free reception Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Braille or raised signage Number of outdoor pools - 1 In-room accessibility (in select rooms) Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free Buffet Breakfast Airport transportation (surcharge) Free breakfast Conference center Daily Barbecue grill(s) Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Children's club (free) Supervised childcare/activities (free) Wheelchair accessible (may have limitations) Meeting rooms Arcade/game room Garden Picnic area Full-service spa Wedding services Luggage storage Porter/bellhop Business center 24-hour front desk Playground on site Spa services on site Safe-deposit box at front desk,-2.66785|37.28216,254-72-1131238,00100,https://www.ivhtravel.com/hotel-ol-tukai-lodge-h67832.html
KE,Kenya,109551,Amboseli,1120904,Sentrim Amboseli Lodge,FourStar,National Park Amboseli National Park Amboseli National Park ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amboseli National Park - 0.1 km / 0.1 mi <br /> Amboseli Elephant Research Camp - 3.7 km / 2.3 mi <br /> Kimana Gate - 17.1 km / 10.6 mi <br /> Kimana Reserve - 36.9 km / 22.9 mi <br /> Loitokitok Hospital - 49.8 km / 30.9 mi <br /> </p><p>The preferred airport for Sentrim Amboseli Lodge is Amboseli (ASV) - 3.9 km / 2.4 mi </p>,"<p>HeadLine : Near Amboseli Elephant Research Camp</p><p>Location : Located in Amboseli, Sentrim Amboseli Lodge is in a national park, a 1-minute drive from Amboseli National Park and 7 minutes from Amboseli Elephant Research Camp.  This 4-star tentalow is 10.6 mi (17.1 km) from Kimana Gate and 22.9 mi (36.9 km) from Kimana Reserve.</p><p>Rooms : Make yourself at home in one of the 60 guestrooms. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the tentalow s restaurant, or stay in and take advantage of the room service. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 6 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 5 AM - 11 PM. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 8:00 AM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. This property can only accept bookings for essential travel or stays. You may be asked to provide evidence of this on arrival. For more information, check local advisories before you book.</p>",254-20-3343875,Number of poolside bars - 1 Access to nearby outdoor pool Free breakfast Tours/ticket assistance Free WiFi Wheelchair-accessible on-site restaurant Picnic area Daily Number of outdoor pools - 1 No elevator (single level property) Well-lit path to entrance Stair-free path to entrance Front desk (limited hours) Uncovered parking Free self parking Number of meeting rooms - 1 Terrace Game drive nearby Luggage storage Safari nearby Free Buffet Breakfast Concierge services Designated smoking areas Wheelchair accessible (may have limitations) Pool umbrellas Airport transportation Airport transportation (surcharge) Barbecue grill(s) Couples/private dining Number of bars/lounges - 1 Pool sun loungers Children's pool Safe-deposit box at front desk Spa services on site Proposal/romance packages available Laundry facilities Playground on site Wheelchair accessible path of travel Wheelchair-accessible public washroom Garden Wheelchair-accessible registration desk Wheelchair-accessible spa Wheelchair-accessible pool Wheelchair-accessible meeting spaces/business center Wheelchair accessible parking Wheelchair-accessible concierge desk In-room accessibility,-2.66773|37.28194,254-72-9177056,00100,https://www.ivhtravel.com/hotel-sentrim-amboseli-lodge-h68056.html
KE,Kenya,109551,Amboseli,1134644,Tortilis Camp,FiveStar,Amboseli National Park Amboseli National Park ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amboseli National Park - 0.9 km / 0.5 mi <br /> Amboseli Elephant Research Camp - 17.5 km / 10.9 mi <br /> Kimana Gate - 28.8 km / 17.9 mi <br /> Kilimanjaro National Park - 46.1 km / 28.7 mi <br /> Kimana Reserve - 48.5 km / 30.2 mi <br /> </p><p>The nearest major airport is Amboseli (ASV) - 13 km / 8.1 mi</p>,"<p>HeadLine : In Amboseli</p><p>Location : When you stay at Elewana Tortilis Camp in Amboseli, you ll be 11 minutes by foot from Amboseli National Park.  This 5-star tentalow is 28.7 mi (46.1 km) from Kilimanjaro National Park and 10.9 mi (17.5 km) from Amboseli Elephant Research Camp.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms. Rooms have private furnished patios. Private bathrooms with bathtubs or showers feature complimentary toiletries and bathrobes. Conveniences include safes and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the tentalow s restaurant, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Guests booked in a rate category displaying the 1 Game Drive per night tag are required to pay a national park entry fee. The additional mandatory fee covers entrance to the national park.</p>",255-255-784250630,Dry cleaning/laundry service Game viewing on site Game drive on site Wheelchair accessible  no Luggage storage Free breakfast Porter/bellhop Pool umbrellas 24-hour front desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Daily Barbecue grill(s) Number of outdoor pools - 1 Safe-deposit box at front desk Tours/ticket assistance Free self parking Safari on site Terrace Pool sun loungers Free Cooked-to-Order Breakfast Concierge services,-2.68258|37.18286,255-254-784250630,00517,http://www.elewanacollection.com/tortilis-camp-amboseli/at-a-glance
