countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LA,Laos,150300,Attapeu,1659110,Alounsotsay Hotel,OneStar,Samahixai District Samahixai DistrictAttapeu ,,"Located in Attapeu City Center, Alounsotsay Hotel is a perfect starting point from which to explore Attapeu. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. Take advantage of the hotel's car park. Designed for comfort, selected guestrooms offer air conditioning, desk, fan, television, shower to ensure a restful night. The hotel offers various recreational opportunities. Friendly staff, great facilities and close proximity to all that Attapeu has to offer are three great reasons you should stay at Alounsotsay Hotel.",,car park,14.81903|106.82258,,,
LA,Laos,150300,Attapeu,1883681,Phoukham Hotel,TwoStar,Ban Meuangmai Attapeu ,,"Ideally located in the prime touristic area of Attapeu City Center, Phoukham Hotel promises a relaxing and wonderful visit. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. All the necessary facilities, including car park, family room, smoking area, are at hand. All rooms are designed and decorated to make guests feel right at home, and some rooms come with non smoking rooms, air conditioning, desk, television, refrigerator. To enhance guests' stay, the hotel offers recreational facilities such as garden. A welcoming atmosphere and excellent service are what you can expect during your stay at Phoukham Hotel.",,car park designated smoking area family room,14.81484|106.82402,008562099918688,,
LA,Laos,150300,Attapeu,1910147,Dokchampa Hotel,TwoStar,Attapeu City Center Samahixai District ,,"Stop at Dokchampa Hotel to discover the wonders of Attapeu. The property features a wide range of facilities to make your stay a pleasant experience. Service-minded staff will welcome and guide you at the Dokchampa Hotel. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like television LCD/plasma screen, internet access  wireless (complimentary), air conditioning, satellite/cable TV, refrigerator. Access to the hotel's garden will further enhance your satisfying stay. For reliable service and professional staff, Dokchampa Hotel caters to your needs.",,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences access getting around available in all rooms,14.8183240890503|106.820861816406,,,https://www.agoda.com/partners/partnersearch.aspx?hid=394368
LA,Laos,150300,Attapeu,1910153,Dokchampa Guest House,OneStar,Attapeu City Center Samahixai District ,,"Dokchampa Guest House is a popular choice amongst travelers in Attapeu, whether exploring or just passing through. The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. All the necessary facilities, including car park, family room, smoking area, are at hand. Designed for comfort, selected guestrooms offer air conditioning, desk, fan, shower, complimentary bottled water to ensure a restful night. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including garden. A welcoming atmosphere and excellent service are what you can expect during your stay at Dokchampa Guest House.",,languages spoken things to do  ways to relax services and conveniences for the kids getting around available in all rooms,14.8192367553711|106.82103729248,,,https://www.agoda.com/partners/partnersearch.aspx?hid=398875
LA,Laos,150300,Attapeu,1910170,Siamphone Guesthouse,OneStar,Attapu Road Attapeu City Center ,,"Siamphone Guesthouse is perfectly located for both business and leisure guests in Attapeu. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. Take advantage of the hotel's luggage storage, Wi-Fi in public areas, car park, smoking area. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like non smoking rooms, air conditioning, desk, balcony/terrace, television. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including garden. Friendly staff, great facilities and close proximity to all that Attapeu has to offer are three great reasons you should stay at Siamphone Guesthouse.",,languages spoken Internet access things to do  ways to relax services and conveniences getting around available in all rooms,14.8103589952935|106.83414459228493,,,https://www.agoda.com/partners/partnersearch.aspx?hid=502418
LA,Laos,148879,Ban Khone,1420496,Sala Done Khone Hotel,ThreeStar,"Ban Don Khone Don Khong District Khong District, Champassak Province, Lao ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Historic Bridge  Don Det - Don Khon - 0.7 km / 0.4 mi <br /> Mekong - 2.5 km / 1.6 mi <br /> Khonephapheng Waterfall - 19.4 km / 12.1 mi <br /> Wat Phouang Keo - 28.3 km / 17.6 mi <br /> Wat Phu Khao Kaew - 37.1 km / 23.1 mi <br /> </p>,"<p>HeadLine : Near Historic Bridge, Don Det - Don Khon</p><p>Location : With a stay at Sala Done Khone in Khong District, you ll be 0.6 mi (1 km) from Historic Bridge, Don Det - Don Khon and 12.1 mi (19.4 km) from Khonephapheng Waterfall.  This hotel is 17.6 mi (28.3 km) from Wat Phouang Keo and 23.1 mi (37.1 km) from Wat Phu Khao Kaew.</p><p>Rooms : Make yourself at home in one of the 32 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and slippers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 6:30 AM - 9 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 9 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",856-31-260940,Dry cleaning/laundry service Meeting rooms Change of bed sheets (on request) Free WiFi Number of bars/lounges - 1 No elevator (single level property) Number of outdoor pools - 1 Well-lit path to entrance Change of towels (on request) Garden Bicycle rentals nearby Stair-free path to entrance Tours/ticket assistance Free continental breakfast Area shuttle (surcharge) Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Handrails in stairways Front desk (limited hours) Handrails in hallways Daily Barbecue grill(s) Spa services on site Safe-deposit box at front desk Smoke-free property Ecotours nearby Laundry facilities Kayaking nearby Free self parking Terrace Concierge services,13.966495|105.925826,+85631260940,01000,http://www.selectiveasia.com/laos-holidays
LA,Laos,148879,Ban Khone,1486567,Pans Residence,OneStar,Mekong Road Ban Don Khone01000 Ban KhonMuang Khong ,,"Located in Ban Khon, Pans Residence offers a restaurant and Wi-Fi,

Each room here will provide you with air conditioning, an electric kettle and a fridge. Guests can enjoy river view and witness the sunset from the balcony.Guests can enjoy tea and coffee provided in the room for free. Private bathroom comes with a shower.

Other facilities offered at the property include a tour desk and airport shuttle. The property offers free parking. Please note that a 3 to 5% surcharge applies for payments made with credit cards.

Please note that the hotel offers transfer from/to the Airport with additional costs. Guests are kindly requested to inform the property in advance if they wish to make use of this service. Contact details can be found on the booking confirmation.",,Free self parking Restaurant Room service Bar/lounge Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry facilities Family rooms Breakfast service Internet access Safe-deposit box at front desk Currency exchange Massage Table tennis Bicycle rental (additional charge) BBQ facilities Car hire Tour desk Tours/ticket assistance Free WiFi Free WiFi Air conditioning ATM/banking Terrace Area shuttle (surcharge) Airport transportation (surcharge) Television in common areas Mini-market on site Parking onsite Public transport tickets,13.96497|105.92429,020 55 525 345,01000,https://www.booking.com/hotel/la/pan-s-residence.html
LA,Laos,105025,Ban Thangon,1420080,Nonnevong Hotel,ThreeStar,10 Road Ban Tha Ngone Vaythayny District 01000 Ban ThangonVaythayny District ,,"A 5-minute drive from Nam Ngum River, Nonnevong Hotel offers comfortable rooms with air conditioning. Offering free Wi-Fi, it also has an on-site restaurant and parking facilities.

Nonnevong Hotel is a 40-minute drive from Wattay International Airport and a 50-minute drive from Ban Guen Zoo. Nam Ngum Dam is a 1-hour ride away.

All rooms are equipped with air conditioning, a TV and a refrigerator. En suite bathrooms are fitted with shower facilities.

For convenience, the hotel provides a 24-hour front desk and safety deposit boxes. Shuttle service is also available upon request.

Guests can enjoy Lao and Thai cuisines served at Sabaidee Tha Ngone Restaurant.",,Free self parking Restaurant 24-hour front desk Airport shuttle Laundry facilities Internet access Safe-deposit box at front desk Free WiFi Free WiFi Area shuttle (surcharge) Airport transportation (surcharge) Parking onsite,18.12962|102.62565,,01000,https://www.booking.com/hotel/la/nonnevong.html
LA,Laos,114608,Champasak,1023584,The River Resort,ThreeStar,Ban Phaphinnoy 14A Road Champasak Distric Ban PhaphinnoyChampasak 06000Champasak District ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mekong - 0.1 km / 0.1 mi <br /> Champassak Terminal West - 1.7 km / 1.1 mi <br /> Vat Phou - 15 km / 9.4 mi <br /> Champasak Historical Heritage Museum - 29.3 km / 18.2 mi <br /> Wat Phabat - 29.9 km / 18.6 mi <br /> </p><p>The nearest major airport is Pakse (PKZ) - 33.8 km / 21 mi</p>,"<p>HeadLine : Near Champassak Terminal West</p><p>Location : With a stay at The River Resort in Champasak, you ll be 1.1 mi (1.7 km) from Champassak Terminal West and 9.4 mi (15 km) from Vat Phou.  This hotel is 18.6 mi (29.9 km) from Wat Phabat.</p><p>Rooms : Make yourself at home in one of the 20 air-conditioned rooms featuring refrigerators and minibars. Rooms have private balconies or patios. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary self-serve breakfast is served daily from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",856-205-685 0198,Terrace Concierge services Rooftop terrace Dry cleaning/laundry service Airport transportation (surcharge) Free self-serve breakfast Luggage storage Babysitting or childcare (surcharge) Free breakfast Meeting rooms 24-hour front desk Free WiFi Number of bars/lounges - 1 Daily Number of outdoor pools - 2 Spa services on site Garden Smoke-free property Laundry facilities Tours/ticket assistance Kayaking nearby Free self parking,14.925125|105.891075,8562056850198,06000,http://theriverresortlaos.com/
LA,Laos,114608,Champasak,1242357,La Folie Lodge,ThreeStar,Done Daeng BP 66801000 ChampasakDone Daeng ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Champassak Terminal West - 3.3 km / 2 mi <br /> Mekong - 6.2 km / 3.9 mi <br /> Vat Phou - 17.4 km / 10.8 mi <br /> Champasak Historical Heritage Museum - 33.7 km / 20.9 mi <br /> Wat Phabat - 34.3 km / 21.3 mi <br /> </p><p>The preferred airport for La Folie Lodge is Pakse (PKZ) - 38.1 km / 23.7 mi </p>,"<p>HeadLine : Near Champassak Terminal West</p><p>Location : With a stay at La Folie Lodge in Pathouphone, you ll be on the beach, and 2 mi (3.3 km) from Champassak Terminal West and 3.9 mi (6.2 km) from Mekong.  This beach hotel is 10.8 mi (17.4 km) from Vat Phou and 20.9 mi (33.7 km) from Champasak Historical Heritage Museum.</p><p>Rooms : Make yourself at home in one of the 27 individually decorated guestrooms. Rooms have private balconies or patios. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 6:30 AM to 10:00 AM.</p><p>Renovations : The property is closed in June.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer via boat to the property. Guests must contact the property at least 24 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the ferry terminal and airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. If you are planning to arrive after 8 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  This property is located on an island in the Mekong River. A boat transfer service is available from Ban Muang or Champasak and is included in the rate.</p>",856-20-55532004,Laundry facilities Free self parking Terrace Pool sun loungers Business center 24-hour front desk Library Daily Barbecue grill(s) Safe-deposit box at front desk Gift shops or newsstand Dry cleaning/laundry service Uncovered parking Pool umbrellas Free WiFi Number of bars/lounges - 1 No elevator (single level property) Designated smoking areas Number of outdoor pools - 1 Garden Stair-free path to entrance Free newspapers in lobby Wedding services Tours/ticket assistance Free bicycles on site Free Buffet Breakfast Free ferry terminal shuttle Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Multilingual staff,14.8917|105.897,856-20-55532004,BP 668,http://lafolie-laos.com
