countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LI,Liechtenstein,117192,Eschen,1003484,Gasthof Zum Deutschen Rhein,All,Im Schwibboga 11 9487 Gamprin-Bendern ,,"Gasthof zum Deutschen Rhein is located in Bendern in Liechtenstein, just a 5-minute walk from the Rhine River and the Swiss border. The restaurant is open for lunch and serves traditional dishes from Liechtenstein and a selection of wine from the propertys own vineyards.

Rooms feature a TV and parquet floors. Some have a balcony. WiFi and parking are available free of charge at Gasthof zum Deutschen Rhein.

The Rheindamm Sports Centre can be reached on foot in just 2 minutes. Bendern Bus Station provides connections to Austria or Switzerland in 20-minute intervals. Bendern lies on a 40-km bicycle route between Sargans and St. Margrethen. Please note that the restaurant only serves breakfast and lunch. Dinner is not available.
Managed by a private host",+423(0)3731393,Pet bowls Wine/champagne wifi available in all areas Private parking parking on site Sun terrace ATM/cash machine on site Non-smoking throughout Free WiFi wifi Heating Hiking internet services Free parking Non-smoking rooms Golf course (within 3 km) Pets allowed Restaurant Parking,47.21071|9.50374,+423 373 13 47,9487,https://www.booking.com/hotel/li/gasthof-zum-deutschen-rhein.html
LI,Liechtenstein,117192,Eschen,1003485,Landgasthof Rossle Superior,TwoStar,Kanalstrasse 2 9491 Ruggell ,,"The Landgasthof Rössle enjoys a quiet location close to the A13 highway exit Sennwald Ruggell. It offers you free Wi-Fi in all rooms and a restaurant with a charming terrace.

All guest rooms in the Landgasthof Rössle are situated on the second floor and have a cable TV. Most rooms have a balcony.

You can park your car for free on site. Please enter ""Kanalstrasse 2"" in your navigation system to find the accommodation.",+423(0)3732329,Allergy-free room Ski storage wifi Fax/photocopying Heating Tour desk Cycling Hiking children's playground express check-in/check-out internet services Free parking Family rooms Skiing Fishing guests have the option to cancel any cleaning services for their accommodation during their stay physical distancing rules followed cashless payment available first aid kit available Non-smoking rooms process in place to check health of guests Terrace hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Wine/champagne electric vehicle charging station Street parking Kid meals Garden Private parking Golf course (within 3 km) parking on site Bar Special diet menus (on request) Pets allowed designated smoking area Restaurant Free WiFi Parking,47.24353|9.52442,373 14 25,9491,https://www.booking.com/hotel/li/landgasthof-rossle.html
LI,Liechtenstein,117192,Eschen,1008059,Bed and Breakfast Krone,All,Dorf 36 9488 Schellenberg ,,"The family-friendly Gasthaus Krone enjoys a quiet location right at the bus stop in Schellenberg. It features its own swimming pool, which is directly accessible from the rooms.

All double and almost all single rooms have a balcony. Free WiFi is available in the entire hotel.

Meeting rooms are available as well free of charge.

2 playgrounds can be found in the immediate surroundings of the Gasthaus Krone.",+423(0)3732122,Swimming pool Fire extinguishers Smoke alarms Key access Swimming pool Outdoor furniture Pet bowls Heated pool Pool with view Street parking wifi available in all areas parking on site Daily housekeeping minimarket on site Private check-in/check-out indoor pool (all year) Sun terrace ATM/cash machine on site designated smoking area Non-smoking throughout Free WiFi Indoor pool wifi Heating Hiking children's playground Currency exchange internet services Free parking Ironing service Family rooms Non-smoking rooms Terrace meeting/banquet facilities Pets allowed Parking,47.23132|9.5468,+423 373 11 68,9488,https://www.booking.com/hotel/li/gasth-krone.html
LI,Liechtenstein,146278,Liechtenstein,1006095,Hotel Hofbalzers,ThreeStar,Im Höfle 2 9496 Balzers ,,"The Hotel Hofbalzers is located in the centre of Balzers in Liechtenstein, about 2 km from the Swiss border. It offers free WiFi, rooms with satellite TV, a steam bath, and fitness facilities.

Each room at the Hofbalzers Hotel has a balcony and is equipped with a trouser press, a minibar, and a safe.

A rich buffet breakfast is available each morning. In the Leonardo restaurant you can enjoy fish dishes and other specialities. Guests can relax at the hotel bar and in the tree-shaded patio.

Public parking is available on site free of charge. A private garage can be used at an additional cost.",(423) 3881455,Parking Restaurant Pets allowed Room service Bar Fitness centre Terrace Non-smoking rooms Laundry Facilities for disabled guests Skiing Family rooms Ironing service internet services lift Safety Deposit Box Currency exchange Soundproof rooms Hiking Packed lunches Car hire Cycling hammam Heating Fax/photocopying Luggage storage wifi Ski storage Allergy-free room Free WiFi Non-smoking throughout ATM/cash machine on site Special diet menus (on request) Trouser press Daily housekeeping parking on site Private parking wifi available in all areas secured parking Street parking electric vehicle charging station Public transport tickets Outdoor furniture Steam room Fitness Walking tours Key access Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,47.06666|9.50758,(423) 3881400,9496,https://www.booking.com/hotel/li/hofbalzers-ag.html
LI,Liechtenstein,146278,Liechtenstein,1006965,Hotel Schlosswald,ThreeStar,Eichholzweg 6 9495 Triesen ,,"The Hotel Schlosswald in Triesen is located in calm surroundings on the edge of a forest, about 1.2 km south of Vaduz. It offer panoramic views over the Rhine valley and free parking.

Wireless internet is available free of charge in all of the spacious rooms and public areas of the Schlosswald hotel.

The garden terrace and the hotel bar offer drinks and small snacks.",(423) 3922436,Parking Pets allowed meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Ironing service Free parking internet services lift Soundproof rooms Hiking Cycling Fax/photocopying wifi Free WiFi parking on site Private parking wifi available in all areas,47.12216|9.52964,(423) 3922488,9495,https://www.booking.com/hotel/li/schlosswald.html
LI,Liechtenstein,146278,Liechtenstein,1011998,Berggasthaus Sücka,All,Sückastrasse 41 Postfach 10429497 Triesenberg ,,"Located on a traditional Alpine pasture at 1,400 metres above sea level, Berggasthaus Sücka offers mountain views from all rooms. Hiking trails and a toboggan run start right outside, and the Malbun Ski Area is a 6-minute drive away.

The simply decorated rooms at the Sücka Berggasthaus feature bright wooden furniture and floors. Bathrooms are shared.

The restaurant serves organic products from the region, local cheese, butter and yoghurt, and a selection of Liechtenstein beers and wines, as well as fair trade coffee.

Free Wi-Fi is available in the entire building, and guests can rent toboggans on site.

Free parking is possible on site during summer. In winter, the hotel cannot be reached by car and is only accessible with a free shuttle service from Steg-Tunnel Bus Stop. Vaduz is 6 km away. Please note that in winter the hotel is not accessible by car. A free shuttle service organised by the hotel is available from the public car park just behind the tunnel at the bus stop in Steg.",,Kid meals cashless payment available guest accommodation is disinfected between stays wifi physical distancing in dining areas Parking Newspapers Sun terrace shuttle service (free) Games room Heating staff follow all safety protocols as directed by local authorities Hiking Skiing Cycling internet services Packed lunches Pets allowed Fire extinguishers Free WiFi linens  towels and laundry washed in accordance with local authority guidelines kids' outdoor play equipment hand sanitizer in guest accommodation and key areas Walking tours shared lounge/TV area Restaurant Non-smoking rooms Free parking express check-in/check-out Special diet menus (on request) Non-smoking throughout Smoke alarms,47.11623|9.56531,+4232632579,9497,https://www.booking.com/hotel/li/berggasthaus-sa1-4cka.html
LI,Liechtenstein,146278,Liechtenstein,1012641,Schaan Vaduz Youth Hostel,TwoStar,Under Ruttigass 6  ,,"Surrounded by countryside, this youth hostel offers breakfast buffets and wonderful mountain views. It lies between Schaan and Vaduz, a 5-minute drive from the Swiss border and the A13 motorway.

Jugendherberge Schaan-Vaduz is set in a bright, spacious building. It has rooms and dormitories with shared bathroom facilities. Free WiFi is provided in the breakfast room.

When the weather is nice barbecue food is served outside and otherwise dinner is available indoors. A drinks machine is located on site. Packed lunches are available for your day trips.

The large garden includes a football pitch, a childrens playground and table tennis tables. The hostel provides rental bicycles and storage space for skis.

Jugendherberge Schaan-Vaduz is 300 metres from the Schaan Quader? Bus Stop and 3 km from Räfis-Burgerau? Train Station. The surrounding area is ideal for skiing, cycling and eagle watching. Please inform Schaan-Vaduz Youth Hostel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.


Room rates include the daily membership of Swiss Youth Hostels and Hostelling International.

Please inform the property in advance in case of a late arrival after 21:00. Otherwise check-in might not be possible. Contact details can be found on the booking confirmation.

Please note that there are no cooking facilities and no refrigerator available for guests.

Please note that the restaurant only serves food on request and for a minimum of 10 guests.

Late check-in after 21:00 is only possible upon prior confirmation by the property. Please note that your check-in is otherwise not guaranteed. Contact details are stated in the booking confirmation.",+423(0)2325856,Parking Restaurant Pets allowed meeting/banquet facilities Garden Non-smoking rooms Laundry Facilities for disabled guests Skiing Family rooms Games room internet services children's playground Table tennis Hiking Packed lunches Cycling Tour desk Heating Luggage storage wifi Ski storage Free WiFi Non-smoking throughout Sun terrace Special diet menus (on request) vending machine (drinks) shared lounge/TV area parking on site Private parking electric vehicle charging station use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available,47.1569|9.50595,423 232 5022,9494,https://www.booking.com/hotel/li/jugendherberge-schaan-vaduz.html
LI,Liechtenstein,146278,Liechtenstein,1064003,Oberland,ThreeStar,Bergstrasse 25 9497 Triesenberg ,,"Enjoying a scenic location at 940 metres above sea level, Hotel Oberland is surrounded by the Alps and features a terrace with panoramic views of the Rhine Valley. Free WiFi is provided.

The modern rooms at this self-service check-in hotel feature a private balcony with views over the valley, a flat-screen TV, a safety deposit box, and a bathroom with either a shower or a bathtub.

The small sauna area is available at request for free.

The Oberland Hotel is a 10-minute drive from Vaduz. The Malbun Ski Area can also be reached within a 10-minute drive.

The Bad Ragaz Golf Course is 20 km away, and in summer, hiking and biking trails start directly on site.

Parking is available on site and is offered free of charge. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
If travelling with children, please inform the hotel about their age in advance. Contact details are stated in the booking confirmation.

Please inform the property in advance if you will be arriving after 18:00. You can use the Special requests box during booking or contact the property directly. Contact details can be found on the booking confirmation.

Please note that the property has no reception. A 24-hour self-check-in terminal is located at the front entrance. In order to check in, you need your reservation number, your passport or ID card and a credit or debit card.

Guest can check-in and book until 2 am

When booking 5 rooms or more, different policies and additional supplements may apply.",+4232625779,Parking 24-hour front desk Sauna Terrace Non-smoking rooms Skiing Family rooms Free parking internet services express check-in/check-out Spa and wellness centre Soundproof rooms Hiking Cycling Heating wifi Ski storage Free WiFi Non-smoking throughout vending machine (drinks) Daily housekeeping parking on site wifi available in all areas Street parking Accessible parking 24-hour security Key card access Security alarm Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed,47.11782|9.54501,+4232625777,9497,https://www.booking.com/hotel/li/hotel-oberland.html
LI,Liechtenstein,146278,Liechtenstein,1095133,Hotel Meierhof,ThreeStar,Meierhofstrasse 15 9495 Triesen ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Liechtenstein National Museum - 2.1 km / 1.3 mi <br /> Liechtenstein Art Museum - 2.1 km / 1.3 mi <br /> Kunstmuseum Liechtenstein - 2.2 km / 1.4 mi <br /> Red House - 2.8 km / 1.8 mi <br /> Rheinpark Stadium - 2.8 km / 1.8 mi <br /> Vaduz Castle - 3.2 km / 2 mi <br /> Hocheck Ski Lift - 12 km / 7.5 mi <br /> Malbun Ski Resort - 13.8 km / 8.6 mi <br /> Lampart Winery - 15.3 km / 9.5 mi <br /> Churer Gate - 16.1 km / 10 mi <br /> Katzen Tower - 16.3 km / 10.1 mi <br /> Cathedral of St. Nikolaus - 16.5 km / 10.2 mi <br /> Radiomuseum - 16.8 km / 10.4 mi <br /> Marktgasse - 16.8 km / 10.4 mi <br /> Wildpark Feldkirch - 17.5 km / 10.9 mi <br /> </p><p>The nearest airports are:<br />Altenrhein (ACH-St. Gallen - Altenrhein) - 52.9 km / 32.8 mi<br /> Zurich (ZRH) - 120 km / 74.6 mi<br /> </p><p>The preferred airport for Hotel Meierhof is Zurich (ZRH). </p>,"<p>HeadLine : Near Vaduz Castle</p><p>Location : With a stay at Hotel Meierhof in Triesen, you ll be within a 10-minute drive of Vaduz Castle and Liechtenstein Art Museum.  This hotel is 19.6 mi (31.5 km) from Flumserberg and 1.3 mi (2.1 km) from Liechtenstein National Museum.</p><p>Rooms : Make yourself at home in one of the 43 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have bathtubs or showers and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Hotel Meierhof. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served on weekdays from 6:30 AM to 9:30 AM and on weekends from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul> Guests must contact this property in advance to reserve a crib (infant bed)/rollaway bed/sofa bed. Contact the property using the information on the reservation confirmation received after booking.</p>",+4233990088,Express check-in Number of meeting rooms - 2 Bar/lounge Luggage storage Coffee/tea in common areas Elevator/lift Fitness facilities Snack bar/deli Reception hall Free breakfast Free self parking Free WiFi Smoke-free property,47.12241|9.52888,423-399-0011,9495,http://www.meierhof.li
LI,Liechtenstein,146278,Liechtenstein,1155437,Hotel Walserhof,All,Stubistrasse 4  ,,"Situated in Malbun, Walserhof features a terrace.

All units have a kitchen, a private bathroom and a balcony with views of mountain. There is a seating and a dining area in all units.

Skiing can be enjoyed nearby. This property will not accommodate hen, stag or similar parties.",,Restaurant Garden Terrace Non-smoking rooms Heating Skiing wifi internet services Ski school Hiking Free WiFi Cycling Non-smoking throughout Sun terrace Ski pass vendor Ski-to-door access minimarket on site wifi available in all areas Kid meals Walking tours Bike tours Fire extinguishers,47.10026|9.6088,,9497,https://www.booking.com/hotel/li/walserhof.html
