countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
MN,Mongolia,139597,Terelj,1173874,Terelj Hotel,FiveStar,Gorkhi-Terelj National Park  ,,"Terelj Hotel & Spa features a garden, shared lounge, a terrace and bar in Ulaanbaatar. Providing a restaurant, the property also has a fitness centre, as well as an indoor pool and a sauna. The accommodation provides a kids club, room service and currency exchange for guests.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Selected rooms are equipped with a kitchen with a fridge, a dishwasher and an oven. At Terelj Hotel & Spa each room comes with bed linen and towels.

A Full English/Irish, American or Asian breakfast is available daily at the property.

The accommodation offers 5-star accommodation with a hot tub and childrens playground. You can play table tennis, darts and tennis at this 5-star hotel, and the area is popular for hiking and fishing.

There is an on-site snack bar and guests can also make use of the business area. Speaking English, Korean, Russian and Filipino, staff will be happy to provide guests with practical guidance on the area at the reception.

The nearest airport is Buyant-Ukhaa International Airport, 79 km from Terelj Hotel & Spa.",,Currency exchange Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Fishing Business centre babysitting/child services Laundry Family rooms Games room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Spa and wellness centre Massage children's playground Table tennis Karaoke Darts Hot tub/jacuzzi Canoeing Hiking Cycling Tour desk Heating Horse riding Luggage storage wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning Snack Bar Sun terrace indoor pool (all year) concierge service Private check-in/check-out Trouser press Lockers shared lounge/TV area kids' club Daily housekeeping parking on site wifi available in all areas airport pick up airport drop off Fitness Swimming pool Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers thermometers for guests provided by property face masks for guests available,47.98835|107.46201,,211213,https://www.booking.com/hotel/mn/terelj-mongolia.html
MN,Mongolia,141090,Ulan Bator,1035693,Best Western Gobi's Kelso,ThreeStar,"Bayangol, 4Th Khoroo, Jasrai Street, 27/1 Jasrai street 27/1Ulaanbaatar ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>KHANBURGEDEI Center - 0.3 km / 0.2 mi <br /> Hunting Museum - 2.2 km / 1.4 mi <br /> Four Holy Peaks - 2.3 km / 1.4 mi <br /> Manzshir  museum - 2.3 km / 1.4 mi <br /> National Railway Museum - 2.5 km / 1.5 mi <br /> Gandantegchinlen Monastery - 2.5 km / 1.6 mi <br /> Temple of Boddhisattva Avalokiteshvara - 2.7 km / 1.7 mi <br /> Golden Temple - 2.7 km / 1.7 mi <br /> Bakula Rinpoche Süm - 2.8 km / 1.7 mi <br /> Damdin Sükhbaatar Statue - 2.9 km / 1.8 mi <br /> Nicholas Roerich Shambhala Museum - 2.9 km / 1.8 mi <br /> Wildlife Museum - 2.9 km / 1.8 mi <br /> Ulaanbaatar Opera House - 3.2 km / 2 mi <br /> The Fine Arts Zanabazar Museum - 3.2 km / 2 mi <br /> Central Museum of Mongolian Dinosaurs - 3.2 km / 2 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 46.5 km / 28.9 mi</p>,"<p>HeadLine : In Ulaanbaatar (Downtown Ulaanbaatar)</p><p>Location : A stay at Gobi s Kelso places you in the heart of Ulaanbaatar, just a 3-minute walk from KHANBURGEDEI Center and within a 5-minute drive of Four Holy Peaks.  This hotel is 1.3 mi (2.1 km) from Hunting Museum and 1.4 mi (2.3 km) from Manzshir, museum.</p><p>Rooms : Make yourself at home in one of the 15 individually decorated guestrooms, featuring refrigerators and LCD televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Kelso, a restaurant which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 7:00 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",976-77363639,Wheelchair accessible  no Luggage storage Express check-out Express check-in Billiards or pool table Multilingual staff Business center Number of meeting rooms - 1 24-hour front desk Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Safe-deposit box at front desk Smoke-free property Internet access in public areas - high speed Laundry facilities Tours/ticket assistance Free self parking Airport transportation - pickup (surcharge),47.910374|106.877111,976-77363636,16051,https://www.bestwestern.com/en_US/book/hotels-in-ulaanbaatar/best-western-gobi-s-kelso/
MN,Mongolia,141090,Ulan Bator,1058313,Zaya Hostel,All,"Peace Avenue, Building 63 #12, Sukhbaatar duuref 4-r Khoroo 50myangat horoolol (+97699089478)  ",,"Zaya Hostel is located in Ulaanbaatar. Each room here will provide you with a seating area. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries. You can enjoy city view and garden view from the room. Extras include a desk, ironing facilities and a fan.

At Zaya Hostel you will find a shared kitchen. Other facilities offered at the property include a shared lounge, a games room and a ticket service.

The hostel is 600 metres from Ulaanbaatar Opera House, 1.1 km from National Museum of Mongolian History and 1.2 km from Chinggis Khan Statue. Chinggis Khaan International Airport is 13 km away.",,vending machine (drinks) vending machine (snacks) airport shuttle (additional charge) Shared kitchen Lockers shared lounge/TV area wifi available in all areas Public transport tickets airport pick up airport drop off Shuttle service Walking tours Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Pets allowed 24-hour front desk Non-smoking rooms Airport shuttle Laundry Games room internet services Safety Deposit Box Currency exchange Car hire Tour desk Luggage storage wifi Free WiFi Non-smoking throughout shuttle service (additional charge),47.9164|106.90177,,001976,https://www.booking.com/hotel/mn/zaya-guest-house-ulaanbaatar5.html
MN,Mongolia,141090,Ulan Bator,1080125,Kaiser,ThreeStar,Peace Avenue 10 2B 1St Khoroo Sukhbaatar District 212513  ,,"Located at the central area of Ulaanbaatar, Kaiser Hotel is an 8-minute walking away from Parliament House of Mongolia and Sukhbaatar Square. Renovated in April 2013, it provides homely accommodation with free Wi-Fi in all areas. The hotel provides airport shuttle services at an extra charge.

Kaiser Hotel is 1.5 km to the Natural History Museum of Mongolia and 5 km from Ulaanbaatar Train Station. Chinggis Khaan International Airport is 15 km away.

Rooms at Kaiser are equipped with a TV and minibar. En suite bathrooms come with a shower and toiletries.

Guests can play a game of billiards or make sightseeing and ticketing arrangements at the tour desk. Laundry services are available. Free private parking is possible on site.

A variety of European and Mongolian dishes are provided at the restaurant of Kaiser. Breakfast can be enjoyed in the rooms as well.",(976) 11315422,express check-in/check-out Safety Deposit Box Currency exchange Billiards Soundproof rooms Hiking Packed lunches Tour desk Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area Sun terrace shuttle service (additional charge) airport shuttle (additional charge) Shared kitchen Lockers shared lounge/TV area parking on site Private parking board games/puzzles secured parking Street parking Wine/champagne Fruits airport pick up airport drop off coffee house on site Outdoor furniture Shuttle service Pub crawls Walking tours Bike tours 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed first aid kit available contactless check-in/check-out cashless payment available Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry Family rooms Games room physical distancing rules followed mobile app for room service property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available breakfast in the room Ironing service Free parking internet services,47.91632|106.92736,(976) 11315424,212513,https://www.booking.com/hotel/mn/kaiser-ulaanbaatar.html
MN,Mongolia,141090,Ulan Bator,1112975,The Blue Sky Hotel And Tower,FourStar,"Peace Avenue 17Sukhbaatar District1st Quarter Sukhbaatar District, 1 Khoroo Peace Avenue 17Sukhbaatar DistrictUlaanbaatar 212513 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mongolian Artists Exhibition Hall - 0.2 km / 0.1 mi <br /> Ministry of Foreign Affairs - 0.2 km / 0.1 mi <br /> Central Tower - 0.2 km / 0.1 mi <br /> Chinggis Khan Garden - 0.3 km / 0.2 mi <br /> Statue of Zorig - 0.3 km / 0.2 mi <br /> Sükhbaatar Square - 0.3 km / 0.2 mi <br /> Ministry of Health - 0.3 km / 0.2 mi <br /> Memorial Museum of Victims of Political Persecution - 0.4 km / 0.2 mi <br /> Lenin Statue - 0.4 km / 0.3 mi <br /> National Academic Theatre of Opera and Ballet of Mongolia - 0.4 km / 0.3 mi <br /> Government Palace - 0.5 km / 0.3 mi <br /> Chinggis Khan Statue - 0.5 km / 0.3 mi <br /> Embassy of Bulgaria - 0.6 km / 0.4 mi <br /> Embassy of Japan - 0.6 km / 0.4 mi <br /> Choijin Lama Monastery - 0.6 km / 0.4 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 47.8 km / 29.7 mi</p>,"<p>HeadLine : In Ulaanbaatar (Downtown Ulaanbaatar)</p><p>Location : A stay at Blue Sky Hotel & Tower places you in the heart of Ulaanbaatar, steps from Mongolian Artists Exhibition Hall and Ministry of Foreign Affairs.  This 4.5-star hotel is 0.1 mi (0.2 km) from Central Tower and 0.1 mi (0.2 km) from Sükhbaatar Square.</p><p>Rooms : Make yourself at home in one of the 200 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature spring water baths and complimentary toiletries. Conveniences include safes and desks, as well as phones with free international calls.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 6:30 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",976-70100202,Gift shops or newsstand Dry cleaning/laundry service Banquet hall Ballroom RV  bus  truck parking (surcharge) Parking (limited spaces) Meeting rooms Karaoke Free WiFi Number of bars/lounges - 1 Number of spa tubs - 3 In-room accessibility (in select rooms) Wheelchair accessible parking Wedding services Tours/ticket assistance Airport transportation (surcharge) Luggage storage Multilingual staff Business center 24-hour front desk Conference center Breakfast available (surcharge) Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Sauna elevator Free self parking Fitness facilities Offsite parking reservations required Hair salon Terrace ATM/banking Concierge services,47.916831|106.918499,976-701-00505,14240,http://www.blueskytower.mn
MN,Mongolia,141090,Ulan Bator,1162545,Ramada Ulaanbaatar Citycenter,FourStar,Bayangol District 17Th Khoroo Gandan Peace Avenue 35 1 Gandan Peace Avenue 35/1 Bayangol District17th Khoroo GandanUlaanbaatar ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hunting Museum - 0.6 km / 0.4 mi <br /> Gandantegchinlen Monastery - 0.9 km / 0.6 mi <br /> Temple of Boddhisattva Avalokiteshvara - 1.1 km / 0.7 mi <br /> Golden Temple - 1.1 km / 0.7 mi <br /> Bakula Rinpoche Süm - 1.2 km / 0.7 mi <br /> KHANBURGEDEI Center - 1.3 km / 0.8 mi <br /> Ulaanbaatar Opera House - 1.6 km / 1 mi <br /> The Fine Arts Zanabazar Museum - 1.6 km / 1 mi <br /> Gesar Süm - 1.6 km / 1 mi <br /> Central Museum of Mongolian Dinosaurs - 1.7 km / 1 mi <br /> Red Ger Art Gallery - 1.7 km / 1 mi <br /> Statue of Zorig - 1.9 km / 1.2 mi <br /> National Railway Museum - 2 km / 1.2 mi <br /> Mongolian Artists Exhibition Hall - 2 km / 1.2 mi <br /> National Academic Theatre of Opera and Ballet of Mongolia - 2 km / 1.3 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 46.4 km / 28.8 mi</p>,"<p>HeadLine : In Ulaanbaatar (Downtown Ulaanbaatar)</p><p>Location : A stay at Ramada by Wyndham Ulaanbaatar Citycenter places you in the heart of Ulaanbaatar, within a 15-minute walk of Hunting Museum and Gandantegchinlen Monastery.  This 4-star hotel is 0.7 mi (1.1 km) from Golden Temple and 0.8 mi (1.3 km) from Temple of Boddhisattva Avalokiteshvara.</p><p>Rooms : Make yourself at home in one of the 124 air-conditioned rooms featuring minibars. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, Hansang, or stay in and take advantage of the room service (during limited hours). A complimentary buffet breakfast is served on weekdays from 7:00 AM to 10:00 AM and on weekends from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",976-1-7010 7777,Gift shops or newsstand Dry cleaning/laundry service Shopping on site Wheelchair accessible Newspapers in lobby (surcharge) Parking (limited spaces) Express check-in Number of meeting rooms - 2 Conference space size (meters) - 110 Television in common areas Free WiFi Spa treatment room(s) Designated smoking areas Garden Wheelchair accessible parking Wedding services Tours/ticket assistance Shopping mall on site Free Buffet Breakfast Rooftop terrace Airport transportation (surcharge) Accessible airport shuttle Wheelchair accessible  no Luggage storage Free breakfast Express check-out Grocery/convenience store Multilingual staff Business center 24-hour front desk Daily Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Steam room elevator Free self parking Conference space Hair salon Computer station Terrace ATM/banking Conference space size (feet) - 1184 Concierge services,47.915585|106.89127,976-7014-1111,211238,http://www.ramadaub.mn/
MN,Mongolia,141090,Ulan Bator,1164323,Kempinski Hotel Khan Palace,FiveStar,East Cross Road Peace Avenue Bayanzurkh District Peace AvenueBayanzurkh DistrictUlaanbaatar ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>International Intellectual Museum - 0.4 km / 0.2 mi <br /> Ulaanbaatar City Museum - 0.7 km / 0.4 mi <br /> Lenin Statue - 1.7 km / 1 mi <br /> Ministry of Foreign Affairs - 1.8 km / 1.1 mi <br /> Dunjingarav Shopping Mall - 1.9 km / 1.2 mi <br /> Embassy of the Czech Republic - 1.9 km / 1.2 mi <br /> Central Tower - 1.9 km / 1.2 mi <br /> Sükhbaatar Square - 2 km / 1.2 mi <br /> Mogolian National Modern Art Gallery - 2 km / 1.3 mi <br /> Chinggis Khan Garden - 2 km / 1.3 mi <br /> Memorial Museum of Victims of Political Persecution - 2.1 km / 1.3 mi <br /> Mongolian Artists Exhibition Hall - 2.2 km / 1.3 mi <br /> Embassy of Bulgaria - 2.2 km / 1.3 mi <br /> Ministry of Health - 2.2 km / 1.3 mi <br /> Embassy of Japan - 2.2 km / 1.4 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 50.2 km / 31.2 mi</p>,"<p>HeadLine : Near International Intellectual Museum</p><p>Location : With a stay at Kempinski Hotel Khan Palace in Ulaanbaatar (Downtown Ulaanbaatar), you ll be within a 5-minute drive of Sükhbaatar Square and The Fine Arts Zanabazar Museum.  This 5-star hotel is 2 mi (3.2 km) from National Academic Theatre of Opera and Ballet of Mongolia and 2.9 mi (4.6 km) from Gandantegchinlen Monastery.</p><p>Rooms : Make yourself at home in one of the 99 individually furnished guestrooms, featuring minibars and LCD televisions. Your bed comes with down comforters and Egyptian cotton sheets. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads.</p><p>Dining : Grab a bite at KK Tapas and Grill Lounge, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>This property uses eco-friendly cleaning products</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport and train station (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests will receive an email 24 hours before arrival with check-in instructions. Front desk staff will greet guests on arrival.</p>",97-61-1463464,Dry cleaning/laundry service Train station pickup (surcharge) Proposal/romance packages available Eco-friendly cleaning products used Lockers available Conference space size (meters) - 264 Free wired Internet Limo or Town Car service available Free WiFi Number of bars/lounges - 1 Designated smoking areas In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) Eco-friendly toiletries LED light bulbs Multilingual staff Conference center Breakfast available (surcharge) Laundry facilities elevator Fitness facilities secured parking Uncovered parking Banquet hall Wheelchair accessible Express check-in Meeting rooms Change of bed sheets (on request) Television in common areas Train station drop-off (surcharge) Spa treatment room(s) Change of towels (on request) Free newspapers in lobby Full-service spa Wedding services 24-hour fitness facilities Shopping mall on site Designer stores on site Luggage storage Express check-out Porter/bellhop Business center 24-hour front desk Golfing nearby Spa services on site Safe-deposit box at front desk Snack bar/deli Sauna Steam room Free self parking Conference space Computer station Wheelchair accessible path of travel Conference space size (feet) - 2842 Concierge services 24-hour business center,47.919647|106.9431,976-114-63463,210646,http://www.kempinski.com/ulaanbaatar
MN,Mongolia,141090,Ulan Bator,1173874,Terelj Hotel,FiveStar,Gorkhi-Terelj National Park  ,,"Terelj Hotel & Spa features a garden, shared lounge, a terrace and bar in Ulaanbaatar. Providing a restaurant, the property also has a fitness centre, as well as an indoor pool and a sauna. The accommodation provides a kids club, room service and currency exchange for guests.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Selected rooms are equipped with a kitchen with a fridge, a dishwasher and an oven. At Terelj Hotel & Spa each room comes with bed linen and towels.

A Full English/Irish, American or Asian breakfast is available daily at the property.

The accommodation offers 5-star accommodation with a hot tub and childrens playground. You can play table tennis, darts and tennis at this 5-star hotel, and the area is popular for hiking and fishing.

There is an on-site snack bar and guests can also make use of the business area. Speaking English, Korean, Russian and Filipino, staff will be happy to provide guests with practical guidance on the area at the reception.

The nearest airport is Buyant-Ukhaa International Airport, 79 km from Terelj Hotel & Spa.",,Currency exchange Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Fishing Business centre babysitting/child services Laundry Family rooms Games room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Spa and wellness centre Massage children's playground Table tennis Karaoke Darts Hot tub/jacuzzi Canoeing Hiking Cycling Tour desk Heating Horse riding Luggage storage wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning Snack Bar Sun terrace indoor pool (all year) concierge service Private check-in/check-out Trouser press Lockers shared lounge/TV area kids' club Daily housekeeping parking on site wifi available in all areas airport pick up airport drop off Fitness Swimming pool Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers thermometers for guests provided by property face masks for guests available,47.98835|107.46201,,211213,https://www.booking.com/hotel/mn/terelj-mongolia.html
MN,Mongolia,141090,Ulan Bator,1226707,Ulaanbaatar Hotel,FourStar,Sukhbaatar Square 14 Ulaanbaatar 210645 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lenin Statue - 0.1 km / 0.1 mi <br /> Central Tower - 0.3 km / 0.2 mi <br /> Ministry of Foreign Affairs - 0.4 km / 0.3 mi <br /> Chinggis Khan Garden - 0.5 km / 0.3 mi <br /> Mogolian National Modern Art Gallery - 0.5 km / 0.3 mi <br /> Sükhbaatar Square - 0.5 km / 0.3 mi <br /> Embassy of Japan - 0.6 km / 0.4 mi <br /> Memorial Museum of Victims of Political Persecution - 0.6 km / 0.4 mi <br /> Mongolian Artists Exhibition Hall - 0.6 km / 0.4 mi <br /> Ministry of Health - 0.7 km / 0.4 mi <br /> Statue of Zorig - 0.7 km / 0.4 mi <br /> Government Palace - 0.8 km / 0.5 mi <br /> Chinggis Khan Statue - 0.8 km / 0.5 mi <br /> Wedding Palace - 0.9 km / 0.6 mi <br /> National University of Mongolia - 0.9 km / 0.6 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 47.9 km / 29.7 mi</p>,"<p>HeadLine : In Ulaanbaatar (Downtown Ulaanbaatar)</p><p>Location : A stay at Ulaanbaatar Hotel places you in the heart of Ulaanbaatar, steps from Lenin Statue and 4 minutes by foot from Central Tower.  This 4.5-star hotel is 0.2 mi (0.3 km) from Sükhbaatar Square and 0.3 mi (0.5 km) from Mogolian National Modern Art Gallery.</p><p>Rooms : Make yourself at home in one of the 110 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and bathrobes. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Continental breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",976-70114666,Dry cleaning/laundry service Free WiFi Self parking (surcharge) Sauna Smoke-free property Number of coffee shops/cafes - 1 Safe-deposit box at front desk Spa services on site Luggage storage Wheelchair accessible  no Breakfast available (surcharge) Concierge services Banquet hall Laundry facilities Airport transportation Accessible bathroom In-room accessibility Airport transportation (surcharge) Free newspapers in lobby elevator Fitness facilities 24-hour front desk Business center Meeting rooms Tours/ticket assistance,47.918613|106.922771,+97611320620,14200,http://www.ubhotel.mn/
MN,Mongolia,141090,Ulan Bator,1226708,Mika Hotel,ThreeStar,"Foriegn Embassy's Street 12A 1st Khoroo, Sukhbaatar District 1st KhorooPO Box 981Ulaanbaatar 211213 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Embassy of the Czech Republic - 0.1 km / 0.1 mi <br /> Embassy of Japan - 0.2 km / 0.1 mi <br /> Embassy of Bulgaria - 0.4 km / 0.2 mi <br /> Memorial Museum of Victims of Political Persecution - 0.5 km / 0.3 mi <br /> Ministry of Health - 0.5 km / 0.3 mi <br /> Wedding Palace - 0.6 km / 0.4 mi <br /> Choijin Lama Monastery - 0.7 km / 0.4 mi <br /> Ministry of Foreign Affairs - 0.7 km / 0.4 mi <br /> Central Tower - 0.8 km / 0.5 mi <br /> Sükhbaatar Square - 0.9 km / 0.5 mi <br /> Chinggis Khan Garden - 0.9 km / 0.5 mi <br /> Lenin Statue - 0.9 km / 0.6 mi <br /> Mongolian Artists Exhibition Hall - 1 km / 0.6 mi <br /> Statue of Zorig - 1 km / 0.7 mi <br /> Mogolian National Modern Art Gallery - 1.1 km / 0.7 mi <br /> </p><p>The nearest major airport is Ulaanbaatar (UBN-Chinggis Khaan Intl.) - 47.6 km / 29.5 mi</p>,"<p>HeadLine : In Ulaanbaatar (Downtown Ulaanbaatar)</p><p>Location : With a stay at Mika Hotel in Ulaanbaatar (Downtown Ulaanbaatar), you ll be steps from Embassy of the Czech Republic and Embassy of Japan.  This hotel is 0.1 mi (0.2 km) from Embassy of Bulgaria and 0.3 mi (0.5 km) from Memorial Museum of Victims of Political Persecution.</p><p>Rooms : Make yourself at home in one of the 30 guestrooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and slippers. Conveniences include phones, as well as electric kettles and blackout drapes/curtains.</p><p>Dining : Grab a bite at Tandoor Indian Restaurant, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Continental breakfasts are available daily from 8:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",976-976-99049314,Luggage storage Business center 24-hour front desk Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Garden Safe-deposit box at front desk Picnic area Smoke-free property Laundry facilities Roll-in shower (in select rooms) Accessible bathroom (in select rooms) elevator Free self parking,47.914551|106.925795,976-990-49314,976981,http://www.mika.mn/pages/eng/hotel/hotel.html
