countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
MA,Morocco,100349,Afourer,1224821,Chems Le Tazarkount,FourStar,Bp 54 Afourer Centre BP 5422050 AfourerAfourer Centre ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Higher Institute of Applied Technology - 24.4 km / 15.2 mi <br /> Ouzoud Waterfall - 26.6 km / 16.5 mi <br /> Ain Asserdoun - 27.6 km / 17.2 mi <br /> Kasbah Ras el Ain - 27.9 km / 17.4 mi <br /> Bine El Ouidane Dam - 31.6 km / 19.7 mi <br /> </p><p>The nearest major airport is Beni Mellal (BEM) - 34.6 km / 21.5 mi</p>,"<p>HeadLine : In Afourer</p><p>Location : With a stay at Chems Le Tazarkount in Afourer, you ll be 15.2 mi (24.4 km) from Higher Institute of Applied Technology and 16.5 mi (26.6 km) from Ouzoud Waterfall.  This 4-star hotel is 17.2 mi (27.6 km) from Ain Asserdoun and 17.4 mi (27.9 km) from Kasbah Ras el Ain.</p><p>Rooms : Make yourself at home in one of the 135 guestrooms featuring minibars. Satellite television is provided for your entertainment. Bathrooms have bathtubs and complimentary toiletries. Conveniences include safes and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 6:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and onsite parking</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",212-212-523440094,Number of coffee shops/cafes - 1 Laundry facilities elevator Terrace Concierge services Designated smoking areas Health club Number of bars/lounges - 1 Free WiFi Swimming pool Number of meeting rooms - 1 Express check-in Snack bar/deli Safe-deposit box at front desk Turkish bath/Hammam Spa services on site Barbecue grill(s) Daily 24-hour front desk Indoor tennis courts - 1 Free breakfast Luggage storage Wheelchair accessible  no Airport transportation (surcharge) Free Buffet Breakfast Free newspapers in lobby In-room accessibility (in select rooms) Garden Number of outdoor pools - 1,32.217893|-6.533719,212-212-523440101,22050,http://www.tazarkount.com
MA,Morocco,100779,Agadir,1003492,Riu Tikida Dunas,FourStar,Chemin Des Dunes B.P. 901 B.P. 90180000 Agadir ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Agadir Beach - 0.3 km / 0.2 mi <br /> Casino Le Mirage - 1 km / 0.6 mi <br /> Royal Palace - 1.3 km / 0.8 mi <br /> Agadir Open Air Theatre - 2.2 km / 1.4 mi <br /> Stade Al Inbiaate - 2.3 km / 1.4 mi <br /> Vallee de Oiseaux - 2.3 km / 1.5 mi <br /> Musee du Patrimoine Amazigh - 2.4 km / 1.5 mi <br /> Shems Casino - 2.8 km / 1.7 mi <br /> Club Royal de Tennis - 2.8 km / 1.7 mi <br /> Souk El Had - 2.8 km / 1.8 mi <br /> Synagogue - 3 km / 1.9 mi <br /> House of Activities Association Club - 3.1 km / 1.9 mi <br /> Golf Club Med les Dunes - 3.3 km / 2.1 mi <br /> St. Anne s Church - 3.4 km / 2.1 mi <br /> New Mosque - 3.4 km / 2.1 mi <br /> </p><p>The preferred airport for Riu Tikida Dunas - All Inclusive is Al Massira Airport (AGA) - 22.8 km / 14.2 mi </p>,"<p>HeadLine : Near Souk El Had</p><p>Location : With a stay at Riu Tikida Dunas - All Inclusive in Agadir (Agadir City Center), you ll be a 3-minute walk from Agadir Beach and 11 minutes by foot from Casino Le Mirage.  This 4-star property is 3 mi (4.9 km) from Agadir Marina and 2.8 mi (4.5 km) from Souk El Had.</p><p>Rooms : Make yourself at home in one of the 406 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and hair dryers.</p><p>Dining : This property is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Satisfy your appetite at Tamaris, one of the property s 4 restaurants. Relax with a refreshing drink from the poolside bar or one of the 4 bars/lounges. A complimentary buffet breakfast is served daily from 7:30 AM to 10:30 AM. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards, debit cards, and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.  This property does not permit name changes on reservations. The name on the booking must match the name of the guest who is checking in and staying at the property; photo ID is required.</p>",216-72-266 959,Free self parking Children's pool Smoke-free property Turkish bath/Hammam Spa services on site Golfing nearby Daily Playground on site Evening entertainment Concerts/live shows 24-hour front desk Multilingual staff Billiards or pool table Outdoor tennis courts - 2 Free breakfast Wheelchair accessible  no Free Buffet Breakfast Fitness classes on site Bicycle rentals nearby Garden Number of indoor pools - 1 Number of outdoor pools - 3 Number of poolside bars - 1 Number of bars/lounges - 4 Free WiFi Karaoke Nightclub Pool umbrellas Babysitting or childcare (surcharge) Beach umbrellas Uncovered parking Beach volleyball on site Dry cleaning/laundry service Gift shops or newsstand Pool sun loungers Basketball on site Terrace Beach sun loungers Tennis on site Hair salon Fitness facilities Children's club (free),30.398438|-9.597658,212-528-849 090,80000,http://www.riu.com/en/hotel/morocco/agadir/clubhotel-riu-tikida-dunas/index.jsp
MA,Morocco,100779,Agadir,1013504,Sofitel Agadir Royal Bay Resort,FiveStar,BP 226 Cité Founty P4 Baie Des Palmiers Baie des Palmiers80007 AgadirCommune de Bensergao ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Agadir Beach - 0.4 km / 0.2 mi <br /> Casino Le Mirage - 1.6 km / 1 mi <br /> Royal Palace - 2.1 km / 1.3 mi <br /> Agadir Open Air Theatre - 3.1 km / 1.9 mi <br /> Souk El Had - 3.1 km / 1.9 mi <br /> Stade Al Inbiaate - 3.1 km / 1.9 mi <br /> Musee du Patrimoine Amazigh - 3.3 km / 2 mi <br /> House of Activities Association Club - 3.3 km / 2.1 mi <br /> Synagogue - 3.7 km / 2.3 mi <br /> Club Royal de Tennis - 3.7 km / 2.3 mi <br /> Vallee de Oiseaux - 3.7 km / 2.3 mi <br /> Shems Casino - 3.8 km / 2.4 mi <br /> St. Anne s Church - 4.1 km / 2.6 mi <br /> New Mosque - 4.1 km / 2.6 mi <br /> Mohamed V Mosque - 4.1 km / 2.6 mi <br /> </p><p>The preferred airport for Sofitel Agadir Royal Bay Resort is Agadir (AGA-Al Massira) - 22.3 km / 13.9 mi </p>,"<p>HeadLine : Near Souk El Had</p><p>Location : With a stay at Sofitel Agadir Royal Bay Resort in Agadir (Agadir Bay), you ll be a 2-minute drive from Casino Le Mirage and 8 minutes from Stade Al Inbiaate.  This 5-star hotel is 3.6 mi (5.8 km) from Royal Palace and 4.6 mi (7.4 km) from Golf Club Med les Dunes.</p><p>Rooms : Make yourself at home in one of the 273 guestrooms featuring minibars and LCD televisions. Your bed comes with premium bedding, and all rooms are furnished with sofa beds. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Private bathrooms have deep soaking bathtubs and complimentary toiletries.</p><p>Dining : All-inclusive rates are available at this hotel. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite at La Nasse, one of the hotel s 4 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/café. Relax with a refreshing drink from the poolside bar or one of the 3 bars/lounges. Buffet breakfasts are available for a fee. </p></p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",212-528-820 033,Multilingual staff Free newspapers in lobby Full-service spa Number of bars/lounges - 3 Coffee/tea in common areas Tennis on site One meeting room Airport transportation Pool umbrellas Designated smoking areas Shopping on site Gift shops or newsstand Concierge services ATM/banking Hair salon Airport transportation - pickup (surcharge) Luggage storage Terrace On private beach Outdoor pool Dry cleaning/laundry service Free self parking Express check-out Porter/bellhop Turkish bath/Hammam Business center Poolside bar 24-hour front desk Fitness facilities elevator Use of nearby fitness center (discount) Express check-in Library Garden In-room accessibility Arcade/game room Wheelchair accessible parking Roll-in shower Accessible bathroom Television in common areas Beach towels Wheelchair accessible path of travel Laundry facilities Breakfast available (surcharge) Spa services on site Children's pool Supervised childcare/activities (surcharge) Nightclub Children's club (free) Babysitting or childcare (surcharge) Health club Sauna Pool sun loungers Free WiFi Steam room Beach sun loungers Free pool cabanas Coffee shop or café Free beach cabanas Spa treatment room(s) Conference space Beach umbrellas,30.39312|-9.59614,212-528-849 200,80 007,https://www.accorhotels.com/gb/hotel-5707-sofitel-agadir-royal-bay-resort/index.shtml
MA,Morocco,100779,Agadir,1015782,Louban,TwoStar,Avenue Prince Heritier Agadir ,,"Located in Agadir, Hôtel Residence Louban offers self-catering apartments just a 10-minute walk from the beach. It features an outdoor swimming pool and a snack bar. Wi-Fi access is available in all areas.

All of the apartments at Hôtel Residence Louban have a seating area, a balcony and a private bathroom with shower.

Guests can prepare meals using the provided kitchen with dining area. Snacks and light meals are available at the snack bar.

The harbour of Agadir is 4 km away. Please inform Hôtel Residence Louban in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Room service 24-hour front desk Terrace Family rooms Breakfast service Internet access Fax/photocopying Free WiFi Free WiFi Designated smoking areas Terrace Outdoor pool Bikes available (free) Television in common areas Daily housekeeping Street parking,30.41926|-9.59971,,80000,https://www.booking.com/hotel/ma/residence-louban.html
MA,Morocco,100779,Agadir,1016278,Club Med Agadir,ThreeStar,"Chemin Oued Souss , AGADIR ",,This comfortable hotel is situated in Agadir. The property comprises a total of 374 snug bedrooms. Pets are not allowed at Club Med Agadir.,+212528842444,Hotel,30.41214|-9.60277,+425057671944,80000,http://www.clubmed.de/cm/villagesOption.do?CODRUB=8&amp;CODDOA=000002&amp;CODPER=11H&amp;CODLSC=AGAC
MA,Morocco,100779,Agadir,1017684,Omega Hotel,ThreeStar,G 11 Lotissement Sonaba Agadir ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Agadir Beach - 0.7 km / 0.4 mi <br /> Casino Le Mirage - 1.5 km / 0.9 mi <br /> Royal Palace - 1.5 km / 0.9 mi <br /> Agadir Open Air Theatre - 2.5 km / 1.6 mi <br /> Vallee de Oiseaux - 2.7 km / 1.7 mi <br /> Stade Al Inbiaate - 2.7 km / 1.7 mi <br /> Musee du Patrimoine Amazigh - 2.8 km / 1.7 mi <br /> Souk El Had - 2.9 km / 1.8 mi <br /> Golf Club Med les Dunes - 3 km / 1.9 mi <br /> Shems Casino - 3.2 km / 2 mi <br /> Club Royal de Tennis - 3.2 km / 2 mi <br /> House of Activities Association Club - 3.2 km / 2 mi <br /> Synagogue - 3.3 km / 2.1 mi <br /> St. Anne s Church - 3.7 km / 2.3 mi <br /> New Mosque - 3.7 km / 2.3 mi <br /> </p><p>The preferred airport for Omega Hotel Agadir is Al Massira Airport (AGA) - 29.4 km / 18.2 mi </p>,"<p>HeadLine : In Agadir (Agadir City Center)</p><p>Location : Located in Agadir (Agadir City Center), Omega Hotel Agadir is within a 5-minute drive of Agadir Beach and Casino Le Mirage.  This hotel is 6.6 mi (10.6 km) from Agadir Marina and 2.5 mi (4 km) from Souk El Had.</p><p>Rooms : Make yourself at home in one of the 96 air-conditioned rooms featuring minibars and LCD televisions. Cable television is provided for your entertainment. Bathrooms have bathtubs and complimentary toiletries. Conveniences include phones and safes, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Al Jazeera Restaurant, a restaurant which features a bar/lounge, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",212-528-229784,Dry cleaning/laundry service Uncovered parking Wheelchair accessible (may have limitations) Private beach nearby Nightclub Number of meeting rooms - 1 Wheelchair-accessible path to elevator 24-hour front desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 Safe-deposit box at front desk Designated smoking areas (fines apply) Laundry facilities elevator Free self parking Terrace Pool sun loungers Concierge services,30.396277|-9.594463,212-528-229829,80000,http://omegahotel-agadir.com/
MA,Morocco,100779,Agadir,1022110,Jamal,ThreeStar,Boulevard Hassan II Agadir ,,"HOTEL KAMAL CITY CENTER features an outdoor swimming pool, garden, a shared lounge and terrace in Agadir. The property has a bar, as well as a restaurant serving French cuisine. The accommodation provides a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.

Guest rooms at the hotel are equipped with a seating area, a flat-screen TV with satellite channels and a private bathroom with free toiletries and a bidet. Each room is equipped with a safety deposit box, while some rooms are equipped with a balcony and others also offer city views. At HOTEL KAMAL CITY CENTER all rooms include bed linen and towels.

Guests at the accommodation can enjoy a continental or a halal breakfast.

Amazighe Heritage Museum is 600 metres from HOTEL KAMAL CITY CENTER, while Marina Agadir is 3 km away. The nearest airport is AgadirAl Massira Airport, 20 km from the hotel.",+212528843940,Parking Restaurant Room service Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry dry cleaning Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Massage Car hire Tour desk Fax/photocopying Horse riding Luggage storage wifi Pool Bar Shallow end Wine/champagne Fruits airport pick up airport drop off coffee house on site sun loungers or beach chairs Sun umbrellas Back massage Neck massage Foot massage Head massage Hand massage Full body massage kids' pool Swimming pool Shuttle service Live sport events (broadcast) 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Outdoor pool Free WiFi designated smoking area Snack Bar Sun terrace outdoor pool (all year) shuttle service (additional charge) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site wifi available in all areas Street parking Swimming pool,30.41973|-9.59889,+212528842817|+212528844149|+212528844489,80000,http://www.hotel-kamal.com/en
MA,Morocco,100779,Agadir,1029919,Allegro Agadir,FourStar,Bd Du 20 Août AgadirMorocco ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Agadir Open Air Theatre - 0.4 km / 0.2 mi <br /> Vallee de Oiseaux - 0.5 km / 0.3 mi <br /> Agadir Beach - 0.6 km / 0.4 mi <br /> Stade Al Inbiaate - 0.6 km / 0.4 mi <br /> Musee du Patrimoine Amazigh - 0.6 km / 0.4 mi <br /> Royal Palace - 0.7 km / 0.5 mi <br /> Casino Le Mirage - 1 km / 0.6 mi <br /> Shems Casino - 1 km / 0.6 mi <br /> Club Royal de Tennis - 1 km / 0.6 mi <br /> Synagogue - 1.2 km / 0.7 mi <br /> St. Anne s Church - 1.6 km / 1 mi <br /> Mohamed V Mosque - 1.6 km / 1 mi <br /> New Mosque - 1.6 km / 1 mi <br /> Jardin de Olhao - 1.6 km / 1 mi <br /> Mémoire dAgadir - 1.6 km / 1 mi <br /> </p><p>The preferred airport for Allegro Agadir is Al Massira Airport (AGA) - 24.2 km / 15 mi </p>,"<p>HeadLine : Near Vallee de Oiseaux</p><p>Location : With a stay at Allegro Agadir in Agadir (Agadir City Center), you ll be a 5-minute walk from Agadir Open Air Theatre and 6 minutes by foot from Vallee de Oiseaux.  This 4-star hotel is 0.3 mi (0.5 km) from Agadir Beach and 1.4 mi (2.2 km) from Agadir Marina.</p><p>Rooms : Make yourself at home in one of the 321 guestrooms featuring refrigerators. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : All-inclusive rates are available at this hotel. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>You can enjoy a meal at Restaurant serving the guests of Allegro Agadir, or stop in at the snack bar/deli. Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",212-528-840130,Gift shops or newsstand Shopping on site Parking (limited spaces) Pool umbrellas Number of meeting rooms - 2 Free WiFi Number of bars/lounges - 2 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Wheelchair-accessible on-site restaurant Golf lessons available nearby Outdoor tennis courts - 2 Multilingual staff Wheelchairs available on site Coffee/tea in common areas Laundry facilities elevator Children's club (free) Supervised childcare/activities (free) Basketball on site Wheelchair accessible (may have limitations) Beach umbrellas Express check-in Wheelchair-accessible van parking Wheelchair-accessible registration desk Television in common areas Wheelchair-accessible pool Wheelchair-accessible public washroom Well-lit path to entrance Garden Volleyball on site Luggage storage Express check-out Billiards or pool table 24-hour front desk Playground on site Golfing nearby Safe-deposit box at front desk Snack bar/deli Children's pool Free self parking Conference space Tennis on site Beach sun loungers Terrace Wheelchair accessible path of travel Pool sun loungers Concierge services,30.413898|-9.601107,212-522-208000,80000,https://www.barcelo.com/es/allegro-hotels/hoteles/
MA,Morocco,100779,Agadir,1032223,Caribbean Village Agador All Inclusive,ThreeStar,Boulevard du 20 Août 80000 Agadir ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royal Palace - 0.2 km / 0.2 mi <br /> Stade Al Inbiaate - 0.6 km / 0.4 mi <br /> Casino Le Mirage - 0.6 km / 0.4 mi <br /> Agadir Open Air Theatre - 0.7 km / 0.4 mi <br /> Musee du Patrimoine Amazigh - 0.7 km / 0.5 mi <br /> Agadir Beach - 1.1 km / 0.7 mi <br /> Club Royal de Tennis - 1.1 km / 0.7 mi <br /> Vallee de Oiseaux - 1.2 km / 0.7 mi <br /> Shems Casino - 1.4 km / 0.9 mi <br /> Synagogue - 1.4 km / 0.9 mi <br /> St. Anne s Church - 1.8 km / 1.1 mi <br /> Mohamed V Mosque - 1.8 km / 1.1 mi <br /> New Mosque - 1.8 km / 1.1 mi <br /> House of Activities Association Club - 1.9 km / 1.2 mi <br /> Jardin de Olhao - 1.9 km / 1.2 mi <br /> </p><p>The nearest major airport is Al Massira Airport (AGA) - 29.8 km / 18.5 mi</p>,"<p>HeadLine : In Agadir (Agadir City Center)</p><p>Location : With a stay at Caribbean Village Agador - All Inclusive, you ll be centrally located in Agadir, just a 3-minute walk from Royal Palace and 8 minutes by foot from Stade Al Inbiaate.  This all-inclusive property is 0.7 mi (1.2 km) from Agadir Beach and 1.7 mi (2.7 km) from Agadir Marina.</p><p>Rooms : Make yourself at home in one of the 343 guestrooms featuring minibars. Rooms have private balconies. Satellite television is provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and bidets.</p><p>Dining : This property is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Enjoy international cuisine at OASIS, one of the property s 6 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink from the poolside bar or one of the 4 bars/lounges. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Please note: This hotel is unable to accommodate wheelchairs at this time.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",212-528-840328,Windsurfing nearby Garden Full-service spa Tennis lessons on site Volleyball on site Beach towels Supervised childcare/activities (surcharge) Miniature golf on site Luggage storage Private beach nearby Grocery/convenience store Porter/bellhop Billiards or pool table Children's club Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Shopping on site Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 4 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 2 Number of swim-up bars - 1 Tours/ticket assistance Fireplace in lobby Fitness classes on site Golf lessons available nearby Outdoor tennis courts - 4 Multilingual staff Turkish bath/Hammam Number of coffee shops/cafes - 1 Laundry facilities elevator Children's club (free) Fitness facilities Basketball on site Wheelchair accessible (may have limitations) Beach umbrellas Nightclub Karaoke Surfing/bodyboarding nearby Steam room Use of nearby fitness center (discount) Free self parking Hair salon Beach sun loungers Terrace ATM/banking Pool sun loungers Concierge services 24-hour front desk Playground on site Golfing nearby Outdoor seasonal pool Safe-deposit box at front desk Snack bar/deli Children's pool Sauna,30.411101|-9.597037,212-661-222850,80000,
MA,Morocco,100779,Agadir,1032225,Hotel El Pueblo Tamlelt,ThreeStar,Boulevard du 20 Aout 80000 Agadir ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Casino Le Mirage - 0.2 km / 0.1 mi <br /> Royal Palace - 0.3 km / 0.2 mi <br /> Agadir Beach - 0.5 km / 0.3 mi <br /> Agadir Open Air Theatre - 1.1 km / 0.7 mi <br /> Musee du Patrimoine Amazigh - 1.2 km / 0.8 mi <br /> Stade Al Inbiaate - 1.4 km / 0.8 mi <br /> Vallee de Oiseaux - 1.4 km / 0.9 mi <br /> House of Activities Association Club - 1.7 km / 1 mi <br /> Synagogue - 1.8 km / 1.1 mi <br /> Club Royal de Tennis - 1.8 km / 1.1 mi <br /> Shems Casino - 1.9 km / 1.2 mi <br /> Souk El Had - 2.1 km / 1.3 mi <br /> St. Anne s Church - 2.3 km / 1.4 mi <br /> Mohamed V Mosque - 2.3 km / 1.4 mi <br /> New Mosque - 2.3 km / 1.4 mi <br /> </p><p>The nearest major airport is Al Massira Airport (AGA) - 30 km / 18.7 mi</p>,"<p>HeadLine : In Agadir (Agadir City Center)</p><p>Location : A stay at El Pueblo Tamlelt places you in the heart of Agadir, steps from Casino Le Mirage and 4 minutes by foot from Royal Palace.  This beach resort is 0.3 mi (0.5 km) from Agadir Beach and 5.8 mi (9.4 km) from Agadir Marina.</p><p>Rooms : Make yourself at home in one of the 363 guestrooms. Rooms have private balconies. Satellite television is provided for your entertainment. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>Dining : All-inclusive rates are available at this resort. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite at OASIS, one of the resort s 6 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Please note: This hotel is unable to accommodate wheelchairs at this time.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",212-528-840328,Dry cleaning/laundry service Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 4 Number of swim-up bars - 1 Roll-in shower (in select rooms) Tours/ticket assistance Fitness classes on site Golf lessons available nearby Outdoor tennis courts - 4 Multilingual staff Water dispenser Turkish bath/Hammam Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Luggage storage Porter/bellhop Billiards or pool table 24-hour front desk Playground on site Golfing nearby Spa services on site Safe-deposit box at front desk Snack bar/deli Children's pool Sauna Steam room Free self parking Hair salon Tennis on site Terrace ATM/banking Pool sun loungers Concierge services elevator Fitness facilities Children's club (surcharge) Supervised childcare/activities (free) Basketball on site Wheelchair accessible (may have limitations) Vending machine Beach umbrellas Nightclub Windsurfing nearby Arcade/game room Spa treatment room(s) Garden Full-service spa Tennis lessons on site Volleyball on site Beach towels Miniature golf on site,30.407886|-9.597244,212-528-842598,80000,
