countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
,Namibia,109760,Aus,1048651,Desert Horse Inn,OneStar,Gondwana Sperrgebiet Rand Park P.O.Box 25Aus ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 0.7 km / 0.4 mi <br /> Namib-Naukluft National Park - 3.3 km / 2 mi <br /> </p>,"<p><b>Property Location</b> <br />Located in Aus, Klein-Aus Vista Desert Horse Campsite is within a 5-minute drive of Roman-Catholic Church of St. Theresa of the Child Jesus and Namib-Naukluft National Park.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 10 guestrooms. Bathrooms with showers are provided.</p><p><b>Amenities</b> <br />Make use of convenient amenities, which include complimentary wireless Internet access and barbecue grills.</p><p><b>Dining</b> <br />A complimentary breakfast is included.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",+26486623302,Barbecue grill(s) Free WiFi Free breakfast Free self parking Total number of rooms - 10,-26.67408|16.25225,+26463258116|+26463258021,,http://www.klein-aus-vista.com/de/Desert_Horse_Inn
,Namibia,109760,Aus,1253004,Eagle's Nest Chalets,ThreeStar,Gondwana Sperrgebiet Rand Park P.O.Box 25Aus ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 2.3 km / 1.5 mi <br /> Sperrgebiet National Park - 10 km / 6.2 mi <br /> Namib-Naukluft National Park - 15.3 km / 9.5 mi <br /> </p>,"<p>HeadLine : Near Roman-Catholic Church of St. Theresa of the Child Jesus</p><p>Location : With a stay at Klein-Aus Vista Eagle´s Nest chalets in Aus, you ll be within a 10-minute drive of Roman-Catholic Church of St. Theresa of the Child Jesus and Sperrgebiet National Park.  This villa is 9.5 mi (15.3 km) from Namib-Naukluft National Park.</p><p>Rooms : Treat yourself to a stay in one of the 7 guestrooms, featuring fireplaces. Rooms have private patios. Kitchenettes are outfitted with refrigerators. Conveniences include safes and minibars.</p><p>Dining : At Klein-Aus Vista Eagle´s Nest chalets, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : </p>",264-88-623302,Game viewing on site Game drive on site Free breakfast Free WiFi Number of bars/lounges - 1 Barbecue grill(s) Number of outdoor pools - 1 Hiking/biking trails on site Laundry facilities Free self parking Access to nearby outdoor pool Mountain biking on site,-26.65203|16.24263,264-63-258116,,http://www.klein-aus-vista.com/de/Eagles_Nest_Chal
,Namibia,109760,Aus,1254136,Bahnhof Hotel Aus,ThreeStar,20 Luderitz Street Aus Namibia AusKaras Region ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 0.4 km / 0.2 mi <br /> Namib-Naukluft National Park - 11.6 km / 7.2 mi <br /> Sperrgebiet National Park - 12.8 km / 8 mi <br /> </p>,"<p>HeadLine : Near Roman-Catholic Church of St. Theresa of the Child Jesus</p><p>Location : Located in Aus, Bahnhof Hotel Aus is within a 15-minute drive of Roman-Catholic Church of St. Theresa of the Child Jesus and Namib-Naukluft National Park.  This hotel is 8 mi (12.8 km) from Sperrgebiet National Park.</p><p>Rooms : Make yourself at home in one of the 26 guestrooms. Bathrooms feature showers with rainfall showerheads. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 9:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",264-61-305173,Wheelchair-accessible on-site restaurant Barbecue grill(s) Daily Wheelchair-accessible lounge No elevator (single level property) Number of bars/lounges - 1 Well-lit path to entrance Stair-free path to entrance Front desk (limited hours) Conference space Free breakfast Business center Free self parking Dry cleaning/laundry service Free WiFi Smoke-free property Number of coffee shops/cafes - 1 Safe-deposit box at front desk Number of meeting rooms - 1 Terrace Luggage storage Free Buffet Breakfast Wheelchair accessible (may have limitations) Laundry facilities Parking (limited spaces) Wheelchair accessible path of travel Accessible bathroom Roll-in shower Wheelchair accessible parking In-room accessibility Garden Wheelchair-accessible registration desk Off-street parking Wheelchair-accessible meeting spaces/business center,-26.665837|16.26064,264-61-305176,9000,http://www.hotel-aus.com/
,Namibia,109760,Aus,1494173,Orange House Self Catering,ThreeStar,20 Lüderitz Street Karas Region Karas RegionAus ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 0.2 km / 0.1 mi <br /> Sperrgebiet National Park - 12.7 km / 7.9 mi <br /> Namib-Naukluft National Park - 18 km / 11.2 mi <br /> </p>,"<p>HeadLine : Near Roman-Catholic Church of St. Theresa of the Child Jesus</p><p>Location : Located in Aus, Aus Self-Catering Units is a 1-minute drive from Roman-Catholic Church of St. Theresa of the Child Jesus and 9 minutes from Sperrgebiet National Park.  This cottage is 11.2 mi (18 km) from Namib-Naukluft National Park.</p><p>Rooms : Make yourself at home in one of the 2 guestrooms, featuring kitchens with refrigerators and stovetops. Conveniences include microwaves and electric kettles.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 8:00 PM. The check-in location differs from the property location. To check in, go to Bahnhof Hotel Aus This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",264-67-240975,Designated smoking areas Barbecue grill(s) Garden Laundry facilities Front desk (limited hours) Terrace,-26.66427|16.2606,264-67-240975,9000,
,Namibia,109760,Aus,5353285,Klein Aus Vista Desert Horse Inn,ThreeStar,25 Farm Klein No. 8  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 2.3 km / 1.5 mi <br /> Sperrgebiet National Park - 10 km / 6.2 mi <br /> Namib-Naukluft National Park - 15.3 km / 9.5 mi <br /> </p>,"<p>HeadLine : Near Roman-Catholic Church of St. Theresa of the Child Jesus</p><p>Location : With a stay at Klein-Aus Vista Desert Horse Inn in Aus, you ll be within a 10-minute drive of Roman-Catholic Church of St. Theresa of the Child Jesus and Sperrgebiet National Park.  This inn is 9.5 mi (15.3 km) from Namib-Naukluft National Park.</p><p>Rooms : Make yourself at home in one of the 30 guestrooms featuring refrigerators. Bathrooms with showers are provided. Conveniences include safes and coffee/tea makers.</p><p>Dining : At Klein-Aus Vista Desert Horse Inn, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary full breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:00 AM - midnight. Front desk staff will greet guests on arrival.</p>",264-88-623302,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Free full breakfast Game drive on site Free breakfast Front desk (limited hours) Free WiFi Number of bars/lounges - 1 Designated smoking areas Hiking/biking trails on site Free self parking Fireplace in lobby Mountain biking on site,-26.65202|16.24267,264-63-258116,,
,Namibia,109760,Aus,5521191,Klein Aus Vista Desert Horse Campsite,OneStar,On The B4 Main Road To Luederitz  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Roman-Catholic Church of St. Theresa of the Child Jesus - 1.4 km / 0.8 mi <br /> Sperrgebiet National Park - 13.8 km / 8.6 mi <br /> Namib-Naukluft National Park - 19.1 km / 11.9 mi <br /> </p>,"<p>HeadLine : Near Roman-Catholic Church of St. Theresa of the Child Jesus</p><p>Location : When you stay at this campground in Aus, you ll be in the mountains and within a 5-minute drive of Roman-Catholic Church of St. Theresa of the Child Jesus.  This campground is 8.6 mi (13.8 km) from Sperrgebiet National Park and 11.9 mi (19.1 km) from Namib-Naukluft National Park.</p><p>Rooms : Make yourself comfortable in your accommodation. The bathroom has a shower.</p><p>Dining : Buffet breakfasts are available daily from 7 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:00 AM - 11:00 PM. Front desk staff will greet guests on arrival.</p>",264-88623302,Free WiFi (limited) time - 24 Free WiFi (limited) duration - per day Game viewing on site Game drive on site Wheelchair accessible  no Pool umbrellas Multilingual staff Front desk (limited hours) Breakfast available (surcharge) Mountain climbing nearby Free WiFi Designated smoking areas Barbecue grill(s) Hiking/biking trails on site Well-lit path to entrance Upper floors accessible by stairs only Free self parking Access to nearby outdoor pool Pool sun loungers,-26.674076|16.252248,264-63258116,,
,Namibia,112841,Bwabwata Nationalpark,1379907,Nambwa Tented Lodge,ThreeStar,Bwabwata National Park Caprivi Zambezi RegionNamibia ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Long Lagoon - 1.5 km / 0.9 mi <br /> Mashi Conservancy - 51.4 km / 31.9 mi <br /> </p><p>The nearest major airport is Katima Mulilo (MPA-Mpacha) - 115.3 km / 71.7 mi</p>,"<p><b>Property Location</b> <br />When you stay at Nambwa Tented Lodge in Kongola, you'll be in a national park and within a 5-minute drive of Long Lagoon.  This tree house is 31.9 mi (51.4 km) from Mashi Conservancy.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 14 guestrooms.</p><p><b>Amenities</b> <br />You can experience a safari adventure.</p><p><b>Dining</b> <br />At Nambwa Tented Lodge, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a library and an elevator (lift). Free self parking is available onsite.</p>",,Bar/lounge Breakfast available (surcharge) Designated smoking areas Elevator/lift Free WiFi Free self parking Library Restaurant Total number of rooms - 14,-17.87547|23.31699,+264811251465,,http://www.africanmonarchlodges.com
,Namibia,112910,Caprivi,1315707,Camp Kwando,All,P.O. Box 8016 Kongola ,,"With Mashi Conservancy reachable in 6.3 km, Camp Kwando features accommodation, a restaurant, an outdoor swimming pool, a terrace and a bar.

There is a fully equipped private bathroom with shower and free toiletries.

A continental breakfast is available each morning at the lodge.

Kwandu Conservancy is 37 km from Camp Kwando. The nearest airport is Katima Mulilo (Mpacha) Airport, 119 km from the accommodation.",+26466686023,Parking Restaurant Bar Terrace Non-smoking rooms Laundry Family rooms Free parking Safety Deposit Box Packed lunches Outdoor pool Non-smoking throughout board games/puzzles Wine/champagne sun loungers or beach chairs Outdoor furniture Outdoor fireplace Swimming pool game drives Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities designated smoking area Sun terrace outdoor pool (all year) Special diet menus (on request) Daily housekeeping parking on site Private parking shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property,-17.98619|23.29548,+26466686021,9000,https://www.booking.com/hotel/na/camp-kwando.html
,Namibia,112910,Caprivi,5009127,Namushasha River Villa,ThreeStar,"Namushasha River Lodge Kongola 9000 Kongola, Namibia ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mudumu National Park - 15.5 km / 9.6 mi <br /> Mashi Conservancy - 26 km / 16.1 mi <br /> Lizauli Traditional Village - 43.2 km / 26.8 mi <br /> Long Lagoon - 45 km / 27.9 mi <br /> </p><p>The preferred airport for this villa is Katima Mulilo (MPA-Mpacha) - 116.5 km / 72.4 mi </p>,"<p>HeadLine : On a river</p><p>Location : With a stay at this villa in Kongola, you ll be on a river, and 9.6 mi (15.5 km) from Mudumu National Park and 16.1 mi (26 km) from Mashi Conservancy.  This villa is 26.8 mi (43.2 km) from Lizauli Traditional Village and 27.9 mi (45 km) from Long Lagoon.</p><p>Rooms : Make yourself comfortable in this individually decorated villa, featuring a kitchen with a refrigerator and an oven. Conveniences include a safe and a desk, and housekeeping is provided daily.</p><p>Dining : At this villa, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary English breakfast is served daily from 6 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>This property uses solar energy</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 6:00 AM - 6:00 PM. The check-in location differs from the property location. To check in, go to Namushasha River Lodge This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",264-81-3402429,Front desk (limited hours) Daily Barbecue grill(s) Smoke-free property Coffee/tea in common areas Laundry facilities Free self parking Safari nearby Terrace Renewable energy source - solar Game viewing nearby Firewood (free) Free parking nearby Game drive nearby Outdoor furniture No single-use plastic straws Biodegradable/compostable straws Free WiFi Number of bars/lounges - 1 Wheelchair accessible parking Free English Breakfast Airport transportation (surcharge) No accessible airport shuttle Wheelchair accessible  no Free breakfast Firepit,-17.986115|23.295517,+264 61 427 200,9000,
,Namibia,149220,Chobe,1029119,Kaza Safari Lodge,FourStar,Impalila Island Zambezi Region ,,"Property Location With a stay at Impalila Island Lodge in Chobe, you''ll be convenient to Impalila Conservancy and Impalila Pier. This 4-star lodge is within the vicinity of Mowana Golf Course and Kazungula Crocodile Farm.Rooms Conveniences include safes and coffee/tea makers.Rec, Spa, Premium Amenities Enjoy the recreation opportunities such as an indoor pool or make use of other amenities including tour/ticket assistance.Dining This lodge is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities.",,Dry cleaning / laundry service Indoor pool Tour desk,-17.7518|25.1689,,,
