countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
NL,Netherlands,106747,'s Gravenmoer,1418470,Hotel Restaurant Hof van 's Gravenmoer,ThreeStar,Hoofdstraat 71 5109 AB 's GravenmoerNordbrabantNiederlande ,,"The family-run Hotel Restaurant Hof van s Gravenmoer  is set in the quiet s Gravenmoer countryside and overlooks an orchard. It has a terrace and spacious rooms with free wired internet.

Rooms come with a flat-screen TV and a desk. All include a private bathroom, and some have a glass-walled shower. Some open onto a terrace.

The breakfast room at Hotel Hof serves home-made breakfast and has a fireplace. Guests can also relax in the bar, which features wooden-beamed ceilings and a rustic décor. The hotel is equipped with a private restaurant, where guests can enjoy an à la carte dinner.

Hiking and cycling routes are available at the on-site tourist information point. Guests can cycle to Brabant Golf, just 8 km away. The Efteling amusement park is a 10-minute drive, and the Beekse Bergen Zoo is 30 minutes drive from  s Gravenmoer. Please inform Hotel Restaurant Hof van s Gravenmoer in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Restaurant Hof van s Gravenmoer is closed from Thu 15 Jun 2023 until Sun 06 Aug 2023
Please note guests have to pay during check-in.",+31(0)0000,Parking Restaurant Room service Bar Golf course (within 3 km) Garden Terrace Non-smoking rooms dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Soundproof rooms Packed lunches Cycling Tour desk Heating Luggage storage wifi Allergy-free room Walking tours Bike tours Tour or class about local culture 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available Free WiFi Non-smoking throughout Sun terrace concierge service Private check-in/check-out Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Indoor play area Baby safety gates Kid meals Kid-friendly buffet Wheelchair accessible Toilet with grab rails Higher level toilet Outdoor furniture Picnic area temporary art galleries,51.65178|4.94195,+31162301939,5109 AB,https://www.booking.com/hotel/nl/hof-van-s-gravenmoer.html
NL,Netherlands,136789,'s-Gravenzande,1273538,Duynparc de Heeren van S-Gravensande,ThreeStar,Nieuwlandsedijk 16 2691 KW  s-Gravenzande ,,"Duynparc De Heeren van s Gravensande is located in the coast district sGravensande. It is built in the dunes and within walking distance of the North Sea beaches. WiFi access is available in this holiday park.

The accommodation will provide you with a TV, a garden and a patio.There is a well-equipped kitchen with a refrigerator and kitchenware. The private bathroom also comes with a bath or shower. Almost all various types of detached houses, built in Caribbean style, have one or more porches. This accommodation also offers a sandwich service.

If you feel like visiting the surroundings, check out the beach (1 km) and Atlantikwall Museum (2.2 km). This holiday park is 55 km from Schiphol Airport.  The property offers free parking.Rotterdam and Den Haag can be reached within a 20 minutes-drive.  A damage deposit of EUR 65 is required. The host charges this 14 days before arrival. This will be collected by bank transfer. You should be reimbursed within 14 days of check-out. Your deposit will be refunded in full via bank transfer, subject to an inspection of the property.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.
Please note that the property is obliged to only offer leisure stay, as mandated by local government.

Roompot Vakanties will send a booking confirmation within 24 hours after booking with information detailed deposit and payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you. If the full amount is not paid before arrival, it may happen that your property is no longer available.

Credit card information can be asked to secure your booking. These will not be used to collect the payment.

Bed linen are mandatory as well; an extra cost of EUR 8 per person will apply.
Please contact the accommodation before your arrival if you want to book towels.

A security deposit of EUR 65 is required for incidentals. This deposit is fully refundable within two weeks after booking via bank transfer and subject to a damage inspection of the accommodation.

When travelling with pets, please note that confirmation of the accommodation is required before arrival. You can request a pet stay via the Special Request box.

Please note that the person making the booking must be 21 years minimum.

It is not possible to place extra beds and exceed the maximum capacity of the bungalow.

Please note that all potential cancellations should be handled via Booking.com.",,Free self parking Pets allowed Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Internet access Bicycle rental (additional charge) Free WiFi Free WiFi Non-smoking throughout Mini-market on site Parking onsite Private parking,51.99798|4.13558,,2691 KW,https://www.booking.com/hotel/nl/duynparc-de-heeren-van-s-gravensande.html
NL,Netherlands,136789,'s-Gravenzande,1593808,Vlugtenburg,All,'T Louwtje 10 2691 KR 'S-Gravenzande ,,"A seaside location, modern facilities and a range of luxurious services combine at Vlugtenburg. The bungalows, which are 300 metres from the beach,  have a flat-screen cable TV and WiFi is available.

Vlugtenburg offers bungalows with an open-plan living area with a sofa, dining area and an open-plan kitchen benefiting from a dishwasher, a microwave and coffee/tea making facilities. The bungalows also have their own private terrace with sun loungers and outdoor furniture.

Hoek van Holland is a 5-minute drive from Vlugtenburg and s-Gravenzandes city centre is a 30-minute walk away from the holiday park.

Some of the many extra services offered include a kids club and a charging point for electrical cars.

During the summer months, Paviljoen Hé Pannenkoek serves pancakes, fries, pizza and other food. It is also possible to order breakfast. The restaurant also boasts a terrace. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties.
A damage deposit of EUR 250 is required on arrival. You should be reimbursed within 14 days of check-out.
Please note that 14 days after the reservation is made the down payment has to be paid, either by credit card or bank transfer. The final payment has to be paid 14 days before arrival. If the reservation is made within 14 days before arrival, the complete amount has to be paid directly.

Check-in is possible at the reception desk, please contact the reception if you arrive later than; Mon-Fri 17:30 pm, Saturday 15:00 pm, Sunday 14:00 pm.

Guests can use 100 MB Wi-Fi one time for free. When this is exceeded, guests can purchase extra internet data.

Please note that the following options are available at an extra charge:
- Towel package EUR 7.50
- Kitchen linen package EUR 5
- Childrens cot EUR 15
- Childrens high chair EUR 15

Please note that the kids club is only available during July and August.

Please note that barbecue facilities are available at a surcharge, subject to availability.",,Entertainment staff Private check-in/check-out Beachfront parking on site Private parking wifi available in all areas paid wifi Kid meals electric vehicle charging station Parking Restaurant Pets allowed Garden Terrace Non-smoking rooms Laundry breakfast in the room Free parking internet services children's playground Table tennis BBQ facilities Cycling Heating Fax/photocopying wifi Non-smoking throughout Beach Walking tours Bike tours Key access bicycle rental invoice provided,52.00297|4.13856,+31174412420,2691 KR,https://www.booking.com/hotel/nl/vlugtenburg.html
NL,Netherlands,136789,'s-Gravenzande,1745188,Hotel De Gravin,All,Monsterseweg 5 2691 JA 's-Gravenzande ,,"Hotel De Gravin is situated in s-Gravenzande, 1,8 km from the beach and 23 km from Rotterdam. Guests can enjoy the on-site bar.

All units have a seating area where you can relax and coffee/tea facilities. Every room is fitted with a private bathroom. Extras include free toiletries and a hair dryer. Hotel De Gravin features free WiFi throughout the property. A flat-screen TV is offered.

You will find a shared lounge at the property.

The village centre is within walking distance, where restaurants can be found. Bike hire is available at this hotel and the area is popular for cycling. The Hague is 13 km from Hotel De Gravin, while Scheveningen is 14 km from the property. The nearest airport is Rotterdam The Hague Airport, 20 km from the property. Please inform Hotel De Gravin in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests under the age of 18 can only check in with a parent or official guardian.

The guests can check in at the hotel but some rooms are not located in the hotel.

These Rooms are 100 meters from the hotel:
Deluxe single room
Apartment split level
Studio with garden view

All the facilities are located in the hotel.",,Parking meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Business centre dry cleaning breakfast in the room Free parking internet services Safety Deposit Box Cycling Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Private check-in/check-out shared lounge/TV area Beachfront Daily housekeeping wifi available in all areas Street parking Wine/champagne Fruits coffee house on site Outdoor furniture Beach Smoke alarms Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered face masks for guests available,52.00551|4.15859,+31174820170,2691 JA,https://www.booking.com/hotel/nl/de-gravin.html
NL,Netherlands,136789,'s-Gravenzande,1920335,De Staelduinhoeve,All,Maasdijk 172 2691 NX S-Gravenzande ,,"Providing garden views, de Staelduinhoeve in s-Gravenzande provides accommodation, barbecue facilities and a terrace.

All units come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hairdryer and shower. There is also a kitchen, this a shared kitchen when renting one of the rooms in the accommodation, equipped with a dishwasher, an oven, and a stovetop.

Guests at the holiday home can enjoy a continental breakfast.

After a day of hiking, windsurfing or fishing, guests can relax in the garden or in the shared lounge area.

Scheveningen is 22 km from de Staelduinhoeve, while Noordwijk aan Zee is 49 km away. The nearest airport is Rotterdam The Hague Airport, 27 km from the accommodation. This property will not accommodate hen, stag or similar parties.
Please inform de Staelduinhoeve in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Parking Tennis Court Garden Terrace Non-smoking rooms Fishing Family rooms Games room Free parking internet services Windsurfing Soundproof rooms Hiking BBQ facilities Heating Horse riding Non-smoking throughout Snack Bar Sun terrace Private check-in/check-out shared lounge/TV area parking on site Outdoor furniture Picnic area Beach Key access Smoke alarms Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered face masks for guests available,51.98039|4.1797,+31654723613,2691 NX,https://www.staelduinhoeve.nl/
NL,Netherlands,136789,'s-Gravenzande,5486871,De Sluiswachter,All,Sluiswachterstraat 31  ,,"Set in s-Gravenzande, De Sluiswachter offers accommodation with free WiFi and flat-screen TV, as well as free bikes.

All units comprise a seating area, and a fully equipped kitchenette with various cooking facilities, including a microwave, a fridge and a minibar. There is a private bathroom with shower in some units, along with bathrobes, a hairdryer and free toiletries.

The bed and breakfast offers a continental or American breakfast.

If you would like to discover the area, cycling and fishing are possible in the surroundings.

Ter Heijde Beach is 1.8 km from De Sluiswachter, while Vlugtenburg Beach is 1.9 km away. The nearest airport is Rotterdam The Hague Airport, 32 km from the accommodation. Please inform De Sluiswachter in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
If you require an invoice when booking a prepaid rate, please write this request and your company details in the <b>Ask a question</b> box.
This property will not accommodate hen, stag or similar parties.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
If you cause damage to the property during your stay, you could be asked to pay up to EUR 100 after check-out, according to this propertys <a target=_blank href=""https://booking.com/content/terms.html#nov2021_terms_accommodations_know_subheading_5"">Damage Policy</a>.",,Non-smoking rooms Fishing Family rooms internet services express check-in/check-out Safety Deposit Box Windsurfing Cycling Heating wifi Allergy-free room Free WiFi Non-smoking throughout Private check-in/check-out Special diet menus (on request) board games/puzzles Public transport tickets coffee house on site Beach Walking tours Bike tours 24-hour security Key access Smoke alarms CCTV outside property Fire extinguishers bicycle rental hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided,52.0066|4.15877,,2694 CA,https://www.booking.com/hotel/nl/de-sluiswachter.html
NL,Netherlands,136789,'s-Gravenzande,6098657,Spacious Chalet With a Terrace at 200 m. From the Beach,ThreeStar,"'t Louwtje 10,4,CHALET 4  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hoek van Holland Beach - 1.6 km / 1 mi <br /> Dutch Coastal Defense Museum - 3.4 km / 2.1 mi <br /> Hoek van Holland Ferry Terminal - 3.7 km / 2.3 mi <br /> Kijkduin Beach - 11 km / 6.8 mi <br /> De Uithof - 12.7 km / 7.9 mi <br /> Theater Koningshof - 12.8 km / 7.9 mi <br /> The Hague Market - 16.2 km / 10.1 mi <br /> Kunstmuseum Den Haag - 17.7 km / 11 mi <br /> The Hague Public Transport Museum - 17.9 km / 11.1 mi <br /> Museon - 18 km / 11.2 mi <br /> Paard van Troje - 18.2 km / 11.3 mi <br /> World Forum Convention Centre - 18.5 km / 11.5 mi <br /> Peace Palace - 18.6 km / 11.5 mi <br /> Panorama Mesdag - 18.7 km / 11.6 mi <br /> Stadhuis - 18.9 km / 11.7 mi <br /> </p><p>The nearest major airport is Rotterdam (RTM-Rotterdam The Hague) - 31 km / 19.3 mi</p>,"<p>HeadLine : Near Hoek van Holland Beach</p><p>Location : Located in  s-Gravenzande, this chalet is a 2-minute drive from Hoek van Holland Beach and 5 minutes from Dutch Coastal Defense Museum.  This chalet is 11.5 mi (18.6 km) from Peace Palace and 12.2 mi (19.7 km) from Madurodam.</p><p>Rooms : Make yourself comfortable in your individually furnished accommodation, featuring a refrigerator and a microwave. The bathroom has a shower.</p><p>Dining : Breakfast is available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed No onsite parking is available This property accepts credit cards; cash is not accepted Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : Barbecue grills are available for a surcharge and must be requested in advance. Towels are not included in the room rate. Towels are available for a surcharge or guests must bring their own.</p>",,Barbecue grill(s) Laundry facilities Free bicycles on site Terrace Free WiFi Arcade/game room Breakfast available (surcharge) Smoke-free property,52.00182|4.13659,410442743080,2691KR,
NL,Netherlands,136789,'s-Gravenzande,6099860,Modern Holiday Home With Conservatory at 200m From the Beach,ThreeStar,"'t Louwtje 10,8,PRIVATE_VACATION_HOME 8  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hoek van Holland Beach - 1.6 km / 1 mi <br /> Dutch Coastal Defense Museum - 3.4 km / 2.1 mi <br /> Hoek van Holland Ferry Terminal - 3.7 km / 2.3 mi <br /> Kijkduin Beach - 11 km / 6.8 mi <br /> De Uithof - 12.7 km / 7.9 mi <br /> Theater Koningshof - 12.8 km / 7.9 mi <br /> The Hague Market - 16.2 km / 10.1 mi <br /> Kunstmuseum Den Haag - 17.7 km / 11 mi <br /> The Hague Public Transport Museum - 17.9 km / 11.1 mi <br /> Museon - 18 km / 11.2 mi <br /> Paard van Troje - 18.2 km / 11.3 mi <br /> World Forum Convention Centre - 18.5 km / 11.5 mi <br /> Peace Palace - 18.6 km / 11.5 mi <br /> Panorama Mesdag - 18.7 km / 11.6 mi <br /> Stadhuis - 18.9 km / 11.7 mi <br /> </p><p>The nearest major airport is Rotterdam (RTM-Rotterdam The Hague) - 31 km / 19.3 mi</p>,"<p>HeadLine : Near Hoek van Holland Beach</p><p>Location : Located in  s-Gravenzande, this vacation home is a 2-minute drive from Hoek van Holland Beach and 5 minutes from Dutch Coastal Defense Museum.  This vacation home is 11.5 mi (18.6 km) from Peace Palace and 12.2 mi (19.7 km) from Madurodam.</p><p>Rooms : Make yourself comfortable in your individually furnished vacation home, featuring a refrigerator and a microwave. The bathroom has a shower.</p><p>Dining : Breakfast is available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed No onsite parking is available This property accepts credit cards; cash is not accepted Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : Barbecue grills are available for a surcharge and must be requested in advance. Towels are not included in the room rate. Towels are available for a surcharge or guests must bring their own.</p>",,Barbecue grill(s) Terrace Wheelchair accessible path of travel Accessible bathroom Free WiFi Breakfast available (surcharge) Smoke-free property Garden,52.00182|4.13659,410442743080,2691KR,
NL,Netherlands,136789,'s-Gravenzande,6104949,Unique Bungalow on the Dunes at Only 200 m. From the Beach,TwoStar,"'t Louwtje 10,2,PRIVATE_VACATION_HOME 2  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hoek van Holland Beach - 1.6 km / 1 mi <br /> Dutch Coastal Defense Museum - 3.4 km / 2.1 mi <br /> Hoek van Holland Ferry Terminal - 3.7 km / 2.3 mi <br /> Kijkduin Beach - 11 km / 6.8 mi <br /> De Uithof - 12.7 km / 7.9 mi <br /> Theater Koningshof - 12.8 km / 7.9 mi <br /> The Hague Market - 16.2 km / 10.1 mi <br /> Kunstmuseum Den Haag - 17.7 km / 11 mi <br /> The Hague Public Transport Museum - 17.9 km / 11.1 mi <br /> Museon - 18 km / 11.2 mi <br /> Paard van Troje - 18.2 km / 11.3 mi <br /> World Forum Convention Centre - 18.5 km / 11.5 mi <br /> Peace Palace - 18.6 km / 11.5 mi <br /> Panorama Mesdag - 18.7 km / 11.6 mi <br /> Stadhuis - 18.9 km / 11.7 mi <br /> </p><p>The nearest major airport is Rotterdam (RTM-Rotterdam The Hague) - 31 km / 19.3 mi</p>,"<p>HeadLine : Near Hoek van Holland Beach</p><p>Location : Located in  s-Gravenzande, this vacation home is a 2-minute drive from Hoek van Holland Beach and 5 minutes from Dutch Coastal Defense Museum.  This vacation home is 11.5 mi (18.6 km) from Peace Palace and 12.2 mi (19.7 km) from Madurodam.</p><p>Rooms : Make yourself comfortable in your individually furnished vacation home, featuring a refrigerator and a microwave. The bathroom has a shower.</p><p>Dining : Breakfast is available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed This property accepts credit cards Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : Barbecue grills are available for a surcharge and must be requested in advance. Towels are not included in the room rate. Towels are available for a surcharge or guests may bring their own.</p>",,Barbecue grill(s) Laundry facilities Free bicycles on site Terrace Free WiFi Arcade/game room WiFi (surcharge) Breakfast available (surcharge) Smoke-free property Garden,52.00182|4.13659,410442743080,2691KR,
NL,Netherlands,100752,s-Heerenberg,1300255,Hotel De Lantscroon,ThreeStar,Molenstraat 12 7041 AE s-Heerenberg ,,"This welcoming 3-star hotel is situated in a historic building that was built in 1450 and is ideally located in the centre of s-Heerenberg.

The traditional atmosphere can be recognised throughout the whole of Hotel de Lantscroon; for example in the old ceilings, leaded light windows and traditional Dutch architecture.

There is an à la carte restaurant with various menus that are based on seasonal food. For your convenience the hotel has a lift, while rooms for the disabled are also available. Unique to the hotel is the famous library with many interesting books to read. Wi-Fi is also available. After a long day of business or site seeing you can relax in the hotels spa bath and sauna.

The central location and good facilities makes Hotel de Lantscroon a great place to stay when visiting this historic city on the Dutch-German border. Please note that use of the spa bath or sauna will incur and extra charge.",+31314663318,Parking Restaurant Pets allowed Bar Sauna Terrace Non-smoking rooms Facilities for disabled guests Free parking internet services lift Safety Deposit Box Hot tub/jacuzzi Bicycle rental (additional charge) wifi Free WiFi Non-smoking throughout parking on site wifi available in all areas,51.87527|6.24352,+31 314 664 157,7041 AE,https://www.booking.com/hotel/nl/lantscroon.html
