countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
NC,New Caledonia,112254,Boulouparis,6051342,Un Temps Pour Soi,ThreeStar,131Avenue Port Ouenghi  ,,"Offering a fitness centre, Un temps pour soi is located in Boulaparis. It offers a terrace and a private swimming pool. Guests can enjoy a relaxing soak in the spa bath. Free WiFi is available.

This air-conditioned bungalow offers tea and coffee making facilities and a private bathroom. You can enjoy mountain view and pool view from all the rooms. Towels and linen are provided.

This holiday home is 19 km from La Tontouta Airport. Please inform Un Temps Pour Soi in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property is located in a residential area and guests are asked to refrain from excessive noise.
You are advised to bring your own vehicle as this property is not serviced by public transport.
Please note that Un temps pour soi does not accept payments via credit card. The property will be in touch after booking to provide bank transfer information.
Managed by a private host",,Sun umbrellas Outdoor furniture Spa/wellness packages Swimming pool Walking tours Fire extinguishers Swimming pool linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay Parking Garden Terrace internet services Spa and wellness centre Massage Hot tub/jacuzzi wifi Outdoor pool Free WiFi Air conditioning Sun terrace outdoor pool (all year) Shared kitchen parking on site Private parking wifi available in all areas board games/puzzles Parking garage sun loungers or beach chairs Non-smoking rooms Free parking,-21.91121|166.06926,,98812,https://www.booking.com/hotel/nc/un-temps-pour-soi.html
NC,New Caledonia,112693,Bourail,1241260,Sheraton New Caledonia Deva Spa & Golf Resort,FiveStar,Lot 33 Domaine De Dév Route de Poé B.P. 50 Route de PoéB.P. 50Bourail 98870 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Domaine de Deva - 4.6 km / 2.9 mi <br /> Poé Beach - 1.8 km / 1.1 mi <br /> Plage de La Baie des Tortues - 11.9 km / 7.4 mi <br /> Roche Percee Beach - 12 km / 7.4 mi <br /> Lagoons of New Caledonia - 12.9 km / 8 mi <br /> Musee de Bourail - 18.8 km / 11.7 mi <br /> New Zealand War Memorial - 25.2 km / 15.6 mi <br /> Plage Vidoire - 25.4 km / 15.8 mi <br /> </p><p>The preferred airport for Sheraton New Caledonia Deva Spa & Golf Resort is Noumea (NOU-Tontouta Intl.) - 132.7 km / 82.4 mi </p>,"<p>HeadLine : On the beach</p><p>Location : Located in Bourail, Sheraton New Caledonia Deva Spa & Golf Resort is by the sea, within a 10-minute drive of Poé Beach and Domaine de Deva.  This 5-star hotel is 7.4 mi (11.9 km) from Plage de La Baie des Tortues and 7.4 mi (12 km) from Roche Percee Beach.</p><p>Rooms : Make yourself at home in one of the 176 guestrooms featuring MP3 docking stations and LCD televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads.</p><p>Dining : Satisfy your appetite with international cuisine at Le Reef, one of the hotel s 2 restaurants. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 6:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a security system</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",687-265-048,Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Golf cart Golf clubs (equipment) Pool umbrellas Number of meeting rooms - 2 Conference space size (meters) - 555 Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of spa tubs - 1 Number of outdoor pools - 1 Water skiing nearby In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Hunting nearby Horse riding nearby Multilingual staff Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Ecotours nearby elevator Fitness facilities Snorkeling on site Bicycle rentals on site Mountain biking nearby Wheelchair accessible (may have limitations) Ballroom Wheelchair-accessible concierge desk Wheelchair-accessible spa Wheelchair-accessible registration desk Television in common areas Windsurfing nearby Wheelchair-accessible fitness center Skydiving Nearby Wheelchair-accessible pool Wheelchair-accessible public washroom Spa treatment room(s) Helicopter/airplane tours on site Garden Free newspapers in lobby Full-service spa Wedding services Beach towels 24-hour fitness facilities Boat tours nearby Golf driving range on site Golf lessons on site Pro shop Golf lessons with a pro Luggage storage Express check-out Grocery/convenience store Porter/bellhop 24-hour front desk Golfing nearby Safe-deposit box at front desk Smoke-free property Snack bar/deli Hiking/biking trails nearby Sauna Surfing/bodyboarding nearby Steam room Free self parking Conference space Kayaking on site Computer station Beach sun loungers Terrace Wheelchair accessible path of travel Golf course on site Pool sun loungers Conference space size (feet) - 5972 Concierge services,-21.594255|165.36203,687-207000,98870,http://www.sheratonnewcaledoniadeva.com
NC,New Caledonia,112693,Bourail,1856596,Hôtel De Poé,TwoStar,Plage De Poé 98800 BourailNouvelle-Calédonie ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Domaine de Deva - 1.3 km / 0.8 mi <br /> Poé Beach - 3.5 km / 2.2 mi <br /> Plage de La Baie des Tortues - 8.8 km / 5.4 mi <br /> Roche Percee Beach - 8.9 km / 5.5 mi <br /> Lagoons of New Caledonia - 9.8 km / 6.1 mi <br /> Musee de Bourail - 15.7 km / 9.8 mi <br /> New Zealand War Memorial - 22.1 km / 13.7 mi <br /> Plage Vidoire - 22.2 km / 13.8 mi <br /> </p><p>The nearest airports are:<br />Noumea (NOU-Tontouta Intl.) - 129.6 km / 80.5 mi<br /> Noumea (GEA-Magenta Domestic) - 174.4 km / 108.4 mi<br /> </p><p></p>,"<p>HeadLine : Near Poé Beach</p><p>Location : Located in Bourail, this residence is by the ocean, within a 15-minute drive of Roche Percee Beach and Musee de Bourail.  This residence is 2.5 mi (4 km) from Poé Beach.</p><p>Rooms : There s a private patio. A kitchen makes it easy to prepare your meals. Complimentary wireless Internet access keeps you connected, and a flat-screen television is provided for your entertainment. The bathroom has a shower.Conveniences include a minibar and a coffee/tea maker, and you can also request a microwave.</p><p>Dining : Take advantage of the residence s room service (during limited hours). Cooked-to-order breakfasts are served on weekdays from 7:30 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 6 PM. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 2:00 PM please contact the property in advance using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions and key retrieval information. Front desk staff will greet guests on arrival.</p>",687-00-000,Mountain biking nearby Wheelchair accessible  no Front desk (limited hours) Breakfast available (surcharge) Windsurfing nearby Scuba diving nearby Snorkeling nearby Smoke-free property Ecotours nearby Hiking/biking trails nearby Laundry facilities Surfing/bodyboarding nearby Tours/ticket assistance Kayaking nearby Free self parking Boat tours nearby Terrace,-21.61222|165.403786,687-687-442200,98880,http://www.hoteldepoe.nc
NC,New Caledonia,112693,Bourail,5203980,Poé Côté Lagon Beach Bungalows,ThreeStar,Route De Poé Bp487  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Poé Beach - 2.2 km / 1.4 mi <br /> Domaine de Deva - 2.7 km / 1.7 mi <br /> Plage de La Baie des Tortues - 10.1 km / 6.3 mi <br /> Roche Percee Beach - 10.2 km / 6.3 mi <br /> Lagoons of New Caledonia - 11.1 km / 6.9 mi <br /> Musee de Bourail - 17 km / 10.6 mi <br /> New Zealand War Memorial - 23.4 km / 14.5 mi <br /> Plage Vidoire - 23.5 km / 14.6 mi <br /> </p><p>The nearest airports are:<br />Noumea (NOU-Tontouta Intl.) - 130.9 km / 81.3 mi<br /> Noumea (GEA-Magenta Domestic) - 175.7 km / 109.2 mi<br /> </p><p></p>,"<p>HeadLine : Near Poé Beach</p><p>Location : Located in Bourail, Poé Côté Lagon Beach Bungalows is a 3-minute drive from Domaine de Deva and 13 minutes from Roche Percee Beach.  This beach guesthouse is 3.3 mi (5.4 km) from Poé Beach and 10.6 mi (17 km) from Musee de Bourail.</p><p>Rooms : Make yourself at home in one of the 2 air-conditioned rooms featuring kitchenettes with refrigerators and stovetops. Rooms have private furnished patios. Complimentary wireless Internet access is available to keep you connected. Conveniences include separate sitting areas and coffee/tea makers, and you can also request irons/ironing boards.</p><p>Dining : Satisfy your appetite at the guesthouse s coffee shop/cafe. Continental breakfasts are available daily from 7 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. Guests must contact the property for check-in instructions.</p>",687-00-000,Hiking/biking trails nearby Free self parking Kayaking on site Beach sun loungers Terrace Golf lessons available nearby Horse riding nearby Breakfast available (surcharge) Barbecue grill(s) Snorkeling nearby Smoke-free property Number of coffee shops/cafes - 1 Canoe on site Paddleboard on site Mountain biking nearby Golf cart Swimming nearby Scuba diving nearby Skydiving Nearby Free WiFi Bicycle parking available Helicopter/airplane tours on site Number of outdoor pools - 1 Bicycle tour information Bicycle rentals nearby Tours/ticket assistance Boat tours nearby Golf driving range on site Couples/private dining,-21.610172|165.392125,687-687-445762,98870,
NC,New Caledonia,112693,Bourail,5309124,Betikure Parc Lodge,ThreeStar,Route De La Taraudiere Bp 352  ,,"Positioned on 20 acres of tropical forest, Betikure Parc Lodge is located in Bourail. Guests can relax by the outdoor pool and take in the captivating mountain views, or enjoy traditional and French cuisine from the on-site restaurant. Free WiFi access is provided.

Betikure Parc Lodge is a 5-minute drive from the centre of Bourail. The closest beach is a 15-minute drive away. La Tontouta International Airport and Noumea are both within 2 hours drive from the property.

This luxurious tranquil property offers air-conditioned rooms with a flat-screen TV and modern furnishings. Each room provides a private bathroom with free toiletries and a hairdryer. Some rooms boast a kitchen with a stovetop and oven. Some rooms feature a private hot tub. After a day of exploring, guests can unwind on the balcony.

At Betikure Parc Lodge you can enjoy a massage. The tour desk can assist you with excursions such as jet skiing, kayaking or kite surfing. Please inform Betikure Parc Lodge in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that this property does not accept payments with American Express credit cards.",,Parking Restaurant Bar Garden Terrace Non-smoking rooms Airport shuttle Family rooms Free parking internet services Massage Hot tub/jacuzzi Hiking BBQ facilities Tour desk Heating wifi Free WiFi Non-smoking throughout Air conditioning Snack Bar airport shuttle (additional charge) shared lounge/TV area parking on site Private parking wifi available in all areas Kid meals Parking garage Smoke alarms CCTV in common areas Fire extinguishers,-21.56409|165.52554,,98830,https://www.booking.com/hotel/nc/betikure-parc-lodge-bourail.html
NC,New Caledonia,117304,Fayaoue,1180446,Hotel Paradis D'ouvÉa,ThreeStar,Tribu De Fayawa B.P. 272 Fayaoue Ouvea Island FayaoueOuvea ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Plage du Paradis d Ouvéa - 0.3 km / 0.2 mi <br /> Plage du Pont de Mouli - 1.1 km / 0.7 mi <br /> Plage des Falaises de Lekiny - 3 km / 1.9 mi <br /> Plage de Mouli - 3.8 km / 2.4 mi <br /> Fayaoue Church - 10.1 km / 6.3 mi <br /> Plage de la Pointe aux Requins - 38.4 km / 23.8 mi <br /> </p>,"<p>HeadLine : Near Plage du Paradis d Ouvéa</p><p>Location : When you stay at Paradis d  Ouvea in Ouvea, you ll be on the beach, you ll be a 10-minute drive from Fayaoue Church.  This beach hotel is 0.2 mi (0.3 km) from Plage du Paradis d Ouvéa and 0.7 mi (1.1 km) from Plage du Pont de Mouli.</p><p>Rooms : Make yourself at home in one of the 34 guestrooms featuring refrigerators and flat-screen televisions. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and complimentary toiletries.</p><p>Dining : Stop by the hotel s restaurant, La Part des Anges, for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are served on weekdays from 7:00 AM to 10:00 AM and on weekends from 7:00 AM to 1:00 PM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer to the property via Airplane and must arrange the transfers by contacting the property before travel, using the contact information on the booking confirmation. This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 10:30 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  This property is located on Ouvéa Island, accessible by domestic flight from Nouméa Magenta Airport.</p>",687-687-455401,Dry cleaning/laundry service Beach umbrellas Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Beach towels Area shuttle (surcharge) Scuba diving on site Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Business center Front desk (limited hours) Breakfast available (surcharge) Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Free self parking Free valet parking Beach sun loungers Terrace Pool sun loungers Bicycle rentals on site Concierge services,-20.705971|166.463487,687-687-455400,98814,
NC,New Caledonia,121217,Hienghene,1177003,Hotel Koulnoue Village,ThreeStar,Sur La Route De 98815 Hienghene ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lagoons of New Caledonia - 2.3 km / 1.4 mi <br /> Plage de Billet de 500 - 9.6 km / 6 mi <br /> Plage de Koulnoué - 13.8 km / 8.6 mi <br /> Plage de Colnett - 33.7 km / 20.9 mi <br /> Plage de Touho - 47.3 km / 29.4 mi <br /> </p>,"<p>HeadLine : Near Plage de Billet de 500</p><p>Location : Located in Hienghene, Koulnoué Village is by the ocean, a 2-minute drive from Lagoons of New Caledonia and 10 minutes from Plage de Billet de 500.  This beach hotel is 8.6 mi (13.8 km) from Plage de Koulnoué and 20.9 mi (33.7 km) from Plage de Colnett.</p><p>Rooms : Make yourself at home in one of the 49 guestrooms featuring refrigerators and LCD televisions. Your bed comes with premium bedding, and all rooms are furnished with sofa beds. Rooms have private furnished lanais. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Koulnoué Village, or stop in at the snack bar/deli. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 6:00 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",687-42-8175,Surfing/bodyboarding on site Bicycle rentals on site Concierge services Gift shops or newsstand Wheelchair accessible (may have limitations) Free wired Internet Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Horse riding/rental on site Garden In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Volleyball on site Beach towels Boat tours on site Miniature golf on site Luggage storage Outdoor tennis courts - 1 Multilingual staff 24-hour front desk Breakfast available (surcharge) Safe-deposit box at front desk Designated smoking areas (fines apply) Snack bar/deli Hiking/biking trails nearby Laundry facilities Free self parking Snorkeling on site Tennis on site Terrace Basketball on site Pool sun loungers,-20.66734|164.934045,+687428166,98815,
NC,New Caledonia,121714,Ile des Pins,1026546,Le Meridien Ile Des Pins,FiveStar,Baie Doro Bp 175 BP 175Ile des Pins 98832New Caledonia ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Plage d Oro - 0.7 km / 0.4 mi <br /> Natural Pool - 1.2 km / 0.7 mi <br /> Grotte de Hortense - 7.3 km / 4.5 mi <br /> Pic N Ga - 7.5 km / 4.6 mi <br /> Notre Dame de l Assomption - 14.2 km / 8.9 mi <br /> Baie de Vao - 14.5 km / 9 mi <br /> Kuto Beach - 15.8 km / 9.8 mi <br /> Kanumera Beach - 16.9 km / 10.5 mi <br /> Kanumera Bay - 17 km / 10.6 mi <br /> </p>,"<p>HeadLine : Near Plage d Oro</p><p>Location : When you stay at Le Méridien Ile des Pins in L Île-des-Pins, you ll be on the waterfront, within a 15-minute walk of Plage d Oro and Natural Pool.  This 5-star hotel is 4.5 mi (7.3 km) from Grotte de Hortense and 4.6 mi (7.5 km) from Pic N Ga.</p><p>Rooms : Make yourself at home in one of the 48 guestrooms featuring iPod docking stations and minibars. Rooms have private balconies or patios. 42-inch LCD televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Partially open bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads.</p><p>Dining : Grab a bite at La Pirogue Restaurant, a beachfront restaurant where you can enjoy drinks at the bar/lounge and dine alfresco. Or stay in and take advantage of the 24-hour room service.</p><p>Renovations : The following facilities or services will be unavailable from June 19 2023 to July 1 2023 (dates subject to change): <ul><li>Swimming pool</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a security system</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer to the property via airplane or boat and must arrange the transfers by contacting the property before travel, using the contact information on the booking confirmation. This property offers transfers from the cruise terminal and ferry terminal (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",68-7-265100,Hiking/biking trails nearby Children's pool Sauna Free self parking Free beach cabanas Kayaking on site Free pool cabanas Beach sun loungers Terrace Wheelchair accessible path of travel Pool sun loungers Concierge services Snack bar/deli Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Proposal/romance packages available Babysitting or childcare (surcharge) Pool umbrellas Swimming pool Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Ferry terminal shuttle (surcharge) Cruise terminal shuttle (surcharge) Airport transportation (surcharge) On private beach Wheelchair-accessible on-site restaurant Multilingual staff Fitness facilities Snorkeling on site Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Beach umbrellas Wheelchair-accessible spa Wheelchair-accessible registration desk Television in common areas Wheelchair-accessible fitness center Wheelchair-accessible pool Spa treatment room(s) Garden Free newspapers in lobby Full-service spa Wedding services Volleyball on site Beach towels 24-hour fitness facilities Boat tours nearby Free bicycles on site 24-hour health club Cave exploring/spelunking nearby Couples/private dining Luggage storage Express check-out Porter/bellhop Billiards or pool table 24-hour front desk Scooter/moped rentals nearby Library Safe-deposit box at front desk Smoke-free property,-22.578445|167.51824,687265000,98832,http://www.lemeridieniledespins.com/
NC,New Caledonia,121714,Ile des Pins,1268291,Oure Tera Beach Resort,ThreeStar,Baie De Kanuméra Bp 170 Vao BP 17098832 Ile des Pins ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kanumera Beach - 0.9 km / 0.6 mi <br /> Kanumera Bay - 1 km / 0.6 mi <br /> Kuto Beach - 1.9 km / 1.2 mi <br /> Notre Dame de l Assomption - 4.8 km / 3 mi <br /> Baie de Vao - 5.8 km / 3.6 mi <br /> Pic N Ga - 11.5 km / 7.1 mi <br /> Grotte de Hortense - 11.8 km / 7.3 mi <br /> Natural Pool - 17.5 km / 10.9 mi <br /> Plage d Oro - 18.8 km / 11.7 mi <br /> </p>,"<p>HeadLine : Near Kanumera Beach</p><p>Location : Located in L Île-des-Pins, Oure Lodge Beach Resort is by the sea, within a 15-minute walk of Kanumera Beach and Kanumera Bay.  This beach hotel is 1.2 mi (1.9 km) from Kuto Beach and 3 mi (4.8 km) from Notre Dame de l Assomption.</p><p>Rooms : Make yourself at home in one of the 30 air-conditioned rooms featuring minibars and flat-screen televisions. Satellite television is provided for your entertainment. Bathrooms with separate bathtubs and showers are provided. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy seafood at Kanumera, a restaurant which features a bar/lounge, or stay in and take advantage of the room service (during limited hours).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : Guests must transfer to the property via airplane or boat and must arrange the transfers by contacting the property before travel, using the contact information on the booking confirmation. This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 6:00 AM - 10:00 PM. Front desk staff will greet guests on arrival.</p>",00687431344,Banquet hall Babysitting or childcare (surcharge) Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Wedding services Tours/ticket assistance Beach towels Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Porter/bellhop Front desk (limited hours) Gift shops or newsstand Dry cleaning/laundry service Shopping on site Snorkeling nearby Safe-deposit box at front desk Smoke-free property Rowing or canoeing on site Laundry facilities Free self parking Beach sun loungers Terrace Bicycle rentals on site,-22.66435|167.449553,+687431315,98832,"http://www.tera-hotels-resorts.com/hotel,oure"
NC,New Caledonia,121714,Ile des Pins,1311521,Hotel Kou Bugny,ThreeStar,Baie De Kuto 98832 Ile des Pins ,,"Situated by the shores of Kuto Bay, this hotel offers air-conditioned rooms and bungalows, just metres from the beach. The restaurant is located on the beach and features uninterrupted sea views.

Each room and bungalow at Hotel Kou Bugny features a TV, refrigerator and private bathroom. Most have outdoor seating and a bathtub. Rooms with a spa bath or private sauna are available.

The hotel is located on the beautiful Île des Pins (Isle of Pines). Guests have access to snorkelling and canoeing equipment.

The Nautilus Restaurant is located in a prime position on the beach, featuring an outdoor terrace and cocktail menu.

Hotel Kou Bugny is a 5-minute walk from Kuto Wharf where ferries depart for Noumea city centre, 80 km away. Isle of Pines Airport is a 15-minute bus ride away. Please inform Hotel Kou Bugny in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please note that the hotel can arrange flight or ferry transfers and tickets to and from Isle of Pines Airport for an additional charge. Contact details can be found on the booking confirmation.",+687461823,Free self parking Restaurant Pets allowed Room service Meeting rooms Bar/lounge Free newspapers in lobby Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry facilities Family rooms VIP room facilities Breakfast service Ironing service Internet access Express check-in Safe-deposit box at front desk Currency exchange Gift shops or newsstand Hiking Packed lunches Car hire Tour desk Fax/photocopying Diving Tours/ticket assistance Snorkelling Luggage storage Shopping on site Air conditioning Snack bar/deli Terrace Concierge services Private check-in/check-out Area shuttle (surcharge) Airport transportation (surcharge) On private beach Private parking Kid meals Kid-friendly buffet,-22.66041|167.44416,+687461800,98832,https://www.booking.com/hotel/nc/kou-bugny.html
