countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,1113860,Awaroa Lodge,FourStar,11 Awaroa Bay Abel Tasman National Park Abel Tasman National Park 7143South Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abel Tasman National Park - 0.6 km / 0.4 mi <br /> Onetahuti Bay - 3.6 km / 2.2 mi <br /> Onetahuti Bay Campsite - 3.9 km / 2.4 mi <br /> Totaranui Beach - 7.4 km / 4.6 mi <br /> Tata Beach - 18.1 km / 11.2 mi <br /> Ligar Bay Beach - 19.3 km / 12 mi <br /> Pohara Beach - 22.5 km / 14 mi <br /> </p>,"<p>HeadLine : Near Onetahuti Bay</p><p>Location : When you stay at Awaroa Lodge in Awaroa Bay, you ll be in a national park and 7 minutes by foot from Abel Tasman National Park.  This 4-star hotel is 4.6 mi (7.4 km) from Totaranui Beach and 11.2 mi (18.1 km) from Tata Beach.</p><p>Rooms : Make yourself at home in one of the 26 air-conditioned rooms featuring refrigerators. Rooms have private patios. Wireless Internet access (surcharge) is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 7:30 AM to 10 AM for a fee.</p><p>Renovations : The property is closed between May 1 and September 30.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer via Boat or helicopter to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. The front desk is open daily from 7:00 AM - 7:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 8 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  This property located in Abel Tasman National Park, and is not accessible by road. Guests must arrange transport either by helicopter or sea shuttle prior to their stay.</p>",61-7-5539 9264,Tours/ticket assistance Kayaking on site Terrace Wheelchair accessible  no Luggage storage Number of meeting rooms - 1 Front desk (limited hours) Breakfast available (surcharge) Library Number of bars/lounges - 1 No elevator (single level property) Arcade/game room Well-lit path to entrance Spa services on site Garden Picnic area Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Full-service spa Wedding services Concierge services,-40.862609|173.042907,61-7-5665 4133,7143,https://www.awaroalodge.co.nz/#awaroa-lodge
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,1260223,The Resurgence Luxury Eco Lodge,FiveStar,574 Riwaka Valley Road RD 37161 MotuekaAbel Tasman ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Riuwaka Resurgence - 0.8 km / 0.5 mi <br /> Kaiteriteri Beach - 12.9 km / 8 mi <br /> Little Kaiteriteri Beach - 13.1 km / 8.1 mi <br /> Kaiteriteri Mountain Bike Park - 13.1 km / 8.2 mi <br /> Honeymoon Bay - 13.9 km / 8.7 mi <br /> Motueka District Museum - 15.4 km / 9.5 mi <br /> Ngarua Caves - 15.6 km / 9.7 mi <br /> Marahau Beach - 17.1 km / 10.6 mi <br /> Abel Tasman Coast Track - 18.5 km / 11.5 mi <br /> Abel Tasman National Park - 20.4 km / 12.7 mi <br /> Kina Peninsula - 21.8 km / 13.6 mi <br /> Harwoods Hole - 24.9 km / 15.5 mi <br /> Kahurangi National Park - 34.3 km / 21.3 mi <br /> Mapua Wharf - 36.7 km / 22.8 mi <br /> </p><p>The preferred airport for The Resurgence Luxury Eco Lodge is Nelson (NSN) - 58.1 km / 36.1 mi </p>,"<p>HeadLine : Near Riuwaka Resurgence</p><p>Location : With a stay at The Resurgence Luxury Eco Lodge in Riwaka, you ll be 0.5 mi (0.8 km) from Riuwaka Resurgence and 8 mi (12.9 km) from Kaiteriteri Beach.  This 5-star lodge is 8.2 mi (13.1 km) from Kaiteriteri Mountain Bike Park and 9.7 mi (15.6 km) from Ngarua Caves.</p><p>Rooms : Make yourself at home in one of the 10 individually decorated guestrooms, featuring DVD players and LCD televisions. Your bed comes with down comforters and premium bedding. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Private bathrooms have designer toiletries and hair dryers.</p><p>Dining : Enjoy a satisfying meal at Lodge Dining - 7pm drinks serving guests of The Resurgence Luxury Eco Lodge. Quench your thirst with your favorite drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 8:00 AM to 9:00 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul> Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul> Guests who wish to book dinner are encouraged to contact the property 24 hours before arrival.</p><p>Special Instructions : There is no front desk at this property. For more details, please contact the property using the information on the booking confirmation.</p>",64035284605,Barbecue grill(s) Library Spa services on site Terrace Bar/lounge Luggage storage Concierge services Laundry facilities Free breakfast Restaurant Spa tub Tours/ticket assistance 24-hour fitness facilities Roll-in shower Free self parking Dry cleaning/laundry service Free WiFi Pool sun loungers In-room accessibility Free valet parking Outdoor pool Smoke-free property Garden,-41.036429|172.908802,6435284664,7198,http://www.resurgence.co.nz/
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,1311934,Abel Tasman Lodge,FourStar,295 Sandy Bay Marahau Road Marahau MarahauRD2 Motueka 7197 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Marahau Beach - 0.6 km / 0.4 mi <br /> Abel Tasman Coast Track - 1.3 km / 0.8 mi <br /> Abel Tasman National Park - 0.7 km / 0.5 mi <br /> Honeymoon Bay - 8.4 km / 5.2 mi <br /> Kaiteriteri Beach - 8.6 km / 5.4 mi <br /> Kaiteriteri Mountain Bike Park - 8.9 km / 5.5 mi <br /> Little Kaiteriteri Beach - 9.1 km / 5.7 mi <br /> Abel Tasman Paddleboarding - 15.1 km / 9.4 mi <br /> Motueka District Museum - 17.5 km / 10.9 mi <br /> Riuwaka Resurgence - 18.4 km / 11.4 mi <br /> SimPit Technologies - 19 km / 11.8 mi <br /> Skydive Abel Tasman - 20.6 km / 12.8 mi <br /> Kahurangi National Park - 21.4 km / 13.3 mi <br /> Ngarua Caves - 22.1 km / 13.7 mi <br /> Harwoods Hole - 31.4 km / 19.5 mi <br /> </p><p>The preferred airport for Abel Tasman Lodge is Nelson (NSN) - 60.4 km / 37.5 mi </p>,"<p>HeadLine : Near Marahau Beach</p><p>Location : Located in Marahau, Abel Tasman Lodge is by the sea, within a 5-minute drive of Marahau Beach and Abel Tasman Coast Track.  This 4.5-star lodge is 0.5 mi (0.7 km) from Abel Tasman National Park and 5.2 mi (8.4 km) from Honeymoon Bay.</p><p>Rooms : Make yourself at home in one of the 15 air-conditioned rooms featuring refrigerators and flat-screen televisions. Rooms have private furnished patios. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Take advantage of the lodge s room service. Continental breakfasts are available daily from 7:30 AM to 8:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts credit cards, debit cards, and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 7 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 7 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",64-3-5278250,Barbecue grill(s) Spa services on site Safe-deposit box at front desk Smoke-free property Laundry facilities Free self parking Terrace Concierge services Shopping on site Wheelchair accessible (may have limitations) Number of meeting rooms - 1 Shared microwave Wheelchair-accessible registration desk Free WiFi Shared refrigerator Spa treatment room(s) Number of spa tubs - 1 Garden Picnic area In-room accessibility (in select rooms) Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Eco-friendly cleaning products provided Luggage storage Front desk (limited hours) Breakfast available (surcharge) Library,-41.00094|173.00522,64-3-5278250,7197,http://www.abeltasmanmarahaulodge.co.nz/
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,1315137,Motueka River Lodge,FourStar,1173 Motueka Valley Highway (1173 Motueka Valley Highway)NgatimotiP.O. Box 238 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kahurangi National Park - 13.2 km / 8.2 mi <br /> Skydive Abel Tasman - 14.3 km / 8.9 mi <br /> SimPit Technologies - 15.8 km / 9.8 mi <br /> Motueka District Museum - 17.3 km / 10.7 mi <br /> Neudorf - 22.3 km / 13.9 mi <br /> Kahurangi Estate - 25.1 km / 15.6 mi <br /> Mahana Estates - 26.6 km / 16.5 mi <br /> Tasman Golf Club - 27.9 km / 17.3 mi <br /> Mapua Wharf - 28.9 km / 18 mi <br /> Kina Peninsula - 29.6 km / 18.4 mi <br /> Kaiteriteri Beach - 29.9 km / 18.6 mi <br /> Abel Tasman Paddleboarding - 29.9 km / 18.6 mi <br /> Kaiteriteri Mountain Bike Park - 30.1 km / 18.7 mi <br /> Little Kaiteriteri Beach - 30.1 km / 18.7 mi <br /> Honeymoon Bay - 31 km / 19.2 mi <br /> </p><p>The nearest major airport is Nelson (NSN) - 57.1 km / 35.5 mi</p>,"<p>HeadLine : On a river</p><p>Location : Located in Ngatimoti, Motueka River Lodge is on a river, within a 15-minute drive of Skydive Abel Tasman and SimPit Technologies.  This 4-star bed & breakfast is 26.6 mi (42.9 km) from Abel Tasman National Park and 8.2 mi (13.2 km) from Kahurangi National Park.</p><p>Rooms : Make yourself at home in one of the 6 individually decorated guestrooms, featuring minibars (stocked with some free items) and espresso makers. Complimentary wired and wireless Internet access is available. Private bathrooms have deep soaking bathtubs and rainfall showerheads. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Quench your thirst with your favorite drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 8:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",64-03-5268668,Dry cleaning/laundry service Mountain biking nearby Babysitting or childcare (surcharge) Express check-in Television in common areas Limo or Town Car service available Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Wedding services Tours/ticket assistance Hiking/biking trails nearby Laundry facilities Kayaking nearby RV  bus  truck parking Fireplace in lobby Boat tours nearby Fishing on site Free Cooked-to-Order Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Express check-out Front desk (limited hours) Library Daily Barbecue grill(s) Golfing nearby Free self parking Computer station Terrace Wheelchair accessible path of travel Concierge services 24-hour business center,-41.19141|172.8857,64-03-5268668,7196,http://www.motuekalodge.co.nz/
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,1447936,The Waters,FourStar,182 Kina Pensinsula Road Tasman Tasman 7173 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kina Peninsula - 0.1 km / 0.1 mi <br /> Tasman Golf Club - 3.9 km / 2.4 mi <br /> Mapua Wharf - 12.1 km / 7.5 mi <br /> SimPit Technologies - 12.2 km / 7.6 mi <br /> Motueka District Museum - 13.7 km / 8.5 mi <br /> Skydive Abel Tasman - 13.7 km / 8.5 mi <br /> Mahana Estates - 14 km / 8.7 mi <br /> Neudorf - 14.1 km / 8.8 mi <br /> Kahurangi Estate - 16.8 km / 10.5 mi <br /> Seifried Estate Winery - 20.6 km / 12.8 mi <br /> Hoglund Art Glass - 23.8 km / 14.8 mi <br /> Kaiteriteri Beach - 26.3 km / 16.3 mi <br /> Abel Tasman Paddleboarding - 26.3 km / 16.4 mi <br /> Kaiteriteri Mountain Bike Park - 26.5 km / 16.5 mi <br /> Little Kaiteriteri Beach - 26.5 km / 16.5 mi <br /> </p><p>The preferred airport for The Waters is Nelson (NSN) - 37.4 km / 23.2 mi </p>,"<p>HeadLine : Near Kina Peninsula</p><p>Location : Located in Tasman, The Waters is near the bay, a 1-minute drive from Kina Peninsula and 8 minutes from Tasman Golf Club.  This 4.5-star bed & breakfast is 7.5 mi (12.1 km) from Mapua Wharf and 7.6 mi (12.2 km) from SimPit Technologies.</p><p>Rooms : Make yourself at home in one of the 3 air-conditioned rooms featuring MP3 docking stations and flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and DVD players are provided for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers.</p><p>Dining : A complimentary continental breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in.</p>",64-03-5266714,Pool sun loungers Luggage storage Free breakfast Meeting rooms Skydiving Nearby Free WiFi Daily Garden Picnic area Smoke-free property Bicycle rentals on site In-room accessibility (in select rooms) Wheelchair accessible parking Hiking/biking trails nearby Laundry facilities Tours/ticket assistance Kayaking nearby Free self parking Terrace Free continental breakfast Wheelchair accessible path of travel,-41.17385|173.0517,64-03-5266714,7201,http://www.thewaters.co.nz
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,5435752,Kina Beach Vineyard Cottages,FourStar,21 Dee Rd  ,,"Both cottages at this property are nestled in the heart of a small, premium wine vineyard, offering privacy and stunning water views. Kina Beach Vineyard Cottages are self-contained with 1-bedroom and 1 bathroom each.

Each cottage at Kina Beach Vineyard has a dining area, kitchen, BBQ facilities and access to both free WiFi and private parking. A complimentary bottle of Kina Beach Vineyard wine is provided.

The vineyard is situated almost exactly halfway between Nelson City and Abel Tasman National Park. Idyllic Kina beach is just a 5-minute walk through the vineyard and the Kina Cliffs Golf Course is 2 km away.

Complimentary tea and Nespresso coffee.

Breakfast inclusive rate: breakfast hamper with locally sourced and organically grown provisions for a self-prepared continental breakfast. Includes milk, orange juice, home-made bread, butter, preserves, muesli, yoghurt, locally grown fruit and free range eggs.

Dogs are allowed by enquiry at the Old Schoolhouse only, contact the property before booking. Please inform Kina Beach Vineyard Cottages in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.",,Parking Pets allowed Golf course (within 3 km) Garden Terrace Non-smoking rooms breakfast in the room Free parking internet services Hiking BBQ facilities Cycling Tour desk Heating wifi Free WiFi Non-smoking throughout parking on site Private parking wifi available in all areas board games/puzzles Wine/champagne Fruits Beach Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered,-41.18474|173.05852,,7173,https://www.booking.com/hotel/nz/kina-beach-vineyard-cottage.html
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,5521072,Tasman Village Cottage,All,20 Baldwin Road Tasman Village Cottage  ,,"This beautiful, self-catering cottage is situated on a half acre garden, filled with roses, peonies, lavenders, fruit trees, a large vegetable garden and abundant bird life. The cottage has its own entrance and driveway, well separated from the main house, for privacy.

The garden at Tasman Village Cottage has been developed over 20 years and includes Cape Cod chairs, outdoor tables, benches and umbrellas as well as a gas BBQ and grill for outdoor meals on the verandah.

The Great Taste Cycle Trail runs past Tasman Village Cottages door, ideally situated for those who want to enjoy the trail. The Abel Tasman National Park, Neslon Lakes and Kahurangi National Park are all within an hours drive of the property. Please inform Tasman Village Cottage in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Managed by a private host",,Non-smoking throughout Sun terrace Daily housekeeping parking on site Private parking secured parking Pet bowls Outdoor furniture Picnic area invoice provided Parking Golf course (within 3 km) Garden Terrace Fishing Laundry Free parking internet services Canoeing Hiking BBQ facilities Cycling Heating wifi Free WiFi,-41.19232|173.05043,,7173,https://www.booking.com/hotel/nz/tasman-village-cottage.html
NZ,New Zealand,100436,Abel-Tasman-Nationalpark,5760214,D'Urville House B & B,FourStar,14 Cliff Road Rd 1 Upper Moutere  ,,"Situated in Kina Beach in the Tasman Region, DUrville House Seaside Escape features self-catering accommodation with a patio and free WiFi. The 4-star apartment features sea views and is 41 km from Nelson.

The apartment has 1 bedroom, a TV and a fully equipped kitchen.

Guests can relax in the garden at the property.

Motueka is 9 km from DUrville House Seaside Escape, while Kaiteriteri is 27 km away. Nelson Airport is 37 km from the property. Please inform DUrville House Seaside Escape in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",,Garden wifi available in all areas Cycling Fire extinguishers Private parking internet services Non-smoking throughout Golf course (within 3 km) wifi Free parking Non-smoking rooms Smoke alarms BBQ facilities invoice provided Adult only books  dvds  music for children Canoeing board games/puzzles Heating Fishing Parking Beachfront Free WiFi Luggage storage Hiking Air conditioning On-site parking,-41.18438|173.06413,,7173,https://www.booking.com/hotel/nz/d-39-urville-house-b-amp-b.html
NZ,New Zealand,100594,Ahipara,1179660,Siesta Luxury Guest Lodge & Apartment,ThreeStar,"Tasman Heights Rd, 36 AHIPARA ",,This lovely hotel is situated in Kaitaia. Pets are not allowed at Siesta Luxury Guest Lodge & Apartment.,,Hotel,-35.17359|173.1422,+0000000000,,http://www.siesta.co.nz/
NZ,New Zealand,100594,Ahipara,1458652,Ahipara Holiday Park,ThreeStar,168 Takahe Rd AhiparaNorthland ,,"Ahipara Holiday Park features an outdoor seating area with free gas barbecues, plus a large lounge and dining area with fireplace and a satellite TV. Guests have access to shared kitchen and laundry facilities.

Facilities at Ahipara Holiday Park Northland include a childrens playground, table tennis, board games and DVD hire. Free Wi-Fi is available at the Holiday Park.

Guests have a choice of private accommodation with en suite bathroom or dormitory rooms. Studios and apartments with cooking facilities are available.

The tour desk can organise local activities including quad biking on Ninety Mile Beach, 4-wheel-drive tours, horse treks and surfing. Sufboard and bicycle hire are available. Kaitaia Golf Course is located next door. Kaitaia town centre is 15 km away. Guests arriving outside reception opening hours are kindly requested to inform the hotel in advance. Contact details can be found on the booking confirmation.

Please note the reception opening hours are: 08:00 until 19:00 hours between May and October; and 08:00 until 21:00 hours between November and April.

Please note for bookings of 10 or more guests, different policies and procedures may apply. For further information please contact the property in advance, using the contact details found on the booking confirmation.",644092118,Parking Pets allowed Golf course (within 3 km) Garden Fishing Laundry Family rooms Free parking internet services children's playground Table tennis BBQ facilities Tour desk Horse riding wifi Free WiFi Non-smoking throughout Shared kitchen shared lounge/TV area parking on site Private parking wifi available in all areas bicycle rental invoice provided,-35.16056|173.16157,6494094864,0481,https://www.booking.com/hotel/nz/ahipara-holiday-park.html
