countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
OM,Oman,100165,Al Buraimi,1047117,Mahadha Hotel,TwoStar,Sultanate of Oman WadiyaynPO Box 922512 Buraimi ,,"Mahadha Hotel is built like a Castle, using local stone and Italian Marble. Its ceilings are decorated like a Bedouin tent. The air is fresh and clean as we sit in the mountains of Oman and where there is a fresh breeze all the year around. Indeed the weather is unique.Even thye water in our swimmi9ng pool is from our own springs. The hotel sits in its own grounds of 4 square kilometres and is private and secluded other than the sound of the birds singing. Mahadha Hotel is a mountain resort featuring a traditional décor. It is situated in a secluded location in Mahadha near Buraimi. It offers an outdoor pool, a bar, gym and a restaurant that offers a 24-hour room service.

All rooms and suites are warmly decorated and fitted with tiled floors. Each one offers a small seating area with a flat-screen TV and a minibar. The suite includes a spacious living room with a dining area.  The bathroom is fitted with a bath and a shower.

Mahadha Hotel is a 5-minute drive from the Oman- UAE Border and 10 minutes by car from Emirate of Al Ain. The hotel offers free WiFi in public areas and complimentary on-site parking. Please check your visa requirements before you travel.",,Live music/performance Packed lunches Newspapers kids' outdoor play equipment lift Chapel/shrine Fitness centre express check-in/check-out Bridal suite Sun terrace Room service Shallow end Free parking Plunge pool shops (on site) wifi Swimming pool Parking Outdoor pool internet services On-site parking Lockers BBQ facilities Special diet menus (on request) Mini-market on site Business centre Airport shuttle Shoeshine water slide Cycling Non-smoking rooms Snack Bar Darts VIP room facilities Pub crawls Daily housekeeping Car hire pool/beach towels 24-hour security Terrace 24-hour front desk breakfast in the room Restaurant Air conditioning CCTV in common areas Bicycle rental (additional charge) designated smoking area Luggage storage Tour desk Pool cover airport shuttle (additional charge) dry cleaning Private parking Indoor play area Fire extinguishers Indoor pool Ironing service Safety Deposit Box Ticket service Evening entertainment Kid meals concierge service shared lounge/TV area nightclub/dj Bar meeting/banquet facilities paid wifi outdoor pool (all year) Billiards grocery deliveries Pool Bar CCTV outside property Laundry children's playground Fax/photocopying Non-smoking throughout Hiking Trouser press Karaoke Family rooms Garden shuttle service (additional charge) Table tennis Games room Swimming pool toys Soundproof rooms Security alarm Facilities for disabled guests,24.24579|55.9722,,512,https://www.booking.com/hotel/om/ewa-mahadha.html
OM,Oman,100165,Al Buraimi,1048254,Al Massa Hotel,TwoStar,P.O.Box 490 512 Al Buraimi Main Street Next To Toyota Showroom Opposite Hamasa HotelAl Barami ,,"Almassa offers air-conditioned rooms. It has an elevator, and free wired internet is available in public areas.  Free private parking is available on site.

Almassas simply furnished rooms come with a satellite TV and a minibar. An iron and a safety deposit box are included.  All have a private bathroom.

A variety of drinks and sandwiches are available at Almassa Hotels snack bar. The 24-hour staff can also provide room service.

The nearest mall is an 8-minute drive from Almassa Hotel. Lulus Hypermarket is about 2 km away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please check your visa requirements before you travel.",,CCTV in common areas CCTV outside property Fire extinguishers 24-hour security Private parking parking on site Daily housekeeping Snack Bar Air conditioning Currency exchange Valet parking Safety Deposit Box lift internet services Free parking Ironing service Family rooms 24-hour front desk meeting/banquet facilities Room service Parking,24.23818|55.77047,+96825653007,512,https://www.booking.com/hotel/om/almassa.html
OM,Oman,110746,Bahla,1390368,Jibreen Hotel,ThreeStar,Jibreen Junction Bahla  612 ,,"The Jibreen is a traditional hotel with free Wi-Fi and free parking. It is located in historical Bahala, 2 Km from Jibreen Castle.

Rooms are decorated combining modern amenities such a TV set, and traditional features. They all enjoy views of the surrounding mountains.

The restaurant of Jibreen Hotel offers a varied menu, with dishes from Arabic, Indian, Chinese, and Continental cuisine. Room service is available.

Jibreen Castle is 3 kilometres away and the historical Bahala Fort only slightly further. Muscat International Airport is 90 minutes drive from the hotel. Please check your visa requirements before you travel.",+96825363128,Parking Room service 24-hour front desk Non-smoking rooms Family rooms Free parking internet services Safety Deposit Box Luggage storage wifi Free WiFi Air conditioning Evening entertainment Private parking electric vehicle charging station,22.94707|57.25642,+96825363340,612,https://www.booking.com/hotel/om/jibreen.html
OM,Oman,110746,Bahla,1478407,Bahla Hotel Apartments,ThreeStar,"Al Maamoorah, Bahla,Sultanate Of Oman PO Box 97420 BahlaNizwa ",,"Bahla Hotel Apartments is located in a picturesque valley surrounded with tall range mountains known as Bahla. It offers modern accommodations with free Wi-Fi. Ironing and laundry services can be arranged.

All rooms and apartment s are fitted with tiled and carpeted floors. Each provides you with a flat-screen TV, a small table and an electric kettle. The apartment includes a living room.  A bath and a shower is fitted in the bathroom.

The hotel is 2 km from Bahla Fort, 18 km from Al Hoota Cave and 38 km from Nizwa. Free private parking is possible on site. Please Check your visa requirements before you travel.",,Parking Restaurant Room service 24-hour front desk Non-smoking rooms Laundry dry cleaning Facilities for disabled guests Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift Packed lunches Heating wifi Free WiFi Air conditioning ATM/cash machine on site Sun terrace Daily housekeeping parking on site Private parking wifi available in all areas Kid meals staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available thermometers for guests provided by property face masks for guests available,22.99962|57.31803,96825421017,420,https://www.booking.com/hotel/om/bahla-apartments.html
OM,Oman,144107,Barka,1045555,Barka Farm House,ThreeStar,"Al Uqda Sharqia Walayat , BARKA ",,This lovely hotel can be found in Barka. Those wishing to escape the hustle and bustle of daily routine will find peace and tranquillity at this accommodation. No pets are allowed on the premises.,,Hotel,23.71801|57.80209,96899418561,,http://Al http://Barka http://Muscat http://Sharqia http://Uqda http://Walayat
OM,Oman,144107,Barka,1107428,Al Nahda Resort & Spa,FiveStar,P.O. Box 502 Pc 320 Sultanate Of Oman Post Box 502 Barka PC-320 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Barka Souq - 3.3 km / 2 mi <br /> Jamiya Islam Masjid - 3.9 km / 2.4 mi <br /> Barka Fort - 9.4 km / 5.8 mi <br /> An Naman Castle - 10.8 km / 6.7 mi <br /> Nakhal Fort - 31.4 km / 19.5 mi <br /> Oman Botanic Garden - 37.2 km / 23.1 mi <br /> Sultan Qaboos University - 37.3 km / 23.2 mi <br /> Knowledge Oasis - 46.3 km / 28.8 mi <br /> Markaz Al Bahja Mall - 49.6 km / 30.8 mi <br /> Sahwa Gardens - 50 km / 31.1 mi <br /> Al Mouj Marina - 50.9 km / 31.6 mi <br /> Muscat City Centre Shopping Mall - 51.4 km / 31.9 mi <br /> </p><p>The preferred airport for Al Nahda Resort & Spa is Muscat Intl. Airport (MCT) - 54.5 km / 33.8 mi </p>,"<p>HeadLine : Near Barka Souq</p><p>Location : Located in Barka, Al Nahda Resort & Spa is in the historical district, within a 10-minute drive of Barka Souq and Jamiya Islam Masjid.  This 5-star resort is 5.8 mi (9.4 km) from Barka Fort and 6.7 mi (10.8 km) from An Naman Castle.</p><p>Rooms : Make yourself at home in one of the 109 individually decorated guestrooms, featuring minibars and LED televisions. Your pillowtop bed comes with Egyptian cotton sheets, and all rooms are furnished with sofa beds. Rooms have private patios. Satellite programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Partially open bathrooms with shower/tub combinations feature rainfall showerheads and designer toiletries.</p><p>Dining : Grab a bite at Samar Restaurant, one of the resort s 2 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",968-2-6883175,Accessible bathroom (in select rooms) Airport transportation (surcharge) Outdoor tennis courts - 2 Multilingual staff Conference center Barbecue grill(s) Number of coffee shops/cafes - 1 Laundry facilities elevator Children's club (free) Fitness facilities Supervised childcare/activities (free) Bicycle rentals on site Express check-in Meeting rooms Arcade/game room Health club Spa treatment room(s) Horse riding/rental on site Garden Picnic area Free newspapers in lobby Full-service spa Wedding services Volleyball on site Yoga classes/instruction on site Miniature golf on site Luggage storage Express check-out Porter/bellhop Billiards or pool table Business center 24-hour front desk Playground on site Golfing nearby Spa services on site Outdoor seasonal pool Snorkeling nearby Snack bar/deli Children's pool Steam room Kayaking nearby Free self parking Conference space Lazy river Hair salon Tennis on site Computer station Terrace Wheelchair accessible path of travel Pool sun loungers Conference space size (feet) - 5177 Concierge services Dry cleaning/laundry service Babysitting or childcare (surcharge) Pool umbrellas Conference space size (meters) - 481 Free wired Internet Limo or Town Car service available Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Internet access - wireless Tours/ticket assistance,23.65599|57.87215,96826883710,320,http://www.alnahdaresort.com
OM,Oman,144107,Barka,1151461,Al Sawadi Beach Resort,FourStar,P.O.BOX 747 BARKA ,,This charming hotel can be found in Barka. Al Sawadi Beach Resort & Spa Oman is not a pet-friendly establishment.,,Hotel,23.775939|57.78407,,320,
OM,Oman,144107,Barka,1381203,Dunes by Al Nahda,FourStar,Wadi Al Abiyad Sands N A Barka ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nakhal Fort - 29.7 km / 18.5 mi <br /> Barka Souq - 37.5 km / 23.3 mi <br /> Jamiya Islam Masjid - 37.6 km / 23.3 mi <br /> Barka Fort - 41.4 km / 25.7 mi <br /> An Naman Castle - 42.7 km / 26.6 mi <br /> Abu Bakr Mosque - 44.7 km / 27.8 mi <br /> Washeel Sports Field - 45 km / 28 mi <br /> </p><p>The preferred airport for Dunes by Al Nahda is Muscat Intl. Airport (MCT) - 81.9 km / 50.9 mi </p>,"<p>HeadLine : Near the beach</p><p>Location : With a stay at Dunes by Al Nahda in Barka, you ll be near the beach, and 18.5 mi (29.7 km) from Nakhal Fort and 23.3 mi (37.5 km) from Barka Souq.  This 4.5-star resort is 23.3 mi (37.6 km) from Jamiya Islam Masjid and 25.7 mi (41.4 km) from Barka Fort.</p><p>Rooms : Make yourself at home in one of the 50 individually decorated guestrooms, featuring free minibar items and DVD players. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and rainfall showerheads. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Fleur, a theme restaurant which features a bar/lounge and a garden view. You can also stay in and take advantage of the 24-hour room service. Mingle with other guests at the complimentary reception, held daily. Wrap up your day with a drink at the poolside bar. For your convenience, a complimentary breakfast is served daily.</p><p>Renovations : The property is closed between April 01 and September 30.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",968-2-6883175,Dry cleaning/laundry service Free long-term parking RV  bus  truck parking (surcharge) Babysitting or childcare (surcharge) Pool umbrellas Free reception Number of meeting rooms - 1 Swimming pool Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Braille or raised signage Number of outdoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free breakfast Multilingual staff Conference center Daily Barbecue grill(s) Number of coffee shops/cafes - 1 Laundry facilities Fitness facilities Offsite parking reservations required Children's club (surcharge) Bicycle rentals on site Banquet hall Reception hall Express check-in Television in common areas Arcade/game room Garden Picnic area Free newspapers in lobby Wedding services Volleyball on site Supervised childcare/activities (surcharge) Luggage storage Porter/bellhop 24-hour front desk Spa services on site Safe-deposit box at front desk Children's pool Free self parking Conference space Free valet parking Computer station Terrace ATM/banking Wheelchair accessible path of travel Golf course on site Pool sun loungers Concierge services,23.462892|57.666344,968-2-6883710,320,http://www.dunesbyalnahda.com
OM,Oman,144107,Barka,1877001,Al Basateen Hotel,All,Rumays Near Home Mart 328 Rumays ,,"Located in Rumays, 38 km from Oman Intl Exhibition Center, Al Basateen Hotel Rumays provides accommodation with free WiFi and free private parking. The property is set 42 km from Oman Convention and Exhibition Centre, 48 km from Sultan Qaboos Grand Mosque and 50 km from Oman Avenues Mall. The accommodation offers room service and a 24-hour front desk for guests.

Guest rooms are equipped with air conditioning, a flat-screen TV with satellite channels, a fridge, a kettle, a shower, free toiletries and a wardrobe. Each room is equipped with a private bathroom, while some rooms are equipped with a kitchenette with an oven. At the motel every room includes bed linen and towels.

Sultan Qaboos University is 28 km from Al Basateen Hotel Rumays. The nearest airport is Muscat International Airport, 35 km from the accommodation.",,cashless payment available physical distancing rules followed invoice provided thermometers for guests provided by property face masks for guests available Parking Room service 24-hour front desk Non-smoking rooms Free parking internet services wifi Free WiFi Air conditioning parking on site Private parking use of cleaning chemicals that are effective against coronavirus staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available,23.67504|57.99239,,328,https://www.booking.com/hotel/om/al-basateen-ar-rumays.html
OM,Oman,144107,Barka,1884330,The Pearl Farmhouse,All,An Naman Barka ,,"The Pearl Farmhouse is conveniently located in the popular Barka area. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. All the necessary facilities, including daily housekeeping, 24-hour front desk, 24-hour room service, express check-in/check-out, car park, are at hand. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like additional toilet, separate living room, television LCD/plasma screen, mirror, private entrance. To enhance guests' stay, the hotel offers recreational facilities such as outdoor pool, indoor pool, children's playground, pool (kids), garden. For reliable service and professional staff, The Pearl Farmhouse caters to your needs.",,things to do  ways to relax dining  drinking  and snacking services and conveniences for the kids getting around available in all rooms languages spoken,23.68978500366211|57.851200103759766,,,https://www.agoda.com/partners/partnersearch.aspx?hid=1192474
