countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PW,Palau,110044,Babelthuap,1255607,Airai Water Paradise Hotel & Spa,ThreeStar,P.O. Box 8067 Koror Palau KororPalau 96940 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Etpison Museum - 6.1 km / 3.8 mi <br /> Nikko Bay - 6.6 km / 4.1 mi <br /> WCTC Shopping Center - 6.9 km / 4.3 mi <br /> Asahi Stadium - 7.5 km / 4.6 mi <br /> National Stadium - 7.6 km / 4.7 mi <br /> Rock Islands Southern Lagoon - 7.9 km / 4.9 mi <br /> Palau Aquarium - 8.2 km / 5.1 mi <br /> Belau National Museum - 8.2 km / 5.1 mi <br /> Mother & Child Stone - 8.2 km / 5.1 mi <br /> Rock Islands - 9.2 km / 5.7 mi <br /> Long Island Park - 9.4 km / 5.8 mi <br /> Palau Pacific Resort Beach - 12.3 km / 7.6 mi <br /> Capitol Building - 26.5 km / 16.5 mi <br /> Jellyfish Lake - 33 km / 20.5 mi <br /> Carp Island Beach - 47.1 km / 29.2 mi <br /> </p><p>The preferred airport for Airai Water Paradise Hotel & Spa is Koror (ROR-Palau Intl.) - 2.7 km / 1.7 mi </p>,"<p>HeadLine : On the waterfront</p><p>Location : Located in Airai, Airai Water Paradise Hotel & Spa is by the sea, within a 10-minute drive of Etpison Museum and WCTC Shopping Center.  This family-friendly hotel is 4.1 mi (6.6 km) from Nikko Bay and 4.6 mi (7.5 km) from Asahi Stadium.</p><p>Rooms : Make yourself at home in one of the 75 air-conditioned rooms featuring refrigerators and minibars. Rooms have private balconies. Wireless Internet access (surcharge) is available to keep you connected. Bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite to eat at Airai Restaurant, a restaurant where you can enjoy drinks at the bar/lounge, take in the pool view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Guests must transfer via required shuttle to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport. To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",680-587 3533,Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Shopping on site Free water park access Free long-term parking Pool umbrellas Number of meeting rooms - 3 Limo or Town Car service available Free WiFi Number of bars/lounges - 1 Number of spa tubs - 2 Number of outdoor pools - 2 Tours/ticket assistance Fireplace in lobby Scuba diving on site Free airport transportation Multilingual staff Conference center Breakfast available (surcharge) Ecotours nearby Number of coffee shops/cafes - 1 Laundry facilities Beach umbrellas Express check-in Television in common areas Spa treatment room(s) Marina on site Garden Picnic area Internet access in public areas - high speed Free newspapers in lobby Full-service spa Wedding services Beach towels Free area shuttle Wheelchair accessible  no Luggage storage Express check-out Porter/bellhop 24-hour front desk Golfing nearby Spa services on site Snorkeling nearby Safe-deposit box at front desk Smoke-free property Hiking/biking trails nearby Children's pool Free self parking Conference space Waterslide Hair salon Computer station Beach sun loungers Terrace Pool sun loungers Concierge services,7.361833|134.519391,+6805873530,96940,http://www.airaiwaterparadise.com/
PW,Palau,110044,Babelthuap,1500964,Ngellil Island Bungalows,TwoStar,Airai Rock Islands Ngellil IslandBabeldaob96940 Palau ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Asahi Stadium - 8 km / 4.9 mi &lt;br /&gt;National Stadium - 8.2 km / 5.1 mi &lt;br /&gt;Rock Islands - 17.3 km / 10.7 mi &lt;br /&gt;Capitol Building - 20.8 km / 13 mi &lt;br /&gt;Jellyfish Lake - 26.4 km / 16.4 mi &lt;br /&gt;Carp Island Beach - 39.9 km / 24.8 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Ngellil Island Bungalows is Koror (ROR-Palau Intl.) - 4.1 km / 2.5 mi. &lt;/p&gt;,"Property Location Located in Airai, Ngellil Island Bungalows is by the ocean and within the vicinity of Asahi Stadium and National Stadium. This beach hotel is within the region of Rock Islands.Rooms Make yourself at home in one of the 8 guestrooms. Bathrooms with showers are provided.Rec, Spa, Premium Amenities Enjoy recreation amenities such as a private beach or take in the view from a garden.Dining Enjoy a satisfying meal at a restaurant serving guests of Ngellil Island Bungalows. Full breakfasts are available daily for a fee.Business, Other Amenities For a surcharge, guests may use a roundtrip airport shuttle at scheduled times and a ferry terminal shuttle.",,Private Beach Memory foam mattress Restaurant Safety Deposit Box Wedding services Beach towels Furnished balcony / patio Ferry terminal shuttle (surcharge) JCB Card Barbecue / Grill Concierge Desk Visa MasterCard Area shuttle (surcharge) Diners Club Breakfast available (surcharge) Terrace / Patio Tour desk Toiletries Dry cleaning / laundry service Writing Desk Shower Pets Not Allowed No elevators Luggage storage Discover Fan Airport shuttle (surcharge) Garden,7.32996|134.54529,,96940,
PW,Palau,110044,Babelthuap,1673884,Papago International Resort Palau,ThreeStar,"Ked Airai State Republic Of Palau 96940 P.O Box 8026 Koror Republic Of Palau P.O. Box 8026, Koror Koror 96940 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Rock Islands Southern Lagoon - 1.4 km / 0.9 mi <br /> Etpison Museum - 9 km / 5.6 mi <br /> Nikko Bay - 9.5 km / 5.9 mi <br /> WCTC Shopping Center - 9.7 km / 6 mi <br /> Asahi Stadium - 10.4 km / 6.5 mi <br /> National Stadium - 10.6 km / 6.6 mi <br /> Long Island Park - 12.3 km / 7.6 mi <br /> Capitol Building - 26.3 km / 16.4 mi <br /> Jellyfish Lake - 36 km / 22.4 mi <br /> Carp Island Beach - 50 km / 31.1 mi <br /> </p><p>The nearest major airport is Koror (ROR-Palau Intl.) - 2.5 km / 1.6 mi</p>,"<p>HeadLine : Near the airport</p><p>Location : When you stay at Papago International Resort Palau in Airai, you ll be near the airport and within a 5-minute drive of Rock Islands Southern Lagoon.  This family-friendly resort is 5.6 mi (9 km) from Etpison Museum and 5.9 mi (9.5 km) from Nikko Bay.</p><p>Rooms : Make yourself at home in one of the 101 air-conditioned rooms featuring refrigerators and flat-screen televisions. Bathrooms have showers and hair dryers. Conveniences include complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>No onsite parking is available</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",680-587-6868,Free Buffet Breakfast Fitness facilities Ballroom 24-hour front desk Free breakfast Wheelchair accessible path of travel Accessible bathroom Free WiFi Wheelchair accessible parking Arcade/game room In-room accessibility Airport transportation (surcharge) Braille or raised signage Garden Children's pool Terrace Number of outdoor pools - 1,7.356233|134.539439,680-587-6667,96940,http://palau.papago-resort.com
PW,Palau,110044,Babelthuap,1696263,Ngellil Nature Island Resort,ThreeStar,Koror Island Airai 96940 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Palau Pacific Resort Beach - 15.9 km / 9.9 mi <br /> </p><p>The nearest major airport is Koror (ROR-Palau Intl.) - 3.3 km / 2.1 mi</p>,"<p>HeadLine : In Airai</p><p>Location : When you stay at Ngellil Nature Island Resort in Airai, you ll be 9.9 mi (15.9 km) from Palau Pacific Resort Beach.  This beach lodge is within the vicinity of Nikko Bay and Etpison Museum.</p><p>Rooms : Make yourself at home in one of the 5 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and toothbrushes and toothpaste. Conveniences include electric kettles and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : At Ngellil Nature Island Resort, enjoy a satisfying meal at the restaurant. A complimentary continental breakfast is served daily from 6:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Guests must transfer to the property via boat and must arrange the transfers by contacting the property before travel, using the contact information on the booking confirmation. This property offers transfers from the ferry terminal (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 10:00 AM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",680-680-5873631,On private beach Wheelchair accessible  no Luggage storage Free breakfast Front desk (limited hours) Free WiFi Designated smoking areas Daily Change of towels (on request) Garden Picnic area Laundry facilities Tours/ticket assistance Free self parking Beach towels Kayaking on site Terrace Free continental breakfast Ferry terminal shuttle (surcharge),7.32995|134.545295,680-680-5874746,96940,
PW,Palau,110044,Babelthuap,5437698,Airai Forest Villa,ThreeStar,Ngetkib Airai  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Etpison Museum - 5.9 km / 3.7 mi <br /> Nikko Bay - 6.4 km / 4 mi <br /> WCTC Shopping Center - 6.7 km / 4.1 mi <br /> Asahi Stadium - 7.3 km / 4.5 mi <br /> National Stadium - 7.4 km / 4.6 mi <br /> Rock Islands Southern Lagoon - 7.7 km / 4.8 mi <br /> Palau Aquarium - 8 km / 5 mi <br /> Belau National Museum - 8 km / 5 mi <br /> Mother & Child Stone - 8 km / 5 mi <br /> Rock Islands - 9 km / 5.6 mi <br /> Long Island Park - 9.1 km / 5.7 mi <br /> Palau Pacific Resort Beach - 12.1 km / 7.5 mi <br /> Capitol Building - 26.9 km / 16.7 mi <br /> Jellyfish Lake - 32.8 km / 20.4 mi <br /> Carp Island Beach - 46.9 km / 29.1 mi <br /> </p><p>The nearest major airport is Koror (ROR-Palau Intl.) - 4.7 km / 2.9 mi</p>,"<p>HeadLine : In Airai</p><p>Location : Located in Airai, Airai Forest Villa is within a 10-minute drive of Etpison Museum and WCTC Shopping Center.  This hotel is 4 mi (6.4 km) from Nikko Bay and 4.5 mi (7.3 km) from Asahi Stadium.</p><p>Rooms : Stay in one of 65 guestrooms featuring flat-screen televisions. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Wheelchair accessible  no Luggage storage Lockers available 24-hour front desk Free WiFi Shared refrigerator Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Coffee/tea in common areas Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Tours/ticket assistance Free self parking Terrace Free airport transportation Concierge services,7.372553|134.507462,+6805876688,96940,
PW,Palau,146010,Koror,1122751,Sea Passion Hotel,ThreeStar,Main Street Koror P.O.BOX 10068Koror 96940Malakal Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Rock Islands - 0.2 km / 0.1 mi <br /> Rock Islands Southern Lagoon - 0.6 km / 0.4 mi <br /> Long Island Park - 0.6 km / 0.4 mi <br /> Asahi Stadium - 2.2 km / 1.3 mi <br /> National Stadium - 2.3 km / 1.4 mi <br /> WCTC Shopping Center - 2.7 km / 1.7 mi <br /> Nikko Bay - 3 km / 1.9 mi <br /> Palau Aquarium - 3.2 km / 2 mi <br /> Belau National Museum - 3.2 km / 2 mi <br /> Mother & Child Stone - 3.2 km / 2 mi <br /> Etpison Museum - 3.3 km / 2.1 mi <br /> Palau Pacific Resort Beach - 5.4 km / 3.3 mi <br /> Jellyfish Lake - 23.7 km / 14.7 mi <br /> Capitol Building - 35.8 km / 22.3 mi <br /> Carp Island Beach - 37.7 km / 23.4 mi <br /> </p><p>The preferred airport for Sea Passion Hotel is Koror (ROR-Palau Intl.) - 12 km / 7.5 mi </p>,"<p>HeadLine : Near Long Island Park</p><p>Location : With a stay at Sea Passion Hotel in Malakal Island, you ll be a 2-minute walk from Rock Islands and 7 minutes by foot from Rock Islands Southern Lagoon.  This beach hotel is 0.4 mi (0.6 km) from Long Island Park and 1.3 mi (2.2 km) from Asahi Stadium.</p><p>Rooms : Make yourself at home in one of the 71 air-conditioned rooms featuring refrigerators and flat-screen televisions. Satellite television is provided for your entertainment. Bathrooms feature showers, complimentary toiletries, and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service. A complimentary buffet breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",680-488-0077,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Parking (limited spaces) Number of meeting rooms - 1 Free WiFi Number of outdoor pools - 1 Garden Tours/ticket assistance Boat tours on site Scuba diving on site Free Buffet Breakfast Airport transportation (surcharge) Luggage storage Free breakfast 24-hour front desk Daily Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Free self parking Snorkeling on site Kayaking on site Terrace Concierge services,7.338984|134.457135,+6804880066,96940,http://www.seapassionhotel.com
PW,Palau,146010,Koror,1254098,Palasia Hotel Palau,ThreeStar,Main Street Koror 96940 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>WCTC Shopping Center - 0.4 km / 0.2 mi <br /> Etpison Museum - 0.4 km / 0.2 mi <br /> Nikko Bay - 0.4 km / 0.2 mi <br /> Asahi Stadium - 1.1 km / 0.7 mi <br /> National Stadium - 1.2 km / 0.8 mi <br /> Rock Islands Southern Lagoon - 1.6 km / 1 mi <br /> Palau Aquarium - 1.8 km / 1.1 mi <br /> Belau National Museum - 1.8 km / 1.1 mi <br /> Mother & Child Stone - 1.8 km / 1.1 mi <br /> Rock Islands - 2.8 km / 1.7 mi <br /> Long Island Park - 3 km / 1.8 mi <br /> Palau Pacific Resort Beach - 5.7 km / 3.5 mi <br /> Jellyfish Lake - 26.6 km / 16.5 mi <br /> Capitol Building - 33 km / 20.5 mi <br /> Carp Island Beach - 40.6 km / 25.2 mi <br /> </p><p>The preferred airport for Palasia Hotel Palau is Koror (ROR-Palau Intl.) - 9.1 km / 5.7 mi </p>,"<p>HeadLine : Near WCTC Shopping Center</p><p>Location : With a stay at Palasia Hotel Palau in Koror, you ll be within a 5-minute walk of WCTC Shopping Center and Etpison Museum.  This hotel is 0.2 mi (0.4 km) from Nikko Bay and 0.6 mi (1 km) from Asahi Stadium.</p><p>Rooms : Make yourself at home in one of the 165 air-conditioned rooms featuring refrigerators. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Satisfy your appetite for lunch or dinner at Desomel, a restaurant which specializes in international cuisine, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 7:30 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",680-4888800,Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 2 In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free Cooked-to-Order Breakfast Free airport transportation Luggage storage Free breakfast Multilingual staff 24-hour front desk Water dispenser Daily Safe-deposit box at front desk Designated smoking areas (fines apply) Snack bar/deli Laundry facilities Sauna Steam room elevator Free self parking Fitness facilities Conference space Terrace Concierge services Gift shops or newsstand Wheelchair accessible (may have limitations) Number of meeting rooms - 1 Wheelchair-accessible registration desk Television in common areas Scuba diving nearby,7.343081|134.480594,680-4888888,96940,http://www.palasia-hotel.com
PW,Palau,146010,Koror,1254167,Palau Royal Resort,FourStar,P.O. Box 10108 KororMalakal 96940 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Rock Islands Southern Lagoon - 0.7 km / 0.4 mi <br /> Rock Islands - 0.8 km / 0.5 mi <br /> Long Island Park - 1.2 km / 0.8 mi <br /> Asahi Stadium - 2.8 km / 1.7 mi <br /> National Stadium - 2.9 km / 1.8 mi <br /> WCTC Shopping Center - 3.3 km / 2 mi <br /> Nikko Bay - 3.6 km / 2.3 mi <br /> Palau Aquarium - 3.8 km / 2.4 mi <br /> Belau National Museum - 3.8 km / 2.4 mi <br /> Mother & Child Stone - 3.8 km / 2.4 mi <br /> Etpison Museum - 3.9 km / 2.5 mi <br /> Palau Pacific Resort Beach - 6.1 km / 3.8 mi <br /> Jellyfish Lake - 23.6 km / 14.7 mi <br /> Capitol Building - 36.5 km / 22.7 mi <br /> Carp Island Beach - 37.7 km / 23.4 mi <br /> </p><p>The preferred airport for Palau Royal Resort is Koror (ROR-Palau Intl.) - 12.7 km / 7.9 mi </p>,"<p>HeadLine : Near Long Island Park</p><p>Location : When you stay at Palau Royal Resort in Malakal Island, you ll be on the waterfront, within a 10-minute walk of Rock Islands Southern Lagoon and Rock Islands.  This 4-star resort is 0.8 mi (1.3 km) from Long Island Park and 1.8 mi (2.8 km) from Asahi Stadium.</p><p>Rooms : Stay in one of 157 guestrooms featuring LCD televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Grab a bite at Waves Restaurant, a restaurant which features a bar/lounge and a garden view. You can also stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the beach bar. Buffet breakfasts are available daily from 6:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",1-680-4886688,Rowing or canoeing on site Designated smoking areas (fines apply) Children's pool Steam room Kayaking on site Computer station Beach sun loungers Terrace Golf course on site Pool sun loungers Concierge services Gift shops or newsstand Dry cleaning/laundry service Pool umbrellas Number of meeting rooms - 1 Free wired Internet Sailing nearby Limo or Town Car service available Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Number of beach bars - 1 In-room accessibility (in select rooms) Tours/ticket assistance Airport transportation (surcharge) On private beach Free WiFi (limited) device count - 3 Outdoor tennis courts - 1 Multilingual staff Breakfast available (surcharge) Ecotours nearby Laundry facilities elevator Fitness facilities Snorkeling on site Wheelchair accessible (may have limitations) Wheelchair accessible Beach umbrellas Wheelchair-accessible registration desk Spa treatment room(s) Garden Full-service spa Beach towels Boat tours nearby Yoga classes/instruction on site Miniature golf on site Luggage storage Porter/bellhop Billiards or pool table Business center 24-hour front desk Playground on site Golfing nearby Spa services on site Safe-deposit box at front desk,7.335409|134.458093,680-488-2000,96940,http://www.palau-royal-resort.com
PW,Palau,146010,Koror,1255027,West Plaza Hotel by the Sea,ThreeStar,Koror KororPalau ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Etpison Museum - 0.5 km / 0.3 mi <br /> WCTC Shopping Center - 0.7 km / 0.4 mi <br /> Nikko Bay - 0.8 km / 0.5 mi <br /> Asahi Stadium - 1.4 km / 0.9 mi <br /> National Stadium - 1.6 km / 1 mi <br /> Rock Islands Southern Lagoon - 1.9 km / 1.2 mi <br /> Palau Aquarium - 2.2 km / 1.3 mi <br /> Belau National Museum - 2.2 km / 1.3 mi <br /> Mother & Child Stone - 2.2 km / 1.3 mi <br /> Rock Islands - 3.1 km / 2 mi <br /> Long Island Park - 3.3 km / 2.1 mi <br /> Palau Pacific Resort Beach - 6.3 km / 3.9 mi <br /> Jellyfish Lake - 27.1 km / 16.9 mi <br /> Capitol Building - 33.1 km / 20.6 mi <br /> Carp Island Beach - 41.2 km / 25.6 mi <br /> </p><p>The preferred airport for West Plaza Hotel by the Sea is Koror (ROR-Palau Intl.) - 9.2 km / 5.7 mi </p>,"<p>HeadLine : Near Etpison Museum</p><p>Location : With a stay at West Plaza Hotel by the Sea, you ll be centrally located in Koror, within a 10-minute walk of Etpison Museum and WCTC Shopping Center.  This hotel is 1 mi (1.5 km) from Asahi Stadium and 1.1 mi (1.7 km) from National Stadium.</p><p>Rooms : Make yourself at home in one of the 36 air-conditioned rooms featuring refrigerators and flat-screen televisions. Satellite television is provided for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and slippers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Guests must transfer via Shuttle to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",010-680-4882136,Dry cleaning/laundry service Airport transportation (surcharge) Wheelchair accessible  no Private beach nearby Ziplining nearby 24-hour front desk Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Safe-deposit box at front desk Ecotours nearby Bicycle rentals nearby Number of coffee shops/cafes - 1 Hiking/biking trails nearby Laundry facilities Tours/ticket assistance elevator Beach towels Terrace,7.34703|134.480592,+010 680 4882133,96940,http://www.bythesea.wphpalau.com
PW,Palau,146010,Koror,1255028,Palau Plantation Resort,ThreeStar,P.O. Box 1722 Koror 96940 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nikko Bay - 0.1 km / 0.1 mi <br /> Rock Islands Southern Lagoon - 0.5 km / 0.3 mi <br /> Palau Aquarium - 0.8 km / 0.5 mi <br /> Belau National Museum - 0.8 km / 0.5 mi <br /> Mother & Child Stone - 0.8 km / 0.5 mi <br /> Asahi Stadium - 0.8 km / 0.5 mi <br /> WCTC Shopping Center - 1 km / 0.6 mi <br /> National Stadium - 1.2 km / 0.8 mi <br /> Etpison Museum - 1.8 km / 1.1 mi <br /> Rock Islands - 2.8 km / 1.7 mi <br /> Long Island Park - 3 km / 1.9 mi <br /> Palau Pacific Resort Beach - 5.9 km / 3.7 mi <br /> Jellyfish Lake - 26.8 km / 16.6 mi <br /> Capitol Building - 34.3 km / 21.3 mi <br /> Carp Island Beach - 40.8 km / 25.4 mi <br /> </p><p>The preferred airport for Palau Plantation Resort is Koror (ROR-Palau Intl.) - 10.5 km / 6.5 mi </p>,"<p>HeadLine : Near Palau Aquarium</p><p>Location : With a stay at Palau Plantation Resort in Koror, you ll be in the suburbs, just a 1-minute walk from Nikko Bay and 6 minutes by foot from Rock Islands Southern Lagoon.  This hotel is 0.5 mi (0.8 km) from Palau Aquarium and 0.5 mi (0.8 km) from Belau National Museum.</p><p>Rooms : Make yourself at home in one of the 20 air-conditioned rooms featuring refrigerators. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a satisfying meal at Jungle Bar serving guests of Palau Plantation Resort. Cooked-to-order breakfasts are available daily from 6:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property only accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 10:00 PM. Front desk staff will greet guests on arrival.</p>",680-488-7425,Dry cleaning/laundry service Airport transportation (surcharge) No accessible airport shuttle Wheelchair accessible  no Parking (limited spaces) Luggage storage Airport transportation Front desk (limited hours) Breakfast available (surcharge) Limo or Town Car service available Scuba diving nearby Free WiFi Designated smoking areas Number of outdoor pools - 1 Upper floors accessible by stairs only Garden Safe-deposit box at front desk Free self parking Terrace,7.335252|134.477123,680-4883631,96940,http://www.palau-resort.com/
