countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PA,Panama,105163,Antón,1421268,Hato Viejo Boutique Hotel,ThreeStar,Via Interamericana Km. 125 between Rio Hato and Anton AntonCocle ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Parroquia Santiago Apóstol de Río Hato - 5.2 km / 3.2 mi <br /> Buenaventura Marina - 10.8 km / 6.7 mi <br /> Playa Blanca - 10.8 km / 6.7 mi <br /> Farallon Island - 11.9 km / 7.4 mi <br /> La Casa de Lourdes Outdoor Spa - 12.3 km / 7.6 mi <br /> Farallón Beach - 12.9 km / 8 mi <br /> Santa Clara Beach - 13.2 km / 8.2 mi <br /> 8 de Diciembre Park - 25.9 km / 16.1 mi <br /> Penonomena History and Tradition Museum - 26.6 km / 16.5 mi <br /> Chorro El Macho - 32.5 km / 20.2 mi <br /> Playa El Palmar - 32.6 km / 20.3 mi <br /> Chorro de las Mozas - 37.2 km / 23.1 mi <br /> Museum El Valle - 39 km / 24.2 mi <br /> Serpentarium - 39.2 km / 24.3 mi <br /> Sleeping Indian Girl - 39.3 km / 24.4 mi <br /> </p><p>The nearest airports are:<br />Tocumen Intl. Airport (PTY) - 145.9 km / 90.7 mi<br /> Rio Hato (RIH-Scarlett Martinez Intl.) - 10.1 km / 6.3 mi<br /> </p><p>The preferred airport for Hato Viejo Boutique Hotel is Tocumen Intl. Airport (PTY). </p>,"<p>HeadLine : In El Chiru</p><p>Location : With a stay at Hato Viejo Boutique Hotel in El Chiru, you ll be within a 15-minute drive of Playa Blanca and Parroquia Santiago Apóstol de Río Hato.  This family-friendly farm stay is 8 mi (12.9 km) from Farallón Beach and 24.4 mi (39.3 km) from Sleeping Indian Girl.</p><p>Rooms : Make yourself at home in one of the 14 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy American cuisine at Los Establos, one of the farm stay s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 9:30 PM. Front desk staff will greet guests on arrival.</p>",+55(0)1333511152,Wheelchair accessible parking Wedding services Tours/ticket assistance Free continental breakfast Luggage storage Free breakfast Business center Front desk (limited hours) Playground on site Daily Spa services on site Smoke-free property Snack bar/deli Number of coffee shops/cafes - 1 Children's pool Ecotours on site elevator Free self parking Computer station Terrace Wheelchair accessible path of travel Concierge services Dry cleaning/laundry service Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 2 Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Hiking/biking trails on site Horse riding/rental on site Number of swim-up bars - 1 Garden Picnic area,8.387342|-80.21052,507-000-8387094,084300661,http://www.hotelhatoviejo.com/
PA,Panama,105163,Antón,1675781,Las Catalinas Anton Panama,All,Avenida Sequnda Anton ,,"Set in Antón, Las Catalinas Anton Panama features a garden, terrace, casino, and free WiFi throughout the property. The accommodation offers a shared kitchen, a concierge service and organising tours for guests.

The units in the inn are equipped with a coffee machine. All rooms are complete with a private bathroom and air conditioning, and certain rooms will provide you with a balcony. At Las Catalinas Anton Panama every room includes bed linen and towels.

The nearest airport is Panama Pacifico International Airport, 128 km from the accommodation. Please inform Las Catalinas Anton Panama in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.",,Air conditioning designated smoking area Sun terrace concierge service Private check-in/check-out Shared kitchen wifi available in all areas Street parking Outdoor furniture Picnic area Beach Walking tours Tour or class about local culture Cooking class 24-hour security Key access Parking Pets allowed meeting/banquet facilities Garden Terrace Non-smoking rooms Fishing Laundry dry cleaning Barber/beauty shop Family rooms Casino Ironing service Free parking internet services Hiking Chapel/shrine BBQ facilities Tour desk wifi Free WiFi Non-smoking throughout use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers,8.39422|-80.26199,+5079873912,,https://www.booking.com/hotel/pa/hostal-las-catalinas-anton-panama.html
PA,Panama,105163,Antón,1693806,Villa Astoria Guest House,TwoStar,Avenida 3A AntonCocle ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Parroquia Santiago Apóstol de Río Hato - 11.8 km / 7.3 mi <br /> Farallon Beach - 17.2 km / 10.7 mi <br /> Playa Blanca - 17.6 km / 10.9 mi <br /> Santa Clara Beach - 18.7 km / 11.6 mi <br /> Farallon Island - 18.9 km / 11.7 mi <br /> 8 de Diciembre Park - 19.6 km / 12.2 mi <br /> Penonomena History and Tradition Museum - 19.9 km / 12.4 mi <br /> Museum El Valle - 38.6 km / 24 mi <br /> Serpentarium - 38.7 km / 24.1 mi <br /> Sleeping Indian Girl - 38.8 km / 24.1 mi <br /> La Piedra Pintada - 39.2 km / 24.4 mi <br /> Sunday Market - 39.3 km / 24.4 mi <br /> APROVACA The Orchid Center - 39.6 km / 24.6 mi <br /> Chorro Macho Waterfall - 40.2 km / 25 mi <br /> Gaital National Park - 40.2 km / 25 mi <br /> </p><p>The nearest airports are:<br />Rio Hato (RIH-Scarlett Martinez Intl.) - 16.8 km / 10.4 mi<br /> Chitre (CTD-Alonso Valderrama) - 125.6 km / 78 mi<br /> Panama City (PTY-Tocumen Intl.) - 152.5 km / 94.7 mi<br /> </p><p>The preferred airport for Villa Astoria Guest House is Panama City (PTY-Tocumen Intl.). </p>,"<p><b>Property Location</b> <br />When you stay at Villa Astoria Guest House in Anton, you'll be in the historical district and 10 minutes by car from Parroquia Santiago Apóstol de Río Hato.  This guesthouse is 10.7 mi (17.2 km) from Farallon Beach and 10.9 mi (17.6 km) from Playa Blanca.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 9 guestrooms. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries.</p><p><b>Amenities</b> <br />Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include multilingual staff, luggage storage, and laundry facilities.</p>",,Accessible bathroom Free WiFi Garden Laundry facilities Luggage storage Multilingual staff Number of floors - 1 Roll-in shower Shared microwave Shared refrigerator Smoke-free property Television in common areas Terrace Total number of rooms - 9,8.39488|-80.26294,+5079082393,,http://villaastoria.org
PA,Panama,105163,Antón,1749661,Hotel Rivera,All,Via Interamericana AntonCocle ,,"Featuring a casino and a garden, Hotel Rivera is located in Antón. Among the facilities of this property are a restaurant, a 24-hour front desk and a tour desk, along with free WiFi. Guests can make use of a bar.

The hotel offers an outdoor pool.

Playa Blanca is 16 km from Hotel Rivera, while Penonomé is 18 km away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
A prepayment of 50% is required in order to guarantee your booking. The property will contact you with instructions and the time limit to pay the deposit.",,Free self parking Restaurant Meeting rooms Bar/lounge 24-hour front desk Garden Non-smoking rooms Facilities for disabled guests Family rooms Casino Internet access Packed lunches Tour desk Luggage storage Free WiFi Outdoor pool Free WiFi Non-smoking throughout Air conditioning Snack bar/deli Terrace Private check-in/check-out Daily housekeeping Parking onsite Private parking Public Bath Swimming pool toys Children television networks Kid meals Wheelchair accessible Toilet with grab rails,8.39898|-80.26284,+5079872245,,https://www.booking.com/hotel/pa/rivera.html
PA,Panama,105163,Antón,1881996,Hotel Plaza Numero 1,TwoStar,Calle 3a Avenida 3raAnton ,,"Hotel Plaza Numero 1 provides accommodation in Antón. The property has a garden, as well as a terrace. A tour desk can provide information on the area.

At the japanese-style business hotel, every room is fitted with a balcony. With a private bathroom, rooms at Hotel Plaza Numero 1 also provide guests with free WiFi.

The accommodation offers a continental or American breakfast. At Hotel Plaza Numero 1 you will find a restaurant serving European cuisine.

Playa Blanca is 17 km from the japanese-style business hotel, while Penonomé is 19 km from the property. Please note that the check-in and key-collection take place at: ,  .",,Free self parking Restaurant Pets allowed Room service Garden Terrace Non-smoking rooms Airport shuttle Family rooms Internet access Chapel/shrine Tour desk Fax/photocopying Free WiFi Free WiFi Air conditioning Snack bar/deli Private check-in/check-out Area shuttle (surcharge) Airport transportation (surcharge) Parking onsite Street parking,8.39291|-80.26238,,,https://www.booking.com/hotel/pa/plaza-numero-1.html
PA,Panama,105163,Antón,5400318,Apartamento Playa Blanca,All,Playa Blanca Beach And Resort Rio Hato Panama Ph Town Center Piso 4  ,,"Located in Playa Blanca, just 300 metres from Playa Blanca Beach, Apartamento Playa Blanca provides beachfront accommodation with an outdoor swimming pool, a garden, a restaurant and free WiFi. This apartment offers air-conditioned accommodation with a balcony.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with sea views. For added convenience, the property can provide towels and bed linen for an extra charge.

The property features a kids club offering various activities, as well as a playground.

Farallon Beach is 600 metres from the apartment. The nearest airport is Panama Pacifico International Airport, 118 km from Apartamento Playa Blanca. Please inform Apartamento Playa Blanca in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Managed by a private host",,Swimming pool Beach 24-hour security Smoke alarms CCTV in common areas CCTV outside property Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines Parking Restaurant Bar Tennis Court Sauna Garden Terrace Non-smoking rooms Facilities for disabled guests Family rooms Free parking internet services guest accommodation is disinfected between stays lift guest accommodation sealed after cleaning express check-in/check-out physical distancing in dining areas Spa and wellness centre staff follow all safety protocols as directed by local authorities Massage children's playground shared stationery such as printed menus  magazines  pens  and paper removed Packed lunches Tour desk wifi Outdoor pool Free WiFi Air conditioning Private beach area outdoor pool (all year) water sport facilities on site kids' club hand sanitizer in guest accommodation and key areas minimarket on site contactless check-in/check-out Beachfront cashless payment available Water park physical distancing rules followed Daily housekeeping screens or physical barriers placed between staff and guests in appropriate areas parking on site all plates  cutlery  glasses and other tableware have been sanitized wifi available in all areas guests have the option to cancel any cleaning services for their accommodation during their stay Public Bath water slide Kid meals secured parking Street parking electric vehicle charging station Accessible parking Wheelchair accessible Pool with view Salt-water pool Pool Bar Shallow end coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Spa Facilities Spa lounge/relaxation area Back massage Neck massage Foot massage Couples massage Head massage Hand massage Full body massage kids' pool,8.35352|-80.14692,,,https://www.booking.com/hotel/pa/apartamento-playa-blanca.html
PA,Panama,111100,Balboa,1271837,The Balboa Inn Bed & Breakfast,ThreeStar,Las Cruces Street 2311A 0843 Balboa ,,"Set in Panama City, The Balboa Inn offers accommodation with seating area. Complimentary WiFi is available. The Balboa Inn offers a terrace, Guests can go hiking or relax in the garden.

Fitted with a patio, the units feature a flat-screen TV and a private bathroom with free toiletries.
All rooms have their private bathroom with soap, shampoo and towels included.
breakfast is $ 5 per person, we give you the menu and you choose what you want to eat at breakfast.

We offer a laundry service for $ 12 which includes, washing, detergent, drying. We take your clothes to the room.

Ancon Hill is 4.1 km from the accommodation. The nearest airport is Marcos A. Gelabert (albrook) Airport at 3.2 km. The Tocumen International Airport, at 38 km from The Balboa Inn. This property will not accommodate hen, stag or similar parties.",,Restaurant Pets allowed Bar 24-hour front desk Garden Terrace Non-smoking rooms Laundry Family rooms internet services express check-in/check-out Safety Deposit Box Fax/photocopying Luggage storage wifi Free WiFi Air conditioning designated smoking area Sun terrace shared lounge/TV area Daily housekeeping wifi available in all areas board games/puzzles Street parking Parking garage Wine/champagne Outdoor furniture 24-hour security CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,8.95476|-79.55424,+5073141520,0000,https://www.booking.com/hotel/pa/the-balboa-inn-panama-city.html
PA,Panama,111100,Balboa,1881961,Hostal Amador Familiar,All,Balboa Casa 1519 Avenida AmadorDetras De Pizzeria TamburelliAlado Del Parque ,,"Located in Panama City, 1.8 km from Bridge of the Americas, Hostal Amador Familiar provides accommodation with a garden, free private parking, a shared lounge and barbecue facilities. Featuring a concierge service, this property also provides guests with a childrens playground. The accommodation offers a 24-hour front desk, airport transfers, a shared kitchen and free WiFi throughout the property.

At the hostel, each room comes with a wardrobe. Complete with a private bathroom, guest rooms at Hostal Amador Familiar are equipped with air conditioning, and selected rooms come with a seating area. At the accommodation each room is fitted with bed linen and towels.

You can play table tennis at Hostal Amador Familiar.

Ancon Hill is 5 km from the hostel, while Rod Carew National Stadium is 13 km away. The nearest airport is Albrook ""Marcos A. Gelabert"" International Airport, 3 km from Hostal Amador Familiar. Please inform Hostal Amador Familiar in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",,cashless payment available physical distancing rules followed Parking screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized 24-hour front desk Garden Non-smoking rooms Airport shuttle Laundry guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available dry cleaning Family rooms Games room Ironing service Free parking internet services express check-in/check-out Valet parking children's playground Table tennis Karaoke BBQ facilities Tour desk Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar concierge service Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Shared kitchen shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas Public Bath board games/puzzles Parking garage Accessible parking airport pick up airport drop off Sun umbrellas Outdoor furniture Picnic area Outdoor fireplace Shuttle service Movie nights 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available,8.94929|-79.55553,+5073141251,10000,https://www.booking.com/hotel/pa/hostal-amador-familiar-panama-city.html
PA,Panama,112428,Boca Chica,1220082,Cala Mia Island Resort,FiveStar,Isla Boca Brava Archipielago De Chiriqui Isla Boca Brava ,,"Cala Mia harvests its water from a natural artesian aquifer (pure drinking water) and co-generate electricity using solar energy and generators and employ an ecological waste-management systems. We have a healthy and abundant wild life. Situated on the island of Boca Brava, this resort features a spa, an outdoor swimming pool and a private beach area. It offers ecological accommodation with a sun-shaded patio and ocean views. Free WiFi is available throughout.

Cala Mia Boutique Island Resort rooms have large bedrooms, a bathroom with shower and a spacious seating area. The patio has a thatched roof and hammocks.

Cala Mia Restaurant serves a fusion of Italian and tropical fare with organic vegetables and dairy from the hotels own farm. Bird, whale or monkey-watching can be arrange as well as private boat rides to an uninhabited island, or kayaking.

A scenic water taxi from David Airport straight to the resort can be arranged for a fee. The property offers boat transportation for at an additional cost to and from Boca Chica, though the transportation is free with a 3 night stay. The resort has a 24-hour reception desk and offers a shuttle service from the airport at an additional cost. Bringing your own food and alcohol to the resort is strictly prohibited.

Please contact the resort after completing reservation in order to receive instructions on how to get to the property from David and schedule your ferry pickup. Transportation can be arranged through a 3rd party provider from David Airport by boat or car.

Boat transportation from Boca Chica to the hotel is free with a 3-night stay, otherwise there is a charge of $20 each way. The arrival ferry schedule is 11am, 4pm & 8pm while departure is at 10.30 am. Any boat service outside the ferry schedule has an additional charge.

Guests are required to show a photo identification and credit card upon check-in and will be required to complete a liability wavier form due to the remoteness of the resorts location.

The Cala Mia Dock is private and non Cala Mia vessels are prohibited from using our dock or marina facilities. Any customers who contract 3rd party services or boats and require pick up from our facilities will be charged $100 per use fee.",+507(0)8510059,Laundry facilities Family rooms Arcade/game room VIP room facilities Breakfast service Ironing service Internet access Safe-deposit box at front desk Spa and wellness centre Massage Table tennis Library Business services Hiking BBQ facilities Packed lunches Tour desk Fax/photocopying Diving Horse riding Snorkelling Luggage storage Free WiFi Outdoor pool Free WiFi Air conditioning On private beach Snack bar/deli Terrace Concierge services Private check-in/check-out Special diet menus (on request) Water sport facilities (on site) Airport transportation (surcharge) Daily housekeeping Games Restaurant Pets allowed Room service Bar/lounge Garden Terrace Non-smoking rooms Airport shuttle Fishing Babysitting or childcare,8.2067|-82.25238,+5078510025,00000,https://www.booking.com/hotel/pa/boutique-cala-mia.html
PA,Panama,112428,Boca Chica,1229134,Bocas del Mar,FourStar,Boca Chica Chiriqui ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boca Chica Church - 3.1 km / 1.9 mi <br /> Boca Chica Marina - 3.1 km / 1.9 mi <br /> Playa Grande - 0.2 km / 0.1 mi <br /> </p><p>The preferred airport for Bocas del Mar Hotel is David (DAV-Enrique Malek Intl.) - 63.7 km / 39.6 mi </p>,"<p>HeadLine : Near Boca Chica Marina</p><p>Location : Located in Boca Chica, Bocas del Mar Hotel is by the ocean and within the region of Port of Pedregal and Miguel de Cervantes Saavedra Park.  This 4-star hotel is within the region of Parque Recreativo Omar Torrijos Herrera.</p><p>Rooms : Make yourself at home in one of the 31 air-conditioned rooms featuring flat-screen televisions. Rooms have private furnished patios. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have rainfall showerheads and complimentary toiletries.</p><p>Dining : Enjoy international cuisine at Bocas del Mar, a restaurant where you can enjoy drinks at the bar/lounge, take in the garden view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the poolside bar. A complimentary full breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. The host will greet guests on arrival.</p>",,Safe-deposit box at front desk Smoke-free property Hiking/biking trails nearby Laundry facilities Free self parking Conference space Kayaking on site Tennis on site Motor boating on site Terrace Pool sun loungers Conference space size (feet) - 650 Concierge services Wheelchair accessible (may have limitations) Free full breakfast Game drive on site Pool umbrellas Number of meeting rooms - 1 Water sports equipment Conference space size (meters) - 60 24-hour pool access Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 2 Horse riding/rental on site Garden Picnic area In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Water skiing on site Boat tours on site Beach shuttle (surcharge) Airport transportation (surcharge) Luggage storage Free breakfast Outdoor tennis courts - 1 Multilingual staff Playground on site Daily Snorkeling nearby,8.218844|-82.206126,+50763958757,0000,http://www.bocasdelmar.com/
