countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
QA,Qatar,116201,Doha,1001940,Souq Waqif Boutique Hotels - Tivoli,FiveStar,SOUQ WAQLF DOHA ,Souq Waqif: within 0 metre  Pearl Island: within 20000 metre  Islamic Museum of Art: within 500 metre ,"Located in the heart of Doha's buzzing landmark Souq Waqif, this hotel features an intricate d?cor and architecture, and allows its guests access to the extensive walkways of the monument. They will be within a 10-minute drive from Doha's Corniche and just 5 minutes on foot from the Museum of Islamic Art and the city centre. Doha Airport is a 15-minute drive away and Qatar National Muses is reachable within half that time. All rooms and suites of the hotel features traditional Arabic d?cor and are equipped with living rooms with plush sofas, flat-screen TVs and few even open to balconies overlooking Souq Waqif. What makes the venue really special is its host of personalized services including in-suite dining prepared by a private chef that will suit even the most ardent of tastes. Authentic spa where treatments that can be tailored based on the guests preferences and many others.",,Hairdryer TV Radio Hi-fi Kitchenette Minibar Microwave Ironing set Carpeted floors Individually adjustable air conditioning Safe Balcony Mobile phone coverage Transfer service Room service Laundry service Medical service Hotel American Express Diners Club MasterCard Visa Bathroom Shower Multilingual staff Air conditioning in public areas Hotel safe Currency exchange facilities Cloakroom Lift access Gym Café Restaurant Non-smoking area Smoking area Highchairs Air conditioning in Restaurant Business centre Sauna Steam bath Hot tub Massage Spa treatments Spa centre Breakfast Breakfast buffet Continental Breakfast À la carte lunch Set menu lunch À la carte dinner Set menu dinner,25.288535|51.531451,,1274,http://al-jasrahotel.com/
QA,Qatar,116201,Doha,1012852,Century Hotel Doha,FourStar,Old Slata 820 Malik Bin Anas Refaa District 22367 Doha El Refaa District Old SlataEl Refaa DistrictDoha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>National Museum of Qatar - 0.5 km / 0.3 mi <br /> Doha Corniche - 0.9 km / 0.5 mi <br /> MIA Park - 1.2 km / 0.7 mi <br /> Doha Port - 1.2 km / 0.8 mi <br /> Abdulla Bin Zaid Al Mahmoud Islamic Cultural Center - 1.4 km / 0.9 mi <br /> Grand Hamad Street - 1.4 km / 0.9 mi <br /> Souq Waqif - 1.5 km / 0.9 mi <br /> Gold Souq - 1.5 km / 0.9 mi <br /> Pouce - 1.6 km / 1 mi <br /> Museum of Islamic Art - 1.6 km / 1 mi <br /> Souq Waqif Park - 1.8 km / 1.1 mi <br /> Pearl Monument - 1.9 km / 1.2 mi <br /> Al Khoot Fort - 1.9 km / 1.2 mi <br /> Msheireb Museums - 2 km / 1.3 mi <br /> Souq Waqif Art Gallery - 2 km / 1.3 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 13.3 km / 8.2 mi<br /> Doha (DIA-Doha Intl.) - 7.4 km / 4.6 mi<br /> </p><p>The preferred airport for Century Hotel is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near National Museum of Qatar</p><p>Location : With a stay at Century Hotel, you ll be centrally located in Doha, a 6-minute walk from National Museum of Qatar and 11 minutes by foot from Doha Corniche.  This 4-star hotel is 1.3 mi (2.1 km) from Museum of Islamic Art and 1.9 mi (3 km) from Souq Waqif Art Gallery.</p><p>Rooms : Make yourself at home in one of the 215 air-conditioned rooms featuring minibars. Your pillowtop bed comes with Egyptian cotton sheets. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and hair dryers.</p><p>Dining : Satisfy your appetite for lunch or dinner at Monde Restaurant, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 6 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",974-44455110,Wheelchair accessible path of travel Conference space size (feet) - 1615 Concierge services Dry cleaning/laundry service Parking (limited spaces) Lockers available Conference space size (meters) - 150 Free wired Internet Free WiFi Number of bars/lounges - 1 Braille or raised signage Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) Multilingual staff Conference center Breakfast available (surcharge) Laundry facilities elevator Fitness facilities Banquet hall Wheelchair accessible Ballroom Reception hall Express check-in Meeting rooms Television in common areas Health club Spa treatment room(s) Free newspapers in lobby Full-service spa Wedding services Area shuttle (surcharge) Luggage storage Porter/bellhop Business center 24-hour front desk Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Sauna Steam room Free self parking Conference space Computer station,25.285769|51.547006,974-4445-5111,22367,http://www.centuryhoteldoha.com
QA,Qatar,116201,Doha,1012858,The St. Regis Doha,FiveStar,West Bay Doha 14435 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Katara Beach - 1.1 km / 0.7 mi <br /> Doha Exhibition Center - 1.2 km / 0.7 mi <br /> Al Thuraya Planetarium - 1.3 km / 0.8 mi <br /> Arab Postal Stamps Museum - 1.7 km / 1.1 mi <br /> Gandhi s Three Monkeys - 1.8 km / 1.1 mi <br /> Qatar Opera House - 1.9 km / 1.2 mi <br /> Visual Art Center - 1.9 km / 1.2 mi <br /> Katara Cultural Village - 2 km / 1.3 mi <br /> Katara Art Center - 2.2 km / 1.4 mi <br /> Galeries Lafayette - 2.3 km / 1.4 mi <br /> Lagoona Mall - 4.1 km / 2.5 mi <br /> Ministry of Justice - 4.1 km / 2.6 mi <br /> Art 29 - 4.2 km / 2.6 mi <br /> Smoke Sculpture - 4.3 km / 2.6 mi <br /> City Centre Shopping Mall - 4.3 km / 2.7 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 23.9 km / 14.9 mi<br /> Doha (DIA-Doha Intl.) - 16.5 km / 10.2 mi<br /> </p><p>The preferred airport for The St. Regis Doha is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near Al Thuraya Planetarium</p><p>Location : A stay at The St. Regis Doha places you in the heart of Doha, within a 15-minute walk of Katara Beach and Doha Exhibition Center.  This 5-star hotel is 3.6 mi (5.8 km) from Doha Corniche and 3.2 mi (5.1 km) from City Centre Shopping Mall.</p><p>Rooms : Make yourself at home in one of the 335 guestrooms featuring iPod docking stations and flat-screen televisions. Your bed comes with down comforters and Egyptian cotton sheets. Cable programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with separate bathtubs and showers feature rainfall showerheads and designer toiletries.</p><p>Dining : Grab a bite at Vine, one of the hotel s 7 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink at the beach bar, the poolside bar, or one of 3 bars/lounges. Full breakfasts are available daily from 6 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",974-4-4460401,Conference space Free valet parking Pool cabanas (surcharge) Kayaking on site Hair salon Tennis on site Computer station Beach sun loungers Terrace ATM/banking Wheelchair accessible path of travel Pool sun loungers Conference space size (feet) - 43056 Concierge services Pilates classes on site Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Babysitting or childcare (surcharge) Pool umbrellas Conference space size (meters) - 4000 Limo or Town Car service available Free WiFi Number of bars/lounges - 3 Number of poolside bars - 1 Number of outdoor pools - 1 Number of beach bars - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Sailing on site Airport transportation (surcharge) On private beach Wheelchair-accessible on-site restaurant Outdoor tennis courts - 2 Visual alarms in hallways Multilingual staff Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities elevator Children's club (free) Fitness facilities Snorkeling on site Ballroom Wheelchair-accessible concierge desk Beach umbrellas Wheelchair-accessible van parking Assistive listening devices in meeting rooms Meeting rooms Valet for wheelchair-equipped vehicle Wheelchair-accessible spa Wheelchair-accessible registration desk Wheelchair-accessible fitness center Wheelchair-accessible pool Arcade/game room Spa treatment room(s) Garden Picnic area Free newspapers in lobby Full-service spa Wedding services Tennis lessons on site Volleyball on site Beach towels 24-hour fitness facilities Supervised childcare/activities (surcharge) Boat tours on site Yoga classes/instruction on site Luggage storage Porter/bellhop Business center 24-hour front desk Library Playground on site Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Children's pool Sauna Steam room Free self parking,25.35031|51.528732,97444460000,14435,http://www.stregis.com/doha
QA,Qatar,116201,Doha,1015213,The Torch Doha,FiveStar,Al Waab Street Aspire Zone P.O. Box 23833Aspire ZoneDoha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Khalifa International Stadium - 0.1 km / 0.1 mi <br /> Villagio Mall - 0.3 km / 0.2 mi <br /> Aspire Zone - 0.3 km / 0.2 mi <br /> Gondolania - 0.5 km / 0.3 mi <br /> Aspire Tower - 0.5 km / 0.3 mi <br /> Aspire Park - 0.8 km / 0.5 mi <br /> Hyatt Plaza - 1.3 km / 0.8 mi <br /> Jassim bin Hamad Stadium - 4.6 km / 2.8 mi <br /> Education City Golf Club - 5.9 km / 3.7 mi <br /> Al Shaqab Equestrian Center - 6.9 km / 4.3 mi <br /> Texas A&M University Qatar - 8.7 km / 5.4 mi <br /> Mathaf: Arab Museum of Modern Art - 8.7 km / 5.4 mi <br /> Carnegie Mellon University Qatar - 8.9 km / 5.5 mi <br /> Qatar National Library - 9 km / 5.6 mi <br /> Sidra Medicine - 9.1 km / 5.7 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 24.6 km / 15.3 mi<br /> Doha (DIA-Doha Intl.) - 17.9 km / 11.2 mi<br /> </p><p>The preferred airport for The Torch Doha is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near Aspire Tower</p><p>Location : A stay at The Torch Doha places you in the heart of Doha, steps from Khalifa International Stadium and 3 minutes by foot from Villagio Mall.  This 5-star hotel is 6.7 mi (10.8 km) from Doha Corniche and 7.3 mi (11.7 km) from Souq Waqif Art Gallery.</p><p>Rooms : Make yourself at home in one of the 163 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Detached private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at FLYING CARPET, one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the 3 coffee shops/cafes. Need to unwind? Take a break with a tasty beverage at one of the 2 bars/lounges. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",974-44-465700,Dry cleaning/laundry service Banquet hall Babysitting or childcare (surcharge) Meeting rooms Conference space size (meters) - 153 Television in common areas Free WiFi Number of bars/lounges - 2 Health club Designated smoking areas Number of outdoor pools - 1 In-room accessibility (in select rooms) Internet access in public areas - high speed Wheelchair accessible parking Free newspapers in lobby Full-service spa Accessible bathroom (in select rooms) Airport transportation (surcharge) Luggage storage Multilingual staff Business center 24-hour front desk Breakfast available (surcharge) Spa services on site Safe-deposit box at front desk Coffee/tea in common areas Designated smoking areas (fines apply) Snack bar/deli Number of coffee shops/cafes - 3 Laundry facilities Sauna Steam room elevator Free self parking Fitness facilities Conference space Free valet parking Hair salon Computer station ATM/banking Conference space size (feet) - 1644 Concierge services 24-hour business center,25.262684|51.445478,974-444-65600,23833,http://www.thetorchdoha.com
QA,Qatar,116201,Doha,1015216,Concorde Hotel Doha,FiveStar,Al Matar Street DohaQatar ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Grand Hamad Street - 0.7 km / 0.4 mi <br /> Souq Waqif - 1.5 km / 0.9 mi <br /> Gold Souq - 1.6 km / 1 mi <br /> Pouce - 1.7 km / 1.1 mi <br /> Al Khoot Fort - 1.8 km / 1.1 mi <br /> Abdulla Bin Zaid Al Mahmoud Islamic Cultural Center - 1.8 km / 1.1 mi <br /> Msheireb Museums - 2 km / 1.2 mi <br /> Souq Waqif Park - 2.1 km / 1.3 mi <br /> Souq Waqif Art Gallery - 2.1 km / 1.3 mi <br /> Pearl Monument - 2.2 km / 1.3 mi <br /> Doha Corniche - 2.3 km / 1.4 mi <br /> National Museum of Qatar - 2.4 km / 1.5 mi <br /> Doha Port - 2.5 km / 1.6 mi <br /> Al Bidda Park - 2.8 km / 1.7 mi <br /> Museum of Islamic Art - 2.9 km / 1.8 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 12.6 km / 7.8 mi<br /> Doha (DIA-Doha Intl.) - 7.8 km / 4.9 mi<br /> </p><p>The preferred airport for Concorde Hotel Doha is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near Grand Hamad Street</p><p>Location : When you stay at Concorde Hotel Doha in Doha, you ll be in the historical district, within a 5-minute drive of Grand Hamad Street and Gold Souq.  This 5-star hotel is 1.4 mi (2.2 km) from Doha Corniche and 1.6 mi (2.5 km) from Souq Waqif Art Gallery.</p><p>Rooms : Make yourself at home in one of the 210 individually decorated guestrooms, featuring minibars and LCD televisions. Wired and wireless Internet access is complimentary, while DVD players and satellite programming provide entertainment. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Olives Restaurant, one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",974-4-4073304,Dry cleaning/laundry service Free long-term parking Banquet hall Express check-in Meeting rooms Free WiFi Health club Designated smoking areas Number of outdoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Tours/ticket assistance Accessible bathroom (in select rooms) Luggage storage Express check-out Porter/bellhop Multilingual staff Business center 24-hour front desk Conference center Breakfast available (surcharge) Safe-deposit box at front desk Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Children's pool Sauna Steam room elevator Free self parking Fitness facilities Conference space Free valet parking Free pool cabanas Terrace Wheelchair accessible path of travel Pool sun loungers Concierge services,25.2754|51.54014,974-4-4073333,200000,http://www.concordedoha.com
QA,Qatar,116201,Doha,1018348,Movenpick Hotel Doha,FourStar,Corniche Road Doha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Doha Corniche - 0.2 km / 0.1 mi <br /> Doha Port - 0.2 km / 0.2 mi <br /> National Museum of Qatar - 0.8 km / 0.5 mi <br /> MIA Park - 0.8 km / 0.5 mi <br /> Museum of Islamic Art - 1 km / 0.6 mi <br /> Box Park - 1.3 km / 0.8 mi <br /> Abdulla Bin Zaid Al Mahmoud Islamic Cultural Center - 1.4 km / 0.9 mi <br /> Pearl Monument - 1.5 km / 0.9 mi <br /> 7 Sculpture - 1.6 km / 1 mi <br /> Souq Waqif Park - 1.6 km / 1 mi <br /> Grand Hamad Street - 1.6 km / 1 mi <br /> Souq Waqif - 1.6 km / 1 mi <br /> Gold Souq - 1.6 km / 1 mi <br /> Pouce - 1.8 km / 1.1 mi <br /> Souq Waqif Art Gallery - 2 km / 1.2 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 13.1 km / 8.1 mi<br /> Doha (DIA-Doha Intl.) - 5.7 km / 3.5 mi<br /> </p><p>The preferred airport for Mövenpick Hotel Doha is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near Box Park</p><p>Location : Located in Doha, Mövenpick Hotel Doha is by the sea, within a 5-minute walk of Doha Corniche and Doha Port.  This 4-star hotel is 0.7 mi (1.2 km) from Museum of Islamic Art and 1.4 mi (2.2 km) from Souq Waqif Art Gallery.</p><p>Rooms : Make yourself at home in one of the 154 air-conditioned rooms featuring minibars and Smart televisions. Complimentary wired and wireless Internet access keeps you connected, and digital programming provides entertainment. Private bathrooms with bathtubs feature complimentary toiletries and bidets. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch, dinner, or brunch. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 6 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a security system</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",97-4-44291100,24-hour business center Designated smoking areas (fines apply) Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Steam room elevator Free self parking Fitness facilities Terrace Concierge services Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Area shuttle (surcharge) Rooftop terrace Airport transportation (surcharge) Luggage storage Business center Personal motorized watercraft on site 24-hour front desk Breakfast available (surcharge) Golfing nearby Safe-deposit box at front desk Gift shops or newsstand Dry cleaning/laundry service Shopping on site Babysitting or childcare (surcharge) Number of meeting rooms - 2 Free WiFi Number of bars/lounges - 1 Health club Designated smoking areas Number of spa tubs - 1 Braille or raised signage Number of outdoor pools - 1 In-room accessibility (in select rooms),25.290348|51.544838,974-4-4291111,24220,http://www.movenpick.com/en/middle-east/qatar/doha/hotel-doha/overview
QA,Qatar,116201,Doha,1018357,Rydges Plaza Doha,FourStar,Abu Firas St Al Bidda Doha Old Doha City & CornicheDoha ,,"This hotel is located in Corniche with views of the crystal-clear blue waters of the Arabian Gulf and is only 10 minutes from the heart of the lively and prospering city. The hotel is also close to the Amiri Palace and is only 7 km from the international airport.
Facilities
The establishment comprises a total of 136 accommodation units. A lift provides guests with easy access to the upper floors. Services such as a safe and currency exchange facilities make for a comfortable stay. Wireless internet access allows guests to stay connected. Gastronomic options include a restaurant, a café and a bar. Shopping facilities are available. Guests travelling in their own vehicles can make use of the available parking spaces. Additional services include room service and a laundry.
Rooms
A safe and a minibar also feature. Tea and coffee making equipment is included as standard. An ironing set is also available to guests. Convenient features include internet access and a TV. Wheelchair-accessible accommodation units are also bookable. The bathroom features a hairdryer.
Sports/Entertainment
Sport and entertainment options are available at the establishment. The swimming pool is ideal for a refreshing dip. Leisure options at the establishment also include a gym and a spa. A disco provides entertainment.The RYDGES PLAZA DOHA is a Tourist hotel. Located in Corniche area. Shopping is accessible by bus/taxi and the nightlife/restaurants are easily accessible by taxi or bus from the hotel.",4385445,Air conditioning Airport Shuttle Available (Surcharge Applies) concierge Car Parking - Onsite Paid Safety Deposit Box,25.2909865|51.5222298,+974 974-4385444,22686,
QA,Qatar,116201,Doha,1018506,Millennium Central Hotel Doha,FourStar,Airport Road P.O. Box 14595Doha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Grand Hamad Street - 0.9 km / 0.6 mi <br /> Souq Waqif - 1.7 km / 1.1 mi <br /> Gold Souq - 1.8 km / 1.1 mi <br /> Pouce - 2 km / 1.2 mi <br /> Al Khoot Fort - 2 km / 1.3 mi <br /> Abdulla Bin Zaid Al Mahmoud Islamic Cultural Center - 2 km / 1.3 mi <br /> Msheireb Museums - 2.2 km / 1.4 mi <br /> Souq Waqif Park - 2.3 km / 1.4 mi <br /> National Museum of Qatar - 2.3 km / 1.4 mi <br /> Pearl Monument - 2.3 km / 1.5 mi <br /> Souq Waqif Art Gallery - 2.3 km / 1.5 mi <br /> Doha Corniche - 2.5 km / 1.5 mi <br /> Doha Port - 2.7 km / 1.7 mi <br /> MIA Park - 2.9 km / 1.8 mi <br /> Museum of Islamic Art - 3 km / 1.9 mi <br /> </p><p>The nearest airports are:<br />Hamad Intl. Airport (DOH) - 13 km / 8.1 mi<br /> Doha (DIA-Doha Intl.) - 8 km / 5 mi<br /> </p><p>The preferred airport for Millennium Central Hotel Doha is Hamad Intl. Airport (DOH). </p>,"<p>HeadLine : Near Grand Hamad Street</p><p>Location : A stay at Millennium Central Hotel Doha places you in the heart of Doha, within a 5-minute drive of Grand Hamad Street and Gold Souq.  This 4-star hotel is 1.6 mi (2.5 km) from Doha Corniche and 1.7 mi (2.8 km) from Souq Waqif Art Gallery.</p><p>Rooms : Make yourself at home in one of the 137 individually decorated guestrooms, featuring minibars and LCD televisions. Your Select Comfort bed comes with premium bedding. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with showers feature bidets and bathrobes.</p><p>Dining : Stop by Choices for lunch, dinner, or brunch, where this restaurant specializes in international cuisine. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. To-go breakfasts are available daily from 8:00 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Guests wishing to to take advantage of Copthorne Hotel Doha Express Check-In must email copies of their ID card or passport and visa to the hotel.</p>",97-4-44493222,Dry cleaning/laundry service Shopping on site Babysitting or childcare (surcharge) Swimming pool Limo or Town Car service available Free WiFi In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Conference center Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Double-glazing on all windows Wheelchair accessible (may have limitations) Vending machine 24-hour front desk Spa services on site Safe-deposit box at front desk Snack bar/deli Sauna Steam room Free self parking Conference space Wheelchair-accessible concierge desk Meeting rooms Wheelchair-accessible path to elevator Wheelchair-accessible spa Wheelchair-accessible registration desk Wheelchair-accessible fitness center Wheelchair-accessible pool Wheelchair-accessible public washroom Health club Spa treatment room(s) Free newspapers in lobby Full-service spa 24-hour fitness facilities Area shuttle (surcharge) Luggage storage Billiards or pool table Business center Free valet parking Terrace Pool sun loungers Concierge services,25.274336|51.542023,97-4-44493333,14595,http://www.millenniumhotels.com/en/doha/copthorne-hotel-doha/
QA,Qatar,116201,Doha,1019684,Al Safa Royal Suites,All,Wadi Musheirib Street PO Box 5555Doha ,,"Located in Musheirib the historical centre of Doha, Al Safa Royal Suites offers air-conditioned rooms and self-catering apartments. It has a 24-hour front desk and an elevator. There is an indoor pool, and free parking is available on site.

The rooms and apartments are decorated in warm colours. Each has a flat-screen TV with multilingual channels, safe box and a bathroom stocked with toiletries and a hairdryer. Most suites have a separate spacious living room and a kitchen with refrigerator, water kettle and microwave.

Royal Cafe serves a continental-style buffet breakfast in the mornings and light meals for lunch and dinner. Room service is available.

Qatar International Airport and The Mall are a 20-minute drive from Al Safa Royal Suites. Dohas Corniche and Souq Waqif are a 6-minute drive away by car. This property will not accommodate hen, stag or similar parties.
Please check your visa requirements before you travel.",0097444038384,lift Currency exchange shared lounge/TV area 24-hour security VIP room facilities dry cleaning express check-in/check-out internet services Newspapers wifi available in all areas CCTV outside property Trouser press Fire extinguishers Indoor pool Ironing service Restaurant wifi Free parking Swimming pool Air conditioning kids' outdoor play equipment Free WiFi On-site parking meeting/banquet facilities Terrace Private parking Daily housekeeping Parking Sauna Family rooms Fitness centre Safety Deposit Box Laundry Shoeshine Room service Table tennis concierge service CCTV in common areas Fax/photocopying Non-smoking rooms Smoke alarms 24-hour front desk,25.27937|51.52029,0097444038383,6715,https://www.booking.com/hotel/qa/al-safa-apartments.html
QA,Qatar,116201,Doha,1019685,Al Mirqab Boutique Hotel,FiveStar,Souq Waqif DOHA ,Islamic Museum of Art: within 300 metre ,"This magnificent accommodation is located in the famous Souq Waqif of Doha and is part of a collection of boutique hotels in the area. Attractions in the area include the Doha Fort, Museum of Islamic Art, Doha Corniche, Villagio Mall and Qatar National Museum. Doha International Airport is approximately 5 km from the hotel. Guest rooms are equipped with LCD TV with satellite channels, seating area, minibar, digital safe, work desk and WiFi access. The enchanting restaurant onsite serves an a la carte menu featuring Persian and contemporary international cuisine. In addition, the lounge offers English afternoon tea and light meals highlighting Arabic and continental tiered food stands. Travellers may take advantage of the impressive leisure amenities including a temperature-controlled outdoor pool, fully-equipped fitness centre and massage treatment rooms.",,Hotel American Express MasterCard Visa Bathroom Shower Bathtub Hairdryer Direct dial telephone Minibar Ironing set Carpeted floors Individually adjustable air conditioning Safe Balcony Terrace Mobile phone coverage Room service Laundry service Medical service Multilingual staff Air conditioning in public areas Hotel safe Currency exchange facilities Lift access Bicycle storage Gym Café Restaurant Non-smoking area Smoking area Highchairs Poolside snack bar Air conditioning in Restaurant Conference room Meeting room Sun loungers Children playground Theatre / auditorium Sauna Breakfast Continental Breakfast À la carte dinner,25.2867648|51.532380900000021,,1274,www.swbh.com
