countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
RS,Serbia,109488,Arandelovac,1116859,A Hoteli Hotel Izvor,FiveStar,Misarska 2b Arandelovac 34300 ,,"Located in the centre of the spa town of Arandjelovac, this luxurious 5-star hotel is next to Bukovicka Park. It features a large spa area with indoor and outdoor pools. An aqua park is also on site.

The modern, air-conditioned rooms of Hotel Izvor have an LCD TV with DVD player, a balcony, a minibar, and a bathroom with bathrobes and slippers. Some rooms feature a private hot tub.

In Hotel Izvors spa complex, guests can relax in a wide range of saunas, steam baths and other wellness facilities. A large selection of massage, beauty and health treatments is available.

Guests of the Izvor can dine in the main buffet restaurant and in 2 à la carte restaurants serving international and Italian cuisine. There is also a lobby bar and a bar in the bowling alley.

Hotel Izvor features an internet café and offers free Wi-Fi. There is also a childrens playroom. Various daily excursions, such as trips to Oplenac, Oraac or to Monasteries dating back from 14th century, as well as wine tastings can be organised on site.

Belgrade is 75 km away from Hotel Izvor. Free private parking is available on site.",+381(0)34712127,Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Business centre babysitting/child services Laundry Facilities for disabled guests Barber/beauty shop Family rooms Games room breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Valet parking Currency exchange Spa and wellness centre Massage children's playground Billiards Table tennis Hot tub/jacuzzi Packed lunches Cycling Bowling hammam Heating Fax/photocopying Horse riding Luggage storage wifi Indoor pool Free WiFi Air conditioning designated smoking area ATM/cash machine on site Snack Bar Sun terrace indoor pool (all year) concierge service Entertainment staff shuttle service (additional charge) Special diet menus (on request) water sport facilities on site airport shuttle (additional charge) Lockers shared lounge/TV area kids' club Water park Daily housekeeping food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available parking on site Private parking wifi available in all areas Indoor play area kids' outdoor play equipment Wine/champagne airport pick up airport drop off tennis equipment Outdoor furniture Spa Facilities Spa/wellness packages Fitness fitness/spa locker rooms kids' pool Swimming pool Shuttle service 24-hour security Key card access Security alarm Smoke alarms,44.30868|20.55014,+38134700400,34300,https://www.booking.com/hotel/rs/hotelizvor.html
RS,Serbia,109488,Arandelovac,1869897,Complex Family Urp,All,Bukuljska bb Arandjelovac 34300 ,,"Situated within 500 metres of Izvor Aqua Park in Arandjelovac, ""COMPLEX FAMILY"" URP provides accommodation with a flat-screen TV. Complimentary WiFi is featured.

A patio with mountain views is offered in every unit.

Guests can make use of the hot tub.

A barbecue can be found at the bed and breakfast, along with a childrens playground.

Belgrade Nikola Tesla Airport is 92 km from the property.",,Free self parking Restaurant Pets allowed Room service Bar/lounge Tennis on site Sauna Free newspapers in lobby Garden Terrace Babysitting or childcare Laundry facilities Family rooms Arcade/game room Breakfast service Ironing service Internet access Express check-in Children s playground Hot tub/jacuzzi BBQ facilities Heating Free WiFi Free WiFi Air conditioning Designated smoking areas Snack bar/deli Entertainment staff Nightclub Special diet menus (on request) Kids  club Water park Daily housekeeping Parking onsite Private parking Indoor play area Kids  outdoor play equipment Children television networks,44.31037|20.54354,,34300,https://www.booking.com/hotel/rs/quot-complex-family-quot-urp.html
RS,Serbia,109488,Arandelovac,5302202,Park Srce Apartments,FourStar,Ilije Garaanina 12  ,,"Park Srce Apartments provides free Wi-Fi and free parking just opposite the Bukovicka Banja park, which features a rehabilitation centre with spa facilities and thermal water. Its air-conditioned apartments have LCD cable TV and a balcony.

A pizza restaurant and a pastry bar with a summer terrace are part of the same building, while a grocery shop is right next door to the Park Srce Apartments.

Each apartment has a kitchen and a private bathroom with shower and hairdryer.

The owner can arrange massage treatments on site, as well as bike and car rental services. Horseback riding opportunities can be organised at a ranch 4 km away.

Arandelovac Bus Station is 300 metres from Apartments Park Srce. Please inform Park Srce Apartments in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services Massage Cycling Heating Horse riding wifi Parking Restaurant Pets allowed Free WiFi Air conditioning Sun terrace shuttle service (additional charge) airport shuttle (additional charge) Water park Bar Terrace Non-smoking rooms Airport shuttle parking on site Private parking secured parking Beauty Services hair cut hair colouring hair styling Back massage Neck massage Foot massage Couples massage Head massage Hand massage Full body massage Shuttle service bicycle rental,44.30888|20.55546,,34300,https://www.booking.com/hotel/rs/parksrce.html
RS,Serbia,109488,Arandelovac,5477617,Akva Gold Guest House,ThreeStar,Misarska 43  ,,"Featuring a barbecue and a terrace, Akva Gold Guest house offers air-conditioned accommodation in Arandjelovac. Guests can visit a nearby Aqua park Izvor, located 750 metres from the property. Free private parking is available on site and free WiFi is offered in public areas.

Fitted with a flat-screen TV, units include a terrace and a kitchenette with a dining area. Bathroom is fitted with a shower and includes towels.

There is a shared lounge at the property. Guests can enjoy a drink at a bar that offers a spacious terrace or engage in various activities, such as horse riding and cycling. Bukulja view-point is a popular hiking destination at a distance of 3.2 km from the property.

Park Bukovicke Banje is 900 metres from Akva Gold Guest house, while Arandjelovac Centre can be reached within 1.5 km. The Main Bus station is at a distance of 2 km while Nikola Tesla Airport is 88 km from the property. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Hiking Fishing Heating grocery deliveries Horse riding Free parking Pets allowed 24-hour front desk Packed lunches Bar Car hire Room service breakfast in the room Cycling shuttle service (additional charge) Parking designated smoking area Private parking Daily housekeeping BBQ facilities shared lounge/TV area Valet parking internet services Family rooms airport shuttle (additional charge) Airport shuttle wifi On-site parking Garden Terrace Free WiFi Air conditioning,44.30641|20.54343,,34300,https://www.booking.com/hotel/rs/akva-gold-apartmani-arandjelovac.html
RS,Serbia,109488,Arandelovac,5856484,Etno Guest House Brestovi & vizija,All,Vojvode Stepe Bb  ,,"Etno Guest House Gorski car is set in Arandjelovac, 1.3 km from Izvor Aqua Park. The property has an on-site restaurant that offers traditional Serbian cuisine. Guests can enjoy the views of the surrounding area from the garden or the patio.

All units are decorated with hardwood furnishings, come with cable TV and provide views of the garden. Private bathrooms include a shower.

Activities such as hiking and nature walks can be enjoyed in the surrounding area

The nearest airport is Nikola Tesla Airport, 61 km from the property. Free parking is provided on site.",,thermometers for guests provided by property face masks for guests available Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry Family rooms breakfast in the room Ironing service Free parking internet services Heating wifi Free WiFi Air conditioning Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping parking on site Private parking secured parking Outdoor furniture use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas cashless payment available physical distancing rules followed guests have the option to cancel any cleaning services for their accommodation during their stay,44.29906|20.54659,,34300,https://www.booking.com/hotel/rs/etno-guest-house-brestovi-amp-vizija.html
RS,Serbia,109488,Arandelovac,5872063,Contemporary Home,All,22 Tanaska Rajic´a  ,,"Located in Arandjelovac, 30 km from Rudnik Thermal Spa and 3.8 km from Izvor Aqua Park, Contemporary Home provides accommodation with free WiFi, air conditioning, a bar and a garden. Featuring free private parking, the holiday home is in an area where guests can engage in activities such as hiking and fishing.

The holiday home comes with 2 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a patio with garden views.

The holiday home features a terrace.

Arandjelovac is 1.6 km from Contemporary Home, while Vrbica is 2 km away. The nearest airport is Morava Airport, 80 km from the accommodation. A damage deposit of EUR 50 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Managed by a private host",,Parking Bar Tennis Court Garden Terrace Non-smoking rooms Fishing Family rooms Free parking internet services Hiking Luggage storage wifi Free WiFi Air conditioning Water park parking on site Private parking wifi available in all areas,44.29842|20.57268,,34300,https://www.booking.com/hotel/rs/contemporary-home.html
RS,Serbia,110410,Banat,1352528,Relax,ThreeStar,Vinogradska 2  ,,"Featuring an on-site swimming pool and wellness area, Resort Relax is set in Kovacica, 47 km from Belgrade. It offers air-conditioned rooms with free Wi-Fi and a restaurant serving International cuisine accompanied by an extensive wine list.

All rooms feature cable TV, a desk and a small kitchenette with a stove and a fridge. Each comprises a bathroom with shower, a hairdryer and free toiletries.

In the Resort Relaxs wellness centre guests can enjoy a gym, a hot tub and a Finnish sauna. Various massage treatments can be arranged. Football, basketball, volleyball and tennis court are also at guests disposal.

The conference room seats up to 200 participants, boasting a conference system for simultaneous translation with equipment for up to 4 working languages.

A local bus stop with links to Pancevo and Belgrade can be reached within 100 metres. The Main Bus Station is in the town of Pancevo, 26 km away. Belgrade Airport is at a distance of 60 km.",,Bowling shuttle service (additional charge) Family rooms Tennis Court Security alarm Private parking Cycling Lockers shared lounge/TV area Business centre Fitness centre board games/puzzles Massage Hot tub/jacuzzi dry cleaning Non-smoking rooms Spa and wellness centre Packed lunches On-site parking Airport shuttle designated smoking area Sauna Swimming pool Laundry kids' outdoor play equipment Bar Indoor pool Fax/photocopying Fire extinguishers Fishing Restaurant meeting/banquet facilities Air conditioning wifi available in all areas wifi Heating indoor pool (all year) Bicycle rental (additional charge) Parking Children television networks Garden Daily housekeeping Free parking Kid-friendly buffet Free WiFi internet services Terrace Special diet menus (on request) airport shuttle (additional charge) 24-hour security outdoor pool (seasonal) Outdoor pool Table tennis,45.101|20.62791,,26210,https://www.booking.com/hotel/rs/resort-relax.html
RS,Serbia,111621,Becej,1174639,Hotel Tiski Cvet,ThreeStar,Trg Oslobodjenja 1 Novi Becej 23272 ,,"Situated in Novi Becej, 700 metres from Novi Becej, Hotel Tiski Cvet features accommodation with a restaurant, free private parking, a bar and a shared lounge. Among the facilities at this property are room service and a kids club, along with free WiFi throughout the property. The property has an indoor pool, nightclub and a 24-hour front desk.

At the hotel, each room is equipped with a wardrobe. Complete with a private bathroom fitted with a shower and bathrobes, all rooms at Hotel Tiski Cvet have a flat-screen TV and air conditioning, and some rooms are fitted with a seating area. At the accommodation the rooms have bed linen and towels.

A continental breakfast is available each morning at Hotel Tiski Cvet.

The hotel offers a childrens playground. Bike hire and car hire are available at Hotel Tiski Cvet and the area is popular for cycling and fishing.

eleznicka Stanica Novi Becej is 3.3 km from the accommodation, while Kumane is 12 km from the property. The nearest airport is Belgrade Nikola Tesla, 118 km from Hotel Tiski Cvet, and the property offers a paid airport shuttle service.",+381(0)23771140,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Garden Terrace Non-smoking rooms Airport shuttle Fishing Business centre Laundry Family rooms breakfast in the room Ironing service Free parking internet services Valet parking Currency exchange Spa and wellness centre Massage children's playground Hot tub/jacuzzi BBQ facilities Packed lunches Car hire Cycling Bowling Tour desk hammam Heating Fax/photocopying Horse riding Luggage storage wifi Indoor pool Free WiFi Air conditioning designated smoking area Snack Bar sun loungers or beach chairs Spa Facilities Sun terrace indoor pool (all year) nightclub/dj Private check-in/check-out Special diet menus (on request) airport shuttle (additional charge) Lockers shared lounge/TV area kids' club Beachfront Evening entertainment Daily housekeeping parking on site Private parking wifi available in all areas Open-air bath board games/puzzles kids' outdoor play equipment Kid meals Kid-friendly buffet secured parking Street parking Heated pool Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property Plunge pool Wine/champagne Fruits coffee house on site Steam room Spa/wellness packages kids' pool Swimming pool Beach Pub crawls Movie nights Walking tours Bike tours Themed dinner nights Tour or class about local culture Live music/performance Live sport events (broadcast) 24-hour security Key card access Smoke alarms CCTV outside property,45.59419|20.13301,+38123771140,23272,https://www.booking.com/hotel/rs/tiski-cvet-novi-becej.html
RS,Serbia,111621,Becej,1818419,Dvorac Fantast,All,Backotopolski Put bb Novosadska 2Becej 21220 ,,"Featuring garden views, Dvorac Fantast in Becej offers accommodation, a garden, a terrace and a shared lounge. Complimentary WiFi is featured.

There is a fully equipped private bathroom with shower and free toiletries.

The bed and breakfast offers a continental or American breakfast. There is an on-site restaurant, which serves a variety of European dishes.

Dvorac Fantast offers a childrens playground. A business centre with a fax machine and photocopier is at guests disposal at the accommodation.",,Free self parking Restaurant Pets allowed Room service Meeting rooms Bar/lounge 24-hour front desk Free newspapers in lobby Garden Terrace Non-smoking rooms Airport shuttle Business center Laundry facilities VIP room facilities Breakfast service Ironing service Bridal suite Internet access Express check-in Safe-deposit box at front desk Children s playground Gift shops or newsstand Soundproof rooms Shoeshine Chapel/shrine Packed lunches Tour desk Heating Fax/photocopying Horse riding Luggage storage Free WiFi Allergy-free room Free WiFi Designated smoking areas Concierge services Private check-in/check-out Area shuttle (surcharge) Special diet menus (on request) Airport transportation (surcharge) Television in common areas Daily housekeeping Parking onsite Private parking Kids  outdoor play equipment Kid meals,45.65258|19.90232,,21220,https://www.booking.com/hotel/rs/dvorac-fantast.html
RS,Serbia,110481,Belgrad,1010948,Villa Mystique,FourStar,Vajara Djoke Jovanovica 16 11000 Belgrad ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Partizan Stadium - 1.5 km / 0.9 mi <br /> Topcider Park - 1.7 km / 1 mi <br /> Maral Tito s Grave - 1.7 km / 1.1 mi <br /> Tito s Mausoleum - 1.8 km / 1.1 mi <br /> Rajko Mitic Stadium - 2 km / 1.2 mi <br /> Belgrade Hippodrome - 2.1 km / 1.3 mi <br /> Aviation Museum - 2.2 km / 1.3 mi <br /> Belgrade Fair - 2.4 km / 1.5 mi <br /> University of Belgrade - 2.6 km / 1.6 mi <br /> Belgrade Waterfront - 2.7 km / 1.7 mi <br /> Kosutnjak Forest - 2.9 km / 1.8 mi <br /> Clinical Center of Serbia - 2.9 km / 1.8 mi <br /> National Library of Serbia - 3.1 km / 1.9 mi <br /> Saint Sava Cathedral - 3.2 km / 2 mi <br /> Slavija Square - 3.4 km / 2.1 mi <br /> </p><p>The preferred airport for Villa Mystique is Nikola Tesla Airport (BEG) - 20.2 km / 12.5 mi </p>,"<p>HeadLine : In Belgrade (Savski Venac)</p><p>Location : Located in Belgrade (Savski Venac), Villa Mystique is within a 5-minute drive of Tito s Mausoleum and Topcider Park.  This 4-star hotel is 2.7 mi (4.3 km) from Knez Mihailova Street and 3.8 mi (6.1 km) from Danube River.</p><p>Rooms : Treat yourself to a stay in one of the 13 guestrooms, featuring private pools and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include desks and minibars, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s 24-hour room service. Relax with your favorite drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",381-11-4142069,Pool sun loungers Dry cleaning/laundry service Shopping on site Train station pickup (surcharge) Uncovered parking Vending machine Pool umbrellas Number of meeting rooms - 1 Swimming pool Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 Upper floors accessible by stairs only Garden Tours/ticket assistance Shopping center shuttle (surcharge) Area shuttle (surcharge) Free Buffet Breakfast Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Express check-out Multilingual staff Handrails in stairways 24-hour front desk Playground on site Daily Barbecue grill(s) Outdoor seasonal pool Safe-deposit box at front desk Coffee/tea in common areas Designated smoking areas (fines apply) Laundry facilities Free self parking Terrace,44.78271|20.44881,+381600108841,11000,http://www.villamystique.com/
