countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SI,Slovenia,102147,Ajdovscina,1421977,Gold Club Hotel & Casino,ThreeStar,Goriska Cesta 25 5270 Ajdovscina ,,"Featuring a casino with a roulette wheel and slot machines, Gold Club Hotel & Casino in Ajdovcina offers a restaurant with international cuisine and a bar. Free Wi-Fi access is available.

Air-conditioned rooms provide a flat-screen satellite and cable TV. Private bathrooms are fitted with showers.

Hotel & Casino Gold Club offers guests meeting and banquet facilities as well as a garden. Free public parking is available nearby.

The property is located in the town centre, where Roman thermae ruins can be found. The Postojna Cave, a 20,000-metre long cave system, can be reached within 35 km.

The Ajdovcina train station is 400 metres away, while Trieste Airport is within 40 km. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry dry cleaning Facilities for disabled guests Casino breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Soundproof rooms Packed lunches Car hire Tour desk Heating thermometers for guests provided by property face masks for guests available use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site Snack Bar concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press vending machine (drinks) vending machine (snacks) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site wifi available in all areas kids' outdoor play equipment Kid meals Kid-friendly buffet Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Emergency cord in bathroom Wine/champagne Fruits Shuttle service Live sport events (broadcast) Bingo Key card access,45.88686|13.90513,(05) 364 47 00,5270,https://www.booking.com/hotel/si/hotel-casino-gold-club-ajdovscina.html
SI,Slovenia,109577,Ankaran,1019083,Adria Ankaran Hotel & Resort,ThreeStar,Jadranska cesta 25 6280 Ankaran ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Koper Cathedral - 3.4 km / 2.1 mi &lt;br /&gt;Nereo Rocco Stadium - 6.7 km / 4.2 mi &lt;br /&gt;PalaTrieste - 6.8 km / 4.2 mi &lt;br /&gt;Lighthouse Park - 7.2 km / 4.5 mi &lt;br /&gt;Basilica Paleocristiana - 7.4 km / 4.6 mi &lt;br /&gt;Museo Revoltella - 7.9 km / 4.9 mi &lt;br /&gt;Izola Marina - 8 km / 5 mi &lt;br /&gt;Arco di Riccardo - 8.1 km / 5 mi &lt;br /&gt;Cathedral of San Giusto - 8.2 km / 5.1 mi &lt;br /&gt;Castello di San Giusto - 8.2 km / 5.1 mi &lt;br /&gt;Fiera Trieste Exhibition Center - 8.3 km / 5.1 mi &lt;br /&gt;Palazzo del Municipio - 8.3 km / 5.2 mi &lt;br /&gt;Piazza dell&apos;Unita - 8.3 km / 5.2 mi &lt;br /&gt;Roman Theatre - 8.4 km / 5.2 mi &lt;br /&gt;Teatro Lirico Giuseppe Verdi - 8.5 km / 5.3 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Apartments Adria is Ljubljana (LJU-Joze Pucnik) - 91.5 km / 56.9 mi. &lt;/p&gt;,"&lt;p&gt;&lt;b&gt;Property Location&lt;/b&gt; &lt;br /&gt;When you stay at Apartments Adria in Ankaran, you&apos;ll be close to Koper Cathedral. This apartment is within the vicinity of Nereo Rocco Stadium and PalaTrieste.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Rooms&lt;/b&gt; &lt;br /&gt;Make yourself at home in one of the 18 air-conditioned rooms featuring kitchens. Rooms have private balconies or patios. Satellite television is provided for your entertainment. Conveniences include desks and refrigerators.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Rec, Spa, Premium Amenities&lt;/b&gt; &lt;br /&gt;Dip into one of the 2 indoor swimming pools or enjoy other recreational amenities including a 24-hour health club and a sauna. Additional amenities include a hair salon and tour/ticket assistance.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Dining&lt;/b&gt; &lt;br /&gt;Enjoy a satisfying meal at a restaurant serving guests of Apartments Adria. Relax with your favorite drink at a bar/lounge or a poolside bar.&lt;/p&gt;",,Spa treatment room(s) Multilingual staff Children&apos;s club Bar/lounge Hair salon 24-hour health club Spa services on site Children&apos;s pool Number of indoor pools - 2 Poolside bar Restaurant Total number of rooms - 18 Airport transportation Pets allowed Beach/pool umbrellas Tours/ticket assistance Indoor pool Sauna,45.578118|13.7336983,+38656637300,6280,http://www.adria-ankaran.si/de/
SI,Slovenia,109577,Ankaran,1064017,Villa Adriatic,FourStar,Jadranska cesta 25 6280 Ankaran ,,"Villa Adriatic - Hotel & Resort Adria Ankaran boasts indoor and outdoor pools, a spa area and a private beach which can be reached within 300 metres. It offers modern-style accommodation with a balcony, air conditioning and cable TV.

An LCD TV, a seating area and a work desk are provided in all rooms. The private bathroom comes with shower.  The facilities were recently completely renovated.

Guests can make use of the tennis court or the fitness centre. The complex also includes restaurants and bars, as well as facilities for beach volleyball, football, basketball, mini golf, table tennis and a number of water sports.

Adria Ankaran Resort is a 5-minute drive from the town of Koper. Trieste and the Ronchi dei Legionari Airport can be reached within a 35-minute drive. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Swimming pool #1notranji bazen is closed from Wed 05 Jul 2023 until Fri 01 Sept 2023
zunanji bazen is closed from Fri 01 Sept 2023 until Sun 23 Jun 2024
Spa/wellness centre is closed from Wed 05 Jul 2023 until Fri 01 Sept 2023
Sauna is closed from Wed 05 Jul 2023 until Fri 01 Sept 2023
Fitness centre is closed from Wed 05 Jul 2023 until Fri 01 Sept 2023
Please note that the wellness area will be closed from 4th until 11th July 2018.

Please note that on 31st December dinner will not be served. Guest paying half board can change it for lunch.",+38656637320,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning outdoor pool (seasonal) indoor pool (all year) Indoor pool (seasonal) shuttle service (additional charge) water sport facilities on site airport shuttle (additional charge) minimarket on site Beachfront Daily housekeeping parking on site Public Bath board games/puzzles Kid meals electric vehicle charging station Facilities for disabled guests Barber/beauty shop Family rooms Ironing service internet services Safety Deposit Box Spa and wellness centre Massage children's playground Table tennis Car hire Cycling Heating Fax/photocopying Luggage storage wifi Mini golf Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning ATM/cash machine on site Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus Accessible parking Heated pool Salt-water pool Pool Bar tennis equipment sun loungers or beach chairs Sun umbrellas Outdoor furniture Beauty Services Facial treatments Waxing services linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Manicure Body Treatments Spa Facilities Fitness fitness/spa locker rooms Swimming pool Beach Shuttle service Key access,45.57808|13.73414,+38656637300|+38656637350,6280,https://www.booking.com/hotel/si/annex-weekend.html
SI,Slovenia,109577,Ankaran,1064019,Villa Andor,ThreeStar,Vinogradnika pot 9 6280 Ankaran ,,"Situated on the coast between Ankaran and Debeli Rtic, Villa Andor offers a restaurant and a modern gambling salon Casino Andor. The terrace is located in the shade of the Mediterranean greenery.

The building is 500 years old, built in Venetian times. Rooms are air-conditioned and offer an LCD TV with cable channels and a minibar. Private bathrooms provide a shower.

The centre of Ankaran can be reached in 10 minutes, while Koper and border crossing to Italy are 2 km away. Ljubljana Joe Pucnik Airport is 110 km from the Villa Andor. Please inform Villa Andor in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
Managed by a private host",+38656155017,Parking Restaurant Pets allowed Room service Bar Garden Terrace Non-smoking rooms Family rooms Casino breakfast in the room Free parking internet services express check-in/check-out Valet parking Packed lunches Heating Fax/photocopying wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning Special diet menus (on request) Beachfront Daily housekeeping parking on site Private parking wifi available in all areas Kid meals Street parking Accessible parking Wine/champagne Fruits Beach Live sport events (broadcast) Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas cashless payment available invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,45.58387|13.72297,+38656155000,6280,https://www.booking.com/hotel/si/villa-andor.html
SI,Slovenia,109577,Ankaran,1242622,Hotel Oltra,ThreeStar,Jadranska cesta 86a 6280 Ankaran ,,"Completely renovated boutique Ortus Residence is located in a beautiful and quiet location in the center of Ankaran only 250 m away from the sea and 5 km from the Italian town of Muggia.

The idyllic nature of Slovenian Istria offers an unforgettable and prestigious vacation, combining the luxury and intimacy of exceptional accommodation.  We are offering not only sleeping, but also opportunity to visit our salt chamber and wellness area.

Just a 5-minute walk from a beach on the Adriatic Sea, this 3-star hotel in Ankaran offers air-conditioned rooms with free Wi-Fi. Guests can relax on the terrace and in the lobby.

Rezidenca Ortuss rooms feature wooden furnishings, a mini fridge, TV, and a bathroom with hairdryer. Most units have a balcony.

Free private parking is available at the Rezidenca Ortus. Ankaran Bus Station is 60 metres away, and Koper and Trieste can be reached within a 10-minute drive. Please inform Rezidenca Ortus in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+38656652115,Daily housekeeping Parking Restaurant Pets allowed meeting/banquet facilities Bar Sauna Garden Terrace Non-smoking rooms Business centre Laundry Family rooms Games room breakfast in the room Ironing service Free parking parking on site internet services Private parking lift wifi available in all areas Spa and wellness centre Kid meals Massage electric vehicle charging station Soundproof rooms Accessible parking Car hire Pet bowls Cycling coffee house on site hammam Outdoor furniture Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Sun terrace concierge service Special diet menus (on request) shared lounge/TV area Beachfront food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered Beauty Services Facial treatments Manicure Pedicure Spa Facilities Spa lounge/relaxation area Spa/wellness packages Back massage Foot massage Head massage Hand massage Full body massage fitness/spa locker rooms Beach CCTV in common areas Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas,45.58299|13.728,+38656652100,6280,http://www.hoteloltra.si
SI,Slovenia,109577,Ankaran,1325856,Hotel Bor - Debeli Rtic,TwoStar,Jadranska cesta 73  ,,"Featuring an indoor pool, Depandansa Bor** is only 100 metres from a private beach area. Surrounded by the lush Mediterranean vegetation, it offers rooms with a balcony. Free Wi-Fi is available in public areas.

Rooms here will provide you with a flat-screen TV. Featuring a shower, private bathrooms also come with a hairdryer and towels. A sea view is available in some rooms.

The whole hotel can be accessed by wheelchairs and Depandansa Bor** is part of Youth Health resort of Red Cross for children.

The Depandansa Bor**s restaurant offers a complimentary breakfast buffet, dietary food, a vegetarian menu, as well as salad buffet. If you only need a quick refreshment, the aperitif bar is at your disposal.

The town of Koper is 9 km away, while Trieste is at a distance of 20 km. The property offers free parking. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,guests have the option to cancel any cleaning services for their accommodation during their stay Parking Restaurant Bar 24-hour front desk Garden Terrace Non-smoking rooms Family rooms Free parking internet services Safety Deposit Box children's playground Table tennis Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Private beach area Sun terrace Private check-in/check-out Evening entertainment Daily housekeeping parking on site kids' outdoor play equipment Kid meals Kid-friendly buffet Beach Smoke alarms guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available invoice provided all plates  cutlery  glasses and other tableware have been sanitized,45.5888|13.70736,,6280,https://www.booking.com/hotel/si/bor.html
SI,Slovenia,109577,Ankaran,1359017,Hotel Convent Hotel & Resort Adria Ankaran,FourStar,Jadranska C. 25 6280 Ankaran ,,"Offering a rich buffet breakfast and free Wi-Fi, Hotel Convent is part of the Adria Ankaran Resort, which has its own beach, an Olympic size swimming pool and an indoor pool with heated sea water. The hotel is housed in a former Benedictine monastery that was renovated in 2020.

You can play beach volleyball, table tennis, mini golf, football and basketball at the resort. There are tennis courts and various water sports available as well. A wellness centre with sauna and fitness area is available at a surcharge.

All rooms come with air conditioning, satellite TV and a minibar, while the private bathrooms include a hairdryer. They offer views of the park or atrium with a fountain built in 1835.

Half board is available at the Convent Restaurant, which serves Mediterranean specialities.

The Parenzana, a cycling route that runs along the Slovene coast, starts just out of Ankaran. Koper and the Italian border are a 10-minute drive away, while Trieste and Ronchi dei Legionari Airport can be reached in just 35 minutes by car. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Notranji bazen is closed from Thu 31 Aug 2023 until Thu 31 Aug 2023
zunanji bazen is closed from Fri 24 Mar 2023 until Thu 22 Jun 2023
zunanji bazen is closed from Mon 04 Sept 2023 until Sun 31 Dec 2023
Spa/wellness centre is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023
Fitness centre is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023
Hot tub/jacuzzi is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023",+38656637320,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Waxing services Manicure Pedicure Body Treatments Spa Facilities Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Games room breakfast in the room Ironing service internet services Safety Deposit Box Spa and wellness centre Massage children's playground Table tennis Hot tub/jacuzzi Canoeing Packed lunches Cycling Heating Fax/photocopying Luggage storage wifi Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning outdoor pool (seasonal) indoor pool (all year) shuttle service (additional charge) Special diet menus (on request) water sport facilities on site airport shuttle (additional charge) minimarket on site Beachfront Daily housekeeping parking on site water slide Kid meals electric vehicle charging station Accessible parking Heated pool Salt-water pool Pool Bar sun loungers or beach chairs Sun umbrellas Beauty Services Spa/wellness packages Fitness fitness/spa locker rooms kids' pool Swimming pool Beach Shuttle service Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays,45.57807|13.73413,(386) 56637300,6280,https://www.booking.com/hotel/si/convent.html
SI,Slovenia,109577,Ankaran,1359019,Bor Annex,FourStar,Jadranska 25 6280 Ankaran ,,"Enjoying an idyllic location among pine and olive trees, Villa Bor - Hotel & Resort Adria Ankaran is situated in the centre of Ankaran and 100 metres from the beach. The property offers an indoor swimming pool with heated seawater, 2 hot tubs and an outdoor pool.

All the rooms are fitted with air conditioning, satellite TV with free WiFi available throughout the property. The property also offers a childrens pool with a slide. There are also rooms with facilities for disabled persons.

Various sporting activities are possible within the resort and in the wider area, such as beach volleyball, football and basketball, as well as a number of water sports. There are also tennis courts and a mini golf course, as well as table tennis facilities.

The distance from the property to Koper measures 5 km, and to Trieste 20 km. Free public parking is possible on site. Portoro Airport is 17 km away. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Sauna is closed from Thu 06 May 2021 until Wed 15 Sept 2021
Fitness centre is closed from Thu 06 May 2021 until Wed 15 Sept 2021
Spa/wellness centre is closed from Thu 06 May 2021 until Wed 15 Sept 2021
Notranji bazen is closed from Thu 06 May 2021 until Wed 15 Sept 2021
zunanji bazen is closed from Thu 16 Sept 2021 until Fri 31 Dec 2021",(386) 56637320,Entertainment staff Chapel/shrine Pets allowed Heating Swimming pool Shoeshine water slide Non-smoking rooms Facilities for disabled guests 24-hour front desk kids' club internet services gift shop Tennis Court indoor pool (all year) meeting/banquet facilities Hot tub/jacuzzi Terrace Daily housekeeping Outdoor pool Ironing service hammam Salt-water pool Cycling Mini-market on site Pool Bar Spa and wellness centre Fitness centre Family rooms Sun terrace On-site parking Parking kids' outdoor play equipment dry cleaning airport shuttle (additional charge) Airport shuttle Free WiFi Library wifi Water sport facilities (on site) Beachfront Business centre children's playground Heated pool Laundry Special diet menus (on request) Barber/beauty shop Private parking Massage Kid-friendly buffet Non-smoking throughout Sauna Indoor pool Hiking Fax/photocopying shuttle service (additional charge) Table tennis Bar Evening entertainment outdoor pool (seasonal) Garden Luggage storage Air conditioning Safety Deposit Box Kid meals Restaurant,45.57631|13.7341,(386) 56637300,6280,https://www.booking.com/hotel/si/depandansa-bor.html
SI,Slovenia,109577,Ankaran,1378794,Adria Apartments Hotel & Resort Adria Ankaran,FourStar,Jadranska cesta 25 6280 Ankaran ,,"Just steps away from the beach, the Adria Apartments are part of a resort with an on-site spa, gym and indoor pool. All apartments have a terrace, cable TV and free wired internet.

The bright and air-conditioned apartments at the Hotel & Resort Adria Ankaran all feature a fully equipped kitchen with dining area, a living room and a separate bedroom.

There is also a childrens playground and a volleyball court. You can also play beach volleyball, football, basketball, mini golf, table tennis and a number of water sports.

Adria Apartments - Hotel & Resort Adria Ankaran is a 5-minute drive from the Slovenian coastal resort of Koper, and a 35-minute drive from the Italian port of Trieste and the Ronchi Airport. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
This property will not accommodate hen, stag or similar parties.
Spa/wellness centre is closed from Fri 23 Jun 2023 until Sun 03 Sept 2023
Sauna is closed from Fri 23 Jun 2023 until Sun 03 Sept 2023
Fitness centre is closed from Fri 23 Jun 2023 until Sun 03 Sept 2023
Hot tub/jacuzzi is closed from Fri 23 Jun 2023 until Sun 03 Sept 2023",(386) 56637320,Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Laundry dry cleaning Family rooms Ironing service internet services Safety Deposit Box Spa and wellness centre Massage Table tennis Hot tub/jacuzzi Car hire Cycling hammam Heating Fax/photocopying Luggage storage wifi Mini golf Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site outdoor pool (seasonal) indoor pool (all year) shuttle service (additional charge) water sport facilities on site airport shuttle (additional charge) minimarket on site Beachfront Daily housekeeping parking on site Public Bath water slide kids' outdoor play equipment Kid meals electric vehicle charging station Accessible parking Heated pool Salt-water pool Pool Bar tennis equipment coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Beauty Services Facial treatments Waxing services Manicure Spa Facilities Steam room Back massage Neck massage Foot massage Full body massage Fitness kids' pool Swimming pool Beach Shuttle service Swimming pool invoice provided,45.57807|13.73416,(386) 56637300,6280,https://www.booking.com/hotel/si/adria-apartments.html
SI,Slovenia,109577,Ankaran,1378795,Mobile homes Adria Ankaran,All,Jadranska cesta 25 6280 Ankaran ,,"Mobile Homes Adria Ankaran is located in the centre of Ankaran, 5 km from the Italian border and Koper. The resort includes a pebble beach, tennis courts and a wellness centre with pools.

The air-conditioned mobile homes are light and have wooden floors. They include a kitchen and a seating area with TV. Each home has a small bathroom with a shower.

Daily breakfast is available at the resort, and there is a restaurant serves à la carte and buffet meals. BBQ facilities are also available for lazy afternoons and mild evenings. Guests can also play tennis.

The mobile homes are less than 1.5-hour drive from Ljubljana and Ljubljana Airport. Parking is provided for extra charge. This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Bazen t. 2 is closed from Thu 06 Jul 2023 until Fri 01 Sept 2023
Spa/wellness centre is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023
Sauna is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023
Hot tub/jacuzzi is closed from Sat 01 Jul 2023 until Thu 31 Aug 2023
Please note that guests need to pay a refundable deposit of EUR 100 for bungalows, EUR 10 for the camps entrance card and EUR 10 for using the outdoor swimming pool.

Please note that guests receive a 10% discount when using the spa facilities.",,Massage children's playground Table tennis Hot tub/jacuzzi Packed lunches Heating Fax/photocopying Snorkelling wifi Mini golf Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning ATM/cash machine on site Sun terrace outdoor pool (seasonal) Parking Restaurant Pets allowed meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Garden Terrace Non-smoking rooms Fishing Business centre Laundry dry cleaning Facilities for disabled guests Family rooms Ironing service internet services Safety Deposit Box Spa and wellness centre indoor pool (all year) Indoor pool (seasonal) Entertainment staff shuttle service (additional charge) Special diet menus (on request) water sport facilities on site shared lounge/TV area minimarket on site Beachfront Evening entertainment parking on site wifi available in all areas board games/puzzles kids' outdoor play equipment Parking garage electric vehicle charging station Accessible parking Wheelchair accessible Toilet with grab rails Lower bathroom sink Heated pool Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities first aid kit available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available contactless check-in/check-out cashless payment available Shuttle service Pub crawls Live sport events (broadcast) Aerobics 24-hour security Key access Fire extinguishers Outdoor furniture Fence around pool Picnic area Beauty Services Spa Facilities Spa/wellness packages fitness/spa locker rooms Swimming pool Beach Salt-water pool Shallow end tennis equipment Badminton equipment coffee house on site sun loungers or beach chairs Sun umbrellas,45.57808|13.73418,,6280,https://www.booking.com/hotel/si/kamp-adria-ankaran.html
