countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
KR,South Korea,109119,Andong,1410560,Galleria Hotel,TwoStar,23 Dongheung-gil Andong 36705Gyeongsangbuk-do ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Unheung-dong Five Story Pagoda - 0.4 km / 0.2 mi <br /> Andong Gu Market - 0.6 km / 0.4 mi <br /> Andong Culture & Arts Center - 1.1 km / 0.7 mi <br /> Sinsedong 7 stories Brick Pagoda - 1.3 km / 0.8 mi <br /> Andong Soju Museum - 3.4 km / 2.1 mi <br /> Moonlight Bridge - 3.6 km / 2.2 mi <br /> Andong Folk Museum - 4 km / 2.5 mi <br /> Bongjeongsa Temple - 16.5 km / 10.3 mi <br /> Andong Sunseong Water Trail - 20.9 km / 13 mi <br /> Gyeongsangbuk-do Forest Science Museum - 23.1 km / 14.3 mi <br /> Buyongdae Cliff - 26 km / 16.1 mi <br /> Andong Hahoe Folk Village - 26.5 km / 16.5 mi <br /> </p>,"<p>HeadLine : Near Andong Unheung-dong Five Story Pagoda</p><p>Location : With a stay at Galleria Hotel in Andong, you ll be a 5-minute walk from Andong Unheung-dong Five Story Pagoda and 7 minutes by foot from Andong Gu Market.  This hotel is 1.9 mi (3 km) from Moonlight Bridge and 16.5 mi (26.5 km) from Andong Hahoe Folk Village.</p><p>Rooms : Make yourself at home in one of the 30 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Renovations : This property is closed from January 21 2022 to April 30 2022 (dates subject to change).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",82-054-8533459,Luggage storage Concierge services 24-hour front desk Laundry facilities Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Wheelchair accessible parking Free wired Internet Garden Food and water bowls Free newspapers in lobby,36.564355|128.734417,+82 054 8533377,36705,http://www.galleriahotelkr.com
KR,South Korea,109119,Andong,1446478,Win Hotel,TwoStar,28 Ongmyeong-gil AndongGyeongsangbuk-do ,,"Andong Win Hotel is perfectly located for both business and leisure guests in Andong-si. The property features a wide range of facilities to make your stay a pleasant experience. Service-minded staff will welcome and guide you at the Andong Win Hotel. Guestrooms are fitted with all the amenities you need for a good night's sleep. In some of the rooms, guests can find television LCD/plasma screen, internet access  wireless (complimentary), whirlpool bathtub, air conditioning, heating. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including spa. Andong Win Hotel is an excellent choice from which to explore Andong-si or to simply relax and rejuvenate.",,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences for the kids access getting around available in all rooms,36.564552|128.702543,,,https://www.agoda.com/partners/partnersearch.aspx?hid=545477
KR,South Korea,109119,Andong,1454293,Andong Richell Hotel,ThreeStar,346-69 Gwangwangdanji-ro AndongGyeongsangbuk-do Province ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sinsedong 7 stories Brick Pagoda - 12 km / 7.4 mi <br /> Andong Unheung-dong Five Story Pagoda - 13 km / 8.1 mi <br /> Andong Gu Market - 13.2 km / 8.2 mi <br /> Andong Culture & Arts Center - 13.6 km / 8.4 mi <br /> Moonlight Bridge - 13.7 km / 8.5 mi <br /> Andong Folk Museum - 14.7 km / 9.1 mi <br /> Andong Soju Museum - 14.9 km / 9.3 mi <br /> Manhyujeong Pavilion - 27.8 km / 17.3 mi <br /> Bongjeongsa Temple - 28.9 km / 18 mi <br /> Andong Sunseong Water Trail - 31.6 km / 19.6 mi <br /> Gyeongsangbuk-do Forest Science Museum - 33.7 km / 20.9 mi <br /> Toegye Birthplace - 38.2 km / 23.8 mi <br /> Toegye Residence - 38.3 km / 23.8 mi <br /> Buyongdae Cliff - 38.4 km / 23.8 mi <br /> Andong Hahoe Folk Village - 38.9 km / 24.2 mi <br /> </p><p>The preferred airport for Andong Richell Hotel is Daegu (TAE-Daegu Intl.) - 106.5 km / 66.2 mi </p>,"<p>HeadLine : Near Andong Folk Museum</p><p>Location : With a stay at Andong Richell Hotel in Andong, you ll be 24.2 mi (38.9 km) from Andong Hahoe Folk Village and 7.4 mi (12 km) from Sinsedong 7 stories Brick Pagoda.  This hotel is 8.1 mi (13 km) from Andong Unheung-dong Five Story Pagoda and 8.2 mi (13.2 km) from Andong Gu Market.</p><p>Rooms : Make yourself at home in one of the 90 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and hair dryers. Conveniences include complimentary bottled water, housekeeping is provided daily, and refrigerators can be requested.</p><p>Dining : Satisfy your appetite at Rosemary, one of the hotel s 2 restaurants. Buffet breakfasts are available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</p><p>Special Instructions : Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",82-54-8509733,Express check-in Express check-out Meeting rooms - 5 Free self parking Water dispenser Free WiFi Breakfast available (surcharge) 24-hour front desk Banquet hall,36.567943|128.781554,+82 54 8509700,36710,http://richell-andong.co.kr
KR,South Korea,109119,Andong,1486680,Peterpan Guesthouse,OneStar,2F 312 2 Anheung Dong Anheung-dong36698 Andong-siGyeongsangbug-do ,,"Situated just 313 metres from the traditional market at Andong, this guesthouse is a 40-minute drive from the UNESCO Heritage Site of Andong Hahoe Village. It provides dormitory rooms with heating facilities and complimentary Wi-Fi access.

Andong Peter Pan Guesthouse is a 13-minute drive from the Andong Culture & Tourism Complex and the Andong Bus Terminal. It is a 45-minute drive from the historical Andong Dosan Seowon (Confucian Academy) and about a 90-minute drive from Daegu International Airport.

Guests can head to the kitchen to help themselves to the simple American breakfast, which includes toast with egg and spreads, coffee or tea, as well as green tea. Alternatively, there are other dining options within a 10-minute walk away.",,Free self parking Terrace Non-smoking rooms Laundry facilities Internet access Heating Free WiFi Free WiFi Air conditioning Parking onsite Private parking,36.56374|128.72427,+82841031248277,36698,https://www.booking.com/hotel/kr/andong-peter-pan-guesthouse.html
KR,South Korea,109119,Andong,1537942,Andong Hotel,ThreeStar,40-11 Munhwagwangjang-gil Andong 36701Gyeongsangbuk-do ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Gu Market - 0.3 km / 0.2 mi <br /> Andong Unheung-dong Five Story Pagoda - 0.4 km / 0.3 mi <br /> Andong Catholic Church - 0.6 km / 0.4 mi <br /> AMF Bowling Center - 0.9 km / 0.5 mi <br /> Andong Culture & Arts Center - 0.9 km / 0.5 mi <br /> Imcheonggak House - 1.4 km / 0.9 mi <br /> Head House of Gosoeng Lee Family - 1.6 km / 1 mi <br /> Sinsedong 7 stories Brick Pagoda - 1.7 km / 1 mi <br /> Imcheonggak House - 1.7 km / 1.1 mi <br /> Andong Soju Museum - 3.1 km / 2 mi <br /> Seonseonghyun Gaeksa - 3.6 km / 2.2 mi <br /> Moonlight Bridge - 3.9 km / 2.4 mi <br /> Andong Folk Museum - 4.3 km / 2.7 mi <br /> Bongjeongsa Temple - 16.2 km / 10.1 mi <br /> Andong Sunseong Water Trail - 19.1 km / 11.9 mi <br /> </p><p>The preferred airport for Andong Hotel is Daegu (TAE-Daegu Intl.) - 94.7 km / 58.8 mi </p>,"<p>HeadLine : Near Andong Unheung-dong Five Story Pagoda</p><p>Location : With a stay at Andong Hotel in Andong, you ll be within a 5-minute walk of Andong Gu Market and Andong Unheung-dong Five Story Pagoda.  This hotel is 16.3 mi (26.2 km) from Andong Hahoe Folk Village and 0.4 mi (0.6 km) from Andong Catholic Church.</p><p>Rooms : Make yourself at home in one of the 35 air-conditioned rooms featuring refrigerators and LCD televisions. Computers, complimentary wireless Internet access, and cable programming provide entertainment. Bathrooms feature bathtubs or showers with rainfall showerheads and complimentary toiletries. Conveniences include desks and coffee/tea makers, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",82-54-8571166,Distance from property (meters) - 30 Free long-term parking Gated community Wheelchair accessible  no Luggage storage Free parking nearby Distance from property (ft) - 98 Lot Hours - End time - 11:30 AM Express check-out Express check-in Uncovered parking Lot Hours - Start time - 3:00 PM 24-hour front desk Free WiFi Housekeeping on request Garden Safe-deposit box at front desk Tours/ticket assistance elevator Free self parking Offsite parking reservations required Free valet parking Computer station,36.564737|128.731612,+82 54 8581166,760-080,
KR,South Korea,109119,Andong,1537946,Goryeo Hotel,TwoStar,116 1 Dongbu Dong 760 050 Andong-si 36701Gyeongsangbug-do ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Unheung-dong Five Story Pagoda - 0.3 km / 0.2 mi <br /> Andong Gu Market - 0.5 km / 0.3 mi <br /> Andong Catholic Church - 0.8 km / 0.5 mi <br /> AMF Bowling Center - 0.8 km / 0.5 mi <br /> Andong Culture & Arts Center - 1 km / 0.6 mi <br /> Imcheonggak House - 1.2 km / 0.7 mi <br /> Head House of Gosoeng Lee Family - 1.5 km / 0.9 mi <br /> Sinsedong 7 stories Brick Pagoda - 1.6 km / 1 mi <br /> Imcheonggak House - 1.6 km / 1 mi <br /> Andong Soju Museum - 3.3 km / 2 mi <br /> Seonseonghyun Gaeksa - 3.5 km / 2.2 mi <br /> Moonlight Bridge - 3.8 km / 2.3 mi <br /> Andong Folk Museum - 4.2 km / 2.6 mi <br /> Bongjeongsa Temple - 16.4 km / 10.2 mi <br /> Andong Sunseong Water Trail - 19.2 km / 11.9 mi <br /> </p>,"<p>HeadLine : Near Andong Unheung-dong Five Story Pagoda</p><p>Location : With a stay at Goryeo Hotel in Andong, you ll be a 4-minute walk from Andong Unheung-dong Five Story Pagoda and 6 minutes by foot from Andong Gu Market.  This hotel is 16.4 mi (26.4 km) from Andong Hahoe Folk Village and 0.4 mi (0.7 km) from Andong Catholic Church.</p><p>Rooms : Make yourself at home in one of the 51 air-conditioned guestrooms. Complimentary wired and wireless Internet access is available.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",82-54-8538877,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Luggage storage 24-hour front desk Water dispenser Free wired Internet Free WiFi Designated smoking areas Laundry facilities elevator Free self parking ATM/banking,36.564397|128.733147,+82 54 8432000,760-050,http://grhotel.kr
KR,South Korea,109119,Andong,1538177,Goodstay Andong Park Hotel,ThreeStar,324 Unheung-dong 36705 Andong-siGyeongsangbuk-do ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Unheung-dong Five Story Pagoda - 0.4 km / 0.2 mi <br /> AMF Bowling Center - 0.5 km / 0.3 mi <br /> Andong Gu Market - 0.8 km / 0.5 mi <br /> Imcheonggak House - 0.9 km / 0.6 mi <br /> Andong Catholic Church - 1.1 km / 0.7 mi <br /> Andong Culture & Arts Center - 1.1 km / 0.7 mi <br /> Sinsedong 7 stories Brick Pagoda - 1.1 km / 0.7 mi <br /> Head House of Gosoeng Lee Family - 1.2 km / 0.7 mi <br /> Imcheonggak House - 1.3 km / 0.8 mi <br /> Seonseonghyun Gaeksa - 3.2 km / 2 mi <br /> Andong Soju Museum - 3.4 km / 2.1 mi <br /> Moonlight Bridge - 3.5 km / 2.1 mi <br /> Andong Folk Museum - 3.9 km / 2.4 mi <br /> Bongjeongsa Temple - 17.4 km / 10.8 mi <br /> Andong Sunseong Water Trail - 19.5 km / 12.1 mi <br /> </p><p>The preferred airport for Andong Park Hotel is Daegu (TAE-Daegu Intl.) - 95.6 km / 59.4 mi </p>,"<p>HeadLine : Near Imcheonggak House</p><p>Location : With a stay at Andong Park Hotel, you ll be centrally located in Andong, just a 4-minute walk from Andong Unheung-dong Five Story Pagoda and 6 minutes by foot from AMF Bowling Center.  This hotel is 17 mi (27.4 km) from Andong Hahoe Folk Village and 0.6 mi (1 km) from Imcheonggak House.</p><p>Rooms : Make yourself at home in one of the 34 guestrooms featuring refrigerators and LCD televisions. Complimentary wired and wireless Internet access is available. Private bathrooms have deep soaking bathtubs and hair dryers. Conveniences include complimentary newspapers and coffee/tea makers, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",82-54-8551502,Safe-deposit box at front desk Smoke-free property Wheelchair accessible parking elevator Free self parking Wheelchair accessible path of travel Luggage storage Express check-out Number of meeting rooms - 1 24-hour front desk Free wired Internet Free WiFi Braille or raised signage,36.563582|128.735469,+82 54 8531501,760-110,http://www.andongparkhotel.com/
KR,South Korea,109119,Andong,1550786,Andong Poong gyung Guesthouse Hostel,TwoStar,19-5 Noha 2-gil Andong ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Catholic Church - 5.1 km / 3.2 mi <br /> Andong Gu Market - 5.1 km / 3.2 mi <br /> Andong Culture & Arts Center - 5.5 km / 3.4 mi <br /> Andong Unheung-dong Five Story Pagoda - 6.4 km / 4 mi <br /> Imcheonggak House - 6.7 km / 4.1 mi <br /> Sinsedong 7 stories Brick Pagoda - 6.9 km / 4.3 mi <br /> Andong Soju Museum - 7 km / 4.4 mi <br /> AMF Bowling Center - 7.5 km / 4.7 mi <br /> Head House of Gosoeng Lee Family - 7.9 km / 4.9 mi <br /> Imcheonggak House - 8.1 km / 5 mi <br /> Moonlight Bridge - 9.6 km / 6 mi <br /> Andong Folk Museum - 10.6 km / 6.6 mi <br /> Bongjeongsa Temple - 10.6 km / 6.6 mi <br /> Seonseonghyun Gaeksa - 11.1 km / 6.9 mi <br /> Ogyeonjeongsa House - 20.7 km / 12.9 mi <br /> </p><p>The preferred airport for Andong Poong-gyung HOSTEL n LIBRARY is Daegu (TAE-Daegu Intl.) - 98.5 km / 61.2 mi </p>,"<p>HeadLine : In the suburbs</p><p>Location : Located in Andong, Andong Poong-gyung HOSTEL n LIBRARY is in the suburbs, within a 10-minute drive of Andong Catholic Church and Andong Gu Market.  This hostel is 13.3 mi (21.4 km) from Andong Hahoe Folk Village and 3.4 mi (5.5 km) from Andong Culture & Arts Center.</p><p>Rooms : Make yourself at home in one of the 7 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at the hostel s coffee shop/cafe, or stop in at the snack bar/deli. Mingle with other guests at the complimentary reception, held daily. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 8 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 11 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",82-054-8580659,Gift shops or newsstand Shopping on site Free long-term parking Banquet hall Reception hall Express check-in Lockers available Free reception Meeting rooms Shared microwave Television in common areas Free WiFi Shared refrigerator Number of bars/lounges - 1 Designated smoking areas Garden In-room accessibility (in select rooms) Free newspapers in lobby Free continental breakfast Shopping mall on site Free area shuttle Luggage storage Free breakfast Express check-out Front desk (limited hours) Water dispenser Library Daily Coffee/tea in common areas Designated smoking areas (fines apply) Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Free self parking Conference space Free valet parking Terrace Conference space size (feet) - 178,36.578108|128.680536,+82 010 94890683,36623,
KR,South Korea,109119,Andong,1550787,Linker Party House Hostel,TwoStar,180-1 Daean-ro Andong ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Andong Unheung-dong Five Story Pagoda - 0.3 km / 0.2 mi <br /> Andong Gu Market - 0.5 km / 0.3 mi <br /> Andong Culture & Arts Center - 0.9 km / 0.6 mi <br /> Sinsedong 7 stories Brick Pagoda - 1.5 km / 0.9 mi <br /> Andong Soju Museum - 3.2 km / 2 mi <br /> Moonlight Bridge - 3.9 km / 2.4 mi <br /> Andong Folk Museum - 4.3 km / 2.7 mi <br /> Bongjeongsa Temple - 16.4 km / 10.2 mi <br /> Andong Sunseong Water Trail - 21.5 km / 13.3 mi <br /> Gyeongsangbuk-do Forest Science Museum - 23.1 km / 14.4 mi <br /> Buyongdae Cliff - 25.8 km / 16.1 mi <br /> Andong Hahoe Folk Village - 26.4 km / 16.4 mi <br /> </p>,"<p>HeadLine : Near Andong Unheung-dong Five Story Pagoda</p><p>Location : With a stay at Linker Party House - Hostel, you ll be centrally located in Andong, just a 4-minute walk from Andong Unheung-dong Five Story Pagoda and 6 minutes by foot from Andong Gu Market.  This hostel is 16.4 mi (26.4 km) from Andong Hahoe Folk Village and 0.7 mi (1 km) from Andong Culture & Arts Center.</p><p>Rooms : Make yourself at home in one of the 4 guestrooms featuring refrigerators and microwaves. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in.</p>",,Tours/ticket assistance Luggage storage Water dispenser Free WiFi Self parking (surcharge) Smoke-free property Shared microwave Shared refrigerator,36.563936|128.732532,+82 010 46520070,36700,
KR,South Korea,109119,Andong,1558934,Gotaya Guesthouse,TwoStar,20 Dongheung 1-gil Andong ,,"Gotaya Guesthouse is located 250 metres from Andong Station. This holiday home offers a shared kitchen and a shared lounge and TV area. Free WiFi access is available.

Each room at Gotaya Guesthouse provides a flat-screen cable TV, a washing machine and air conditioning. Private bathrooms come complete with a shower, hairdryer, slippers and free toiletries.

Guests can enjoy the on-site games room and library. Other amenities offered include laundry facilities, daily cleaning service and air conditioning. The property offers free parking. Please inform Gotaya Guesthouse in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Free WiFi Family rooms Bikes available (free) Tour desk Daily housekeeping 24-hour security Non-smoking throughout Free parking Parking Heating Lockers Luggage storage designated smoking area Shared kitchen wifi available in all areas Tour or class about local culture internet services Laundry board games/puzzles CCTV in common areas Bar Non-smoking rooms Smoke alarms Air conditioning grocery deliveries shared lounge/TV area Private parking CCTV outside property wifi On-site parking Fire extinguishers,36.56461|128.73433,821043670226,36705,https://www.booking.com/hotel/kr/gotaya-guesthouse.html
