countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
ES,Spain,100322,A Cañiza,1736190,Aldea Guntin Camping Caniza,TwoStar,Carballo do Marco s/n 36880 La Caniza ,,"Surrounded by countryside, Aldea Guntin  Camping Cañiza features an outdoor swimming pool and a tennis court. There is free WiFi is public areas.

All bungalows have heating. Each includes a TV and a kitchen.

The bungalows include 2 bedrooms and a bathroom with a bath or a shower. Towels and bed linen are provided.

The area us popular for hiking, horse riding, and canoeing. Encore de Frieira River can be reached in 15 minutes by car. Ourense is 45 km away. Please inform Aldea Guntin Camping Cañiza in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Free self parking Pets allowed Free newspapers in lobby Garden Terrace Heating Designated smoking areas Daily housekeeping Parking onsite Private parking Street parking,42.21502|-8.28016,,36880,https://www.booking.com/hotel/es/aldea-guntin-camping-caniza.html
ES,Spain,100003,A Capela,1006621,Hotel Fraga do Eume,ThreeStar,"Lugar A Estoxa, 4 A CAPELA ",,"Built in 2001, Fraga do Eume hotel is ubicated in A Capela city council, a small town situated 55 km away from A Coruña, 100 km from Santiago de Compostela and 15 km away from Ferrol. It disposes of 26 rooms: 5 singles, 13 db/tw, 6 junior suites and 2 Monasterios suites. Equipped with mini bar, musical channel, telephone, satellite tv, safety box, internet connection.. The hotel has the Q certificate of touristic quality.",,Hotel American Express MasterCard Visa Bathroom Hairdryer Direct dial telephone Radio Hi-fi Minibar Fridge Carpeted floors Centrally regulated air conditioning Central heating Safe Balcony Mobile phone coverage Room service Laundry service Bicycle hire service Air conditioning in public areas Hotel safe Lift access Bicycle storage Gym Bar Restaurant Highchairs Conference room Sun loungers TV lounge Hot tub Breakfast buffet À la carte lunch Set menu lunch À la carte dinner Set menu dinner Special dietary options,43.429879|-8.061192,,15613,http://hotelfragadoeume.com/
ES,Spain,100323,A Coruña,1164138,Hotel Urban Monte Blanco by Eurotels,TwoStar,Estrada Buno Laxe 60 Neano Cabana de Bergantiños15115 NeañoA Coruña ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Birthplace of Eduardo Pondal - 2.2 km / 1.4 mi <br /> Dolmen de Donbate - 7 km / 4.4 mi <br /> Laxe Beach - 7.4 km / 4.6 mi <br /> Torres do Allo - 8.8 km / 5.4 mi <br /> Osmo Beach - 10.4 km / 6.5 mi <br /> Arnela Beach - 10.6 km / 6.6 mi <br /> Costa da Morte Museum of Contemporary Art - 10.8 km / 6.7 mi <br /> Seiruga Beach - 11.9 km / 7.4 mi <br /> Soesto Beach - 12.5 km / 7.8 mi <br /> A Lagoa - 12.5 km / 7.8 mi <br /> Roncudo Lighthouse - 14.2 km / 8.8 mi <br /> Seaia Beach - 14.8 km / 9.2 mi <br /> Traba Beach - 15.2 km / 9.4 mi <br /> Malpica Beach - 15.3 km / 9.5 mi <br /> Castelo de Vimianzo - 18.4 km / 11.4 mi <br /> </p><p>The preferred airport for Hotel Urban Monte Blanco by Eurotels is La Coruna (LCG) - 58.9 km / 36.6 mi </p>,"<p>HeadLine : Near Birthplace of Eduardo Pondal</p><p>Location : Located in Cabana de Bergantinos, Hotel Urban Monte Blanco by Eurotels is by the sea, a 2-minute drive from Birthplace of Eduardo Pondal and 7 minutes from Dolmen de Donbate.  This aparthotel is 4.6 mi (7.4 km) from Laxe Beach and 5.4 mi (8.8 km) from Torres do Allo.</p><p>Rooms : Stay in one of 54 guestrooms featuring flat-screen televisions. Digital television is provided for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers.</p><p>Dining : At Hotel Urban Monte Blanco by Eurotels, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 8 AM to 10 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",34-981- 714 428,Safe-deposit box at front desk Bar/lounge Luggage storage Breakfast available (surcharge) Concierge services Front desk (limited hours) Tours/ticket assistance Restaurant Television in common areas Accessible bathroom Free self parking Roll-in shower Free WiFi In-room accessibility,43.227738|-8.914432,34-644397655,15115,https://www.byeurotels.com/de/hoteles-eurotels/mon
ES,Spain,100323,A Coruña,1226990,Crunia,FourStar,58Av. Fonteculler Culleredo 15174 A Coruña ,,"Hotel Crunia I A Coruña is the closest hotel to A Coruña Airport and lies only 3 km from the city centre. Free Wi-Fi is available in all areas.

All of the rooms at the Crunia Hotel have air conditioning, flat-screen satellite TV and a full bathroom with hairdryer. 4 of the rooms are adapted for people with reduced mobility. Most offer views over the Ría.

Crunia has a café-restaurant with bar service, and a terrace.

Hotel Crunia I A Coruña features both a garage and outdoor car park. The local area includes sports facilities, university buildings and access to motorways such as the AP-9.

There is a bus stop next to the Hotel that takes you directly to A Coruña city centre. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",981650089,Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Snack Bar Sun terrace shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas Parking garage Wheelchair accessible coffee house on site Outdoor furniture Shuttle service 24-hour security Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Business centre Laundry Facilities for disabled guests Family rooms Ironing service internet services lift express check-in/check-out Safety Deposit Box Soundproof rooms Packed lunches Car hire Heating,43.32558|-8.38107,(34) 981650088,15174,https://www.booking.com/hotel/es/hotelcrunia.html
ES,Spain,100323,A Coruña,1239258,PR La Poetisa,All,Rua Tierno Galvan 24 Acea Da MaO'BurgoCulleredo 15670 ,,"La Poetisa is an automated hotel with an online check-in system: comfortable, easy and fast.
Located 3 minutes from the airport, 12 minutes from the center of Coruña and on the English Way (Camino Inglés). We have 19 rooms that were renovated in May 2023 with a fresh and cozy design, where each room is unique and different.

All rooms are exterior and bright and fully equipped: full private bathroom, hairdryer, Smart TV 50¨, a safe, fiber optic wi-fi, heating and  a desk.
On request, we have a luggage-room (luggage storage).

We have included a dining area with vending machines with a wide range of food, snacks and drinks, where you can have breakfast, a snack dinner, a coffee or a soft drink.
Check-in time to the rooms from 15.00h onwards. Please inform Hostal LA POETISA - Auto Check-in in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests under the age of 18 can only check in with a parent or official guardian.",+34917913005,CCTV in common areas Parking Non-smoking rooms Facilities for disabled guests Free parking internet services lift Safety Deposit Box Soundproof rooms Tour desk Heating wifi Free WiFi Non-smoking throughout Air conditioning vending machine (drinks) vending machine (snacks) shared lounge/TV area Daily housekeeping wifi available in all areas Street parking Wheelchair accessible Toilet with grab rails Higher level toilet Emergency cord in bathroom Security alarm Smoke alarms guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines,43.31521|-8.37381,(34) 981665871,15670,https://www.booking.com/hotel/es/la-poetisa.html
ES,Spain,100323,A Coruña,1392742,Hotel Rural Casal de Mouros,OneStar,Calle O Casal Do Mouro 2 15313 15313 Irixoa ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Irmans Garcia Naveira Square - 9.7 km / 6 mi <br /> Betanzos Church of San Francisco - 10.2 km / 6.3 mi <br /> Museo das Marinas - 10.5 km / 6.5 mi <br /> Parque el Pasatiempo - 10.6 km / 6.6 mi <br /> Seca do Pedrido - 10.6 km / 6.6 mi <br /> Praia do Pedrido - 10.7 km / 6.6 mi <br /> Punta de Fos - 11 km / 6.8 mi <br /> Xurela - 11 km / 6.9 mi <br /> Praia da Insua - 11.1 km / 6.9 mi <br /> Praia da Abeleira - 11.3 km / 7 mi <br /> Praia de Cabana - 11.9 km / 7.4 mi <br /> Seca de Regueiro - 12.3 km / 7.7 mi <br /> Praia de Regueiro - 12.4 km / 7.7 mi <br /> Monastery of Santa María de Monfero - 14.2 km / 8.8 mi <br /> Praia da Alameda - 15 km / 9.3 mi <br /> </p><p>The preferred airport for Hotel Rural Casal de Mouros is La Coruna (LCG) - 37.5 km / 23.3 mi </p>,"<p>HeadLine : On the riverwalk</p><p>Location : Located in Irixoa, Hotel Rural Casal de Mouros is on the riverwalk, within a 15-minute drive of Irmans Garcia Naveira Square and Museo das Marinas.  This hotel is 6.3 mi (10.2 km) from Betanzos Church of San Francisco and 6.6 mi (10.6 km) from Parque el Pasatiempo.</p><p>Rooms : Stay in one of 9 guestrooms featuring plasma televisions. Wireless Internet access (surcharge) is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include phones, as well as desks and blackout drapes/curtains.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 9:00 AM to 11:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - midnight. Front desk staff will greet guests on arrival.</p>",34-881-063957,Dry cleaning/laundry service Free long-term parking Pool umbrellas Free reception Number of meeting rooms - 1 Conference space size (meters) - 60 Swimming pool Free WiFi Number of bars/lounges - 1 Health club Designated smoking areas Number of spa tubs - 1 Number of poolside bars - 1 Horse riding/rental on site Garden In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free Buffet Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Front desk (limited hours) Daily Golfing nearby Outdoor seasonal pool Turkish bath/Hammam Coffee/tea in common areas Snack bar/deli Number of coffee shops/cafes - 1 Hiking/biking trails nearby Kayaking nearby Conference space Self parking (surcharge) Terrace Pool sun loungers,43.30396|-8.122167,34-608-750202,15313,http://www.hotelruralcasaldemouros.com
ES,Spain,100323,A Coruña,1414116,Pensión Angelita,All,Tarroeira 15182 TabeaioGalicien ,,"Situated in Tabeaio, Pensión Angelita offers accommodation with heating and free WiFi. A-6 Motorway is a 3-minute drive away.

Each room includes a TV, desk, and a private bathroom with a bath or a shower. Free toiletries are provided.

At Pensión Angelita you will find a bar. Other facilities include a tour desk and luggage storage. The property offers free parking.

Cambre Train Station is 5 km from the property. A Coruña can be reached in around 20 minutes by car. Cecebre Lake is 8 km away. Please inform Pensión Angelita in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",,Parking Bar Non-smoking rooms Free parking internet services lift Tour desk Heating Luggage storage wifi Free WiFi Non-smoking throughout parking on site Private parking Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,43.25108|-8.36191,+34680462255,15182,https://www.booking.com/hotel/es/pension-angelita.html
ES,Spain,100323,A Coruña,1589304,Casa de Verdes,ThreeStar,Aldea De Cundíns N16 15149 Cabana de BergantinosA Coruna ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Praia da Urixeira - 4.7 km / 2.9 mi <br /> Birthplace of Eduardo Pondal - 5.1 km / 3.2 mi <br /> Praia do Pendón - 6 km / 3.7 mi <br /> Praia de Rebordelo - 9.4 km / 5.8 mi <br /> Praia de Area das Vacas - 9.5 km / 5.9 mi <br /> Praia de San Pedro - 10 km / 6.2 mi <br /> Praia de Balarés - 10 km / 6.2 mi <br /> Dolmen de Donbate - 11.1 km / 6.9 mi <br /> Praia de Area Pequena da Barda - 11.3 km / 7 mi <br /> Praia de Area Grande da Barda - 11.4 km / 7.1 mi <br /> Laxe Beach - 11.5 km / 7.1 mi <br /> Osmo Beach - 13.3 km / 8.3 mi <br /> Praia da Furna - 13.3 km / 8.3 mi <br /> Refugio de Verdes - 13.4 km / 8.3 mi <br /> Arnela Beach - 13.5 km / 8.4 mi <br /> </p><p>The nearest major airport is La Coruna (LCG) - 64.6 km / 40.1 mi</p>,"<p>HeadLine : In Cabana de Bergantinos</p><p>Location : Located in Cabana de Bergantinos, Casa de Verdes - In Cabana de Bergantinos is within a 10-minute drive of Birthplace of Eduardo Pondal and Praia da Urixeira.  This country house is 3.7 mi (6 km) from Praia do Pendón and 5.8 mi (9.4 km) from Praia de Rebordelo.</p><p>Rooms : Make yourself at home in one of the 7 guestrooms. Digital television is provided for your entertainment. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>Dining : Take advantage of the country house s room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Buffet breakfasts are available daily from 9 AM to 11 AM for a fee.</p><p>Renovations : This property is closed from February 17 2023 to February 16 2025 (dates subject to change).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 2 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property for check-in instructions.</p>",34-686-092255,Free reception Shared microwave Breakfast available (surcharge) Television in common areas Free WiFi Shared refrigerator Library Barbecue grill(s) Garden Picnic area Smoke-free property Coffee/tea in common areas Laundry facilities Free self parking Fireplace in lobby Terrace,43.20603|-8.89245,34-686-092255,15149,http://www.casadeverdes.com
ES,Spain,100323,A Coruña,1643622,Casa de Sixto,All,"Sas, 44 PaderneLa Coruña ",,"Offering impressive views and a swimming pool, Casa de Sixto is set in Paderne, 15 minutes walk from Betanzos Estuary. The country house features free Wi-Fi and typical restaurant serving Galician cuisine.

The traditional rustic-style house has bright rooms with parquet floors and beamed ceilings offering a seating area and flat-screen TV. The common area features a living room with a TV and fire place.

Casa de Sixtos extensive garden includes a furnished terrace and dining area with BBQ facilities. The bar- restaurant serves local gastronomy, and there is also a games room available for children.

The property is surrounded by nature and offers outdoor activities such as hiking and cycling. Miño Beach is a 10-minute drive away. A Coruña is 25 km away while A Coruña Airport is 20 minutes drive.",,Parking Restaurant Bar Tennis Court Golf course (within 3 km) Garden Terrace Non-smoking rooms Free parking internet services children's playground Canoeing Hiking Tour desk Heating Horse riding wifi Outdoor pool Free WiFi designated smoking area Sun terrace parking on site board games/puzzles Fence around pool Walking tours Bike tours Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,43.31286|-8.1833,+34981782831,15314,https://www.booking.com/hotel/es/casa-de-sixto.html
ES,Spain,100323,A Coruña,1648624,Turismo Rural O Xastre de Anos,ThreeStar,O Cruceiro 4 Lg Anós Lugar de Anos15149 Cabana de Bergantinos ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Torres do Allo - 3.6 km / 2.2 mi <br /> Praia do Pendón - 7.2 km / 4.4 mi <br /> Praia da Urixeira - 7.8 km / 4.9 mi <br /> Birthplace of Eduardo Pondal - 9.9 km / 6.2 mi <br /> Praia de Rebordelo - 10.6 km / 6.6 mi <br /> Dolmen de Donbate - 11 km / 6.9 mi <br /> Praia de San Pedro - 11.2 km / 7 mi <br /> Praia de Balarés - 14.9 km / 9.3 mi <br /> Castelo de Vimianzo - 15.9 km / 9.9 mi <br /> Praia de Armado - 15.9 km / 9.9 mi <br /> Praia de Area das Vacas - 16.1 km / 10 mi <br /> Praia de Area Pequena da Barda - 16.2 km / 10 mi <br /> Laxe Beach - 16.2 km / 10.1 mi <br /> Praia de Area Grande da Barda - 16.3 km / 10.1 mi <br /> Praia do Castrillón - 16.3 km / 10.1 mi <br /> </p><p>The nearest major airport is La Coruna (LCG) - 60.4 km / 37.5 mi</p>,"<p>HeadLine : Near Torres do Allo</p><p>Location : Located in Cabana de Bergantinos, Turismo Rural - O Xastre de Anos is in a rural location, within a 15-minute drive of Torres do Allo and Dolmen de Donbate.  This guesthouse is 4.4 mi (7.2 km) from Praia do Pendón and 4.9 mi (7.8 km) from Praia da Urixeira.</p><p>Rooms : Make yourself at home in one of the 6 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature bathtubs, complimentary toiletries, and hair dryers. Conveniences include separate sitting areas and washing machines, and housekeeping is provided on request.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the guesthouse s coffee shop/cafe. Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property only accepts cash</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. The host will greet guests on arrival.</p>",,Bulk dispenser for toiletries No single-use plastic straws Meeting rooms Number of meeting rooms - 1 Change of bed sheets (on request) No single-use plastic stirrers Reusable cups only Free wired Internet Reusable tableware only Television in common areas Free WiFi No single-use plastic water bottles Number of bars/lounges - 1 Well-lit path to entrance Change of towels (on request) Garden Picnic area Free newspapers in lobby Tours/ticket assistance Energy-saving features in guest rooms Wheelchair accessible  no Express check-out Handrails in stairways Library Barbecue grill(s) Housekeeping on request Smoke-free property Number of coffee shops/cafes - 1 Free self parking Terrace Double-glazing on all windows Sustainability/community reinvestment (10% revenue or more) Guest education on local ecosystems and culture,43.168624|-8.911336,34-64-6202410,15149,http://www.oxastredeanos.com
