countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LK,Sri Lanka,100262,Ahangama,1013890,Bojangles Beach House,TwoStar,"GALLE ROAD, KADALANA KOGGALA ",,"This simple Hotel is situated in Koggala. With a total of 5 bedrooms, this is a nice place to stay. Visitors will not be bothered during their stay, as this is not a pet-friendly property.",,Hotel Airport shuttle Laundry service Multilingual staff Bellboy service Garden Terrace Luggage room Clothes dryer Café Bar Restaurant TV lounge Breakfast Non-smoking establishment,5.977224|80.352594,094077 0845452,,http://bojanglesbeachhouse.com/
LK,Sri Lanka,100262,Ahangama,1083066,"Ceilao Villas, Koggala",FourStar,"Welhengoda,  Ahangama,  ",,"Equipped with a private pool, garden, beach access and Ceilãos specialised service staff this four bedroom exclusive villa encompasses the perfect blend of sun, sea and sand. Located in the village of Kabalana on Sri Lankas southern coast. Boasting a garden, private pool and sea views, Kabalana House by Ceilao Villas is located in Ahangama. This beachfront property offers access to free WiFi.

The air-conditioned villa is composed of 1 separate bedroom, a living room, a fully equipped kitchen with a dishwasher and oven, and 2 bathrooms. A flat-screen TV with satellite channels and a DVD player are offered.

The villa can conveniently provide information at the reception to help guests to get around the area.

Kabalana House by Ceilao Villas offers an outdoor pool. The property has a sun terrace, along with a private beach area.

Hikkaduwa is 38 km from the accommodation, while Galle is 18 km from the property. Please note that the villa consists of 4 rooms. The rooms will be provided as per the occupancy that is booked.",,Free self parking 24-hour front desk Free newspapers in lobby Garden Terrace Non-smoking rooms Airport shuttle Babysitting or childcare Laundry facilities Dry cleaning/laundry service Ironing service Bridal suite Internet access Safe-deposit box at front desk Soundproof rooms Bicycle rental (additional charge) BBQ facilities Packed lunches Tour desk Snorkelling Free WiFi Outdoor pool Free WiFi Non-smoking throughout Air conditioning Designated smoking areas On private beach Terrace Private check-in/check-out Area shuttle (surcharge) Special diet menus (on request) Airport transportation (surcharge) Shared kitchen Television in common areas Daily housekeeping Grocery/convenience store Parking onsite Private parking Kid meals,5.97806|80.34686,,80650,https://www.booking.com/hotel/lk/kabalana-house-by-ceilao-villas.html
LK,Sri Lanka,100262,Ahangama,1248718,Villa Mayurana By Edwards Collection,FiveStar,Pelassa Road Santhosagama Ahangama. SanthosagamaAhangama ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Koggala Lake - 0.9 km / 0.5 mi <br /> Kabalana Beach - 4.6 km / 2.9 mi <br /> Handunugoda Tea Museum - 4.7 km / 2.9 mi <br /> Kathaluwa Old Temple - 5.6 km / 3.5 mi <br /> Stilt Fisherman - 6.2 km / 3.8 mi <br /> Koggala Beach - 6.5 km / 4.1 mi <br /> Martin Wickramsinghe Folk Museum - 7.1 km / 4.4 mi <br /> Midigama Beach - 9.3 km / 5.8 mi <br /> Midigama Left Surf Break - 9.9 km / 6.2 mi <br /> Turtle Bay Beach - 12.7 km / 7.9 mi <br /> Mihiripenna Beach - 13.2 km / 8.2 mi <br /> Dalawella Beach - 13.7 km / 8.5 mi <br /> Kushtarajagala Statue - 14 km / 8.7 mi <br /> Yatagala Raja Maha Viharaya - 15.1 km / 9.4 mi <br /> Unawatuna Beach - 15.2 km / 9.5 mi <br /> </p><p>The nearest major airport is Bandaranaike Intl. Airport (CMB) - 162.4 km / 100.9 mi</p>,"<p>HeadLine : Near Koggala Lake</p><p>Location : Located in Ahangama, Villa Mayurana By Edwards Collection is in a rural location, a 1-minute drive from Koggala Lake and 9 minutes from Kabalana Beach.  This 5-star hotel is 12.8 mi (20.7 km) from Mirissa Beach and 2.9 mi (4.6 km) from Handunugoda Tea Museum.</p><p>Rooms : Make yourself at home in one of the 4 guestrooms featuring minibars and DVD players. Rooms have private patios. Prepare your meals in the shared/communal kitchen. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy international cuisine at Mayurana Gourmet Restaur, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary English breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",94-77-0406060,Dry cleaning/laundry service Pool umbrellas Number of meeting rooms - 1 Windsurfing nearby Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation - pickup (surcharge) 24-hour fitness facilities Boat tours nearby Free bicycles on site Yoga classes/instruction on site Free English Breakfast Private picnics Couples/private dining Wheelchair accessible  no Luggage storage Free breakfast 24-hour front desk Scooter/moped rentals nearby Library Daily Barbecue grill(s) Spa services on site Snorkeling nearby Safe-deposit box at front desk Hiking/biking trails nearby Laundry facilities Free self parking Terrace Pool sun loungers,6.007794|80.341452,94-77-0406060,80650,https://mayurana.com
LK,Sri Lanka,100262,Ahangama,1257282,Insight Resort Ahangama,ThreeStar,67 Matara Road Ahangama 80650Galle ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kabalana Beach - 1.3 km / 0.8 mi <br /> Koggala Lake - 3.1 km / 1.9 mi <br /> Midigama Beach - 3.2 km / 2 mi <br /> Stilt Fisherman - 3.7 km / 2.3 mi <br /> Kathaluwa Old Temple - 3.8 km / 2.3 mi <br /> Midigama Left Surf Break - 3.8 km / 2.4 mi <br /> Koggala Beach - 4.3 km / 2.7 mi <br /> Martin Wickramsinghe Folk Museum - 4.5 km / 2.8 mi <br /> Handunugoda Tea Museum - 5.6 km / 3.5 mi <br /> Turtle Bay Beach - 6.6 km / 4.1 mi <br /> Kushtarajagala Statue - 7.5 km / 4.6 mi <br /> Weligama Beach - 10.6 km / 6.6 mi <br /> Mihiripenna Beach - 10.7 km / 6.7 mi <br /> Dalawella Beach - 11.3 km / 7 mi <br /> Unawatuna Beach - 12.8 km / 7.9 mi <br /> </p><p>The nearest major airport is Bandaranaike Intl. Airport (CMB) - 164.2 km / 102.1 mi</p>,"<p>HeadLine : Near Kabalana Beach</p><p>Location : Located in Ahangama, Insight resort is by the sea, within a 15-minute drive of Koggala Lake and Mihiripenna Beach.  This beach hotel is 3.5 mi (5.6 km) from Handunugoda Tea Museum and 6.6 mi (10.6 km) from Weligama Beach.</p><p>Rooms : Make yourself at home in one of the 53 individually furnished guestrooms, featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Main Restaurant, a restaurant which features a bar/lounge and an ocean view. You can also stay in and take advantage of the 24-hour room service. Relax with a refreshing drink from the beach bar or one of the 2 poolside bars.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>Please note that the hotel policy is that appropriate swimwear must be worn in the swimming pools. Any other clothing, including pants, t-shirts, long dresses, and burkinis, are not allowed.</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",94-91-2283361,Airport transportation - pickup (surcharge) Rooftop terrace On private beach Luggage storage Business center 24-hour front desk Playground on site Spa services on site Safe-deposit box at front desk Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Children's pool Free self parking Beach sun loungers Terrace Access to nearby outdoor pool Pool sun loungers Dry cleaning/laundry service Beach umbrellas Airport transportation Pool umbrellas Meeting rooms Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of poolside bars - 2 Number of outdoor pools - 1 Number of beach bars - 1 Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Full-service spa Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Beach towels,5.973126|80.359949,94-91-2283296,80650,http://insightresortsrilanka.com/
LK,Sri Lanka,100262,Ahangama,1373714,Mosvold Villa,ThreeStar,Wellhengoda Ahangama WelhengodaAhangama ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kabalana Beach - 0.5 km / 0.3 mi <br /> Koggala Lake - 2.3 km / 1.4 mi <br /> Stilt Fisherman - 2.9 km / 1.8 mi <br /> Kathaluwa Old Temple - 3 km / 1.8 mi <br /> Koggala Beach - 3.5 km / 2.2 mi <br /> Martin Wickramsinghe Folk Museum - 3.7 km / 2.3 mi <br /> Midigama Beach - 4 km / 2.5 mi <br /> Midigama Left Surf Break - 4.6 km / 2.9 mi <br /> Handunugoda Tea Museum - 6.4 km / 4 mi <br /> Turtle Bay Beach - 7.6 km / 4.7 mi <br /> Kushtarajagala Statue - 8.2 km / 5.1 mi <br /> Mihiripenna Beach - 9.9 km / 6.2 mi <br /> Dalawella Beach - 10.5 km / 6.5 mi <br /> Weligama Beach - 11.4 km / 7.1 mi <br /> Unawatuna Beach - 12 km / 7.4 mi <br /> </p><p>The preferred airport for Mosvold Villa is Bandaranaike Intl. Airport (CMB) - 163.4 km / 101.6 mi </p>,"<p>HeadLine : Near Kabalana Beach</p><p>Location : When you stay at Mosvold Villa in Ahangama, you ll be near the beach, within a 5-minute drive of Kabalana Beach and Stilt Fisherman.  This beach hotel is 9.5 mi (15.3 km) from Mirissa Beach and 1.5 mi (2.4 km) from Koggala Lake.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. This is a designated quarantine hotel. The property can only accept bookings from travelers who are required to quarantine (i.e. international travelers). You may be asked to provide evidence of this on arrival.  This is a certified Sri Lanka Tourism Level 1 property. Sri Lanka Tourism Level 1 is a health and safety certification issued by the Sri Lanka Tourism Development Authority.</p>",94-912-282943,Dry cleaning/laundry service Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Area shuttle (surcharge) Airport transportation (surcharge) Luggage storage 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Children's pool Free self parking Terrace Wheelchair accessible path of travel,5.976368|80.353529,94-91-2282941,00200,http://www.mosvoldvillas.com/villas/mosvold-villa-ahangama
LK,Sri Lanka,100262,Ahangama,1423023,Gartons Cape,FiveStar,Midigama Denuwala Denuwala80650 Ahangama ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Midigama Beach - 0.5 km / 0.3 mi <br /> Midigama Left Surf Break - 1.1 km / 0.7 mi <br /> Turtle Bay Beach - 3.9 km / 2.4 mi <br /> Kabalana Beach - 4 km / 2.5 mi <br /> Kushtarajagala Statue - 4.7 km / 2.9 mi <br /> Koggala Lake - 6.2 km / 3.9 mi <br /> Kathaluwa Old Temple - 6.2 km / 3.9 mi <br /> Stilt Fisherman - 6.4 km / 4 mi <br /> Koggala Beach - 6.8 km / 4.2 mi <br /> Martin Wickramsinghe Folk Museum - 7 km / 4.3 mi <br /> Handunugoda Tea Museum - 7.8 km / 4.9 mi <br /> Weligama Beach - 7.9 km / 4.9 mi <br /> Mirissa Fisheries Harbor - 11.8 km / 7.4 mi <br /> Mirissa Beach - 11.8 km / 7.4 mi <br /> Mihiripenna Beach - 13.4 km / 8.4 mi <br /> </p><p>The preferred airport for Gartons Cape is Bandaranaike Intl. Airport (CMB) - 166.9 km / 103.7 mi </p>,"<p>HeadLine : Near Midigama Beach</p><p>Location : Located in Ahangama, Gartons Cape is by the ocean, within a 15-minute walk of Midigama Beach and Midigama Left Surf Break.  This 5-star hotel is 7.4 mi (11.8 km) from Mirissa Beach and 2.4 mi (3.9 km) from Turtle Bay Beach.</p><p>Rooms : Make yourself at home in one of the 23 guestrooms featuring minibars and DVD players. 32-inch flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms have complimentary toiletries and bathrobes. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at Horizon, or stay in and take advantage of the hotel s 24-hour room service. Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. Continental breakfasts are available daily from 7 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",94-91-2282250,Concierge services Surfing/bodyboarding on site Dry cleaning/laundry service Newspapers in lobby (surcharge) Free parking nearby Meeting rooms Conference space size (meters) - 51 Scuba diving nearby Free WiFi Number of bars/lounges - 2 Designated smoking areas Number of poolside bars - 1 Braille or raised signage Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Area shuttle (surcharge) Rooftop terrace Airport transportation (surcharge) On private beach Luggage storage Business center Personal motorized watercraft on site 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Spa services on site Snorkeling nearby Safe-deposit box at front desk Laundry facilities Children's pool elevator Fitness facilities Conference space Free valet parking Kayaking on site Terrace Wheelchair accessible path of travel Conference space size (feet) - 550,5.965855|80.382556,+94 91 2282311,80650,http://www.gartonscape.com/
LK,Sri Lanka,100262,Ahangama,1426121,HOTEL LEAN @ 83,OneStar,83 Mile Post Matara RoadKabalana80000 Ahangama ,,"Offering a restaurant, HOTEL LEAN @ 83 is located in Koggala. The Koggala Railway Station is 2.1 km. Free WiFi access is available in the public areas of the property.

Each air-conditioned room here will provide you with a balcony, a fireplace and a seating area. There is also an electric kettle. Featuring a shower, private bathroom also comes with a hairdryer. You can enjoy sea view from the room.

At HOTEL LEAN @ 83 you will find barbecue facilities and a shared kitchen. Other facilities offered at the property include meeting facilities, a shared lounge and dry cleaning. An array of activities can be enjoyed on site or in the surroundings, including cycling, fishing and windsurfing. The property offers free parking.

The Koggala Beach is 3.1 km and the Koggala Lake is 4.6 km. The Bandaranaike International Airport is 168 km.",,Free self parking Restaurant Room service Meeting rooms Free newspapers in lobby Airport shuttle Fishing Laundry facilities Dry cleaning/laundry service Facilities for disabled guests Breakfast service Ironing service Bridal suite Internet access Safe-deposit box at front desk Free valet parking Currency exchange Massage Windsurfing Bicycle rental (additional charge) BBQ facilities Packed lunches Car hire Cycling Fax/photocopying Snorkelling Free WiFi Free WiFi Air conditioning Shared kitchen Television in common areas On private beach Daily housekeeping Parking onsite Private parking Kid meals,5.97938|80.34654,,80000,https://www.booking.com/hotel/lk/lean-83.html
LK,Sri Lanka,100262,Ahangama,1426241,Goviyapana Beach Hotel,All,Goviyapana Ahangama 80650 ,,"Offering a restaurant and a private beach area, Goviyapana Beach Hotel is located just 5.7 km from the Koggala Airport. Free WiFi access is available in this self-catering accommodation.

Each air-conditioned room here will provide you with a flat-screen cable TV, work desk and seating area with sofa. There is a fully-equipped kitchen with a microwave and refrigerator. Featuring a shower, private bathroom comes with a hairdryer. You can enjoy sea and garden view from the balcony.

At Goviyapana Beach Hotel you will find free bikes. Other facilities offered at the property include grocery deliveries, water sports facilities and a shared lounge. An array of activities can be enjoyed on site or in the surroundings, including cycling, fishing and hiking. The property offers free parking.

The Mattala Rajapaksa International Airport is 89 km away.

Packed lunches can be requested. Room service is available.",,Parking Restaurant Room service 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services Solarium Windsurfing Soundproof rooms Hiking BBQ facilities Car hire Cycling Heating Diving wifi Allergy-free room Free WiFi Air conditioning designated smoking area Sun terrace shuttle service (additional charge) Special diet menus (on request) Trouser press water sport facilities on site airport shuttle (additional charge) shared lounge/TV area Beachfront Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas secured parking airport pick up airport drop off Outdoor furniture Beach Shuttle service,5.96542|80.38102,,80650,https://www.booking.com/hotel/lk/goviyapana-beach.html
LK,Sri Lanka,100262,Ahangama,1426618,Ocean Crest,ThreeStar,123 Galle Road Hathapalana HathapalaneAhangama 80650 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kabalana Beach - 0.7 km / 0.4 mi <br /> Koggala Lake - 2.9 km / 1.8 mi <br /> Stilt Fisherman - 3.1 km / 1.9 mi <br /> Kathaluwa Old Temple - 3.1 km / 1.9 mi <br /> Koggala Beach - 3.4 km / 2.1 mi <br /> Martin Wickramsinghe Folk Museum - 3.6 km / 2.2 mi <br /> Midigama Beach - 3.9 km / 2.4 mi <br /> Midigama Left Surf Break - 4.5 km / 2.8 mi <br /> Handunugoda Tea Museum - 6.5 km / 4 mi <br /> Turtle Bay Beach - 7.4 km / 4.6 mi <br /> Kushtarajagala Statue - 8.1 km / 5 mi <br /> Mihiripenna Beach - 10.1 km / 6.3 mi <br /> Dalawella Beach - 10.6 km / 6.6 mi <br /> Weligama Beach - 11.2 km / 7 mi <br /> Unawatuna Beach - 12.1 km / 7.5 mi <br /> </p><p>The preferred airport for Surf Station is Bandaranaike Intl. Airport (CMB) - 163.6 km / 101.7 mi </p>,"<p>HeadLine : Near Kabalana Beach</p><p>Location : Located in Ahangama, Surf Station is a 1-minute drive from Kabalana Beach and 10 minutes from Mihiripenna Beach.  This beach hotel is 6.6 mi (10.6 km) from Dalawella Beach and 7 mi (11.2 km) from Weligama Beach.</p><p>Rooms : Stay in one of 8 guestrooms featuring flat-screen televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and bathrobes.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 8 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",94-91-2283330,Barbecue grill(s) Safe-deposit box at front desk Coffee/tea in common areas Snack bar/deli Laundry facilities Free self parking Terrace Free Cooked-to-Order Breakfast Airport transportation (surcharge) Accessible airport shuttle Wheelchair accessible  no Luggage storage Free breakfast Business center 24-hour front desk Library Daily Dry cleaning/laundry service Newspapers in lobby (surcharge) Reception hall Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden Picnic area Wheelchair accessible parking Tours/ticket assistance Fitness classes on site Yoga classes/instruction on site,5.975647|80.354671,94-91-2283330,80650,http://oceancrest.lk/
LK,Sri Lanka,100262,Ahangama,1426679,Sun & Soul,All,Main Street n.n Midigama EastWeligama 81700 ,,"We want to make you feel as home. The rooms are big enough to relax and move around. There is part of garden, which is only for hotel guests, so you can enjoy your privacy. Offering beach front, Secret Midi is located in Midigama East. Free WiFi access is available.

Each room here will provide you with a minibar, work desk and seating area. Featuring a shower, private bathroom comes with free toiletries.

At Secret Midi you will find a garden and terrace. Other facilities offered at the property include luggage storage and laundry facilities. An array of activities can be enjoyed on site or in the surroundings, including fishing, diving and snorkelling.

The Mattala Rajapaksa International Airport is 87 km away.

The guests can enjoy their meals at the in-house restaurant.",,Laundry facilities Free self parking Internet access Massage Soundproof rooms Bicycle rental (additional charge) Tour desk Diving Snorkelling Luggage storage Free WiFi Allergy-free room Free WiFi Air conditioning Snack bar/deli Concierge services Area shuttle (surcharge) Airport transportation (surcharge) On private beach Daily housekeeping Parking onsite Private parking Street parking Restaurant 24-hour front desk Free newspapers in lobby Garden Terrace Non-smoking rooms Airport shuttle Fishing,5.961|80.39878,,80650,https://www.booking.com/hotel/lk/sun-amp-soul.html
