countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
KN,St Kitts & Nevis,110526,Basseterre,1026504,Ocean Terrace Inn,FourStar,Wigely Avenue Fort Lands P.O. Box 65 FortlandsBasseterre ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Circus - 1.3 km / 0.8 mi <br /> Berkeley Memorial - 1.3 km / 0.8 mi <br /> St. George s Anglican Church - 1.4 km / 0.9 mi <br /> Basseterre Cruise Port - 1.5 km / 0.9 mi <br /> Independance Square - 1.6 km / 1 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 1.6 km / 1 mi <br /> Warner Park Sporting Complex - 1.9 km / 1.2 mi <br /> Greatheeds - 5.8 km / 3.6 mi <br /> Frigate Bay Beach - 6.7 km / 4.2 mi <br /> Romney Manor - 9.8 km / 6.1 mi <br /> Brimstone Hill Fortress National Park - 16.6 km / 10.3 mi <br /> Dieppe Bay Beach - 24.2 km / 15.1 mi <br /> Mount Liamuiga - 24.9 km / 15.5 mi <br /> </p><p>The preferred airport for Ocean Terrace Inn is Basseterre (SKB-Robert L. Bradshaw Intl.) - 4.4 km / 2.8 mi </p>,"<p>HeadLine : Near Frigate Bay Beach</p><p>Location : With a stay at Ocean Terrace Inn, you ll be centrally located in Basseterre, within a 10-minute drive of Basseterre Cruise Port and St. George s Anglican Church.  This 4-star hotel is 0.8 mi (1.3 km) from The Circus and 0.8 mi (1.3 km) from Berkeley Memorial.</p><p>Rooms : Make yourself at home in one of the 50 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy Caribbean cuisine at Fishermans Wharf, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Cooked-to-order breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>",869-465-1057,Free self parking Free WiFi Dry cleaning/laundry service Pool sun loungers Outdoor pool Babysitting or childcare (surcharge) Computer station Wired Internet access - surcharge Children's pool Conference space size (meters) - 232 Safe-deposit box at front desk Spa services on site Terrace Luggage storage Free parking nearby Breakfast available (surcharge) Conference space size (feet) - 2500 Concierge services Designated smoking areas Shopping on site Laundry facilities Wedding services Airport transportation (surcharge) Garden Free newspapers in lobby Bar/lounge Fitness facilities Free beach shuttle 24-hour front desk Poolside bar Conference space Porter/bellhop Tours/ticket assistance Meeting rooms,17.2912|-62.733446,869-465-2754,0,http://oceanterraceinn.com/
KN,St Kitts & Nevis,110526,Basseterre,1039450,Royal St.Kitts Hotel,FourStar,406 Zenway Blvd Zenway BoulevardFrigate BaySt. Kitts ,,"Located in Frigate Bay, 400 metres from Marriott Royal Beach, Royal St. Kitts Hotel provides accommodation with an outdoor swimming pool, free private parking, a fitness centre and a garden. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi. The accommodation offers karaoke and luggage storage space.

Selected rooms are fitted with a kitchen with a fridge, an oven and a microwave.

The hotel offers an à la carte or Full English/Irish breakfast.

Royal St. Kitts Hotel offers a terrace. You can play billiards and table tennis at the accommodation.

The nearest airport is Robert L. Bradshaw International Airport, 6 km from Royal St. Kitts Hotel. Please note the following charges are not included: 17% tax on the breakfast price, in addition to 12% VAT and 10% city tax.",18697628634,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Fitness centre Golf course (within 3 km) Garden Terrace Non-smoking rooms Laundry Family rooms Games room Free parking internet services Spa and wellness centre Billiards Table tennis Karaoke Luggage storage wifi Outdoor pool Free WiFi Air conditioning outdoor pool (all year) vending machine (drinks) vending machine (snacks) minimarket on site Evening entertainment Daily housekeeping parking on site Private parking secured parking Accessible parking Pool with view Heated pool Shallow end Wine/champagne Fruits sun loungers or beach chairs Sun umbrellas Outdoor furniture Fitness Yoga classes fitness/spa locker rooms Swimming pool Live music/performance Live sport events (broadcast) 24-hour security Key card access Smoke alarms CCTV in common areas Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,17.29103|-62.68646,1 869 4658651,00000,https://www.booking.com/hotel/kn/royal-st-kitts.html
KN,St Kitts & Nevis,110526,Basseterre,1081658,Ottleys Plantation Inn,FourStar,Ottley's Village Saint Kitts and Nevis PO BOX 345 WEST INDIES ,BRIMSTONE HILL FORTRESS: within 35000 metre ,"The hotel is located in the lush green coast of St Kitts, with stunning mountain and ocean views. The hotel will transport guests to a bygone era of gracious living, hospitality and elegance. This luxury resort offers accommodation in separate buildings located around beautifully landscaped grounds. Enjoy peace, tranquility and serenity in a natural and historic environment. It offers rooms in the Great House are decorated in English colonial style with wicker and carved mahogany furniture, cheerful floral chintzes and a collection of works of art and local handicrafts.",,Resort EC Diners Club MasterCard Visa Bathroom Shower Hairdryer Direct dial telephone Minibar Mini fridge Ironing set Individually adjustable air conditioning Safe Terrace Garden Sun terrace Bar Restaurant Non-smoking area Highchairs Sun loungers Parasols Massage Spa treatments Breakfast À la carte lunch Set menu lunch À la carte dinner Set menu dinner Special dietary options Jet ski Diving Windsurfing Sailing Catamaran sailing Horse riding Tennis,17.357824|-62.747423,,00000,www.ottleys.com
KN,St Kitts & Nevis,110526,Basseterre,1088341,Sugar Bay Club Suites & Hotel,ThreeStar,Frigate Bay Beach Kittian Village Po Box 341 Frigate BayP.O. Box 341Basseterre ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Greatheeds - 2.6 km / 1.6 mi <br /> Frigate Bay Beach - 2.8 km / 1.7 mi <br /> Frigate Bay - 2.9 km / 1.8 mi <br /> Timothy Hill - 3.3 km / 2 mi <br /> Royal St. Kitts Golf Club - 3.8 km / 2.3 mi <br /> Warner Park Stadium - 4.2 km / 2.6 mi <br /> National Museum - 4.2 km / 2.6 mi <br /> Warner Park Sporting Complex - 4.3 km / 2.7 mi <br /> Royal St. Kitts Golf Club - 4.4 km / 2.7 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 4.5 km / 2.8 mi <br /> Independance Square - 4.5 km / 2.8 mi <br /> Berkeley Memorial - 4.7 km / 2.9 mi <br /> Basseterre Cruise Port - 4.7 km / 2.9 mi <br /> South Friar s Beach - 5 km / 3.1 mi <br /> St. George s Anglican Church - 5 km / 3.1 mi <br /> </p><p>The nearest airports are:<br />Robert L. Bradshaw Intl. Airport (SKB) - 5.1 km / 3.1 mi<br /> Newcastle (NEV-Vance W. Amory Intl.) - 23.7 km / 14.7 mi<br /> </p><p>The preferred airport for Sugar Bay Club Suites & Hotel is Robert L. Bradshaw Intl. Airport (SKB). </p>,"<p>HeadLine : Near Royal St. Kitts Golf Club</p><p>Location : Located in Basseterre, Sugar Bay Club Suites & Hotel is by the ocean, a 4-minute drive from Frigate Bay and 6 minutes from Frigate Bay Beach.  This beach hotel is 2.6 mi (4.1 km) from Royal St. Kitts Golf Club and 3.5 mi (5.6 km) from Basseterre Cruise Port.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned rooms featuring microwaves and LED televisions. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Enjoy Indian cuisine at Indian Summer, one of the hotel s many dining establishments, which include 5 restaurants and a coffee shop/cafe. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 7 AM to 11:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 11:00 PM. Front desk staff will greet guests on arrival.</p>",1-869-465-6745,Breakfast available (surcharge) Golfing nearby Snorkeling nearby Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Hiking/biking trails nearby Laundry facilities Children's pool Surfing/bodyboarding nearby Gift shops or newsstand Dry cleaning/laundry service Shopping on site Banquet hall Meeting rooms Sailing nearby Windsurfing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 2 Upper floors accessible by stairs only Garden Tours/ticket assistance Beach towels Wheelchair accessible  no Luggage storage Grocery/convenience store Business center Front desk (limited hours) Conference space Terrace ATM/banking Pool sun loungers Concierge services,17.30049|-62.68833,1-869-465-8037,N A,http://www.sugarbayclub.com
KN,St Kitts & Nevis,110526,Basseterre,1136871,St. Kitts Marriott Resort & The Royal Beach Casino,FourStar,858 Frigate Bay Road Frigate BaySaint Kitts ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royal St. Kitts Golf Club - 0.6 km / 0.3 mi <br /> Timothy Hill - 1.6 km / 1 mi <br /> Frigate Bay - 1.7 km / 1 mi <br /> Frigate Bay Beach - 2.4 km / 1.5 mi <br /> South Friar s Beach - 3.1 km / 1.9 mi <br /> Royal St. Kitts Golf Club - 6 km / 3.8 mi <br /> Greatheeds - 6.1 km / 3.8 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 6.4 km / 4 mi <br /> Warner Park Stadium - 6.5 km / 4 mi <br /> National Museum - 6.5 km / 4 mi <br /> Independance Square - 6.5 km / 4 mi <br /> Warner Park Sporting Complex - 6.5 km / 4.1 mi <br /> Berkeley Memorial - 6.5 km / 4.1 mi <br /> Basseterre Cruise Port - 6.6 km / 4.1 mi <br /> St. George s Anglican Church - 7 km / 4.3 mi <br /> </p><p>The nearest airports are:<br />Robert L. Bradshaw Intl. Airport (SKB) - 6.6 km / 4.1 mi<br /> Newcastle (NEV-Vance W. Amory Intl.) - 22 km / 13.7 mi<br /> </p><p>The preferred airport for St. Kitts Marriott Resort & The Royal Beach Casino is Robert L. Bradshaw Intl. Airport (SKB). </p>,"<p>HeadLine : Near Royal St. Kitts Golf Club</p><p>Location : Located in Basseterre, St. Kitts Marriott Resort & The Royal Beach Casino is on the Strip, a 5-minute drive from Frigate Bay Beach and 9 minutes from Royal St. Kitts Golf Club.  This 4.5-star resort is 4.1 mi (6.6 km) from Basseterre Cruise Port and 6.1 mi (9.8 km) from Sandy Bank Beach.</p><p>Rooms : Make yourself at home in one of the 389 individually furnished guestrooms, featuring refrigerators and flat-screen televisions. Your bed comes with down comforters and premium bedding. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and bidets.</p><p>Dining : All-inclusive rates are available at this resort. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite to eat at one of the resort s 7 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink at the beach bar, the poolside bar, or one of 3 bars/lounges. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee. </p></p><p>Renovations : The following facilities are closed seasonally each year. They will be closed from August 29 to May 31:<ul><li>Children s club</li><li>Sauna</li><li>Spa tub</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : If you are planning to arrive after 10:30 AM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",1-869-466-1201,Number of meeting rooms - 10 Conference space size (meters) - 1378 Bingo Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 3 Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 3 Number of beach bars - 1 Number of swim-up bars - 1 Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Fitness classes on site Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Visual alarms in hallways Multilingual staff Conference center Breakfast available (surcharge) Evening entertainment Wheelchair-accessible meeting spaces/business center Number of coffee shops/cafes - 1 Laundry facilities Casino elevator Fitness facilities Snorkeling on site Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Shopping on site Proposal/romance packages available Pool umbrellas Bicycle rentals on site Games Banquet hall Wheelchair accessible (may have limitations) Ballroom Wheelchair-accessible concierge desk Express check-in Wheelchair-accessible van parking Wheelchair-accessible path to elevator Wheelchair-accessible spa Wheelchair-accessible registration desk Television in common areas Wheelchair-accessible fitness center Wheelchair-accessible pool Arcade/game room Garden Wedding services Beach towels Boat tours nearby Supervised childcare/activities (surcharge) Golf driving range on site Yoga classes/instruction on site Golf lessons on site Couples/private dining Designer stores on site Luggage storage Free beach cabanas Conference space Hair salon Computer station Beach sun loungers Terrace Concierge services ATM/banking Wheelchair accessible path of travel Golf course on site Pool sun loungers Conference space size (feet) - 14831 Grocery/convenience store Porter/bellhop Billiards or pool table Business center Children's club 24-hour front desk Golfing nearby Spa services on site Housekeeping on request Safe-deposit box at front desk Smoke-free property Snack bar/deli Sauna Steam room Kayaking nearby Free self parking,17.2922|-62.685745,1-869-4661200,PR3 5JB,http://www.marriott.de/hotels/travel/skbrb-st-kitts-marriott-resort-and-the-royal-beach-casino/
KN,St Kitts & Nevis,110526,Basseterre,1311110,Timothy Beach Resort,ThreeStar,South Frigate Bay Beach.Po Box 1198 Frigate BaySankt Kitts & NevisWest Indies ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Frigate Bay - 0.1 km / 0.1 mi <br /> Timothy Hill - 0.9 km / 0.6 mi <br /> Frigate Bay Beach - 1.8 km / 1.1 mi <br /> Royal St. Kitts Golf Club - 1.9 km / 1.2 mi <br /> South Friar s Beach - 2.4 km / 1.5 mi <br /> Royal St. Kitts Golf Club - 4.7 km / 2.9 mi <br /> Greatheeds - 5.2 km / 3.3 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 5.5 km / 3.4 mi <br /> Warner Park Stadium - 5.5 km / 3.4 mi <br /> National Museum - 5.5 km / 3.4 mi <br /> Independance Square - 5.6 km / 3.5 mi <br /> Warner Park Sporting Complex - 5.6 km / 3.5 mi <br /> Berkeley Memorial - 5.6 km / 3.5 mi <br /> Basseterre Cruise Port - 6 km / 3.7 mi <br /> St. George s Anglican Church - 6 km / 3.8 mi <br /> </p><p>The nearest airports are:<br />Robert L. Bradshaw Intl. Airport (SKB) - 5.6 km / 3.5 mi<br /> Newcastle (NEV-Vance W. Amory Intl.) - 21.2 km / 13.2 mi<br /> </p><p>The preferred airport for Timothy Beach Resort is Robert L. Bradshaw Intl. Airport (SKB). </p>,"<p>HeadLine : Near Frigate Bay Beach</p><p>Location : With a stay at Timothy Beach Resort in Basseterre, you ll be on the beach, just steps from Frigate Bay and a 2-minute drive from Frigate Bay Beach.  This beach hotel is 1.2 mi (1.9 km) from Royal St. Kitts Golf Club and 1.7 mi (2.7 km) from South Friar s Beach.</p><p>Rooms : Make yourself at home in one of the 55 guestrooms. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers.</p><p>Dining : At Timothy Beach Resort, enjoy a satisfying meal at the restaurant. Relax with a refreshing drink from the beach bar or one of the 2 bars/lounges. Continental breakfasts are available daily from 7:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",869-4667085,Hiking/biking trails nearby Laundry facilities Surfing/bodyboarding nearby Free self parking Beach sun loungers Terrace Pool sun loungers Concierge services Dry cleaning/laundry service Free long-term parking Babysitting or childcare (surcharge) Pool umbrellas Sailing nearby Windsurfing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 2 Number of outdoor pools - 1 Number of beach bars - 1 Upper floors accessible by stairs only Garden Wedding services Tours/ticket assistance Beach towels Airport transportation (surcharge) Wheelchair accessible  no Porter/bellhop Business center 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Golfing nearby Snorkeling nearby Safe-deposit box at front desk Smoke-free property Ecotours nearby,17.280733|-62.686626,869-4658597,N A,http://www.timothybeach.com/
KN,St Kitts & Nevis,110526,Basseterre,1311391,Bird Rock Beach Hotel,TwoStar,South Pelican Drive P.O. Box 227 P.O. Box 227BasseterreSt. Kitts ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Frigate Bay - 2.1 km / 1.3 mi <br /> Royal St. Kitts Golf Club - 2.7 km / 1.7 mi <br /> Frigate Bay Beach - 2.8 km / 1.7 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 2.8 km / 1.7 mi <br /> Warner Park Stadium - 2.8 km / 1.7 mi <br /> National Museum - 2.8 km / 1.7 mi <br /> Berkeley Memorial - 2.9 km / 1.8 mi <br /> Warner Park Sporting Complex - 2.9 km / 1.8 mi <br /> Basseterre Cruise Port - 2.9 km / 1.8 mi <br /> Independance Square - 2.9 km / 1.8 mi <br /> St. George s Anglican Church - 3.2 km / 2 mi <br /> Timothy Hill - 3.5 km / 2.2 mi <br /> Greatheeds - 4.8 km / 3 mi <br /> Royal St. Kitts Golf Club - 4.8 km / 3 mi <br /> South Friar s Beach - 5.5 km / 3.4 mi <br /> </p><p>The preferred airport for Bird Rock Beach Hotel is Robert L. Bradshaw Intl. Airport (SKB) - 3.7 km / 2.3 mi </p>,"<p>HeadLine : Near Frigate Bay Beach</p><p>Location : Located in Basseterre, Bird Rock Beach Hotel is on the waterfront, within a 5-minute drive of Frigate Bay and Berkeley Memorial.  This beach hotel is 1.7 mi (2.7 km) from Frigate Bay Beach and 1.8 mi (2.9 km) from Basseterre Co-Cathedral of Immaculate Conception.</p><p>Rooms : Make yourself at home in one of the 46 guestrooms. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and complimentary toiletries.</p><p>Dining : Enjoy American cuisine at Sunburst Restaurant, a restaurant where you can take in the pool view, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Full breakfasts are available daily from 7:30 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1-869-465-1675,Concierge services Gift shops or newsstand Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Babysitting or childcare (surcharge) Number of meeting rooms - 3 Conference space size (meters) - 56 Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Marina on site Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Bicycle rentals nearby Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Scuba diving on site Luggage storage Porter/bellhop 24-hour front desk Breakfast available (surcharge) Safe-deposit box at front desk Laundry facilities Free self parking Conference space Snorkeling on site Kayaking on site Computer station Conference space size (feet) - 600 Bicycle rentals on site,17.284815|-62.704859,1-869-465-8914,0,https://www.ivhtravel.com/hotel-bird-rock-beach-h66862.html
KN,St Kitts & Nevis,110526,Basseterre,1377198,Marriott St. Kitts Beach Club,ThreeStar,858 Frigate Bay Road Frigate BaySaint Kitts & Nevis ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royal St. Kitts Golf Club - 0.6 km / 0.3 mi <br /> Timothy Hill - 1.6 km / 1 mi <br /> Frigate Bay - 1.7 km / 1 mi <br /> Frigate Bay Beach - 2.4 km / 1.5 mi <br /> South Friar s Beach - 3.1 km / 1.9 mi <br /> Royal St. Kitts Golf Club - 6 km / 3.8 mi <br /> Greatheeds - 6.1 km / 3.8 mi <br /> Basseterre Co-Cathedral of Immaculate Conception - 6.4 km / 4 mi <br /> Warner Park Stadium - 6.5 km / 4 mi <br /> National Museum - 6.5 km / 4 mi <br /> Independance Square - 6.5 km / 4 mi <br /> Warner Park Sporting Complex - 6.5 km / 4.1 mi <br /> Berkeley Memorial - 6.5 km / 4.1 mi <br /> Basseterre Cruise Port - 6.6 km / 4.1 mi <br /> St. George s Anglican Church - 7 km / 4.3 mi <br /> </p><p>The nearest airports are:<br />Robert L. Bradshaw Intl. Airport (SKB) - 6.6 km / 4.1 mi<br /> Newcastle (NEV-Vance W. Amory Intl.) - 22 km / 13.7 mi<br /> </p><p>The preferred airport for Marriott s St. Kitts Beach Club is Robert L. Bradshaw Intl. Airport (SKB). </p>,"<p>HeadLine : Near Royal St. Kitts Golf Club</p><p>Location : When you stay at Marriott s St. Kitts Beach Club in Basseterre, you ll be on the beach, within a 5-minute drive of Royal St. Kitts Golf Club and Frigate Bay Beach.  This beach condominium resort is 4.1 mi (6.6 km) from Basseterre Cruise Port and 7.4 mi (11.9 km) from Cockleshell Bay.</p><p>Rooms : Make yourself at home in one of the 88 air-conditioned rooms featuring kitchens with refrigerators and stovetops. Your bed comes with down comforters and premium bedding. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature jetted bathtubs and bidets.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Marriott s St. Kitts Beach Club, or stop in at the snack bar/deli. Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. Full breakfasts are served on weekdays from 6:30 AM to 11 AM and on weekends from 6:30 AM to 11:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-869-466-1201,ATM/banking Golf course on site Concierge services Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 3 Garden Picnic area Wheelchair accessible parking Roll-in shower (in select rooms) Full-service spa Tours/ticket assistance Volleyball on site Scuba diving on site Luggage storage 24-hour front desk Breakfast available (surcharge) Playground on site Barbecue grill(s) Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Hiking/biking trails nearby Laundry facilities Sauna Casino Steam room Free self parking Fitness facilities Kayaking on site Hair salon Terrace Gift shops or newsstand Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Bingo Wheelchair-accessible registration desk Sailing nearby Free WiFi Golfing on site Number of bars/lounges - 2,17.2922|-62.685745,1-869-4661500,00000,http://www.marriottvacationclub.com/vacation-resorts/marriott-stkitts-beach-club/overview.shtml
KN,St Kitts & Nevis,110526,Basseterre,1467286,Seaview Inn,ThreeStar,p.o.box 1586 bay road  ,,"Offering a restaurant, Seaview Inn is located 1.1 km from Basseterres Independence Square and .5 minutes drive from Frigate Bay. Free Wi-Fi access is available in all areas.

The rooms here will provide you with a flat-screen TV, air conditioning and cable channels. Private bathrooms also come with a bath or shower. Extras include a fan.

At Seaview Inn you will find a 24-hour front desk and a bar. The property offers free parking.

Robert L. Bradshaw International Airport is 2.5 km away and Brimstone Hill Fortress National Park is 16 km away. Managed by a private host",,Restaurant Room service Bar Terrace Non-smoking rooms internet services Safety Deposit Box wifi Free WiFi Air conditioning wifi available in all areas Wine/champagne delivered food is securely covered thermometers for guests provided by property Fruits use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers,17.2945|-62.72474,,00000,https://www.booking.com/hotel/kn/sea-view-inn.html
KN,St Kitts & Nevis,110526,Basseterre,1481121,Vista Villa,All,Frigate Bay  ,,"<p><b>Property Location</b> <br />With a stay at Vista Villa in Frigate Bay, you''ll be convenient to Frigate Bay Beach and Timothy Hill. This villa is within close proximity of St Kitts Royal Golf Club and South Friar''s Beach.</p><p><b>Rooms</b> <br />Make yourself at home in of the guestrooms, featuring kitchens with refrigerators and microwaves. Rooms have private patios. Complimentary wireless Internet access keeps you connected, and 24-inch flat-screen televisions are provided for your entertainment. Conveniences include separate sitting areas and ceiling fans, and housekeeping is provided daily.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",,,17.28224|-62.6946,,,
