countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
VC,St Vincent & Grenadi,144193,Bequia,1080834,Kingsville Apartments,ThreeStar,P.O. Box 41 Lower BayBQ BequiaSt. Vincent and Grenadines ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lower Bay Beach - 0.1 km / 0.1 mi <br /> Princess Margaret Beach - 0.7 km / 0.5 mi <br /> Friendship Bay Beach - 2.5 km / 1.6 mi <br /> Port of Port Elizabeth - 2.9 km / 1.8 mi <br /> </p>,"<p><b>Property Location</b> <br />With a stay at Kingsville Apartments in Bequia Island, you'll be near the beach, just a 1-minute walk from Lower Bay Beach and 11 minutes by foot from Princess Margaret Beach.  This apartment is 1.6 mi (2.5 km) from Friendship Bay Beach and 1.8 mi (2.9 km) from Port of Port Elizabeth.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 8 air-conditioned rooms featuring kitchens with full-sized refrigerators/freezers and stovetops. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include safes and separate sitting areas, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and barbecue grills.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",+17847844583000,Accessible bathroom Barbecue grill(s) Free WiFi Free self parking Front desk (limited hours) Garden Library Total number of rooms - 8,12.99538|-61.24759,+17847844583404,,http://www.kingsville-apartments.net/
VC,St Vincent & Grenadi,144193,Bequia,1131389,Bequia Beachfront Villas Hotel,ThreeStar,La Pompe Friendship Bay Beach Bequia 00801 Friendship BayBequia Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Friendship Bay Beach - 0.2 km / 0.1 mi <br /> Princess Margaret Beach - 1.9 km / 1.2 mi <br /> Lower Bay Beach - 2.2 km / 1.4 mi <br /> Port of Port Elizabeth - 3.2 km / 2 mi <br /> Cotton House Beach - 2.3 km / 1.4 mi <br /> Devil s Table - 5 km / 3.1 mi <br /> Spring Bay - 5.3 km / 3.3 mi <br /> St Vincent Botanic Gardens - 21.5 km / 13.3 mi <br /> Public Market - 21.5 km / 13.3 mi <br /> Belmont Lookout - 21.5 km / 13.3 mi <br /> Kingstown Market - 21.7 km / 13.5 mi <br /> St. George s Anglican Cathedral - 22 km / 13.7 mi <br /> Botanical Gardens - 23.1 km / 14.4 mi <br /> Kingstown Methodist Church - 23.9 km / 14.9 mi <br /> </p><p>The nearest airports are:<br />Argyle (SVD-Argyle Intl.) - 36.3 km / 22.6 mi<br /> Canouan Island (CIW) - 110.6 km / 68.7 mi<br /> </p><p></p>,"<p>HeadLine : Near Friendship Bay Beach</p><p>Location : With a stay at Bequia Beachfront Villa Hotel, you ll be centrally located in Bequia Island, steps from Windward Islands and Friendship Bay Beach.  This beach resort is 1.1 mi (1.7 km) from Princess Margaret Beach and 1.4 mi (2.3 km) from Cotton House Beach.</p><p>Rooms : Make yourself at home in one of the 14 individually decorated guestrooms, featuring kitchens with refrigerators and ovens. Cable television is provided for your entertainment. Conveniences include separate sitting areas and microwaves, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the resort s coffee shop/cafe. Wrap up your day with a drink at the bar/lounge. English breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Long-term renters welcome</li><li>This property uses solar energy, plus a grey water recycling system and eco-friendly cleaning products</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : There is no front desk at this property. For more details, please contact the property using the information on the booking confirmation.  Please note that the last connection ferry from St Vincent (SVD) departs at 6 PM daily.</p>",28-4-4954036,Terrace Renewable energy source - solar Comprehensive recycling policy Bulk dispenser for toiletries Grey water recycling system Eco-friendly cleaning products used Outdoor furniture No single-use plastic straws Water sports equipment Swimming nearby No single-use plastic stirrers Reusable cups only Water tubing nearby Reusable tableware only Sailing nearby Scuba diving nearby No single-use plastic water bottles Number of bars/lounges - 1 Bicycle parking available Airport transportation - pickup (surcharge) Comprehensive food waste policy Eco-friendly toiletries Energy-saving features in guest rooms Recycling LED light bulbs Water dispenser Personal motor watercraft nearby Breakfast available (surcharge) Secured bicycle storage Barbecue grill(s) Number of coffee shops/cafes - 1 Snorkeling on site Locally-sourced food on site (80% or more) Sustainability/community reinvestment (10% revenue or more) Surfing/bodyboarding on site Guest education on local ecosystems and culture Stereo Canoe on site Motor boating nearby Annual carbon offsets Books Organic food Showcase for local artists Humane animal treatment Dock Locally-owned & organized tours & activities Fully fenced Change of bed sheets (on request) Change of towels (on request) Garden Boat tours nearby Windsurfing on site Free bicycles on site Walkway to water Water-efficient toilets only Couples/private dining Water dispenser use by guests actively encouraged Wheelchair accessible  no Luggage storage Water-efficient showers only Housekeeping on request Safe-deposit box at front desk Smoke-free property Snack bar/deli Free self parking,12.99047|-61.2413,1-855-349-3355,00801,http://fortrecoverybequia.com
VC,St Vincent & Grenadi,144193,Bequia,1153236,Bequia Beach Club,ThreeStar,Kingstown Park BequiaSt. Vincent ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Friendship Bay Beach - 0.3 km / 0.2 mi &lt;br /&gt;Princess Margaret Beach - 1.1 km / 0.7 mi &lt;br /&gt;Port of Port Elizabeth - 2.2 km / 1.4 mi &lt;br /&gt;Fort Duvernette - 15.6 km / 9.7 mi &lt;br /&gt;Villa Beach - 16.4 km / 10.2 mi &lt;br /&gt;Indian Bay - 16.5 km / 10.3 mi &lt;br /&gt;Kingstown Market - 18.1 km / 11.3 mi &lt;br /&gt;St. George&apos;s Anglican Cathedral - 18.3 km / 11.4 mi &lt;br /&gt;Fort Charlotte - 18.5 km / 11.5 mi &lt;br /&gt;Botanical Gardens - 19.4 km / 12 mi &lt;br /&gt;Argyle Beach - 21.8 km / 13.5 mi &lt;br /&gt;Mahault beach - 30.3 km / 18.8 mi &lt;br /&gt;Mount Royal - 30.7 km / 19.1 mi &lt;br /&gt;Mysore Bay beach - 31.3 km / 19.5 mi &lt;br /&gt;Trump International Golf Club - 31.8 km / 19.8 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Bequia Beach Hotel is Port Elizabeth (BQU-J.F. Mitchell) - 2.3 km / 1.4 mi. &lt;/p&gt;,"&lt;p&gt;&lt;b&gt;Property Location&lt;/b&gt; &lt;br /&gt;With a stay at Bequia Beach Hotel in Bequia Island (Port Elizabeth), you&apos;ll be minutes from Friendship Bay Beach and close to Princess Margaret Beach.  This beach hotel is within the region of Port of Port Elizabeth and Fort Duvernette.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Rooms&lt;/b&gt; &lt;br /&gt;Make yourself at home in one of the 59 individually decorated guestrooms. Rooms have private furnished balconies. Complimentary wired and wireless Internet access is available. Private bathrooms with bathtubs or showers feature designer toiletries and hair dryers.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Rec, Spa, Premium Amenities&lt;/b&gt; &lt;br /&gt;Relax and unwind with massages, body treatments, and facials. You&apos;re sure to appreciate the recreational amenities, which include 2 outdoor swimming pools, a sauna, and a fitness center. This hotel also features complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).&lt;/p&gt;&lt;p&gt;&lt;b&gt;Dining&lt;/b&gt; &lt;br /&gt;Grab a bite to eat at the hotel&apos;s beachfront restaurant, which features a bar, or stay in and take advantage of room service (during limited hours). Relax with your favorite drink at a bar/lounge or a beach bar. A complimentary continental breakfast is served daily.&lt;/p&gt;&lt;p&gt;&lt;b&gt;Business, Other Amenities&lt;/b&gt; &lt;br /&gt;Featured amenities include complimentary high-speed (wired) Internet access, a computer station, and a library. Event facilities at this hotel consist of a conference center and meeting rooms. Free self parking is available onsite.&lt;/p&gt;",+17844581333,Conference center Sauna Children&apos;s club (surcharge) Garden In-room accessibility Free breakfast Beach towels Free WiFi Pool umbrellas Beach sun loungers Free self parking Bar/lounge Concierge services Designated smoking areas Total number of rooms - 59 Wedding services Beach bar Meeting rooms3 Number of outdoor pools - 2 Restaurant Supervised childcare/activities (surcharge) Library Spa services on site Pool sun loungers Beach umbrellas Number of buildings/towers - 12 Babysitting or childcare (surcharge) Number of meeting rooms - 3 Computer station Free wired high-speed Internet Gift shops or newsstand Number of floors - 3 Fitness facilities Porter/bellhop,12.991678496278|-61.239391565323,+17844581800,,http://www.bequiabeach.com/Contact.html
VC,St Vincent & Grenadi,144193,Bequia,1248369,Sugar Reef Bequia,FourStar,Crescent Beach  ,,"This gorgeous hotel on the coast of Bequia is surrounded by lush jungle and features excellent views of the Caribbean Sea. It has free Wi-Fi, free continental breakfast and a shared lounge area.

The rooms at Sugar Reef Bequia come with bright furnishings and lots of natural light. They also feature a wardrobe and a small seating area. Some rooms are located on the beachfront.

The hotels Sugar Reef Café is open to the public and serves national and international food all day. Guests can find other dining options within 4 km.

Port Elizabeth City, which offers shopping and sightseeing, is only a 15-minute drive from the property. Sugar Reef Bequia can also help guests arrange outdoor activities like snorkelling and tours.

The islands airport is 9 km from the property. Please note that the café at this property is open to the public.

Please be advised that the Environmental Fee is charge at the property at check in. The room rate and the tax and service charge will be charge at the moment of booking.",1-784-4583400,Parking Garden Terrace Non-smoking rooms Airport shuttle Fishing Free parking internet services Safety Deposit Box Massage Hiking Car hire Tour desk Diving Snorkelling wifi Free WiFi concierge service airport shuttle (additional charge) Adult only Daily housekeeping parking on site Private parking board games/puzzles pool/beach towels Pub crawls Happy hour Tour or class about local culture,13.02515|-61.21771,1-784-4583400,VC0400,https://www.booking.com/hotel/vc/sugar-reef.html
VC,St Vincent & Grenadi,144193,Bequia,1375085,Bequia Beach Hotel,FiveStar,Friendship Beach Bequia ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Friendship Bay Beach - 0.3 km / 0.2 mi <br /> Princess Margaret Beach - 1.6 km / 1 mi <br /> Lower Bay Beach - 1.9 km / 1.2 mi <br /> Port of Port Elizabeth - 2.9 km / 1.8 mi <br /> Devil s Table - 4.7 km / 2.9 mi <br /> Cotton House Beach - 1.6 km / 1 mi <br /> Spring Bay - 5.2 km / 3.2 mi <br /> Botanical Gardens - 23.1 km / 14.3 mi <br /> Indian Bay - 26.5 km / 16.5 mi <br /> Villa Beach - 27.3 km / 17 mi <br /> </p>,"<p>HeadLine : Near Friendship Bay Beach</p><p>Location : With a stay at Bequia Beach Hotel Luxury Resort & Spa in Bequia Island, you ll be on the beach, just a 4-minute walk from Friendship Bay Beach and a 2-minute drive from Princess Margaret Beach.  This 5-star resort is 2 mi (3.1 km) from Port of Port Elizabeth.</p><p>Rooms : Make yourself at home in one of the 57 individually decorated guestrooms, featuring iPod docking stations and minibars. Your bed comes with down comforters and Egyptian cotton sheets. Rooms have private furnished balconies. Complimentary wired and wireless Internet access is available. Private bathrooms with bathtubs or showers feature designer toiletries and hair dryers.</p><p>Dining : All-inclusive rates are available at this resort. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Enjoy international cuisine at Bagatelle Restaurant, one of the resort s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Relax with your favorite drink at the bar/lounge or the beach bar. A complimentary buffet breakfast is served daily from 7:30 AM to 10:30 AM. </p></p><p>Renovations : This property will be closed from June 5 2023 to October 13 2023 for renovations and will resume operation once the renovation is complete (completion date subject to change).  &nbsp;</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  This property is located on Bequia Island, accessible either by ferry from Kingstown in St Vincent, or via inter-island flights from Barbados or St. Lucia, offered by SVG Air and Grenadine Airways. The property can arrange ground transportation from Argyle International Airport (SVD) in St Vincent to the ferry terminal in Kingstown; 72 hour notice required. The last connection ferry from St Vincent (SVD) departs at 6 PM daily and takes 1 hour.</p>",1-784-4581700,Ecotours nearby Laundry facilities Children's club (free) Fitness facilities Snorkeling on site Bicycle rentals on site Surfing/bodyboarding on site Beach umbrellas Meeting rooms Arcade/game room Garden Full-service spa Wedding services Beach towels Boat tours nearby Supervised childcare/activities (surcharge) Gift shops or newsstand Dry cleaning/laundry service Free parking nearby Babysitting or childcare (surcharge) Pool umbrellas Free reception Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 2 Number of beach bars - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Airport transportation - pickup (surcharge) Free Buffet Breakfast Free breakfast Conference center Daily Barbecue grill(s) Turkish bath/Hammam Windsurfing on site Yoga classes/instruction on site Luggage storage Porter/bellhop Business center 24-hour front desk Scooter/moped rentals nearby Library Playground on site Spa services on site Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Sauna Steam room Free self parking Kayaking on site Computer station Beach sun loungers Terrace Pool sun loungers Concierge services,12.991961|-61.239559,+17844581600,VC0400,http://www.bequiabeachhotel.com
VC,St Vincent & Grenadi,144193,Bequia,1413513,Firefly Bequia Plantation Hotel,FourStar,Spring Estate BequiaSt Vincent & The Grenadines ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Spring Bay - 0.4 km / 0.2 mi <br /> Port of Port Elizabeth - 1.9 km / 1.2 mi <br /> Princess Margaret Beach - 2.9 km / 1.8 mi <br /> Devil s Table - 3.7 km / 2.3 mi <br /> Lower Bay Beach - 3.9 km / 2.4 mi <br /> Friendship Bay Beach - 4.8 km / 3 mi <br /> Cotton House Beach - 6 km / 3.7 mi <br /> St Vincent Botanic Gardens - 20.2 km / 12.5 mi <br /> Public Market - 20.2 km / 12.5 mi <br /> Belmont Lookout - 20.2 km / 12.5 mi <br /> Kingstown Market - 20.4 km / 12.7 mi <br /> St. George s Anglican Cathedral - 20.7 km / 12.9 mi <br /> Botanical Gardens - 21.8 km / 13.5 mi <br /> Kingstown Methodist Church - 22.6 km / 14.1 mi <br /> </p><p>The nearest airports are:<br />Argyle (SVD-Argyle Intl.) - 34.7 km / 21.6 mi<br /> Canouan Island (CIW) - 109 km / 67.7 mi<br /> </p><p></p>,"<p>HeadLine : Near Spring Bay</p><p>Location : Located in Bequia Island, Firefly Estate Bequia is in a rural location, just a 5-minute walk from Spring Bay and a 4-minute drive from Port of Port Elizabeth.  This 4-star hotel is 2.4 mi (3.9 km) from Princess Margaret Beach and 2.8 mi (4.4 km) from Lower Bay Beach.</p><p>Rooms : Make yourself at home in one of the 6 guestrooms. Your pillowtop bed comes with premium bedding. Complimentary wired and wireless Internet access is available. Conveniences include safes and a turndown service, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch at Firefly Estate, a restaurant which specializes in Caribbean cuisine, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Local cuisine breakfasts are available daily from 8:30 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 10:00 PM. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Please note that the last connection ferry from St Vincent (SVD) departs at 6 PM daily.</p>",1-784-4573305,Pool sun loungers Concierge services Outdoor furniture Free wired Internet Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden Picnic area Wedding services Beach towels Boat tours nearby Golf course on site Miniature golf on site Wheelchair accessible  no Front desk (limited hours) Breakfast available (surcharge) Barbecue grill(s) Snorkeling nearby Safe-deposit box at front desk Coffee/tea in common areas Laundry facilities Free self parking Terrace,13.019285|-61.225813,+17844888414,VC0400,http://www.fireflybequia.com
VC,St Vincent & Grenadi,144193,Bequia,1455634,Spring Hotel Bequia,FiveStar,Spring Estate Port ElizabethBequia 13BQ ,,"Spring Hotel Bequia and the Venue Conference Centre are located on the outskirts of Port Elizabeth, the capital of the island of Bequia in St. Vincent and the Grenadines. In addition to our 17 guest rooms and large indoor/outdoor meeting spaces, guests can enjoy a meal at the restaurant or at the large poolside bar with magnificent ocean views and breezes. There are many common areas throughout the hotel. If you are looking for St. Vincent and the Grenadines hotels to spend a great time with your friends, family or business associates, Spring Hotel Bequia is your perfect choice. We offer great luxury and comfort with a Caribbean flair to our customers. You can celebrate destination weddings, community gatherings, and participate in learning workshops for all ages. Consider us  for your next Grenadine vacation or meeting.

Free and fast WiFi is available throughout the property, and there is plenty of free private parking available on site. All rooms and the convention centre are fully air-conditioned. Our premium suites are furnished with locally crafted 4-poster beds and hand-made furniture by local craftsmen. All rooms have flat-screen TV. Certain accommodations feature a balcony sitting area with dramatic views of the ocean or pool. Some rooms are limited-mobility accessible. All rooms all include a modern, en-suite bathroom with a custom shower, bathrobes, free toiletries, and a hairdryer provided. Our hotel practices sustainable and green policies. We use solar energy, collect water and recycle to reduce our carbon footprint.

Breakfast may be included depending on your rate plan. There is free airport or ferry terminal shuttle service to/from the hotel.

The nearest airport is Bequia Airport, 3 miles from Spring Hotel Bequia. There are direct flights to Bequia from Barbados.  Kingstown, the capital of St Vincent and the Grenadines, is a 55-minute ferry ride with a larger international airport. The islands of Mustique, and Canouan are nearby, as are the famous Tobago Cays. Payment is also possible by bank transfer. Please contact the property in advance for more information using the contact details provided on your booking confirmation.",8003249530,Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Fishing Business centre babysitting/child services Laundry Facilities for disabled guests Family rooms Games room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Massage Billiards Table tennis Windsurfing Hot tub/jacuzzi Canoeing Hiking Packed lunches Car hire Cycling Fax/photocopying Diving Snorkelling Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning Sun terrace outdoor pool (all year) concierge service Private check-in/check-out shuttle service (free) Special diet menus (on request) airport shuttle (free) Shared kitchen shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas Swimming pool toys board games/puzzles Indoor play area kids' outdoor play equipment Kid meals secured parking Street parking Accessible parking Wheelchair accessible Pool with view Heated pool Pool Bar Shallow end Wine/champagne Fruits airport pick up airport drop off Badminton equipment sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Full body massage Fitness Yoga classes Swimming pool Shuttle service temporary art galleries Walking tours Bike tours Happy hour Live music/performance Live sport events (broadcast) 24-hour security Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,13.01262|-61.24075,+17844573707,VC0400,https://www.booking.com/hotel/vc/spring-house-bequia.html
VC,St Vincent & Grenadi,144193,Bequia,1455716,Sugarapple Inn,ThreeStar,Friendship Bay Bequia Friendship BaySaint Vincent And the Grenadines ,,"Located in Friendship, Sugarapple Inn offers an outdoor pool and a restaurant. Just a short 5-minute walk from Friendship Beach, the property offers beautiful gardens with fruits and flowers.

Each apartment there is air-conditioned and includes a seating area and a fully equipped kitchen with an oven and fridge. This self-catering accommodation features free WiFi.

At Sugarapple Inn you will find barbecue facilities and a terrace. Other facilities like grocery deliveries and laundry facilities are offered.

Port Elizabeth can be reached in 10 minutes by car, while Bequia Airport is just 3 km from Sugarapple In. The property offers free parking.",+1(0)7844573148,Free self parking Restaurant Garden Terrace Non-smoking rooms Airport shuttle Laundry facilities Family rooms Internet access Library BBQ facilities Car hire Free WiFi Outdoor pool Free WiFi Air conditioning Designated smoking areas Terrace Airport transportation (surcharge) On private beach Daily housekeeping Grocery/convenience store Parking onsite Private parking,12.99189|-61.24054,+17844573148,VC0000,https://www.booking.com/hotel/vc/sugarapple-inn.html
VC,St Vincent & Grenadi,144193,Bequia,1461453,"The Old Fort, Historic Estate",ThreeStar,The Old Fort Historic EstateBequia Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Port of Port Elizabeth - 2.7 km / 1.7 mi <br /> Princess Margaret Beach - 2.8 km / 1.7 mi <br /> Lower Bay Beach - 3.3 km / 2.1 mi <br /> Friendship Bay Beach - 4 km / 2.5 mi <br /> </p>,"<p><b>Property Location</b> <br />Located in Bequia Island, The Old Fort is in a rural location, within a 10-minute drive of Princess Margaret Beach and Port of Port Elizabeth.  This family-friendly hotel is 2.1 mi (3.3 km) from Lower Bay Beach and 2.5 mi (4 km) from Friendship Bay Beach.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 6 guestrooms featuring minibars. Complimentary wireless Internet access is available to keep you connected. Bathrooms have rainfall showerheads and complimentary toiletries. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Treat yourself with massages and facials. Additional amenities at this hotel include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge). The shuttle (surcharge) will take you to the nearby beach or shopping center.</p><p><b>Dining</b> <br />Enjoy a meal at the restaurant, or stay in and take advantage of the hotel's room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary continental breakfast is included.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include multilingual staff, luggage storage, and laundry facilities. A ferry terminal shuttle is provided at no charge (available 24 hours), and free self parking is available onsite.</p>",,Accessible bathroom Airport transportation (surcharge) Area shuttle (surcharge) Babysitting or childcare (surcharge) Bar/lounge Beach shuttle (surcharge) Children's pool Coffee/tea in common areas Concierge services Fireplace in lobby Free WiFi Free breakfast Free ferry terminal shuttle Free long-term parking Free self parking Garden In-room accessibility Laundry facilities Luggage storage Multilingual staff Number of buildings/towers - 3 Outdoor pool Picnic area Poolside bar Restaurant Shopping center shuttle (surcharge) Terrace Total number of rooms - 6 Tours/ticket assistance Wedding services,13.00003|-61.22769,,,
VC,St Vincent & Grenadi,144193,Bequia,1461806,Frangipani Hotel,All,PO Box One Bequia VC0400 ,,"Frangipani Hotel has a restaurant, bar, a shared lounge and garden in Bequia. Boasting family rooms, this property also provides guests with a terrace. The accommodation features evening entertainment and room service.

At the hotel, rooms have a wardrobe.

Guests at Frangipani Hotel can enjoy a continental breakfast.",,Evening entertainment Library On-site parking Free parking Free WiFi Parking Private parking Air conditioning Restaurant Ironing service Diving Tennis Court Live music/performance Luggage storage Live sport events (broadcast) Sun terrace Special diet menus (on request) Family rooms Currency exchange breakfast in the room Kid meals Safety Deposit Box Laundry Daily housekeeping concierge service Room service Fax/photocopying Terrace wifi available in all areas Non-smoking rooms Happy hour Packed lunches Fire extinguishers Garden wifi shared lounge/TV area Snorkelling Bar internet services babysitting/child services,13.00805|-61.23719,,VC0400,https://www.booking.com/hotel/vc/frangipani.html
