countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SZ,Swaziland,121363,Hlane National Park,1188592,Ndlovu Camp,TwoStar,Simunye District Hlane National Park  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hlane Royal National Park - 0.3 km / 0.2 mi <br /> Samora Machel Monument and Museum - 48.5 km / 30.1 mi <br /> </p><p>The nearest major airport is Manzini (SHO-King Mswati III Intl.) - 37.1 km / 23 mi</p>,"<p>HeadLine : Near Hlane Royal National Park</p><p>Location : When you stay at Hlane Royal National Park - Caravan Park in Hlane National Park, you ll be in a national park and 4 minutes by foot from Hlane Royal National Park.  This campground is 30.1 mi (48.5 km) from Samora Machel Monument and Museum.</p><p>Rooms : Make yourself at home in one of the 25 guestrooms. Bathrooms with showers are provided.</p><p>Dining : Enjoy a satisfying meal at Ndlovu serving guests of Hlane Royal National Park - Caravan Park. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 6 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. The host will greet guests on arrival.</p>",268-52-83924,Barbecue grill(s) Picnic area Terrace Bar/lounge Coffee/tea in common areas Wheelchair accessible  no Breakfast available (surcharge) Restaurant Tours/ticket assistance Free self parking Smoke-free property Garden,-26.259509|31.877493,268-52-83943,,
SZ,Swaziland,121363,Hlane National Park,1703267,Bhubesi Camp,ThreeStar,Northwest Corner Of Park Hlane Royal National ParkMbabane ,,HotelDescription#The property consists of 1 rooms. This popular hotel is ideal for both business travellers and holidaymakers. A key collection service is available. The on-site car park may be useful to those arriving by car.,,Total number of rooms : 1 NO Connecting rooms Hotel Room size (sqm) : 24 Number of bedrooms : 2 Living room : 1 NO Disability-friendly bathroom NO Wheelchair-accessible NO Smoking rooms Cot on demand NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) YES Car park NO Garage,-26.18342|31.863539,,,https://biggameparks.org/properties/hlane-royal-na
SZ,Swaziland,121363,Hlane National Park,1755245,Simunye Country Club and Lodge,All,5th Avenue Lusoti VillageMhlumeni L301 ,,"Offering an outdoor pool and restaurant, Simunye Country Club and Lodge is set in Lusoti Village. The estate offers different accommodation options and offers a variety of activities.

All rooms are fitted with a flat-screen TV with satellite channels. Some rooms have a seating area where you can relax. Enjoy a cup of tea while looking out at the pool or garden. Every room is fitted with a private bathroom.

You can play tennis and squash at this property and there is a 9 hole golf course. There is a fitness centre, a childrens playground and barbecue facilities.

Hlane Game Reserve is a short drive away and the Namaacha Border Post is a 30 minute drive away.",,Business centre On-site parking Golf course (within 3 km) Bridal suite Newspapers Live sport events (broadcast) Private parking Luggage storage Pool with view Fire extinguishers outdoor pool (all year) Currency exchange Shoeshine Laundry dry cleaning Garden kids' outdoor play equipment Fitness centre Hiking Free parking Kid meals shops (on site) Special diet menus (on request) Air conditioning Tennis Court Ironing service Facilities for disabled guests books  dvds  music for children Cycling Free WiFi meeting/banquet facilities Fax/photocopying Evening entertainment Entertainment staff board games/puzzles Swimming pool Parking Heating Fishing CCTV in common areas Restaurant Snack Bar VIP room facilities Outdoor pool Non-smoking rooms Shallow end Room service Daily housekeeping airport shuttle (additional charge) Trouser press Kid-friendly buffet internet services children's playground wifi wifi available in all areas Private check-in/check-out pool/beach towels Bar Baby safety gates 24-hour security Library breakfast in the room Squash Terrace designated smoking area shared lounge/TV area Airport shuttle Safety Deposit Box Packed lunches BBQ facilities Family rooms babysitting/child services CCTV outside property,-26.21376|31.91936,+26823134758,L301,https://www.booking.com/hotel/sz/simunye-country-club-and-lodge.html
SZ,Swaziland,121363,Hlane National Park,5557592,Hlane Royal National Park,All,Mr3 Near Simunye  ,,"Located 7 km away from Simunye, Hlane Royal National Park offers accommodation at different two camps on a 22,000 hectare game reserve

The main camp, Ndlovu Camp, hosts the reception services, the restaurant and accommodation in double or twin rooms, as well as three and four-bedroom chalets.


Bhubesi Camp is set a30-minute drive from Ndlovu Camp and offers accommodation in two-bedroom units.

Located at Ndlovu Camps, guests can enjoy a meal at the on-site restaurant which overlooks a waterhole frequented by elephants and white rhinos, or a drink at the bar.

A number of activities can be enjoyed at this property including guided mountain biking, open jeep game drives and birding walks. Environment Fee: If you are not members of the South African Wild Card loyalty program an environment fee is payable on entry to the Park. This changes year to year on 1st December.",,Parking Restaurant Bar Garden Terrace Non-smoking rooms Family rooms Free parking Hiking BBQ facilities Cycling Tour desk Sun terrace Daily housekeeping parking on site Private parking Accessible parking Outdoor furniture Outdoor fireplace game drives Walking tours Bike tours Tour or class about local culture bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,-26.27243|31.87905,,M204,https://www.booking.com/hotel/sz/hlane-royal-national-park.html
SZ,Swaziland,121363,Hlane National Park,6098429,Buckswood Hilltops,ThreeStar,"Buckswood Hilltops,Hill Top Farm Mzilikazi  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hlane Royal National Park - 17.8 km / 11.1 mi <br /> Van Eck Dam - 46.7 km / 29 mi <br /> </p><p>The preferred airport for Buckswood Hilltops is Manzini (SHO-King Mswati III Intl.) - 29.2 km / 18.1 mi </p>,"<p>HeadLine : In a rural location</p><p>Location : With a stay at Buckswood Hilltops in Siteki, you ll be 11.1 mi (17.8 km) from Hlane Royal National Park and 29 mi (46.7 km) from Van Eck Dam.</p><p>Rooms : Stay in one of 17 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary English breakfast is served daily from 6:00 AM to noon.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Wheelchair accessible (may have limitations) Outdoor furniture Outdoor entertainment area In-room accessibility (in select rooms) Wheelchair accessible parking Wedding services Tours/ticket assistance Fireplace in lobby Free English Breakfast Off-street parking Conference space size (meters) - 250 Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden Picnic area Luggage storage Free breakfast Firepit Porter/bellhop Business center 24-hour front desk Conference center Library Daily Barbecue grill(s) Housekeeping on request Safe-deposit box at front desk Coffee/tea in common areas Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Free self parking Conference space Terrace Conference space size (feet) - 2691 Concierge services,-26.43922|31.91281,268-7- 7675 1776,,
SZ,Swaziland,149949,Kaphunga,1485042,Swazi Village Homestay,OneStar,Kaphunga Village In Swaziland Manzini M200 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Siphofaneni Lake - 31.1 km / 19.3 mi <br /> Mkhaya Game Reserve - 44.7 km / 27.8 mi <br /> Manzini Market - 48.8 km / 30.3 mi <br /> </p><p>The preferred airport for Swazi Village Home Stay is Manzini (MTS-Matsapha Intl.) - 54.5 km / 33.9 mi </p>,"<p>HeadLine : In the mountains</p><p>Location : With a stay at Swazi Village Home Stay in Kaphunga, you ll be 19.3 mi (31.1 km) from Siphofaneni Lake and 27.8 mi (44.7 km) from Mkhaya Game Reserve.  This lodge is 30.3 mi (48.8 km) from Manzini Market.</p><p>Rooms : Make yourself at home in one of the 2 guestrooms, featuring kitchens. Conveniences include complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The lodge also offers 24-hour room service. A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : </p>",268-25-059754,Game viewing nearby Free parking nearby Game drive nearby Express check-in Designated smoking areas Assistive listening devices available Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) RV  bus  truck parking Area shuttle (surcharge) Free airport transportation Rock climbing nearby Luggage storage Free breakfast Barbecue grill(s) Long-term parking Coffee/tea in common areas Number of coffee shops/cafes - 1 Free self parking Offsite parking reservations required Safari nearby Wheelchair accessible path of travel,-26.791705|31.537574,+26876426780,M200,https://www.swazivillage.com/
SZ,Swaziland,149948,Kwaluseni,1476829,Valley View Lodge,ThreeStar,922 Ngwavuma Street Fairview North Fairview NorthKwaluseni ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Manzini Market - 3.2 km / 2 mi <br /> Lugogo Sun - 10.8 km / 6.7 mi <br /> Summerfield Botanical Garden - 16.6 km / 10.3 mi <br /> Ezulwini Valley - 19.6 km / 12.2 mi <br /> Mlilwane Wildlife Sanctuary - 20.4 km / 12.7 mi <br /> Swazi Candles Craft Centre - 21.4 km / 13.3 mi <br /> Somholo National Stadium - 22.8 km / 14.2 mi <br /> National Museum - 25.4 km / 15.8 mi <br /> Mantenga Nature Reserve - 27.2 km / 16.9 mi <br /> Ezulwini Craft Market - 28.3 km / 17.6 mi <br /> Mbabane Market - 35.4 km / 22 mi <br /> Happy Valley Casino - 36.1 km / 22.4 mi <br /> Mbabane City Hall - 36.4 km / 22.6 mi <br /> Swaziland Theater Club - 37.1 km / 23 mi <br /> Traditional Swazi Craft Markets - 41 km / 25.5 mi <br /> </p><p>The nearest airports are:<br />Manzini (MTS-Matsapha Intl.) - 10 km / 6.2 mi<br /> Manzini (SHO-King Mswati III Intl.) - 51.2 km / 31.8 mi<br /> </p><p>The preferred airport for Valley View Lodge is Manzini (MTS-Matsapha Intl.). </p>,"<p>HeadLine : Near Manzini Market</p><p>Location : Located in Kwaluseni, Valley View Lodge is a 4-minute drive from Manzini Market and 9 minutes from Lugogo Sun.  This bed & breakfast is 10.3 mi (16.6 km) from Summerfield Botanical Garden and 12.2 mi (19.6 km) from Ezulwini Valley.</p><p>Rooms : Make yourself at home in one of the 7 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have complimentary toiletries and bathrobes. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at the bed & breakfast s restaurant, which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). English breakfasts are available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7 AM - 11 PM. Front desk staff will greet guests on arrival.</p>",268-25054892,Banquet hall Wheelchair accessible (may have limitations) Newspapers in lobby (surcharge) Parking (limited spaces) Free parking nearby Babysitting or childcare (surcharge) Express check-in Meeting rooms Conference space size (meters) - 50 Pool waterfall Television in common areas Limo or Town Car service available Free WiFi Number of bars/lounges - 1 No elevator (single level property) Casino shuttle (surcharge) Braille or raised signage Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Roll-in shower (in select rooms) Shopping center shuttle (surcharge) Area shuttle (surcharge) Rooftop terrace Airport transportation (surcharge) Porter/bellhop Multilingual staff Business center Front desk (limited hours) Breakfast available (surcharge) Barbecue grill(s) Smoke-free property Coffee/tea in common areas Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Free self parking Conference space Offsite parking reservations required Valet parking (surcharge) Conference space size (feet) - 538,-26.482962|31.362836,+26825054892,M200,http://www.valleyviewlodgesd.com/
SZ,Swaziland,149948,Kwaluseni,5989606,Fairview Guesthouse,ThreeStar,Please Prosp.Road Fairview South  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Manzini Market - 3.4 km / 2.1 mi <br /> Swazi Candles Craft Centre - 20.4 km / 12.7 mi <br /> Somholo National Stadium - 21.6 km / 13.4 mi <br /> Ezulwini Valley - 21.7 km / 13.5 mi <br /> Mlilwane Wildlife Sanctuary - 23.2 km / 14.4 mi <br /> Ezulwini Craft Market - 30 km / 18.6 mi <br /> Mbabane City Hall - 35.4 km / 22 mi <br /> Happy Valley Casino - 35.7 km / 22.2 mi <br /> Swaziland Theater Club - 36.1 km / 22.4 mi <br /> Waterford Kamhlaba United World College - 42.4 km / 26.4 mi <br /> Mkhaya Game Reserve - 47.3 km / 29.4 mi <br /> </p><p>The nearest airports are:<br />Manzini (SHO-King Mswati III Intl.) - 51.1 km / 31.8 mi<br /> Manzini (MTS-Matsapha Intl.) - 9.3 km / 5.8 mi<br /> </p><p></p>,"<p>HeadLine : Near Manzini Market</p><p>Location : When you stay at Fairview Guest House in Kwaluseni, you ll be 6 minutes by car from Manzini Market.  This guesthouse is 12.7 mi (20.4 km) from Swazi Candles Craft Centre and 13.4 mi (21.6 km) from Somholo National Stadium.</p><p>Rooms : Make yourself at home in one of the 6 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Fairview Guest House. English breakfasts are available daily from 7:00 AM to 9:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : There is no front desk at this property.</p>",,Coffee/tea in common areas Free self parking Free WiFi Breakfast available (surcharge) Smoke-free property Snack bar/deli,-26.4877|31.3633,268-76025295,M200,
SZ,Swaziland,105588,Lobamba,1089213,Happy Valley Ezulwini,FourStar,Old Manzini Highway Opposite Gables Shopping Complex MbabaneLobambaHhohho ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ezulwini Valley - 0.1 km / 0.1 mi <br /> Mlilwane Wildlife Sanctuary - 1 km / 0.6 mi <br /> National Museum - 1.5 km / 1 mi <br /> Somholo National Stadium - 2.3 km / 1.4 mi <br /> Ezulwini Craft Market - 3.7 km / 2.3 mi <br /> Mantenga Nature Reserve - 3.8 km / 2.4 mi <br /> Swazi Candles Craft Centre - 14 km / 8.7 mi <br /> Mbabane Market - 14.5 km / 9 mi <br /> Summerfield Botanical Garden - 14.7 km / 9.1 mi <br /> Happy Valley Casino - 15.2 km / 9.4 mi <br /> Mbabane City Hall - 15.5 km / 9.7 mi <br /> Swaziland Theater Club - 16.2 km / 10.1 mi <br /> Lugogo Sun - 16.8 km / 10.4 mi <br /> Traditional Swazi Craft Markets - 20.1 km / 12.5 mi <br /> The Lobamba Trail - 20.1 km / 12.5 mi <br /> </p><p>The preferred airport for Happy Valley Hotel Ezulwini is Manzini (MTS-Matsapha Intl.) - 21.6 km / 13.4 mi </p>,"<p>HeadLine : Near National Museum</p><p>Location : With a stay at Happy Valley Hotel Ezulwini in Lobamba, you ll be on a river, just a 1-minute walk from Ezulwini Valley and 12 minutes by foot from Mlilwane Wildlife Sanctuary.  This 4-star hotel is 1 mi (1.5 km) from National Museum and 1.4 mi (2.3 km) from Somholo National Stadium.</p><p>Rooms : Make yourself at home in one of the 65 air-conditioned guestrooms. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have bathtubs or showers and complimentary toiletries.</p><p>Dining : Enjoy Portuguese cuisine at Bella Vista, one of the hotel s 3 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",268-241-61050,secured parking Uncovered parking Wheelchair accessible (may have limitations) Babysitting or childcare (surcharge) Number of slot machines - 100 Wheelchair-accessible van parking Number of meeting rooms - 5 Number of VIP gaming rooms - 1 Number of gaming tables - 15 Bingo Wheelchair-accessible registration desk 24-hour pool access Free WiFi Casino floor size square feet - 0 Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Well-lit path to entrance Upper floors accessible by stairs only In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Casino floor size square meters - 0 Airport transportation (surcharge) Luggage storage Wheelchair-accessible on-site restaurant 24-hour front desk Wheelchairs available on site Wheelchair-accessible meeting spaces/business center Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Children's pool Casino Free self parking Conference space Terrace,-26.440434|31.188796,268-241-61199,H105,http://www.happyvalleyhotel.com/index.php
SZ,Swaziland,105588,Lobamba,1161300,Mlilwane Wildlife Sanctuary,TwoStar,Mlilwane Wildlife Sanctuary Ezulwini Lobamba Area Ezulwini Lobamba area Ezulwini ValleySwaziland ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mlilwane Wildlife Sanctuary - 0.1 km / 0.1 mi <br /> Ezulwini Valley - 1.6 km / 1 mi <br /> Somholo National Stadium - 6.2 km / 3.9 mi <br /> Swazi Candles Craft Centre - 7.5 km / 4.7 mi <br /> Ezulwini Craft Market - 10.7 km / 6.6 mi <br /> Manzini Market - 22 km / 13.7 mi <br /> Happy Valley Casino - 23.4 km / 14.6 mi <br /> Mbabane City Hall - 23.8 km / 14.8 mi <br /> Swaziland Theater Club - 24.4 km / 15.2 mi <br /> Waterford Kamhlaba United World College - 30.8 km / 19.2 mi <br /> </p><p>The nearest major airport is Manzini (MTS-Matsapha Intl.) - 20.7 km / 12.9 mi</p>,"<p>HeadLine : Near Mlilwane Wildlife Sanctuary</p><p>Location : With a stay at Mlilwane Wildlife Sanctuary in Lobamba, you ll be steps from Mlilwane Wildlife Sanctuary and a 4-minute drive from Ezulwini Valley.  This campground is 3.9 mi (6.2 km) from Somholo National Stadium and 4.7 mi (7.5 km) from Swazi Candles Craft Centre.</p><p>Rooms : Make yourself at home in one of the 54 guestrooms. Bathrooms with showers are provided. Conveniences include phones, as well as safes and coffee/tea makers.</p><p>Dining : At Mlilwane Wildlife Sanctuary, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 6 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Minimum Spring Break check-in age is 18 years old</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and window guards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:00 AM - 7:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",268-25-283924,Barbecue grill(s) Picnic area Coffee/tea in common areas Number of outdoor pools - 1 Breakfast available (surcharge) Number of bars/lounges - 1 Designated smoking areas Wheelchair accessible (may have limitations) Front desk (limited hours) Laundry facilities Free self parking WiFi (surcharge) In-room accessibility Garden,-26.479869|31.195992,+268 25 283943,M204,
