countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SE,Sweden,104694,Abbekas,1419957,Abbekås Golfrestaurang & Hotell,All,Kroppsmarksvägen Örmölla 32427456 Abbekås ,,"Situated 200 metres from a beach, this property offers free access to WiFi and sauna access. Abbekås Golf Club is right next door, while Ystad city centre is 16 km away.

All rooms at Abbekås Hotell have a seating area, a TV with Swedish channels and either shared or private bathrooms. An apartment option features a full kitchen.

Breakfast, lunch and dinner are served at the in-house, seasonal restaurant. Guests can enjoy a glass of wine in the bar after a day at the beach.

Malmö Airport is 28 km from Abbekås Golfrestaurang & Hotell. The scenic Road 9 passes right by the B&B. Abbekås Marina is 2 km away. Please inform Abbekås Golfrestaurang & Hotell in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Picnic area temporary art galleries Live sport events (broadcast) Key access Smoke alarms Fire extinguishers Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Wine/champagne Fruits Pet bowls Outdoor furniture Parking Pets allowed meeting/banquet facilities Bar Sauna Golf course (within 3 km) Terrace Non-smoking rooms Fishing Laundry Facilities for disabled guests Family rooms Games room Free parking internet services express check-in/check-out Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout designated smoking area Sun terrace concierge service Private check-in/check-out Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site Public Bath board games/puzzles Kid meals secured parking Street parking electric vehicle charging station,55.40787|13.60538,+46411533233,27456,https://www.booking.com/hotel/se/abbekas-mat-och-logi.html
SE,Sweden,104694,Abbekas,1478871,Abbekås Hotell & Hamnkrog,FourStar,Skepparevägen 1 274 56 Abbekås ,,"Property Location Located in Abbekas, Abbekas Hotell & Hamnkrog is minutes from Abbekas Harbor and close to Abbekas Golf Club. This bed & breakfast is within the region of Mossbystrand Beach and Johanna Museum.Rooms Make yourself at home in one of the 8 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and bathrobes. Conveniences include sofa beds and washers/dryers, and you can also request irons/ironing boards.Rec, Spa, Premium Amenities Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.Dining Grab a bite to eat at the bed & breakfast''s restaurant, which features a bar and a garden view. You can also stay in and take advantage of room service during limited hours. Quench your thirst with your favorite drink at a bar/lounge. A complimentary buffet breakfast is served daily.Business, Other Amenities Featured amenities include a business center, a computer station, and coffee/tea in the lobby. This bed & breakfast has 1 meeting rooms available for events. Free self parking is available onsite.",,Computer station Restaurant Free self parking Coffee/tea in lobby Visa Blackout drapes/curtains,55.3945858|13.6023244,+46411533313,274 56,http://www.abbekashamnkrog.se/
SE,Sweden,104694,Abbekas,1639212,Hotell Vagabond,TwoStar,Örmölla 321 274 56 Abbekas ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mossbystrand Beach - 1.7 km / 1 mi <br /> Johanna Museum - 13.3 km / 8.3 mi <br /> Svaneholm Castle - 16.2 km / 10.1 mi <br /> Ystad Theatre - 16.5 km / 10.3 mi <br /> St Maria Kyrka - 16.6 km / 10.3 mi <br /> Klostret i Ystad - 16.8 km / 10.4 mi <br /> Smygehuk - 17.8 km / 11.1 mi <br /> Ystad Harbor - 21.1 km / 13.1 mi <br /> Tegelberga Golf and Country Club - 26.2 km / 16.3 mi <br /> Fyledalen Nature Reserve - 31 km / 19.2 mi <br /> Stadsparken - 31.9 km / 19.8 mi <br /> Trelleborgs Museum - 32.3 km / 20 mi <br /> Vangavallen - 32.4 km / 20.1 mi <br /> Trelle Fortress - 33.2 km / 20.6 mi <br /> Hasse & Tage Museum - 33.3 km / 20.7 mi <br /> </p><p>The nearest major airport is Malmo (MMX-Sturup) - 29.5 km / 18.3 mi</p>,"<p>HeadLine : Near Mossbystrand Beach</p><p>Location : Located in Abbekas, Hotell Vagabond is by the sea, within a 15-minute drive of Mossbystrand Beach and Johanna Museum.  This hotel is 30.8 mi (49.6 km) from Emporia and 31.6 mi (50.8 km) from Malmo Arena.</p><p>Rooms : Make yourself at home in one of the 7 individually decorated guestrooms. Bathrooms have showers and complimentary toiletries. Conveniences include safes, and housekeeping is provided once per stay.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Hotell Vagabond, or stop in at the snack bar/deli. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 9 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. If you are planning to arrive after 9 PM please contact the property in advance using the information on the booking confirmation.</p>",,Conference space size (meters) - 170 Terrace Bar/lounge Luggage storage Conference space size (feet) - 1830 Snack bar/deli Conference space Free breakfast Restaurant Wheelchair accessible path of travel Accessible bathroom One meeting room Free self parking Free WiFi In-room accessibility Smoke-free property Bicycle rentals on site Garden Hiking/biking trails nearby,55.40405|13.58214,46-707-401761,27456,http://www.hotellvagabond.se
SE,Sweden,104694,Abbekas,1926714,Strandhuset B&B I Abbekas,All,Fiskarevagen 32 274 56 Abbekas ,,"Situated in Abbekås and with Mossbystrand Beach reachable within 500 metres, Pensionat Strandhuset i Abbekås features express check-in and check-out, allergy-free rooms, a garden, free WiFi and a terrace. The property is set 33 km from Tomelilla Golfklubb, 16 km from Ystad Zoo and 42 km from Hagestads Nature reserve. Rooms are equipped with a patio with garden views.

At the guest house, each room has a desk. Rooms include a kettle, while certain rooms have a kitchen with a dishwasher, an oven and a stovetop. The rooms at Pensionat Strandhuset i Abbekås are fitted with a seating area.

PGA of Sweden National is 48 km from the accommodation, while Glimmingehus is 49 km from the property. The nearest airport is Malmo Airport, 31 km from Pensionat Strandhuset i Abbekås. This property will not accommodate hen, stag or similar parties.
Managed by a private host",,internet services express check-in/check-out Heating wifi Allergy-free room Free WiFi Non-smoking throughout Private check-in/check-out Shared kitchen Beachfront Outdoor furniture Beach Key access Smoke alarms CCTV outside property Fire extinguishers staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas invoice provided Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing,55.39272|13.59936,,274 56,https://www.booking.com/hotel/se/strandhuset-b-amp-b-i-abbekas-abbekas.html
SE,Sweden,100441,Abisko,1179968,Abisko Turiststation Stf,All,98107 Abisko Nationalpark ,,"This property is in Abisko National Park, 700 metres from Lake Torneträsk. Hotel rooms, budget rooms as well as self-catering cottages are all offered here. On-site services include Lapland cuisine and free sauna access. Abisko Railway Station is 5 minutes walk away.

The spacious cottages at STF Abisko Turiststation feature 2 bedrooms and a combined living room and kitchen. Guest rooms have either a private bathroom or shared facilities.

Abisko STFs restaurant offers panoramic views of Lake Torneträsk and the surrounding mountains. The breakfast buffet includes organic options.

 The Kungsleden hiking route runs past Abisko Turiststation. Outddor equipment (not bicycles) are available for rent on site. Pre booking on abisko.butik@stfturist.se is needed. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Bar is closed from Mon 24 Apr 2023 until Wed 14 Jun 2023
Please note that bedlinen, towels and departure cleaning not are included in the prices for Cottages and Quadruple rooms. The usage of bedlinen is mandatory. Linen is either rented on site or you can bring your own.

Kindly observe that equipment rental must be pre booked on abisko.butik@stfturist.se.

Please note that during our mid seasons from approx. mid April to mid June and mid September to mid November the property offers limited services.

There is no restaurant, shop on site or chairlift in service as well as no guided hikes.

Please contact the property directly for more information about exact mid season dates and check-in routines.

When reserving 11 or more units different policies and additional supplements may apply.",+46(0)98040140,Non-smoking rooms Parking Facilities for disabled guests Skiing Family rooms Free parking internet services lift Hiking Restaurant Packed lunches Tour desk Heating Fax/photocopying Luggage storage wifi Ski storage Ski school Allergy-free room Free WiFi Non-smoking throughout designated smoking area Pets allowed Snack Bar Sun terrace Private check-in/check-out shuttle service (additional charge) ski equipment hire on site Ski pass vendor Special diet menus (on request) Shared kitchen shared lounge/TV area minimarket on site Beachfront parking on site wifi available in all areas Kid meals Accessible parking Wheelchair accessible Toilet with grab rails Wine/champagne coffee house on site Outdoor furniture Outdoor fireplace fitness/spa locker rooms Beach meeting/banquet facilities Bar Shuttle service Walking tours Key access Sauna Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus Garden Terrace first aid kit available cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed,68.35869|18.78304,+4698040200,98107,https://www.booking.com/hotel/se/stf-abisko.html
SE,Sweden,100441,Abisko,1361750,Abisko Mountain Lodge,ThreeStar,Lapportsvägen 30 Box 8698107 AbiskoKiruna ,,"This hotel is in Abisko, just 2 minutes walk from Abisko Östra Train Station. Abisko Mountain Lodges in-house restaurant Brasserie Fjällköket has a seasonal menu based on locally sourced ingredients. 2 km away from us you can find  Abisko national park  and the Aurora Sky Station. From Abisko Mountain Lodge you have several different trails you can do day hikes

Rooms at Abisko Mountain Lodge include free WiFi and a private bathroom with shower. Cottages feature a kitchenette and private toilet. The shared shower facilities are located in the sauna and relaxation area, 30 metres from the cottages.

In the lounge bar you can sit and relax in front of the fireplace.

Staff can help book ice climbing, dog sledding and guided hiking in Abisko National Park. More adventurous area activities include heli-skiing, snowshoe trekking and Northern Lights safaris. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Please note that payment takes place at check-in.

When booking more than 4 rooms, different policies and additional supplements may apply.",+4698040210,Walking tours Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Parking Restaurant Pets allowed Bar Sauna Non-smoking rooms Skiing Free parking internet services Hiking Packed lunches Tour desk Heating wifi Ski storage Free WiFi Non-smoking throughout Special diet menus (on request) parking on site wifi available in all areas Wine/champagne Outdoor furniture,68.34647|18.83749,+4698040100+4698040110,981 07,https://www.booking.com/hotel/se/abisko-mountain-lodge.html
SE,Sweden,100441,Abisko,1459680,Abisko Guesthouse & Activities,All,Kalle Jons väg 5 981 07 Abisko ,,"This guest house is in the centre of Abisko and next to Abisko National Park. Depending on the season, the midnight sun and the Northern Lights can be viewed from the property and surrounding area. Abisko Östra Train Station is within 150 metres and Kiruna is 90 km away.

Abisko Guesthouse offers self-catering guest rooms and apartments. Each guest room has a wardrobe and access to a shared kitchen and communal sauna. Guests staying in the rooms have access to shared bathroom facilities. The apartments have a private full kitchen and private bathroom facilities.

On site features include free WiFi and BBQ facilities. Views of the mountains and Lake Torneträsk can be enjoyed.

The property can arrange an array activities, such as dog sledding, ice fishing, ice climbing and moose spotting by car. Northern Light excursions are offered in a variety of forms, such as by snowmobile, snowshoes or a visit to Aurora Sky Station. Guests can also learn how photograph the Northern Lights in a workshop arranged by the property. If you are booking 3 or more rooms and would like to stay in the same apartment unit, please contact Abisko Guesthouse after booking.

If you wish to book any activities for your stay, please contact the property directly.",,Street parking Accessible parking Shuttle service Walking tours Tour or class about local culture use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay Parking Pets allowed Sauna Terrace Hiking BBQ facilities Tour desk Heating Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning shuttle service (additional charge) airport shuttle (additional charge) Shared kitchen shared lounge/TV area minimarket on site parking on site wifi available in all areas Non-smoking rooms Airport shuttle Fishing Facilities for disabled guests Skiing Family rooms Free parking internet services express check-in/check-out,68.3497|18.8338,+46706521264,981 07,https://www.booking.com/hotel/se/abisko-guesthouse.html
SE,Sweden,100441,Abisko,5333241,Sopperogården,TwoStar,Sopperogården Övre Soppero 121  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lannavaara Memorial Church - 15.1 km / 9.4 mi <br /> </p>,"<p>HeadLine : In Övre Soppero</p><p>Location : When you stay at Sopperogården in Övre Soppero, you ll be 9.4 mi (15.1 km) from Lannavaara Memorial Church.  This hostel is within the region of Jukkasjarvi Kyrka.</p><p>Rooms : Make yourself at home in one of the 27 guestrooms featuring microwaves. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Long-term renters welcome</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : The front desk is open daily from 4:00 PM - 10:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Uncovered parking Wheelchair accessible  no Front desk (limited hours) Television in common areas Well-lit path to entrance Upper floors accessible by stairs only Garden Picnic area Smoke-free property Sauna Free self parking Conference space,68.09072|21.70078,46-0-98130153,98015,
SE,Sweden,100441,Abisko,5359743,Abisko Fjälltur,TwoStar,Lapportsvägen 34 B  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abisko National Park - 1.8 km / 1.1 mi <br /> Aurora Sky Station - 2.9 km / 1.8 mi <br /> Bjorkliden Fjallby Ski Resort - 10.8 km / 6.7 mi <br /> Björkliden Trouble Park - 11.1 km / 6.9 mi <br /> Riksgransen Ski Area - 39.1 km / 24.3 mi <br /> </p>,"<p>HeadLine : Near Aurora Sky Station</p><p>Location : When you stay at Abisko Fjälltur in Abisko, you ll be in the mountains, within a 5-minute drive of Abisko National Park and Aurora Sky Station.  This hostel is 6.7 mi (10.8 km) from Bjorkliden Fjallby Ski Resort and 6.9 mi (11.1 km) from Björkliden Trouble Park.</p><p>Rooms : Make yourself at home in one of the 15 guestrooms. Prepare your meals in the shared/communal kitchen. Bathrooms with showers are provided.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed This property accepts credit cards</p><p>Special Instructions : The front desk is open daily from 8:00 AM - 7:00 PM. If you are planning to arrive after 7:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",,Barbecue grill(s) Terrace Luggage storage Coffee/tea in common areas Shared microwave Shared refrigerator Front desk (limited hours) Laundry facilities Tours/ticket assistance Free self parking Free WiFi Sauna Airport transportation (surcharge) Smoke-free property Garden,68.347032|18.833587,,98107,
SE,Sweden,100441,Abisko,5758974,Lovely House In Abisko,All,Kalle Jons Vag 13  ,,"Boasting a terrace, Lovely house in Abisko features accommodation in Abisko with free WiFi and garden views. This country house features a garden and free private parking.

The country house with a patio and lake views has 3 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and a microwave, and 2 bathrooms with a shower.

At the country house guests are welcome to take advantage of a sauna. A ski equipment rental service, a ski pass sales point and ski storage space are all available at Lovely house in Abisko, and guests can go skiing in the surroundings.

The nearest airport is Kiruna Airport, 86 km from the accommodation. Managed by a private host",,Parking Pets allowed Sauna Garden Terrace Non-smoking rooms Fishing Skiing Family rooms Free parking internet services Hiking Heating wifi Ski storage Ski school Free WiFi Non-smoking throughout Sun terrace ski equipment hire on site Ski pass vendor parking on site Private parking wifi available in all areas books  dvds  music for children Children television networks Walking tours Tour or class about local culture contactless check-in/check-out cashless payment available,68.34825|18.83664,,981 07,https://www.booking.com/hotel/se/lovely-house-in-abisko.html
