countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
TO,Tonga,110077,Atata,1171740,Royal Sunset Island Resort,TwoStar,Atata Island AtataTongatapu ,Distances are calculated in a straight line from the property s location to the point of interest or attraction  and may not reflect actual travel distance. <br /><br /> Distances are displayed to the nearest 0.1 mile and kilometer. <p>Ha atafu Beach - 8.2 km / 5.1 mi <br />Royal Palace of Tonga - 10.2 km / 6.4 mi <br />Royal Tombs - 10.5 km / 6.5 mi <br />Flea Market - 11.8 km / 7.4 mi <br />Interisland Ferry Terminal - 12.1 km / 7.5 mi <br />Ancient Tonga - 13.6 km / 8.4 mi <br />Mapu a  a Vaca Blowholes - 14.1 km / 8.8 mi <br />Halafuoleva Beach - 17 km / 10.6 mi <br />Captain Cook s Landing Place - 20.1 km / 12.5 mi <br />Ha amonga a Maui - 23.5 km / 14.6 mi <br />Eua National Park - 48.7 km / 30.2 mi <br /></p><p>The nearest airports are:<br />Nuku alofa (TBU-Fua amotu Intl.) - 24 km / 14.9 mi<br />Eua (EUA) - 47.4 km / 29.5 mi<br /></p><p>The preferred airport for Royal Sunset Island Resort is Nuku alofa (TBU-Fua amotu Intl.). </p>,"<p>HeadLine : By the ocean</p><p>Location : When you stay at Royal Sunset Island Resort in Atata Island, you ll be on the waterfront and within the vicinity of Ha atafu Beach.  This beach motel is within the region of Royal Palace of Tonga and Royal Tombs.</p><p>Rooms : Make yourself at home in one of the 21 guestrooms featuring refrigerators. Rooms have private balconies. Bathrooms have showers and complimentary toiletries. Conveniences include coffee/tea makers and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the motel s restaurant, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",+67621254,Safe-deposit box at front desk Terrace Bar/lounge Ferry terminal shuttle (surcharge) Luggage storage Gift shops or newsstand Outdoor tennis court Front desk (limited hours) Billiards or pool table Porter/bellhop Tours/ticket assistance Restaurant One meeting room Dry cleaning/laundry service Free WiFi Babysitting or childcare (surcharge) Airport transportation (surcharge) Outdoor pool Garden,-21.056085|-175.25741,676-24923,0,http://www.royalsunset.biz
TO,Tonga,117748,Fafa Island,1156864,Fafa Island Resort,FourStar,Po Box 1444 Fafa Island Resort P.O. Box 1444 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ancient Tonga - 8.6 km / 5.3 mi <br /> Vaiola Hospital - 12.7 km / 7.9 mi <br /> </p>,"<p>HeadLine : By the ocean</p><p>Location : With a stay at Fafa Island Resort in Fafa Island, you ll be on the waterfront, and 5.3 mi (8.6 km) from Ancient Tonga and 7.9 mi (12.7 km) from Vaiola Hospital.  This 4-star resort is within the vicinity of Interisland Ferry Terminal and Royal Palace of Tonga.</p><p>Rooms : Make yourself at home in one of the 14 guestrooms featuring refrigerators. Your Select Comfort bed comes with premium bedding. Rooms have private furnished balconies. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite to eat at Open Air, a restaurant which features a bar/lounge, or stay in and take advantage of the room service (during limited hours).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>No onsite parking is available</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-676-23592,Accessible bathroom Airport transportation (surcharge) Smoke-free property Garden Safe-deposit box at front desk On private beach Library Terrace Luggage storage Wheelchair accessible  no Number of bars/lounges - 1 Concierge services Gift shops or newsstand 24-hour front desk Laundry facilities Spa treatment room(s) Porter/bellhop Tours/ticket assistance,-21.086234|-175.159793,1-676-22800,14444,http://www.fafaislandresort.com/
TO,Tonga,117656,Foa,1214792,Sandy Beach Resort,ThreeStar,Ha'apai Foa Island Kingdom of TongaSouth Pacific ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sandy Beach - 0.4 km / 0.3 mi <br /> </p><p>The preferred airport for Sandy Beach Resort is Ha apai (HPA) - 9.6 km / 6 mi </p>,"<p>HeadLine : Near Sandy Beach</p><p>Location : When you stay at Sandy Beach Resort in Faleloa, you ll be on the waterfront and 5 minutes by foot from Sandy Beach.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms featuring refrigerators. Your Select Comfort bed comes with premium bedding. Rooms have private furnished balconies or patios. Wireless Internet access (surcharge) is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Grab a bite to eat at the resort s beachfront restaurant, which features a bar/lounge and an ocean view. You can also stay in and take advantage of the room service (during limited hours). Full breakfasts are available daily from 7:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7 AM - 9 PM. Front desk staff will greet guests on arrival.</p>",676-69600,Number of meeting rooms - 1 Windsurfing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Hiking/biking trails on site Horse riding/rental on site Garden Picnic area In-room accessibility (in select rooms) Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Shopping center shuttle (surcharge) Sailing on site Fishing on site Free bicycles on site Airport transportation (surcharge) On private beach Luggage storage Multilingual staff Business center Front desk (limited hours) Breakfast available (surcharge) Library Barbecue grill(s) Safe-deposit box at front desk Smoke-free property Snack bar/deli Ecotours on site Free self parking Free beach cabanas Snorkeling on site Free valet parking Kayaking on site Motor boating on site Beach sun loungers Terrace ATM/banking Wheelchair accessible path of travel Concierge services,-19.722681|-174.283609,+67669600,4711,http://www.sandybeachresort.de
TO,Tonga,117656,Foa,1644327,Matafonua Lodge,TwoStar,Matafonua Lodge HaapaiFaleloaFoa Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sandy Beach - 0.1 km / 0.1 mi <br /> </p><p>The nearest major airport is Ha apai (HPA) - 10.1 km / 6.3 mi</p>,"<p>HeadLine : Near Sandy Beach</p><p>Location : When you stay at Matafonua Lodge in Faleloa, you ll be on the beach and steps from Sandy Beach.</p><p>Rooms : Make yourself at home in one of the 10 guestrooms. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/café, and room service (during limited hours) is provided. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 7:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a smoke detector</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 10 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",676-00676-69766,Garden Number of coffee shops/cafes - 1 Bicycle rentals on site Babysitting or childcare (surcharge) Airport transportation (surcharge) Free WiFi Free self parking Tours/ticket assistance Free breakfast Laundry facilities Front desk (limited hours) Designated smoking areas Concierge services Number of bars/lounges - 1 Luggage storage Terrace Picnic area Library Safe-deposit box at front desk,-19.719348|-174.280971,676-00676-69766,,http://www.matafonua.com
TO,Tonga,129758,Neiafu,1065877,Hilltop Hotel,TwoStar,Naufahu Road MoungamakaP. O. Box 7Neiafu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>St. Joseph s Cathedral - 0.8 km / 0.5 mi <br /> Vava u Harbor - 0.8 km / 0.5 mi <br /> Mt. Talau National Park - 2.6 km / 1.6 mi <br /> </p><p>The nearest major airport is Vava u (VAV) - 9.6 km / 6 mi</p>,"<p>HeadLine : Near St. Joseph s Cathedral</p><p>Location : Located in Neiafu, Hilltop Hotel is within a 15-minute walk of St. Joseph s Cathedral and Vava u Harbor.  This hotel is 1.8 mi (3 km) from Mt. Talau National Park.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms. Rooms have private furnished balconies. Bathrooms with showers are provided. Conveniences include portable fans, housekeeping is provided on a limited basis, and irons/ironing boards can be requested.</p><p>Dining : At Hilltop Hotel, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. Continental breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Breakfast is available by request only.</p>",676-70-209,Coffee/tea in common areas Free self parking Breakfast available (surcharge) Number of bars/lounges - 1 24-hour front desk,-18.65245|-173.979832,676-676-70209,,
TO,Tonga,129758,Neiafu,1182160,Puataukanave International Hotel,TwoStar,Fatafehi Rd PO Box 24NeiafuVava'u ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>St. Joseph s Cathedral - 0.2 km / 0.1 mi <br /> Vava u Harbor - 0.4 km / 0.2 mi <br /> Mt. Talau National Park - 2.4 km / 1.5 mi <br /> Ene io Botanical Garden - 12.6 km / 7.8 mi <br /> </p><p>The preferred airport for Puataukanave International Hotel is Vava u (VAV) - 9.7 km / 6 mi </p>,"<p>HeadLine : Near St. Joseph s Cathedral</p><p>Location : When you stay at Puataukanave International Hotel in Neiafu, you ll be by the ocean, just steps from St. Joseph s Cathedral and 4 minutes by foot from Vava u Harbor.  This hotel is 1.5 mi (2.4 km) from Mt. Talau National Park and 7.8 mi (12.6 km) from Ene io Botanical Garden.</p><p>Rooms : Make yourself at home in one of the 43 guestrooms featuring refrigerators. Wireless Internet access (surcharge) is available to keep you connected. Bathrooms with showers are provided. Conveniences include phones, as well as coffee/tea makers and irons/ironing boards.</p><p>Dining : Take advantage of the hotel s room service (during limited hours). Continental breakfasts are available daily from 7:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:30 AM - 11:30 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",676-877-0001,Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Meeting rooms Front desk (limited hours) Breakfast available (surcharge) Designated smoking areas Marina on site Garden Laundry facilities Free newspapers in lobby elevator Free self parking Terrace,-18.653691|-173.982165,676-877-0001,,http://www.puashotel.to
TO,Tonga,129758,Neiafu,1761903,Jia Heng Holiday Hotel,All,Vava`u Liang Ceng Neiafu ,,"Set in the heart of Neiafu, within 5 minutes walk from restaurants, cafes, shops and tour operators, Jia Heng Holiday Hotel features a sun terrace where you can sit and enjoy the sunset over the harbour. The property includes an on site convenience store.

All rooms feature a flat-screen TV with satellite channels, hypoallergenic bedding and a private bathroom with complimentary toiletries.

The hotel also offers a communal kitchen and lounge area. The staff are fluent in Chinese, Tongan and English and will be happy to answer any questions and can assist with bookings for all activities for your stay in Neiafu. Guests can book tours to swim with Humpback Whales from June to November. Please inform Jia Heng Holiday Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Free self parking 24-hour front desk Terrace Non-smoking rooms Airport shuttle Fishing Babysitting or childcare Laundry facilities Dry cleaning/laundry service Family rooms VIP room facilities Breakfast service Ironing service Internet access Express check-in Safe-deposit box at front desk Currency exchange Massage Soundproof rooms Bicycle rental (additional charge) Library Business services Hiking Packed lunches Car hire Cycling Tour desk Diving Horse riding Snorkelling Luggage storage Shopping on site Free WiFi Allergy-free room Free WiFi Non-smoking throughout Air conditioning Terrace Concierge services Private check-in/check-out Free area shuttle Special diet menus (on request) Free airport transportation Shared kitchen Television in common areas Mini-market on site Daily housekeeping Grocery/convenience store Parking onsite Children's books Children television networks Street parking,-18.64937|-173.98179,,,https://www.booking.com/hotel/to/jia-heng-hoteljia-heng-jia-ri-jiu-dian.html
TO,Tonga,129758,Neiafu,1819201,Flying Annie Moa,All,Tohiloto Road Area FungamisiNeiafu ,,"Set in Neiafu, Flying Annie Moa offers accommodation with free WiFi and free private parking.

Some units feature a seating area and/or a balcony.

Guests at the bed and breakfast can enjoy a continental breakfast.

Guests can also relax in the shared lounge area.

The nearest airport is Lupepauu International, 10 km from Flying Annie Moa, and the property offers a paid airport shuttle service. This property will not accommodate hen, stag or similar parties.",,airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking Street parking Accessible parking Parking Non-smoking rooms Airport shuttle Free parking internet services Safety Deposit Box Canoeing Diving Snorkelling wifi Free WiFi Non-smoking throughout designated smoking area water sport facilities on site,-18.65926|-173.98009,+67671463,,https://www.booking.com/hotel/to/flying-annie-moa.html
TO,Tonga,129758,Neiafu,5282731,Boathouse Apartments,ThreeStar,Neiafu Waterfront  ,,"Set in Neiafu, Boathouse Apartments offers accommodation with air conditioning and access to a garden with a terrace.

All units come with a balcony with sea views, a kitchen with a fridge and a microwave, and a private bathroom with shower. A stovetop and toaster are also offered, as well as a kettle.

A car rental service is available at the apartment.

The nearest airport is Lupepauu International Airport, 10 km from Boathouse Apartments. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Boathouse Apartments in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
A damage deposit of USD 250 is required on arrival. You should be reimbursed on check-out.
Transfers are available to and from Lupepauu International Airport. These are charged USD 20 per person, return. Please inform Boathouse Apartments in advance if you want to use this service, using the contact details found on the booking confirmation.

Please note apartments are serviced every 4 days.",,Parking Room service Garden Terrace Non-smoking rooms Fishing babysitting/child services Family rooms Free parking Safety Deposit Box Car hire Non-smoking throughout Air conditioning shuttle service (additional charge) parking on site Private parking Street parking Outdoor furniture Shuttle service Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized face masks for guests available,-18.65637|-173.98128,,,https://www.booking.com/hotel/to/boathouse-apartments.html
TO,Tonga,146929,Nuku'Alofa,1109716,Tanoa International Dateline Hotel,FourStar,Vuna Road P.O.Box 39Nukualofa ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Talamahu Market - 0.5 km / 0.3 mi <br /> Basilica of St Anthony of Padua - 1.1 km / 0.7 mi <br /> Royal Palace of Tonga - 1.1 km / 0.7 mi <br /> Centenary Chapel - 1.3 km / 0.8 mi <br /> Royal Tombs - 1.3 km / 0.8 mi <br /> St Mary s Cathedral - 1.5 km / 1 mi <br /> Interisland Ferry Terminal - 2.2 km / 1.4 mi <br /> Ancient Tonga - 3.5 km / 2.2 mi <br /> Vaiola Hospital - 4.1 km / 2.6 mi <br /> Tongan National Centre - 4.3 km / 2.6 mi <br /> Flea Market - 4.3 km / 2.7 mi <br /> Halafuoleva Beach - 11.7 km / 7.3 mi <br /> Mapu a  a Vaca Blowholes - 14.9 km / 9.3 mi <br /> Captain Cook s Landing Place - 18.7 km / 11.6 mi <br /> Ha atafu Beach - 21.6 km / 13.4 mi <br /> </p><p>The preferred airport for Tanoa International Dateline Hotel is Nuku alofa (TBU-Fua amotu Intl.) - 22.2 km / 13.8 mi </p>,"<p>HeadLine : Near Talamahu Market</p><p>Location : When you stay at Tanoa International Dateline Hotel in Nuku alofa, you ll be near the beach, within a 15-minute walk of Talamahu Market and Basilica of St Anthony of Padua.  This 4-star hotel is 0.7 mi (1.1 km) from Royal Palace of Tonga and 0.7 mi (1.2 km) from Centenary Chapel.</p><p>Rooms : Make yourself at home in one of the 120 guestrooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and electric kettles, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for dinner at the hotel s restaurant, The Dining Room, or stay in and take advantage of the room service. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1,24-hour front desk Conference center Wheelchair-accessible meeting spaces/business center Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Free self parking Fitness facilities Conference space ATM/banking Wheelchair accessible path of travel Concierge services Gift shops or newsstand Dry cleaning/laundry service Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Parking (limited spaces) Free parking nearby Babysitting or childcare (surcharge) Reception hall Meeting rooms Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Television in common areas Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Airport transportation (surcharge) Wheelchair-accessible lounge Luggage storage Wheelchair-accessible on-site restaurant Porter/bellhop Handrails in stairways,-21.135136|-175.194589,64-0064-210760770,0,http://www.tanoadateline.com
