countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
TN,Tunisia,100244,Aghir,1016060,Les Sirenes Thalasso & Spa,FourStar,Zone Touristique Sidi Zekri MidounPO Box 387Djerba ,golf1 : 3000mts,"HotelDescription#The hotel is located on Sidi Zekri beach in Djerba, 3 km from Djerba Golf Club. Djerba Zarzis International Airport is 23 km away.

This beach hotel offers 176 fully equipped rooms in a typical Tunisian style as well as a number of restaurants and bars. Guests are welcomed into a lobby with 24-hour reception and check-out service. Facilities include air conditioning, a hotel safe, lift access, a newspaper stand, kids' club, disco and car park.

The hotel offers air-conditioned rooms with a private en suite bathroom with shower, bath and hairdryer. Each comes with a balcony overlooking the garden or Mediterranean Sea. The rooms are equipped with a satellite TV, double bed, direct dial telephone, safe and minibar.

Guests are invited to take advantage of the hotel's activities including horse riding, bocce, table tennis, tennis and volleyball. Guests can relax in one of four swimming pools including an open-air thermal pool, an outdoor freshwater pool with children's paddling pool, an indoor freshwater pool and a saltwater pool. There is also a children's swimming area and poolside snack bar. The resort features a private beach and guests have access to the hotel's thalassotherapy spa centre with hot tub, steam room, massages and spa treatments (all for a fee). Guests can also use the gym or go waterskiing, windsurfing, banana boating and catamaran boating. There are also sun loungers with parasols laid out on the sandy beach.

Guests have several dining options including the main restaurant, a terrace café and a pizzeria on the edge of the sea.",,Double rooms : 165 Junior suites : 11 NO Connecting rooms Hotel MasterCard Visa Bathroom Shower Bathtub Hairdryer Direct dial telephone Minibar Individually adjustable air conditioning   Safe Balcony Terrace NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage 24-hour reception Air conditioning in public areas   Hotel safe(Additional Fee) Lift access Newspaper stand Shop Gym Bar Restaurant Poolside snack bar Air conditioning in Restaurant   Childrens swimming area   Kids club Nightclub Steam bath(Additional Fee) Hot tub(Additional Fee) Massage(Additional Fee) Spa treatments(Additional Fee) Banana boating Waterskiing Windsurfing Catamaran sailing Horse riding Volleyball Bocce Tennis,33.818278|11.053276,,,
TN,Tunisia,100244,Aghir,1017278,Club Med Djerba La Douce,ThreeStar,"P.O. Box 160; 4116 Midoun; Djerba , DJERBA ISLAND ",,"This charming hotel is in Djerba. This property offers a total of 671 units. Travellers will not be bothered during their stay, as this is not a pet-friendly hotel.",+21675750488,Hotel,33.78082|11.0486,43351500989,4116,http://www.clubmed.com http://www.clubmed.com/cgi-bin/clubmed55/SP/villagesHeading.do?PAYS=196&amp;L
TN,Tunisia,100244,Aghir,1021093,Club Med Djerba La Fidele,ThreeStar,"P.O. Box 168; 4116 Midoun; Djerba , DJERBA ISLAND ",,"This charming hotel is set in Djerba. Travellers will not be bothered during their stay, as this is not a pet-friendly property.",+21675750717,Hotel,33.78652|11.05671,43351501437,4116,http://www.clubmed.de/cm/urlaub-djerba-la-fidele-tunesien_p-5-l-DE-v-DFIC-ac-vh.html
TN,Tunisia,100244,Aghir,1110443,Robinson Club Djerba Bahiya,FourStar,Zone Touristique Ennadhour 4116 DjerbaMednine ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Djerba Explore Park - 2.2 km / 1.3 mi <br /> Playa Sidi Mehrez - 3.2 km / 2 mi <br /> Borj El K bir Fort - 20.9 km / 13 mi <br /> Houmt Souq Harbour - 21.7 km / 13.5 mi <br /> Islamic Monuments - 21.8 km / 13.5 mi <br /> Museum of Popular Arts & Traditions - 21.8 km / 13.5 mi <br /> Libyan market - 21.8 km / 13.5 mi <br /> El Ghriba Synagogue - 22.4 km / 13.9 mi <br /> Djerbahood - 22.7 km / 14.1 mi <br /> Guellala Museum - 24.2 km / 15 mi <br /> Aboumessouer Mosque - 25.6 km / 15.9 mi <br /> Oamarit Fishing Marina - 44.3 km / 27.5 mi <br /> Oamarit Beach - 45.6 km / 28.3 mi <br /> </p><p>The nearest major airport is Houmt Souk (DJE-Djerba - Zaris) - 29.8 km / 18.5 mi</p>,"<p>HeadLine : Near Djerba Explore Park</p><p>Location : Located in Aghir, ROBINSON DJERBA BAHIYA - All inclusive is by the sea, a 3-minute drive from Djerba Explore Park and 6 minutes from Playa Sidi Mehrez.  This 4-star property is 13 mi (20.9 km) from Borj El K bir Fort and 13.5 mi (21.7 km) from Houmt Souq Harbour.</p><p>Rooms : Make yourself at home in one of the 396 guestrooms featuring refrigerators and flat-screen televisions. Rooms have private balconies. Satellite television is provided for your entertainment. Bathrooms have showers and hair dryers.</p><p>Dining : This property is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite to eat at Beach, one of the property s many dining establishments, which include 2 restaurants and a coffee shop/cafe. Relax with a refreshing drink from the poolside bar or one of the 3 bars/lounges. A complimentary buffet breakfast is served daily from 7:30 AM to 10 AM. </p></p><p>Renovations : The property is closed between September 2 and April 8.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",1,Lifeguard on site Library Playground on site Spa services on site Safe-deposit box at front desk Smoke-free property Snack bar/deli Children's pool Sauna Beach volleyball on site Free self parking Pool umbrellas Tennis on site Free WiFi Terrace Number of bars/lounges - 3 Number of poolside bars - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Tours/ticket assistance Golf course on site Pool sun loungers Pilates classes on site Sailing on site Fitness classes on site Free Buffet Breakfast Free breakfast Outdoor tennis courts - 7 Multilingual staff Daily Turkish bath/Hammam Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Surfing/bodyboarding on site Wheelchair accessible (may have limitations) Beach umbrellas Wheelchair-accessible registration desk Garden Free newspapers in lobby Tennis lessons on site Beach towels Supervised childcare/activities (surcharge) Golf driving range on site Yoga classes/instruction on site Golf lessons on site Luggage storage 24-hour front desk,33.82305|11.053217,216-74-623336,2524116,https://www.robinson.com/de/de/cluburlaub/tunesien
TN,Tunisia,100244,Aghir,1116842,Palma Djerba,ThreeStar,"ZONE TOURISTIQUE AGHIR, BP 157 MIDOUN-DJERBA ",,"Located within 13 hectares of gardens, with direct access to the beautiful Seguia beach, at 6 kms away from Midoun, this hotel with exotic style offers a range of exciting activities. It is the ideal place for guests searching active and unforgettable holidays.

The hotel is distributed in a main building and 1-storey auxiliary buildings (bungalows), within a magnificent garden. The hotel has 291 rooms and offers various bars, outdoor swimming pool with separated pool for children and indoor pool with wellness center.

All rooms have bath or shower/WC, hair dryer, air-conditioning, satellite TV, telephone, balcony or terrace. Partly pool view, partly sea view and garden view available.

The wellness centre offers Turkish bath, hydromassage and massage. Also available are horse riding and water skiing. There is an organised programme of sports activities and games during the day and shows and entertainment in the evening.

The hotel offers various restaurants with varied thematic buffets, with Tunisian and international specialities.

From the international airport Djerba - Zarzis take direction south-east and take 2nd exit. Turn left into Rue Moncet Bey. On the roundabound take 1st exit direction Rue Ibn Charaf. Turn right into Rue 2 Mars 1934. Take the 1st at your left to Avenue Talob Mehirl. Take the 2nd right and you will find the hotel at your left hand side.",,Hotel American Express MasterCard Visa Bathroom Shower Bathtub Hairdryer TV Centrally regulated air conditioning Individually adjustable air conditioning Balcony Terrace Hotel safe Shop Garden Bar Kids club Nightclub Steam bath Hot tub Massage Hairdressing salon,33.76202|11.01414,,4116,http://www.caribbeanworld.com.tn/index_fr.aspx?
TN,Tunisia,100244,Aghir,1148923,El Mouradi Djerba Menzel,FourStar,B.P.163 Midoun 4116 MidounDjerba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Djerba Explore Park - 4.9 km / 3.1 mi <br /> Playa Sidi Mehrez - 6.7 km / 4.2 mi <br /> El Ghriba Synagogue - 22.7 km / 14.1 mi <br /> Islamic Monuments - 22.9 km / 14.2 mi <br /> Museum of Popular Arts & Traditions - 22.9 km / 14.2 mi <br /> Libyan market - 22.9 km / 14.2 mi <br /> Djerbahood - 23 km / 14.3 mi <br /> Borj El K bir Fort - 23.8 km / 14.8 mi <br /> Guellala Museum - 24.4 km / 15.2 mi <br /> Houmt Souq Harbour - 24.5 km / 15.2 mi <br /> Aboumessouer Mosque - 26.7 km / 16.6 mi <br /> Oamarit Fishing Marina - 37.2 km / 23.1 mi <br /> Oamarit Beach - 38.3 km / 23.8 mi <br /> Amira Beach - 46.9 km / 29.2 mi <br /> </p><p>The preferred airport for El Mouradi Djerba Menzel is Houmt Souk (DJE-Djerba - Zaris) - 33.4 km / 20.7 mi </p>,"<p>HeadLine : Near Djerba Explore Park</p><p>Location : Located in Aghir, El Mouradi Djerba Menzel is by the sea, within a 10-minute drive of Djerba Explore Park and Playa Sidi Mehrez.  This 4-star resort is 14.1 mi (22.7 km) from El Ghriba Synagogue and 14.2 mi (22.9 km) from Islamic Monuments.</p><p>Rooms : Make yourself at home in one of the 634 guestrooms featuring minibars. Rooms have private balconies. Satellite television is provided for your entertainment. Private bathrooms have deep soaking bathtubs and complimentary toiletries.</p><p>Dining : All-inclusive rates are available at this resort. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite at Les Fruits d Or, one of the resort s 4 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink at the bar/lounge, the beach bar, or one of 3 poolside bars. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Local laws may restrict unmarried guests from sharing rooms. Guests are responsible for providing proof of marriage, if requested by the property. This only applies to local guests (Tunisian nationality).</p>",216-75-750490,Children's club (free) Fitness facilities Basketball on site Bicycle rentals on site Surfing/bodyboarding on site Wheelchair accessible (may have limitations) Beach umbrellas Nightclub Meeting rooms Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Arcade/game room Health club Marina on site Well-lit path to entrance Garden Internet access in public areas - high speed Stair-free path to entrance Full-service spa Volleyball on site Beach towels Water skiing on site Supervised childcare/activities (surcharge) Windsurfing on site Miniature golf on site Luggage storage Porter/bellhop Billiards or pool table Business center Children's club Personal motorized watercraft on site 24-hour front desk elevator Laundry facilities Number of coffee shops/cafes - 1 Turkish bath/Hammam Barbecue grill(s) Conference center Multilingual staff No accessible shuttle Wheelchair-accessible on-site restaurant On private beach Airport transportation (surcharge) Rooftop terrace Scooter/moped rentals on site Fitness classes on site Airport transportation - drop-off (surcharge) Sailing on site Tours/ticket assistance Roll-in shower (in select rooms) In-room accessibility (in select rooms) Number of indoor pools - 1 Number of beach bars - 1 Number of outdoor pools - 3 Number of poolside bars - 3 Number of bars/lounges - 1 Free WiFi Scuba diving nearby Conference space size (meters) - 500 Babysitting or childcare (surcharge) Shopping on site Dry cleaning/laundry service Gift shops or newsstand Playground on site Golfing nearby Spa services on site Safe-deposit box at front desk Smoke-free property Sauna Steam room Free self parking Conference space Waterslide Kayaking on site Hair salon Tennis on site Motor boating on site Beach sun loungers Terrace ATM/banking Wheelchair accessible path of travel Pool sun loungers Conference space size (feet) - 5382 Parasailing on site Rowing or canoeing on site Children's pool,33.782525|11.055173,216-75-750300,4116,http://www.elmouradi.com/cr2.resa/ui/aba/hotel_det
TN,Tunisia,100244,Aghir,1148925,Hotel Club Palm Azur,FourStar,Zona Touristique Djerba Na 4116 MidounDjerba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Djerba Explore Park - 10 km / 6.2 mi <br /> Playa Sidi Mehrez - 11.8 km / 7.3 mi <br /> Guellala Museum - 18.2 km / 11.3 mi <br /> El Ghriba Synagogue - 20 km / 12.4 mi <br /> Djerbahood - 20.3 km / 12.6 mi <br /> Islamic Monuments - 21.6 km / 13.4 mi <br /> Museum of Popular Arts & Traditions - 21.6 km / 13.4 mi <br /> Libyan market - 21.6 km / 13.4 mi <br /> Borj El K bir Fort - 22.7 km / 14.1 mi <br /> Houmt Souq Harbour - 23.2 km / 14.4 mi <br /> Aboumessouer Mosque - 25.3 km / 15.7 mi <br /> Oamarit Fishing Marina - 32.1 km / 19.9 mi <br /> Oamarit Beach - 33.1 km / 20.6 mi <br /> Amira Beach - 41.7 km / 25.9 mi <br /> </p><p>The nearest major airport is Houmt Souk (DJE-Djerba - Zaris) - 29.4 km / 18.3 mi</p>,"<p>HeadLine : On the beach</p><p>Location : When you stay at Club Palm Azur - Families and Couples in Aghir, you ll be on the beach and 14 minutes by car from Playa Sidi Mehrez.  This 4-star hotel is 6.2 mi (10 km) from Djerba Explore Park and 11.3 mi (18.2 km) from Guellala Museum.</p><p>Rooms : Make yourself at home in one of the 391 guestrooms featuring minibars and flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.</p><p>Dining : All-inclusive rates are available at this hotel. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite at Wasabi, one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar. </p></p><p>Renovations : The following facilities will be closed during the winter: <ul><li>One of the dining venues</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",216-7-5.750.710,Free self parking Dry cleaning/laundry service Hair salon Shopping on site Tennis on site Pool umbrellas Terrace Free WiFi ATM/banking Pool sun loungers Concierge services Number of bars/lounges - 1 Designated smoking areas Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 2 Number of indoor pools - 1 In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Fitness classes on site Scuba diving on site Wheelchair-accessible lounge Outdoor tennis courts - 3 Barbecue grill(s) Turkish bath/Hammam Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Wheelchair accessible (may have limitations) Vending machine Foosball Wheelchair-accessible registration desk Television in common areas Arcade/game room Health club Spa treatment room(s) Garden Full-service spa Tennis lessons on site Volleyball on site Windsurfing on site Miniature golf on site Luggage storage Children's club 24-hour front desk Archery on site Library Playground on site Golfing nearby Safe-deposit box at front desk Designated smoking areas (fines apply) Snack bar/deli Hiking/biking trails nearby Children's pool Sauna Steam room,33.75842|11.01173,216-7-5.750.700,4116,
TN,Tunisia,100244,Aghir,1148936,Hari Club Beach Resort,FourStar,Zone Touristique Aghir 4116 AghirDjerba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Djerba Explore Park - 7.7 km / 4.8 mi <br /> Playa Sidi Mehrez - 9.5 km / 5.9 mi <br /> Guellala Museum - 20.5 km / 12.7 mi <br /> El Ghriba Synagogue - 23.1 km / 14.4 mi <br /> Islamic Monuments - 23.1 km / 14.4 mi <br /> Museum of Popular Arts & Traditions - 23.1 km / 14.4 mi <br /> Libyan market - 23.1 km / 14.4 mi <br /> Djerbahood - 23.4 km / 14.6 mi <br /> Borj El K bir Fort - 24.3 km / 15.1 mi <br /> Houmt Souq Harbour - 24.6 km / 15.3 mi <br /> Aboumessouer Mosque - 27.1 km / 16.8 mi <br /> Oamarit Fishing Marina - 33.9 km / 21.1 mi <br /> Oamarit Beach - 35.5 km / 22.1 mi <br /> Amira Beach - 44.3 km / 27.5 mi <br /> </p><p>The nearest major airport is Houmt Souk (DJE-Djerba - Zaris) - 31.3 km / 19.4 mi</p>,"<p>HeadLine : On the beach</p><p>Location : When you stay at Hari Club Beach Resort  in Aghir, you ll be on the beach and 11 minutes by car from Djerba Explore Park.  This 4-star hotel is 5.9 mi (9.5 km) from Playa Sidi Mehrez and 12.7 mi (20.5 km) from Guellala Museum.</p><p>Rooms : Make yourself at home in one of the 217 air-conditioned rooms featuring minibars and flat-screen televisions. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers.</p><p>Dining : This hotel is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite to eat at one of the hotel s many dining establishments, which include 4 restaurants and a coffee shop/cafe. Relax with a refreshing drink at the beach bar, the poolside bar, or one of 4 bars/lounges. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Please note that the hotel policy is that appropriate swimwear must be worn in the swimming pools. Any other clothing, including pants, t-shirts, long dresses, and burkinis, are not allowed. A deposit is charged to the guest s credit card by E-rev UK LTD on the hotel s behalf for any bookings where payment for the stay will be made on site instead of at the time of booking. This property caters to couples and families. Reservations for single men or groups of men are not accepted.</p>",216-70-014144,Gift shops or newsstand Miniature golf on site Off-street parking Luggage storage Outdoor tennis courts - 7 Multilingual staff 24-hour front desk Playground on site Barbecue grill(s) Spa services on site Turkish bath/Hammam Safe-deposit box at front desk Smoke-free property Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Dry cleaning/laundry service Children's pool Sauna Free self parking Beach volleyball on site Wheelchair accessible (may have limitations) Beach umbrellas Pool umbrellas Free WiFi Number of bars/lounges - 4 Health club Number of poolside bars - 1 Number of outdoor pools - 1 Number of beach bars - 1 Number of indoor pools - 1 Garden Roll-in shower (in select rooms) Beach towels Children's club (free) Fitness facilities Hair salon Tennis on site Beach sun loungers Terrace ATM/banking Basketball on site Pool sun loungers Concierge services,33.771825|11.029678,216-27-066692,4016,http://www.hari-club.com/
TN,Tunisia,100244,Aghir,1148938,Sidi Slim,ThreeStar,"Zone Touristique; 4116 Aghir; Djerba , AGHIR ",,"This lovely hotel can be found in Djerba. The accommodation comprises a total of 326 snug accommodation units. Those who dislike animals may enjoy their stay, as this accommodation does not allow pets.",+21675657002,Hotel,33.77178|11.03149,+43351314023,4116,
TN,Tunisia,100244,Aghir,1148939,Homere Hotel,ThreeStar,Zone Touristique PO Box 1624116 AghirDjerba Island ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Djerba Explore - 7.5 km / 4.6 mi &lt;br /&gt;Djerba Golf Club - 7.6 km / 4.7 mi &lt;br /&gt;Sentido Djerba Beach - 9 km / 5.6 mi &lt;br /&gt;El-Ghriba - 9.3 km / 5.8 mi &lt;br /&gt;Houmt Souq Old Town - 9.3 km / 5.8 mi &lt;br /&gt;Guellala Museum - 14.1 km / 8.8 mi &lt;br /&gt;El Ghriba Synagogue - 15.7 km / 9.7 mi &lt;br /&gt;Oamarit Fishing Marina - 17.5 km / 10.9 mi &lt;br /&gt;Oamarit Beach - 18.4 km / 11.4 mi &lt;br /&gt;Islamic Monuments - 19.4 km / 12 mi &lt;br /&gt;Libyan market - 19.4 km / 12 mi &lt;br /&gt;Museum of Popular Arts &amp; Traditions - 19.4 km / 12 mi &lt;br /&gt;Borj Ghazi Mustapha - 19.8 km / 12.3 mi &lt;br /&gt;Borj El K&apos;bir Fort - 19.9 km / 12.3 mi &lt;br /&gt;Houmt Souq Harbour - 20.3 km / 12.6 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Hôtel Homère is Houmt Souk (DJE-Djerba - Zaris) - 25.3 km / 15.8 mi. &lt;/p&gt;,"<p><b>Property Location</b> <br />Located in Aghir, Hôtel Homère is within the region of Guellala Museum and El Ghriba Synagogue.  This hotel is within the region of Oamarit Fishing Marina and Oamarit Beach.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 180 air-conditioned rooms featuring minibars. Rooms have private balconies or patios. Satellite television is provided for your entertainment. Bathrooms with bathtubs or showers are provided.</p><p><b>Amenities</b> <br />Treat yourself with massages, body treatments, and facials. You can soak up the sun at the private beach or enjoy other recreational amenities including an outdoor pool and an indoor pool.</p><p><b>Dining</b> <br />Enjoy a satisfying meal at a restaurant serving guests of Hôtel Homère. Thirsty? Quench your thirst at a bar/lounge, a beach bar, or a poolside bar. A complimentary buffet breakfast is served daily.</p><p><b>Business, Other Amenities</b> <br />Self parking (subject to charges) is available onsite.</p>",,Pets Not Allowed Television MasterCard Outdoor tennis court designated smoking area Free kids club Writing Desk Breakfast included 24 Hour Front Desk Free cribs/infant beds TV Channels Turkish Bath Connecting rooms Free Wireless Internet access Pay Parking Visa Beach bar Bar / Lounge Beach umbrellas Children's pool Poolside bar Beach/pool umbrellas Minibar Steam bath Indoor pool Outdoor Swimming Pool Bathtub or shower Sunloungers Restaurant Private balcony / terrace Private Beach Air Condition in rooms Private bathrooms Meeting rooms,33.7600881555595|11.0136786103249,,4116,
