countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
VU,Vanuatu,101166,Aore Island,1255340,Aore Island Resort,FourStar,Aore Road Aore Island SantoVanuatu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Luganville Market - 2.4 km / 1.5 mi <br /> Unity Park - 3.9 km / 2.4 mi <br /> Ammunition Bunkers - 4 km / 2.5 mi <br /> Rotary Park - 4 km / 2.5 mi <br /> SS President Coolidge - 9.3 km / 5.8 mi <br /> Millenium Cave - 10.1 km / 6.3 mi <br /> Mount Hope Waterfall - 12.9 km / 8 mi <br /> Santo Golf Course - 13 km / 8.1 mi <br /> Riri Blue Hole - 21.7 km / 13.5 mi <br /> Matevulu Blue Hole - 23.7 km / 14.7 mi <br /> Nanda Blue Hole - 31.5 km / 19.6 mi <br /> </p><p>The preferred airport for Aore Island Resort is Luganville (SON-Santo-Pekoa Intl.) - 8.4 km / 5.2 mi </p>,"<p>HeadLine : Near Luganville Market</p><p>Location : When you stay at Aore Island Resort in Aore Island, you ll be on the beach, within a 5-minute drive of Unity Park and Luganville Market.  This 4-star resort is 2.3 mi (3.8 km) from Ammunition Bunkers and 2.3 mi (3.8 km) from Rotary Park.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms featuring refrigerators and minibars. Rooms have private furnished balconies. Bathrooms have showers and complimentary toiletries. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Grab a bite at The Nakamal Restaurant, one of the resort s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Relax with a refreshing drink at one of the 2 bars/lounges. A complimentary local cuisine breakfast is served daily from 7:00 AM to 9:30 AM.</p><p>Renovations : The property is closed between February 05 and February 19.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>This property uses eco-friendly cleaning products</li>  </ul></p><p>Special Instructions : Guests must transfer via boat to the property. Guests must contact the property at least 24 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 5:00 PM. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",678-36705,Gift shops or newsstand Dry cleaning/laundry service Proposal/romance packages available Babysitting or childcare (surcharge) Eco-friendly cleaning products used Outdoor furniture Pool umbrellas Free reception Scuba diving nearby Free WiFi Number of bars/lounges - 2 Designated smoking areas Number of outdoor pools - 1 Tours/ticket assistance Airport transportation (surcharge) Eco-friendly toiletries Recycling LED light bulbs Living plant wall Free breakfast Multilingual staff Free breakfast (local cuisine) Evening entertainment Daily Coffee/tea in common areas Snorkeling on site Marina on site Garden Full-service spa Wedding services Beach towels Water skiing on site Fishing on site Boat tours on site Free bicycles on site Couples/private dining Luggage storage Porter/bellhop Front desk (limited hours) Scooter/moped rentals nearby Library Spa services on site Safe-deposit box at front desk Rowing or canoeing on site Hiking/biking trails nearby Kayaking on site Beach sun loungers Terrace Pool sun loungers Concierge services Pilates classes on site,-15.539255|167.180704,67836705,0000,http://www.aoreresort.com/
VU,Vanuatu,101166,Aore Island,1675480,Island View Cottages Aore Island,ThreeStar,Lot 61 Aore Point Aore IslandSanma ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>SS President Coolidge - 2.7 km / 1.7 mi <br /> Unity Park - 4.3 km / 2.7 mi <br /> Luganville Market - 4.4 km / 2.8 mi <br /> Millennium Cave Tour Office - 4.7 km / 2.9 mi <br /> Santo Golf Course - 7.5 km / 4.6 mi <br /> Matevulu Blue Hole - 21.9 km / 13.6 mi <br /> Nanda Blue Hole - 29.6 km / 18.4 mi <br /> </p><p>The nearest major airport is Luganville (SON-Santo-Pekoa Intl.) - 1.7 km / 1.1 mi</p>,"<p>HeadLine : Near SS President Coolidge</p><p>Location : When you stay at Island View Cottages Aore Island in Aore Island, you ll be on the beach and within a 5-minute drive of SS President Coolidge.  This beach cottage is 2.7 mi (4.3 km) from Unity Park and 2.8 mi (4.5 km) from Luganville Market.</p><p>Rooms : Make yourself at home in one of the 5 guestrooms, featuring kitchens with full-sized refrigerators/freezers and ovens. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",61-7-55647678,Safe-deposit box at front desk Barbecue grill(s) Picnic area Terrace Free airport transportation - drop-off Laundry facilities Free self parking Dry cleaning/laundry service Free WiFi Babysitting or childcare (surcharge) Garden Supervised childcare/activities (surcharge),-15.53795|167.213467,61-61-0411855433,,https://www.islandviewcottagesaoreisland.com
VU,Vanuatu,101166,Aore Island,1678726,Two Canoes Island Getaway,ThreeStar,Aimbeui Bay Luganville P.O. Box 727LuganvilleAore Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Luganville Market - 3.7 km / 2.3 mi <br /> Unity Park - 3.9 km / 2.5 mi <br /> Ammunition Bunkers - 5.2 km / 3.2 mi <br /> Rotary Park - 5.2 km / 3.2 mi <br /> Millenium Cave - 8.8 km / 5.5 mi <br /> SS President Coolidge - 10.7 km / 6.7 mi <br /> Mount Hope Waterfall - 14.3 km / 8.9 mi <br /> Santo Golf Course - 14.4 km / 8.9 mi <br /> Riri Blue Hole - 24 km / 14.9 mi <br /> Matevulu Blue Hole - 25.1 km / 15.6 mi <br /> Nanda Blue Hole - 32.9 km / 20.5 mi <br /> Lonnoc Beach - 51.5 km / 32 mi <br /> </p><p>The preferred airport for Two Canoes Island Getaway is Luganville (SON-Santo-Pekoa Intl.) - 9.8 km / 6.1 mi </p>,"<p>HeadLine : On the waterfront</p><p>Location : Located in Aore Island, Two Canoes Island Getaway is by the sea, within a 5-minute drive of Luganville Market and Unity Park.  This beach hotel is 3.2 mi (5.2 km) from Ammunition Bunkers and 3.2 mi (5.2 km) from Rotary Park.</p><p>Rooms : Make yourself at home in one of the 3 guestrooms. Rooms have private furnished lanais. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Enjoy seafood at Beachside Diner & Bar, a beachfront restaurant where you can enjoy drinks at the bar/lounge, take in the garden view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the beach bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 6 AM - 11 PM. Front desk staff will greet guests on arrival.</p>",678-5638330,Dry cleaning/laundry service Direct access to private beach Beach umbrellas Babysitting or childcare (surcharge) Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Hiking/biking trails on site Number of beach bars - 1 Garden Picnic area Wedding services Tours/ticket assistance Beach towels Fishing on site Boat tours on site Area shuttle (surcharge) Free bicycles on site On private beach Wheelchair accessible  no Luggage storage Private beach nearby Multilingual staff Front desk (limited hours) Library Daily Barbecue grill(s) Ecotours nearby Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Free self parking Fitness facilities Snorkeling on site Kayaking on site Beach sun loungers Concierge services,-15.546981|167.188127,61-02-80911933,,http://www.twocanoesvanuatu.com
VU,Vanuatu,101166,Aore Island,1704533,Aoredise,ThreeStar,Lot 36 Forest Subdivision Aore Island Aore Island ,Distances are calculated in a straight line from the property s location to the point of interest or attraction  and may not reflect actual travel distance. <br /><br /> Distances are displayed to the nearest 0.1 mile and kilometer. <p>Unity Park - 2.6 km / 1.6 mi <br />Luganville Market - 2.7 km / 1.7 mi <br />Millennium Cave Tour Office - 3 km / 1.9 mi <br />SS President Coolidge - 5.4 km / 3.3 mi <br />Santo Golf Course - 7.4 km / 4.6 mi <br />Riri Blue Hole - 16 km / 9.9 mi <br />Matevulu Blue Hole - 17.5 km / 10.9 mi <br />Nanda Blue Hole - 24.7 km / 15.4 mi <br />Lonnoc Beach - 43.7 km / 27.2 mi <br />Champagne Beach - 44.1 km / 27.4 mi <br /></p><p>The preferred airport for this vacation home is Luganville (SON-Santo-Pekoa Intl.) - 4.6 km / 2.9 mi. </p>,"<p>HeadLine : Near Unity Park</p><p>Location : Located in Aore Island, this vacation home is by the sea and convenient to Unity Park and Luganville Market.  This beach vacation home is within the vicinity of Millennium Cave Tour Office and SS President Coolidge.</p><p>Rooms : Make yourself comfortable in this vacation home, featuring a kitchen with a refrigerator and a stovetop. There s a private furnished patio. A 38-inch flat-screen television and a DVD player are provided, while wireless Internet access (surcharge) keeps you connected. Conveniences include a safe and a microwave, as well as a phone with free local calls.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a debit card are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed.  <ul><li>No onsite parking is available. </li>This property only accepts cash for all onsite payments. Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>",61-04-50149766,On private beach Barbecue grill(s) Laundry facilities Terrace Beach towels Babysitting or childcare (surcharge) Airport transportation (surcharge) Garden,-15.535005|167.186026,61-04-50149766,4556,http://www.aoredise.com
VU,Vanuatu,101166,Aore Island,5386510,Sails Beach House,FourStar,20 Michel's Beach 20 Michel's Beach Bernier Bay Aore Island  ,,"Situated on a beautiful tropical island beside the pristine waters of the South Pacific, guests enjoy free kayaking, snorkeling and boogie boards over your own coral reef. Free WiFi is featured throughout the property.

Surrounded by dazzling sea views your accommodation includes a fully equipped kitchen. The lounge area includes a flat-screen TV with surround sound and a DVD player. Also included is a private bathroom.

Guests can enjoy the BBQ on the patio or unwind in the hammock.

An airport shuttle can be arranged from Santo Airport.

The local tour desk can arrange a variety of activities including fishing, cave trips, diving, horse riding and exciting traditional cultural and holiday activities. Please inform Sails Beach House in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
A damage deposit of VUV 50000 is required. The host charges this 14 days before arrival. This will be collected by credit card. You should be reimbursed within 14 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Managed by a private host",,BBQ facilities Airport shuttle Movie nights Smoke alarms designated smoking area Beachfront board games/puzzles Non-smoking throughout kids' outdoor play equipment CCTV outside property Fire extinguishers Walking tours Private parking Free parking Diving Sun terrace Bike tours Laundry Parking Daily housekeeping internet services Live music/performance wifi Canoeing Library wifi available in all areas Snorkelling books  dvds  music for children Bicycle rental (additional charge) grocery deliveries Terrace Pub crawls Cycling Garden Massage Free WiFi shuttle service (additional charge) Family rooms Hiking airport shuttle (additional charge) invoice provided Horse riding Water sport facilities (on site) Safety Deposit Box Tour or class about local culture Private beach area Fishing Car hire 24-hour security Non-smoking rooms On-site parking,-15.56341|167.20779,,,https://www.booking.com/hotel/vu/sails-beach-house.html
VU,Vanuatu,101166,Aore Island,6005758,Aore Breeze,All,Aore Point Aore Island  ,,"Situated in Luganville, Aore Breeze offers beachfront accommodation 80 metres from SS President Coolidge and features various facilities, such as free bikes, a terrace and water sports facilities. Each room comes with a patio.

At the resort, the rooms include a wardrobe, bed linen and a balcony with a sea view. At Aore Breeze, all rooms include a private bathroom with a shower.

Guests at the accommodation will be able to enjoy activities in and around Luganville, like snorkelling and canoeing.

The nearest airport is Santo-Pekoa International, 2 km from Aore Breeze, and the property offers a paid airport shuttle service. Please inform Aore Breeze in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",,Golf course (within 3 km) Terrace Non-smoking rooms Airport shuttle Fishing babysitting/child services Laundry internet services Safety Deposit Box Massage Canoeing Diving Horse riding Snorkelling wifi Private beach area shuttle service (additional charge) water sport facilities on site airport shuttle (additional charge) Beachfront grocery deliveries paid wifi Wine/champagne Fruits airport pick up airport drop off coffee house on site Outdoor furniture Picnic area Beach Shuttle service Key access Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered face masks for guests available,-15.53742|167.21543,,,https://www.booking.com/hotel/vu/aore-breeze.html
VU,Vanuatu,112442,Bokissa Island,1252950,Bokissa Private Island Resort,ThreeStar,Bokissa Island Espiritu Santo Bokissa IslandEspiritu Santo ,Distances are calculated in a straight line from the property s location to the point of interest or attraction  and may not reflect actual travel distance. <br /><br /> Distances are displayed to the nearest 0.1 mile and kilometer. <p>SS President Coolidge - 7.6 km / 4.7 mi <br />Unity Park - 11.2 km / 7 mi <br />Ammunition Bunkers - 11.3 km / 7 mi <br />Rotary Park - 11.3 km / 7 mi <br />Luganville Market - 11.4 km / 7.1 mi <br />Santo Golf Course - 11.8 km / 7.3 mi <br />Mount Hope Waterfall - 12.9 km / 8 mi <br />Millenium Cave - 18.1 km / 11.2 mi <br />Riri Blue Hole - 23.3 km / 14.5 mi <br />Matevulu Blue Hole - 24.8 km / 15.4 mi <br />Nanda Blue Hole - 31.9 km / 19.9 mi <br /></p><p>The preferred airport for Bokissa Private Island Resort is Luganville (SON-Santo-Pekoa Intl.) - 9.6 km / 6 mi. </p>,"<p>HeadLine : By the ocean</p><p>Location : When you stay at Bokissa Private Island Resort in Bokissa Island, you ll be on the waterfront and within the vicinity of SS President Coolidge.  This beach resort is within the region of Unity Park and Ammunition Bunkers.</p><p>Rooms : Make yourself at home in one of the 16 individually decorated guestrooms, featuring refrigerators and minibars. Rooms have private furnished balconies or patios. Wireless Internet access (surcharge) is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Satisfy your appetite at Bokissa Restaurant, a beachfront restaurant which features a bar/lounge and a pool view. Dining is also available at the coffee shop/cafe. A complimentary continental breakfast is served daily from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Guests must transfer via boat and shuttle to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport. To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",678-30032,Free airport transportation On private beach Free breakfast Parasailing nearby Daily Coffee/tea in common areas Number of coffee shops/cafes - 1 Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Pool umbrellas Number of meeting rooms - 1 Conference space size (meters) - 80 Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Tours/ticket assistance Sailing on site Free continental breakfast Scuba diving on site Ecotours on site Snorkeling on site Bicycle rentals on site Beach umbrellas Television in common areas Arcade/game room Spa treatment room(s) Garden Picnic area Free newspapers in lobby Wedding services Volleyball on site Beach towels Boat tours nearby Fishing on site Windsurfing on site Wheelchair accessible  no Luggage storage Porter/bellhop Front desk (limited hours) Rowing or canoeing on site Hiking/biking trails nearby Free self parking Conference space Kayaking on site Computer station Beach sun loungers Pool sun loungers Concierge services,-15.591737|167.242692,678-30030,0000,http://www.bokissa.vu
VU,Vanuatu,121733,Insel Espiritu Santo,1023399,Barrier Beach Resort,FourStar,Lot 11 Barrier Beach Saraoutou Espiritu Santo Espirito SantoVanuatu 0000 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Riri Blue Hole - 6.8 km / 4.2 mi <br /> Mount Hope Waterfall - 7.4 km / 4.6 mi <br /> Santo Golf Course - 7.5 km / 4.7 mi <br /> Matevulu Blue Hole - 7.7 km / 4.8 mi <br /> Ammunition Bunkers - 12.5 km / 7.8 mi <br /> Rotary Park - 12.5 km / 7.8 mi <br /> SS President Coolidge - 12.7 km / 7.9 mi <br /> Unity Park - 13.3 km / 8.3 mi <br /> Luganville Market - 13.7 km / 8.5 mi <br /> Nanda Blue Hole - 15.5 km / 9.6 mi <br /> Millenium Cave - 29.4 km / 18.3 mi <br /> Lonnoc Beach - 38.2 km / 23.7 mi <br /> Champagne Beach - 39.2 km / 24.3 mi <br /> Golden Beach - 43.8 km / 27.2 mi <br /> Port Olry Beach - 48.9 km / 30.4 mi <br /> </p><p>The preferred airport for Barrier Beach Resort is Luganville (SON-Santo-Pekoa Intl.) - 12.5 km / 7.8 mi </p>,"<p>HeadLine : On the beach</p><p>Location : Located in Saraotou, Barrier Beach Resort is by the ocean, within a 10-minute drive of Riri Blue Hole and Matevulu Blue Hole.  This 4-star guesthouse is 4.6 mi (7.4 km) from Mount Hope Waterfall and 4.7 mi (7.5 km) from Santo Golf Course.</p><p>Rooms : Make yourself at home in one of the 12 air-conditioned rooms featuring refrigerators and minibars. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the guesthouse s room service (during limited hours). Relax with a refreshing drink at one of the 2 bars/lounges. A complimentary buffet breakfast is served daily from 7:00 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 8:00 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",678-678-36160,Snorkeling on site Library Daily Free bicycles on site Couples/private dining Private picnics Number of bars/lounges - 2 Free airport transportation Full-service spa Front desk (limited hours) Free breakfast Spa treatment room(s) Tours/ticket assistance Free self parking Beach sun loungers Dry cleaning/laundry service Free WiFi Boat tours nearby Smoke-free property Hiking/biking trails nearby Scuba diving nearby Spa services on site Terrace Luggage storage Proposal/romance packages available Wheelchair accessible  no Free Buffet Breakfast Kayaking on site Laundry facilities Airport transportation Beach towels Garden,-15.432387|167.20555,6787105360,,https://www.barrierbeachresort.com
VU,Vanuatu,121733,Insel Espiritu Santo,1177702,Turtle Bay Lodge,ThreeStar,Po Box 325 Luganville Espiritu SantoVanuatu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Matevulu Blue Hole - 4.1 km / 2.5 mi <br /> Riri Blue Hole - 4.3 km / 2.7 mi <br /> Nanda Blue Hole - 6.2 km / 3.9 mi <br /> Mount Hope Waterfall - 16.7 km / 10.4 mi <br /> Santo Golf Course - 16.8 km / 10.4 mi <br /> Ammunition Bunkers - 21.9 km / 13.6 mi <br /> Rotary Park - 21.9 km / 13.6 mi <br /> Unity Park - 22.7 km / 14.1 mi <br /> Luganville Market - 23 km / 14.3 mi <br /> SS President Coolidge - 26.9 km / 16.7 mi <br /> Lonnoc Beach - 28.8 km / 17.9 mi <br /> Champagne Beach - 29.7 km / 18.5 mi <br /> Golden Beach - 34.5 km / 21.4 mi <br /> Millenium Cave - 34.8 km / 21.6 mi <br /> </p><p>The preferred airport for Turtle Bay Lodge is Luganville (SON-Santo-Pekoa Intl.) - 39.2 km / 24.3 mi </p>,"<p>HeadLine : Near Matevulu Blue Hole</p><p>Location : Located in Turtle Bay, Turtle Bay Lodge is by the ocean, a 5-minute drive from Matevulu Blue Hole and 6 minutes from Nanda Blue Hole.  This beach hotel is 10.4 mi (16.7 km) from Mount Hope Waterfall and 10.4 mi (16.8 km) from Santo Golf Course.</p><p>Rooms : Make yourself at home in one of the 10 guestrooms featuring refrigerators. Rooms have private furnished patios. Bathrooms with showers are provided. Conveniences include electric kettles and free tea bags/instant coffee, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 7:00 AM to 8:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7 AM - 9:30 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",67837988,Babysitting or childcare (surcharge) Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Picnic area Tours/ticket assistance Beach towels Free continental breakfast Area shuttle (surcharge) Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Multilingual staff Front desk (limited hours) Library Daily Smoke-free property Ecotours nearby Snack bar/deli Laundry facilities Children's pool Free self parking Snorkeling on site Kayaking on site Terrace Pool sun loungers,-15.358506|167.18808,67837988,000,
VU,Vanuatu,121733,Insel Espiritu Santo,1485000,Lope Lope Lodge,FiveStar,East Coast Road Luganville SantoSanma Province ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Santo Golf Course - 5.3 km / 3.3 mi <br /> Matevulu Blue Hole - 9.2 km / 5.7 mi <br /> Unity Park - 11.8 km / 7.3 mi <br /> Luganville Market - 11.9 km / 7.4 mi <br /> Millennium Cave Tour Office - 12.2 km / 7.6 mi <br /> Nanda Blue Hole - 16.9 km / 10.5 mi <br /> Lonnoc Beach - 39.9 km / 24.8 mi <br /> Champagne Beach - 40.7 km / 25.3 mi <br /> Golden Beach - 45.6 km / 28.3 mi <br /> Port Olry Beach - 50.8 km / 31.6 mi <br /> </p><p>The preferred airport for Lope Lope Lodge is Luganville (SON-Santo-Pekoa Intl.) - 13.3 km / 8.2 mi </p>,"<p><b>Property Location</b> <br />Located in Saraotou, Lope Lope Lodge is by the sea, within a 10-minute drive of Santo Golf Course and Matevulu Blue Hole.  This 4-star lodge is 7.3 mi (11.8 km) from Unity Park and 7.4 mi (11.9 km) from Luganville Market.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 4 individually furnished guestrooms, featuring refrigerators and minibars. Rooms have private furnished balconies. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.</p><p><b>Amenities</b> <br />Relax on the private beach or enjoy other recreational amenities such as a lazy river. This lodge also features babysitting/childcare (surcharge) and tour/ticket assistance.</p><p><b>Dining</b> <br />Grab a bite at l, a beachfront restaurant which features a bar and an ocean view. A complimentary continental breakfast is served daily from 7:30 AM to 10 AM.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include express check-in, express check-out, and multilingual staff. A roundtrip airport shuttle is provided for a surcharge (available 24 hours).</p>",678 36066,Airport transportation (surcharge) Babysitting or childcare (surcharge) Bar/lounge Beach towels Coffee/tea in common areas Express check-in Express check-out Free breakfast Garden Laundry facilities Lazy river Luggage storage Multilingual staff Number of floors - 1 On private beach Restaurant Safe-deposit box at front desk Total number of rooms - 4 Tours/ticket assistance Year Built - 2011,-15.44640214|167.21501201,+6787793065,0000,http://lopelopelodge.com/
