countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
ZW,Zimbabwe,111870,Beitbridge,1363495,Beitbridge Express,ThreeStar,N6 HIGHWAY BEITBRIDGE ,Mapungubwe National Park: within 50000 metre ,The Hotel is a comfortable hotel near the center of Beitbridge. The public areas of the hotel are comfortable with air conditioning. The rooms are fully equipped. Guests will appreciate the welcoming services of our multilingual staff. In the Hotel you can enjoy recreational facilities such as an outdoor pool and the views from the garden and a good meal in the hotel restaurant. The Messina Golf Club is located 18 km from the hotel. While Bulawayo Airport (BUQ-Joshua Nkomo Mqabuko Intl.) 280.4 km from the hotel.,+26328623375,Laundry service Bar Restaurant Conference room Breakfast buffet À la carte lunch À la carte dinner Hotel Bathroom Shower Hairdryer Direct dial telephone TV Individually adjustable air conditioning,-22.181674157664183|30.000262992595314,+002638623001,,http://www.hiexpress.com/hotels/de/de/beitbridge/b
ZW,Zimbabwe,112606,Bulawayo,1032755,The Bulawayo Club,ThreeStar,Cnr 8Th Ave & Fort Street Bulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>National Art Gallery Bulawayo - 0.3 km / 0.2 mi <br /> National Art Gallery - 0.4 km / 0.2 mi <br /> City Hall - 0.7 km / 0.4 mi <br /> Centenary Park - 1 km / 0.6 mi <br /> Queens Sports Club - 1.6 km / 1 mi <br /> Bulawayo Railway Museum - 1.7 km / 1.1 mi <br /> Natural History Museum - 2 km / 1.3 mi <br /> Matobo National Park - 2.3 km / 1.4 mi <br /> Zimbabwe International Trade Fair - 2.3 km / 1.4 mi <br /> Barbourfields Stadium - 3.4 km / 2.1 mi <br /> Mpilo Central Hospital  Bulawayo - 3.9 km / 2.4 mi <br /> National University of Science and Technology - 5.8 km / 3.6 mi <br /> The Nesbitt Castle - 6 km / 3.7 mi <br /> Hillside Dams Conservation - 6.6 km / 4.1 mi <br /> Khami Ruins - 21.2 km / 13.2 mi <br /> </p><p>The preferred airport for The Bulawayo Club is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 21.6 km / 13.4 mi </p>,"<p>HeadLine : Near National Art Gallery Bulawayo</p><p>Location : A stay at The Bulawayo Club places you in the heart of Bulawayo, within a 5-minute walk of National Art Gallery Bulawayo and National Art Gallery.  This hotel is 0.4 mi (0.7 km) from City Hall and 0.7 mi (1.1 km) from Centenary Park.</p><p>Rooms : Make yourself at home in one of the 15 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Relax with a refreshing drink at one of the 2 bars/lounges. A complimentary English breakfast is served daily from 6:30 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, mobile payments, and cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 6 and up, and test must have been administered no more than 72 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 18 and up; guests must have received complete vaccination at least 14 days prior to check-in.</p>",263-29-2881964,Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Free breakfast Number of meeting rooms - 1 Handrails in stairways 24-hour front desk Wheelchair-accessible registration desk Free WiFi Library Number of bars/lounges - 2 Designated smoking areas Daily Well-lit path to entrance Garden Wheelchair accessible parking Number of coffee shops/cafes - 1 elevator Free self parking Free English Breakfast,-20.154331|28.58104,263-29-2881964,,http://www.bulawayoclub.com/
ZW,Zimbabwe,112606,Bulawayo,1032795,Musketeers Lodge,ThreeStar,42 Annabel Drive Eloana EloanaBulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Nesbitt Castle - 5.6 km / 3.5 mi <br /> Zimbabwe International Trade Fair - 7.2 km / 4.5 mi <br /> Matobo National Park - 7.4 km / 4.6 mi <br /> Hillside Dams Conservation - 7.5 km / 4.7 mi <br /> City Hall - 8.7 km / 5.4 mi <br /> Bulawayo Railway Museum - 8.8 km / 5.4 mi <br /> National Art Gallery - 9.2 km / 5.7 mi <br /> Centenary Park - 9.4 km / 5.8 mi <br /> Queens Sports Club - 9.6 km / 6 mi <br /> National Art Gallery Bulawayo - 9.7 km / 6 mi <br /> Natural History Museum - 9.8 km / 6.1 mi <br /> National University of Science and Technology - 10.4 km / 6.5 mi <br /> Barbourfields Stadium - 12.8 km / 7.9 mi <br /> Mpilo Central Hospital  Bulawayo - 13.2 km / 8.2 mi <br /> Matobo National Park Main Entrance - 23.6 km / 14.7 mi <br /> </p><p>The preferred airport for Musketeers Lodge is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 29.5 km / 18.3 mi </p>,"<p>HeadLine : In Bulawayo</p><p>Location : With a stay at Musketeers Lodge in Bulawayo, you ll be within a 10-minute drive of The Nesbitt Castle and Matobo National Park.  This bed & breakfast is 4.5 mi (7.2 km) from Zimbabwe International Trade Fair and 4.7 mi (7.5 km) from Hillside Dams Conservation.</p><p>Rooms : Make yourself at home in one of the 6 individually decorated guestrooms. Your pillowtop bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and complimentary toiletries.</p><p>Dining : At Musketeers Lodge, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Full breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 10:00 AM - 6:00 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",+263(0)9246343,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Parking (limited spaces) WiFi (surcharge) Number of bars/lounges - 1 No elevator (single level property) Designated smoking areas Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Airport transportation (surcharge) No accessible shuttle Front desk (limited hours) Breakfast available (surcharge) Number of accessible parking spaces - 8 Barbecue grill(s) Long-term parking Coffee/tea in common areas Free self parking Terrace,-20.22753|28.57862,+263 77 2337476,,http://www.musketeerslodge.com
ZW,Zimbabwe,112606,Bulawayo,1032800,Sondela Guest Lodge,ThreeStar,Leopold Takawira Avenue SuburbsBulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Centenary Park - 1.5 km / 0.9 mi <br /> City Hall - 2.8 km / 1.7 mi <br /> Queens Sports Club - 2.8 km / 1.7 mi <br /> Bulawayo National Gallery of Zimbabwe - 3.1 km / 1.9 mi <br /> Zimbabwe International Trade Fair - 3.3 km / 2 mi <br /> Bulawayo Railway Museum - 4.1 km / 2.6 mi <br /> National University of Science and Technology - 3.4 km / 2.1 mi <br /> Barbourfields Stadium - 5.8 km / 3.6 mi <br /> The Nesbitt Castle - 6 km / 3.7 mi <br /> Mpilo Central Hospital  Bulawayo - 6.3 km / 3.9 mi <br /> Khami Ruins - 23.1 km / 14.3 mi <br /> Khami Ruins National Monument - 25.7 km / 15.9 mi <br /> Matobo National Park Main Entrance - 36 km / 22.3 mi <br /> Matobo Hills - 36.4 km / 22.6 mi <br /> Matobo National Park Arboretum Entrance - 37.9 km / 23.5 mi <br /> </p><p>The nearest major airport is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 22.6 km / 14 mi</p>,"<p>HeadLine : Near Centenary Park</p><p>Location : With a stay at Sondela Guest House in Bulawayo, you ll be within a 5-minute drive of City Hall and Queens Sports Club.  This guesthouse is 0.7 mi (1.1 km) from Centenary Park and 1.7 mi (2.7 km) from Bulawayo National Gallery of Zimbabwe.</p><p>Rooms : Make yourself at home in one of the 5 air-conditioned rooms featuring plasma televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at Shangrila, a restaurant which specializes in local and international cuisine, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary English breakfast is served daily from 7:00 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 6:00 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Television in common areas Garden Outdoor entertainment area Multilingual staff Outdoor furniture 24-hour pool access Barbecue grill(s) Library Picnic area Daily Number of outdoor pools - 1 Number of bars/lounges - 1 Front desk (limited hours) Free breakfast Free self parking Free WiFi Pool sun loungers Safe-deposit box at front desk Number of meeting rooms - 1 Terrace Wheelchair accessible  no Free English Breakfast Designated smoking areas Laundry facilities Parking (limited spaces),-20.158156|28.602127,263-772321131,,
ZW,Zimbabwe,112606,Bulawayo,1032801,Southern Comfort Lodge,ThreeStar,22 Jaywick Road MatsheumhlopeBulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>National University of Science and Technology - 4.7 km / 2.9 mi <br /> The Nesbitt Castle - 4.7 km / 2.9 mi <br /> Zimbabwe International Trade Fair - 7.3 km / 4.5 mi <br /> City Hall - 7.8 km / 4.8 mi <br /> Centenary Park - 8 km / 4.9 mi <br /> Bulawayo National Gallery of Zimbabwe - 8.5 km / 5.3 mi <br /> Bulawayo Railway Museum - 8.5 km / 5.3 mi <br /> Queens Sports Club - 8.7 km / 5.4 mi <br /> Barbourfields Stadium - 11.8 km / 7.3 mi <br /> Mpilo Central Hospital  Bulawayo - 12.2 km / 7.6 mi <br /> Chipangali Wildlife Orphanage - 23.7 km / 14.7 mi <br /> Khami Ruins National Monument - 30.6 km / 19 mi <br /> Matobo National Park Main Entrance - 32.9 km / 20.4 mi <br /> Matobo Hills - 35.1 km / 21.8 mi <br /> Matobo National Park Arboretum Entrance - 37.6 km / 23.3 mi <br /> </p><p>The preferred airport for Southern Comfort Lodge is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 28.5 km / 17.7 mi </p>,"<p>HeadLine : Near National University of Science and Technology</p><p>Location : Located in Bulawayo, Southern Comfort Lodge is within a 10-minute drive of The Nesbitt Castle and National University of Science and Technology.  This lodge is 4.5 mi (7.3 km) from Zimbabwe International Trade Fair and 4.8 mi (7.8 km) from City Hall.</p><p>Rooms : Make yourself at home in one of the 6 guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : At Southern Comfort Lodge, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. English breakfasts are available daily from 6:30 AM to 9 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul> Guests must contact this property in advance to reserve rollaway/extra beds. Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul> Extra beds are available only for guests under 13 years old.</p><p>Special Instructions : The front desk is open daily from 7 AM - 7 PM. If you are planning to arrive after 7 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Airport shuttle service is available on request from 6 AM to 6 PM. Fees may apply. Contact the property in advance to make arrangements.</p>",263-77-3246082,Conference space size (meters) - 225 Barbecue grill(s) Terrace Bar/lounge Breakfast available (surcharge) Train station pickup (surcharge) Train station drop-off (surcharge) Conference space size (feet) - 2422 Conference center Designated smoking areas Front desk (limited hours) Conference space Restaurant Meeting rooms Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Wedding services Outdoor pool Airport transportation (surcharge) Garden Fireplace in lobby,-20.187658|28.635373,263-77-3246082,,http://www.southerncomfortbyo.com
ZW,Zimbabwe,112606,Bulawayo,1096855,The Nesbitt Castle,FourStar,"PERCY AVENUE, HILLSIDE, 6 BULAWAYO ",Matopos: within 30000 metre  Bulawayo National Art Gallery: within 8000 metre  National Museum: within 7600 metre  Khami Ruins: within 25000 metre  Hillside Dams: within 5000 metre ,"The Nesbitt Castle is located in the leafy suburb of Hillside and is tucked away nicely from the sound of traffic from the Old Esigodini Road which is just down the road. There are great shopping centres less than 10 minutes drive from the Castle for the guests' convenience. We are also within minutes of the City Centre as well as the Hillside Dams which offers lovely trail walks. Also, a must see is the National Matopos which is home of Cecil John Rhodes grave which is a good 45 minute drive with great chances of seeing wild animals along the way. The Castle has played host to such luminaries as Morgan Freeman, Stephen Dorf and Daniel Craig.Ten gloriously individual suites lie behind our castle walls, stone-chilled in the heat of summer, cosy and welcoming for those cooler days.",,Laundry service Fireplace Garden Terrace Gym Newspapers Bar Restaurant Non-smoking area Smoking area Highchairs Poolside snack bar Banquet hall Air conditioning in Restaurant Breakfast room Conference room Meeting room Conference hostess Photocopier Fax Sun loungers Children playground Pub Sauna Breakfast Breakfast served to the table Hot breakfast À la carte lunch Brunch Set menu dinner Special dietary options Picnic Snacks Fitness Billiards Kitchenette Minibar Carpeted floors Individually adjustable air conditioning Fan Safe Wake-up service Turndown service Desk Smoke detector Mobile phone coverage Transfer service Secure parking Room service boutique hotel MasterCard Visa Shower Bathtub Hairdryer Toiletries Bathrobes Make-up mirror TV Plug adaptor,-20.187297|28.620865,,0002,www.nesbittcastle.co.zw
ZW,Zimbabwe,112606,Bulawayo,1180690,Cresta Churchill,ThreeStar,Matopos Road And Moffat Avenue Bulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Nesbitt Castle - 3.4 km / 2.1 mi <br /> Hillside Dams Conservation - 4.6 km / 2.8 mi <br /> Zimbabwe International Trade Fair - 5.3 km / 3.3 mi <br /> Matobo National Park - 5.5 km / 3.4 mi <br /> Bulawayo Railway Museum - 6.7 km / 4.2 mi <br /> City Hall - 6.8 km / 4.3 mi <br /> National Art Gallery - 7.4 km / 4.6 mi <br /> Centenary Park - 7.5 km / 4.7 mi <br /> Queens Sports Club - 7.8 km / 4.8 mi <br /> National Art Gallery Bulawayo - 7.9 km / 4.9 mi <br /> Natural History Museum - 7.9 km / 4.9 mi <br /> National University of Science and Technology - 8.6 km / 5.3 mi <br /> Barbourfields Stadium - 10.9 km / 6.8 mi <br /> Mpilo Central Hospital  Bulawayo - 11.4 km / 7.1 mi <br /> Khami Ruins - 23 km / 14.3 mi <br /> </p><p>The preferred airport for Cresta Churchill is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 27.5 km / 17.1 mi </p>,"<p>HeadLine : Near The Nesbitt Castle</p><p>Location : A stay at Cresta Churchill places you in the heart of Bulawayo, within a 10-minute drive of Bulawayo Railway Museum and National Art Gallery Bulawayo.  This hotel is 16.1 mi (25.9 km) from Khami Ruins National Monument and 28.3 mi (45.5 km) from Matobo National Park.</p><p>Rooms : Make yourself at home in one of the 50 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Inglenook Restaurant, a fine-dining restaurant where you can enjoy drinks at the bar/lounge, take in the garden view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). English breakfasts are available daily from 6 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",263-9-246551,Wheelchair accessible parking Free newspapers in lobby Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Shopping center shuttle (surcharge) Area shuttle (surcharge) Rock climbing nearby Airport transportation (surcharge) Luggage storage Express check-out Golf lessons available nearby Porter/bellhop Business center 24-hour front desk Conference center Breakfast available (surcharge) Golfing nearby Safe-deposit box at front desk Ecotours nearby Laundry facilities Free self parking Conference space Terrace Wheelchair accessible path of travel Conference space size (feet) - 1937 Concierge services Dry cleaning/laundry service Wheelchair accessible Game viewing nearby Express check-in Number of meeting rooms - 1 Conference space size (meters) - 180 Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden In-room accessibility (in select rooms),-20.212609|28.582051,263-9-244243,00263,http://www.bulawayochurchillhotel.com/
ZW,Zimbabwe,112606,Bulawayo,1298533,Bulawayo Rainbow Hotel,ThreeStar,Corner Josiah Tongogara Street 10Th Avenue Bulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Centenary Park - 0.5 km / 0.3 mi <br /> City Hall - 0.6 km / 0.4 mi <br /> National Art Gallery - 1 km / 0.6 mi <br /> National Art Gallery Bulawayo - 1.1 km / 0.7 mi <br /> Zimbabwe International Trade Fair - 1.3 km / 0.8 mi <br /> Natural History Museum - 1.5 km / 0.9 mi <br /> Queens Sports Club - 1.6 km / 1 mi <br /> Matobo National Park - 1.9 km / 1.2 mi <br /> Bulawayo Railway Museum - 2.3 km / 1.4 mi <br /> Barbourfields Stadium - 4.4 km / 2.7 mi <br /> Mpilo Central Hospital  Bulawayo - 4.9 km / 3.1 mi <br /> National University of Science and Technology - 5.3 km / 3.3 mi <br /> The Nesbitt Castle - 5.4 km / 3.3 mi <br /> Hillside Dams Conservation - 6 km / 3.7 mi <br /> Khami Ruins - 21.9 km / 13.6 mi <br /> </p><p>The preferred airport for Bulawayo Rainbow Hotel is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 21.3 km / 13.2 mi </p>,"<p>HeadLine : Near City Hall</p><p>Location : With a stay at Bulawayo Rainbow Hotel in Bulawayo, you ll be within a 10-minute walk of Centenary Park and City Hall.  This hotel is 0.6 mi (1 km) from National Art Gallery and 0.9 mi (1.4 km) from Natural History Museum.</p><p>Rooms : Make yourself at home in one of the 172 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms with shower/tub combinations are provided. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",263-4-772593,Dry cleaning/laundry service Airport transportation (surcharge) Banquet hall Wheelchair accessible  no Multilingual staff Business center Number of meeting rooms - 6 24-hour front desk Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Designated smoking areas Safe-deposit box at front desk In-room accessibility (in select rooms) Laundry facilities Free newspapers in lobby Tours/ticket assistance Free self parking Hair salon Terrace,-20.158162|28.587594,263-29-881273,0,http://www.rtgafrica.com
ZW,Zimbabwe,112606,Bulawayo,1363494,Holiday Inn Bulawayo,FourStar,P.O. Box Ac88 Ascot P.O.Box Ac88 Ascott AscottBulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>National Art Gallery Bulawayo - 0.3 km / 0.2 mi <br /> National Art Gallery - 0.4 km / 0.2 mi <br /> City Hall - 0.8 km / 0.5 mi <br /> Queens Sports Club - 1 km / 0.6 mi <br /> Centenary Park - 1.2 km / 0.7 mi <br /> Natural History Museum - 2.1 km / 1.3 mi <br /> Bulawayo Railway Museum - 2.3 km / 1.5 mi <br /> Matobo National Park - 2.7 km / 1.7 mi <br /> Zimbabwe International Trade Fair - 2.7 km / 1.7 mi <br /> Barbourfields Stadium - 3 km / 1.8 mi <br /> Mpilo Central Hospital  Bulawayo - 3.5 km / 2.2 mi <br /> National University of Science and Technology - 6.1 km / 3.8 mi <br /> The Nesbitt Castle - 6.7 km / 4.1 mi <br /> Hillside Dams Conservation - 7.2 km / 4.5 mi <br /> Khami Ruins - 22.1 km / 13.7 mi <br /> </p><p>The nearest major airport is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 20.9 km / 13 mi</p>,"<p>HeadLine : Near National Art Gallery</p><p>Location : With a stay at Holiday Inn Bulawayo, an IHG Hotel in Bulawayo, you ll be within a 5-minute walk of National Art Gallery Bulawayo and National Art Gallery.  This 4-star hotel is 0.6 mi (1 km) from Queens Sports Club and 0.6 mi (1 km) from City Hall.</p><p>Rooms : Make yourself at home in one of the 150 individually decorated guestrooms, featuring refrigerators and minibars. Rooms have private balconies. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Stop by the hotel s restaurant, Phumulani restaurant, for lunch or dinner. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. Wrap up your day with a drink at the bar/lounge. English breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.  Guests booked in breakfast included rate plans receive breakfast for up to 2 adults who are sharing a guestroom. Breakfast fees apply for additional guests. Guests booked in dinner included rate plans receive dinner for up to 2 adults who are sharing a guestroom. Dinner fees apply for additional guests.</p>",27-11-4426672,Number of coffee shops/cafes - 1 Laundry facilities elevator Free self parking Fitness facilities Conference space Computer station Terrace Pool sun loungers Concierge services Dry cleaning/laundry service Covered parking secured parking Uncovered parking Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Babysitting or childcare (surcharge) Reception hall Pool umbrellas Meeting rooms Wheelchair-accessible path to elevator Free wired Internet Wheelchair-accessible registration desk Wheelchair-accessible fitness center Free WiFi Wheelchair-accessible pool Number of bars/lounges - 1 Number of outdoor pools - 1 Well-lit path to entrance Assistive listening devices available Garden In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Wedding services Accessible bathroom (in select rooms) Airport transportation (surcharge) Luggage storage Wheelchair-accessible on-site restaurant Porter/bellhop Multilingual staff Business center 24-hour front desk Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Safe-deposit box at front desk,-20.150074|28.583488,27-11-4420488,,http://www.holidayinn.com/hotels/de/de/bulawayo/buqwo/hoteldetail
ZW,Zimbabwe,112606,Bulawayo,1441730,Sethule Lodge,ThreeStar,3 Old Gwanda Road Hillside HillsideBulawayo ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Nesbitt Castle - 3.5 km / 2.1 mi <br /> Hillside Dams Conservation - 4.6 km / 2.9 mi <br /> Zimbabwe International Trade Fair - 5.8 km / 3.6 mi <br /> Matobo National Park - 6 km / 3.7 mi <br /> Bulawayo Railway Museum - 7.2 km / 4.5 mi <br /> City Hall - 7.3 km / 4.5 mi <br /> National Art Gallery - 7.8 km / 4.9 mi <br /> Centenary Park - 7.9 km / 4.9 mi <br /> Queens Sports Club - 8.2 km / 5.1 mi <br /> National Art Gallery Bulawayo - 8.3 km / 5.2 mi <br /> Natural History Museum - 8.4 km / 5.2 mi <br /> National University of Science and Technology - 9 km / 5.6 mi <br /> Barbourfields Stadium - 11.4 km / 7.1 mi <br /> Mpilo Central Hospital  Bulawayo - 11.8 km / 7.4 mi <br /> Khami Ruins - 24.1 km / 15 mi <br /> </p><p>The preferred airport for Sethule Lodge is Bulawayo (BUQ-Joshua Mqabuko Nkomo Intl.) - 28.1 km / 17.5 mi </p>,"<p>HeadLine : Near The Nesbitt Castle</p><p>Location : Located in Bulawayo, Sethule Lodge is a 5-minute drive from The Nesbitt Castle and 7 minutes from Matobo National Park.  This lodge is 3.5 mi (5.6 km) from Hillside Dams Conservation and 3.6 mi (5.8 km) from Zimbabwe International Trade Fair.</p><p>Rooms : Make yourself at home in one of the 20 air-conditioned rooms featuring refrigerators. Wireless Internet access (surcharge) keeps you connected, and satellite programming is available for your entertainment. Bathrooms with bathtubs or showers are provided. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : At Sethule Lodge, enjoy a satisfying meal at the restaurant. Cooked-to-order breakfasts are available daily from 7 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : </p>",263-9-242535,Designated smoking areas Number of outdoor pools - 1 Garden Laundry facilities Free self parking Meeting rooms Conference center Breakfast available (surcharge),-20.21784|28.58629,+263 773 439643,,
