countyName,cityName,HotelName,HotelRating,Address,HotelFacilities,DescriptionVector
Albania,Albanien,De Paris Hotel,FourStar,Nr. 7 Brigada Viii Street Tirane ,Private parking Parking onsite Television in common areas Airport transportation (surcharge) Area shuttle (surcharge) Private check-in/check-out Concierge services Designated smoking areas Air conditioning Non-smoking throughout Free WiFi Free WiFi Luggage storage Fax/photocopying Heating Car hire Currency exchange Internet access Ironing service Breakfast service Family rooms Dry cleaning/laundry service Laundry facilities Airport shuttle Non-smoking rooms Terrace Garden Free newspapers in lobby 24-hour front desk Bar/lounge Meeting rooms Room service Pets allowed Restaurant Free self parking,"[-0.20598916399122427, -0.025388531992212245, -0.1820428230531519, -0.06918039988417085, 0.10564863239053988, 0.045250369094441266, 0.09630467691268088, -0.11477505664886271, 0.15223958473044197, -0.031045883087065025, 0.07475693306709387, -0.11727446180762482, 0.20579057687381513, -0.1763846553175658, -0.07713759559722425, 0.038832598279051674, 0.07618849443258123, 0.03658801775922017, -0.0645578239611166, -0.013481370689596626, 0.04207233460019117, -0.02643654416919489, 0.05957334975306081, -0.053245526867746404, 0.03953373991879049, 0.07644935725275312, -0.024609451297901635, -0.021985282650481185, -0.006398437885923436, 0.02582629817987762, 0.281478251807513, 0.23063633519455867, -0.060625525942571916, 0.1782878804503943, 0.0582536455225234, -0.01541067506746105, -0.015472089131137198, -0.04994196197865089, 0.02529656757552674, -0.06512579157716394, -0.1048319079818837, 0.016864587765973348, 0.14998355005915373, 0.24631912891233845, -0.052828893517040613, -0.06552941207446852, 0.03182682608526585, -0.0774117685224335, -0.10500941388732084, 0.0317980368959367]"
Albania,Albanien,Hotel Green,FourStar,Rruga Kavajes. Kombinat Km 2. Vaqarr VaqarrTirana ,airport pick up wifi available in all areas Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Packed lunches express check-in/check-out lift internet services Business centre Airport shuttle Non-smoking rooms 24-hour front desk Bar meeting/banquet facilities Room service Pets allowed Restaurant,"[-0.23124441964458559, 0.08492187931291445, -0.28805701989535426, -0.14937717852639143, -0.009825192872921657, 0.05584162201835474, 0.154675486635847, 0.035972289462860095, -0.0802471788493585, -0.04869796854350583, 0.06958374628648896, -0.16360148196446117, 0.023117941153366066, 0.09591437915684628, -0.04050320902085494, 0.034681778533439483, -0.013348401098439079, -0.07757331431257238, -0.009334241770602303, -0.0406471917298589, -0.08180433448584079, 0.13937381034299856, 0.013692523413195849, 0.029832761539412323, -0.011267285038591023, 0.03796448418523667, 0.005451352379635282, 0.05717995061687952, 0.03893072659819994, 0.07038268182349443, 0.06209327256787505, -0.08670962400749607, -0.15943834471320834, 0.09031157403266152, -0.045166549841831154, -0.06389259007878512, -0.011419741530788726, -0.041055174019942436, -0.10933560353731, 0.13629343539966282, -0.02715566474930484, 0.07447471039309647, -0.05868074875240848, -0.024786087181395036, -0.02927924806774278, 0.044346761095355354, -0.036087783728605154, -0.08812469760565976, 0.0740768190872146, -0.09534818747627608]"
Albania,Albanien,Theranda Hotel,ThreeStar,Rr. Andon Zako Cajupi Villa 6 & 7 Villa 6 & 7TiranëShqipëri ,face masks for guests available all plates  cutlery  glasses and other tableware have been sanitized invoice provided hand sanitizer in guest accommodation and key areas food can be delivered to guest accommodation linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Security alarm Shuttle service airport drop off airport pick up Fruits Wine/champagne wifi available in all areas Private parking Daily housekeeping airport shuttle (additional charge) shuttle service (additional charge) Private check-in/check-out concierge service Sun terrace Air conditioning Free WiFi wifi Currency exchange express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms dry cleaning Laundry Business centre Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar meeting/banquet facilities Room service Parking,"[-0.14361353765732449, -0.20583210896331977, 0.04680495758144269, 0.3951695682738647, -0.07631306669540752, -0.09492441461275948, 0.3854831804493294, -0.0005502381656266347, 0.030735082305045045, -0.10314695756807028, -0.09125137005053427, 0.09177787576314281, -0.10390453839816274, -0.14632110522268066, -0.1908267496266598, -0.06396402432285, 0.02900641110424054, 0.07017893943171685, 0.08131731229807684, -0.043824780739948214, 0.013206206707709703, 0.09423512876291228, -0.1920824827066822, -0.021702436041630174, 0.019357701175158115, -0.0032081953115903877, -0.008623611094593342, -0.15863134602656392, -0.01809341526410694, 0.14141032383523486, 0.15858131647646467, 0.011862854787862573, -0.006062682567288092, 0.028487941477879156, -0.031474015170444763, -0.06050684698627957, 0.03754179194676624, 0.0906652656200152, -0.06662697361466197, 0.1051925777308636, 0.07845366099918026, -0.10594467238525554, -0.012924202137846735, 0.030087266621438215, 0.020401975983503812, -0.034903095152450256, -0.00998982465135742, -0.13065511169514515, -0.017270764573713612, -0.10617818047479373]"
Albania,Albanien,Seven Hotel,ThreeStar,"KAVAJA STREET, CLOSE TURKISH AMBASSY TIRANA ",À la carte dinner Breakfast buffet Breakfast Conference room Air conditioning in Restaurant Restaurant Bar Currency exchange facilities Air conditioning in public areas Visa MasterCard Hotel,"[-0.12383024884332317, -0.23885514852771922, 0.19794477387846873, -0.07965425875268912, 0.26663644332895864, -0.0963981512627633, -0.04778310723525713, -0.11428769172731597, -0.21007472060011015, 0.07095026600736008, 0.20605325473357305, -0.046701748784523336, 0.10031374609660526, -0.11942926631897327, -0.12060332491187188, -0.11353562636700519, 0.03211635122506903, -0.013412172610352309, -0.30169263698696025, -0.031923816844685614, 0.1948616607591692, 0.20540516252545868, -0.09081527580828636, 0.07813843855610508, 0.12423700314113612, -0.1219905747031512, -0.0476350253361187, -0.09203793711599709, 0.0635597052497944, -0.13118982947338725, -0.11555926971144338, -0.0548162899737933, 0.039848869053086204, -0.02407147669059095, 0.028874669708882156, -0.11882416793262952, 0.09719401454436793, 0.13951105462312613, -0.07490909210427728, -0.17588280850098478, -0.16370651077283094, 0.029620707798157248, -0.07633656213761204, 0.12392498549630244, 0.08555822314545304, -0.042900756427999974, 0.011298273174320712, 0.007024747361829752, 0.19859313266222892, -0.020428482780551954]"
Albania,Albanien,Viktoria,ThreeStar,Rruga E Elbasanit Km 4 Sauk SaukTirana ,internet services Ironing service Family rooms Laundry Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar Room service Restaurant Fire extinguishers CCTV outside property CCTV in common areas 24-hour security wifi available in all areas Daily housekeeping shared lounge/TV area airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Car hire Currency exchange Safety Deposit Box express check-in/check-out,"[-0.12082636421033381, 0.17585502442987244, -0.07255811471820901, 0.04770147156951708, 0.17151098773871262, -0.014493388480288864, -0.05733785725724264, 0.06273045399558726, 0.054565117317388626, 0.0866536814567881, 0.12638621588070867, -0.10309945797819031, -0.09172332438856198, 0.18335692920749022, -0.04140096085968249, -0.01608600883216687, -0.028278747105281752, 0.11018612091032215, 0.06059477311133419, 0.009352885527333783, -0.0958743808222391, -0.04273645827728405, 0.04824698056338019, 0.026173534703026496, 0.06420853895115843, 0.09500622959605122, -0.005600050168664865, -0.045498032829989994, -0.016346340283387942, -0.11367770597967394, 0.06773504658770751, -0.1281793857869791, -0.0067447791654184075, -0.04899092117706085, -0.09433420705822894, 0.01409975929814227, 0.07332482705884635, -0.14270357290038782, -0.06835551931906321, 0.035146881888810766, -0.07828717617158826, -0.08230362859750535, -0.015484111752807173, -0.16047699423988832, 0.21514057735684344, -0.061389661109226806, 0.08556971581633155, -0.1550827472336462, -0.1038807314615024, -0.06974050139228963]"
Albania,Albanien,Bel Conti Hotel,FourStar,Shkembi i Kavajes L13 Durres ,24-hour security Shuttle service Beach Swimming pool Outdoor fireplace Sun umbrellas sun loungers or beach chairs coffee house on site airport drop off airport pick up Fruits Wine/champagne Pool Bar Wheelchair accessible secured parking Private parking parking on site Daily housekeeping Beachfront Swimming pool Fire extinguishers Key card access Key access Terrace Garden 24-hour front desk Bar meeting/banquet facilities Room service Restaurant Parking airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) outdoor pool (seasonal) Sun terrace Private beach area Air conditioning Non-smoking throughout Free WiFi Outdoor pool wifi Luggage storage Fax/photocopying Heating Packed lunches Currency exchange Safety Deposit Box lift internet services Free parking Family rooms Facilities for disabled guests Airport shuttle Non-smoking rooms,"[-0.10590677852760026, 0.11025588684544373, -0.03037843867804996, 0.18518608957895263, 0.021780683636774736, 0.04094279677413271, -0.2263430055947422, 0.05586844747033367, 0.20110984541867016, 0.045209924716343344, 0.11533747922046157, 0.07969930402419591, 0.07098261141849899, 0.12989544417429785, 0.025687328057821375, -0.08764690341881291, -0.055607977768197425, -0.026002045040102322, -0.02141500163744981, -0.04493792624179423, 0.0679296856160154, -0.0287493285299754, -0.06847277612700302, 0.003640622578290039, 0.11220590111436105, 0.007916195231920463, 0.005673529557839106, -0.03981294563952933, 0.05220196461134687, 0.21699726150387716, 0.13425489656718767, -0.03322876592678699, -0.023213161055718762, -0.03316814754584522, 0.08259172470973453, 0.13305664050548435, -0.10214589875160725, -0.1917451831777006, 0.06989447058029329, -0.14474228035189302, -0.04930725031002026, 0.03284785615650599, 0.145304379414744, 0.0010254835746995132, 0.010571519670598835, 0.14013425511624839, -0.08389264123499487, 0.009591711347426016, 0.15907134673616524, 0.2364025527117279]"
Albania,Albanien,Pik Loti Hotel,ThreeStar,Rruga Petro Nini Luarasi Tirana ,linens  towels and laundry washed in accordance with local authority guidelines wifi available in all areas Private parking parking on site designated smoking area Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Heating Currency exchange express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms Laundry Non-smoking rooms Bar Parking staff follow all safety protocols as directed by local authorities guest accommodation sealed after cleaning,"[-0.17351965974504555, 0.2317565053858337, -0.05318437176548074, -0.015672032732798092, 0.09975759464779899, -0.011203709626745927, 0.12065708661207851, 0.10920937293519752, -0.04617001500350954, 0.051515363378096535, 0.036591767061350346, -0.04447148460925954, 0.00016423010078195826, 0.025025576645699002, -0.06783863677679249, 0.024275322977672424, 0.06870397759961563, -0.05005127977404495, -0.024940826244413447, 0.03344798627921104, -0.0464821195243518, -0.10644009518600152, 0.0684640127656213, -0.021459627666841154, -0.10893980280004938, -0.015405713398399183, 0.14386282577708534, 0.05894546769552526, -0.01864871044698504, 0.014832399932414052, -0.05606108407438446, -0.04507207024018386, 0.13373147326130144, -0.10167987157910913, -0.09552887057554173, -0.07284908654188847, 0.13532343980147468, -0.09119751613999125, 0.10693302451051252, -0.006367859169567524, 0.028953726416152945, -0.05902432026889714, 0.023723572982973926, 0.12848630876273084, 0.08558247124060102, -0.1227003023742122, -0.05243703894577048, 0.07281483526267332, -0.032005849673727736, 0.10208972786876296]"
Albania,Albanien,Hotel Parlamenti,ThreeStar,Rruga Jeronim De Rada 75 1001 Tirana ,Private parking parking on site Private check-in/check-out Entertainment staff designated smoking area Air conditioning Free WiFi wifi Heating express check-in/check-out internet services Free parking Ironing service breakfast in the room Facilities for disabled guests dry cleaning Laundry 24-hour front desk Bar Room service Pets allowed Restaurant Parking,"[-0.24969203690706812, 0.11245315012892088, -0.24521903916561386, -0.2304568380772331, 0.008917287761905018, -0.04388458159094692, 0.11724592102535773, 0.1958015794293561, -0.10500009572203634, -0.06167958798606066, 0.04504072372178329, 0.04073214251342119, 0.028912070654927575, -0.03580643650553373, 0.09251152227231851, 0.04973790701114928, -0.0031938379748202876, 0.0027766050179925503, 0.06583874009867281, 0.07528965833306142, 0.024300538935190436, 0.09962606278026788, 0.007470276023692626, -0.04707649416085671, -0.026488702946564024, 0.006583294142128985, 0.02524386884729351, -0.021736971127819128, -0.11448210030044281, -0.008649474657175374, 0.011245309559114326, 0.044422300663732796, 0.02335954187319683, 0.05310290611077671, -0.23624165803939048, 0.061064910112701695, 0.029335439576266754, 0.16029878821589175, -0.00010746856875556804, -0.023404622810741682, 0.11141657451380903, -0.010894421955766993, -0.01037251689397438, 0.03698552138858454, 0.10651631242208905, 0.040938239675623926, -0.07353537144612204, -0.07821829144752604, -0.011480315575291857, 0.01713940458357782]"
Albania,Albanien,Victoria,ThreeStar,Dibra Street 331 331 Tirana ,Concierge services Terrace Free self parking Laundry facilities Snack bar/deli Designated smoking areas (fines apply) Coffee/tea in common areas Safe-deposit box at front desk Playground on site Conference center Front desk (limited hours) Business center Multilingual staff Free breakfast Luggage storage Couples/private dining Accessible bathroom (in select rooms) Tours/ticket assistance Roll-in shower (in select rooms) Wheelchair accessible parking In-room accessibility (in select rooms) Braille or raised signage Designated smoking areas Number of bars/lounges - 3 Free WiFi Television in common areas Free wired Internet Meeting rooms Express check-in Reception hall Newspapers in lobby (surcharge) Free full breakfast Shopping on site Dry cleaning/laundry service,"[0.6249868048969621, 0.012566128063036674, -0.023564405446250093, -0.0016241630829125072, 0.031248987151583297, 0.0461759701812802, -0.005323741925576076, 0.001511451243451549, -0.023710476606893363, -0.014653036978055907, 0.017373872090690752, 0.0015015985810770615, 0.014196544281785042, -0.021268795593594094, -0.031092575637045882, -0.004432953760098826, 0.022479889111789306, -0.012381384890323257, -0.044035442560554014, 0.0011833802556137664, -0.015642667122169183, 0.004689237993043037, -0.0156126057530358, -0.01744085482806427, 0.0026016329137523355, 0.0004625957873223806, -0.023581571497393726, -0.0017516043794842623, -0.01744657703845381, 0.011975622484554851, 0.007476907442568668, 0.012851616878671049, 0.011005194388296993, 0.03380743293458863, -0.010234266018842914, -0.004445877605032925, -0.00832073049999639, 0.0003185540116964096, 0.012108042391335581, 0.0011692199821243825, -0.02245758678755769, 0.036136704132525475, 0.005158580205971908, -0.001641218481654118, 0.006468194071538028, 0.03485245409165688, 0.004634948629806387, -0.010550362631016864, 0.01138313419177666, -0.00960971904735262]"
Albania,Albanien,MonarC Hotel,FourStar,Intersection. Rr. George W. Bush Road And Blvd. Zhan D Ark Tirana ,Concierge services ATM/banking Terrace Computer station elevator Laundry facilities Number of coffee shops/cafes - 1 Snack bar/deli Safe-deposit box at front desk Daily 24-hour front desk Business center Visual alarms in hallways Express check-out Free breakfast Luggage storage Wheelchair accessible  no Designer stores on site Airport transportation (surcharge) Art gallery on site Rooftop terrace Free Buffet Breakfast Shopping mall on site Tours/ticket assistance Wedding services Free newspapers in lobby Stair-free path to entrance Designated smoking areas Number of bars/lounges - 1 Free WiFi Television in common areas Free wired Internet Number of meeting rooms - 2 Express check-in Reception hall Shopping on site Dry cleaning/laundry service,"[0.6343750887690538, 0.024389078221768317, -0.08180847004045402, 0.005323766636614736, -0.029133662733455683, -0.03854384042565311, 0.01059967067373664, -0.01153177718945599, -0.0004288590788431223, -0.016290567145212487, -0.03939160836146978, 0.005149159550853969, 0.017293378074632985, -0.01073364763228202, -0.03453708543501919, 0.045709771837006016, 0.018779211442737056, -0.014199447086165183, 0.009364606527576844, 0.020654293214903106, -0.009730713147404592, -0.00570868602812598, 0.03534973438450809, -0.002585060208949691, 0.013564583678954384, -0.012213368134079977, 0.00011205441116412883, -0.0014617385603335929, -0.0012212500288614335, -0.034349572508906794, 0.0003022708250428337, 0.008737555374006415, -0.022020152211616247, -0.004586954308866909, -0.002038286946545919, -0.0027899982265676363, 0.007121421185146612, -0.018852800215464014, 0.028471347755176787, 0.0035484298806907288, 0.004805617966826892, -0.017298053690823295, 0.05672086176811768, 0.002689099682533439, 0.04292753164942643, -0.010995260084461273, 0.0017822875996685733, 0.006852205681327644, -0.021866325943114797, 0.004785058223621109]"
